ID,城市ID,区域ID,刷新类型,刷新group,装饰group,下游点,是否保底,是否初始刷新,完成进度,解锁冒险等级,延迟卸载秒数
202006006,2,2006,1#3,133106289,133106293,202010004,1,0,8,30,
202006007,2,2006,1#3,133106299,133106300,202006005,1,0,6,30,
202007001,2,2007,1#3,133102783,133102784,202002001,1,0,4,18,
202008001,2,2008,1#3,133102785,133102786,202008002,1,0,6,18,
202008002,2,2008,1#3,133102773,133102778,202008003,1,1,7,18,
202008003,2,2008,1#3,133102774,133102779,202008004,1,0,6,18,
202008004,2,2008,1#3,133102775,133102780,202003001,1,0,1,18,
202009001,2,2009,1#3,133108129,133108128,202009002,1,1,4,24,
202009002,2,2009,1#3,133108130,133108121,202009003,1,0,1,24,
202009003,2,2009,1#3,133108132,133108122,202009004,1,0,4,24,
202009004,2,2009,1#3,133108133,133108123,202003006,1,0,8,24,
202010001,2,2010,1#3,133104615,133104617,202010002,1,0,13,26,
202010002,2,2010,1#3,133104597,133104604,202010003,1,0,5,26,
202010003,2,2010,1#3,133104643,133104644,202001001#202006001#202011001,1,0,7,26,
202010004,2,2010,1#3,133106290,133106294,202010005,1,0,5,26,
202010005,2,2010,1#3,133106291,133106295,202010002,1,0,7,26,
202011001,2,2011,1#3,133108134,133108135,202011002,1,1,7,30,
202011002,2,2011,1#3,133108136,133108137,202011003,1,0,1,30,
202011003,2,2011,1#3,133108138,133108139,202011004,1,0,4,30,
202011004,2,2011,1#3,133108140,133108141,202006001#202005001,1,0,7,30,
202013001,2,2013,1#3,133103534,133103535,202013002,1,1,2,28,
202013002,2,2013,1#3,133103536,133103537,202013003,1,0,1,28,
202013003,2,2013,1#3,133103538,133103539,202013004,1,0,6,28,
202013004,2,2013,1#3,133106301,133106302,202010005#202004006,1,0,10,28,
101002006,1,1002,5,133002382,,,1,1,4,2,
101002007,1,1002,5,133002381,,,1,1,5,2,
101003006,1,1003,5,133003553,,,1,1,5,2,
101005006,1,1005,5,133003551,,,1,1,4,2,
101005007,1,1005,5,133003552,,,1,1,4,2,
101004005,1,1004,5,133007253,,,1,1,5,18,
101004006,1,1004,5,133007254,,,1,1,4,18,
101004007,1,1004,5,133007255,,,1,1,5,18,
101004008,1,1004,5,133007256,,,1,1,4,18,
101004009,1,1004,5,133007257,,,1,1,5,18,
101004010,1,1004,5,133007258,,,1,1,4,18,
101004011,1,1004,5,133007259,,,1,1,4,18,
101004012,1,1004,5,133007260,,,1,1,4,18,
101007007,1,1007,5,133004330,,,1,1,4,2,
101007008,1,1007,5,133004325,,,1,1,4,2,
101007009,1,1007,5,133004326,,,1,1,4,2,
101007010,1,1007,5,133004327,,,1,1,5,2,
101007011,1,1007,5,133004328,,,1,1,4,2,
101007012,1,1007,5,133004329,,,1,1,4,2,
202004008,2,2004,5,133102772,,,1,1,5,2,
202005006,2,2005,5,133103516,,,1,1,4,2,
202005007,2,2005,5,133101192,,,1,1,4,2,
202005008,2,2005,5,133103514,,,1,1,4,2,
202005009,2,2005,5,133103515,,,1,1,4,2,
202005010,2,2005,5,133103517,,,1,1,4,2,
202005011,2,2005,5,133103518,,,1,1,4,2,
202005012,2,2005,5,133103519,,,1,1,4,2,
202005013,2,2005,5,133103520,,,1,1,4,2,
202005014,2,2005,5,133103521,,,1,1,4,2,
202005015,2,2005,5,133103522,,,1,1,4,2,
202005016,2,2005,5,133103523,,,1,1,5,2,
202006008,2,2006,5,133106273,,,1,1,4,2,
202006009,2,2006,5,133106274,,,1,1,4,2,
202006010,2,2006,5,133106275,,,1,1,4,2,
202006011,2,2006,5,133106276,,,1,1,4,2,
202006012,2,2006,5,133106277,,,1,1,5,2,
202006013,2,2006,5,133106278,,,1,1,4,2,
202006014,2,2006,5,133106279,,,1,1,4,2,
202006015,2,2006,5,133106280,,,1,1,5,2,
202010006,2,2010,5,133104625,,,1,1,4,2,
202011005,2,2011,5,133108117,,,1,1,4,2,
202011006,2,2011,5,133108120,,,1,1,4,2,
202011007,2,2011,5,133108118,,,1,1,4,2,
202011008,2,2011,5,133108119,,,1,1,5,2,
202012001,2,2012,5,133107103,,,1,1,4,2,
202012002,2,2012,5,133107102,,,1,1,4,2,
202013005,2,2013,5,133103524,,,1,1,4,2,
202013006,2,2013,5,133103525,,,1,1,4,2,
101002008,1,1002,4,133002379,,,1,1,2,2,
101002009,1,1002,4,133002380,,,1,1,2,2,
101003007,1,1003,4,133003547,,,1,1,2,2,
101005008,1,1005,4,133003545,,,1,1,2,2,
101005009,1,1005,4,133003546,,,1,1,2,2,
101004013,1,1004,4,133007245,,,1,1,2,18,
101004014,1,1004,4,133007246,,,1,1,2,18,
101004015,1,1004,4,133007247,,,1,1,2,18,
101004016,1,1004,4,133007248,,,1,1,2,18,
101004017,1,1004,4,133007249,,,1,1,2,18,
101004018,1,1004,4,133007250,,,1,1,2,18,
101004019,1,1004,4,133007251,,,1,1,2,18,
101004020,1,1004,4,133007252,,,1,1,2,18,
101007013,1,1007,4,133004321,,,1,1,2,2,
101007014,1,1007,4,133004322,,,1,1,2,2,
101007015,1,1007,4,133004316,,,1,1,2,2,
101007016,1,1007,4,133004317,,,1,1,2,2,
101007017,1,1007,4,133004320,,,1,1,2,2,
101007018,1,1007,4,133004323,,,1,1,2,2,
202004009,2,2004,4,133102766,,,1,1,2,2,
202005017,2,2005,4,133101191,,,1,1,2,2,
202005018,2,2005,4,133103502,,,1,1,2,2,
202005019,2,2005,4,133103503,,,1,1,2,2,
202005020,2,2005,4,133103504,,,1,1,2,2,
202005021,2,2005,4,133103505,,,1,1,2,2,
202005022,2,2005,4,133103506,,,1,1,2,2,
202005023,2,2005,4,133103507,,,1,1,2,2,
202005024,2,2005,4,133103508,,,1,1,2,2,
202005025,2,2005,4,133103509,,,1,1,2,2,
202005026,2,2005,4,133103510,,,1,1,2,2,
202005027,2,2005,4,133103511,,,1,1,2,2,
202006016,2,2006,4,133106265,,,1,1,2,2,
202006017,2,2006,4,133106266,,,1,1,2,2,
202006018,2,2006,4,133106267,,,1,1,2,2,
202006019,2,2006,4,133106268,,,1,1,2,2,
202006020,2,2006,4,133106269,,,1,1,2,2,
202006021,2,2006,4,133106270,,,1,1,2,2,
202006022,2,2006,4,133106271,,,1,1,2,2,
202006023,2,2006,4,133106272,,,1,1,2,2,
202010007,2,2010,4,133104624,,,1,1,2,2,
202011009,2,2011,4,133108113,,,1,1,2,2,
202011010,2,2011,4,133108114,,,1,1,2,2,
202011011,2,2011,4,133108115,,,1,1,2,2,
202011012,2,2011,4,133108116,,,1,1,2,2,
202012003,2,2012,4,133107100,,,1,1,2,2,
202012004,2,2012,4,133107101,,,1,1,2,2,
202013007,2,2013,4,133103512,,,1,1,2,2,
202013008,2,2013,4,133103513,,,1,1,2,2,
111101001,11,1101,6,133008432,,111101002,1,1,1,1,
111101002,11,1101,6,133008431,,111101003,1,0,1,1,
111101003,11,1101,6,133008433,,111101004,1,0,1,1,
111101004,11,1101,6,133008419,,111102001,1,0,1,1,
111102001,11,1102,6,133008420,,111102002,1,1,1,1,
111102002,11,1102,6,133008421,,111102003,1,0,1,1,
111102003,11,1102,6,133008434,,111102004,1,0,1,1,
111102004,11,1102,6,133008418,,111101001,1,0,1,1,
111101005,11,1101,7,133001572,,111101006,1,1,1,1,
111101006,11,1101,7,133001573,,111101007,1,0,1,1,
111101007,11,1101,7,133105337,,111101008,1,0,1,1,
111101008,11,1101,7,133008429,,111102005,1,0,1,1,
111102005,11,1102,7,133002475,,111102006,1,1,1,1,
111102006,11,1102,7,133105336,,111102007,1,0,1,1,
111102007,11,1102,7,133002474,,111102008,1,0,1,1,
111102008,11,1102,7,133002473,,111101005,1,0,1,1,
1010003001,100,10003,8,144004077,,1010003002,1,1,13,1,
1010003002,100,10003,8,144002047,,1010003003,1,0,13,1,
1010003003,100,10003,8,144001131,,1010003004,1,0,13,1,
1010003004,100,10003,8,144001141,,1010003005,1,0,13,1,
1010003005,100,10003,8,144004078,,1010003001,1,0,13,1,
1010003006,100,10003,9,144001074,,1010003010,1,1,13,1,
1010003007,100,10003,9,144001102,,1010003009,1,0,13,1,
1010003008,100,10003,9,144001103,,1010003006,1,0,13,1,
1010003009,100,10003,9,144001104,,1010003008,1,0,13,1,
1010003010,100,10003,9,144001105,,1010003007,1,0,13,1,
1010002001,100,10002,10,144003006,,1010002002,1,1,15,1,
1010002002,100,10002,10,144003008,,1010001001,1,1,15,1,
1010001001,100,10001,10,144003009,,1010001002,1,1,8,1,
1010001002,100,10001,10,144003010,,1010004001,1,1,6,1,
1010004001,100,10004,10,144003011,,1010004002,1,1,3,1,
1010004002,100,10004,10,144003012,,1010002001,1,1,3,1,
121201001,12,1201,11,133212195,,121201002,1,0,1,1,120
121201002,12,1201,11,133213186,,121201003,1,0,1,1,120
121201003,12,1201,11,133213074,,121201004,1,0,1,1,120
121201004,12,1201,11,133213184,,121201005,1,0,1,1,120
121201005,12,1201,11,133209038,,121201006,1,0,1,1,120
121201006,12,1201,11,133209026,,121201007,1,0,1,1,120
121201007,12,1201,11,133220413,,121201008,1,0,1,1,120
121201008,12,1201,11,133220204,,121201009,1,0,1,1,120
121201009,12,1201,11,133220194,,121201010,1,0,1,1,120
121201010,12,1201,11,133213178,,121201001,1,1,1,1,120
121202001,12,1202,12,133212193,,121202002,1,0,1,1,120
121202002,12,1202,12,133213084,,121202003,1,0,1,1,120
121202003,12,1202,12,133213177,,121202004,1,0,1,1,120
121202004,12,1202,12,133220405,,121202005,1,0,1,1,120
121202005,12,1202,12,133209035,,121202006,1,0,1,1,120
121202006,12,1202,12,133220205,,121202007,1,0,1,1,120
121202007,12,1202,12,133220173,,121202008,1,0,1,1,120
121202008,12,1202,12,133220193,,121202009,1,0,1,1,120
121202009,12,1202,12,133213183,,121202001,1,1,1,1,120
303001001,3,3001,1#3,133213079,,303001002,1,1,4,30,
303001002,3,3001,1#3,133213078,,303001003,0,0,4,30,
303001003,3,3001,1#3,133213077,,303001004,0,0,6,30,
303001004,3,3001,1#3,133213075,,303001005,0,0,4,30,
303001005,3,3001,1#3,133213037,,303002001,0,0,6,30,
303002001,3,3002,1#3,133220475,,303002002,1,1,4,30,
303002002,3,3002,1#3,133220476,133220004,303002003,0,0,7,30,
303002003,3,3002,1#3,133220478,,303002004,0,0,3,30,
303002004,3,3002,1#3,133220479,,303003001,0,0,2,30,
303003001,3,3003,1#3,133212081,,303003002,1,1,2,30,
303003002,3,3003,1#3,133212082,133212353,303003003,0,0,3,30,
303003003,3,3003,1#3,133212083,133212362,303003004,0,0,6,30,
303003004,3,3003,1#3,133212091,,303004001,0,0,3,30,
303002005,3,3002,4,133220618,,,1,1,2,1,
303002006,3,3002,4,133220622,,,1,1,3,1,
303002007,3,3002,4,133220623,,,1,1,2,1,
303002008,3,3002,4,133220626,,,1,1,1,1,
303002009,3,3002,4,133220628,,,1,1,1,1,
303002010,3,3002,4,133220630,,,1,1,2,1,
303001006,3,3001,4,133213518,,,1,1,2,1,
303001007,3,3001,4,133213520,,,1,1,1,1,
303001008,3,3001,4,133213522,,,1,1,1,1,
303001009,3,3001,4,133213524,,,1,1,2,1,
303001010,3,3001,4,133213526,,,1,1,2,1,
303001011,3,3001,4,133213528,,,1,1,3,1,
303003005,3,3003,4,133212500,,,1,1,2,1,
303003006,3,3003,4,133212502,,,1,1,1,1,
303003007,3,3003,4,133212504,,,1,1,2,1,
303003008,3,3003,4,133212506,,,1,1,2,1,
303003009,3,3003,4,133212508,,,1,1,2,1,
303003010,3,3003,4,133212510,,,1,1,1,1,
303002011,3,3002,5,133220582,,,1,1,4,1,
303002012,3,3002,5,133220619,,,1,1,5,1,
303002013,3,3002,5,133220624,,,1,1,4,1,
303002014,3,3002,5,133220625,,,1,1,3,1,
303002015,3,3002,5,133220627,,,1,1,3,1,
303002016,3,3002,5,133220629,,,1,1,4,1,
303001012,3,3001,5,133213491,,,1,1,4,1,
303001013,3,3001,5,133213519,,,1,1,3,1,
303001014,3,3001,5,133213521,,,1,1,3,1,
303001015,3,3001,5,133213523,,,1,1,4,1,
303001016,3,3001,5,133213525,,,1,1,4,1,
303001017,3,3001,5,133213527,,,1,1,5,1,
303003011,3,3003,5,133212499,,,1,1,4,1,
303003012,3,3003,5,133212501,,,1,1,3,1,
303003013,3,3003,5,133212503,,,1,1,4,1,
303003014,3,3003,5,133212505,,,1,1,4,1,
303003015,3,3003,5,133212507,,,1,1,4,1,
303003016,3,3003,5,133212509,,,1,1,3,1,
303004001,3,3004,1#3,133210452,,303004002,1,1,5,30,
303004002,3,3004,1#3,133210453,,303004003,0,0,6,30,
303004003,3,3004,1#3,133210454,,303004004,0,0,5,30,
303004004,3,3004,1#3,133210455,,303005001,0,0,4,30,
303005001,3,3005,1#3,133217164,,303005002,1,1,6,30,
303005002,3,3005,1#3,133217163,,303005003,0,0,8,30,
303005003,3,3005,1#3,133217165,,303005004,0,0,5,30,
303005004,3,3005,1#3,133217166,,303005005,0,0,4,30,
303005005,3,3005,1#3,133217167,,303001001,0,0,5,30,
303004005,3,3004,4,133210470,,,1,1,2,1,
303004006,3,3004,4,133210471,,,1,1,2,1,
303004007,3,3004,4,133210472,,,1,1,2,1,
303004008,3,3004,4,133210473,,,1,1,2,1,
303004009,3,3004,4,133210474,,,1,1,2,1,
303004010,3,3004,4,133210475,,,1,1,2,1,
303004011,3,3004,4,133210476,,,1,1,2,1,
303005006,3,3005,4,133222196,,,1,1,2,1,
303005007,3,3005,4,133222197,,,1,1,2,1,
303005008,3,3005,4,133222198,,,1,1,2,1,
303005009,3,3005,4,133222199,,,1,1,2,1,
303005010,3,3005,4,133222200,,,1,1,2,1,
303005011,3,3005,4,133222201,,,1,1,2,1,
303004012,3,3004,5,133210442,,,1,1,4,1,
303004013,3,3004,5,133210443,,,1,1,4,1,
303004014,3,3004,5,133210444,,,1,1,4,1,
303004015,3,3004,5,133210445,,,1,1,4,1,
303004016,3,3004,5,133210446,,,1,1,4,1,
303004017,3,3004,5,133210447,,,1,1,4,1,
303004018,3,3004,5,133210448,,,1,1,4,1,
303005012,3,3005,5,133217168,,,1,1,4,1,
303005013,3,3005,5,133217169,,,1,1,4,1,
303005014,3,3005,5,133217170,,,1,1,4,1,
303005015,3,3005,5,133222176,,,1,1,4,1,
303005016,3,3005,5,133222177,,,1,1,4,1,
303005017,3,3005,5,133222178,,,1,1,4,1,
404001001,4,4001,1#3,133315115,,404001002,1,1,5,30,
404001002,4,4001,1#3,133315001,,404001003,0,0,6,30,
404001003,4,4001,1#3,133315002,,404001004,0,0,1,30,
404001004,4,4001,1#3,133315003,,404001005,0,0,6,30,
404001005,4,4001,1#3,133315004,,404003001,0,0,5,30,
404003001,4,4003,1#3,133304008,,404003002,1,1,6,30,
404003002,4,4003,1#3,133304005,,404003003,0,0,6,30,
404003003,4,4003,1#3,133304009,,404003004,0,0,6,30,
404003004,4,4003,1#3,133304006,,404003005,0,0,5,30,
404003005,4,4003,1#3,133304007,,404005001,0,0,5,30,
404005001,4,4005,1#3,133301190,,404005002,1,1,2,30,
404005002,4,4005,1#3,133301120,,404005003,0,0,5,30,
404005003,4,4005,1#3,133301098,,404005004,0,0,7,30,
404005004,4,4005,1#3,133301081,,404006001,0,0,9,30,
404006001,4,4006,1#3,133303002,,404006002,1,1,5,30,
404006002,4,4006,1#3,133303003,,404006003,0,0,5,30,
404006003,4,4006,1#3,133303004,,404006004,0,0,6,30,
404006004,4,4006,1#3,133303005,,404006005,0,0,2,30,
404006005,4,4006,1#3,133303006,,404001001#404007001,0,0,5,30,
404007001,4,4007,1#3,133308129,,404007002,1,1,6,30,
404007002,4,4007,1#3,133308131,,404007003,0,0,5,30,
404007003,4,4007,1#3,133308133,,404007004,0,0,6,30,
404007004,4,4007,1#3,133308134,,404007005,0,0,6,30,
404007005,4,4007,1#3,133308135,,404008001,0,0,3,30,
404008001,4,4008,1#3,133310262,,404008002,1,1,7,30,
404008002,4,4008,1#3,133310263,,404008003,0,0,5,30,
404008003,4,4008,1#3,133310264,,404008004,0,0,6,30,
404008004,4,4008,1#3,133310265,,404009001,0,0,7,30,
404009001,4,4009,1#3,133307035,,404009002,1,1,5,30,
404009002,4,4009,1#3,133307043,,404009003,0,0,7,30,
404009003,4,4009,1#3,133307045,,404009004,0,0,2,30,
404009004,4,4009,1#3,133307044,,404009005,0,0,5,30,
404009005,4,4009,1#3,133307047,,404007001#404001001,0,0,4,30,
404001006,4,4001,4,133315095,,,1,1,2,1,
404001007,4,4001,4,133315158,,,1,1,2,1,
404002003,4,4002,4,133302316,,,1,1,2,1,
404002004,4,4002,4,133302334,,,1,1,2,1,
404002005,4,4002,4,133302339,,,1,1,2,1,
404002006,4,4002,4,133302380,,,1,1,2,1,
404002007,4,4002,4,133302382,,,1,1,3,1,
404002008,4,4002,4,133302458,,,1,1,2,1,
404003006,4,4003,4,133304338,,,1,1,2,1,
404003007,4,4003,4,133304340,,,1,1,2,1,
404003008,4,4003,4,133304342,,,1,1,2,1,
404003009,4,4003,4,133304344,,,1,1,2,1,
404003010,4,4003,4,133304346,,,1,1,2,1,
404003011,4,4003,4,133304348,,,1,1,2,1,
404005005,4,4005,4,133301189,,,1,1,2,1,
404005006,4,4005,4,133301408,,,1,1,2,1,
404005007,4,4005,4,133301429,,,1,1,2,1,
404005008,4,4005,4,133301431,,,1,1,2,1,
404006006,4,4006,4,133303375,,,1,1,2,1,
404006007,4,4006,4,133303377,,,1,1,2,1,
404006008,4,4006,4,133303379,,,1,1,2,1,
404006009,4,4006,4,133303381,,,1,1,2,1,
404006010,4,4006,4,133303383,,,1,1,2,1,
404006011,4,4006,4,133303385,,,1,1,2,1,
404001008,4,4001,5,133315032,,,1,1,4,30,
404001009,4,4001,5,133315157,,,1,1,4,30,
404002009,4,4002,5,133302286,,,1,1,4,30,
404002010,4,4002,5,133302315,,,1,1,4,30,
404002011,4,4002,5,133302333,,,1,1,4,30,
404002012,4,4002,5,133302338,,,1,1,4,30,
404002013,4,4002,5,133302381,,,1,1,4,30,
404002014,4,4002,5,133302457,,,1,1,4,30,
404003012,4,4003,5,133304337,,,1,1,4,30,
404003013,4,4003,5,133304339,,,1,1,4,30,
404003014,4,4003,5,133304341,,,1,1,4,30,
404003015,4,4003,5,133304343,,,1,1,4,30,
404003016,4,4003,5,133304345,,,1,1,4,30,
404003017,4,4003,5,133304347,,,1,1,4,30,
404005009,4,4005,5,133301150,,,1,1,4,30,
404005010,4,4005,5,133301403,,,1,1,4,30,
404005011,4,4005,5,133301428,,,1,1,4,30,
404005012,4,4005,5,133301430,,,1,1,4,30,
404006012,4,4006,5,133303374,,,1,1,4,30,
404006013,4,4006,5,133303376,,,1,1,4,30,
404006014,4,4006,5,133303378,,,1,1,4,30,
404006015,4,4006,5,133303380,,,1,1,4,30,
404006016,4,4006,5,133303382,,,1,1,4,30,
404006017,4,4006,5,133303384,,,1,1,4,30,
404010001,4,4010,4,133309104,,,1,1,2,1,
404010002,4,4010,4,133309120,,,1,1,2,1,
404008005,4,4008,4,133310240,,,1,1,2,1,
404008006,4,4008,4,133310270,,,1,1,2,1,
404008007,4,4008,4,133310273,,,1,1,2,1,
404008008,4,4008,4,133310275,,,1,1,2,1,
404008009,4,4008,4,133310277,,,1,1,2,1,
404006018,4,4006,4,133303617,,,1,1,2,1,
404010003,4,4010,5,133309103,,,1,1,4,30,
404010004,4,4010,5,133309119,,,1,1,4,30,
404008010,4,4008,5,133310190,,,1,1,4,30,
404008011,4,4008,5,133310239,,,1,1,4,30,
404008012,4,4008,5,133310272,,,1,1,4,30,
404008013,4,4008,5,133310274,,,1,1,4,30,
404008014,4,4008,5,133310276,,,1,1,4,30,
404006019,4,4006,5,133303616,,,1,1,4,30,
