拍照地点ID,GroupLinkid,配图小,配图大,开启时间,奖励watcherid,Galleryid,红点ID,预设机位预览图荧,预设机位预览图空,拍照点SceneID
19,51080105,UI_ActivityPhotoGraphV2_Img_PicSmall05,UI_ActivityPhotoGraphV2_Img_PicSmall05,3,15108005,29005,321034,UI_ActivityPhotoGraphV2_Img_PicSmall05_G01#UI_ActivityPhotoGraphV2_Img_PicSmall05_G02#UI_ActivityPhotoGraphV2_Img_PicSmall05_G03#UI_ActivityPhotoGraphV2_Img_PicSmall05_G04,UI_ActivityPhotoGraphV2_Img_PicSmall05_B01#UI_ActivityPhotoGraphV2_Img_PicSmall05_B02#UI_ActivityPhotoGraphV2_Img_PicSmall05_B03#UI_ActivityPhotoGraphV2_Img_PicSmall05_B04,3
20,51080106,UI_ActivityPhotoGraphV2_Img_PicSmall06,UI_ActivityPhotoGraphV2_Img_PicSmall06,3,15108006,29006,321035,UI_ActivityPhotoGraphV2_Img_PicSmall06_G01#UI_ActivityPhotoGraphV2_Img_PicSmall06_G02#UI_ActivityPhotoGraphV2_Img_PicSmall06_G03#UI_ActivityPhotoGraphV2_Img_PicSmall06_G04,UI_ActivityPhotoGraphV2_Img_PicSmall06_B01#UI_ActivityPhotoGraphV2_Img_PicSmall06_B02#UI_ActivityPhotoGraphV2_Img_PicSmall06_B03#UI_ActivityPhotoGraphV2_Img_PicSmall06_B04,3
21,51080107,UI_ActivityPhotoGraphV2_Img_PicSmall07,UI_ActivityPhotoGraphV2_Img_PicSmall07,4,15108007,29007,321036,UI_ActivityPhotoGraphV2_Img_PicSmall07_G01#UI_ActivityPhotoGraphV2_Img_PicSmall07_G02#UI_ActivityPhotoGraphV2_Img_PicSmall07_G03#UI_ActivityPhotoGraphV2_Img_PicSmall07_G04,UI_ActivityPhotoGraphV2_Img_PicSmall07_B01#UI_ActivityPhotoGraphV2_Img_PicSmall07_B02#UI_ActivityPhotoGraphV2_Img_PicSmall07_B03#UI_ActivityPhotoGraphV2_Img_PicSmall07_B04,3
22,51080108,UI_ActivityPhotoGraphV2_Img_PicSmall08,UI_ActivityPhotoGraphV2_Img_PicSmall08,4,15108008,29008,321037,UI_ActivityPhotoGraphV2_Img_PicSmall08_G01#UI_ActivityPhotoGraphV2_Img_PicSmall08_G02#UI_ActivityPhotoGraphV2_Img_PicSmall08_G03#UI_ActivityPhotoGraphV2_Img_PicSmall08_G04,UI_ActivityPhotoGraphV2_Img_PicSmall08_B01#UI_ActivityPhotoGraphV2_Img_PicSmall08_B02#UI_ActivityPhotoGraphV2_Img_PicSmall08_B03#UI_ActivityPhotoGraphV2_Img_PicSmall08_B04,3
23,51080109,UI_ActivityPhotoGraphV2_Img_PicSmall09,UI_ActivityPhotoGraphV2_Img_PicSmall09,5,15108009,29009,321038,UI_ActivityPhotoGraphV2_Img_PicSmall09_G01#UI_ActivityPhotoGraphV2_Img_PicSmall09_G02#UI_ActivityPhotoGraphV2_Img_PicSmall09_G03#UI_ActivityPhotoGraphV2_Img_PicSmall09_G04,UI_ActivityPhotoGraphV2_Img_PicSmall09_B01#UI_ActivityPhotoGraphV2_Img_PicSmall09_B02#UI_ActivityPhotoGraphV2_Img_PicSmall09_B03#UI_ActivityPhotoGraphV2_Img_PicSmall09_B04,3
24,51080110,UI_ActivityPhotoGraphV2_Img_PicSmall10,UI_ActivityPhotoGraphV2_Img_PicSmall10,5,15108010,29010,321039,UI_ActivityPhotoGraphV2_Img_PicSmall10_G01#UI_ActivityPhotoGraphV2_Img_PicSmall10_G02#UI_ActivityPhotoGraphV2_Img_PicSmall10_G03#UI_ActivityPhotoGraphV2_Img_PicSmall10_G04,UI_ActivityPhotoGraphV2_Img_PicSmall10_B01#UI_ActivityPhotoGraphV2_Img_PicSmall10_B02#UI_ActivityPhotoGraphV2_Img_PicSmall10_B03#UI_ActivityPhotoGraphV2_Img_PicSmall10_B04,3
25,51080111,UI_ActivityPhotoGraphV2_Img_PicSmall11,UI_ActivityPhotoGraphV2_Img_PicSmall11,6,15108011,29011,321040,UI_ActivityPhotoGraphV2_Img_PicSmall11_G01#UI_ActivityPhotoGraphV2_Img_PicSmall11_G02#UI_ActivityPhotoGraphV2_Img_PicSmall11_G03#UI_ActivityPhotoGraphV2_Img_PicSmall11_G04,UI_ActivityPhotoGraphV2_Img_PicSmall11_B01#UI_ActivityPhotoGraphV2_Img_PicSmall11_B02#UI_ActivityPhotoGraphV2_Img_PicSmall11_B03#UI_ActivityPhotoGraphV2_Img_PicSmall11_B04,3
26,51080112,UI_ActivityPhotoGraphV2_Img_PicSmall12,UI_ActivityPhotoGraphV2_Img_PicSmall12,6,15108012,29012,321041,UI_ActivityPhotoGraphV2_Img_PicSmall12_G01#UI_ActivityPhotoGraphV2_Img_PicSmall12_G02#UI_ActivityPhotoGraphV2_Img_PicSmall12_G03#UI_ActivityPhotoGraphV2_Img_PicSmall12_G04,UI_ActivityPhotoGraphV2_Img_PicSmall12_B01#UI_ActivityPhotoGraphV2_Img_PicSmall12_B02#UI_ActivityPhotoGraphV2_Img_PicSmall12_B03#UI_ActivityPhotoGraphV2_Img_PicSmall12_B04,3
27,51080113,UI_ActivityPhotoGraphV2_Img_PicSmall13,UI_ActivityPhotoGraphV2_Img_PicSmall13,7,15108013,29013,321042,UI_ActivityPhotoGraphV2_Img_PicSmall13_G01#UI_ActivityPhotoGraphV2_Img_PicSmall13_G02#UI_ActivityPhotoGraphV2_Img_PicSmall13_G03#UI_ActivityPhotoGraphV2_Img_PicSmall13_G04,UI_ActivityPhotoGraphV2_Img_PicSmall13_B01#UI_ActivityPhotoGraphV2_Img_PicSmall13_B02#UI_ActivityPhotoGraphV2_Img_PicSmall13_B03#UI_ActivityPhotoGraphV2_Img_PicSmall13_B04,3
28,51080114,UI_ActivityPhotoGraphV2_Img_PicSmall14,UI_ActivityPhotoGraphV2_Img_PicSmall14,7,15108014,29014,321043,UI_ActivityPhotoGraphV2_Img_PicSmall14_G01#UI_ActivityPhotoGraphV2_Img_PicSmall14_G02#UI_ActivityPhotoGraphV2_Img_PicSmall14_G03#UI_ActivityPhotoGraphV2_Img_PicSmall14_G04,UI_ActivityPhotoGraphV2_Img_PicSmall14_B01#UI_ActivityPhotoGraphV2_Img_PicSmall14_B02#UI_ActivityPhotoGraphV2_Img_PicSmall14_B03#UI_ActivityPhotoGraphV2_Img_PicSmall14_B04,3
