ID,类型,重量,排序权重,物件ID,可丢弃,使用等级,全局产出上限,数值用类型,圣遗物类别,阶数,主属性库ID,追加属性库ID,追加属性初始条数,套装ID,属性加成等级,基础转化经验,强化等级上限,摧毁规则,摧毁返还道具,摧毁返还数量,是否初始锁定
51352,3,1,10,70600043,,,,圣遗物,3,3,1000,301,2,10001,5#9#13#17#21,1260,13,1,202,1260,0
51353,3,1,10,70600043,,,,圣遗物,3,3,1000,301,3,10001,5#9#13#17#21,1260,13,1,202,1260,0
51354,3,1,10,70600043,,,,圣遗物,3,3,1000,301,4,10001,5#9#13#17#21,1260,13,1,202,1260,0
51410,3,1,10,70600044,,,,圣遗物,4,4,5000,401,0,10001,5#9#13#17#21,2520,17,1,202,2520,0
51411,3,1,10,70600044,,,,圣遗物,4,4,5000,401,1,10001,5#9#13#17#21,2520,17,1,202,2520,0
51412,3,1,10,70600044,,,,圣遗物,4,4,5000,401,2,10001,5#9#13#17#21,2520,17,1,202,2520,0
51413,3,1,10,70600044,,,,圣遗物,4,4,5000,401,3,10001,5#9#13#17#21,2520,17,1,202,2520,0
51414,3,1,10,70600044,,,,圣遗物,4,4,5000,401,4,10001,5#9#13#17#21,2520,17,1,202,2520,0
51420,3,1,10,70600044,,,,圣遗物,2,4,2000,401,0,10001,5#9#13#17#21,2520,17,1,202,2520,0
51421,3,1,10,70600044,,,,圣遗物,2,4,2000,401,1,10001,5#9#13#17#21,2520,17,1,202,2520,0
51422,3,1,10,70600044,,,,圣遗物,2,4,2000,401,2,10001,5#9#13#17#21,2520,17,1,202,2520,0
51423,3,1,10,70600044,,,,圣遗物,2,4,2000,401,3,10001,5#9#13#17#21,2520,17,1,202,2520,0
51424,3,1,10,70600044,,,,圣遗物,2,4,2000,401,4,10001,5#9#13#17#21,2520,17,1,202,2520,0
51430,3,1,10,70600044,,,,圣遗物,5,4,3000,401,0,10001,5#9#13#17#21,2520,17,1,202,2520,0
51431,3,1,10,70600044,,,,圣遗物,5,4,3000,401,1,10001,5#9#13#17#21,2520,17,1,202,2520,0
51432,3,1,10,70600044,,,,圣遗物,5,4,3000,401,2,10001,5#9#13#17#21,2520,17,1,202,2520,0
51433,3,1,10,70600044,,,,圣遗物,5,4,3000,401,3,10001,5#9#13#17#21,2520,17,1,202,2520,0
51434,3,1,10,70600044,,,,圣遗物,5,4,3000,401,4,10001,5#9#13#17#21,2520,17,1,202,2520,0
51440,3,1,10,70600044,,,,圣遗物,1,4,4000,401,0,10001,5#9#13#17#21,2520,17,1,202,2520,0
51441,3,1,10,70600044,,,,圣遗物,1,4,4000,401,1,10001,5#9#13#17#21,2520,17,1,202,2520,0
51442,3,1,10,70600044,,,,圣遗物,1,4,4000,401,2,10001,5#9#13#17#21,2520,17,1,202,2520,0
51443,3,1,10,70600044,,,,圣遗物,1,4,4000,401,3,10001,5#9#13#17#21,2520,17,1,202,2520,0
51444,3,1,10,70600044,,,,圣遗物,1,4,4000,401,4,10001,5#9#13#17#21,2520,17,1,202,2520,0
51450,3,1,10,70600044,,,,圣遗物,3,4,1000,401,0,10001,5#9#13#17#21,2520,17,1,202,2520,0
51451,3,1,10,70600044,,,,圣遗物,3,4,1000,401,1,10001,5#9#13#17#21,2520,17,1,202,2520,0
51452,3,1,10,70600044,,,,圣遗物,3,4,1000,401,2,10001,5#9#13#17#21,2520,17,1,202,2520,0
51453,3,1,10,70600044,,,,圣遗物,3,4,1000,401,3,10001,5#9#13#17#21,2520,17,1,202,2520,0
51454,3,1,10,70600044,,,,圣遗物,3,4,1000,401,4,10001,5#9#13#17#21,2520,17,1,202,2520,0
51510,3,1,10,70600045,,,,圣遗物,4,5,5000,501,0,10001,5#9#13#17#21,3780,21,0,,,0
51511,3,1,10,70600045,,,,圣遗物,4,5,5000,501,1,10001,5#9#13#17#21,3780,21,0,,,0
51512,3,1,10,70600045,,,,圣遗物,4,5,5000,501,2,10001,5#9#13#17#21,3780,21,0,,,0
51513,3,1,10,70600045,,,,圣遗物,4,5,5000,501,3,10001,5#9#13#17#21,3780,21,0,,,0
51514,3,1,10,70600045,,,,圣遗物,4,5,5000,501,4,10001,5#9#13#17#21,3780,21,0,,,0
51520,3,1,10,70600045,,,,圣遗物,2,5,2000,501,0,10001,5#9#13#17#21,3780,21,0,,,0
51521,3,1,10,70600045,,,,圣遗物,2,5,2000,501,1,10001,5#9#13#17#21,3780,21,0,,,0
51522,3,1,10,70600045,,,,圣遗物,2,5,2000,501,2,10001,5#9#13#17#21,3780,21,0,,,0
51523,3,1,10,70600045,,,,圣遗物,2,5,2000,501,3,10001,5#9#13#17#21,3780,21,0,,,0
51524,3,1,10,70600045,,,,圣遗物,2,5,2000,501,4,10001,5#9#13#17#21,3780,21,0,,,0
51530,3,1,10,70600045,,,,圣遗物,5,5,3000,501,0,10001,5#9#13#17#21,3780,21,0,,,0
51531,3,1,10,70600045,,,,圣遗物,5,5,3000,501,1,10001,5#9#13#17#21,3780,21,0,,,0
51532,3,1,10,70600045,,,,圣遗物,5,5,3000,501,2,10001,5#9#13#17#21,3780,21,0,,,0
51533,3,1,10,70600045,,,,圣遗物,5,5,3000,501,3,10001,5#9#13#17#21,3780,21,0,,,0
51534,3,1,10,70600045,,,,圣遗物,5,5,3000,501,4,10001,5#9#13#17#21,3780,21,0,,,0
51540,3,1,10,70600045,,,,圣遗物,1,5,4000,501,0,10001,5#9#13#17#21,3780,21,0,,,0
51541,3,1,10,70600045,,,,圣遗物,1,5,4000,501,1,10001,5#9#13#17#21,3780,21,0,,,0
51542,3,1,10,70600045,,,,圣遗物,1,5,4000,501,2,10001,5#9#13#17#21,3780,21,0,,,0
51543,3,1,10,70600045,,,,圣遗物,1,5,4000,501,3,10001,5#9#13#17#21,3780,21,0,,,0
51544,3,1,10,70600045,,,,圣遗物,1,5,4000,501,4,10001,5#9#13#17#21,3780,21,0,,,0
51550,3,1,10,70600045,,,,圣遗物,3,5,1000,501,0,10001,5#9#13#17#21,3780,21,0,,,0
51551,3,1,10,70600045,,,,圣遗物,3,5,1000,501,1,10001,5#9#13#17#21,3780,21,0,,,0
51552,3,1,10,70600045,,,,圣遗物,3,5,1000,501,2,10001,5#9#13#17#21,3780,21,0,,,0
51553,3,1,10,70600045,,,,圣遗物,3,5,1000,501,3,10001,5#9#13#17#21,3780,21,0,,,0
51554,3,1,10,70600045,,,,圣遗物,3,5,1000,501,4,10001,5#9#13#17#21,3780,21,0,,,0
52110,3,1,10,70600041,,,,圣遗物,4,1,5000,101,0,10002,5#9#13#17#21,420,5,1,202,420,0
52111,3,1,10,70600041,,,,圣遗物,4,1,5000,101,1,10002,5#9#13#17#21,420,5,1,202,420,0
52112,3,1,10,70600041,,,,圣遗物,4,1,5000,101,2,10002,5#9#13#17#21,420,5,1,202,420,0
52113,3,1,10,70600041,,,,圣遗物,4,1,5000,101,3,10002,5#9#13#17#21,420,5,1,202,420,0
52114,3,1,10,70600041,,,,圣遗物,4,1,5000,101,4,10002,5#9#13#17#21,420,5,1,202,420,0
52120,3,1,10,70600041,,,,圣遗物,2,1,2000,101,0,10002,5#9#13#17#21,420,5,1,202,420,0
52121,3,1,10,70600041,,,,圣遗物,2,1,2000,101,1,10002,5#9#13#17#21,420,5,1,202,420,0
52122,3,1,10,70600041,,,,圣遗物,2,1,2000,101,2,10002,5#9#13#17#21,420,5,1,202,420,0
52123,3,1,10,70600041,,,,圣遗物,2,1,2000,101,3,10002,5#9#13#17#21,420,5,1,202,420,0
52124,3,1,10,70600041,,,,圣遗物,2,1,2000,101,4,10002,5#9#13#17#21,420,5,1,202,420,0
52130,3,1,10,70600041,,,,圣遗物,5,1,3000,101,0,10002,5#9#13#17#21,420,5,1,202,420,0
52131,3,1,10,70600041,,,,圣遗物,5,1,3000,101,1,10002,5#9#13#17#21,420,5,1,202,420,0
52132,3,1,10,70600041,,,,圣遗物,5,1,3000,101,2,10002,5#9#13#17#21,420,5,1,202,420,0
52133,3,1,10,70600041,,,,圣遗物,5,1,3000,101,3,10002,5#9#13#17#21,420,5,1,202,420,0
52134,3,1,10,70600041,,,,圣遗物,5,1,3000,101,4,10002,5#9#13#17#21,420,5,1,202,420,0
52140,3,1,10,70600041,,,,圣遗物,1,1,4000,101,0,10002,5#9#13#17#21,420,5,1,202,420,0
52141,3,1,10,70600041,,,,圣遗物,1,1,4000,101,1,10002,5#9#13#17#21,420,5,1,202,420,0
52142,3,1,10,70600041,,,,圣遗物,1,1,4000,101,2,10002,5#9#13#17#21,420,5,1,202,420,0
52143,3,1,10,70600041,,,,圣遗物,1,1,4000,101,3,10002,5#9#13#17#21,420,5,1,202,420,0
52144,3,1,10,70600041,,,,圣遗物,1,1,4000,101,4,10002,5#9#13#17#21,420,5,1,202,420,0
52150,3,1,10,70600041,,,,圣遗物,3,1,1000,101,0,10002,5#9#13#17#21,420,5,1,202,420,0
52151,3,1,10,70600041,,,,圣遗物,3,1,1000,101,1,10002,5#9#13#17#21,420,5,1,202,420,0
52152,3,1,10,70600041,,,,圣遗物,3,1,1000,101,2,10002,5#9#13#17#21,420,5,1,202,420,0
52153,3,1,10,70600041,,,,圣遗物,3,1,1000,101,3,10002,5#9#13#17#21,420,5,1,202,420,0
52154,3,1,10,70600041,,,,圣遗物,3,1,1000,101,4,10002,5#9#13#17#21,420,5,1,202,420,0
52210,3,1,10,70600042,,,,圣遗物,4,2,5000,201,0,10002,5#9#13#17#21,840,5,1,202,840,0
52211,3,1,10,70600042,,,,圣遗物,4,2,5000,201,1,10002,5#9#13#17#21,840,5,1,202,840,0
52212,3,1,10,70600042,,,,圣遗物,4,2,5000,201,2,10002,5#9#13#17#21,840,5,1,202,840,0
52213,3,1,10,70600042,,,,圣遗物,4,2,5000,201,3,10002,5#9#13#17#21,840,5,1,202,840,0
52214,3,1,10,70600042,,,,圣遗物,4,2,5000,201,4,10002,5#9#13#17#21,840,5,1,202,840,0
52220,3,1,10,70600042,,,,圣遗物,2,2,2000,201,0,10002,5#9#13#17#21,840,5,1,202,840,0
52221,3,1,10,70600042,,,,圣遗物,2,2,2000,201,1,10002,5#9#13#17#21,840,5,1,202,840,0
52222,3,1,10,70600042,,,,圣遗物,2,2,2000,201,2,10002,5#9#13#17#21,840,5,1,202,840,0
52223,3,1,10,70600042,,,,圣遗物,2,2,2000,201,3,10002,5#9#13#17#21,840,5,1,202,840,0
52224,3,1,10,70600042,,,,圣遗物,2,2,2000,201,4,10002,5#9#13#17#21,840,5,1,202,840,0
52230,3,1,10,70600042,,,,圣遗物,5,2,3000,201,0,10002,5#9#13#17#21,840,5,1,202,840,0
52231,3,1,10,70600042,,,,圣遗物,5,2,3000,201,1,10002,5#9#13#17#21,840,5,1,202,840,0
52232,3,1,10,70600042,,,,圣遗物,5,2,3000,201,2,10002,5#9#13#17#21,840,5,1,202,840,0
52233,3,1,10,70600042,,,,圣遗物,5,2,3000,201,3,10002,5#9#13#17#21,840,5,1,202,840,0
52234,3,1,10,70600042,,,,圣遗物,5,2,3000,201,4,10002,5#9#13#17#21,840,5,1,202,840,0
52240,3,1,10,70600042,,,,圣遗物,1,2,4000,201,0,10002,5#9#13#17#21,840,5,1,202,840,0
52241,3,1,10,70600042,,,,圣遗物,1,2,4000,201,1,10002,5#9#13#17#21,840,5,1,202,840,0
52242,3,1,10,70600042,,,,圣遗物,1,2,4000,201,2,10002,5#9#13#17#21,840,5,1,202,840,0
52243,3,1,10,70600042,,,,圣遗物,1,2,4000,201,3,10002,5#9#13#17#21,840,5,1,202,840,0
52244,3,1,10,70600042,,,,圣遗物,1,2,4000,201,4,10002,5#9#13#17#21,840,5,1,202,840,0
52250,3,1,10,70600042,,,,圣遗物,3,2,1000,201,0,10002,5#9#13#17#21,840,5,1,202,840,0
52251,3,1,10,70600042,,,,圣遗物,3,2,1000,201,1,10002,5#9#13#17#21,840,5,1,202,840,0
52252,3,1,10,70600042,,,,圣遗物,3,2,1000,201,2,10002,5#9#13#17#21,840,5,1,202,840,0
52253,3,1,10,70600042,,,,圣遗物,3,2,1000,201,3,10002,5#9#13#17#21,840,5,1,202,840,0
52254,3,1,10,70600042,,,,圣遗物,3,2,1000,201,4,10002,5#9#13#17#21,840,5,1,202,840,0
52310,3,1,10,70600043,,,,圣遗物,4,3,5000,301,0,10002,5#9#13#17#21,1260,13,1,202,1260,0
52311,3,1,10,70600043,,,,圣遗物,4,3,5000,301,1,10002,5#9#13#17#21,1260,13,1,202,1260,0
52312,3,1,10,70600043,,,,圣遗物,4,3,5000,301,2,10002,5#9#13#17#21,1260,13,1,202,1260,0
52313,3,1,10,70600043,,,,圣遗物,4,3,5000,301,3,10002,5#9#13#17#21,1260,13,1,202,1260,0
52314,3,1,10,70600043,,,,圣遗物,4,3,5000,301,4,10002,5#9#13#17#21,1260,13,1,202,1260,0
52320,3,1,10,70600043,,,,圣遗物,2,3,2000,301,0,10002,5#9#13#17#21,1260,13,1,202,1260,0
52321,3,1,10,70600043,,,,圣遗物,2,3,2000,301,1,10002,5#9#13#17#21,1260,13,1,202,1260,0
52322,3,1,10,70600043,,,,圣遗物,2,3,2000,301,2,10002,5#9#13#17#21,1260,13,1,202,1260,0
52323,3,1,10,70600043,,,,圣遗物,2,3,2000,301,3,10002,5#9#13#17#21,1260,13,1,202,1260,0
52324,3,1,10,70600043,,,,圣遗物,2,3,2000,301,4,10002,5#9#13#17#21,1260,13,1,202,1260,0
52330,3,1,10,70600043,,,,圣遗物,5,3,3000,301,0,10002,5#9#13#17#21,1260,13,1,202,1260,0
52331,3,1,10,70600043,,,,圣遗物,5,3,3000,301,1,10002,5#9#13#17#21,1260,13,1,202,1260,0
52332,3,1,10,70600043,,,,圣遗物,5,3,3000,301,2,10002,5#9#13#17#21,1260,13,1,202,1260,0
52333,3,1,10,70600043,,,,圣遗物,5,3,3000,301,3,10002,5#9#13#17#21,1260,13,1,202,1260,0
52334,3,1,10,70600043,,,,圣遗物,5,3,3000,301,4,10002,5#9#13#17#21,1260,13,1,202,1260,0
52340,3,1,10,70600043,,,,圣遗物,1,3,4000,301,0,10002,5#9#13#17#21,1260,13,1,202,1260,0
52341,3,1,10,70600043,,,,圣遗物,1,3,4000,301,1,10002,5#9#13#17#21,1260,13,1,202,1260,0
52342,3,1,10,70600043,,,,圣遗物,1,3,4000,301,2,10002,5#9#13#17#21,1260,13,1,202,1260,0
52343,3,1,10,70600043,,,,圣遗物,1,3,4000,301,3,10002,5#9#13#17#21,1260,13,1,202,1260,0
52344,3,1,10,70600043,,,,圣遗物,1,3,4000,301,4,10002,5#9#13#17#21,1260,13,1,202,1260,0
52350,3,1,10,70600043,,,,圣遗物,3,3,1000,301,0,10002,5#9#13#17#21,1260,13,1,202,1260,0
52351,3,1,10,70600043,,,,圣遗物,3,3,1000,301,1,10002,5#9#13#17#21,1260,13,1,202,1260,0
52352,3,1,10,70600043,,,,圣遗物,3,3,1000,301,2,10002,5#9#13#17#21,1260,13,1,202,1260,0
52353,3,1,10,70600043,,,,圣遗物,3,3,1000,301,3,10002,5#9#13#17#21,1260,13,1,202,1260,0
52354,3,1,10,70600043,,,,圣遗物,3,3,1000,301,4,10002,5#9#13#17#21,1260,13,1,202,1260,0
52410,3,1,10,70600044,,,,圣遗物,4,4,5000,401,0,10002,5#9#13#17#21,2520,17,1,202,2520,0
52411,3,1,10,70600044,,,,圣遗物,4,4,5000,401,1,10002,5#9#13#17#21,2520,17,1,202,2520,0
52412,3,1,10,70600044,,,,圣遗物,4,4,5000,401,2,10002,5#9#13#17#21,2520,17,1,202,2520,0
52413,3,1,10,70600044,,,,圣遗物,4,4,5000,401,3,10002,5#9#13#17#21,2520,17,1,202,2520,0
52414,3,1,10,70600044,,,,圣遗物,4,4,5000,401,4,10002,5#9#13#17#21,2520,17,1,202,2520,0
52420,3,1,10,70600044,,,,圣遗物,2,4,2000,401,0,10002,5#9#13#17#21,2520,17,1,202,2520,0
52421,3,1,10,70600044,,,,圣遗物,2,4,2000,401,1,10002,5#9#13#17#21,2520,17,1,202,2520,0
52422,3,1,10,70600044,,,,圣遗物,2,4,2000,401,2,10002,5#9#13#17#21,2520,17,1,202,2520,0
52423,3,1,10,70600044,,,,圣遗物,2,4,2000,401,3,10002,5#9#13#17#21,2520,17,1,202,2520,0
52424,3,1,10,70600044,,,,圣遗物,2,4,2000,401,4,10002,5#9#13#17#21,2520,17,1,202,2520,0
52430,3,1,10,70600044,,,,圣遗物,5,4,3000,401,0,10002,5#9#13#17#21,2520,17,1,202,2520,0
52431,3,1,10,70600044,,,,圣遗物,5,4,3000,401,1,10002,5#9#13#17#21,2520,17,1,202,2520,0
52432,3,1,10,70600044,,,,圣遗物,5,4,3000,401,2,10002,5#9#13#17#21,2520,17,1,202,2520,0
52433,3,1,10,70600044,,,,圣遗物,5,4,3000,401,3,10002,5#9#13#17#21,2520,17,1,202,2520,0
52434,3,1,10,70600044,,,,圣遗物,5,4,3000,401,4,10002,5#9#13#17#21,2520,17,1,202,2520,0
52440,3,1,10,70600044,,,,圣遗物,1,4,4000,401,0,10002,5#9#13#17#21,2520,17,1,202,2520,0
52441,3,1,10,70600044,,,,圣遗物,1,4,4000,401,1,10002,5#9#13#17#21,2520,17,1,202,2520,0
52442,3,1,10,70600044,,,,圣遗物,1,4,4000,401,2,10002,5#9#13#17#21,2520,17,1,202,2520,0
52443,3,1,10,70600044,,,,圣遗物,1,4,4000,401,3,10002,5#9#13#17#21,2520,17,1,202,2520,0
52444,3,1,10,70600044,,,,圣遗物,1,4,4000,401,4,10002,5#9#13#17#21,2520,17,1,202,2520,0
52450,3,1,10,70600044,,,,圣遗物,3,4,1000,401,0,10002,5#9#13#17#21,2520,17,1,202,2520,0
52451,3,1,10,70600044,,,,圣遗物,3,4,1000,401,1,10002,5#9#13#17#21,2520,17,1,202,2520,0
52452,3,1,10,70600044,,,,圣遗物,3,4,1000,401,2,10002,5#9#13#17#21,2520,17,1,202,2520,0
52453,3,1,10,70600044,,,,圣遗物,3,4,1000,401,3,10002,5#9#13#17#21,2520,17,1,202,2520,0
52454,3,1,10,70600044,,,,圣遗物,3,4,1000,401,4,10002,5#9#13#17#21,2520,17,1,202,2520,0
52510,3,1,10,70600045,,,,圣遗物,4,5,5000,501,0,10002,5#9#13#17#21,3780,21,0,,,0
52511,3,1,10,70600045,,,,圣遗物,4,5,5000,501,1,10002,5#9#13#17#21,3780,21,0,,,0
52512,3,1,10,70600045,,,,圣遗物,4,5,5000,501,2,10002,5#9#13#17#21,3780,21,0,,,0
52513,3,1,10,70600045,,,,圣遗物,4,5,5000,501,3,10002,5#9#13#17#21,3780,21,0,,,0
52514,3,1,10,70600045,,,,圣遗物,4,5,5000,501,4,10002,5#9#13#17#21,3780,21,0,,,0
52520,3,1,10,70600045,,,,圣遗物,2,5,2000,501,0,10002,5#9#13#17#21,3780,21,0,,,0
