关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1上半场参数	[评价]1参数	[评价]2条件	[评价]2上半场参数	[评价]2参数	[评价]3条件	[评价]3上半场参数	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	怪物等级	是否分路
20	7	2	3443	3	1,120	2,120	3	1,300	2,300	3	1,390	2,390	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	64	1
21	7	3	3543	3	1,120	2,120	3	1,330	2,330	3	1,450	2,450	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	64	1
22	8	1	3344	3	1,180	2,180	3	1,330	2,330	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	69	1
23	8	2	3444	3	1,180	2,180	3	1,300	2,300	3	1,360	2,360	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100	69	1
24	8	3	3544	3	1,60	2,60	3	1,120	2,120	3	1,180	2,180	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,35:100,36:100,17:100	19:100	69	1
25	9	1	3371	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	71	1
26	9	2	3471	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	73	1
27	9	3	3571	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	75	1
28	10	1	3375	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,24:100	16:100,25:100,28:100,29:100,32:100,36:100	31:100	79	1
29	10	2	3475	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100	81	1
30	10	3	3575	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100	84	1
31	11	1	3373	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	87	1
32	11	2	3473	2	234703002,2016,20	234703002,2016,20	2	234703002,2016,40	234703002,2016,40	2	234703002,2016,60	234703002,2016,60	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	89	1
33	11	3	3573	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100	91	1
34	12	1	3374	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	94	1
35	12	2	3474	2	234704003,3024,20	234704003,3024,20	2	234704003,3024,40	234704003,3024,40	2	234704003,3024,60	234704003,3024,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	97	1
36	12	3	3574	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	99	1
37	13	1	3376	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	71	1
38	13	2	3476	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	73	1
39	13	3	3576	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	75	1
40	14	1	3377	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,24:100	16:100,25:100,28:100,29:100,32:100,36:100	31:100	79	1
41	14	2	3477	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100	81	1
42	14	3	3577	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100	84	1
43	15	1	3379	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	87	1
44	15	2	3479	2	234709003,3024,20	234709003,3024,20	2	234709003,3024,40	234709003,3024,40	2	234709003,3024,60	234709003,3024,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	89	1
45	15	3	3579	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	91	1
46	16	1	3378	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	94	1
47	16	2	3478	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	97	1
48	16	3	3578	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100	99	1
49	17	1	3380	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	94	1
50	17	2	3480	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	97	1
51	17	3	3580	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100	99	1
52	18	1	3381	2	233711003,3024,20	233711003,3024,20	2	233711003,3024,40	233711003,3024,40	2	233711003,3024,60	233711003,3024,60	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	87	1
53	18	2	3481	3	1,120	2,120	3	1,240	2,240	3	1,360	2,360	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	89	1
54	18	3	3581	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100	91	1
55	19	1	3382	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100	94	1
56	19	2	3482	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100	97	1
57	19	3	3582	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100	99	1
58	20	1	3383	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	71	1
59	20	2	3483	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	73	1
60	20	3	3583	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	19:100	75	1
61	21	1	3384	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	79	1
62	21	2	3484	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	81	1
63	21	3	3584	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	19:100	84	1
64	22	1	3385	2	233715003,3024,20	233715003,3024,20	2	233715003,3024,40	233715003,3024,40	2	233715003,3024,60	233715003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	87	1
65	22	2	3485	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	89	1
66	22	3	3585	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	91	1
67	23	1	3386	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	94	1
68	23	2	3486	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	97	1
69	23	3	3586	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	99	1
70	24	1	3387	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	12:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	71	1
71	24	2	3487	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	12:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	73	1
72	24	3	3587	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	12:100,28:100,29:100,35:100,38:100	19:100	75	1
73	25	1	3388	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	79	1
74	25	2	3488	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	81	1
75	25	3	3588	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,28:100,29:100,35:100,38:100	19:100	84	1
76	26	1	3389	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	87	1
77	26	2	3489	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	89	1
78	26	3	3589	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	91	1
79	27	1	3390	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	94	1
80	27	2	3490	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	97	1
81	27	3	3590	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	99	1
82	28	1	3391	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100	87	1
83	28	2	3491	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	89	1
84	28	3	3591	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	91	1
85	29	1	3392	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	94	1
86	29	2	3492	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100	97	1
87	29	3	3592	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100	99	1
88	30	1	3393	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
89	30	2	3493	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
90	30	3	3593	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
91	31	1	3394	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
92	31	2	3494	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
93	31	3	3594	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
94	32	1	3395	2	233725003,3024,20	233725003,3024,20	2	233725003,3024,40	233725003,3024,40	2	233725003,3024,60	233725003,3024,60	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
95	32	2	3495	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
96	32	3	3595	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
97	33	1	3396	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
98	33	2	3496	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
99	33	3	3596	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
100	34	1	3397	2	233727003,3024,20	233727003,3024,20	2	233727003,3024,40	233727003,3024,40	2	233727003,3024,60	233727003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
101	34	2	3497	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
102	34	3	3597	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
103	35	1	3398	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
104	35	2	3498	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
105	35	3	3598	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
106	36	1	3399	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
107	36	2	3499	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
108	36	3	3599	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
109	37	1	3400	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
110	37	2	3500	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
111	37	3	3600	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
112	38	1	3401	2	233731003,3024,20	233731003,3024,20	2	233731003,3024,40	233731003,3024,40	2	233731003,3024,60	233731003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
113	38	2	3501	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
114	38	3	3601	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
115	39	1	3402	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
116	39	2	3502	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
117	39	3	3602	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
118	40	1	3403	2	233733003,3024,20	233733003,3024,20	2	233733003,3024,40	233733003,3024,40	2	233733003,3024,60	233733003,3024,60	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
119	40	2	3503	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
120	40	3	3603	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
121	41	1	3404	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
122	41	2	3504	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
123	41	3	3604	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,6:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
124	42	1	3405	2	233735003,3024,20	233735003,3024,20	2	233735003,3024,40	233735003,3024,40	2	233735003,3024,60	233735003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
125	42	2	3505	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
126	42	3	3605	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
127	43	1	3406	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
128	43	2	3506	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
129	43	3	3606	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
130	44	1	3407	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	7:100,22:100,31:100	71	1
131	44	2	3507	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	7:100,22:100,34:100	73	1
132	44	3	3607	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	19:100	75	1
133	45	1	3408	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	7:100,22:100,31:100	79	1
