掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限	活动产出次数上限
520004			0	1	60114	1	1000	60124	1	1000	60134	1	1000	60144	1	1000	60154	1	1000																																																													0					
520005			0	1	60210	1	1000	60220	1	1000	60230	1	1000	60240	1	1000	60250	1	1000																																																													0					
520006			0	1	60211	1	1000	60221	1	1000	60231	1	1000	60241	1	1000	60251	1	1000																																																													0					
520007			0	1	60212	1	1000	60222	1	1000	60232	1	1000	60242	1	1000	60252	1	1000																																																													0					
520008			0	1	60213	1	1000	60223	1	1000	60233	1	1000	60243	1	1000	60253	1	1000																																																													0					
520009			0	1	60214	1	1000	60224	1	1000	60234	1	1000	60244	1	1000	60254	1	1000																																																													0					
520010			0	1	60310	1	1000	60320	1	1000	60330	1	1000	60340	1	1000	60350	1	1000																																																													0					
520011			0	1	60311	1	1000	60321	1	1000	60331	1	1000	60341	1	1000	60351	1	1000																																																													0					
520012			0	1	60312	1	1000	60322	1	1000	60332	1	1000	60342	1	1000	60352	1	1000																																																													0					
520013			0	1	60313	1	1000	60323	1	1000	60333	1	1000	60343	1	1000	60353	1	1000																																																													0					
520014			0	1	60314	1	1000	60324	1	1000	60334	1	1000	60344	1	1000	60354	1	1000																																																													0					
520015			0	1	60410	1	1000	60420	1	1000	60430	1	1000	60440	1	1000	60450	1	1000																																																													0					
520016			0	1	60411	1	1000	60421	1	1000	60431	1	1000	60441	1	1000	60451	1	1000																																																													0					
520017			0	1	60412	1	1000	60422	1	1000	60432	1	1000	60442	1	1000	60452	1	1000																																																													0					
520018			0	1	60413	1	1000	60423	1	1000	60433	1	1000	60443	1	1000	60453	1	1000																																																													0					
520019			0	1	60414	1	1000	60424	1	1000	60434	1	1000	60444	1	1000	60454	1	1000																																																													0					
520020			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520021			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520022			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520023			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520024			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520050			0	1	61110	1	1000	61120	1	1000	61130	1	1000	61140	1	1000	61150	1	1000																																																													0					
520051			0	1	61111	1	1000	61121	1	1000	61131	1	1000	61141	1	1000	61151	1	1000																																																													0					
520052			0	1	61112	1	1000	61122	1	1000	61132	1	1000	61142	1	1000	61152	1	1000																																																													0					
520053			0	1	61113	1	1000	61123	1	1000	61133	1	1000	61143	1	1000	61153	1	1000																																																													0					
520054			0	1	61114	1	1000	61124	1	1000	61134	1	1000	61144	1	1000	61154	1	1000																																																													0					
520055			0	1	61210	1	1000	61220	1	1000	61230	1	1000	61240	1	1000	61250	1	1000																																																													0					
520056			0	1	61211	1	1000	61221	1	1000	61231	1	1000	61241	1	1000	61251	1	1000																																																													0					
520057			0	1	61212	1	1000	61222	1	1000	61232	1	1000	61242	1	1000	61252	1	1000																																																													0					
520058			0	1	61213	1	1000	61223	1	1000	61233	1	1000	61243	1	1000	61253	1	1000																																																													0					
520059			0	1	61214	1	1000	61224	1	1000	61234	1	1000	61244	1	1000	61254	1	1000																																																													0					
520060			0	1	61310	1	1000	61320	1	1000	61330	1	1000	61340	1	1000	61350	1	1000																																																													0					
520061			0	1	61311	1	1000	61321	1	1000	61331	1	1000	61341	1	1000	61351	1	1000																																																													0					
520062			0	1	61312	1	1000	61322	1	1000	61332	1	1000	61342	1	1000	61352	1	1000																																																													0					
520063			0	1	61313	1	1000	61323	1	1000	61333	1	1000	61343	1	1000	61353	1	1000																																																													0					
520064			0	1	61314	1	1000	61324	1	1000	61334	1	1000	61344	1	1000	61354	1	1000																																																													0					
520065			0	1	61410	1	1000	61420	1	1000	61430	1	1000	61440	1	1000	61450	1	1000																																																													0					
520066			0	1	61411	1	1000	61421	1	1000	61431	1	1000	61441	1	1000	61451	1	1000																																																													0					
520067			0	1	61412	1	1000	61422	1	1000	61432	1	1000	61442	1	1000	61452	1	1000																																																													0					
520068			0	1	61413	1	1000	61423	1	1000	61433	1	1000	61443	1	1000	61453	1	1000																																																													0					
520069			0	1	61414	1	1000	61424	1	1000	61434	1	1000	61444	1	1000	61454	1	1000																																																													0					
520070			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520071			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520072			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520073			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520074			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520100			0	1	63110	1	1000	63120	1	1000	63130	1	1000	63140	1	1000	63150	1	1000																																																													0					
520101			0	1	63111	1	1000	63121	1	1000	63131	1	1000	63141	1	1000	63151	1	1000																																																													0					
520102			0	1	63112	1	1000	63122	1	1000	63132	1	1000	63142	1	1000	63152	1	1000																																																													0					
520103			0	1	63113	1	1000	63123	1	1000	63133	1	1000	63143	1	1000	63153	1	1000																																																													0					
520104			0	1	63114	1	1000	63124	1	1000	63134	1	1000	63144	1	1000	63154	1	1000																																																													0					
520105			0	1	63210	1	1000	63220	1	1000	63230	1	1000	63240	1	1000	63250	1	1000																																																													0					
520106			0	1	63211	1	1000	63221	1	1000	63231	1	1000	63241	1	1000	63251	1	1000																																																													0					
520107			0	1	63212	1	1000	63222	1	1000	63232	1	1000	63242	1	1000	63252	1	1000																																																													0					
520108			0	1	63213	1	1000	63223	1	1000	63233	1	1000	63243	1	1000	63253	1	1000																																																													0					
520109			0	1	63214	1	1000	63224	1	1000	63234	1	1000	63244	1	1000	63254	1	1000																																																													0					
520110			0	1	63310	1	1000	63320	1	1000	63330	1	1000	63340	1	1000	63350	1	1000																																																													0					
520111			0	1	63311	1	1000	63321	1	1000	63331	1	1000	63341	1	1000	63351	1	1000																																																													0					
520112			0	1	63312	1	1000	63322	1	1000	63332	1	1000	63342	1	1000	63352	1	1000																																																													0					
520113			0	1	63313	1	1000	63323	1	1000	63333	1	1000	63343	1	1000	63353	1	1000																																																													0					
520114			0	1	63314	1	1000	63324	1	1000	63334	1	1000	63344	1	1000	63354	1	1000																																																													0					
520115			0	1	63410	1	1000	63420	1	1000	63430	1	1000	63440	1	1000	63450	1	1000																																																													0					
520116			0	1	63411	1	1000	63421	1	1000	63431	1	1000	63441	1	1000	63451	1	1000																																																													0					
520117			0	1	63412	1	1000	63422	1	1000	63432	1	1000	63442	1	1000	63452	1	1000																																																													0					
520118			0	1	63413	1	1000	63423	1	1000	63433	1	1000	63443	1	1000	63453	1	1000																																																													0					
520119			0	1	63414	1	1000	63424	1	1000	63434	1	1000	63444	1	1000	63454	1	1000																																																													0					
520120			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520121			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520122			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520123			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520124			0	1		1	1000		1	1000		1	1000		1	1000		1	1000																																																													0					
520500			0	1	51110	1	1000	51120	1	1000	51130	1	1000	51140	1	1000	51150	1	1000																																																													0					
520501			0	1	51111	1	1000	51121	1	1000	51131	1	1000	51141	1	1000	51151	1	1000																																																													0					
520502			0	1	51112	1	1000	51122	1	1000	51132	1	1000	51142	1	1000	51152	1	1000																																																													0					
520503			0	1	51113	1	1000	51123	1	1000	51133	1	1000	51143	1	1000	51153	1	1000																																																													0					
520504			0	1	51114	1	1000	51124	1	1000	51134	1	1000	51144	1	1000	51154	1	1000																																																													0					
520505			0	1	51210	1	1000	51220	1	1000	51230	1	1000	51240	1	1000	51250	1	1000																																																													0					
520506			0	1	51211	1	1000	51221	1	1000	51231	1	1000	51241	1	1000	51251	1	1000																																																													0					
520507			0	1	51212	1	1000	51222	1	1000	51232	1	1000	51242	1	1000	51252	1	1000																																																													0					
520508			0	1	51213	1	1000	51223	1	1000	51233	1	1000	51243	1	1000	51253	1	1000																																																													0					
520509			0	1	51214	1	1000	51224	1	1000	51234	1	1000	51244	1	1000	51254	1	1000																																																													0					
520510			0	1	51310	1	1000	51320	1	1000	51330	1	1000	51340	1	1000	51350	1	1000																																																													0					
520511			0	1	51311	1	1000	51321	1	1000	51331	1	1000	51341	1	1000	51351	1	1000																																																													0					
520512			0	1	51312	1	1000	51322	1	1000	51332	1	1000	51342	1	1000	51352	1	1000																																																													0					
520513			0	1	51313	1	1000	51323	1	1000	51333	1	1000	51343	1	1000	51353	1	1000																																																													0					
520514			0	1	51314	1	1000	51324	1	1000	51334	1	1000	51344	1	1000	51354	1	1000																																																													0					
520515			0	1	51410	1	1000	51420	1	1000	51430	1	1000	51440	1	1000	51450	1	1000																																																													0					
520516			0	1	51411	1	1000	51421	1	1000	51431	1	1000	51441	1	1000	51451	1	1000																																																													0					
520517			0	1	51412	1	1000	51422	1	1000	51432	1	1000	51442	1	1000	51452	1	1000																																																													0					
520518			0	1	51413	1	1000	51423	1	1000	51433	1	1000	51443	1	1000	51453	1	1000																																																													0					
520519			0	1	51414	1	1000	51424	1	1000	51434	1	1000	51444	1	1000	51454	1	1000																																																													0					
520520			0	1	51510	1	1000	51520	1	1000	51530	1	1000	51540	1	1000	51550	1	1000																																																													0					
520521			0	1	51511	1	1000	51521	1	1000	51531	1	1000	51541	1	1000	51551	1	1000																																																													0					
520522			0	1	51512	1	1000	51522	1	1000	51532	1	1000	51542	1	1000	51552	1	1000																																																													0					
520523			0	1	51513	1	1000	51523	1	1000	51533	1	1000	51543	1	1000	51553	1	1000																																																													0					
520524			0	1	51514	1	1000	51524	1	1000	51534	1	1000	51544	1	1000	51554	1	1000																																																													0					
520550			0	1	54110	1	1000	54120	1	1000	54130	1	1000	54140	1	1000	54150	1	1000																																																													0					
520551			0	1	54111	1	1000	54121	1	1000	54131	1	1000	54141	1	1000	54151	1	1000																																																													0					
520552			0	1	54112	1	1000	54122	1	1000	54132	1	1000	54142	1	1000	54152	1	1000																																																													0					
520553			0	1	54113	1	1000	54123	1	1000	54133	1	1000	54143	1	1000	54153	1	1000																																																													0					
520554			0	1	54114	1	1000	54124	1	1000	54134	1	1000	54144	1	1000	54154	1	1000																																																													0					
520555			0	1	54210	1	1000	54220	1	1000	54230	1	1000	54240	1	1000	54250	1	1000																																																													0					
520556			0	1	54211	1	1000	54221	1	1000	54231	1	1000	54241	1	1000	54251	1	1000																																																													0					
520557			0	1	54212	1	1000	54222	1	1000	54232	1	1000	54242	1	1000	54252	1	1000																																																													0					
520558			0	1	54213	1	1000	54223	1	1000	54233	1	1000	54243	1	1000	54253	1	1000																																																													0					
520559			0	1	54214	1	1000	54224	1	1000	54234	1	1000	54244	1	1000	54254	1	1000																																																													0					
520560			0	1	54310	1	1000	54320	1	1000	54330	1	1000	54340	1	1000	54350	1	1000																																																													0					
520561			0	1	54311	1	1000	54321	1	1000	54331	1	1000	54341	1	1000	54351	1	1000																																																													0					
520562			0	1	54312	1	1000	54322	1	1000	54332	1	1000	54342	1	1000	54352	1	1000																																																													0					
520563			0	1	54313	1	1000	54323	1	1000	54333	1	1000	54343	1	1000	54353	1	1000																																																													0					
520564			0	1	54314	1	1000	54324	1	1000	54334	1	1000	54344	1	1000	54354	1	1000																																																													0					
520565			0	1	54410	1	1000	54420	1	1000	54430	1	1000	54440	1	1000	54450	1	1000																																																													0					
520566			0	1	54411	1	1000	54421	1	1000	54431	1	1000	54441	1	1000	54451	1	1000																																																													0					
520567			0	1	54412	1	1000	54422	1	1000	54432	1	1000	54442	1	1000	54452	1	1000																																																													0					
520568			0	1	54413	1	1000	54423	1	1000	54433	1	1000	54443	1	1000	54453	1	1000																																																													0					
520569			0	1	54414	1	1000	54424	1	1000	54434	1	1000	54444	1	1000	54454	1	1000																																																													0					
520570			0	1	54510	1	1000	54520	1	1000	54530	1	1000	54540	1	1000	54550	1	1000																																																													0					
520571			0	1	54511	1	1000	54521	1	1000	54531	1	1000	54541	1	1000	54551	1	1000																																																													0					
520572			0	1	54512	1	1000	54522	1	1000	54532	1	1000	54542	1	1000	54552	1	1000																																																													0					
520573			0	1	54513	1	1000	54523	1	1000	54533	1	1000	54543	1	1000	54553	1	1000																																																													0					
520574			0	1	54514	1	1000	54524	1	1000	54534	1	1000	54544	1	1000	54554	1	1000																																																													0					
520600			0	1	55110	1	1000	55120	1	1000	55130	1	1000	55140	1	1000	55150	1	1000																																																													0					
520601			0	1	55111	1	1000	55121	1	1000	55131	1	1000	55141	1	1000	55151	1	1000																																																													0					
520602			0	1	55112	1	1000	55122	1	1000	55132	1	1000	55142	1	1000	55152	1	1000																																																													0					
520603			0	1	55113	1	1000	55123	1	1000	55133	1	1000	55143	1	1000	55153	1	1000																																																													0					
520604			0	1	55114	1	1000	55124	1	1000	55134	1	1000	55144	1	1000	55154	1	1000																																																													0					
520605			0	1	55210	1	1000	55220	1	1000	55230	1	1000	55240	1	1000	55250	1	1000																																																													0					
520606			0	1	55211	1	1000	55221	1	1000	55231	1	1000	55241	1	1000	55251	1	1000																																																													0					
520607			0	1	55212	1	1000	55222	1	1000	55232	1	1000	55242	1	1000	55252	1	1000																																																													0					
520608			0	1	55213	1	1000	55223	1	1000	55233	1	1000	55243	1	1000	55253	1	1000																																																													0					
520609			0	1	55214	1	1000	55224	1	1000	55234	1	1000	55244	1	1000	55254	1	1000																																																													0					
520610			0	1	55310	1	1000	55320	1	1000	55330	1	1000	55340	1	1000	55350	1	1000																																																													0					
520611			0	1	55311	1	1000	55321	1	1000	55331	1	1000	55341	1	1000	55351	1	1000																																																													0					
520612			0	1	55312	1	1000	55322	1	1000	55332	1	1000	55342	1	1000	55352	1	1000																																																													0					
520613			0	1	55313	1	1000	55323	1	1000	55333	1	1000	55343	1	1000	55353	1	1000																																																													0					
520614			0	1	55314	1	1000	55324	1	1000	55334	1	1000	55344	1	1000	55354	1	1000																																																													0					
520615			0	1	55410	1	1000	55420	1	1000	55430	1	1000	55440	1	1000	55450	1	1000																																																													0					
520616			0	1	55411	1	1000	55421	1	1000	55431	1	1000	55441	1	1000	55451	1	1000																																																													0					
520617			0	1	55412	1	1000	55422	1	1000	55432	1	1000	55442	1	1000	55452	1	1000																																																													0					
520618			0	1	55413	1	1000	55423	1	1000	55433	1	1000	55443	1	1000	55453	1	1000																																																													0					
520619			0	1	55414	1	1000	55424	1	1000	55434	1	1000	55444	1	1000	55454	1	1000																																																													0					
520620			0	1	55510	1	1000	55520	1	1000	55530	1	1000	55540	1	1000	55550	1	1000																																																													0					
520621			0	1	55511	1	1000	55521	1	1000	55531	1	1000	55541	1	1000	55551	1	1000																																																													0					
520622			0	1	55512	1	1000	55522	1	1000	55532	1	1000	55542	1	1000	55552	1	1000																																																													0					
520623			0	1	55513	1	1000	55523	1	1000	55533	1	1000	55543	1	1000	55553	1	1000																																																													0					
520624			0	1	55514	1	1000	55524	1	1000	55534	1	1000	55544	1	1000	55554	1	1000																																																													0					
520650			0	1	57110	1	1000	57120	1	1000	57130	1	1000	57140	1	1000	57150	1	1000																																																													0					
520651			0	1	57111	1	1000	57121	1	1000	57131	1	1000	57141	1	1000	57151	1	1000																																																													0					
520652			0	1	57112	1	1000	57122	1	1000	57132	1	1000	57142	1	1000	57152	1	1000																																																													0					
520653			0	1	57113	1	1000	57123	1	1000	57133	1	1000	57143	1	1000	57153	1	1000																																																													0					
520654			0	1	57114	1	1000	57124	1	1000	57134	1	1000	57144	1	1000	57154	1	1000																																																													0					
520655			0	1	57210	1	1000	57220	1	1000	57230	1	1000	57240	1	1000	57250	1	1000																																																													0					
520656			0	1	57211	1	1000	57221	1	1000	57231	1	1000	57241	1	1000	57251	1	1000																																																													0					
520657			0	1	57212	1	1000	57222	1	1000	57232	1	1000	57242	1	1000	57252	1	1000																																																													0					
520658			0	1	57213	1	1000	57223	1	1000	57233	1	1000	57243	1	1000	57253	1	1000																																																													0					
520659			0	1	57214	1	1000	57224	1	1000	57234	1	1000	57244	1	1000	57254	1	1000																																																													0					
520660			0	1	57310	1	1000	57320	1	1000	57330	1	1000	57340	1	1000	57350	1	1000																																																													0					
520661			0	1	57311	1	1000	57321	1	1000	57331	1	1000	57341	1	1000	57351	1	1000																																																													0					
520662			0	1	57312	1	1000	57322	1	1000	57332	1	1000	57342	1	1000	57352	1	1000																																																													0					
520663			0	1	57313	1	1000	57323	1	1000	57333	1	1000	57343	1	1000	57353	1	1000																																																													0					
520664			0	1	57314	1	1000	57324	1	1000	57334	1	1000	57344	1	1000	57354	1	1000																																																													0					
520665			0	1	57410	1	1000	57420	1	1000	57430	1	1000	57440	1	1000	57450	1	1000																																																													0					
520666			0	1	57411	1	1000	57421	1	1000	57431	1	1000	57441	1	1000	57451	1	1000																																																													0					
520667			0	1	57412	1	1000	57422	1	1000	57432	1	1000	57442	1	1000	57452	1	1000																																																													0					
520668			0	1	57413	1	1000	57423	1	1000	57433	1	1000	57443	1	1000	57453	1	1000																																																													0					
520669			0	1	57414	1	1000	57424	1	1000	57434	1	1000	57444	1	1000	57454	1	1000																																																													0					
520670			0	1	57510	1	1000	57520	1	1000	57530	1	1000	57540	1	1000	57550	1	1000																																																													0					
520671			0	1	57511	1	1000	57521	1	1000	57531	1	1000	57541	1	1000	57551	1	1000																																																													0					
520672			0	1	57512	1	1000	57522	1	1000	57532	1	1000	57542	1	1000	57552	1	1000																																																													0					
520673			0	1	57513	1	1000	57523	1	1000	57533	1	1000	57543	1	1000	57553	1	1000																																																													0					
520674			0	1	57514	1	1000	57524	1	1000	57534	1	1000	57544	1	1000	57554	1	1000																																																													0					
520700			0	1	59110	1	1000	59120	1	1000	59130	1	1000	59140	1	1000	59150	1	1000																																																													0					
520701			0	1	59111	1	1000	59121	1	1000	59131	1	1000	59141	1	1000	59151	1	1000																																																													0					
520702			0	1	59112	1	1000	59122	1	1000	59132	1	1000	59142	1	1000	59152	1	1000																																																													0					
520703			0	1	59113	1	1000	59123	1	1000	59133	1	1000	59143	1	1000	59153	1	1000																																																													0					
520704			0	1	59114	1	1000	59124	1	1000	59134	1	1000	59144	1	1000	59154	1	1000																																																													0					
520705			0	1	59210	1	1000	59220	1	1000	59230	1	1000	59240	1	1000	59250	1	1000																																																													0					
520706			0	1	59211	1	1000	59221	1	1000	59231	1	1000	59241	1	1000	59251	1	1000																																																													0					
520707			0	1	59212	1	1000	59222	1	1000	59232	1	1000	59242	1	1000	59252	1	1000																																																													0					
520708			0	1	59213	1	1000	59223	1	1000	59233	1	1000	59243	1	1000	59253	1	1000																																																													0					
520709			0	1	59214	1	1000	59224	1	1000	59234	1	1000	59244	1	1000	59254	1	1000																																																													0					
520710			0	1	59310	1	1000	59320	1	1000	59330	1	1000	59340	1	1000	59350	1	1000																																																													0					
520711			0	1	59311	1	1000	59321	1	1000	59331	1	1000	59341	1	1000	59351	1	1000																																																													0					
520712			0	1	59312	1	1000	59322	1	1000	59332	1	1000	59342	1	1000	59352	1	1000																																																													0					
520713			0	1	59313	1	1000	59323	1	1000	59333	1	1000	59343	1	1000	59353	1	1000																																																													0					
520714			0	1	59314	1	1000	59324	1	1000	59334	1	1000	59344	1	1000	59354	1	1000																																																													0					
520715			0	1	59410	1	1000	59420	1	1000	59430	1	1000	59440	1	1000	59450	1	1000																																																													0					
520716			0	1	59411	1	1000	59421	1	1000	59431	1	1000	59441	1	1000	59451	1	1000																																																													0					
