ID	卡牌类型	[卡牌标签列表]1	[卡牌标签列表]2	[卡牌标签列表]3	[卡牌标签列表]4	[卡牌标签列表]5	[卡牌变量]1类型	[卡牌变量]1值	[卡牌变量]2类型	[卡牌变量]2值	卡牌技能列表	可进构筑	示数变量	取对象类型	[取对象规则]1	[取对象规则]2	[出牌费用]1类型	[出牌费用]1值	[出牌费用]2类型	[出牌费用]2值	AI优先级修正	阻塞出牌AI的卡牌ID	AI取对象排除卡牌标签	出牌AI允许最小骰子数	出牌AI允许最大骰子数	是否引发预览
114021	4	0					6	2			1140211	0	6		0								0			0
214021	2	6	2								2140211; 2140212	1			11402		14	4					6			1
114031	5	6	2								1140311	1			1001		14	3								1
114032	4	0					6	2			1140321	0	6		0								0			0
114033	4	0					6	1				0	6		0								0			0
114034	4	0					6	3			1140341;1140321	0	6		0								0			0
214031	2	6	2								2140311	1			11403		14	3				114032	6			1
114041	4	0					16	0			1140411; 1140412; 1140413	0	16		0								0			0
214041	2	6	2								2140411	1			11404		14	3					6			1
114051	4	10					16	2	7	2	1140511; 1140512; 1140513; 51	0	7		0								10			0
114052	4	0					8	2			1140521	0	8		0								0			0
114053	7	0					6	2	8	1	1140531; 16	0	6		0								0			0
214051	2	6	2								2140511	1			11405		14	3					6			1
115011	3						8	3			1150111; 1150112	0	8		0								0			0
115012	3						8	3			1150121; 1150111; 1150112	0	8		0								0			0
215011	2	6	2								2150111	1			11501		17	3	1	2			6			1
115021	3						8	2			1150211	0	8		0								0			0
215021	2	6	2								2150211; 2150212	1			11502		17	4	1	3			6			1
115041	4						6	2			1150411	0	6		0								0			0
115042	4						6	1			1150421	0	6		0								0			0
215041	2	6	2								2150411	1			11504		17	3	1	2						1
116011	7						8	2			14	0	8		0								0			0
216011	2	6	2								2160111; 2160112	1			11601		15	4				116011	6			1
116021	7	10					8	2			1160211; 1160212; 10	0	8		0								10			0
116022	4						6	2			1160221; 1160222	0	6		0								0			0
216021	2	6	2								2160211	1			11602		15	3				116021	6			1
117011	3						8	2			1170111	0	8		0								0			0
117012	7						6	1			1170121	0	6		0								0			0
117013	7						6	1				0	6		0								0			0
217011	2	6	2								2170111	1			11701		16	3					6			1
117021	4						8	2			1170211; 1170212; 1170213	0	8		0								0			0
117022	3						8	1			1170221	0	8		0								0			0
217021	2	6	2								2170211	1			11702		16	4					6			1
122010	3	0										0			0								0			0
122011	3	0					8	2			1220111	0	8		0								0			0
122012	3	0					8	3			1220121	0	8		0								0			0
122013	3	0					7	2	8	1	1220131; 12	0	7		0								0			0
122014	3	0										0			0								0			0
222011	2	6	2								2220111	1			12201		12	4	1	3			6			1
122021	4	0					8	2	6	2	1220211; 1220212	0	6		0								0			0
122022	4	0					8	2	6	3	1220221; 1220211; 1220212	0	6		0								0			0
222021	2	6	2								2220211	1			12202		12	4					6			1
123011	4	0					8	2			1230111; 1230112	0	8		0								0			0
123012	4	0					8	3			1230121; 1230111; 1230112	0	8		0								0			0
223011	2	6	2								2230111	1			12301		13	3					6			1
125011	3						8	2			1250111; 1250112	0	8		0								0			0
125012	3						8	2			1250121; 1250122	0	8		0								0			0
125013	4										1250131	0			0								0			0
225011	2	6	2								2250111	1			12501		17	3					6			1
126011	4	0					8	3			1260111; 1260112; 56	0	8		0								0			0
226011	2	6	2								2260111; 2260112	1			12601		15	4	1	2			6			1
127011	4						16	0			1270111; 1270112; 1270113; 1270114; 1270115	0	16		0								0			0
227011	2	6	2								2270111	1			12701		16	3					6			1
130031	4						8	2			1300311	0	8		0								0			0
130032	4						8	1			1300321	0	8		0								0			0
131011	4						8	2			91	0	8		0								0			0
131031	4	701					8	2			91	0	8		0								701			0
132011	4	5					6	1			1320111	0	6		0											0
132012	4						8	2			92	0	8		0								0			0
132021	3						8	2			1320211	0	8		0								0			0
132031	4						8	2			92	0	8		0								0			0
132041	4						8	999			92	0			0								0			0
133011	4						8	2			93	0	8		0								0			0
133021	4						8	3			; 63	0	8		0								0			0
133031	4						8	3			; 63	0	8		0								0			0
133032	4						8	1			1330321	0			0								0			0
133033	4						8	2			1330331	0	8		0								0			0
133034	4						8	1			1330341	0	8		0								0			0
134011	4	0					8	3			; 64	0	8		0								0			0
134012	4						8	1			1340121	0			0								0			0
134013	4						8	2			1340131	0	8		0								0			0
134014	4						8	1			1340141	0	8		0								0			0
134031	4	0					8	3			; 64	0	8		0								0			0
134061	4						8	999			94	0			0								0			0
135011	3						8	2			1350111	0	8		0								0			0
135021	4						7	2	16	0	1350211; 1350212; 1350213; 1350214; 51	0	7		0								0			0
137011	4						8	1			1370111; 1370112	0			0								0			0
137012	4											0			0								0			0
137013	4						8	1	7	1	1370131	0			0								0			0
137014	7						8	1			1370141	0			0								0			0
137031	7						8	2			1370311	0	8		0								0			0
311101	2	3	202								3110001	1			111		3	2					3			0
311102	2	3	202								3110001; 3110002	1			111		3	3					3			0
311103	2	3	202								3110001; 3110003	1			111		3	3					3			0
311201	2	3	204								3110001	1			112		3	2					3			0
311202	2	3	204								3110001; 3110002	1			112		3	3					3			0
311203	2	3	204								3110001; 3110003	1			112		3	3					3			0
311301	2	3	203								3110001	1			113		3	2					3			0
311302	2	3	203								3110001; 3110002	1			113		3	3					3			0
311303	2	3	203								3113031;3110001	1			113		3	3					3			0
311401	2	3	205								3110001	1			114		3	2					3			0
311402	2	3	205								3114021;3110001	1			114		3	3					3			0
311403	2	3	205								3110001; 3110003	1			114		3	3					3			0
311501	2	3	201								3110001	1			115		3	2					3			0
311502	2	3	201								3110001; 3110002	1			115		3	3					3			0
311503	2	3	201								3115031;3110001	1			115		3	3					3			0
301101	4	10					8	1			57	0	8										10			0
312001	2	4									3120011	1			110		3	1					4			0
312002	2	4									3120021	1			110		10	2					4			0
312003	2	4									3120031	1			110		3	1					4			0
312004	2	4									3120041	1			110		3	1					4			0
312005	2	4									3120051	1			110		10	2					4			0
312006	2	4									3120061	1			110		10	2					4			0
312101	2	4									3121011	1			121		3	2					4			0
312102	2	4									3121021; 3121011	1			121		3	3					4			0
312201	2	4									3122011	1			122		3	2					4			0
312202	2	4									3122021; 3122011	1			122		3	3					4			0
312301	2	4									3123011	1			123		3	2					4			0
312302	2	4									3123021; 3123011	1			123		3	3					4			0
312401	2	4									3124011	1			124		3	2					4			0
312402	2	4									3124021; 3124011	1			124		3	3					4			0
312501	2	4									3125011	1			125		3	2					4			0
312502	2	4									3125021; 3125011	1			125		3	3					4			0
312601	2	4									3126011	1			126		3	2					4			0
312602	2	4									3126021; 3126011	1			126		3	3					4			0
312701	2	4									3127011	1			127		3	2					4			0
312702	2	4									3127021; 3127011	1			127		3	3					4			0
321001	6	104					8	2			3210011	1	8				3	2								0
321002	6	104									3210021; 3210022	1					3	1			140					0
321003	6	104									3210031	1					3	1				321003				0
321004	6	104									3210041	1					3	2			155	321004				0
321005	6	104					8	2			3210051	1	8				3	2								0
321006	6	104					8	2			3210061	1	8				3	2								0
322001	6	103					8	2			3220011	1	8				3	3			190					0
322002	6	103									3220021	1					10	2			180	322002				0
322003	6	103					16	2			3220031; 3220032	1	16				3	2			205	322003				0
322004	6	103					16	2			3220041; 3220042	1	16				3	2			205	322004				0
322005	6	103									3220051	1					3	1			205	322005				0
322006	6	103									3220061	1					3	2			205	322006				0
322007	6	103					16	0	8	1	3220071	1	16								250					0
322008	6	103					16	0	8	1	3220081; 3220082	1	16								250	322008				0
322009	6	103					16	0	8	1	3220091	1	16								250					0
322010	6	103									3220101	1					3	2			200	322010				0
322011	6	103					8	3			3220111	1	8				10	2				322011				0
322012	6	103					8	2			3220121	1	8				3	1			190	322012				0
323001	6	102					16	0	8	1	3230011	1	16				10	2			200					0
323002	6	102									3230021	1					10	2			200					0
331101	5	105									3311011	1									250			2		0
331102	5	105									3311021	1			102		11	1			250			6		0
303112	4						6	1			3031121	0	6													0
331201	5	105									3312011	1									250			2		0
331202	5	105									3312021	1					12	1								0
331301	5	105									3313011	1									250			2		0
331302	5	105									3313021	1			102		13	1			250			6		0
303132	4						6	1			3031321	0	6													0
331401	5	105									3314011	1									250			2		0
331402	5	105									3314021	1					14	1			250					0
331501	5	105									3315011	1									250			2		0
331502	5	105									3315021	1			104		17	1			250					0
331601	5	105									3316011	1									250			2		0
331602	5	105									3316021	1					15	1			250					0
331701	5	105									3317011	1									250			2		0
331702	5	105									3317021	1					16	1			250					0
303172	7						6	1			3031721	0	6													0
332001	5										3320011	1					10	2			120			3		0
332002	5										3320021	1									155			6		0
303202	7										3032021	0														0
332003	5										3320031	1												6		0
332004	5										3320041	1					3	1								0
332005	5										3320051	1									250					0
332006	5										3320061	1									180			6		0
303206	7										3032061	0														0
332007	5										3320071	1					3	1			180			6		0
303207	7										3032071	0														0
332008	5										3320081	1			102		3	1			170			5		0
303208	4						8	1			3032081	0	8													0
303209	4						8	1			3032091	0	8													0
332009	5										3320091	1			102											0
332010	5										3320101	1		1	151	152										0
332011	5										3320111	1		2	153	154										0
332012	5										3320121	1			501		3	1							3	0
332013	5										3320131	1			502		10	2								0
332014	5										3320141	1					3	4								0
332015	5										3320151	1					3	2								0
303210	3											0	8													0
303211	3						8	2			3032153	0	8													0
303212	3						8	2			3032155	0	8													0
303213	3						8	2			3032152	0	8													0
303214	3						8	2			3032154	0	8													0
333001	5	101									3330011	1			101						190			6		0
333002	5	101									3330021	1			101		10	2			190			6		0
333003	5	101									3330031	1			101		3	1			190			6		0
333004	5	101									3330041	1			101						200			6		0
333005	5	101									3330051	1			103										3	0
333006	5	101									3330061	1			103		3	1							3	0
333007	5	101									3330071	1			103		3	1							3	0
333008	5	101									3330081	1			101		3	1			201			7		0
303300	4						6	1				0	6													0
303301	4						6	1			3033011	0	6													0
303302	4						6	1			3033021	0	6													0
303303	4						6	1	8	1	3033031	0	6													0
303304	4						6	1			3033041	0	6													0
303305	4						6	2			3033051	0	6													0
303306	4						6	1			3033061	0	6													0
303307	7						6	1				0	6													0
402001	4	10					8	2			57	0	8		0											
421001	6										4210011										190					0
421002	6										4210021										190					0
421003	6										4210031										190					0
421004	6										4210041										190					0
421005	6										4210051										190					0
421006	6										4210061										190					0
421007	6										4210071										190					0
421008	6										4210081										190					0
421009	6										4210091										190					0
422001	6						8	2	16	0	4220011; 4220012		8								190					0
422002	6						8	2			4220021; 4220022		8								190					0
422003	6						8	3			4220021; 4220022		8								190					0
422004	6										4220041										190					0
422005	6						16	0	7	0	4220051; 4220052; 4220053		16								190					0
422006	6																				190					0
422007	6						16	4			4220071		16								190					0
423001	6						8	1			4230011		8								190					0
423002	6						8	1			4230021		8								190					0
423003	6						8	1			4230031		8								190					0
423004	6						8	99			4230041										190					0
