ID	生效改名ID	[不合适名称]1	[不合适名称]2	[不合适名称]3	[不合适名称]4	[不合适名称]5	[不合适名称]6	[不合适名称]7	[不合适名称]8	[不合适名称]9	[不合适名称]10	[不合适名称]11	[不合适名称]12	[不合适名称]13	[不合适名称]14	[不合适名称]15
16	1	普契涅拉英语	普契涅拉	普契涅拉繁体中文	普契涅拉法语	普契涅拉德语	普契涅拉西班牙语	普契涅拉葡萄牙语	普契涅拉俄语	普契涅拉日语	普契涅拉韩语	普契涅拉泰文	普契涅拉越南语	普契涅拉印尼语	普契涅拉土耳其语	普契涅拉意大利语
17	1	桑多涅英语	桑多涅	桑多涅繁体中文	桑多涅法语	桑多涅德语	桑多涅西班牙语	桑多涅葡萄牙语	桑多涅俄语	桑多涅日语	桑多涅韩语	桑多涅泰文	桑多涅越南语	桑多涅印尼语	桑多涅土耳其语	桑多涅意大利语
18	1	席诺拉英语	席诺拉	席诺拉繁体中文	席诺拉法语	席诺拉德语	席诺拉西班牙语	席诺拉葡萄牙语	席诺拉俄语	席诺拉日语	席诺拉韩语	席诺拉泰文	席诺拉越南语	席诺拉印尼语	席诺拉土耳其语	席诺拉意大利语
19	1	潘塔罗涅英语	潘塔罗涅	潘塔罗涅繁体中文	潘塔罗涅法语	潘塔罗涅德语	潘塔罗涅西班牙语	潘塔罗涅葡萄牙语	潘塔罗涅俄语	潘塔罗涅日语	潘塔罗涅韩语	潘塔罗涅泰文	潘塔罗涅越南语	潘塔罗涅印尼语	潘塔罗涅土耳其语	潘塔罗涅意大利语
20	1	散兵英语	散兵	散兵繁体中文	散兵法语	散兵德语	散兵西班牙语	散兵葡萄牙语	散兵俄语	散兵日语	散兵韩语	散兵泰文	散兵越南语	散兵印尼语	散兵土耳其语	散兵意大利语
21	1	斯卡拉姆齐英语	斯卡拉姆齐	斯卡拉姆齐繁体中文	斯卡拉姆齐法语	斯卡拉姆齐德语	斯卡拉姆齐西班牙语	斯卡拉姆齐葡萄牙语	斯卡拉姆齐俄语	斯卡拉姆齐日语	斯卡拉姆齐韩语	斯卡拉姆齐泰文	斯卡拉姆齐越南语	斯卡拉姆齐印尼语	斯卡拉姆齐土耳其语	斯卡拉姆齐意大利语
22	1	国崩英语	国崩	国崩繁体中文	国崩法语	国崩德语	国崩西班牙语	国崩葡萄牙语	国崩俄语	国崩日语	国崩韩语	国崩泰文	国崩越南语	国崩印尼语	国崩土耳其语	国崩意大利语
23	1	倾奇者英语	倾奇者	倾奇者繁体中文	倾奇者法语	倾奇者德语	倾奇者西班牙语	倾奇者葡萄牙语	倾奇者俄语	倾奇者日语	倾奇者韩语	倾奇者泰文	倾奇者越南语	倾奇者印尼语	倾奇者土耳其语	倾奇者意大利语
24	1	雷电将军英语	雷电将军	雷电将军繁体中文	雷电将军法语	雷电将军德语	雷电将军西班牙语	雷电将军葡萄牙语	雷电将军俄语	雷电将军日语	雷电将军韩语	雷电将军泰文	雷电将军越南语	雷电将军印尼语	雷电将军土耳其语	雷电将军意大利语
25	1	雷电影英语	雷电影	雷电影繁体中文	雷电影法语	雷电影德语	雷电影西班牙语	雷电影葡萄牙语	雷电影俄语	雷电影日语	雷电影韩语	雷电影泰文	雷电影越南语	雷电影印尼语	雷电影土耳其语	雷电影意大利语
26	1	雷电真英语	雷电真	雷电真繁体中文	雷电真法语	雷电真德语	雷电真西班牙语	雷电真葡萄牙语	雷电真俄语	雷电真日语	雷电真韩语	雷电真泰文	雷电真越南语	雷电真印尼语	雷电真土耳其语	雷电真意大利语
27	1	温迪英语	温迪	温迪繁体中文	温迪法语	温迪德语	温迪西班牙语	温迪葡萄牙语	温迪俄语	温迪日语	温迪韩语	温迪泰文	温迪越南语	温迪印尼语	温迪土耳其语	温迪意大利语
28	1	安柏英语	安柏	安柏繁体中文	安柏法语	安柏德语	安柏西班牙语	安柏葡萄牙语	安柏俄语	安柏日语	安柏韩语	安柏泰文	安柏越南语	安柏印尼语	安柏土耳其语	安柏意大利语
29	1	凯亚英语	凯亚	凯亚繁体中文	凯亚法语	凯亚德语	凯亚西班牙语	凯亚葡萄牙语	凯亚俄语	凯亚日语	凯亚韩语	凯亚泰文	凯亚越南语	凯亚印尼语	凯亚土耳其语	凯亚意大利语
30	1	琴英语	琴	琴繁体中文	琴法语	琴德语	琴西班牙语	琴葡萄牙语	琴俄语	琴日语	琴韩语	琴泰文	琴越南语	琴印尼语	琴土耳其语	琴意大利语
31	1	派蒙英语	派蒙	派蒙繁体中文	派蒙法语	派蒙德语	派蒙西班牙语	派蒙葡萄牙语	派蒙俄语	派蒙日语	派蒙韩语	派蒙泰文	派蒙越南语	派蒙印尼语	派蒙土耳其语	派蒙意大利语
32	1	丽莎英语	丽莎	丽莎繁体中文	丽莎法语	丽莎德语	丽莎西班牙语	丽莎葡萄牙语	丽莎俄语	丽莎日语	丽莎韩语	丽莎泰文	丽莎越南语	丽莎印尼语	丽莎土耳其语	丽莎意大利语
33	1	芭芭拉英语	芭芭拉	芭芭拉繁体中文	芭芭拉法语	芭芭拉德语	芭芭拉西班牙语	芭芭拉葡萄牙语	芭芭拉俄语	芭芭拉日语	芭芭拉韩语	芭芭拉泰文	芭芭拉越南语	芭芭拉印尼语	芭芭拉土耳其语	芭芭拉意大利语
34	1	迪卢克英语	迪卢克	迪卢克繁体中文	迪卢克法语	迪卢克德语	迪卢克西班牙语	迪卢克葡萄牙语	迪卢克俄语	迪卢克日语	迪卢克韩语	迪卢克泰文	迪卢克越南语	迪卢克印尼语	迪卢克土耳其语	迪卢克意大利语
35	1	风魔龙英语	风魔龙	风魔龙繁体中文	风魔龙法语	风魔龙德语	风魔龙西班牙语	风魔龙葡萄牙语	风魔龙俄语	风魔龙日语	风魔龙韩语	风魔龙泰文	风魔龙越南语	风魔龙印尼语	风魔龙土耳其语	风魔龙意大利语
36	1	雷泽英语	雷泽	雷泽繁体中文	雷泽法语	雷泽德语	雷泽西班牙语	雷泽葡萄牙语	雷泽俄语	雷泽日语	雷泽韩语	雷泽泰文	雷泽越南语	雷泽印尼语	雷泽土耳其语	雷泽意大利语
37	1	香菱英语	香菱	香菱繁体中文	香菱法语	香菱德语	香菱西班牙语	香菱葡萄牙语	香菱俄语	香菱日语	香菱韩语	香菱泰文	香菱越南语	香菱印尼语	香菱土耳其语	香菱意大利语
38	1	神里绫华英语	神里绫华	神里绫华繁体中文	神里绫华法语	神里绫华德语	神里绫华西班牙语	神里绫华葡萄牙语	神里绫华俄语	神里绫华日语	神里绫华韩语	神里绫华泰文	神里绫华越南语	神里绫华印尼语	神里绫华土耳其语	神里绫华意大利语
39	1	甘雨英语	甘雨	甘雨繁体中文	甘雨法语	甘雨德语	甘雨西班牙语	甘雨葡萄牙语	甘雨俄语	甘雨日语	甘雨韩语	甘雨泰文	甘雨越南语	甘雨印尼语	甘雨土耳其语	甘雨意大利语
40	1	刻晴英语	刻晴	刻晴繁体中文	刻晴法语	刻晴德语	刻晴西班牙语	刻晴葡萄牙语	刻晴俄语	刻晴日语	刻晴韩语	刻晴泰文	刻晴越南语	刻晴印尼语	刻晴土耳其语	刻晴意大利语
41	1	阿贝多英语	阿贝多	阿贝多繁体中文	阿贝多法语	阿贝多德语	阿贝多西班牙语	阿贝多葡萄牙语	阿贝多俄语	阿贝多日语	阿贝多韩语	阿贝多泰文	阿贝多越南语	阿贝多印尼语	阿贝多土耳其语	阿贝多意大利语
42	1	砂糖英语	砂糖	砂糖繁体中文	砂糖法语	砂糖德语	砂糖西班牙语	砂糖葡萄牙语	砂糖俄语	砂糖日语	砂糖韩语	砂糖泰文	砂糖越南语	砂糖印尼语	砂糖土耳其语	砂糖意大利语
43	1	罗莎莉亚英语	罗莎莉亚	罗莎莉亚繁体中文	罗莎莉亚法语	罗莎莉亚德语	罗莎莉亚西班牙语	罗莎莉亚葡萄牙语	罗莎莉亚俄语	罗莎莉亚日语	罗莎莉亚韩语	罗莎莉亚泰文	罗莎莉亚越南语	罗莎莉亚印尼语	罗莎莉亚土耳其语	罗莎莉亚意大利语
44	1	胡桃英语	胡桃	胡桃繁体中文	胡桃法语	胡桃德语	胡桃西班牙语	胡桃葡萄牙语	胡桃俄语	胡桃日语	胡桃韩语	胡桃泰文	胡桃越南语	胡桃印尼语	胡桃土耳其语	胡桃意大利语
45	1	戴因斯雷布英语	戴因斯雷布	戴因斯雷布繁体中文	戴因斯雷布法语	戴因斯雷布德语	戴因斯雷布西班牙语	戴因斯雷布葡萄牙语	戴因斯雷布俄语	戴因斯雷布日语	戴因斯雷布韩语	戴因斯雷布泰文	戴因斯雷布越南语	戴因斯雷布印尼语	戴因斯雷布土耳其语	戴因斯雷布意大利语
46	1	诺艾尔英语	诺艾尔	诺艾尔繁体中文	诺艾尔法语	诺艾尔德语	诺艾尔西班牙语	诺艾尔葡萄牙语	诺艾尔俄语	诺艾尔日语	诺艾尔韩语	诺艾尔泰文	诺艾尔越南语	诺艾尔印尼语	诺艾尔土耳其语	诺艾尔意大利语
47	1	班尼特英语	班尼特	班尼特繁体中文	班尼特法语	班尼特德语	班尼特西班牙语	班尼特葡萄牙语	班尼特俄语	班尼特日语	班尼特韩语	班尼特泰文	班尼特越南语	班尼特印尼语	班尼特土耳其语	班尼特意大利语
48	1	优菈英语	优菈	优菈繁体中文	优菈法语	优菈德语	优菈西班牙语	优菈葡萄牙语	优菈俄语	优菈日语	优菈韩语	优菈泰文	优菈越南语	优菈印尼语	优菈土耳其语	优菈意大利语
49	1	烟绯英语	烟绯	烟绯繁体中文	烟绯法语	烟绯德语	烟绯西班牙语	烟绯葡萄牙语	烟绯俄语	烟绯日语	烟绯韩语	烟绯泰文	烟绯越南语	烟绯印尼语	烟绯土耳其语	烟绯意大利语
50	1	北斗英语	北斗	北斗繁体中文	北斗法语	北斗德语	北斗西班牙语	北斗葡萄牙语	北斗俄语	北斗日语	北斗韩语	北斗泰文	北斗越南语	北斗印尼语	北斗土耳其语	北斗意大利语
51	1	枫原万叶英语	枫原万叶	枫原万叶繁体中文	枫原万叶法语	枫原万叶德语	枫原万叶西班牙语	枫原万叶葡萄牙语	枫原万叶俄语	枫原万叶日语	枫原万叶韩语	枫原万叶泰文	枫原万叶越南语	枫原万叶印尼语	枫原万叶土耳其语	枫原万叶意大利语
52	1	托马英语	托马	托马繁体中文	托马法语	托马德语	托马西班牙语	托马葡萄牙语	托马俄语	托马日语	托马韩语	托马泰文	托马越南语	托马印尼语	托马土耳其语	托马意大利语
53	1	八重神子英语	八重神子	八重神子繁体中文	八重神子法语	八重神子德语	八重神子西班牙语	八重神子葡萄牙语	八重神子俄语	八重神子日语	八重神子韩语	八重神子泰文	八重神子越南语	八重神子印尼语	八重神子土耳其语	八重神子意大利语
54	1	宵宫英语	宵宫	宵宫繁体中文	宵宫法语	宵宫德语	宵宫西班牙语	宵宫葡萄牙语	宵宫俄语	宵宫日语	宵宫韩语	宵宫泰文	宵宫越南语	宵宫印尼语	宵宫土耳其语	宵宫意大利语
55	1	珊瑚宫心海英语	珊瑚宫心海	珊瑚宫心海繁体中文	珊瑚宫心海法语	珊瑚宫心海德语	珊瑚宫心海西班牙语	珊瑚宫心海葡萄牙语	珊瑚宫心海俄语	珊瑚宫心海日语	珊瑚宫心海韩语	珊瑚宫心海泰文	珊瑚宫心海越南语	珊瑚宫心海印尼语	珊瑚宫心海土耳其语	珊瑚宫心海意大利语
56	1	九条裟罗英语	九条裟罗	九条裟罗繁体中文	九条裟罗法语	九条裟罗德语	九条裟罗西班牙语	九条裟罗葡萄牙语	九条裟罗俄语	九条裟罗日语	九条裟罗韩语	九条裟罗泰文	九条裟罗越南语	九条裟罗印尼语	九条裟罗土耳其语	九条裟罗意大利语
57	1	五郎英语	五郎	五郎繁体中文	五郎法语	五郎德语	五郎西班牙语	五郎葡萄牙语	五郎俄语	五郎日语	五郎韩语	五郎泰文	五郎越南语	五郎印尼语	五郎土耳其语	五郎意大利语
58	1	早柚英语	早柚	早柚繁体中文	早柚法语	早柚德语	早柚西班牙语	早柚葡萄牙语	早柚俄语	早柚日语	早柚韩语	早柚泰文	早柚越南语	早柚印尼语	早柚土耳其语	早柚意大利语
59	1	重云英语	重云	重云繁体中文	重云法语	重云德语	重云西班牙语	重云葡萄牙语	重云俄语	重云日语	重云韩语	重云泰文	重云越南语	重云印尼语	重云土耳其语	重云意大利语
60	1	辛焱英语	辛焱	辛焱繁体中文	辛焱法语	辛焱德语	辛焱西班牙语	辛焱葡萄牙语	辛焱俄语	辛焱日语	辛焱韩语	辛焱泰文	辛焱越南语	辛焱印尼语	辛焱土耳其语	辛焱意大利语
61	1	锅巴英语	锅巴	锅巴繁体中文	锅巴法语	锅巴德语	锅巴西班牙语	锅巴葡萄牙语	锅巴俄语	锅巴日语	锅巴韩语	锅巴泰文	锅巴越南语	锅巴印尼语	锅巴土耳其语	锅巴意大利语
62	1	荒泷一斗英语	荒泷一斗	荒泷一斗繁体中文	荒泷一斗法语	荒泷一斗德语	荒泷一斗西班牙语	荒泷一斗葡萄牙语	荒泷一斗俄语	荒泷一斗日语	荒泷一斗韩语	荒泷一斗泰文	荒泷一斗越南语	荒泷一斗印尼语	荒泷一斗土耳其语	荒泷一斗意大利语
63	1	申鹤英语	申鹤	申鹤繁体中文	申鹤法语	申鹤德语	申鹤西班牙语	申鹤葡萄牙语	申鹤俄语	申鹤日语	申鹤韩语	申鹤泰文	申鹤越南语	申鹤印尼语	申鹤土耳其语	申鹤意大利语
64	1	云堇英语	云堇	云堇繁体中文	云堇法语	云堇德语	云堇西班牙语	云堇葡萄牙语	云堇俄语	云堇日语	云堇韩语	云堇泰文	云堇越南语	云堇印尼语	云堇土耳其语	云堇意大利语
