挂接类型枚举,对应材料或配方ID,挂接特效
7,1019,Eff_Activity_Bartender_Finished_Cup_Juice
7,1020,Eff_Activity_Bartender_Finished_Cup_Juice
7,1021,Eff_Activity_Bartender_Finished_Cup_Juice
7,1022,Eff_Activity_Bartender_Finished_Cup_Coffee
10,1001,Eff_Activity_Bartender_Finished_Cup_Coffee_BlackCoffee
10,1002,Eff_Activity_Bartender_Finished_Cup_Coffee_Latte
10,1003,Eff_Activity_Bartender_Finished_Cup_Coffee_Latte
10,1004,Eff_Activity_Bartender_Finished_Cup_Coffee_Latte
10,1005,Eff_Activity_Bartender_Finished_Cup_Coffee_Latte
10,1006,Eff_Activity_Bartender_Finished_Cup_Coffee_BlackCoffee
10,1007,Eff_Activity_Bartender_Finished_Cup_Coffee_Latte
10,1008,Eff_Activity_Bartender_Finished_Cup_Tea_PureTea
10,1009,Eff_Activity_Bartender_Finished_Cup_Tea_MilkTea
10,1010,Eff_Activity_Bartender_Finished_Cup_Tea_MilkTea
10,1011,Eff_Activity_Bartender_Finished_Cup_Tea_MilkTea
10,1012,Eff_Activity_Bartender_Finished_Cup_Tea_MilkTea
10,1013,Eff_Activity_Bartender_Finished_Cup_Tea_MilkTea
10,1014,Eff_Activity_Bartender_Finished_Cup_Tea_PureTea
10,1015,Eff_Activity_Bartender_Finished_Cup_Tea_PureTea
10,1016,Eff_Activity_Bartender_Finished_Cup_Juice_PureJuice
10,1017,Eff_Activity_Bartender_Finished_Cup_Juice_MilkJuice
10,1018,Eff_Activity_Bartender_Finished_Cup_Juice_MilkJuice
10,1019,Eff_Activity_Bartender_Finished_Cup_Juice_PureJuice
10,1020,Eff_Activity_Bartender_Finished_Cup_Juice_PureJuice
10,1021,Eff_Activity_Bartender_Finished_Cup_Juice_PureJuice
10,1022,Eff_Activity_Bartender_Finished_Cup_Coffee_Strange
9,1001,Eff_Activity_Bartender_Finished_Cup_Flow_BlackCoffee
9,1002,Eff_Activity_Bartender_Finished_Cup_Flow_Latte
9,1003,Eff_Activity_Bartender_Finished_Cup_Flow_Latte
9,1004,Eff_Activity_Bartender_Finished_Cup_Flow_Latte
9,1005,Eff_Activity_Bartender_Finished_Cup_Flow_Latte
9,1006,Eff_Activity_Bartender_Finished_Cup_Flow_BlackCoffee
9,1007,Eff_Activity_Bartender_Finished_Cup_Flow_Latte
9,1008,Eff_Activity_Bartender_Finished_Cup_Flow_PureTea
9,1009,Eff_Activity_Bartender_Finished_Cup_Flow_MilkTea
9,1010,Eff_Activity_Bartender_Finished_Cup_Flow_MilkTea
9,1011,Eff_Activity_Bartender_Finished_Cup_Flow_MilkTea
9,1012,Eff_Activity_Bartender_Finished_Cup_Flow_MilkTea
9,1013,Eff_Activity_Bartender_Finished_Cup_Flow_MilkTea
9,1014,Eff_Activity_Bartender_Finished_Cup_Flow_PureTea
9,1015,Eff_Activity_Bartender_Finished_Cup_Flow_PureTea
9,1016,Eff_Activity_Bartender_Finished_Cup_Flow_PureJuice
9,1017,Eff_Activity_Bartender_Finished_Cup_Flow_MilkJuice
9,1018,Eff_Activity_Bartender_Finished_Cup_Flow_MilkJuice
9,1019,Eff_Activity_Bartender_Finished_Cup_Flow_PureJuice
9,1020,Eff_Activity_Bartender_Finished_Cup_Flow_PureJuice
9,1021,Eff_Activity_Bartender_Finished_Cup_Flow_PureJuice
9,1022,Eff_Activity_Bartender_Finished_Cup_Flow_Strange
4,410001,Eff_Activity_Bartender_Add_Coffee
4,410002,Eff_Activity_Bartender_Add_Tea
4,410003,Eff_Activity_Bartender_Add_Juice
4,410004,Eff_Activity_Bartender_Add_Milk
4,410005,Eff_Activity_Bartender_Add_Tea
4,410006,Eff_Activity_Bartender_Add_Lemon
4,410007,Eff_Activity_Bartender_Add_Mint
4,410008,Eff_Activity_Bartender_Add_Sparkling
4,410009,Eff_Activity_Bartender_Add_Coffee
8,1,Eff_Activity_Bartender_Finish_Fail
8,2,Eff_Activity_Bartender_Finish_Succeed
