GroupID	RegionId	线索点类型	索引表ID	线索点特征
133104765	202	1	1001,1002,1003,1004,1005	
133104766	202	1	1001,1002,1003,1004,1005	
133104767	202	1	1001,1002,1003,1004,1005	
133104768	202	1	1001,1002,1003,1004,1005	
133104769	202	1	1001,1002,1003,1004,1005	
133104770	202	1	1001,1002,1003,1004,1005	
133104771	202	1	1001,1002,1003,1004,1005	
133104772	202	1	1001,1002,1003,1004,1005	
133104773	202	1	1001,1002,1003,1004,1005	
133104774	202	1	1001,1002,1003,1004,1005	
133104775	202	2	2001,2002,2003	
133104776	202	2	2001,2002,2003	
133104777	202	2	2001,2002,2003	
133104778	202	2	2001,2002,2003	
133104779	202	2	2001,2002,2003	
133104780	202	2	2001,2002,2003	
133104781	202	2	2001,2002,2003	
133104782	202	2	2001,2002,2003	
133104783	202	2	2001,2002,2003	
133104784	202	1	1001,1002,1003,1004,1005	
133104785	202	2	2001,2002,2003	
133104786	202	2	2001,2002,2003	
133104787	202	2	2001,2002,2003	
133104788	202	0		
133104789	202	0		
133104790	202	0		
133104791	202	0		
133104792	202	0		
133104793	202	0		
133104794	202	0		
133104795	202	0		
133104796	202	0		
133104797	202	0		
133104798	202	0		
133104799	202	0		
133104800	202	0		
133003690	103	3		1
133003691	103	3		1
133003692	103	3		1
133003693	103	1	1001,1002,1003,1004,1005	
133003694	103	1	1001,1002,1003,1004,1005	
133003695	103	1	1001,1002,1003,1004,1005	
133003696	103	1	1001,1002,1003,1004,1005	
133003697	103	1	1001,1002,1003,1004,1005	
133003698	103	1	1001,1002,1003,1004,1005	
133003699	103	1	1001,1002,1003,1004,1005	
133003700	103	1	1001,1002,1003,1004,1005	
133003701	103	1	1001,1002,1003,1004,1005	
133003702	103	1	1001,1002,1003,1004,1005	
133003703	103	1	1001,1002,1003,1004,1005	
133003704	103	1	1001,1002,1003,1004,1005	
133003705	103	1	1001,1002,1003,1004,1005	
133003706	103	1	1001,1002,1003,1004,1005	
133003707	103	1	1001,1002,1003,1004,1005	
133003708	103	2	2001,2002,2003	
133003709	103	2	2001,2002,2003	
133003710	103	2	2001,2002,2003	
133003711	103	2	2001,2002,2003	
133003712	103	2	2001,2002,2003	
133003713	103	2	2001,2002,2003	
133003714	103	2	2001,2002,2003	
133003715	103	2	2001,2002,2003	
133003716	103	2	2001,2002,2003	
133003717	103	2	2001,2002,2003	
133003718	103	2	2001,2002,2003	
133003719	103	2	2001,2002,2003	
133003720	103	2	2001,2002,2003	
133003721	103	2	2001,2002,2003	
133003722	103	2	2001,2002,2003	
133003723	103	0		
133003724	103	0		
133003725	103	0		
133003726	103	0		
133003727	103	0		
133003728	103	0		
133003729	103	0		
133003730	103	0		
133003731	103	0		
133003732	103	0		
133003733	103	0		
133003734	103	0		
133003735	103	0		
133003736	103	0		
133003737	103	0		
133003738	103	0		
133003739	103	0		
133003740	103	0		
133003741	103	0		
133003742	103	0		
133003743	103	0		
133003744	103	0		
133003745	103	0		
133003746	103	0		
133003747	103	0		
133003748	103	0		
133003749	103	0		
133003750	103	0		
133003751	103	0		
133003752	103	0		
133003753	103	0		
133004371	104	3		1
133004372	104	3		1
133004373	104	3		1
133004374	104	1	1001,1002,1003,1004,1005	
133004375	104	1	1001,1002,1003,1004,1005	
133004376	104	1	1001,1002,1003,1004,1005	
133004377	104	1	1001,1002,1003,1004,1005	
133004378	104	1	1001,1002,1003,1004,1005	
133004379	104	1	1001,1002,1003,1004,1005	
133004380	104	1	1001,1002,1003,1004,1005	
133004381	104	1	1001,1002,1003,1004,1005	
133004382	104	1	1001,1002,1003,1004,1005	
133004383	104	1	1001,1002,1003,1004,1005	
133004384	104	1	1001,1002,1003,1004,1005	
133004385	104	1	1001,1002,1003,1004,1005	
133004386	104	1	1001,1002,1003,1004,1005	
133004387	104	1	1001,1002,1003,1004,1005	
133004388	104	2	2001,2002,2003	
133004389	104	2	2001,2002,2003	
133004390	104	2	2001,2002,2003	
133004391	104	2	2001,2002,2003	
133004392	104	2	2001,2002,2003	
133004393	104	2	2001,2002,2003	
133004394	104	2	2001,2002,2003	
133004395	104	2	2001,2002,2003	
133004396	104	2	2001,2002,2003	
133004397	104	2	2001,2002,2003	
133004398	104	2	2001,2002,2003	
133004399	104	2	2001,2002,2003	
133004400	104	2	2001,2002,2003	
133004401	104	2	2001,2002,2003	
133004402	104	2	2001,2002,2003	
133004403	104	0		
133004404	104	0		
133004405	104	0		
133004406	104	0		
133004407	104	0		
133004408	104	0		
133004409	104	0		
133004410	104	0		
133004411	104	0		
133004412	104	0		
133004413	104	0		
133004414	104	0		
133004415	104	0		
133004416	104	0		
133004417	104	0		
133004418	104	0		
133004419	104	0		
133004420	104	0		
133004421	104	0		
133004422	104	0		
133004423	104	0		
133004424	104	0		
133004425	104	0		
133004426	104	0		
133004427	104	0		
133004428	104	0		
133004429	104	0		
133004430	104	0		
133004431	104	0		
133004432	104	0		
133102019	203	3		1
133102021	203	3		1
133102022	203	1	1001,1002,1003,1004,1005	
133102023	203	1	1001,1002,1003,1004,1005	
133102024	203	1	1001,1002,1003,1004,1005	
133102025	203	1	1001,1002,1003,1004,1005	
133102026	203	1	1001,1002,1003,1004,1005	
133102027	203	1	1001,1002,1003,1004,1005	
133102028	203	1	1001,1002,1003,1004,1005	
133102029	203	1	1001,1002,1003,1004,1005	
133102030	203	1	1001,1002,1003,1004,1005	
133102031	203	1	1001,1002,1003,1004,1005	
133102032	203	2	2001,2002,2003	
133102033	203	2	2001,2002,2003	
133102034	203	2	2001,2002,2003	
133102035	203	2	2001,2002,2003	
133102036	203	2	2001,2002,2003	
133102038	203	2	2001,2002,2003	
133102039	203	2	2001,2002,2003	
133102040	203	2	2001,2002,2003	
133102041	203	2	2001,2002,2003	
133102042	203	2	2001,2002,2003	
133102043	203	2	2001,2002,2003	
133102044	203	2	2001,2002,2003	
133102046	203	2	2001,2002,2003	
133102047	203	2	2001,2002,2003	
133102048	203	2	2001,2002,2003	
133102049	203	0		
133102050	203	0		
133102051	203	0		
133102052	203	0		
133102053	203	0		
133102054	203	0		
133102055	203	0		
133102057	203	0		
133102058	203	0		
133102059	203	0		
133102060	203	0		
133102061	203	0		
133102062	203	0		
133102064	203	0		
133102065	203	0		
133102066	203	0		
133102069	203	0		
133102070	203	0		
133102075	203	0		
133102078	203	0		
133102079	203	0		
133102080	203	0		
133102081	203	0		
133102082	203	0		
133102083	203	0		
133102084	203	0		
133102087	203	0		
133106325	204	3		1
133106326	204	3		1
133106327	204	3		1
133106328	204	1	1001,1002,1003,1004,1005	
133106329	204	1	1001,1002,1003,1004,1005	
133106330	204	1	1001,1002,1003,1004,1005	
133106331	204	1	1001,1002,1003,1004,1005	
133106332	204	1	1001,1002,1003,1004,1005	
133106333	204	1	1001,1002,1003,1004,1005	
133106334	204	1	1001,1002,1003,1004,1005	
133106335	204	1	1001,1002,1003,1004,1005	
133106336	204	1	1001,1002,1003,1004,1005	
133106337	204	1	1001,1002,1003,1004,1005	
133106338	204	1	1001,1002,1003,1004,1005	
133106339	204	1	1001,1002,1003,1004,1005	
133106340	204	1	1001,1002,1003,1004,1005	
133106341	204	1	1001,1002,1003,1004,1005	
133106342	204	2	2001,2002,2003	
133106343	204	2	2001,2002,2003	
133106344	204	2	2001,2002,2003	
133106345	204	2	2001,2002,2003	
133106346	204	2	2001,2002,2003	
133106347	204	2	2001,2002,2003	
133106348	204	2	2001,2002,2003	
133106349	204	2	2001,2002,2003	
133106350	204	2	2001,2002,2003	
133106351	204	2	2001,2002,2003	
133106352	204	2	2001,2002,2003	
133106353	204	2	2001,2002,2003	
133106354	204	0		
133106355	204	0		
133106356	204	0		
133106357	204	0		
133106358	204	0		
133106359	204	0		
133106360	204	0		
133106361	204	0		
133106362	204	0		
133106363	204	0		
133106364	204	0		
133106365	204	0		
133106366	204	0		
133106367	204	0		
133106368	204	0		
133106369	204	0		
133106370	204	0		
133106371	204	0		
133106372	204	0		
133106373	204	0		
133106374	204	0		
133106375	204	0		
133106376	204	0		
133106377	204	0		
133106378	204	0		
133106379	204	0		
133106380	204	0		
133106381	204	0		
133106382	204	0		
133106383	204	0		
133213175	301	3		1
133213050	301	3		1
133213542	301	3		1
133220203	302	3		1
133220388	302	3		1
133220663	302	3		1
133212187	303	3		1
133212105	303	3		1
133212556	303	3		1
133220279	304	3		1
133220389	304	3		1
133220664	304	3		1
133301214	401	3		1
133301653	401	3		1
133301218	402	3		1
133301654	402	3		1
133302179	403	3		1
133302641	403	3		1
133315064	404	3		1
133315262	404	3		1
133303063	405	3		1
133303592	405	3		1
133303179	406	3		1
133303591	406	3		1
133304096	407	3		1
133304405	407	3		1
133304097	408	3		1
133304406	408	3		1
