ID,JSON天气区域ID,最大高度,描述,GadgetID,默认是否开启,TemplateName,Priority,区域环境配置,DefaultWeather,是否固定使用DefaultWeather,场景ID
2116,2016,,靖世九柱天气上层转晴（未使用）,,1,Weather_Standard,50,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_NinePillars_General,1,0,3
2017,2017,215,蒙德急冻树boss天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_Regisvine_Ice_01,1,1,3
2117,2017,,蒙德急冻树boss天气,,1,Weather_Standard,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General,1,0,3
2018,2018,220,璃月爆炎树boss天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_Regisvine_Fire_01,1,1,3
2118,2018,,璃月爆炎树boss天气,,1,Weather_Standard,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General,1,0,3
2019,2019,,无人岛天气,,1,Weather_Md_Island_Foggy,50,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General,6,1,3
2020,2020,,天遒谷天气,,1,Weather_TianQiuGu,100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_TianQiuGu,1,0,3
2021,2021,250,泉水精灵下层,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_Fountain_General,1,1,3
2121,2021,,泉水精灵上层,,1,Weather_Standard,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General,1,1,3
2022,2022,,雪山天气默认,,1,Weather_Sunny,100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2023,2023,,雪山天气山顶,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Peak,1,1,3
2024,2024,460,雪山天气洞穴洞内,,1,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Cave,1,1,3
2124,2024,,雪山天气洞穴上层,,1,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Peak,1,1,3
2026,2026,180,璃沙郊小洞天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_SaltOfGround,1,1,3
2126,2026,,璃沙郊小洞往上天气,,1,Weather_Standard,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_LiShaCountrySide,1,1,3
90001,90001,,雷雨天气测试,,1,Weather_ThunderStorm,50,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General,4,1,3
3000,3000,,香菱地城天气,,1,Weather_Standard,50,Data/Environment/EnviroSystemProfile/Dungeon/ESP_XianglingPlotLevel01_Test,1,1,20005
3001,3001,,香菱地城天气01,,1,Weather_Standard,50,Data/Environment/EnviroSystemProfile/Dungeon/ESP_XianglingPlotLevel01,1,1,20005
9999,9999,,千风神殿炼金炉,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General,1,1,3
10001,10001,,香菱地城天气,,1,Weather_Standard,50,Data/Environment/EnviroSystemProfile/Dungeon/ESP_XianglingPlotLevel01_Test,1,1,20005
10002,10002,,香菱地城天气01,,1,Weather_Standard,50,Data/Environment/EnviroSystemProfile/Dungeon/ESP_XianglingPlotLevel01,1,1,20005
2027,2027,295,龙骨心脏天气洞内,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_DunlinsHeart,1,1,3
2127,2027,,龙骨心脏天气洞外,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2028,2028,,雪山南部山坡,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_South,1,1,3
2029,2029,,雪山东部山脚,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_EastCoast,1,1,3
2030,2030,240,古岩龙蜥BOSS区域下,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_Drake_Primo_Rock_01,1,1,3
2130,2030,,古岩龙蜥BOSS区域上,,1,Weather_Standard,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General,1,0,3
2031,2031,450,(废弃)雪山山顶通道下,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Cave_Long,1,1,3
2131,2031,,(废弃)雪山山顶通道上,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Peak,1,1,3
2032,2032,400,雪山密室下层,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Chamber,1,1,3
2025,2025,275,雪山天气BOSS区域下层,,1,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Cave_Underboss,1,1,3
2125,2025,300,雪山天气BOSS区域地面,,1,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Boss,1,1,3
2225,2025,,雪山天气BOSS区域上层,,1,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2132,2032,,雪山密室上层,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2034,2034,,雪山急冻树boss区域,,0,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Boss,1,1,3
2035,2035,440,(废弃)雪山洞穴过度区域,,0,Weather_Sunny,1900,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2135,2035,,(废弃)雪山洞穴过度区域上层,,0,Weather_Sunny,1900,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_General,1,1,3
2036,2036,,雪山蒙德过度区域,,1,Weather_Sunny,50,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_GeneralTransition,1,1,3
2037,2037,,雪山天气山顶后续,,0,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_PeacePeak,1,1,3
2038,2038,460,雪山天气洞穴洞内后续,,0,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_Cave,1,1,3
2138,2038,,雪山天气洞穴上层后续,,0,Weather_Sunny,2050,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_PeacePeak,1,1,3
2039,2039,,雪山公海过渡区（2.5补充只高于璃月公海）,,1,Weather_Sunny,3,Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_SnowMountain_GeneralTransition,1,1,3
10003,10003,,胡桃个人线地城前半段,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_Hutao_01,1,1,1059
10004,10004,,胡桃个人线地城后半段,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_Hutao_02,1,1,1059
10005,10005,,双子线七天神像地城前半段,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_GoddessLY01,1,1,20104
10006,10006,,双子线七天神像地城后半段,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_GoddessLY02,1,1,20104
10007,10007,,双子线七天神像地城前半段,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_GoddessLY01,1,1,20105
10008,10008,,双子线七天神像地城后半段,,1,Weather_Sunny,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_GoddessLY02,1,1,20105
10009,10009,,风花节循环地城室内,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_CycleDungeon_WindFlower,1,1,35800
10010,10010,,风花节循环地城室外1,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_CycleDungeon_WindFlower_Outdoor,1,1,35800
10011,10011,,风花节循环地城室外2,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_CycleDungeon_WindFlower_Outdoor,1,1,35800
10012,10012,,若陀龙王地城天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DahakaBoss01,1,1,20106
10013,10013,,若陀龙王地城天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DahakaBoss01,1,1,20107
10014,10014,,若陀龙王地城天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DahakaBoss01,1,1,20108
10015,10015,,若陀龙王地城天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DahakaBoss01,1,1,20109
10016,10016,,若陀龙王地城天气,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DahakaBoss01,1,1,20110
10017,10018,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43001
10018,10018,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43001
10019,10020,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43002
10020,10020,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43002
10021,10022,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43003
10022,10022,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43003
10023,10024,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43004
10024,10024,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43004
10025,10026,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43005
10026,10026,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43005
10027,10028,35,角色试玩活动-迷城战线 BOSS房间,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial_Bottom,1,1,43006
10028,10028,,角色试玩活动-迷城战线 初始,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_MistTrial,1,1,43006
10029,10029,,2.1女士天守阁boss战01阶段剧情,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,1,1,20114
10030,10030,,2.1女士天守阁boss战01阶段剧情,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,2,1,20114
10031,10031,,2.1女士天守阁boss战01阶段剧情,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,3,1,20114
10032,10032,,2.1女士天守阁boss战01阶段,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,1,1,20115
10033,10033,,2.1女士天守阁boss战02阶段,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,2,1,20115
10034,10034,,2.1女士天守阁boss战03阶段,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_DonjonBattle,3,1,20115
10035,10035,,换人挑战灯光1阶段-地城1,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35801
10036,10036,,换人挑战灯光2阶段-地城1,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35801
10037,10037,,换人挑战灯光3阶段-地城1,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35801
10038,10038,,换人挑战灯光4阶段-地城1,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35801
10039,10039,,换人挑战灯光1阶段-地城2,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35802
10040,10040,,换人挑战灯光2阶段-地城2,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35802
10041,10041,,换人挑战灯光3阶段-地城2,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35802
10042,10042,,换人挑战灯光4阶段-地城2,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35802
10043,10043,,换人挑战灯光1阶段-地城3,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35803
10044,10044,,换人挑战灯光2阶段-地城3,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35803
10045,10045,,换人挑战灯光3阶段-地城3,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35803
10046,10046,,换人挑战灯光4阶段-地城3,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35803
10047,10047,,换人挑战灯光1阶段-地城4,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35804
10048,10048,,换人挑战灯光2阶段-地城4,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35804
10049,10049,,换人挑战灯光3阶段-地城4,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35804
10050,10050,,换人挑战灯光4阶段-地城4,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35804
10051,10051,,换人挑战灯光1阶段-地城5,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35805
10052,10052,,换人挑战灯光2阶段-地城5,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35805
10053,10053,,换人挑战灯光3阶段-地城5,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35805
10054,10054,,换人挑战灯光4阶段-地城5,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35805
10055,10055,,换人挑战灯光1阶段-地城6,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35806
10056,10056,,换人挑战灯光2阶段-地城6,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35806
10057,10057,,换人挑战灯光3阶段-地城6,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35806
10058,10058,,换人挑战灯光4阶段-地城6,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35806
11035,11035,,百人二揆灯光1阶段-地城1,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35807
11036,11036,,百人二揆灯光2阶段-地城1,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35807
11037,11037,,百人二揆灯光3阶段-地城1,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35807
11038,11038,,百人二揆灯光4阶段-地城1,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35807
11039,11039,,百人二揆灯光1阶段-地城2,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35808
11040,11040,,百人二揆灯光2阶段-地城2,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35808
11041,11041,,百人二揆灯光3阶段-地城2,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35808
11042,11042,,百人二揆灯光4阶段-地城2,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35808
11043,11043,,百人二揆灯光1阶段-地城3,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35809
11044,11044,,百人二揆灯光2阶段-地城3,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35809
11045,11045,,百人二揆灯光3阶段-地城3,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35809
11046,11046,,百人二揆灯光4阶段-地城3,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35809
11047,11047,,百人二揆灯光1阶段-地城4,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35810
11048,11048,,百人二揆灯光2阶段-地城4,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35810
11049,11049,,百人二揆灯光3阶段-地城4,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35810
11050,11050,,百人二揆灯光4阶段-地城4,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35810
11051,11051,,百人二揆灯光1阶段-地城5,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35811
11052,11052,,百人二揆灯光2阶段-地城5,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35811
11053,11053,,百人二揆灯光3阶段-地城5,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35811
11054,11054,,百人二揆灯光4阶段-地城5,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35811
11055,11055,,百人二揆灯光1阶段-地城6,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,1,1,35812
11056,11056,,百人二揆灯光2阶段-地城6,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,2,1,35812
11057,11057,,百人二揆灯光3阶段-地城6,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,3,1,35812
11058,11058,,百人二揆灯光4阶段-地城6,,0,Weather_ThunderStorm,2300,Data/Environment/EnviroSystemProfile/Dungeon/ESP_ContestBattle01,4,1,35812
10059,10059,,愚人众邪眼工厂,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCDungeon_Delusion01,1,1,20113
10060,10060,,千手白眼二阶段1,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_Dq_Void02,1,1,20117
10061,10061,,千手白眼二阶段2,,0,Weather_Cloudy,2100,Data/Environment/EnviroSystemProfile/Dungeon/ESP_Dq_Void02,2,1,20117
10062,10062,,千手白眼二阶段3,,0,Weather_Rainy,2200,Data/Environment/EnviroSystemProfile/Dungeon/ESP_Dq_Void02,3,1,20117
10063,10063,,雷电将军个人线千手白眼3,,1,Weather_Rainy,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_Dq_Void02,3,1,20116
10064,10064,,肉鸽三阶段二层,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_OnmyoMaze01_CutsceneRoom,1,1,47003
10065,10065,,家园稻妻模组普通天气,,1,Weather_HomeUkiyo_ClearSky,100,Data/Environment/EnviroSystemProfile/Homeworld/ESP_HomeExterior_Ukiyo,1,1,2004
10066,10066,,家园稻妻模组樱花天气,,1,Weather_HomeUkiyo_ClearSky_Sakura,100,Data/Environment/EnviroSystemProfile/Homeworld/ESP_HomeExterior_Ukiyo,2,1,2004
10067,20121,,申鹤云海地城天气-上层,,1,Weather_Sunny,2000,Data/Environment/EnviroSystemProfile/Dungeon/ESP_FCdungeon_ShenheCloud01,1,1,20121
