子任务ID,父任务ID,序列,子任务组,禁止进入联机,显示状态,[领取条件]组合,[领取条件]1类型,[领取条件]1参数1,[领取条件]1参数2,[领取条件]1参数3,[领取条件]2类型,[领取条件]2参数1,[领取条件]2参数2,[领取条件]2参数3,[领取条件]3类型,[领取条件]3参数1,[领取条件]3参数2,[领取条件]3参数3,[完成条件]组合,[完成条件]1类型,[完成条件]1参数1,[完成条件]1参数2,[完成条件]1复杂参数,[完成条件]1次数,[完成条件]2类型,[完成条件]2参数1,[完成条件]2复杂参数,[完成条件]2次数,[完成条件]3类型,[完成条件]3参数1,[完成条件]3复杂参数,[完成条件]3次数,[失败条件]组合,[失败条件]1类型,[失败条件]1参数1,[失败条件]1复杂参数,[失败条件]1次数,[失败条件]2类型,[失败条件]2参数1,[失败条件]2复杂参数,[失败条件]2次数,[任务指引]类型,[任务指引]自动开启或关闭,[任务指引]参数1,[任务指引]参数2,[任务指引]场景ID,[任务指引]样式,[任务指引]显示层级,场景内指引,完成父任务,失败父任务,是存档点,[任务道具]ID,[任务道具]数量,[执行]1类型,[执行]1参数1,[执行]1参数2,[执行]1参数3,[执行]2类型,[执行]2参数1,[执行]2参数2,[执行]2参数3,[执行]3类型,[执行]3参数1,[执行]3参数2,[执行]3参数3,[失败执行]1类型,[失败执行]1参数1,[失败执行]1参数2,[失败执行]2类型,[失败执行]2参数1,[失败执行]2参数2,[失败执行]3类型,[失败执行]3参数1,[失败执行]3参数2,[开始执行]1类型,[开始执行]1参数1,[开始执行]1参数2,[开始执行]2类型,[开始执行]2参数1,[开始执行]2参数2,独占NPC,共享NPC,独占优先级,试用角色列表,加载技能组,独占情境ID,CoopPointID,刷新是否限定单机,关卡映射
7100207,71002,11,,,,,1,99902,3,,,,,,,,,,,20,,,133103334_finish,,,,,,,,,,,,,,,,,,,1,,Q7100202_Target,,3,,2,,1,,1,,,15,3,133103334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100208,71002,7,,,1,2,1,99902,3,,1,7100203,3,,1,7100204,3,,,24,7100208,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102101,21021,1,,,1,,,,,,,,,,,,,,2,5,100457,,,1,5,100458,,1,5,100459,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102102,21021,2,,,1,,,,,,,,,,,,,,,24,2102102,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,2102116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102103,21021,3,,,1,,1,2102101,3,,,,,,,,,,,5,100457,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102104,21021,4,,,1,,1,2102101,3,,,,,,,,,,,5,100458,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102105,21021,5,,,1,,1,2102101,3,,,,,,,,,,,5,100459,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102116,21021,6,,,1,,1,2102101,3,,,,,,,,,,,4,2102116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102106,21021,7,,,1,,,,,,,,,,,,,,2,2,2102106,,,,5,100457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102107,21021,8,,,0,,1,2102106,3,,,,,,,,,,,5,100457,,,,,,,,,,,,,,,,,,,,,1,,WQ2102106,70,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102108,21021,9,,,0,,1,2102101,3,,,,,,,,,,2,22,,,2102133#2102144#2102155#2102166#2102177#2102188#2102108#2102111,,24,2102102,,3,27,2102113,,,,,,,,,,,,1,,WQ2102108,130,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102109,21021,10,,,0,,1,2102108,3,,,,,,,,,,2,22,,,2102108#2102111,,27,2102113,,,,,,,,,,,,,,,,2,,2306,,3,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102125,21021,11,,,0,,1,99902,3,,,,,,,,,,2,27,2102113,,,,22,,2102134#2102146#2102147#2102156#2102167#2102178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102120,21021,12,,,0,1,1,2102109,3,,1,2102129,3,,,,,,,5,100457,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102121,21021,13,,,0,1,1,2102109,3,,1,2102129,3,,,,,,,5,100458,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102122,21021,14,,,0,1,1,2102109,3,,1,2102129,3,,,,,,,5,100459,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102117,21021,15,,,1,1,1,2102108,3,,1,2102103,3,,,,,,,4,2102117,,,,,,,,,,,,,,,,,,,,,1,,WQ2102117,45,3,,2,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102118,21021,16,,,1,1,1,2102108,3,,1,2102104,3,,,,,,,4,2102118,,,,,,,,,,,,,,,,,,,,,1,,WQ2102118,45,3,,2,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102119,21021,17,,,1,1,1,2102108,3,,1,2102105,3,,,,,,,4,2102119,,,,,,,,,,,,,,,,,,,,,1,,WQ2102119,45,3,,2,,,,1,,,23,2102102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102111,21021,18,,,0,,1,2102102,3,,,,,,,,,,2,2,2102111,,,,27,2102113,,,,,,,,,,,,,,,,2,,2306,,3,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102112,21021,19,,,0,1,1,2102111,3,,1,2102129,3,,,,,,,20,,,2102112_finish,1,,,,,,,,,,,,,,,,,,1,,WQ2102112,30,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102113,21021,20,,,1,1,1,2102109,2,,1,2102111,2,,,,,,,27,2102113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133102621,,,,,,,,,,,,,,,,,,,28,2102113,,,,,2306,,1200,,,,,,
2102110,21021,21,,,1,,1,2102112,3,,,,,,,,,,,27,2102113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133102621,,,,,,,,,,,,,,,,,,,28,2102113,,,,,2306,,1200,,,,,,
2102114,21021,22,,,0,,1,2102112,3,,,,,,,,,,,20,,,2102114_finish,1,,,,,,,,,,,,,,,,,,1,,WQ2102114,,3,,2,,,,1,,,15,3,133102761,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102128,21021,23,,,1,,,,,,,,,,,,,,,2,2102122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133102621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102126,21021,24,,,0,,1,2102114,3,,,,,,,,,,,20,,,2102126_finish,1,,,,,,,,,,,,,,,,,,1,,WQ21021_final,18,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,3,133102761,,,,2306,,1200,,,,,,
2102115,21021,25,,,0,,1,2102126,3,,,,,,,,,,,2,2102114,,,,,,,,,,,,,,,,,,,,,2,,2306,,3,2,1,,1,,1,,,35,28100,4,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102129,21021,26,,,1,,,,,,,,,,,,,,2,22,,,2102108#2102111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102123,21021,27,,,0,1,1,2102113,3,,1,2102129,2,,,,,,,20,,,2102123_finish,1,,,,,,,,,,,,,,,,,,1,,WQ2102114,,3,,2,,,,1,,,15,3,133102761,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102127,21021,28,,,0,1,1,2102123,3,,1,2102129,2,,,,,,,20,,,2102127_finish,1,,,,,,,,,,,,,,,,,,1,,WQ21021_final,18,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,3,133102761,,,,2306,,1200,,,,,,
2102130,21021,29,,,1,,,,,,,,,,,,,,,2,2102125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133102621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102124,21021,30,,,0,1,1,2102127,3,,1,2102129,2,,,,,,,2,2102124,,,,,,,,,,,,,,,,,,,,,2,,2306,,3,2,1,,1,,1,,,35,28100,4,,,,,,,,,,,,,,,,,,,,,,,,,2306,,1200,,,,,,
2102201,21022,1,,,1,,1,99902,3,,,,,,,,,,,2,2102201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102290,21022,1,,,1,2,38,2102292,,,38,2102293,,,38,2102294,,,2,2,2102292,,,,2,2102293,,,2,2102294,,,,,,,,,,,,,,,,,,,,,,,,,15,3,133104580,,,,,,,,,,,,,,,,,,,,,,,,,,2211,,,,,,,
2102202,21022,3,3,,0,,1,2102290,3,,,,,,,,,,,24,2102202,,,5,,,,,,,,,,,,,,,,,,1,,WQ21022_1,90,3,,,,,,1,,,23,2102208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102203,21022,4,,,1,,1,2102290,3,,,,,,,,,,,20,,,2102202_progress1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100460,1,23,2102202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102204,21022,5,,,1,,1,2102290,3,,,,,,,,,,,20,,,2102202_progress2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100461,1,23,2102202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102205,21022,6,,,1,,1,2102290,3,,,,,,,,,,,20,,,2102202_progress3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100462,1,23,2102202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102206,21022,7,,,1,,1,2102290,3,,,,,,,,,,,20,,,2102202_progress4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100463,1,23,2102202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102207,21022,8,,,1,,1,2102290,3,,,,,,,,,,,20,,,2102202_progress5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100464,1,23,2102202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102208,21022,9,,,1,,1,2102290,3,,,,,,,,,,,24,2102208,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102209,21022,10,,,0,,1,2102202,3,,,,,,,,,,,2,2102203,,,,,,,,,,,,,,,,,,,,,2,,2211,,3,2,2,,,,1,,,29,100460#100461#100462#100463#100464,,,15,3,133104580,,,,,,,,,,,,,,,,,,,,,,2211,,,,,,,
2102210,21022,11,,,1,,1,2102209,3,,,,,,,,,,,24,2102210,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,2102213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102211,21022,12,2,,0,,1,2102209,3,,,,,,,,,,,20,,,2102210_progress1,1,,,,,,,,,,,,,,,,,,1,,WQ21022_3,25,3,,,,,,1,100465,1,23,2102210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102212,21022,13,2,,0,,1,2102209,3,,,,,,,,,,,20,,,2102210_progress2,1,,,,,,,,,,,,,,,,,,1,,WQ21022_2,25,3,,,,,,1,100466,1,23,2102210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102213,21022,14,,,1,,1,2102209,3,,,,,,,,,,,24,2102213,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102214,21022,15,,,0,,1,2102210,3,,,,,,,,,,,2,2102205,,,,,,,,,,,,,,,,,,,,,2,,2211,,3,2,2,,1,,1,,,29,100465#100466,,,15,3,133104580,,,,,,,,,,,,,,,,,,,,,,2211,,,,,,,
2102301,21023,1,,,1,,38,2102301,,,,,,,,,,,,2,2102301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100476,1,19,3,133104583#2,,,,,,,,,,,,,,,,,,,,,,,,,2124,,1100,,,,,,
2102302,21023,2,,,0,,1,2102301,3,,,,,,,,,,,20,,,2102302_progress1,1,,,,,,,,,,,,,,,,,,1,,Q2102302_Target,,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,19,3,133104583#2,,,,,,,,,,,,
2102303,21023,3,,,0,,1,2102302,3,,,,,,,,,,,2,2102302,,,,,,,,,,,,,,,,,,,,,2,,2202,,3,3,1,,1,,,,,1,100476,1,,34,26600,1,100,,,,,,,,,,,,,,,,,,,,,2202,,,,,,,
2102401,21024,1,,,1,,38,2102401,,,,,,,,,,,,2,2102401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133102711#2,,19,3,133102713#2,,,,,,,,,,,,,,,,,,,,,,2203,,,,,,,
2102402,21024,2,,,1,,1,2102401,3,,,,,,,,,,,24,210240201,,,3,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102403,21024,5,1,,0,,1,2102401,3,,,,,,,,,,,25,71700103,,,,,,,,,,,,,,,,,,,,,1,,Q2102403_Target,40,3,2,2,,,,,100477,1,23,210240201,1,,15,3,133102711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102404,21024,4,1,,0,,1,2102401,3,,,,,,,,,,,25,71700104,,,,,,,,,,,,,,,,,,,,,1,,Q2102404_Target,40,3,2,2,,,,,100478,1,23,210240201,1,,15,3,133102713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102405,21024,3,1,,0,,1,2102401,3,,,,,,,,,,,24,210240502,,,1,,,,,,,,,,,,,,,,,,1,,Q2102405_Target,40,3,2,2,,,,,100479,1,23,210240201,1,,,,,,,,,,,,,,,,,,,,,,,,,2421,,1100,,,,,,
2102406,21024,6,,,1,,1,2102401,3,,,,,,,,,,,2,2102406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102407,21024,7,,,0,,1,99902,3,,,,,,,,,,,7,133102509,,,1,,,,,,,,,,,,,,,,,,1,,Q2102407_Target,40,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102408,21024,8,,,0,,1,2102406,3,,,,,,,,,,,27,2102408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,210240502,1,,,,,,,,,,,,,,,,,,,28,2102408,,,,,2421,,1100,,,,,,
2102410,21024,10,,,1,,1,2102408,3,,,,,,,,,,,2,2102413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,,1100,,,,,,
2102409,21024,9,,,0,,1,2102402,3,,,,,,,,,,,2,2102409,,,,,,,,,,,,,,,,,,,,,2,,2203,,3,3,1,,1,,,,,29,100477#100478#100479,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,,,,,,,
2102501,21025,1,,,1,,,,,,,,,,,,,,,2,2102501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,133104585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102503,21025,2,,1,1,,1,2102501,3,,,,,,,,,,,20,,,21025_progress1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,210250201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102504,21025,3,,1,1,,1,2102501,3,,,,,,,,,,,20,,,21025_progress2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,210250201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102505,21025,4,,1,1,,1,2102501,3,,,,,,,,,,,20,,,21025_progress3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,210250201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102502,21025,5,1,1,0,,1,2102501,3,,,,,,,,,,2,24,210250201,,,3,20,,QuestFinish21025,1,,,,,,,,,,,,,,1,,Q2102501_Target,123,3,2,2,,,,1,,,23,210250601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102506,21025,6,,1,1,,1,2102501,3,,,,,,,,,,,24,210250601,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000500,70005,1,,,1,,1,99902,3,,,,,,,,,,,2,7000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000501,70005,2,1,,1,,1,7000500,3,,,,,,,,,,,20,,,7000501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000506,1,,,,,,,,,,,,,,,,,,,19,3,133101040#1,,,,,,,,,,,,
7000502,70005,3,1,,1,,1,7000500,3,,,,,,,,,,,20,,,7000502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000506,1,,,,,,,,,,,,,,,,,,,19,3,133101041#1,,,,,,,,,,,,
7000503,70005,4,1,,1,,1,7000500,3,,,,,,,,,,,20,,,7000503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000506,1,,,,,,,,,,,,,,,,,,,19,3,133101042#1,,,,,,,,,,,,
7000504,70005,5,1,,1,,1,7000500,3,,,,,,,,,,,20,,,7000504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000506,1,,,,,,,,,,,,,,,,,,,19,3,133101043#1,,,,,,,,,,,,
7000505,70005,6,1,,1,,1,7000500,3,,,,,,,,,,,20,,,7000505,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000506,1,,,,,,,,,,,,,,,,,,,19,3,133101044#1,,,,,,,,,,,,
7000506,70005,7,,,1,,1,7000500,3,,,,,,,,,,,24,,,7000506,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7000507,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000507,70005,8,,,1,,1,7000500,3,,,,,,,,,,,24,,,7000507,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100401,71004,1,,,1,,1,99902,3,,,,,,,,,,,4,7100401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100402,71004,2,,,1,,1,99902,3,,,,,,,,,,,4,7100402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100403,71004,3,,,1,,1,99902,3,,,,,,,,,,,4,7100403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155500,71555,2,,,1,1,17,1,,,1,7155508,2,,,,,,,20,,,7155599_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155501,71555,5,,,1,1,1,7155503,3,,1,7155508,2,,,,,,2,2,7155500,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7155502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155502,71555,3,1,,0,1,1,7155500,3,,1,7155508,2,,,,,,2,24,7155502,,,3,20,,7155507_finish,,,,,,,,,,,,,,,1,,WQ7155502,30,3,,2,,,,1,,,19,3,133106303#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155503,71555,4,,,1,1,1,7155513,3,,1,7155508,2,,,,,,2,2,7155503,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,15,3,133106285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155504,71555,6,,,1,1,1,7155513,3,,1,7155508,2,,,,,,2,20,,,7155504_finish,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,15,3,133106285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155505,71555,8,,,1,1,1,7155513,3,,1,7155508,2,,,,,,2,20,,,7155505_finish,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,15,3,133106285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155506,71555,22,,,1,2,1,7155513,3,,1,7155508,2,,,,,,2,2,7155505,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155507,71555,10,,,0,1,1,7155508,2,,1,7155502,3,,,,,,2,20,,,7155507_finish,,24,7155507,,1,,,,,,,,,,,,,,1,,WQ7155507,70,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155508,71555,12,,,1,,17,1,,,,,,,,,,,,20,,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,19,3,133106303#2,,15,3,133106285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155509,71555,14,,,0,,1,7155508,3,,,,,,,,,,2,5,100528,,,1,20,,7155509_finish,,,,,,,,,,,,,,,1,,WQ7155509,30,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155510,71555,16,,,0,,1,7155512,3,,,,,,,,,,,2,7155510,,,,,,,,,,,,,,,,,,,,,2,,20088,,3,2,1,,,,1,,,,,,,15,3,133106287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155511,71555,17,,,0,,1,7155510,3,,,,,,,,,,,20,,,7155511_finfish,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,29,100528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155512,71555,15,,,0,,1,7155509,3,,,,,,,,,,,20,,,7155512_finish,,,,,,,,,,,,,,,,,,,1,,WQ7155510,,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155513,71555,1,,,1,1,17,1,,,1,7155508,2,,,,,,2,20,,,7155513_finish,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
