ID,编号,类型tag,解锁所需棋力等级,是否废弃,消耗点数,卡牌类型,品质,卡牌数量,效果目标类型,效果目标参数列表,效果类型,效果字符串参数,效果参数1,效果参数2,效果参数3,效果开始轮次,效果持续轮次,卡牌抽取权重,是否可被附加诅咒,选择后是否移除,是否在解签中显示,[额外效果]1目标类型,[额外效果]1目标参数列表,[额外效果]1类型,[额外效果]1字符串参数,[额外效果]1参数1,[额外效果]1参数2,[额外效果]1参数3,[额外效果]1开始轮次,[额外效果]1持续轮次
38,38,3,5,,500,3,1,2,2,70350283,1,SGV_IceImpulse,1,,,,,100,1,1,1,,,,,,,,,
39,39,3,6,,500,3,1,2,2,70350283,1,SGV_Resistancedown,1,,,,,100,1,1,1,,,,,,,,,
40,40,4,2,,500,3,1,2,2,70350284,1,SGV_TowUnits,1,,,,,100,1,1,1,,,,,,,,,
41,41,4,5,,500,3,1,2,2,70350284,1,SGV_WindImpulse,1,,,,,100,1,1,1,,,,,,,,,
42,42,4,3,,500,3,1,2,2,70350284,1,SGV_ReduceWindResistance,1,,,,,100,1,1,1,,,,,,,,,
43,43,4,6,,500,3,1,2,2,70350284,1,SGV_ExtraDamageByHp,1,,,,,100,1,1,1,,,,,,,,,
44,44,5,1,,500,3,1,2,2,70350285,1,SGV_ExtraTargets,1,,,,,100,1,1,1,,,,,,,,,
45,45,5,2,,500,3,1,2,2,70350285,1,SGV_Confine,1,,,,,100,1,1,1,,,,,,,,,
46,46,5,5,,500,3,1,2,2,70350285,1,SGV_ElectricImpulse,1,,,,,100,1,1,1,,,,,,,,,
47,47,5,3,,500,3,1,2,1,,1,SGV_UpgradeElectricRecation,1,,,,,100,1,1,1,,,,,,,,,
48,48,5,6,,500,3,1,2,2,70350285,1,SGV_FurySwipe,1,,,,,100,1,1,1,,,,,,,,,
49,49,6,1,,500,3,1,2,2,70350286,1,SGV_HitExplosion,1,,,,,100,1,1,1,,,,,,,,,
50,50,6,3,,500,3,1,2,1,,1,SGV_ReducePhysicalResistance,1,,,,,100,1,1,1,,,,,,,,,
51,51,6,6,,500,3,1,2,2,70350286,1,SGV_DamageByTime,1,,,,,100,1,1,1,,,,,,,,,
52,52,7,4,,500,3,1,2,2,70350298,1,SGV_Mine_Extradamage,1,,,,,100,1,1,1,,,,,,,,,
53,53,7,4,,500,3,1,1,2,70350298,1,SGV_Mine_Extraexplosion,1,,,,,100,1,1,1,,,,,,,,,
54,54,7,8,,500,3,1,2,2,70350298,1,SGV_Mine_Reset,1,,,,,100,1,1,1,,,,,,,,,
55,55,7,2,,200,3,0,2,2,70350299,1,SGV_Trap_Extratime,1,,,,,100,1,1,1,,,,,,,,,
56,56,7,3,,500,3,1,2,2,70350299,1,SGV_Trap_Extradamage,1,,,,,100,1,1,1,,,,,,,,,
57,57,7,8,,500,3,1,2,2,70350299,1,SGV_Trap_Reset,1,,,,,100,1,1,1,,,,,,,,,
58,58,7,4,,500,3,1,2,2,70350303,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
59,59,7,1,,500,3,1,2,2,70350294,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
60,60,7,2,,500,3,1,2,2,70350294,1,SGV_SlowLevel,1,,,,,100,1,1,1,,,,,,,,,
61,61,7,2,,200,3,0,2,2,70350305,1,SGV_SpeedDown,1,,,,,100,1,1,1,,,,,,,,,
62,62,7,4,,500,3,1,2,2,70350305,1,SGV_Durability,1,,,,,100,1,1,1,,,,,,,,,
63,63,1,1,,1500,3,2,2,2,70350281,1,SGV_TargetAOE,1,,,,,100,,1,1,,,,,,,,,
64,64,1,7,,1500,3,2,2,2,70350281,1,SGV_Dot,1,,,,,100,,1,1,,,,,,,,,
65,65,2,1,,1500,3,2,2,2,70350282,1,SGV_Missile,1,,,,,100,,1,1,,,,,,,,,
66,66,2,7,,1500,3,2,2,2,70350282,1,SGV_FireArea,1,,,,,100,,1,1,,,,,,,,,
67,67,3,1,,1500,3,2,2,2,70350283,1,SGV_TDSpecialGrade_Ice,1,,,,,100,,1,1,,,,,,,,,
68,68,3,7,,1500,3,2,2,2,70350283,1,SGV_Ice_Fog,1,,,,,100,,1,1,,,,,,,,,
69,69,4,1,,1500,3,2,2,2,70350284,1,SGV_ShootBullet,1,,,,,100,,1,1,,,,,,,,,
70,70,4,7,,1500,3,2,2,2,70350284,1,SGV_CanCharge,1,,,,,100,,1,1,,,,,,,,,
71,71,5,1,,1500,3,2,2,2,70350285,1,SGV_ExtraThunder,1,,,,,100,,1,1,,,,,,,,,
72,72,5,7,,1500,3,2,2,2,70350285,1,SGV_UpgradeNormalAttack,1,,,,,100,,1,1,,,,,,,,,
73,73,6,1,,1500,3,2,2,2,70350286,1,SGV_WantedSign,1,,,,,100,,1,1,,,,,,,,,
74,74,6,7,,1500,3,2,2,2,70350286,1,SGV_EnergyBallAttack,1,,,,,100,,1,1,,,,,,,,,
75,1,8,4,,300,1,0,2,1,,1,SGV_AttackDamageLevel,2,,,0,1,100,1,,1,,,,,,,,,
76,2,8,4,,300,1,0,2,1,,1,SGV_ElementMasteryLevel,2,,,0,1,100,1,,1,,,,,,,,,
77,3,8,2,,200,1,0,1,,,4,,5,,,,,100,1,1,,,,,,,,,,
78,4,8,8,,0,1,0,2,,,10,,400,,,,1,100,1,,,,,13,,3,1,,,
79,5,8,8,,0,1,0,1,,,10,,2000,,,,,100,1,1,1,,,7,,-1000000,,,1,1
80,6,8,2,,500,1,0,2,,,14,,500,,,,,100,1,,1,,,,,,,,,
81,7,8,5,,500,1,1,1,,,19,,4,12,,,,100,1,1,1,,,18,,-2,,,,
82,8,8,5,,500,1,1,1,,,21,,-5000,,,,,100,1,1,1,,,,,,,,,
83,9,8,5,,500,1,1,1,1,,22,SGV_AttackDamageLevel,1,5,3,,,100,1,1,1,,,,,,,,,
84,10,8,5,,500,1,1,1,1,,22,SGV_ElementMasteryLevel,1,5,3,,,100,1,1,1,,,,,,,,,
85,11,8,6,,500,1,1,1,1,,24,SGV_AttackDamageLevel,0,1,99999,,,100,1,1,1,,,,,,,,,
86,12,8,6,,500,1,1,1,1,,24,SGV_ElementMasteryLevel,0,1,99999,,,100,1,1,1,,,,,,,,,
87,13,8,5,,1500,1,2,1,,,20,,3,,,,,100,,1,1,,,,,,,,,
88,14,8,8,,1500,1,2,2,1,,15,SGV_AttackRatioUp,1,6,,,,100,,1,1,,,,,,,,,
89,15,8,10,,1500,1,2,1,,,17,,2,5,2,,,100,,1,1,,,,,,,,,
90,16,8,9,,1500,1,2,1,1,,23,SGV_AttackDamageLevel,1000,1,99999,,,100,,1,1,,,,,,,,,
91,17,8,6,,1000,1,2,1,,,25,,3,,,,,100,,1,1,,,,,,,,,
92,1,,1,,100,2,0,3,,,7,,1000,,,1,1,100,,,1,,,,,,,,,
93,2,,1,,100,2,0,3,,,7,,1000,,,1,1,100,,,1,,,,,,,,,
94,3,,1,,100,2,0,3,,,7,,1000,,,1,1,100,,,1,,,,,,,,,
95,1,,1,,0,0,0,1,,,9,,1,,,,,100,,,1,,,,,,,,,
96,2,,1,,0,0,0,1,2,70350281,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
97,3,,1,,0,0,0,1,2,70350282,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
98,4,,1,,0,0,0,1,2,70350283,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
99,5,,1,,0,0,0,1,2,70350284,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
100,6,,1,,0,0,0,1,2,70350285,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
101,7,,1,,0,0,0,1,2,70350286,1,SGV_AttackDamageLevel,-2,,,,,100,,,1,,,,,,,,,
102,8,,1,,0,0,0,1,,,,,,,,,,100,,,,,,,,,,,,
