ID,家具ID,场景ID,物件ID1,物件ID2,物件ID3,物件ID4,物件ID5,物件ID6,物件ID7,物件ID8,物件ID9,物件ID10
27,360405,2201,,77108010,77108010,77108010,77108010,77108010,77108010,,,
28,360405,2202,,77108010,77108010,77108010,77108010,77108010,77108010,,,
29,360405,2203,77108010,77108010,77108010,77108010,,77108010,77108010,,,
30,364302,2201,77101054,77101054,77101054,77101054,77101054,77101054,77101054,,,
31,364302,2202,77101054,77101054,77101054,77101054,77101054,77101054,77101054,,,
32,364401,2201,77101051,,,,,,,,,
33,364401,2202,77101010,,,,,,,,,
34,364402,2201,77101046,,,,,,,,,
35,364402,2202,77101052,,,,,,,,,
36,360103,2203,77101070,77101073,77101067,77101067,77101082,77101076,77101079,,,
37,360303,2203,77101069,77101072,77101066,77101066,77101081,77101075,77101078,,,
38,360203,2203,77101071,77101074,77101068,77101068,77101083,77101077,77101080,,,
39,364403,2203,77101084,,,,,,,,,
40,364303,2203,77101060,77101060,77101060,77101060,77101060,77101060,77101060,,,
41,360101,2203,77101092,77101095,77101089,77101089,77101104,77101098,77101101,,,
42,360201,2203,77101093,77101096,77101090,77101090,77101105,77101099,77101102,,,
43,360301,2203,77101091,77101094,77101088,77101088,77101103,77101097,77101100,,,
44,364401,2203,77101127,,,,,,,,,
45,364301,2203,77101057,77101057,77101057,77101057,77101057,77101057,77101057,,,
46,360102,2203,77101113,77101116,77101110,77101110,77101125,77101119,77101122,,,
47,360202,2203,77101114,77101117,77101111,77101111,77101126,77101120,77101123,,,
48,360302,2203,77101112,77101115,77101109,77101109,77101124,77101118,77101121,,,
49,364402,2203,77101128,,,,,,,,,
50,364302,2203,77101058,77101058,77101058,77101058,77101058,77101058,77101058,,,
51,360103,2201,77101143,77101130,77101133,77101149,77101146,77101130,77101133,,,
52,360303,2201,77101142,77101129,77101132,77101148,77101145,77101129,77101132,,,
53,360203,2201,77101144,77101131,77101134,77101150,77101147,77101131,77101134,,,
54,364403,2201,77101154,,,,,,,,,
55,364303,2201,77101059,77101059,77101059,77101059,77101059,77101059,77101059,,,
56,360103,2202,77101136,77101130,77101130,77101130,77101140,77101130,77101152,,,
57,360303,2202,77101135,77101129,77101129,77101129,77101139,77101129,77101151,,,
58,360203,2202,77101137,77101131,77101131,77101131,77101141,77101131,77101153,,,
59,364403,2202,77101138,,,,,,,,,
60,364303,2202,77101059,77101059,77101059,77101059,77101059,77101059,77101059,,,
61,360414,2201,,77108019,77108019,77108019,77108019,77108019,77108019,,,
62,360414,2202,,77108019,77108019,77108019,77108019,77108019,77108019,,,
63,360414,2203,77108019,77108019,77108019,77108019,,77108019,77108019,,,
64,360104,2204,77101155,77101161,77101161,77101161,77101158,77101161,77101161,,,
65,360204,2204,77101157,77101163,77101163,77101163,77101160,77101163,77101163,,,
66,360304,2204,77101156,77101162,77101162,77101162,77101159,77101162,77101162,,,
67,360504,2204,,77108025,77108025,77108025,77108023,77108025,77108025,,,
68,364304,2204,77101225,77101225,77101225,77101225,77101225,77101225,77101225,,,
69,364404,2204,77101226,,,,,,,,,
70,360103,2204,77101212,77101133,77101133,77101133,77101221,77101133,77101133,,,
71,360203,2204,77101214,77101134,77101134,77101134,77101223,77101134,77101134,,,
72,360303,2204,77101213,77101233,77101233,77101233,77101222,77101233,77101233,,,
73,360414,2204,,77108019,77108019,77108019,77108019,77108019,77108019,,,
74,364303,2204,77101059,77101059,77101059,77101059,77101059,77101059,77101059,,,
75,364403,2204,77101229,,,,,,,,,
76,360101,2204,77101209,77101014,77101014,77101014,77101218,77101014,77101014,,,
77,360201,2204,77101211,77101013,77101013,77101013,77101220,77101013,77101013,,,
78,360301,2204,77101210,77101234,77101234,77101234,77101219,77101234,77101234,,,
79,364301,2204,77101053,77101053,77101053,77101053,77101053,77101053,77101053,,,
80,364401,2204,77101228,,,,,,,,,
81,360102,2204,77101206,77101030,77101030,77101030,77101215,77101030,77101030,,,
82,360202,2204,77101208,77101029,77101029,77101029,77101217,77101029,77101029,,,
83,360302,2204,77101207,77101235,77101235,77101235,77101216,77101235,77101235,,,
84,364302,2204,77101054,77101054,77101054,77101054,77101054,77101054,77101054,,,
85,364402,2204,77101227,,,,,,,,,
86,360401,2204,,77108001,77108001,77108001,77108001,77108001,77108001,,,
87,360402,2204,,77108007,77108007,77108007,77108007,77108007,77108007,,,
88,360403,2204,,77108008,77108008,77108008,77108008,77108008,77108008,,,
89,360404,2204,,77108002,77108002,77108002,77108002,77108002,77108002,,,
90,360405,2204,,77108010,77108010,77108010,77108010,77108010,77108010,,,
91,360104,2201,77101173,77101164,77101161,77101179,77101176,77101164,77101161,,,
92,360204,2201,77101175,77101166,77101163,77101181,77101178,77101166,77101163,,,
93,360304,2201,77101174,77101165,77101162,77101180,77101177,77101165,77101162,,,
94,360504,2201,,77108025,77108025,77108025,77108023,77108025,77108025,,,
95,364304,2201,77101225,77101225,77101225,77101225,77101225,77101225,77101225,,,
96,364404,2201,77101231,,,,,,,,,
97,360104,2202,77101167,77101164,77101164,77101164,77101170,77101164,77101182,,,
98,360204,2202,77101169,77101166,77101166,77101166,77101172,77101166,77101184,,,
99,360304,2202,77101168,77101165,77101165,77101165,77101171,77101165,77101183,,,
100,360504,2202,,77108025,77108025,77108025,77108023,77108025,77108025,,,
101,364304,2202,77101225,77101225,77101225,77101225,77101225,77101225,77101225,,,
102,364404,2202,77101230,,,,,,,,,
103,360104,2203,77101191,77101194,77101188,77101188,77101203,77101197,77101200,,,
104,360204,2203,77101193,77101196,77101190,77101190,77101205,77101199,77101202,,,
105,360304,2203,77101192,77101195,77101189,77101189,77101204,77101198,77101201,,,
106,360504,2203,77108025,77108025,77108025,77108025,,77108025,77108025,,,
107,364304,2203,77101224,77101224,77101224,77101224,77101224,77101224,77101224,,,
108,364404,2203,77101232,,,,,,,,,
