ID	充能技能	天赋技能	技能1	技能2	技能3	技能4	次级技能	瞄准模式	队长天赋	额外Ability1	额外Ability2	额外Ability3	天赋1	天赋2	天赋3	天赋4	天赋5	天赋6	天赋星盘名称	核心得意技组ID	核心得意技组激活所需角色突破等级	固有得意技组1ID	固有得意技组1激活所需角色突破等级	固有得意技组2ID	固有得意技组2激活所需角色突破等级	固有得意技组3ID	固有得意技组3激活所需角色突破等级	固有得意技组4ID	固有得意技组4激活所需角色突破等级	固有得意技组5ID	固有得意技组5激活所需角色突破等级	AbilityGroup
4401	10443		10441	10442			10101,10102,5044010						441	442	443	444	445	446	Talent_Xinyan			4421	1	4422	4	4423	0					
4501	10453		10451	10452			10101,10102,10002,5045010						451	452	453	454	455	456	Talent_Rosaria			4521	1	4522	4	4523	0					
4601	10463		10461	10462			10101,10002,10102,10464,5046010						461	462	463	464	465	466	Talent_Hutao		0	4621	1	4622	4	4623	0	0	0	0	0	
4701	10475		10471	10472			10101,10102,10001,10473,10474,5047010						471	472	473	474	475	476	Talent_Kazuha			4721	1	4722	4	4723	0					
4801	10485		10481	10482			10101,10102,10003,10473,5048010						481	482	483	484	485	486	Talent_Feiyan			4821	1	4822	4	4823	0					
4901	10495		10491	10492			10493,5049010	20000					491	492	493	494	495	496	Talent_Yoimiya			4921	1	4922	4	4923	0					
5001	10505		10501	10502			10002,5050010						501	502	503	504	505	506	Talent_Tohma			5021	1	5022	4	5023	0					
5101	10515		10511	10512			10101,10102,5051010						511	512	513	514	515	516	Talent_Eula		0	5121	1	5122	4	5123	0	0	0	0	0	
5201	10525		10521	10522			10001,10002,5052010						521	522	523	524	525	526	Talent_Shougun		0	5221	1	5222	4	5223	0	0	0	5225	0	
5301	10535		10531	10532			10533,5053010						531	532	533	534	535	536	Talent_Sayu		0	5321	1	5322	4	5323	0	0	0	0	0	
5401	10545		10541	10542			10003,5054010						541	542	543	544	545	546	Talent_Kokomi		0	5421	1	5422	4	5423	0	0	0	5425	0	
5501	10555		10551	10552			10553,10554,5055010	20000					551	552	553	554	555	556	Talent_Gorou			5521	1	5522	4	5523	0	0	0	0	0	
5601	10565		10561	10562			10563,10564,5056010	20000					561	562	563	564	565	566	Talent_Sara			5621	1	5622	4	5623	0					
5701	10575		10571	10572			10004,10102,5057010						571	572	573	574	575	576	Talent_Itto			5721	1	5722	4	5723	0	0	0	0	0	
5801	10585		10581	10582			10583,10003,5058010						581	582	583	584	585	586	Talent_Yae			5821	1	5822	4	5823	0					
5901	10595		10591	10592			10003,5059010						591	592	593	594	595	596	Talent_Heizo			5921	1	5922	4	5923	0					
6001	10610		10606	10607			10608,10609,5060010	20000					601	602	603	604	605	606	Talent_Yelan			6021	1	6022	4	6023	0					
6201	10625		10621	10622			10623,10624,5062010	20000					621	622	623	624	625	626	Talent_Aloy		0	6221	1	6222	4	6223	0	0	0	0	0	
6401	10643		10641	10642			10002,5064010						641	642	643	644	645	646	Talent_Yunjin			6421	1	6422	4	6423	0					
6301	10635		10631	10632			10101,10102,10002,5063010						631	632	633	634	635	636	Talent_Shenhe			6321	1	6322	4	6323	0					
6501	10655		10651	10652			10101,10102,10001,10656,10657,5065010						651	652	653	654	655	656	Talent_Shinobu			6521	1	6522	4	6523	0					
6601	10665		10661	10662			10001,10663,5066010						661	662	663	664	665	666	Talent_Ayato			6621	1	6622	4	6623	0					
6701	10675		10671	10672			10674,5067010	20000					671	672	673	674	675	676	Talent_Collei			6721	1	6722	4	6723	0					
6801	10685		10681	10682			5068010						681	682	683	684	685	686	Talent_Dori			6821	1	6822	4	6823	0					
6901	10695		10691	10692			10693,5069010	20000					691	692	693	694	695	696	Talent_Tighnari			6921	1	6922	4	6923	0					
7001	10705		10701	10702			10703,10704,10706,10707,10708,10001,10101,10102,5070010						701	702	703	704	705	706	Talent_Nilou			7021	1	7022	4	7023	0					
7101	10715		10711	10712			10002,10713,5071010						711	712	713	714	715	716	Talent_Cyno			7121	1	7122	4	7123	0					
7201	10725		10721	10722			10002,5072010						721	722	723	724	725	726	Talent_Candace			7221	1	7222	4	7223	0					
7301	10735		10731	10732			10003,5073010						731	732	733	734	735	736	Talent_Nahida			7321	1	7322	4	7323	0					
7401	10745		10741	10742			10001,5074010						741	742	743	744	745	746	Talent_Layla			7421	1	7422	4	7423	0					
7601																																
8011													0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
9011													0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
10011													0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
12011													0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
13011													0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
25011	10255		10251	10362			10252,10253,10101,10102	20000					0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
28011	10283		10281	10282			10101,10102						0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
30011	11305		11301	11302			10101,10102						311	312	313	314	315	316			0	3121	1	3122	4					0	0	
37011	11373		11371	11372			11374,11375,10101,10102	20000					0	0	0	0	0	0	Talent_Test_NoStar 		0	0	0	0	0	0	0	0	0	0	0	
38001	10362		100540	10365			10101,10102,10364															0	0	0	0	0	0	0	0	0	0	
46011	10463		10461	10462			10081,10101,10001,10102						0	0	0	0	0	0	Talent_Kaeya		0	0	0	0	0	0	0	0	0	0	0	
