鱼池ID	普通鱼群随机组ID	特殊保底鱼群随机组ID	[鱼群产出]1类型	[鱼群产出]1下限	[鱼群产出]1上限	[鱼群产出]2类型	[鱼群产出]2下限	[鱼群产出]2上限	前台显示上限	AbilityGroup	TeamAbilityGroup	掉落ID	每日进包上限	上限内排除鱼ID	城市ID
6	61	63:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
7	71	73:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
8	81	83:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
9	91	93:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
10	101	103:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
11	111	113:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
12	121	123:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
13	131	133:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
14	141	143:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
15	151	153:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
16	161	163:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
17	171	173:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
18	181	183:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
19	193	193:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
20	201	203:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
21	211	213:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
22	221	223:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
23	231	233:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
24	241	243:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
25	251	253:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
26	261	263:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
27	271	273:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
28	281	283:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
29	291	293:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
