子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
1100303	11003	3	1				1	1100302	3											5	108021			1																			1		Q1100303Target		3	2	2	1			1																											1012,1630		1100						
1100304	11003	4					1	1100303	3											2	1100304																						2		163001		3	2	2		1		1			1	108021	1																						1012,1630		1100						
1100401	11004	1		1			1	1100304	3											9	1010	125																					1		Q1100401D1		3	2	2	1			1																					2	3	125												
1100499	11004	2			1		1	1100401	3											20			22000502	1											2	1100403																																																				
1100498	11004	3			1		1	1100401	3											4	1100498														2	1100403																																																				
1100402	11004	4		1			1	1100401	3											20			22000501	1										2	19	1010			10	3													1												14	1100401		20	13					12	13								13					
1100403	11004	5		1			1	1100402	3											2	1100403													2	19	1010			10	3			2		1012		20005	2	2		1		1			17	3	125	20	13					14	1100401		20	13														13					
1100501	11005	1					1	1100403	3											2	1100501																						2		163001		3	2	2				1																											1012,1537,1541,1631		1100						
1100502	11005	2					1	1100501	3											2	1100502																						2		1012		3	2	2				1																					19	3	133002308,2				1012,1537,1541,1631		1100						
1100503	11005	3					1	1100502	3											2	1100503																						2		1012		3	2	2				1																					19	3	133002308,2	19	3	133002312,1	1012,1537,1541,1631		1100						
1100505	11005	4	1			1	1	1100503	3		1	1100504	2							5	100014			1											24	1100504		1																																				19	3	133002308,2				1012,1537,1541,1631		1100						
1100506	11005	5				1	1	1100505	3		1	1100504	2							25	70710030														24	1100504		1					1		Q1100506Wash		3	2	2	1				100355	1	1	100014	1																19	3	133002308,2				1012,1537,1541,1631		1100						
1100507	11005	6			1	1	1	1100506	3		1	1100504	2							7	133002312														8	1100507																				19	3	133002312,1																19	3	133002308,2	19	3	133002312,2									
1100508	11005	7				1	1	1100506	3		1	1100504	2							2	1100508														24	1100504		1					2		1012		3	2	2							29	100355																	19	3	133002308,2				1012,1537,1541,1631		1100						
1100509	11005	8				1	1	1100508	3		1	1100504	2						1	25	70710031				25	70710032				25	70710033				8	1100509																																						19	3	133002308,2						1100						
1100510	11005	9				1	1	1100508	3		1	1100504	2						2	2	1100510				2	1100509									24	1100504		1					2		1012		3	2	2																									19	3	133002308,2				1012,1537,1541,1631		1100						
1100511	11005	10	2			1	1	1100510	3		1	1100504	2							5	108013			1											24	1100504		1																																				19	3	133002308,2				1012,1537,1541,1631		1100						
1100512	11005	11				1	1	1100511	3		1	1100504	2							2	1100512														24	1100504		1					2		1012		3	2	2							1	108013	1																19	3	133002308,2				1012,1537,1541,1631		1100						
1100513	11005	12				1	1	1100512	3		1	1100504	2							27	8														24	1100504		1					2		1012		3	2	2																									19	3	133002308,2	28	8		1012,1537,1541,1631		1100						
1100514	11005	13				1	1	1100513	3		1	1100504	2							2	1100514														24	1100504		1					2		1012		3	2	2																									19	3	133002308,2				1012,1537,1541,1631		1100						
1100504	11005	14			1		1	1100503	3											4	1100504														8	1100504																				23	1100504	1	19	3	133002312,1	29	100355		14	1100503		19	3	133002312,1	29	100355		19	3	133002308,2												
1100515	11005	15					1	1100504	3											2	1100515																						2		1012		3	2	2				1	109404,100018,110005,100026,100027	3,6,3,6,6																			19	3	133002308,2				1012,1537,1541,1631		1100						
1100599	11005	16			1		1	1100515	3											4	1100599																																																																			
1100516	11005	17	3				1	1100515	3											5	108070			1																													1																					19	3	133002308,2				1012,1537,1541,1631		1100						
1100517	11005	18					1	1100516	3											2	1100517																						2		1012		3	2	2				1			1	108070	1																19	3	133002308,2				1012,1537,1541,1631		1100						
1100518	11005	19					1	1100517	3											2	1100518																						2		153701		3	2	2				1																					19	3	133002308,2				1012,1537,1541,1631		1100						
1100519	11005	20					1	1100518	3											2	1100519																						2		1012		3	3	2		1		1			19	3	133002308,1																						1012		1100						
1100601	11006	1					1	99902	3											6	1168																						1		Q1100601_Target	40	3		2				1			15	3	133103015																														
1100602	11006	2					1	99902	3											20			133103015_finish	1																			1		Q1100602_Target		3		2		1		1																																			
1100701	11007	1			1		1	99902	3											6	1168																						1		Q1100601_Target	40	3		2				1			15	3	133103015																														
1110009	11100	1				1					44	10004	1		47	10				4	1110009																						1		Q1110001Trigger		3	4	2				1																					19	3	133104212,2												
1110001	11100	2			1		1	1110009	3											2	1110001																						2				3						1																																			
1110002	11100	3		1			1	1110001	3											7	133104911													2	8	1110002			21				1		Q1110002guild	20	3	2	2				1			19	3	133104911,1							19	3	133104911,1							19	3	133104911,2												
1110003	11100	4			1		1	1110002	3											2	1110003																																																																			
1110010	11100	5					1	1110003	3											2	1110010																						2		10202		3	2	2				1																											10202								
1110004	11100	6	1	1			1	1110010	3											2	1110004																						2		10217		3	2	2							23	1110007	1																						10217								
1110005	11100	7	1	1			1	1110010	3											2	1110005																						2		10219		3	2	2							23	1110007	1																						10219								
1110006	11100	8	1	1			1	1110010	3											2	1110006																						2		10218		3	2	2							23	1110007	1																						10218								
1110007	11100	9		1	1		1	1110010	3											24	1110007			3																			2		10202		3	2	2							23	1110009	1																														
1110011	11100	10		1	1		1	1110010	3											24	1110009			1																			2		10202		3	2	2																																							
1110008	11100	11					1	1110011	3											2	1110008																						2		10202		3	2	2		1		1																											10202								
1110101	11101	1					1	1110008	3											4	1110101																						2		1625		3	2	2				1																											10202,1625								
1110108	11101	2			1		1	1110101	3											2	1110101																						2		1625		3	2	2																															10202,1625								
1110102	11101	3					1	1110108	3											2	1110102																						2		1625		3	2	2				1																											10202,1625								
1110103	11101	4		1			1	1110102	3											5	100426			1																			1		Q1110102Cheat	20	3	2	2				1																					19	3	133107078,2				10202,1625								
1110104	11101	5		1	1		1	1110103	3											2	1110114																																1																																			
1110105	11101	6					1	1110104	3											2	1110105																						2		10202		3	2	2				1			19	3	133107078,1																19	3	133104212,2				10202								
1110106	11101	7		1			1	1110105	3											7	133104912													2	8	1110006			21				1		Q1110105Qiuqiu2	20	3	2	2				1			19	3	133104912,1							19	3	133104912,1	14	1110105					19	3	133104912,2				10202								
1110107	11101	8					1	1110106	3											2	1110107																						2		10202		3	2	2		1		1																											10202								
1110201	11102	1					1	1110107	3											4	1110201																						1		Q1110202Xiao	40	3	2	2				1																					19	3	133104918,2	19	3	133104141,2	10204								
1110202	11102	2					1	1110201	3											2	1110202																						2		10204		3	2	2				1																					19	3	133104577,2				10204								
1110203	11102	3					1	1110202	3											9	1102	173																					1		Q1110203Guild		3	4	2				1			12	16																	2	3	173				10204								
1110204	11102	4		1	1		1	1110203	3											2	1110204													2	19	1102			10	3													1			15	1032	201032001	31	10000026					14	1110203		32			20	16		19	3	133104918,1				10204			16					
1110207	11102	5		1	1		1	1110204	3											20			1110207	1										2	19	1102			10	3													1												14	1110203		32			20	16								10204			16					
1110206	11102	6		1			1	1110207	3											20			1110206	1										2	19	1102			10	3													1												14	1110203		32			20	16		31	10000026					10204			16					
1110205	11102	7		1	1		1	1110206	3											2	1110206													2	19	1102			10	3											1		1			32			17	3	173	15	1032	201032007	14	1110203		32			20	16		19	3	133104577,1				10204								
1110313	11103	1					1	1110205	3											4	1110313																						2		10201		3	2	2				1																					19	3	133104212,1	19	3	133106099,2	10201								
1110314	11103	2					1	1110313	3											2	1110301																						2		10201		3	2	2				1																					19	3	133104141,1				10201								
1110301	11103	3					1	1110314	3											4	1110302																						1		Q1110301guild		3	4	2				1			19	3	133107913,1																						10201								
1110317	11103	4			1		1	1110301	3											2	1110302																																																											10201								
1110302	11103	5	2				1	1110317	3											25	70710064			7																			1		Q1110303Statue	50	3	2	2				1																					19	3	133107913,2	19	3	133107945,2	10201								
1110303	11103	6					1	1110302	3											2	1110303																						1		Q1110303guild		3	4	2				1			19	3	133107933,2																						10201								
1110304	11103	7	3				1	1110303	3											5	100052			3																													1																																			
1110312	11103	8					1	1110304	3											18	0		18,6																				1		Q1110306Born		3	4	2				1																											10204,2426					1100901			
1110305	11103	9					1	1110312	3											4	1110305																						2		10204		3	2	2				1																											10204,2426					1100901			
1110316	11103	10			1		1	1110305	3											2	1110305																						2		10204		3	2	2																									19	3	133107082,2				10204,2426					1100901			
1110306	11103	11					1	1110316	3											2	1110306																						1		Q1110306guild		3	4	2				1																											10204,2426					1100901			
1110315	11103	12	4	1			1	1110306	3											20			1110306	2																			1		Q1110306guild	40	3	2	2				1			19	3	133107075,1																19	3	133107075,2				10204,2426					1100901			
1110307	11103	13			1		1	1110315	3											2	1110307																						2		10204		3	2	2				1																											10204,10203,2426					1100901			
1110308	11103	14		1			1	1110307	3											20			1110308	1										2	8	1110308			21				1		Q1110306guild	20	3	2	2				1			19	3	133107914,1							19	3	133107914,1	14	1110312					19	3	133107914,2				10204,10203,2426					1100901			
1110309	11103	15			1		1	1110308	3											2	1110309																																			19	3	133107946,2																						10204,10203,2426					1100901			
1110310	11103	16					1	1110309	3											2	1110310																						2		2208		3	2	2				1	100709	1																									10204,10203,2202,2208								
1110311	11103	17					1	1110310	3											2	1110311																						2		10204		3	2	2		1		1			1	100709	1	53	3																				10204,10203,2091					306			
1110401	11104	1			1		1	1110311	3										2	18	1		18,6		150	3	30	Q1110311Xiao																							1		1																																			
