ID	道具ID	交付完台词	错误交付吐槽	交付完对话
690371003	101720,101737,101738,101740,101741,101742,101743,101744,101746,101747,101748,101749,101752,101753			6903713
690381001	101750,101752,101753			6903811
690381002	101715,101719,101720,101737,101738,101739,101742,101743,101745,101748,101749,101751			6903812
690381003	101740,101741,101744,101746,101747			6903813
690391001	101719,101740,101742,101749			6903911
690391002	101720,101737,101738,101741,101743,101744,101746,101747,101748,101752,101753			6903912
690391003	101715,101739,101745,101750,101751			6903913
690411001	101719,101738,101744,101748			6904111
690411002	101715,101720,101737,101739,101740,101741,101742,101743,101745,101746,101747,101749,101750,101752			6904112
690411003	101751,101753			6904113
690421001	101737,101738,101742,101743,101744			6904211
690421002	101715,101720,101739,101740,101741,101745,101746,101747,101748,101749,101750,101751,101752,101753			6904212
690421003	101719			6904213
690431001	101750,101752,101753			6904311
690431002	101719,101737,101738,101740,101741,101742,101743,101744,101745,101746,101748,101749,101751			6904312
690431003	101715,101720,101739,101747			6904313
690441001	101719,101739,101740,101741,101742,101747,101748			6904411
690441002	101715,101720,101738,101743,101744,101746,101749			6904412
690441003	101737,101745,101750,101751,101752,101753			6904413
690451001	101740,101744,101748			6904511
690451002	101720,101737,101738,101739,101741,101742,101743,101746,101747,101749			6904512
690451003	101715,101719,101745,101750,101751,101752,101753			6904513
690461001	101715,101737,101740,101749			6904611
690461002	101739,101741,101742,101743,101744,101745,101746,101747,101748,101751,101752,101753			6904612
690461003	101719,101720,101738,101750			6904613
690471201	101720,101740,101742,101749			6904713
690471202	101715,101737,101738,101739,101741,101743,101744,101746,101747,101748,101750,101752,101753			6904714
690471203	101719,101745,101751			6904715
690481001	101743,101745			6904811
690481002	101715,101720,101737,101738,101739,101740,101741,101742,101744,101746,101747,101748,101749,101750,101751,101753			6904812
690481003	101719,101752			6904813
690491201	101750,101753			6904913
690491202	101715,101719,101720,101737,101738,101739,101741,101742,101743,101744,101745,101746,101747,101748,101749,101751,101752			6904914
690491203	101740			6904915
690501201	101737,101738,101740,101741,101744,101746			6905013
690501202	101719,101720,101739,101742,101743,101745,101747,101748,101749,101751,101752,101753			6905014
690501203	101715,101750			6905015
690511001	101738,101750,101752,101753			6905111
690511002	101715,101719,101720,101737,101742,101743,101744,101745,101748,101751			6905112
690511003	101739,101740,101741,101746,101747,101749			6905113
690521301	101750,101752,101753			6905214
690521302	101715,101719,101720,101737,101738,101739,101740,101741,101743,101744,101745,101746,101747,101748,101749,101751			6905215
690521303	101742			6905216
690521701	101750,101752,101753			6905218
690521702	101715,101719,101720,101737,101738,101739,101740,101741,101743,101744,101745,101746,101747,101748,101749,101751			6905219
690521703	101742			6905220
690531201	101746,101748,101750,101751,101753			6905313
690531202	101720,101737,101738,101740,101741,101742,101743,101744,101747,101749,101752			6905314
690531203	101715,101719,101739,101745			6905315
690541201	101745,101746,101748,101750,101751,101753			6905413
690541202	101715,101719,101720,101737,101738,101739,101741,101743,101744,101747,101752			6905414
690541203	101740,101742,101749			6905415
690551201	101750,101752,101753			6905513
690551202	101715,101720,101737,101738,101742,101743,101744,101745,101746,101747,101748,101749,101751			6905514
690551203	101719,101739,101740,101741			6905515
690561201	101746,101747,101748,101749,101751			6905613
690561202	101715,101719,101720,101737,101738,101739,101740,101741,101742,101743,101744,101745			6905614
690561203	101750,101752,101753			6905615
690571201	101741,101742,101748,101752,101753			6905713
690571202	101715,101719,101720,101737,101738,101739,101740,101744,101746,101747,101749,101750,101751			6905714
690571203	101743,101745			6905715
690581201	101743,101745,101747			6905813
690581202	101720,101737,101738,101739,101740,101741,101742,101744,101748,101749,101750,101751,101752,101753			6905814
690581203	101715,101719,101746			6905815
690631201	101747			6906313
690631202	101715,101720,101737,101738,101739,101740,101741,101742,101743,101744,101746,101748,101749,101750,101752,101753			6906314
690631203	101719,101745,101751			6906315
690641201	101740,101741,101742,101744,101746,101748			6906413
690641202	101715,101719,101720,101738,101739,101743,101745,101747,101749,101750,101751,101752,101753			6906414
690641203	101737			6906415
690661201	101715,101743,101749,101750,101753			6906613
690661202	101719,101720,101737,101738,101740,101741,101744,101745,101746,101747,101748,101752			6906614
690661203	101739,101742,101751			6906615
690081201	101719,101739,101740,101741			6900813
690081202	101715,101720,101737,101738,101742,101743,101744,101745,101746,101747,101748,101749,101751			6900814
690081203	101750,101752,101753			6900815
690091201	101747,101748,101749,101750,101751			6900913
690091202	101715,101719,101720,101737,101738,101740,101741,101742,101743,101744,101745,101746,101752,101753			6900914
690091203	101739			6900915
