ID	ChallengeType	存储类型	显示中断按钮	客户端主动中断是否拉回	ActivitySkillID	AbilityGroup	作为子挑战时相关玩家出视野结算	作为父挑战时屏蔽无关玩家推送	TeamAbilityGroup	子挑战开始时动画	子挑战成功时动画	子挑战失败时动画	子挑战排序方式
110143	8												
110144	13					ActivityAbility_Challenge_AreaAttackOnEnemyKilled							
110145	1					ActivityAbility_Challenge_AtkSpeed							
110146	8					ActivityAbility_Challenge_EnhancExtraAttack							
110147	13												
110148	3												
110149	8												
110150	21												
110151	13		1										
110152	2												
110153	8												
110154	21												
110155	13		1			ActivityAbility_Challenge_Shock							
110156	2												
110157	5												
110158	21												
110159	13		1			ActivityAbility_Challenge_FallingAttack							
110160	2												
110161	8												
110162	21												
110163	13		1			ActivityAbility_Challenge_Frozen							
110164	2												
110165	5												
110166	21												
110167	13		1			ActivityAbility_Challenge_LowHp							
110168	2												
110169	8												
110170	21												
110171	13		1			ActivityAbility_Challenge_ExtraAttack							
110172	2												
110173	5												
110174	21												
110175	13		1										
110176	2												
110177	8												
110178	21												
110179	21												
110180	13												
110181	1												
110182	2												
110183	8					AbilityGroup_LudiHarpastum_Set_01							
110184	1												
110185	8		1										
110186	8		1										
110187	13												
110188	1												
110189	2												
110190	1												
110191	2												
110192	23												
110193	8												
110194	1												
110195	2												
110196	8												
110197	23												
110198	23												
110199	23												
110200	13		1										
110201	8												
110202	8												
110203	8												
111101	13		1										
111102	2												
111103	8												
111104	21												
111105	8												
111111	13		1										
111112	2												
111113	5												
111114	21												
111115	8												
111121	13		1										
111122	2												
111123	8												
111124	21												
111125	8												
111131	13		1										
111132	2												
111133	8												
111134	21												
111135	8												
111141	13		1										
111142	2												
111143	5												
111144	21												
111145	8												
111151	13		1										
111152	2												
111153	8												
111154	21												
111161	13		1										
111162	2												
111163	8												
111164	21												
111165	21												
111166	11		1										
111167	13		1			ActivityAbility_ReviveStamina							
111168	23												
111169	2												
111170	2												
111171	10												
111172	8		1										
111173	1												
111174	23												
111175	13												
111176	1												
2016	23												
111177	8		1										
111178	8		1										
111179	8		1										
111180	8		1										
111181	13		1										
111182	1		1										
111183	12												
111184	23												
111185	23												
111186	23												
111187	23												
111188	23												
111189	23												
111190	23												
111191	23												
111192	8		1										
111193	8		1										
111194	1												
111195	2												
111196	1												
111197	2												
111198	1												
2001001	13		1			ActivityAbility_ShogunChallenge_NoHarm							
2001002	23												
2001003	23												
2001004	23												
2001005	8		1										
2001006	8		1										
2001007	23							1					
2002001	13							1					
2002002	13							1					
2002003	13							1					
2002004	23							1					
2002005	23							1					
2002006	23							1					
2002007	13							1					
2002008	23								SLCType_test				
2001009	23		1										
2001010	23		1										
2001011	23		1										
2003001	23								ActivityAbility_Hachi_Sneak				
2003002	13		1						ActivityAbility_WinterCamp_Parkour				
2003003	23												
2003004	23												
2003005	23												
2003006	23												
2003007	13		1										
2003008	8												
2003009	8												
2003010	2		1			ActivityAbility_WinterCamp_BattleCamp_Avatar			ActivityAbility_WinterCamp_BattleCamp				
2003011	13		1						ActivityAbility_WinterCamp_Parkour				
2003012	13		1						ActivityAbility_WinterCamp_Parkour				
2003013	13		1						ActivityAbility_WinterCamp_Parkour				
2003014	2					ActivityAbility_WinterCamp_BattleCamp_Avatar			ActivityAbility_WinterCamp_BattleCamp				
2003015	13												
2004001	13							1					
2004002	23												
2004003	23												
2004004	1							1					
2004005	1							1					
2004006	8		1										
2004007	23												
2005001	13		1										
2005002	8												
2005003	8												
2005004	8		1	1									
2005005	2												
2005006	23												
2005007	23												
2005008	23												
2005009	23												
2005010	23												
2005011	8												
2005012	8		1										
2005013	13		1										
2005014	13		1										
2005015	8												
2005016	13		1										
2005017	7												
2005018	7												
2005019	8		1	1									
2008001	13		1										
2008002	2												
2008003	8												
2008004	8												
2008005	13		1										
2008006	2												
2008007	8												
2008008	8												
2008009	13		1										
2008010	2												
2008011	8												
2009001	13		1										
2009002	2												
2009003	9												
2009004	8		1										
2009005	2		1										
2009006	8		1										
2009007	13		1										
2009008	8		1										
2009009	8		1										
2009010	8		1										
2010001	13												
2010011	8												
2010012	8												
2010021	2												
2010022	2												
2010031	8												
2010032	8												
2010033	2												
2010034	13		1										
2010035	23												
2010036	23												
2010037	2		1						ActivityAbility_SummerTimeV2_KazuhaDungeon				
2010038	23												
2010039	23												
2010040	23												
2010041	23												
2010042	23												
2010043	23												
2010044	23												
2010045	23												
2010046	2		1										
2010047	2		1						ActivityAbility_SummerTimeV2_MonaDungeon				
2010048	2		1						ActivityAbility_SummerTimeV2_FischlDungeon				
2010050	13		1						ActivityAbility_GravenInnocence_Parkour				
2010051	23												
2010052	23												
2010053	2		1						ActivityAbility_SummerTimeV2_KazuhaDungeon				
2010054	2		1										
2010055	2		1						ActivityAbility_SummerTimeV2_MonaDungeon				
2010056	2		1						ActivityAbility_SummerTimeV2_FischlDungeon				
2010057	8		1										
2010058	7												
2010059	23		1										
2010060	23												
2010061	23												
2010062	23												
2010063	23												
2010064	23												
2010065	3												
2010066	13		1										1
2010067	4									2	1	1	
2010068	23												
2010069	23												
2010070	23												
2010071	8												
2010072	8												
2010073	23										1		
2010074	1												
2010075	1												
2010076	23										1		
2010077	23										1		
2010078	13								ActivityAbility_Team_Exploration_Used_Widget_Detect				1
2010079	23										1		
2010080	8												
2011001	8								ActivityAbility_WindFlowerV2_SpinningBall				
2011002	8								ActivityAbility_WindFlowerV2_FallAttackPillar				
2011003	8								ActivityAbility_WindFlowerV2_WaterRun				
2011004	8					ActivityAbility_WindFlowerV2_Baseball							
2011005	8												
2011006	25												
2011007	2												
2011008	2												
2011009	2												
2012000	8												
2012001	8												
2012002	23												
2012003	22												
2012004	13		1										
2013001	1												
