鱼ID,怪物ID,道具ID,血量,技能序列,熟练度加速,Bonus宽度,Bonus单次停留时间,Bonus变动位移,Bonus变动速度,试探时间区间,吸引距离,受惊距离,奖励ID,掉落ID,所属鱼种,咬钩超时时间,初始Pose,解锁配方
1014,28040501,379014,140,2026,1001,28,1#2,20#40,10#20,2#8,2.4,1,243014,,14,1,2,1026
1015,28040502,379015,140,2026,1001,28,1#2,20#40,10#20,2#8,2.4,1,243015,,15,1,2,1027
1016,28040503,379016,140,2026,1001,28,1#2,20#40,10#20,2#8,2,1,243016,,16,1,2,1028
1017,28040504,379017,88,2027#2002#1000,1001,20,0.5#1,20#40,20#30,2#8,2,1,243017,,17,1,2,1029
1018,28040505,379018,88,2027#2002#1000,1001,20,0.5#1,20#40,20#30,2#8,2,1.2,243018,,18,1,2,1030
1019,28040506,379019,88,2028#2000#1000,1001,20,1#2,15#30,25#40,2#8,2,1.2,243019,,19,1,2,
1020,28040601,379020,255,2029,1001,28,0#0.5,50#80,5#10,2#8,3,1.7,243020,,20,1,2,1031
1021,28040602,379021,255,2029,1001,28,0#0.5,50#80,5#10,2#8,3,1.7,243021,,21,1,2,1032
1022,28040701,379022,110,2031#1002,1001,28,1#2,20#40,20#30,2#8,3,1.7,243022,,22,1,2,1033
1023,28040702,379023,125,2031#1002,1001,28,1#2,20#40,20#30,2#8,3,1.7,243023,,23,1,2,1034
1024,28040801,379024,90,2005#1005,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,243024,,24,2,2,1035
1025,28040802,379025,159,2001#2004#1004,1001,25,0.8#2,20#40,30#35,4#5,2.8,1.2,243025,,25,1,2,1036
1026,28040803,379026,90,2005#1005,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,243026,,26,2,2,1037
1027,28040804,379027,90,2005#1005,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,243027,,27,2,2,1038
1028,28040901,379028,117,2021,1001,28,1#2,15#35,30#35,2#3,2.8,1.2,243028,,28,3,2,1039
1029,28040902,379029,117,2021,1001,28,1#2,15#35,30#35,2#3,2.8,1.2,243029,,29,3,2,1040
