ID	SeriesID	数据写类型	数据trigger类型	替换统计	累加统计	是否废弃	参数	[参数]1	[参数]2
10901011	10901	2	WinterCamp_Boss_NoHitBySkillB	0	0				
10901013	10901	2	WinterCamp_Boss_NoPickUp	0	0				
10901006	10901	2	Activity_PursinaChallenge_watcher_6	0	0	1			
10901101	10901	2	WinterCamp_Snowman_HavePlayed	0	0				
10901102	10901	2	WinterCamp_Parkour_HavePlayed	0	0				
10901103	10901	2	WinterCamp_Gacha_HavePlayed	0	0				
10901104	10901	2	WinterCamp_Device_HavePlayed	0	0				
11001001	11001	2	Activity_SalvageBoss_watcher_1	0	0				
11001002	11001	2	Activity_SalvageBoss_watcher_2	0	0				
11001003	11001	2	Activity_SalvageBoss_watcher_3	0	0				
11001004	11001	2	Activity_SalvageBoss_watcher_4	0	0				
11001005	11001	2	Activity_SalvageBoss_watcher_5	0	0				
11001006	11001	2	Activity_SalvageBoss_watcher_6	0	0				
11001101	11001	2	Activity_MiniOsial_CARD_3	0	0				
11001102	11001	2	Activity_MiniOsial_CARD_4	0	0				
11001103	11001	2	Activity_MiniOsial_CARD_5	0	0				
11001104	11001	2	Activity_MiniOsial_Watcher_1	0	0				
11001105	11001	2	Activity_MiniOsial_Watcher_2	0	0				
11001106	11001	2	Activity_MiniOsial_Watcher_3	0	0				
11001107	11001	2	Activity_MiniOsial_Watcher_4	0	0				
11001108	11001	1	对指定类型怪物造成伤害	0	0			26080101	
11001109	11001	1	指定怪物造成伤害百分比最大值	0	0			26080101	
11001110	11001	2	Activity_MiniOsial_Watcher_5	0	0				
11001111	11001	2	Activity_MiniOsial_Watcher_6	0	0				
11101101	11101	2	Activity_Michiae_watcher_abyss_tower	0	0				
11101102	11101	2	Activity_Michiae_watcher_energy_charge	0	0				
11101103	11101	2	Activity_Michiae_watcher_refraction_puzzle	0	0				
11101104	11101	2	Activity_Michiae_watcher_enemy_purify	0	0	1			
11101105	11101	2	Activity_Michiae_watcher_boss_easy	0	0				
11101106	11101	2	Activity_Michiae_watcher_boss_normal	0	0				
11101107	11101	2	Activity_Michiae_watcher_boss_hard	0	0				
11201101	11201	2	Activity_UGCDungeon_Guide	0	0				
11201102	11201	2	Activity_UGCDungeon_CoinNums	0	0				
11201103	11201	2	Activity_UGCDungeon_Arrive	0	0				
11301101	11301	2	Activity_IslandParty_Raft_Protection	0	0				
11301102	11301	2	Activity_IslandParty_Raft_Fix	0	0				
11301103	11301	2	Activity_IslandParty_Raft_Buff	0	0				
11301104	11301	1	对指定GroupId所有怪物造成伤害	0	0			199003126,199001001	
11301105	11301	1	指定时间内击杀溺水坠落怪物次数	0	0			199003126,199001001	5
11301106	11301	2	Activity_IslandParty_Raft_Success	0	0				
11301107	11301	2	Activity_IslandParty_Raft_TeamCoin	0	0				
11301108	11301	2	Activity_IslandParty_Raft_PersonalCoin	0	0				
11301109	11301	1	Gallery挑战成功剩余时间	0	0			21100,21101	
11302101	11302	2	Activity_IslandParty_Sail_ArriveArea	0	0				
11302102	11302	2	Activity_IslandParty_Sail_PersonalCoin	0	0				
11302103	11302	1	对指定GroupId所有怪物造成伤害	0	0			199002065,199001100	
11302104	11302	1	指定时间内击杀溺水坠落怪物次数	0	0			199002065,199001100	5
11302105	11302	2	Activity_IslandParty_Sail_Success	0	0				
11302106	11302	2	Activity_IslandParty_Sail_TeamCoin	0	0				
11302107	11302	1	Gallery挑战成功剩余时间	0	0			21200,21201	
11303101	11303	2	Activity_IslandParty_Downhill_ArriveFirst	0	0				
11303102	11303	2	Activity_IslandParty_Downhill_Platform	0	0				
11303103	11303	2	Activity_IslandParty_Downhill_Buff	0	0				
11303104	11303	2	Activity_IslandParty_Downhill_PersonalCoin	0	0				
11303105	11303	1	对指定GroupId所有怪物造成伤害	0	0			199001091,199003127	
11303106	11303	1	指定时间内击杀溺水坠落怪物次数	0	0			199001091,199003127	5
11303107	11303	2	Activity_IslandParty_Downhill_Success	0	0				
11303108	11303	2	Activity_IslandParty_Downhill_TeamCoin	0	0				
11303109	11303	1	Gallery挑战成功剩余时间	0	0			21300,21301	
11401101	11401	2	Activity_SummerTimeV2_Kazuha_Succ	0	0				
11401102	11401	2	Activity_SummerTimeV2_Kazuha_CoolDown	0	0				
11401103	11401	2	Activity_SummerTimeV2_Kazuha_TSkill	0	0				
11401104	11401	1	对指定GroupId所有怪物造成伤害	0	0			235848001,235849001	
11401105	11401	2	Activity_SummerTimeV2_Kazuha_TotalBuff	0	0				
11401106	11401	2	Activity_SummerTimeV2_Kazuha_TSkillOnce	0	0				
11401107	11401	2	Activity_SummerTimeV2_Kazuha_SuccOnce	0	0				
11401108	11401	2	Activity_SummerTimeV2_Kazuha_Guide1	0	0				
11401109	11401	2	Activity_SummerTimeV2_Kazuha_Guide2	0	0				
11402101	11402	2	Activity_SummerTimeV2_Mona_Succ	0	0				
11402102	11402	2	Activity_SummerTimeV2_Mona_Push	0	0				
11402103	11402	2	Activity_SummerTimeV2_Mona_Buff	0	0				
11402104	11402	1	对指定GroupId所有怪物造成伤害	0	0			235852001,235853001	
11402105	11402	2	Activity_SummerTimeV2_Mona_PushOnce	0	0				
11402106	11402	2	Activity_SummerTimeV2_Mona_BuffOnce	0	0				
11402107	11402	2	Activity_SummerTimeV2_Mona_SuccOnce	0	0				
11402108	11402	2	Activity_SummerTimeV2_Mona_Guide1	0	0				
11402109	11402	2	Activity_SummerTimeV2_Mona_Guide2	0	0				
11403101	11403	2	Activity_SummerTimeV2_Fischl_Succ	0	0				
11403102	11403	2	Activity_SummerTimeV2_Fischl_Buff	0	0				
11403103	11403	2	Activity_SummerTimeV2_Fischl_ElecShock	0	0				
11403104	11403	1	对指定GroupId所有怪物造成伤害	0	0			235852001,235853001	
11403105	11403	1	海岛复刻活动单次地城元素爆发次数	0	0				
11403106	11403	2	Activity_SummerTimeV2_Fischl_BuffOnce	0	0				
11403107	11403	2	Activity_SummerTimeV2_Fischl_ElecShockOnce	0	0				
11403108	11403	2	Activity_SummerTimeV2_Fischl_SuccOnce	0	0				
11403109	11403	2	Activity_SummerTimeV2_Fischl_Guide1	0	0				
11404101	11404	2	Activity_SummerTimeV2_Xinyan_Succ	0	0				
11404102	11404	2	Activity_SummerTimeV2_Xinyan_Enbreak	0	0				
11404103	11404	2	Activity_SummerTimeV2_Xinyan_FallAttack	0	0				
11404104	11404	1	对指定GroupId所有怪物造成伤害	0	0			235846019,235847019	
11404105	11404	2	Activity_SummerTimeV2_Xinyan_GadgetUsage	0	0				
11404106	11404	2	Activity_SummerTimeV2_Xinyan_EnbreakOnce	0	0				
11404107	11404	2	Activity_SummerTimeV2_Xinyan_FallAttackOnce	0	0				
11404108	11404	2	Activity_SummerTimeV2_Xinyan_SuccOnce	0	0				
11404109	11404	2	Activity_SummerTimeV2_Xinyan_Guide1	0	0				
11404110	11404	2	Activity_SummerTimeV2_Xinyan_Guide2	0	0				
11405101	11405	2	Activity_SummerTimeV2_BoatRace_L1_Count1	0	0				
11405102	11405	2	Activity_SummerTimeV2_BoatRace_L1_Count2	0	0				
11405103	11405	2	Activity_SummerTimeV2_BoatRace_L2_Count1	0	0				
11405104	11405	2	Activity_SummerTimeV2_BoatRace_L3_Count1	0	0				
11405105	11405	2	Activity_SummerTimeV2_BoatRace_L4_Count1	0	0				
11405106	11405	2	Activity_SummerTimeV2_BoatRace_L5_Count1	0	0				
11405107	11405	2	Activity_SummerTimeV2_BoatRace_L6_Count1	0	0				
11405108	11405	2	Activity_SummerTimeV2_BoatRace_Guide1	0	0				
11405109	11405	2	Activity_SummerTimeV2_BoatRace_Guide2	0	0				
11405110	11405	2	Activity_SummerTimeV2_BoatRace_Guide3	0	0				
11501101	11501	2	Activity_GravenBOSS_Positive_Charge	0	0				
11501102	11501	2	Activity_GravenBOSS_Negative_Charge	0	0				
11601101	11601	2	Permanent_SumeruNurseryPlay_LevelCount	0	0				
11601102	11601	2	Permanent_SumeruNurseryPlay_FarmCount	0	0				
11701101	11701	2	Activity_WindField_1_LevelFinish	0	0				
11701102	11701	2	Activity_WindField_1_Coin	0	0				
11701103	11701	2	Activity_WindField_1_Ball	0	0				
11701104	11701	2	Activity_WindField_2_LevelFinish	0	0				
11701105	11701	2	Activity_WindField_2_Coin	0	0				
11701106	11701	2	Activity_WindField_2_Ball	0	0				
11701107	11701	2	Activity_WindField_3_LevelFinish	0	0				
11701108	11701	2	Activity_WindField_3_Coin	0	0				
11701109	11701	2	Activity_WindField_3_Ball	0	0				
11701110	11701	2	Activity_WindField_4_LevelFinish	0	0				
11701111	11701	2	Activity_WindField_4_Coin	0	0				
11701112	11701	2	Activity_WindField_4_Ball	0	0				
11701113	11701	2	Activity_WindField_5_LevelFinish	0	0				
11701114	11701	2	Activity_WindField_5_Coin	0	0				
11701115	11701	2	Activity_WindField_5_Monster	0	0				
10102001	10102	1	服务器测试trigger	0	0				
10102002	10102	2	test1	0	0				
10102003	10102	2	uid	0	0				
10102004	10102	2	hunter_miss_none	0	0				
10102005	10102	2	hunter_miss_one	0	0				
10102006	10102	2	hunter_miss_two	0	0				
10102007	10102	2	hunter_miss_all	0	0				
10102008	10102	2	prey_alive_only	0	0				
10102009	10102	2	extra_skill_user	0	0				
10102010	10102	2	prey_alive_win	0	0				
10102011	10102	2	prey_dead_win	0	0				
10102012	10102	2	prey_dead_final	0	0				
10102013	10102	2	prey_dead_first	0	0				
10102014	10102	2	hunter_catch_by_guide	0	0				
10102015	10102	2	hunter_detect_prey	0	0				
10102016	10102	2	prey_win_without_skill	0	0				
10102017	10102	2	prey_cheat_hunter	0	0				
10102018	10102	2	player_get_energy	0	0				
10102019	10102	2	hunter_win_by_EX	0	0				
10102020	10102	2	hunter_win_in_time	0	0				
10102021	10102	2	prey_win_by_guide	0	0				
10102022	10102	2	prey_win_by_detect	0	0				
10102023	10102	2	prey_dead_second	0	0				
10102024	10102	1	躲猫猫抓捕者胜利剩余时间	0	0				
10102025	10102	1	躲猫猫躲藏者非幽灵状态时间	0	0				
10102026	10102	1	躲猫猫胜利	0	0				
10102027	10102	2	hunter_catch_sum	0	0				
10102028	10102	2	player_get_energy	0	0				
10102029	10102	2	catch_invisible_prey	0	0				
10102030	10102	2	catch_speedup_prey	0	0				
10102031	10102	2	catch_2_disguise_prey	0	0				
10102032	10102	2	escape_after_ultraMark	0	0				
10102033	10102	2	escape_after_globalsight	0	0				
10102034	10102	2	escape_after_superprison	0	0				
10102035	10102	2	catch_2_prey_in_60	0	0				
10102036	10102	2	is_hunter	0	0				
10102037	10102	2	prey_win_in_transfer	0	0				
10102038	10102	2	hunter_kill_invisible_bait	0	0				
10102039	10102	2	hunter_catch_multiple_prey_max	0	0				
10102040	10102	2	prey_discovered_by_hunter_net	0	0				
10102041	10102	2	prey_keep_invisible	0	0				
10102042	10102	2	ghost_blind_hunter_by_bait	0	0				
10102043	10102	2	ghost_place_ghost_bait	0	0				
10102044	10102	2	hunter_discover_prey_by_hunter_net	0	0				
10102045	10102	2	prey_use_invisible_bait	0	0				
11801001	11801	1	迷城战线单次挑战最短通关时间	0	0			8301	
11801002	11801	1	迷城战线单次挑战最强一击	0	0			8301	
11801003	11801	1	迷城战线单次挑战最少承伤	0	0			8301	
11801004	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8301	17,18,19,20
11801005	11801	1	迷城战线单次挑战最短通关时间	0	0			8302	
11801006	11801	1	迷城战线单次挑战最强一击	0	0			8302	
11801007	11801	1	迷城战线单次挑战最少承伤	0	0			8302	
11801008	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8302	34,35
11801009	11801	1	迷城战线单次挑战最短通关时间	0	0			8303	
11801010	11801	1	迷城战线单次挑战最强一击	0	0			8303	
11801011	11801	1	迷城战线单次挑战最少承伤	0	0			8303	
11801012	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8303	6
11801013	11801	1	迷城战线单次挑战最短通关时间	0	0			8304	
11801014	11801	1	迷城战线单次挑战最强一击	0	0			8304	
11801015	11801	1	迷城战线单次挑战最少承伤	0	0			8304	
11801016	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8304	2
11801017	11801	1	迷城战线单次挑战最短通关时间	0	0			8305	
11801018	11801	1	迷城战线单次挑战最强一击	0	0			8305	
11801019	11801	1	迷城战线单次挑战最少承伤	0	0			8305	
11801020	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8305	33,34,35,6,37
11801021	11801	1	迷城战线单次挑战最短通关时间	0	0			8306	
11801022	11801	1	迷城战线单次挑战最强一击	0	0			8306	
11801023	11801	1	迷城战线单次挑战最少承伤	0	0			8306	
11801024	11801	1	迷城战线单次挑战指定元素反应类型最多次数	0	0			8306	27,28,29,30
11801025	11801	1	迷城战线单次挑战最短通关时间	0	0			8307	
11801026	11801	1	迷城战线单次挑战最强一击	0	0			8307	
11801027	11801	1	迷城战线单次挑战最少承伤	0	0			8307	
11801028	11801	1	迷城战线累计成功通过本关次数	0	0			8307	
11801029	11801	1	迷城战线累计成功通过本关次数	0	0			8301	
11801030	11801	1	迷城战线累计成功通过本关次数	0	0			8302	
11801031	11801	1	迷城战线累计成功通过本关次数	0	0			8303	
11801032	11801	1	迷城战线累计成功通过本关次数	0	0			8304	
11801033	11801	1	迷城战线累计成功通过本关次数	0	0			8305	
11801034	11801	1	迷城战线累计成功通过本关次数	0	0			8306	
11801035	11801	1	迷城战线累计成功通过本关次数	0	0			8307	
13401001	13401	2	Activity_BoatRaceV3_CollectCoinNum	0	0				
13401002	13401	2	Activity_BoatRaceV3_HighestCoinNum	0	0				
13401003	13401	2	Activity_BoatRaceV3_HighestLiveTime	0	0				
13401004	13401	2	Activity_BoatRaceV3_DeathNum	0	0				
13401005	13401	2	Activity_BoatRaceV3_CollectItemNum	0	0				
13401006	13401	2	Activity_BoatRaceV3_UseSkillTimes	0	0				
13401007	13401	2	Activity_BoatRaceV3_DestroyGadgetTimes	0	0				
13401008	13401	2	Activity_BoatRaceV3_DropCoinNum	0	0				
13401009	13401	2	Activity_BoatRaceV3_SeaLampNum	0	0				
13401010	13401	2	Activity_BoatRaceV3_CorrectRiddleNum	0	0				
13401011	13401	2	Activity_BoatRaceV3_BigCoinNum	0	0				
