等级,[曲线]1类型,[曲线]1运算,[曲线]1值,[曲线]2类型,[曲线]2运算,[曲线]2值,[曲线]3类型,[曲线]3运算,[曲线]3值,[曲线]4类型,[曲线]4运算,[曲线]4值,[曲线]5类型,[曲线]5运算,[曲线]5值,[曲线]6类型,[曲线]6运算,[曲线]6值,[曲线]7类型,[曲线]7运算,[曲线]7值,[曲线]8类型,[曲线]8运算,[曲线]8值,[曲线]9类型,[曲线]9运算,[曲线]9值,[曲线]10类型,[曲线]10运算,[曲线]10值,[曲线]11类型,[曲线]11运算,[曲线]11值,[曲线]12类型,[曲线]12运算,[曲线]12值
72,1,2,1016.308,2,2,102.95798,12,2,1.72,4,1,0,9,1,0,10,1,0,11,2,1.797753,14,2,1,18,2,2034.958544,19,2,121.372417,23,2,1176.675427,24,2,88.594593
73,1,2,1037.415,2,2,105.19038,12,2,1.73,4,1,0,9,1,0,10,1,0,11,2,1.808989,14,2,1,18,2,2122.272476,19,2,125.013743,23,2,1225.49735,24,2,92.27201
74,1,2,1067.75,2,2,108.15596,12,2,1.74,4,1,0,9,1,0,10,1,0,11,2,1.820225,14,2,1,18,2,2209.586408,19,2,128.65507,23,2,1276.60159,24,2,95.949426
75,1,2,1098.412,2,2,111.14884,12,2,1.75,4,1,0,9,1,0,10,1,0,11,2,1.831461,14,2,1,18,2,2296.90034,19,2,132.296396,23,2,1349.673881,24,2,99.626843
76,1,2,1123.775,2,2,113.33174,12,2,1.76,4,1,0,9,1,0,10,1,0,11,2,1.842697,14,2,1,18,2,2384.214272,19,2,135.937722,23,2,1419.612117,24,2,103.30426
77,1,2,1153.119,2,2,116.23478,12,2,1.77,4,1,0,9,1,0,10,1,0,11,2,1.853933,14,2,1,18,2,2471.528204,19,2,139.579049,23,2,1492.443537,24,2,106.981676
78,1,2,1182.76,2,2,119.16229,12,2,1.78,4,1,0,9,1,0,10,1,0,11,2,1.865169,14,2,1,18,2,2558.842136,19,2,143.220375,23,2,1566.433893,24,2,110.659093
79,1,2,1210.233,2,2,121.92657,12,2,1.79,4,1,0,9,1,0,10,1,0,11,2,1.876404,14,2,1,18,2,2646.156068,19,2,146.861702,23,2,1645.94096,24,2,114.336509
80,1,2,1366.735,2,2,125.41919,12,2,1.8,4,1,0,9,1,0,10,1,0,11,2,1.88764,14,2,1,18,2,2733.47,19,2,150.503028,23,2,1740.033716,24,2,118.013926
81,1,2,1394.867,2,2,128.0491,12,2,1.81,4,1,0,9,1,0,10,1,0,11,2,1.898876,14,2,1,18,2,2820.783932,19,2,154.144354,23,2,1832.442432,24,2,121.691342
82,1,2,1423.247,2,2,130.69697,12,2,1.82,4,1,0,9,1,0,10,1,0,11,2,1.910112,14,2,1,18,2,2908.097864,19,2,157.785681,23,2,1926.506478,24,2,125.368759
83,1,2,1440.909,2,2,132.59346,12,2,1.83,4,1,0,9,1,0,10,1,0,11,2,1.921348,14,2,1,18,2,2995.411796,19,2,161.427007,23,2,2018.166593,24,2,129.046175
84,1,2,1485.468,2,2,134.49482,12,2,1.84,4,1,0,9,1,0,10,1,0,11,2,1.932584,14,2,1,18,2,3082.725728,19,2,165.068334,23,2,2109.698322,24,2,132.723592
85,1,2,1503.56,2,2,136.40101,12,2,1.85,4,1,0,9,1,0,10,1,0,11,2,1.94382,14,2,1,18,2,3170.03966,19,2,168.70966,23,2,2223.0678,24,2,136.401008
86,1,2,1532.91,2,2,138.65791,12,2,1.86,4,1,0,9,1,0,10,1,0,11,2,1.955056,14,2,1,18,2,3257.353592,19,2,172.350986,23,2,2317.169022,24,2,138.657909
87,1,2,1563.946,2,2,141.59421,12,2,1.87,4,1,0,9,1,0,10,1,0,11,2,1.966292,14,2,1,18,2,3344.667524,19,2,175.992313,23,2,2412.804255,24,2,141.594214
88,1,2,1598.809,2,2,144.79605,12,2,1.88,4,1,0,9,1,0,10,1,0,11,2,1.977528,14,2,1,18,2,3431.981456,19,2,179.633639,23,2,2510.077812,24,2,144.796046
89,1,2,1634.08,2,2,148.02296,12,2,1.89,4,1,0,9,1,0,10,1,0,11,2,1.988764,14,2,1,18,2,3519.295388,19,2,183.274966,23,2,2613.843345,24,2,148.022956
90,1,2,1792.851,2,2,151.52366,12,2,1.9,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,3606.60932,19,2,186.916292,23,2,2731.175574,24,2,151.523664
91,1,2,1835.423,2,2,155.44891,12,2,1.91,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,3693.923252,19,2,190.557618,23,2,2831.961352,24,2,155.448912
92,1,2,1882.428,2,2,159.68016,12,2,1.92,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,3781.237184,19,2,194.198945,23,2,2934.134496,24,2,159.680157
93,1,2,1930.047,2,2,163.96824,12,2,1.93,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,3868.551116,19,2,197.840271,23,2,3063.695303,24,2,163.968241
94,1,2,1996.661,2,2,169.54304,12,2,1.94,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,3955.865048,19,2,201.481598,23,2,3191.604976,24,2,169.543038
95,1,2,2042.759,2,2,173.8133,12,2,1.95,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4043.17898,19,2,205.122924,23,2,3344.277164,24,2,173.813296
96,1,2,2055.588,2,2,175.20334,12,2,1.96,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4130.492912,19,2,208.76425,23,2,3495.400913,24,2,175.203335
97,1,2,2069.809,2,2,176.75739,12,2,1.97,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4217.806844,19,2,212.405577,23,2,3644.670642,24,2,176.757387
98,1,2,2256.937,2,2,189.76929,12,2,1.98,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4305.120776,19,2,216.046903,23,2,3791.268551,24,2,189.769285
99,1,2,2272.524,2,2,191.44692,12,2,1.99,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4392.434708,19,2,219.68823,23,2,3934.99308,24,2,191.446921
100,1,2,2706.502,2,2,196.03574,12,2,2,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4479.74864,19,2,223.329556,23,2,4082.745804,24,2,196.03574
101,1,2,2770.433083,2,2,196.423744,12,2,2.01,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4567.062572,19,2,226.970882,23,2,4213.191254,24,2,196.423744
102,1,2,2835.451413,2,2,196.812013,12,2,2.02,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4654.376504,19,2,230.612209,23,2,4347.95826,24,2,196.812013
103,1,2,2901.570598,2,2,197.200593,12,2,2.03,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4741.690436,19,2,234.253535,23,2,4485.799985,24,2,197.200593
104,1,2,2968.804108,2,2,197.589393,12,2,2.04,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4829.004368,19,2,237.894862,23,2,4590.933598,24,2,197.589393
105,1,2,3199.580462,2,2,197.978503,12,2,2.05,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,4916.3183,19,2,241.536188,23,2,4720.887809,24,2,197.978503
106,1,2,3272.799249,2,2,198.367879,12,2,2.06,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5003.632232,19,2,245.177514,23,2,4825.014134,24,2,198.367879
107,1,2,3347.234099,2,2,198.757519,12,2,2.07,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5090.946164,19,2,248.818841,23,2,4906.452297,24,2,198.757519
108,1,2,3422.899146,2,2,199.147426,12,2,2.08,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5178.260096,19,2,252.460167,23,2,4988.697953,24,2,199.147426
109,1,2,3499.808304,2,2,199.537642,12,2,2.09,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5265.574028,19,2,256.101494,23,2,5071.757656,24,2,199.537642
110,1,2,3938.627503,2,2,199.928123,12,2,2.1,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5352.88796,19,2,259.74282,23,2,5167.530109,24,2,199.928123
111,1,2,4026.07472,2,2,200.318825,12,2,2.11,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5440.201892,19,2,263.384146,23,2,5252.99654,24,2,200.318825
112,1,2,4114.938015,2,2,200.709837,12,2,2.12,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5527.515824,19,2,267.025473,23,2,5339.302709,24,2,200.709837
113,1,2,4205.232921,2,2,201.101115,12,2,2.13,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5614.829756,19,2,270.666799,23,2,5426.455094,24,2,201.101115
114,1,2,4296.974971,2,2,201.492702,12,2,2.14,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5702.143688,19,2,274.308126,23,2,5514.460468,24,2,201.492702
115,1,2,4496.222541,2,2,201.88451,12,2,2.15,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5789.45762,19,2,277.949452,23,2,5603.325383,24,2,201.88451
116,1,2,4593.192285,2,2,202.276628,12,2,2.16,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5876.771552,19,2,281.590778,23,2,5671.801973,24,2,202.276628
117,1,2,4691.691622,2,2,202.668967,12,2,2.17,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,5964.085484,19,2,285.232105,23,2,5743.353651,24,2,202.668967
118,1,2,4791.736528,2,2,203.061615,12,2,2.18,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6051.399416,19,2,288.873431,23,2,5818.047777,24,2,203.061615
119,1,2,4893.342756,2,2,203.454529,12,2,2.19,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6138.713348,19,2,292.514758,23,2,5895.955094,24,2,203.454529
120,1,2,5299.346069,2,2,203.847753,12,2,2.2,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6226.02728,19,2,296.156084,23,2,5977.149661,24,2,203.847753
121,1,2,5399.216652,2,2,204.241198,12,2,2.21,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6313.341212,19,2,299.79741,23,2,6049.208701,24,2,204.241198
122,1,2,5500.462529,2,2,204.634952,12,2,2.22,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6400.655144,19,2,303.438737,23,2,6124.506846,24,2,204.634952
123,1,2,5603.097541,2,2,205.028928,12,2,2.23,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6487.969076,19,2,307.080063,23,2,6203.11889,24,2,205.028928
124,1,2,5707.135453,2,2,205.423213,12,2,2.24,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6575.283008,19,2,310.72139,23,2,6285.123086,24,2,205.423213
125,1,2,5812.590106,2,2,205.817764,12,2,2.25,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6662.59694,19,2,314.362716,23,2,6370.601001,24,2,205.817764
126,1,2,5919.475118,2,2,206.21258,12,2,2.26,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6749.910872,19,2,318.004042,23,2,6459.637883,24,2,206.21258
127,1,2,6027.804402,2,2,206.607705,12,2,2.27,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6837.224804,19,2,321.645369,23,2,6549.582818,24,2,206.607705
128,1,2,6137.591652,2,2,207.003052,12,2,2.28,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,6924.538736,19,2,325.286695,23,2,6640.442432,24,2,207.003052
129,1,2,6248.850633,2,2,207.398708,12,2,2.29,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7011.852668,19,2,328.928022,23,2,6732.223277,24,2,207.398708
130,1,2,6361.595112,2,2,207.79463,12,2,2.3,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7099.1666,19,2,332.569348,23,2,6824.931979,24,2,207.79463
131,1,2,6475.838928,2,2,208.190817,12,2,2.31,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7186.480532,19,2,336.210674,23,2,6918.575162,24,2,208.190817
132,1,2,6591.595774,2,2,208.58727,12,2,2.32,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7273.794464,19,2,339.852001,23,2,7013.159526,24,2,208.58727
133,1,2,6708.879417,2,2,208.983988,12,2,2.33,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7361.108396,19,2,343.493327,23,2,7108.691622,24,2,208.983988
134,1,2,6827.703696,2,2,209.381016,12,2,2.34,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7448.422328,19,2,347.134654,23,2,7205.178077,24,2,209.381016
135,1,2,6948.082303,2,2,209.778309,12,2,2.35,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7535.73626,19,2,350.77598,23,2,7302.625589,24,2,209.778309
136,1,2,7070.029078,2,2,210.175823,12,2,2.36,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7623.050192,19,2,354.417306,23,2,7401.040636,24,2,210.175823
137,1,2,7193.557715,2,2,210.573646,12,2,2.37,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7710.364124,19,2,358.058633,23,2,7500.429918,24,2,210.573646
