图鉴ID	类型	怪物ID	见到即解锁	序号	已废弃	解锁才显示	统计类型	描述$text_name_Desc
20060401	1	00604		56			1	高浓度的冰元素孕育而生的魔物，能够飘浮在空中。\n曾经有炼金术士调查过飘浮灵。他认为史莱姆和旅行者都能不借用神之眼使用元素，所以飘浮灵应该是史莱姆或者旅行者。他被导师训斥了。
20060201	1	00602		57			1	高浓度的岩元素孕育而生的魔物，能够飘浮在空中。\n岩飘浮灵在翅叶闭合时会拟态成某种植物果实的样子。因此在一些古老的传说中，它们被当作天上巨木结出的果实，被认为有着神奇的药用价值。
21010101	1	10101		1001			1	提瓦特荒野中游荡的原始住民。\n与人类轮廓相似，却失去了智能与灵性。据记载，在大地上出没超过千年，却没有历史与文明。\n自五百年前漆黑的灾祸以来，便广泛地分布在大地各处。虽然力量弱小，缺乏组织，但有时也能给人们带来不小的麻烦。
21010201	1	10102		1002			1	提瓦特荒野中游荡的原始住民。\n坏脾气的部落战士，朴实地信奉着肌肉的力量。如果肌肉够结实，力量够强，那终有一天也能举起巨大的盾牌，成为「丘丘暴徒」…？
21010701	1	10107		1003			1	提瓦特荒野中游荡的原始住民。\n为了击退来犯的冒险者，会挥舞着熊熊燃烧的棒槌，一往无前地奋勇冲锋。草原或森林中发生野火的话，通常而言，并不是因为某名特别的「骑士」，而是因为这种丘丘人的犯行。
21010301	1	10103		1004			1	提瓦特荒野中游荡的原始住民。\n拥有木盾的丘丘人战士，木盾不仅是坚固的防具，也是属于部落的珍贵宝物。根据不少人的报告，丘丘人会冲向扎营烹饪的旅人，撵走他们，然后抢走他们的锅盖。
21011401	1	10114		1005			1	提瓦特荒野中游荡的原始住民。\n丘丘人有着强大的环境适应性的证明。在冰元素富集的环境中，能设法利用坚冰制成盾牌保护自己。
21011201	1	10112		1006			1	提瓦特荒野中游荡的原始住民。\n岩元素富集的地域中顽强生存的丘丘人，其坚不可摧的盾牌上增生着层层磐岩。
21010401	1	10104		1007			1	提瓦特荒野中游荡的原始住民。\n手持简陋弩机的丘丘人射手。丘丘人实际上并不具备制造弩的工艺水平。因此，一般认为，在丘丘人背后，存在着操控丘丘人，并为它们提供设备物资的组织。而与丘丘人走得很近的深渊法师尤为可疑。
21010501	1	10105		1008			1	提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头上敷了一层薄薄的易燃材料，以便烧灼其目标。前代的艾尔·马斯克认为，这是头脑灵光的丘丘人想要在捕猎时顺便完成烹饪而为的创新之事。
21011001	1	10110		1009			1	提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头以电气水晶的碎片磨削而成，以便命中时造成电击。据说射术百里挑一的丘丘人射手可以一次发射五枚箭矢，非常厉害。
21010901	1	10109		1010			1	提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头上凝着不化的寒冰。好像听说这种箭头留下的伤口很难愈合，因为寒冷会减缓血液流通的速度。
21010601	1	10106		1011			1	提瓦特荒野中游荡的原始住民。\n擅长活用火史莱姆的狡猾家伙，把火史莱姆用作迎击来犯者的武器。利用火史莱姆的爆炸，投掷技巧精湛的爆弹丘丘人或许可以一次击碎五根木柱吧。
21011601	1	10116		1014			1	提瓦特荒野中游荡的原始住民。\n对于保持着蒙昧生活的丘丘人而言，雷史莱姆似乎不像火史莱姆、风史莱姆那样用途广泛。或许有一天他们会发现雷史莱姆、变异雷史莱姆之间的元素流动，然后取得突飞猛进的发展…？
21011301	1	10113		1016			1	提瓦特荒野中游荡的原始住民。\n发现了冰史莱姆的妙用，可以高效地保鲜食物。丘丘人有着活用各种史莱姆的智慧，无论是将火史莱姆、冰史莱姆制成炸药桶，还是用风史莱姆制作载具…可能这就是艰难生活带来的思维方式吧。
21011501	1	10115		1091			1	「Homu, Homu, mimi domu!」
21020101	1	10201		1101			1	经历无数战斗历练的丘丘人大块头。\n会利用草史莱姆创造坚固的木盾，进行战斗。\n拥有强健的肌肉，油亮的鬃毛，可靠的宽厚背影，一顿饭吃下很多肉的豪放，能为丘丘人抵挡毫不留情的冒险者，在部族当中有着相当崇高的地位。
21020301	1	10203		1102			1	以顽岩为盾的丘丘人大块头。\n对于丘丘人而言，最重要的事情就是吃肉和打架，让身体变得强壮。\n如果能成为丘丘暴徒这样又大又壮的战士，就能吃更多肉、打更多架、举起（几乎）坚不可摧的巨大岩盾了。
21020601	1	10206		1103			1	以严冰为盾的丘丘人大块头，会利用坚冰的巨盾战斗。\n普遍而言，体积庞大、活动频繁的生物需要消耗大量的热量来维持生存。由此，当代的艾尔·马斯克提出了「暴徒指数」，根据某地区中活动的丘丘暴徒数量在丘丘人总人口中占的比例，计算这些丘丘人食物获取的丰富、稳定性。
21020201	1	10202		1104			1	手持长柄大斧的丘丘人大块头。\n攻击大开大合，会利用火史莱姆为战斧附上火元素，具有强大的破坏力。\n通常，像火斧丘丘暴徒这样为武器反复淬火会导致钢铁的硬度下降，进而导致刃口容易受损。但丘丘暴徒的力量足够强大，斧子就算刃口没了也可以当锤子用。
21020701	1	10207		1105			1	持长柄大斧的丘丘人大块头。\n攻击大开大合，会利用雷史莱姆为战斧附上雷元素，具有强大的破坏力。\n钢铁锻造的斧头是非常良好的感电材料。高大魁梧的雷斧丘丘暴徒高举大斧，召引天雷的样子对丘丘人而言可是相当雄壮的景象。
21020801	1	10208		1114			1	雷暴中漫行的神秘「王者」。\n被同胞称为「Lawa」的庞大丘丘人。巨像般的身躯充满了丰富的雷元素，散逸出的元素能量以电气水晶的形式从身体的缝隙中生长出来。
21020401	1	10204		1116			1	雪雾中漫行的神秘「王者」。\n被同胞称为「Lawa」的庞大丘丘人。锻炼至极致的肉身似乎已和环境中满溢的冰元素相互融合，沉默威严有如北国的冰川。
21020501	1	10205		1117			1	千嶂中漫行的神秘「王者」。\n被同胞称为「Lawa」的庞大丘丘人。环境中增生的岩元素化成了它们身体的一部分，仿佛血肉与皮肤皆由不移的山岩雕琢而成。
21030101	1	10301		1202			1	嘟嘟囔囔的老年丘丘人，水元素的吟颂者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。究竟是怎样的过去，令这些愚昧的生物竟能掌握生水唤雨的秘诀？
21030301	1	10303		1203			1	嘟嘟囔囔的老年丘丘人，风元素的传信者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰，其牵掣流风的能力，正是来源于黑暗晦暝的失落记忆。
21030601	1	10306		1204			1	嘟嘟囔囔的老年丘丘人，雷元素的祈求者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰，既然掌握了掣电引雷的高超技艺，便用这霹雳之声谱写挽歌吧。
21030201	1	10302		1205			1	嘟嘟囔囔的老年丘丘人，草元素的唤醒者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。承载着面具下的不甘，憎恨人心的毒藤随呢喃蔓生而出。
21030501	1	10305		1206			1	嘟嘟囔囔的老年丘丘人，冰元素的呼求者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。这些萨满熟忆寒霜的低语，更精通将之用于制敌的技艺。
21030401	1	10304		1207			1	嘟嘟囔囔的老年丘丘人，岩元素的倾听者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。同千古的顽岩相比，即使最年老的丘丘人也不过孩童，但记忆与经验引导它们获得了操使岩石的权能。
21040201	1	10402		1212			1	（test）待IP补充
21040101	1	10401		1214			1	（test）待IP补充
22010101	1	20101		2001			1	拥有魔力，利用火元素战斗的深渊魔物。\n出于某种不为人知的缘由，深渊法师精通丘丘人的笨拙语言，能驾驭它们的心智。据说深渊法师略通如今几乎无人可解的失落古语，并利用这种语言的力量行使魔法。
22010301	1	20103		2002			1	利用水元素战斗的深渊魔物。\n在冒险者当中有传说说，深渊法师作为「深渊教团」底层的执行者，活跃在世界各地、从事各种阴谋破坏。尽管他们还戏称这种水深渊法师的最大危害是会导致风湿发作，其实它们有着不容小觑的力量。
22010401	1	20104		2004			1	利用雷元素战斗的深渊魔物。\n曾经有一名学者阿尔瓦·尼古拉，在教令院学习时曾对雷深渊法师使用的雷元素模型进行过系统的研究，最终提出了名为「尼古拉线圈」的理论武器，可惜至今无人将其付诸实践。一说认为他的研究资料在蕈兽泛滥的时候被吃掉了。
22010201	1	20102		2006			1	驾驭着极寒的冰元素进行战斗的深渊魔物。\n尽管染指了强大的力量，甚至能将大气中的水蒸气凝结成冰锥，本身却佝偻而孱弱。一旦保护自身的护罩被打破，就只能任人鱼肉了。
22020101	1	20201		2010			1	利用水元素战斗的魔物，隶属于「深渊教团」。\n这些沉默的身影是深渊的先行者，挥舞着席卷一切的浪潮之锋，斩碎一切铠甲的防御与不信的异端之心，向无虑的愚氓降下宿命的惩戒。
22020201	1	20202		2011			1	（test）待IP补充
22030201	1	20302		2021			1	驱使深渊之火，追寻着章典之意义的魔物。隶属于「深渊教团」。\n地上之人对他们的称呼其实和本意略有偏差。「咏者」也有「读经士」之意。诵读恩典之章，便会拥有强大的力量。
22030101	1	20301		2024			1	驱雷掣电，高颂着漆黑渊薮的魔物，隶属于「深渊教团」。\n它们是深渊的布道者、学士。以狂雷将冥冥长夜所扭曲的深黑智慧，灌入不信者的心中，以无边的紫电，昭告侵蚀人智的伟大力量的存在。
22100101	1	21001		2029			1	（test）待IP补充
22040101	1	20401		2030			1	能够侵蚀世界边界的魔血之兽。「黄金」将其命名为「淋溶」。\n有伴随渊薮的渗透，吞噬元素的习性。值得庆幸的是这些魔兽如今数量并不多。
22040201	1	20402		2031			1	能够侵蚀世界边界的魔血之兽。「黄金」将其命名为「淋溶」。\n曾经的年代里，巨大的魔兽降临之时，会有大量猎犬提前显现，溶解世界的边界，打开通道。
22050101	1	20501		2040			1	能够侵蚀世界边界的魔血之兽。「黄金」的造物。\n会很微妙地表现出生物习性，就如同真正的狼一般。或许是对地上的「近亲」抱有仰慕或嫉妒的感情，而梦想取而代之吧。
22050201	1	20502		2041			1	能够侵蚀世界边界的魔血之兽。「黄金」的造物。\n曾经肆虐大陆，然后遭到反抗与猎捕而一度绝迹。但最近它们却又再度出现了。威胁到了清泉镇与奔狼领的黑狼之群，说的正是它们。
22060101	1	20601		2051			1	来自晦暗的异界，是漆黑群狼之中的王，具有号令隐爪之异兽为它溶解空间，创造通行的裂隙的权能。\n王兽并没有名字，因为本身不过是「黄金」无心的造物；正因如此，才会更执着于侵入不属于它的世界，以自己的力量争取名号吧。\n但狼群绝非痴钝之物。此前的入侵受挫后，选择了既无人、也无守护者的荒凉远岛，为王兽的降临做准备。
22070101	1	20701		2061			1	漆黑的士兵。曾经是地下古国的骄傲军人，如今已经失去了一切知觉与记忆吧。\n即使如此，也会高举着王家的旗号进行战斗。就算忘记了同侪的模样、王家的祝福，只有这枚旗印，对它而言是绝对不能放下的。
22070201	1	20702		2062			1	漆黑的士兵。曾经是地下古国的骄傲军人，如今已经不再具备身为「人」的智性了。\n为了歼敌、为了守护而陷阵的意志似乎仍然刻在这幅空壳当中，就算已经没有人能告诉它们敌在何方，要守护的又是什么。
22070301	1	20703		2063			1	漆黑的士兵。曾经是地下古国的骄傲军人，如今不过是一具残留着战斗记忆的空壳罢了。\n万物尽头皆是废退，而这种空壳就是「黑蛇骑士」在罪、诅咒、时间的冲刷之下变成的模样。
22080101	1	20801		2071			1	在宫廷当中颇具地位的近卫军人，以名唤「至真之术」的剑斗技巧，扫除王家的敌人。\n「末光之剑」也曾是他们当中的一员。在王国的光荣尽数失落、一切都无可挽回之前。
22080201	1	20802		2072			1	（test）待IP补充
23010601	1	30106		3001			1	操使着烈焰之铳的愚人众士兵。\n先遣队配置的武器在一定程度上能制御元素，战斗策略上则会利用元素反应。\n因为拥有这样的武装与知识，先遣队团队作战时能带来无法小觑的威胁。
23010201	1	30102		3002			1	愚人众战争机器中的士兵。\n配备着能在一定程度上制御元素的装备，可以利用铳形的武器喷射激烈的水流。\n「先遣队」之名意味着生死不问，深入祖国以外的土地完成前期任务，为未来的某些行动夯实基础。
23010501	1	30105		3003			1	能利用风的力量，复苏战友的先遣队士兵。\n远离故土又为了故乡。告别了亲人却获得了能相托以生死的战友。\n——或许他们以任务的名义干着丑恶的勾当时，也带着这样的想法。
23010301	1	30103		3004			1	体格健壮的先遣队士兵，装备了附有雷元素的战锤。\n成为愚人众的军人意味着优渥的资源：军饷、武装与物资。\n但与此同时，也意味着远离故土与亲眷，将余命交给过去不曾谋面的战友。
23010101	1	30101		3006			1	愚人众战争机器中的士兵。\n配备着能在一定程度上制御元素的装备，可以利用铳形的武器喷射急冻的寒霜。\n虽然拥有常人不能企及的元素力量，但这种力量或许也是有其代价的吧…
23010401	1	30104		3007			1	能驱使岩元素构成护罩，保护战友的先遣队士兵。\n不同于少数精锐的债务处理人与萤术士，先遣队的单兵实力与装备较为薄弱。\n为了完成任务，为了减少人员与物资的损耗，先遣队的战术更讲究团队协作。
23020101	1	30201		3011			1	隶属愚人众的特务人员。\n债务处理人所处理的「债务」，并不局限于钱货往来的清算。\n「以眼还眼，以牙还牙」也是一种债。无论是谁，只要损害了愚人众的利益，那就要十倍奉还。
23030101	1	30301		3023			1	操控着雷萤进行战斗，由来与面具下的容貌都是谜的愚人众少女术士。\n会利用飞萤喜爱「雾虚草」的特性，操控它们为自己而战。正如雾虚草的气味会令雷萤迷醉，嗜虐的术士也贪恋着戏弄对手的快感。
23040101	1	30401		3026			1	操控着冰萤进行战斗，由来与面具下的容貌都是谜的愚人众少女术士。\n没有神之眼的人类，理应是无法像她们这样自如地操控元素的；但她们却在利用雾虚草操控冰萤之余，肆无忌惮地挥霍着寒冰的力量。看似漫无目的地四处游荡的她们，又领受着何种不为人知的使命呢…
23050101	1	30501		3032			1	操纵着水镜进行战斗，有着仿如侍奉神明般的端庄姿态的愚人众仕女。\n优雅自如地操控着水镜的力量，让为之所炫的人，心甘情愿地坠入她的幻境。似乎一切都逃不过她的耳朵。被蒙住的双眼，不知见识过什么景象，也不知其中会倒映出怎样的执妄…
24010101	1	40101		4001			1	古老的人形战斗机械。\n传说是已经覆灭的国度留下的战争机械，会徘徊至世界各地的遗迹废都，并攻击冒失的旅人。研究表明遗迹守卫与这些废墟并非同源，表明两者的时代也相差至少数千年，为何遗迹守卫会驻留在其中，并以「爆炸性的火力」守护这些残垣断壁呢…
24010201	1	40102		4002			1	巨大的异形战斗机械。\n传说是已经覆灭的国度留下的战争机械。似乎是为了提高战斗性能，设计上放弃了低效的拟人形态。无论是白刃战还是远程炮火的威力都相当恐怖。\n仅仅是废弃的古代兵器就有如此能力，曾经能生产这种兵器的文明又是如何呢…
24010301	1	40103		4003			1	古老的人形战斗机械。\n形态与遗迹守卫相似，但形态更为扭曲、力量更为强大。似乎是为了驱动过于沉重的躯体，在双脚上还额外装配了能量核心。
24010401	1	40104		4004			1	古老的异形自律机关。\n传说是已经覆灭的国度留下的工程重机，「头部」的齿盘结构能够轻松挖开坚硬的岩盘。果真如此的话，借由这种能力，应该能开凿出足以让大军通行大陆各地的黯道吧。
24020101	1	40201		4011			1	为了适应特殊的目标，有着定制化外形与机能的异形机械。\n传说是已经覆灭的国度留下的战争机械。相比更为广泛存在的「遗迹守卫」，在形态上有着更强的仿生学意义。分散化的设计和战斗模式似乎模仿了蜂群，能够变换成各种形态从不同方向发起攻击。
24020201	1	40202		4012			1	为了适应特殊的目标，有着定制化外形与机能的异形机械。\n传说是已经覆灭的国度留下的战争机械。相比更为广泛存在的「遗迹守卫」，在设计上有着更强的仿生学意义。由若干部件构成的巨大花冠像是某种可怕的植物，不知道经历过什么才能设计出这种可怕的机械。
24020301	1	40203		4013			1	为了适应特殊的目标，有着定制化外形与机能的异形机械。\n传说是已经覆灭的国度留下的战争机械。相比更为广泛存在的「遗迹守卫」，在设计上有着更强的仿生学意义。模仿昆虫的肢体相较于拟人机器更加方便移动，各部件结成的护盾能够抵御任何来自正面的攻击。
24020401	1	40204		4014			1	为了适应特殊的目标，有着定制化外形与机能的异形机械。\n传说是已经覆灭的国度留下的战争机械。相比更为广泛存在的「遗迹守卫」，在设计上有着更强的仿生学意义。不知道根据什么原理在形态和行动模式上都模仿了某种深海中的生物，总之无论如何也不想被它缠上。
24021101	1	40211		4021			1	诡谲的异形战斗机械。\n传说是已经覆灭的国度留下的战争机械。由若干部件构成，能够适应战斗的环境变换成不同形态，施展各种攻击手段。\n由立方体构成的形态在某个层面而言，与所谓的「无相元素」有着不少相似之处。
24030201	1	40302		4031			1	令人望而生畏的龙形战斗机械。\n传说是已经覆灭的国度留下的战争机械。形态上模仿了「龙蜥」这一物种，但为了性能进行了结构的优化。较之真正的龙蜥，具有更强的「吸收」，抑或是说「反制」元素的能力。\n从这种能力来看，创造出这样可怕兵器的文明曾经有过相当宏大的野心吧…
24030101	1	40301		4032			1	令人望而生畏的龙形战斗机械。\n传说是已经覆灭的国度留下的战争机械。形态上模仿了「龙蜥」这一物种，但为了性能进行了结构的优化。较之真正的龙蜥，具有更强的「吸收」，抑或是说「反制」元素的能力。\n能创造出这样可怕兵器的文明，又会因为什么而覆灭呢…
24030301	1	40303		4033			1	如同古时曾制御大地的君王一般，令人望而生畏的龙形战斗机械。\n传说已经覆灭的国度曾渴求着禁忌的技术，试图拟造出可以匹敌，乃至超越亘古生命的永续机关。这架不知疲倦的神秘机械巨兽似乎证明，他们确已触及了人所不应抵达的领域。
24040101	1	40401		4041			1	失落在荒漠中的古老遗迹的守护者，其力量足以惩罚一切敢于惊扰君王清梦之人。\n这些机械最初的用途并非是把守宫殿与神庙，而是要在沙海之上重现痴愚之王梦想中乐园。\n如今「乐园」早已湮灭，只有蚀刻在这些机械上的咒文还记录着那些已被世人忘却的梦想与承诺。
24040201	1	40402		4042			1	失落在荒漠中的古老遗迹的守护者，其力量足以惩罚一切敢于惊扰君王清梦之人。\n统治沙海的烈日之王曾向他的子民许诺过彼岸的乐土，然而事实证明那不过是君王愚痴的妄念。\n如今「乐园」早已湮灭，只有蚀刻在这些机械上的咒文还记录着那些已被世人忘却的梦想与承诺。
24040301	1	40403		4043			1	失落在荒漠中的古老遗迹的守护者，其力量足以惩罚一切敢于惊扰君王清梦之人。\n为了构筑梦想中的乐园，沙海的主人曾探究禁忌的知识，这些神秘的机械或许正是其造物。\n如今「乐园」早已湮灭，只有蚀刻在这些机械上的咒文还记录着那些已被世人忘却的梦想与承诺。
24050101	1	40501		4051			1	统辖着散落在沙漠中的众多遗迹构装体的永恒机关，其中似乎仍残留着孤独君王的执着意念。\n或许是因为梦中的友人曾经的教诲，又或是因为觊觎着天上诸圣的权能，王创造出了本应不属于地上的神秘机关，并以此构建砂原上的国都。\n在千柱之城的废墟之上，古老的晶石中仍折射着黄金乐园的美景，即便王的梦想早已无人铭记。
25090101	1	50901		4101			1	自律的人形机关剑士。\n似乎没有说话的能力与意愿，只愿意用剑沟通。\n据说在试作时，集成了某个剑道流派初代宗主的记忆，却又因为不明的原因而失控，最终被废弃了。\n根据歌人的描述，剑鬼会徘徊在因缘断绝的地方，而守护它的凶恶之面似乎取自那个时代有名的鬼人。
25010101	1	50101		5001	1		1	（test）待IP补充
25010201	1	50102		5002			1	足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n在团队协作中，职责通常是踩点与盯梢。落草为寇通常因为贫困与缺乏教育，但从他们的装备来看，即使选择了盗贼之路，也没有因此变得富裕…
25010301	1	50103		5003			1	足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n利用化学的知识，铤而走险的人。会调配出易燃易爆的物质，与团伙中其他的同伴一同作案。
25010401	1	50104		5004			1	足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n据说部分盗宝团的药剂师，在加入盗宝团之前，曾经是在城镇间漫游，兜售自己调配的…「灵药」、「圣水」的江湖骗子。这些灵药、圣水显然在战斗中更能大放异彩。
25010501	1	50105		5005			1	足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n「药剂师」是盗宝团成员当中，为这些具有调配危险化学物质知识的人物取的诨名。\n<i>「嗯？这宝物上写了你们冒险家协会的名字么？」</i>\n——某名盗宝团的「药剂师」与冒险家对峙时说的话
25010601	1	50106		5006			1	足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n冰之药剂师在盗宝团当中相当受欢迎，因为他们调配的冰之灵药有快速降温的作用。即使是在没有冰雾花的野外，也可以制作冰镇酒类饮料。
