天气模板名	天气	晴	多云	雨	雷雨	雪	雾	沙漠
Weather_StoneNeedlesAbove	6	0	0	0	0	0	100	0
Weather_LiYueAreaQingCeVilla	1	50	25	2	1	0	0	0
Weather_LiYueAreaQingCeVilla	2	40	60	4	4	0	0	0
Weather_LiYueAreaQingCeVilla	3	20	20	0	0	0	0	0
Weather_LiYueAreaQingCeVilla	4	20	30	0	0	0	0	0
Weather_LiYueAreaQingCeVilla	5	0	0	0	0	0	0	0
Weather_LiYueAreaQingCeVilla	6	0	0	0	0	0	0	0
Weather_LiYueAreaYaoGuangTan	1	75	25	0	0	0	100	0
Weather_LiYueAreaYaoGuangTan	2	20	60	7	0	0	100	0
Weather_LiYueAreaYaoGuangTan	3	20	20	40	20	0	0	0
Weather_LiYueAreaYaoGuangTan	4	20	30	5	30	0	0	0
Weather_LiYueAreaYaoGuangTan	5	0	0	0	0	0	0	0
Weather_LiYueAreaYaoGuangTan	6	30	20	4	1	0	0	0
Weather_TianQiuGu	1	50	25	2	1	0	0	0
Weather_TianQiuGu	2	40	60	4	4	0	0	0
Weather_TianQiuGu	3	20	20	0	0	0	0	0
Weather_TianQiuGu	4	20	30	0	0	0	0	0
Weather_TianQiuGu	5	0	0	0	0	0	0	0
Weather_TianQiuGu	6	0	0	0	0	0	0	0
Weather_NinePillarsGeneral	1	50	25	0	1	0	0	0
Weather_NinePillarsGeneral	2	40	60	0	4	0	0	0
Weather_NinePillarsGeneral	3	1	0	0	0	0	0	0
Weather_NinePillarsGeneral	4	1	0	0	0	0	0	0
Weather_NinePillarsGeneral	5	1	0	0	0	0	0	0
Weather_NinePillarsGeneral	6	1	0	0	0	0	0	0
Weather_Md_Island_Foggy	1	0	0	0	0	0	100	0
Weather_Md_Island_Foggy	2	0	0	0	0	0	100	0
Weather_Md_Island_Foggy	3	0	0	0	0	0	100	0
Weather_Md_Island_Foggy	4	0	0	0	0	0	100	0
Weather_Md_Island_Foggy	5	0	0	0	0	0	100	0
Weather_Md_Island_Foggy	6	0	0	0	0	0	100	0
Weather_DQ_TBS_Cloudy	1	0	100	0	0	0	100	0
Weather_DQ_TBS_Cloudy	2	0	100	0	0	0	100	0
Weather_DQ_TBS_Cloudy	3	0	100	0	0	0	100	0
Weather_DQ_TBS_Cloudy	4	0	100	0	0	0	100	0
Weather_DQ_TBS_Cloudy	5	0	100	0	0	0	100	0
Weather_DQ_TBS_Cloudy	6	0	100	0	0	0	100	0
Weather_DQ_AbyssalPalace_Day	1	100	0	0	0	0	0	0
Weather_DQ_AbyssalPalace_Tunnel	1	100	0	0	0	0	0	0
Weather_DQ_AbyssalPalace_Gate	1	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	1	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	2	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	3	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	4	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	5	100	0	0	0	0	0	0
Weather_Dq_HeGuan_General	6	100	0	0	0	0	0	0
Weather_Dq_HeGuan_Foggy	1	0	0	0	0	0	100	0
Weather_Dq_HeGuan_Foggy	2	0	0	0	0	0	100	0
Weather_Dq_HeGuan_Foggy	3	0	0	0	0	0	100	0
Weather_Dq_HeGuan_Foggy	4	0	0	0	0	0	100	0
Weather_Dq_HeGuan_Foggy	5	0	0	0	0	0	100	0
Weather_Dq_HeGuan_Foggy	6	0	0	0	0	0	100	0
Weather_Cloudy	2	0	100	0	0	0	0	0
Weather_Cloudy	1	0	100	0	0	0	0	0
Weather_Cloudy	3	0	100	0	0	0	0	0
Weather_Cloudy	4	0	100	0	0	0	0	0
Weather_Cloudy	5	0	100	0	0	0	0	0
Weather_Cloudy	6	0	100	0	0	0	0	0
Weather_Dq_HeGuan_Doom	1	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom	2	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom	3	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom	4	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom	5	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom	6	0	0	0	100	0	0	0
Weather_Dq_HeGuan_Doom_Cloudy	2	0	100	0	0	0	0	0
Weather_Dq_HeGuan_Doom_Cloudy	6	0	100	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	1	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	2	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	3	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	4	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	5	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky	6	100	0	0	0	0	0	0
Weather_HomeUkiyo_ClearSky_Sakura	1	0	100	0	0	0	100	0
Weather_HomeUkiyo_ClearSky_Sakura	2	0	100	0	0	0	100	0
Weather_HomeUkiyo_ClearSky_Sakura	3	0	100	0	0	0	100	0
Weather_HomeUkiyo_ClearSky_Sakura	4	0	100	0	0	0	100	0
Weather_HomeUkiyo_ClearSky_Sakura	5	0	100	0	0	0	100	0
Weather_HomeUkiyo_ClearSky_Sakura	6	0	100	0	0	0	100	0
Weather_Dungeon_Shenhe	1	0	0	0	0	100	0	0
Weather_Snowy	2	0	0	0	0	100	0	0
Weather_Snowy	3	0	0	0	0	100	0	0
Weather_Snowy	4	0	0	0	0	100	0	0
Weather_Snowy	5	0	0	0	0	100	0	0
Weather_Snowy	6	0	0	0	0	100	0	0
Weather_CWSM_Default	1	0	5	0	0	0	0	95
Weather_CWSM_Default	2	0	5	0	0	0	0	95
Weather_CWSM_Default	3	0	5	0	0	0	0	95
Weather_CWSM_Default	4	0	5	0	0	0	0	95
Weather_CWSM_Default	5	0	5	0	0	0	0	95
Weather_CWSM_Default	6	0	5	0	0	0	0	95
Weather_Desert	1	0	0	0	0	0	0	100
Weather_Desert	2	0	0	0	0	0	0	100
Weather_Desert	3	0	0	0	0	0	0	100
Weather_Desert	4	0	0	0	0	0	0	100
Weather_Desert	5	0	0	0	0	0	0	100
Weather_Desert	6	0	0	0	0	0	0	100
Weather_Desert	7	0	0	0	0	0	0	100
Weather_SandStorm	1	0	5	0	0	0	0	95
Weather_SandStorm	2	0	5	0	0	0	0	95
Weather_SandStorm	3	0	5	0	0	0	0	95
Weather_SandStorm	4	0	5	0	0	0	0	95
Weather_SandStorm	5	0	5	0	0	0	0	95
Weather_SandStorm	6	0	5	0	0	0	0	95
Weather_SandStorm	7	0	5	0	0	0	0	95
Weather_HomeWorld_Sumeru_ClearSky	1	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_ClearSky	2	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_ClearSky	3	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_ClearSky	4	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_ClearSky	5	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_ClearSky	6	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	1	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	2	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	3	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	4	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	5	100	0	0	0	0	0	0
Weather_HomeWorld_Sumeru_Yellow_ClearSky	6	100	0	0	0	0	0	0
