牌子ID	标签	类型	可叠加上限	互斥组	关联组	关联组权重提升值	关联符咒	关联元素	[效果]类型	[效果]关键字	[效果]参数	[效果]显示偏移量	本层结束后失效	动态显示
38	2	1			7	20	104		1	SGV_Creature_LowHP_SSR	1			
39	2	2			7	20	104		1	SGV_Creature_AddBubble_SR	1			
40	2	2			7	20	104		1	SGV_Creature_WaterDmageUp_SR	1			
41	2	3			7	10	104		1	SGV_Creature_WaterDmageUp_R	1			
42	2	1			8	20	105		1	SGV_Creature_ResistanceDwon_SSR	1			
43	2	2			8	20	105		1	SGV_Creature_IceDmageUp_SR	1			
44	2	2			8	20	105		1	SGV_Creature_HPUp_SR	1			
45	2	3			8	10	105		1	SGV_Creature_HPUp_R	1			
46	2	1			9	20	106		1	SGV_Creature_PullUp_SSR	1			
47	2	2			9	20	106		1	SGV_Creature_WindDmageUp_SR	1			
48	2	3			9	10	106		1	SGV_Creature_WindDmageUp_R	1			
49	2	2			9	20	106		1	SGV_Creature_HitDownUp_SR	1			
50	2	1			10	20	107		1	SGV_Spell_Water_Up_SSR	1			
51	2	2			10	20	107		1	SGV_Spell_Water_HealUp_SR	1			
52	2	3			10	10	107		1	SGV_Spell_Water_HealUp_R	1			
53	2	2			10	20	107		1	SGV_Spell_Water_DurationUp_SR	1			
54	2	1			13	20	109		1	SGV_Spell_Elec_ExtraDamage_SSR	1			
55	2	2			13	20	109		1	SGV_Spell_Elec_ElemBall_SR	1			
56	2	3			13	10	109		1	SGV_Spell_Elec_ElemBall_R	1			
57	2	2			13	20	109		1	SGV_Spell_Elec_DamageUp_SR	1			
58	2	1			14	20	108		1	SGV_Spell_Rock_Up_SSR	1			
59	2	2			14	20	108		1	SGV_Spell_Rock_SubHurt_SR	1			
60	2	3			14	10	108		1	SGV_Spell_Rock_DurationUp_R	1			
61	2	2			14	20	108		1	SGV_Spell_Rock_DurationUp_SR	1			
62	0	2			12	20			1	SGV_ROGUE_SR_HighHp_NormalExtraFalling_DamageUp	1			
63	0	2			12	20			1	SGV_ROGUE_SR_HighHp_ElementalArt_DamageUp	1			
64	0	2			12	20			1	SGV_ROGUE_SR_HighHp_ElementalBurst_DamageUp	1			
65	0	2							1	SGV_ROGUE_SR_DamageUp_SubHurtDown	1			
66	0	2		1					2	SGV_ROGUE_SR_AreaNoEnemyAtkSpeedUp	1			
67	0	2		1					1	SGV_ROGUE_SR_AreaLesserEnemyAtkSpeedUp	1			
68	0	2			1	20			1	SGV_ROGUE_SR_LowHp_NormalExtraFalling_DamageUp	1			
69	0	2			1	20			1	SGV_ROGUE_SR_LowHp_ElementalArt_DamageUp	1			
70	0	2			1	20			1	SGV_ROGUE_SR_LowHp_ElementalBurst_DamageUp	1			
71	0	2							1	SGV_ROGUE_SR_HighStaminaAreaAttack	1			
72	0	2							1	SGV_ROGUE_R_ElemnentalArt_GenerateBall	1			
73	0	2						Ice,Electric	1	SGV_ROGUE_SR_DownPhysicalSubHurt	1			
74	0	1						Electric	1	SGV_ROGUE_SSR_ElementAddHurt_Elec	1			
75	0	2	2					Electric	1	SGV_ROGUE_SR_ElementAddHurt_Elec	1			
76	0	3	10					Electric	1	SGV_ROGUE_R_ElementAddHurt_Elec	1			
77	0	1						Fire	1	SGV_ROGUE_SSR_ElementAddHurt_Fire	1			
78	0	2	2					Fire	1	SGV_ROGUE_SR_ElementAddHurt_Fire	1			
79	0	3	10					Fire	1	SGV_ROGUE_R_ElementAddHurt_Fire	1			
80	0	1						Ice	1	SGV_ROGUE_SSR_ElementAddHurt_Ice	1			
81	0	2	2					Ice	1	SGV_ROGUE_SR_ElementAddHurt_Ice	1			
82	0	3	10					Ice	1	SGV_ROGUE_R_ElementAddHurt_Ice	1			
83	0	1						Water	1	SGV_ROGUE_SSR_ElementAddHurt_Water	1			
84	0	2	2					Water	1	SGV_ROGUE_SR_ElementAddHurt_Water	1			
85	0	3	10					Water	1	SGV_ROGUE_R_ElementAddHurt_Water	1			
86	0	1						Wind	1	SGV_ROGUE_SSR_ElementAddHurt_Wind	1			
87	0	2	2					Wind	1	SGV_ROGUE_SR_ElementAddHurt_Wind	1			
88	0	3	10					Wind	1	SGV_ROGUE_R_ElementAddHurt_Wind	1			
89	0	1						Rock	1	SGV_ROGUE_SSR_ElementAddHurt_Rock	1			
90	0	2	2					Rock	1	SGV_ROGUE_SR_ElementAddHurt_Rock	1			
91	0	3	10					Rock	1	SGV_ROGUE_R_ElementAddHurt_Rock	1			
92	0	1							1	SGV_ROGUE_SSR_PhysicalAddHurt	1			
93	0	2	2						1	SGV_ROGUE_SR_PhysicalAddHurt	1			
94	0	3	10						1	SGV_ROGUE_R_ElementAddHurt_Physical	1			
95	0	2	2						1	SGV_ROGUE_R_NormalAttackDamageUp	1			
96	0	2	2						1	SGV_ROGUE_R_ExtraAttackDamageUp	1			
97	0	2	2				103		1	SGV_ROGUE_R_FallingAttackDamageUp	1			
98	0	2	2						1	SGV_ROGUE_R_Elemental_ArtDamageUp	1			
99	0	2	2						1	SGV_ROGUE_R_DefenceRatio	1			
100	0	3						Water,Electric	1	SGV_ROGUE_R_ElementReaction_Shock	1			
101	0	3						Ice,Electric	1	SGV_ROGUE_R_ElementReaction_Superconductor	1			
102	0	3						Fire,Electric	1	SGV_ROGUE_R_ElementReaction_Explode	1			
103	0	3						Water,Fire	1	SGV_ROGUE_R_ElementReaction_Stream	1			
104	0	3						Ice,Fire	1	SGV_ROGUE_R_ElementReaction_Melt	1			
105	0	1							1	SGV_ROGUE_SSR_NormalAttackDamageUp	1			
106	0	1							1	SGV_ROGUE_SSR_ExtraAttackDamageUp	1			
107	0	1							1	SGV_ROGUE_SSR_Elemental_ArtDamageUp	1			
108	0	1		1					1	SGV_ROGUE_SSR_AtkSpeedUp	1			
109	0	1							1	SGV_ROGUE_SSR_SprintAreaAttack	1			
110	0	1							1	SGV_ROGUE_SSR_ShieldOnBeingHitDoDamage	1			
111	0	1							1	SGV_ROGUE_SSR_OnGainEnergyByBall	1			
112	0	1							1	SGV_ROGUE_SSR_HitCritical	1			
113	0	2							1	SGV_ROGUE_SSR_DashStaminaReduction	1			
114	0	2							1	SGV_ROGUE_SSR_ExtraAttack	1			
115	0	2						Rock	1	SGV_ROGUE_SR_PickupTriggerAOE	1			
116	0	2							1	SGV_ROGUE_SSR_ExtraAreaAttack	1			
