ID	角色列表	卡牌列表	角色初始附属卡牌	角色初始生命	角色初始充能	卡组行为树	冒险模式规则	[候补角色]1角色ID	[候补角色]1登场条件人数	[候补角色]2角色ID	[候补角色]2登场条件人数	[候补角色]3角色ID	[候补角色]3登场条件人数	[候补角色]4角色ID	[候补角色]4登场条件人数	[候补角色]5角色ID	[候补角色]5登场条件人数	[候补角色]6角色ID	[候补角色]6登场条件人数	保护优先级	角色牌是黄金卡	行动牌是黄金卡	是否允许非法牌组	牌背编号
211	3202; 3301; 3501					ai_hard	313200	3304	0	3201	1	3102	2										1	
501	1301; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
502	1301; 1103; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
503	1401; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
504	1301; 1401; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
505	1103; 1301; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
506	1103; 1301; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
507	1401; 1501; 1103	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
508	1501; 1401; 1301	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
511	1301; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
512	1301; 1103; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
513	1401; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
514	1301; 1401; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
515	1103; 1301; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
516	1103; 1301; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
517	1401; 1501; 1103	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
518	1501; 1401; 1301	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
601	1301; 1103; 1104	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312102; 312102; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331101; 331101; 332005				ai_easy_1																	0	
602	1301; 1102; 1401	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312401; 312401; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
603	1401; 1303; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
604	1301; 1201; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312201; 312201; 312501; 312501; 311101; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
605	1202; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312201; 312201; 312501; 312501; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
606	1103; 1602; 1401	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312401; 312401; 312601; 312601; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
607	1103; 1301; 1601	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312601; 312601; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
608	1401; 1301; 1502	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
611	1301; 1103; 1104	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312102; 312102; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331101; 331101; 332005				ai_easy_2																	0	
612	1301; 1102; 1401	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312401; 312401; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
613	1401; 1303; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
614	1301; 1201; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312201; 312201; 312501; 312501; 311101; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
615	1202; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312201; 312201; 312501; 312501; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
616	1103; 1602; 1401	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312401; 312401; 312601; 312601; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
617	1103; 1301; 1601	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312601; 312601; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
618	1401; 1301; 1502	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
621	1301; 1103; 1104	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312102; 312102; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331101; 331101; 332005				ai_easy_3																	0	
622	1301; 1102; 1401	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312401; 312401; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
623	1401; 1303; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
624	1301; 1201; 1501	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312201; 312201; 312501; 312501; 311101; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
625	1202; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312201; 312201; 312501; 312501; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
626	1103; 1602; 1401	311101; 311201; 311301; 311401; 311501; 312101; 312101; 312401; 312401; 312601; 312601; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
627	1103; 1301; 1601	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312101; 312101; 312601; 312601; 311501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
628	1401; 1301; 1502	311101; 311201; 311301; 311401; 311501; 312301; 312301; 312401; 312401; 312501; 312501; 311301; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
701	1301; 1305; 1105	311201; 311201; 311301; 311301; 311501; 311501; 312301; 312301; 312101; 312101; 312302; 312302; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331301; 331301; 332005				ai_easy_2																	0	
702	1404; 1301; 2601	311403; 311302; 311301; 311301; 311401; 311401; 312301; 312301; 312401; 312401; 312601; 312601; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
703	1101; 1103; 1302	311201; 311201; 311401; 311501; 311401; 311501; 312301; 312301; 312101; 312101; 312102; 312102; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331101; 331101; 332005				ai_easy_2																	0	
704	1103; 1402; 1303	311301; 311502; 311301; 311502; 311501; 311501; 312301; 312301; 312101; 312101; 312401; 312401; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
705	1701; 1203; 1401	311101; 311201; 311101; 311201; 311202; 311202; 312401; 312401; 312201; 312201; 312701; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
706	1403; 1401; 1202	311201; 311201; 311503; 311501; 311503; 311501; 312401; 312401; 312402; 312402; 312201; 312201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331401; 331401; 332005				ai_easy_2																	0	
707	1402; 1501; 1202	311101; 311101; 311301; 311301; 311501; 311501; 312401; 312401; 312501; 312501; 312201; 312201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
708	1105; 1302; 1501	311101; 311101; 311401; 311501; 311401; 311501; 312301; 312301; 312101; 312101; 312501; 312501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_2																	0	
711	1301; 1305; 1105	311201; 311201; 311301; 311301; 311501; 311501; 312301; 312301; 312101; 312101; 312302; 312302; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331301; 331301; 332005				ai_easy_3																	0	
712	1404; 1301; 2601	311403; 311302; 311301; 311301; 311401; 311401; 312301; 312301; 312401; 312401; 312601; 312601; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
713	1101; 1103; 1302	311201; 311201; 311401; 311501; 311401; 311501; 312301; 312301; 312101; 312101; 312102; 312102; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331101; 331101; 332005				ai_easy_3																	0	
714	1103; 1402; 1303	311301; 311502; 311301; 311502; 311501; 311501; 312301; 312301; 312101; 312101; 312401; 312401; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
715	1701; 1203; 1401	311101; 311201; 311101; 311201; 311202; 311202; 312401; 312401; 312201; 312201; 312701; 312701; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
716	1403; 1401; 1202	311201; 311201; 311503; 311501; 311503; 311501; 312401; 312401; 312402; 312402; 312201; 312201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 331401; 331401; 332005				ai_easy_3																	0	
717	1402; 1501; 1202	311101; 311101; 311301; 311301; 311501; 311501; 312401; 312401; 312501; 312501; 312201; 312201; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
718	1105; 1302; 1501	311101; 311101; 311401; 311501; 311401; 311501; 312301; 312301; 312101; 312101; 312501; 312501; 322001; 321004; 321006; 332001; 332002; 332001; 332004; 332006; 332012; 332002; 332004; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
1001	1301; 1103; 1203	312101; 312101; 312301; 312301; 311302; 311302; 322010; 322010; 332005; 332001; 332001; 213011; 213011; 211031; 211031; 332008; 332008; 333007; 333007; 332004; 332004; 322008; 322008; 322007; 322007; 322001; 322001; 333003; 333006; 333006				ai_hard														2;0;1			0	
1002	2201; 1302; 2501	312201; 312201; 312301; 312301; 312002; 312002; 322003; 322003; 312101; 213021; 213021; 222011; 222011; 225011; 225011; 332008; 332008; 332009; 332011; 322006; 322006; 321001; 321004; 321005; 321005; 321006; 321006; 322011; 322001; 332012				ai_hard														2;0;1			0	
1003	1301; 1101; 2201	312101; 312101; 312201; 312201; 312301; 312301; 213011; 213011; 211011; 211011; 222011; 311302; 311302; 311203; 311203; 332001; 332001; 332008; 332008; 332009; 332009; 332012; 322007; 322007; 332003; 332003; 321001; 321001; 322001; 322001				ai_hard																	0	
1004	2601; 2301; 1202	223011; 223011; 226011; 226011; 332013; 332013; 312301; 312301; 312601; 312601; 323001; 323001; 323002; 332001; 332001; 332002; 332002; 332009; 332008; 332008; 332005; 332005; 333004; 333004; 333001; 333001; 333002; 333002; 332006; 332006				ai_hard																	0	
1005	1301; 1101; 2201	312101; 312101; 312201; 312201; 312301; 312301; 213011; 213011; 211011; 211011; 222011; 311302; 311302; 311203; 311203; 332001; 332001; 332008; 332008; 332009; 332009; 332012; 322007; 322007; 332003; 332003; 321001; 321001; 322001; 322001				ai_hard																	0	
1401	1403; 1402; 1302	312401; 312401; 312402; 312402; 331401; 331401; 331402; 331402; 214021; 214021; 214031; 214031; 332008; 332009; 332008; 332009; 322011; 322012; 322011; 322012; 312003; 312003; 311302; 311302; 321002; 321002; 332004; 332004; 322001; 322002				ai_hard														2;0;1			0	
1402	1404; 1402; 1202	323002; 322005; 214021; 214021; 212021; 212021; 311403; 311403; 311303; 311303; 312401; 312401; 312002; 312002; 332005; 333003; 331401; 331401; 331402; 331402; 332008; 332008; 332009; 333008; 333008; 333004; 333004; 333006; 322004; 322004				ai_hard														2;0;1			0	
2001	1404; 1601; 1202	322003; 321001; 321001; 312201; 212021; 212021; 311403; 311403; 311102; 311102; 312401; 312401; 312002; 312002; 322001; 322001; 322006; 322006; 321005; 321005; 332008; 332008; 332009; 321006; 321006; 333004; 333004; 333006; 322004; 322004				ai_hard														2;0;1			0	
2002	1701; 1303; 1201	217011; 217011; 212011; 212011; 322011; 322011; 312701; 312701; 312201; 312201; 312301; 312301; 322003; 322003; 322012; 322012; 332005; 332005; 332008; 332008; 321002; 321002; 322007; 322007; 332006; 332006; 321005; 321005; 322001; 322001				ai_hard														2;0;1			0	
2003	1701; 1303; 1401	217011; 217011; 213031; 213031; 214011; 214011; 312701; 312701; 312401; 312401; 312301; 312301; 322003; 322003; 332002; 332002; 332005; 332005; 332008; 332008; 321002; 321002; 333006; 333006; 332006; 332006; 311202; 311202; 322001; 322001				ai_hard														2;0;1			0	
2601	1102; 1602; 1601	312601; 312601; 312602; 312602; 321005; 321005; 321006; 321006; 323002; 323002; 333005; 333005; 333006; 333006; 333007; 333007; 333003; 333003; 331601; 331601; 331602; 331602; 211021; 211021; 216021; 216021; 332004; 332004; 312002; 312002				ai_hard														2;0;1			0	
2602	2601; 1602; 2201	222011; 222011; 226011; 226011; 216021; 312602; 312601; 312601; 312003; 312003; 312201; 312201; 331601; 331601; 332015; 332015; 332012; 332012; 332008; 332008; 321002; 321002; 321001; 321001; 321005; 321005; 321006; 321006; 322006; 322006				ai_hard														2;0;1			0	
11001	3002; 3001; 3002					ai_easy_1	612400																1	
11002	3102; 3302; 3406					ai_easy_1	413200																1	
11003	3302; 3302					ai_easy_1	413200																1	
11004	3102; 3002; 3402; 3102					ai_easy_1	413200																1	
11005	1102; 1502; 2201	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 321004; 321004; 321006; 332001; 332002; 333006; 332004; 332006; 332012; 332013; 321006; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
11101	3204; 3204; 3501					ai_easy_1	413200	3402	2	3402	2												1	
11102	3102; 3101; 3302					ai_easy_1	400200																1	
11104	3501; 3302; 3703					ai_easy_1	422200																1	
11105	1401; 1303; 1203	311201; 311201; 311301; 311401; 311501; 312401; 312301; 312401; 312301; 312201; 312201; 312101; 321004; 321004; 321006; 332001; 332002; 333006; 332004; 332006; 332012; 332013; 321006; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_1																	0	
11106	3302; 3101; 3302					ai_easy_1	413200																1	
20001	3402; 3202; 3102					ai_hard	413200	3402	2	3101	2												1	
12001	3703; 3301; 3402					ai_easy_2	413200																1	
12002	4302; 3203					ai_easy_2	412222																1	
12003	4302; 3502					ai_easy_2	412222																1	
12004	3501; 3103; 3406					ai_easy_2	413200																1	
12005	1601; 1101; 1403	311101; 311201; 311101; 311201; 311501; 312401; 311501; 312101; 312601; 312401; 312101; 312601; 321001; 321001; 321005; 332001; 332002; 333006; 332004; 332006; 332012; 332013; 321005; 332008; 332009; 333001; 332007; 332010; 332011; 332005				ai_easy_2																	0	
12103	3103; 3301					ai_easy_2	512200																1	
12104	4302; 4204					ai_easy_2	413400																1	
12105	3204; 3703; 3402					ai_easy_2	512200	3204	2	3501	2	3102	2										1	
12106	3403; 3102; 3302					ai_easy_2	512200																1	
12107	2601; 1602; 1202	311101; 311301; 311301; 311501; 311501; 312602; 312602; 312601; 312601; 312201; 312201; 312501; 321001; 321001; 321005; 332001; 332002; 333006; 332004; 332006; 332012; 332013; 321005; 332008; 332009; 333001; 332007; 332010; 332011; 332005				ai_easy_2																	0	
20002	3304; 3103; 3403					ai_hard	413200																1	
13001	3204; 3402; 3201; 3402					ai_easy_3	411222																1	
13002	4302; 3502; 3203					ai_easy_3	413200																1	
13003	3405; 3003; 3305; 3405					ai_easy_3	412222																1	
13004	3401; 3303					ai_easy_3	412222																1	
13005	1105; 1305; 1202	211051; 312301; 312201; 312001; 322003; 311502; 311501; 311503; 311201; 322004; 323001; 322010; 333001; 333004; 333008; 211051; 312301; 312201; 312001; 322003; 311502; 311501; 311503; 311201; 322004; 323001; 322010; 333001; 333004; 333008				ai_easy_3																	0	
13101	3305; 3405					ai_easy_3	400200	3303	0	3401	1												1	
13102	3204; 3102; 3204; 3403					ai_easy_3	413200	3406	3	3204	3	3406	3										1	
13103	3201; 3301; 3103					ai_easy_3	424200																1	
13104	3502; 4204; 3203					ai_easy_3	613000																1	
