图鉴ID	父任务ID	章节ID	序号	已废弃
10410002	12021	2024	3062	
10410003	12022	2024	3063	
10410004	12023	2024	3064	
10410005	12024	2024	3065	
10420001	12015	2023	3041	
10420002	12016	2023	3042	
10420003	12017	2023	3043	
10420004	12018	2023	3044	
10430001	12009	2026	3081	
10430002	12025	2026	3082	
10430003	12026	2026	3083	
10440001	11009	1205	441	
10440002	11013	1205	442	
10440003	11014	1205	443	
10440004	11015	1205	444	
10450001	12028	2025	3101	
10450002	12029	2025	3102	
10450003	12030	2025	3103	
10450004	12031	2025	3104	
10460001	12040	2027	3045	
10460002	12041	2027	3046	
10460003	12042	2027	3047	
10470001	12033	2028	3121	
10470002	12034	2028	3122	
10470003	12035	2028	3123	
10480001	8004	1206	461	
10480002	8005	1206	462	
10480003	8006	1206	463	
10480004	8007	1206	464	
10490001	11018	2029	2141	
10490002	11019	2029	2142	
10490003	11026	2029	2143	
10500001	1019	1207	471	
10500002	1028	1207	472	
10500003	1029	1207	473	
10500004	1030	1207	474	
10500005	1031	1207	475	
10510001	12037	2031	3141	
10520002	12038	2031	3142	
10530003	12039	2031	3143	
10540001	13000	2030	4001	
10540002	13001	2030	4002	
10540003	13002	2030	4003	
10540004	13003	2030	4004	
10550001	3000	1301	501	
10550002	3001	1301	502	
10550003	3002	1301	503	
10550004	3003	1301	504	
10550005	3004	1301	505	
10550006	3005	1301	506	
10550007	3006	1301	507	
10550008	3007	1302	508	
10550009	3008	1302	509	
10550010	3009	1302	510	
10550011	3010	1302	511	
10550012	3011	1302	512	
10550013	3014	1302	513	
10550014	3012	1302	514	
10560001	3016	1303	516	
10560002	3017	1303	517	
10560003	3018	1303	518	
10570001	13006	2033	4021	
10570002	13007	2033	4022	
10570003	13008	2033	4023	
10580001	3019	1304	519	
10580002	3020	1304	520	
10580003	3021	1304	521	
10590001	13009	2032	4041	
10590002	13010	2032	4042	
10590003	13011	2032	4043	
10600001	3024	1305	522	
10600002	3025	1305	523	
10600003	3022	1305	524	
10600004	3028	1305	525	
10600005	3026	1305	526	
10610001	13013	2034	4061	
10610002	13014	2034	4062	
10610003	13015	2034	4063	
10620001	3029	1307	527	
10620002	3030	1307	528	
10620003	3031	1307	529	
10620004	3032	1307	530	
