ID	对话ID	错误提示	是否重复	交付方式	[精确]道具1ID	[精确]道具1数量	[精确]道具2ID	[精确]道具2数量	[精确]道具3ID	[精确]道具3数量	精准交付完台词	组交付ID	组交付数量	是否删除道具	是否重置	是否允许联机交付	交付类型	是否可取回
7214011			1	1	108281	1								1			1	
2201403			1	1	100027	1	100064	3						1			1	
2201405			1	1	100889	1								1			1	
2201407			1	1	100890	1								1			1	
2201701			1	3								220170101,220170102,220170103	1	1			1	
7216104			1	1	101205	12					721610403			1			1	
2202101			1	1	101521	3								1			1	
2202102			1	1	101522	2								1			1	
2202302			1	3								220230201,220230202,220230204	1	1			1	
2202505			1	1	108212	1								1			1	
2202506			1	1	108154	1								1			1	
2202507			1	1	108109	1								1			1	
7182901			1	1	100062	1	100015	1						1			1	
7215101			1	1	101202	3								1			1	
201201			1	3								20120101	1	1			1	
201202			1	3								20120201	1	1			1	
2203001			1	1	100904	1								1			1	
2203202			1	3								220320201,220320202,220320204	1	1			1	
2203302			1	3								220330201,220330203,220330204	1	1			1	
1200513			1	1	100885	1								1			1	
1200602			1	3								120060201	1	1			1	
1200604			1	1	100886	1								1			1	
7211201			1	1	100789	1								1			1	
7211202			1	1	100790	1								1			1	
7211203			1	1	100791	1								1			1	
7211204			1	1	100792	1								1			1	
7211205			1	1	100793	1								1			1	
7211206			1	1	100794	1								1			1	
7211207			1	1	100795	1								1			1	
7211208			1	1	100872	1								1			1	
7211209			1	1	100873	1								1			1	
7211210			1	1	100874	1								1			1	
7211211			1	3								7211217	1	1			1	
7211212			1	3								7211216	1	1			1	
7211213			1	3								7211217	1	1			1	
7211214			1	3								7211218	1	1			1	
7211216			1	3								7211216	1	1			1	
7211217			1	3								7211217	1	1			1	
7211218			1	3								7211218	1	1			1	
7211226			1	1	100796	1								1			1	
7211227			1	1	100797	1								1			1	
7211228			1	1	100908	1								1			1	
7211229			1	1	100909	1								1			1	
7211230			1	1	100910	1								1			1	
7211231			1	1	100911	1								1			1	
7211232			1	1	100912	1								1			1	
7211233			1	1	100913	1								1			1	
7211234			1	1	100914	1								1			1	
7210401			1	1	100789	1								1			1	
7210402			1	1	100790	1								1			1	
7210403			1	1	100791	1								1			1	
7210404			1	1	100792	1								1			1	
7210405			1	1	100793	1								1			1	
7210406			1	1	100794	1								1			1	
7210407			1	1	100795	1								1			1	
7210408			1	1	100872	1								1			1	
7210409			1	1	100873	1								1			1	
7210410			1	1	100874	1								1			1	
7210411			1	3								7210416	1	1			1	
7210412			1	3								7210416	1	1			1	
7210413			1	3								7210417	1	1			1	
7210414			1	3								7210418	1	1			1	
7210416			1	3								7210416	1	1			1	
7210417			1	3								7210417	1	1			1	
7210418			1	3								7210418	1	1			1	
7210426			1	1	100796	1								1			1	
7210427			1	1	100797	1								1			1	
7210428			1	1	100908	1								1			1	
7210429			1	1	100909	1								1			1	
7210430			1	1	100910	1								1			1	
7210431			1	1	100911	1								1			1	
7210432			1	1	100912	1								1			1	
7210433			1	1	100913	1								1			1	
7210434			1	1	100914	1								1			1	
7216803			1	1	101517	1								1			1	
7216903			1	1	101518	1								1			1	
7217003			1	1	101519	1								1			1	
7214401			0	1	100349	1								0			1	
7214405			1	1	100349	1								1			1	
2202601			1	1	101520	3								1			1	
7271201			1	1	100054	5								1			1	
3002601			1	3								300260101,300260102,300260103	1	1			1	
3002602			1	3								300260201,300260202,300260203	1	1			1	
3002603			1	3								300260301,300260302,300260303	1	1			1	
3002604			1	3								300260401,300260402,300260403	1	1			1	
7271301			1	1	100016	15								1			1	
7271401			1	1	100062	8								1			1	
7271501			1	1	101202	5								1			1	
7271601			1	1	100013	15								1			1	
7271701			1	1	101001	10								1			1	
7271801			1	2								7271801	5	1			1	
7271901			1	1	101002	5								1			1	
7217901			1	1	101204	1								1			1	
7217902			1	1	101204	1								1			1	
7217903			1	1	101204	1								1			1	
7217904			1	1	101204	1								1			1	
7217905			1	1	101204	1								1			1	
7217906			1	1	101204	1								1			1	
7050001	7050002		1	1	100967	1								1			1	
7050002			1	1	100968	3								1			1	
7050108	7050104		1	1	100980	1								1			1	
7050110	7050105		1	1	100981	3								1			1	
7150004	7150002		1	1	100982	1								1			1	
7216620	7216606		1	1	100952	1								1			1	
7217510	7217503		1	1	101209	10								1			1	
7150005	7150007		1	1	100983	3								1			1	
7066105			1	2								7066105	1	1			1	
7210301			1	1	100789	1								1			1	
7210302			1	1	100790	1								1			1	
7210303			1	1	100791	1								1			1	
7210304			1	1	100792	1								1			1	
7210305			1	1	100793	1								1			1	
7210306			1	1	100794	1								1			1	
7210307			1	1	100795	1								1			1	
7210308			1	1	100872	1								1			1	
7210309			1	1	100873	1								1			1	
7210310			1	1	100874	1								1			1	
7210311			1	3								7210316	1	1			1	
7210312			1	3								7210316	1	1			1	
7210313			1	3								7210317	1	1			1	
7210314			1	3								7210318	1	1			1	
7210316			1	3								7210316	1	1			1	
7210317			1	3								7210317	1	1			1	
7210318			1	3								7210318	1	1			1	
7210326			1	1	100796	1								1			1	
7210327			1	1	100797	1								1			1	
7210328			1	1	100908	1								1			1	
7210329			1	1	100909	1								1			1	
7210330			1	1	100910	1								1			1	
7210331			1	1	100911	1								1			1	
7210332			1	1	100912	1								1			1	
7210333			1	1	100913	1								1			1	
7210334			1	1	100914	1								1			1	
2203901			1	3								220390101,220390102	1	1			1	
7218401			1	1	101211	1								1			1	
7218501			1	1	110009	1								1			1	
7214901			1	1	100894	4								1			1	
2204301			1	1	101312	10								1			1	
2204401			1	1	101205	3								1			1	
7221104			1	1	101210	3								1			1	
7221303			1	1	101001	3								1			1	
7221404			1	1	100061	3								1			1	
7220606			1	1	100011	3	100025	3						1			1	
7003006			1	1	100030	3								1			1	
1913204			1	1	101000	1								1			1	
7217701			1	1	100895	1								1			1	
7217702			1	1	100920	1								1			1	
7217703			0	2								7217703	4	0			1	
7220407			1	1	101575	1								1			1	
7220502			1	1	101202	1								1			1	
7220804			1	1	101581	1								1			1	
7183005			1	1	101304	12								1			1	
7224402			1	1	101207	1								1			1	
7224403			1	1	101207	1								1			1	
7224404			1	1	101207	1								1			1	
7224405			1	1	101207	1								1			1	
7224406			1	1	101207	1								1			1	
7224407			1	1	101207	1								1			1	
7224408			1	1	101207	1								1			1	
2000302			1	1	101308	1	101301	1						1			1	
2100001			1	1	101617	1								1			1	
7226510			0	1	100061	8	101206	3	101002	4				1			1	
7224401			0	1	100940	1								0			1	
7103814			1	1	101782	1								1			1	
2102801			1	1	100016	3								1			1	
7267502			1	1	100085	1								1			1	
7267602			1	3								726760201	1	1			1	
7267702			1	1	100053	1								1			1	
7226509			0	1	101662	1								1			1	
7226519			0	1	101663	1								1			1	
7226617			0	1	101664	1								1			1	
7105208			0	1	101627	5								1			1	
7106202			0	3								710620201	4	1			1	
7103701			0	1	101625	3								1			1	
2102901			1	1	100027	1								1			1	
2102902			1	1	100012	1								1			1	
2102903			1	1	112002	1								1			1	
2102701			1	1	100027	1								1			1	
2102702			1	1	100012	1								1			1	
2102703			1	1	112002	1								1			1	
7106301			1	1	100062	1								1			1	
7106601			1	1	101641	1								1			1	
7105903			1	1	101694	1	101695	1	101696	1				1			1	
7227801			1	1	108266	3								1			1	
7107401			0	1	101642	3								1			1	
7107402			0	1	101642	3								1			1	
7107403			0	1	101642	3								1			1	
7902130			0	1	100306	1	100307	1	100308	1				1			1	
7902131			1	1	101945	1								1			1	
7902301			1	1	101946	1								1			1	
7901201			1	1	101917	1								1			1	
7109807			0	1	108021	1								1			1	
4006901			0	1	101836	1								1			1	
7901301	7901346		1	2								7901301	1	1			1	
7301905			1	1	110006	1								1			1	
7302105			1	1	101860	1								1			1	
7051403			0	1	101861	1								1			1	
7307803			0	1	101228	3								1			1	
7109901			1	1	101303	3	101402	1						1			1	
2300102			1	3								230010201,230010202,230010203	1	1			1	
2300201			1	1	101955	5								1			1	
2300505			1	1	108151	1								1			1	
2300503			1	3								230050301,230050302,230050303	1	1			1	
2300802			1	1	112002	3								1			1	
2301001			1	1	100016	1								1			1	
2301002			1	1	100080	1								1			1	
2301003			1	1	100061	1								1			1	
2301402			1	3								230140201,230140202	2	1			1	
7306703			1	1	101954	1								1			1	
2301801			1	1	110006	1								1			1	
2301802			1	1	108009	1								1			1	
2301502			1	1	101001	3								1			1	
2302301			1	1	101216	3								1			1	
2300903			1	1	112002	3								1			1	
2300708			1	3								230070801	1	1			1	
2300904			1	1	101911	1								1			1	
2300907			1	1	101912	1								1			1	
2300910			1	1	101913	1								1			1	
2300913			1	1	101914	1								1			1	
2300916			1	1	101915	3								1			1	
2303102			1	1	100002	1	100017	1	101218	1				1			1	
2303105			1	1	100002	1	100017	1	101919	3				1			1	
2303108			1	1	100002	1	100017	1	101920	1				1			1	
7380001			1	1	101994	1								1			1	
7380002			1	1	100084	3								1			1	
7380003			1	1	100080	2								1			1	
7380004			1	1	101214	3								1			1	
7310403			1	1	100002	1	100017	1	101921	3				1			1	
7310406			1	1	100002	1	100017	1	101922	1				1			1	
7310411			1	1	100002	1	100017	1	101942	3				1			1	
2303207			1	1	100080	2								1			1	
2303209			1	1	100024	1								1			1	
2303602			1	1	100002	1	100017	1	101214	1				1			1	
2303605			1	1	100002	1	100017	1	101941	3				1			1	
2303608			1	1	100002	1	100017	1	101923	1				1			1	
2301103			0	1	100827	1								1			1	
2301106			0	1	100829	1								1			1	
2301109			0	1	100828	1								1			1	
2302004			1	1	101961	3								1			1	
7303907			1	1	108021	1								1			1	
300308			1	1	101927	1								1			1	
7304002			1	3								730400201,730400202	1	1			1	
7304003			1	3								730400301,730400302	1	1			1	
7304004			1	3								730400401,730400402	1	1			1	
2301803			1	1	101938	1								1			1	
2301804			1	1	101939	1								1			1	
2301805			1	1	101940	1								1			1	
7365301			1	1	100061	8								1			1	
7365401			1	1	101218	10								1			1	
7365501			1	1	100051	15								1			1	
7365601			1	1	101216	10								1			1	
7365701			1	1	101002	5								1			1	
7365801			1	1	101219	10								1			1	
7365901			1	1	100001	5								1			1	
7366001			1	1	101215	5								1			1	
7366101			1	1	110006	5								1			1	
7366201			1	1	110008	2								1			1	
2300413			1	1	120012	1								1			1	
2300429			1	1	120012	1								1			1	
2300419			1	1	120013	1								1			1	
2300423			1	1	120014	1								1			1	
2300427			1	1	120015	1								1			1	
7311803			0	1	101228	1								1			1	
7311903			0	1	101228	1	101212	1						1			1	
7312103			0	1	101228	1	101227	1						1			1	
7312203			0	1	101228	1	101226	1						1			1	
7312303			0	1	101212	1	101226	1	101227	1				1			1	
7312403			0	1	101228	2								1			1	
7312503			0	1	101228	1	101213	1						1			1	
7312603			0	1	101228	1	101214	1						1			1	
7312703			0	1	101228	1	101215	1						1			1	
7312803			0	1	101228	1	101216	1						1			1	
7312903			0	1	101228	1	101217	1						1			1	
7313003			0	1	101228	1	101218	1						1			1	
7313103			0	1	101228	1	101219	1						1			1	
300701			1	2								30070101	2	1			1	
2303401			1	1	100016	3								1			1	
7322301			0	1	101987	1								1			1	
7321002			0	1	120031	1								1			1	
7322602			1	1	120008	3								1			1	
7321004			0	1	120031	1								1			1	
2303704			1	1	120055	1								1			1	
2303805			1	1	101220	3								1			1	
2303807			1	1	101221	3								1			1	
2303809			1	1	101225	3								1			1	
7322605			1	1	120008	3								1			1	
7322608			1	1	120008	3								1			1	
7322611			1	1	120008	3								1			1	
7322614			1	1	120008	3								1			1	
7318501			1	1	101216	4	101218	3						1			1	
2304109			1	1	101218	3								1			1	
7323303			1	1	120065	1								1			1	
2304114			1	1	120061	1								1			1	
2304204			1	1	120066	1								1			1	
2304301			1	3								230430101,230430102,230430103,230430104	1	1			1	
7329001			0	1	101219	1								1			1	
