天赋ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	前置星命	激活消耗主材料ID	激活消耗主材料数量	激活消耗副材料ID	激活消耗副材料数量
752	Wanderer_Constellation_2					0.01	0.5						751	1174	1		
753	Wanderer_Constellation_3												752	1174	1		
754	Wanderer_Constellation_4												753	1174	1		
755	Wanderer_Constellation_5												754	1174	1		
756	Wanderer_Constellation_6					0.5	5						755	1174	1		
821	Baizhuer_Constellation_1												0	1182	1		
822	Baizhuer_Constellation_2												821	1182	1		
823	Baizhuer_Constellation_3												822	1182	1		
824	Baizhuer_Constellation_4												823	1182	1		
825	Baizhuer_Constellation_5												824	1182	1		
826	Baizhuer_Constellation_6												825	1182	1		
761	Faruzan_Constellation_1					2								1176	1		
762	Faruzan_Constellation_2					6							761	1176	1		
763	Faruzan_Constellation_3												762	1176	1		
764	Faruzan_Constellation_4					10	2	10	10	2	10		763	1176	1		
765	Faruzan_Constellation_5												764	1176	1		
766	Faruzan_Constellation_6					0.5	4						765	1176	1		
