对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
101305	2	1	1	1	101304	2		8	100496	20000						6		10130501		10248	1013					
101306	2	1	1	1	101306	2		8	100031	1						6		10130601		10248	1013					
101393	2	1	1	1	101306	2		3	100031	1						6		10139301		10248	1013					
101307	2	1	1	1	101307	2		3	100496	25000						6		10130701		10249	1013					
101392		1														6		10139201		10249	1013					
101390		1														6		10139001		10249	1013					
101388		1														6		10138801		10249	1013					
101387		1														6		10138701		10249	1013					
101308		1														6		10130801		10249	1013					
101389	2	1	1	1	101308	2		3	100496	25000						6		10130801		10249	1013					
101309	2	1	1	1	101308	2		8	100496	25000						6		10130901		10249	1013					
101310	2	1	1	1	101310	2		8	100026	1						6		10131001		10249	1013					
101386	2	1	1	1	101310	2		3	100026	1						6		10138601		10249	1013					
101311	2	1	1	1	101311	2		3	100496	15000						6		10131101		10250	1013					
101385		1														6		10138501		10250	1013					
101383		1														6		10138301		10250	1013					
101381		1														6		10138101		10250	1013					
101380		1														6		10138001		10250	1013					
101312		1														6		10131201		10250	1013					
101382	2	1	1	1	101312	2		3	100496	15000						6		10131201		10250	1013					
101313	2	1	1	1	101312	2		8	100496	15000						6		10131301		10250	1013					
101314	2	1	1	1	101314	2		8	101001	1						6		10131401		10250	1013					
101379	2	1	1	1	101314	2		3	101001	1						6		10137901		10250	1013					
101317	2	1		1	101320	2										6		10131701		10200	1013					
101401	2	1		1	101401	2										6		10140101		209301	1014					
101402	2	1		1	101406	2										6		10140201		209301	1014					
101403	1	1		1	101403	2										6		10140301		209301	1014					
101404	2	1		1	101404	2										6		10140401		10232	1014					
101406	2	1		1	101406	2										6		10140601		10245	1014					
101410	2	1		1	101404	2										6		10141001		209301	1014					
101513	1	1		1	101513	2										6		10151301		1005	1015					
101509	1	1		1	101509	2										6		10150901		10233	1015					
101503	1	1		1	101503	2										6		10150301		1005	1015					
101506	1	1		1	101506	2										6		10150601		1005	1015					
101514	1	1		1	101514	2										6		10151401		1005	1015					
101507	2	1		1	101507	2										6		10150701		10233	1015					
101511	2	1		1	101511	2										6		10151101		10232	1015					
10150901	2	1		1	101509	3										4		1015090101		10233	1015					
10150701	2	1		1	101511	2										5		1015070101		10233	1015					
10150702	2	1		1	101511	2										5		1015070201		10234	1015					
10150703	2	1		1	101310	3										5		1015070301		10255						
10150704	2	1		41	101310	1										5		1015070401		10255						
101601	1	1		1	101609	2										6		10160101		10232	1016					
101603	2	1		1	101610	3										6		10160301		10232	1016					
101610	1	1		1	101610	2										6		10161001		10232	1016					
101604	2	1														6		10160401		2003008	1017					
101605	2	1														6		10160411		2003009	1017					
101606	2	1														6		10160421		2003010	1017					
101607	2	1														6		10160431		2003011	1017					
101608	2	1														6		10160441		2003012	1017					
102001	1	1		1	102001	2										5		10200101		1005	1020					
102002	2	1		1	102002	2										5		10200201		1005	1020					
102004	1	1		1	102004	2										5		10200401		10262	1020					
102006	1	1		1	102006	2										5		10200601		1005	1020					
102007	1	1		1	102007	2										5		10200701		1005	1020					
102102	2	1		1	102101	2										5		10210201		1005	1021					
102108	2	1		1	102108	2										5		10210801		10287	1021					
102111	2	1		1	102111	2										5		10211101		2020	1021					
102103	2	1		1	102103	2										5		10210301		2456	1021					
102104	1	1		1	102104	2										5		10210401		10211	1021					
102113	2	1		1	102113	2										5		10211301		10211	1021					
102106	2	1		1	102106	2										5		10210601		10211	1021					
102112	2	1		1	102112	2										5		10211201		10301	1021					
102130	2	1		1	102111	3										5		10213001		2020	1021					
102131	2	1		1	102112	2										5		10213101		10211	1021					
102132	2	1		1	102201	2										3		10213101		10211						
102202	2	1		1	102202	2										5		10220201		10261	1022					
102203	1	1		1	102203	2										5		10220301		10232	1022					
102204	1	1		1	102204	2										5		10220401		10273	1022					
102206	1	1		1	102206	2										5		10220601		1005	1022					
102208	2	1		1	102208	2										5		10220801		10272	1022					
102230	2	1		1	102301	2										3		10223001		10272						
102303	1	1		1	102303	2										5		10230301		1005	1023					
102302	1	1		1	102302	2										5		10230201		10261	1023					
102305	1	1		1	102305	2										5		10230501		10200	1023					
102402	1	1		1	102402	2										5		10240201		1005	1024					
102408	2	1		1	102408	2										5		10210301		2456	1024					
102516	1	1		1	102516	2										5		10250101		1005	1025					
102515	2	1		1	102515	2										5		10251501		208401	1025					
102502	1	1		1	102502	2										5		10250201		1005	1025					
102503	1	1		1	102503	2										5		10250301		205501	1025					
102504	1	1		1	102504	2										5		10250401		203401	1025					
102505	1	1		1	102505	2										5		10250501		207101	1025					
102506	1	1		1	102506	2										5		10250601		208301	1025					
102507	2	1		1	102507	2										5		10250701		209301	1025					
102508	2	1		1	102508	2										5		10250801		208301	1025					
102509	2	1		1	102509	2										5		10250901		205401	1025					
102510	2	1		1	102510	2										5		10251001		10232	1025					
102540	2	1		1	102515	3										5		10254001		208401	1025					
102518	2	1		1	102513	2										5		10251801		10211	1025					
102519	2	1		1	102513	2										5		10251901		1016	1025					
102521	2	1		1	102513	2										5		10252101		1015	1025					
102525	2	1		1	102513	2										5		10252501		2003008	1025					
102526	2	1		1	102513	2										5		10252601		2003009	1025					
102527	2	1		1	102513	2										5		10252701		2003010	1025					
102528	2	1		1	102513	2										5		10252801		2003011	1025					
102529	2	1		1	102513	2										5		10252901		2003012	1025					
102530	2	1		1	102513	2										5		10253001		10319	1025					
102531	2	1		1	102513	2										5		10253101		10320	1025					
102532	2	1		1	102513	2										5		10253201		10321	1025					
102533	2	1		1	102513	2										5		10253301		10232	1025					
102534	2	1		1	102517	2										5		10253401		10232	1025					
102535	2	1		1	102503	3										5		10250301		205501	1025					
102536	2	1		1	102504	3										5		10250401		203401	1025					
102541	2	1		1	102510	2										5		10251801		10211	1025					
102542	2	1		1	102510	2										5		10251901		1016	1025					
102543	2	1		1	102510	2										5		10252101		1015	1025					
102544	2	1		1	102510	2										5		10252501		2003008	1025					
102545	2	1		1	102510	2										5		10252601		2003009	1025					
102546	2	1		1	102510	2										5		10252701		2003010	1025					
102547	2	1		1	102510	2										5		10252801		2003011	1025					
102548	2	1		1	102510	2										5		10252901		2003012	1025					
102549	2	1		1	102510	2										5		10253001		10319	1025					
102550	2	1		1	102510	2										5		10253101		10320	1025					
102551	2	1		1	102510	2										5		10253201		10321	1025					
102564	2	1		1	102510	2										5		10250701		209301	1025					
102565	2	1		1	102510	2										5		10250801		208301	1025					
102566	2	1		1	102510	2										5		10250901		205401	1025					
102553	2	1	1	1	102510	3		41	1102001	1						7		10252001		10232						
102554	2	1		1	102510	3										7		10252501		2003008						
102555	2	1		1	102510	3										7		10252601		2003009						
102556	2	1		1	102510	3										7		10252701		2003010						
102557	2	1		1	102510	3										7		10252801		2003011						
102558	2	1		1	102510	3										7		10252901		2003012						
102559	2	1		1	102510	3										7		10253001		10319						
102560	2	1		1	102510	3										7		10253101		10320						
102561	2	1		1	102510	3										7		10253201		10321						
