对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
200020	2	1		1	99902	3																																		1		20002001		207701	2000																																
200021	2	1	2	1	200009	2				1	200011	2																												1		20002101		1031	2000																																
200022	2	1	2	1	200009	2				1	200011	2																												1		20002201		1032	2000																																
200023	2	1	2	1	200009	2				1	200010	2				1	200101	2				1	200103	2				1	200104	2				1	200106	2				1		20002301		10409																																	
200024	2	1	2	1	200009	2				1	200010	2				1	200101	2				1	200103	2				1	200104	2				1	200106	2				1		20002401		10410,10411																																	
200025	2	1	1	1	200003	2				1	1101401	3																												5		20002501		207701,1005	2000																																
200026	2	1	1	1	200004	2				1	1101401	3																												5		20002601		1031,1005,1032	2000																																
200101	2	1		1	200101	2																																		5		20010107		1005,10412																																	
200102		1																																						5		20010107		1005,10412																																	
200103	2	1		1	200103	2																																		5		20010301		1031,1032,1005	2001																																
200104	2	1		1	200104	2																																		5		20010401		10412,1005																																	
200106	2	1		1	200106	2																																		5		20010601		10413,1005	2001																																
200107	2	1		1	200107	2																																		5		20010701		10409,1005																																	
200108	2	1		1	200108	2																																		5		20010801		1005,10411																																	
200109	2	1		1	200109	2																																		5		20010901		1032,1031,1005	2001																																
200111	2	1		1	200111	2																																		5		20011101		1032,1005	2001																																
200113	2	1		1	200113	2																																		5		20011301		1032,1005	2001																																
200120	2	1	1	1	200107	3				41	200202	1																												1		20012001		10409																																	
200121	2	1		1	200108	3																																		1		20012101		10411																																	
200122	2	1		1	200110	2																																		1		20012201		1031	2001																																
200123	2	1		1	200112	2																																		1		20012301		1032	2001																																
200201	2	1		1	200202	2																																		5		20020101		10412	2002																																
200202	2	1		1	200202	2																																		5		20020201		1031	2002																																
200204	2	1		1	200204	2																																		5		20020401		1031,1005,1032	2002																																
200209	2	1		1	200209	2																																		5		20020901		10414,1032,1005	2002																																
200211	2	1		1	200211	2																																		5		20021101		10414,1032,1005	2002																																
200212	2	1		1	200212	2																																		5		20021201		1005,10412,1032	2002																																
200220	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022001		10409																																	
200221	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022101		10416																																	
200222	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022201		10417																																	
200223	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022301		10418																																	
200224	2	1	2	1	200205	2				1	200201	2																												1		20022401		1031	2002																																
200225	2	1	2	1	200205	2				1	200201	2																												1		20022501		10412																																	
200226	2	1	2	1	200205	2				1	200201	2																												1		20022601		10409																																	
200227	2	1	2	1	200205	2				1	200201	2																												1		20022701		10416,10417																																	
200228	2	1	2	1	200205	2				1	200201	2																												1		20022801		10418																																	
200229	2	1		1	200212	2																																		1		20022901		214301	2002																																
200230	2	1		1	200202	2																																		1		20023001		1032	2002																																
200301	2	1		1	200301	2																																		5		20030101		1005,1033	2003																																
200302	2	1		1	200302	2																																		5		20030201		1033	2003																																
200303	2	1		1	200303	2																																		5		20030301		12021	2003																																
200304	1	1		1	200304	2																																		5		20030401		1013	2003																																
200305	1	1		1	200305	2																																		5		20030501		3010,1005	2003																																
200306	2	1	1	1	200304	3																																		5		20030601		1033	2003																																
200307	2	1	1	1	200305	3				1	200301	2																												5		20030701		3010	2003																																
200401	2	1		1	200401	2																																		5		20040101		1005,3129	2004																																
200402	2	1		1	200402	2																																		5		20040201		1005,12018	2004																																
200403	2	1		1	200403	2																																		5		20040301		1005,12019	2004																																
200404	2	1		1	200404	2																																		5		20040401		1005,12020	2004																																
200405	2	1		1	200405	2																																		5		20040501		3129,1005	2004																																
200406	2	1		1	200406	2																																		5		20040601		12040	2004																																
200407	2	1		1	200407	2																																		5		20040701		12041	2004																																
200408	2	1		1	200408	2																																		5		20040801		1005,3129	2004																																
200409	2	1	2	1	200406	2				1	200407	2																												5		20040901		3129	2004																																
200410	2	1	1	1	200406	3																																		5		20041001		12040	2004																																
200411	2	1	1	1	200407	3																																		5		20041101		12041	2004																																
200412	2	1	2	1	200402	2				1	200403	2				1	200404	2																						5		20041201		3129	2004																																
200413	2	1	1	1	200405	3																																		5		20041301		3129	2004																																
200501	1	1		1	200501	2																																		5		20050101		1005,12003,12000,3048	2005																																
200502	1	1		1	200503	2																																		5		20050201		12002,12022,1005,12023	2005																																
200503	2	1		1	200504	2																																		5		20050301		3002	2005																																
200504	2	1		1	200505	2																																		5		20050401		1005,3048	2005																																
200505	2	1		1	200506	2																																		5		20050501		3048	2005																																
200508	2	1		1	200507	2																																		5		20050801		12002,12022,12023,1005	2005																																
200509	2	1	1	1	200501	3				1	200506	2																												5		20050901		12000	2005																																
200510	2	1	1	1	200501	3				1	200506	2																												5		20051001		12003	2005																																
200511	2	1	1	1	200507	2																																		5		20051101		12003	2005																																
200512	2	1	1	1	200507	2																																		5		20051201		12000	2005																																
200513	2	1	1	1	200507	2																																		5		20051301		3048	2005																																
200601	2	1		1	200601	2																																		5		20060101		12005,3031	2006																																
200602	2	1		1	200603	2																																		5		20060201		12005,1005	2006																																
200604	2	1		1	200605	2																																		5		20060401		12006,1005	2006																																
200605	2	1		1	200606	2																																		5		20060501		1005	2006																																
200606	2	1		1	200607	2																																		5		20060601		1034	2006																																
200607	2	1	1	1	200601	3				1	200602	2																												5		20060701		12005	2006																																
200608	2	1	1	1	200601	3				1	200602	2																												5		20060801		3031	2006																																
200701	1	1		1	200701	2																																		5		20070101		1005	2007																																
200702	2	1		1	200702	2																																		5		20070201		12008,12011,1005,1035	2007																																
200703	2	1		1	200704	2																																		5		20070301		1005	2007																																
200704	2	1		1	200706	2																																		5		20070401		1035	2007																																
200705	2	1		1	200711	2																																		5	200710,200711	20070501		1013	2007																																
200707	1	1		1	200705	2																																		5		20070701		12012	2007																																
200708	2	1		1	200709	2																																		5		20070801		1035	2007																																
200709	2	1		1	200710	2																																		5	200712	20070901		1033,1013	2007																																
200710	1	1		1	200711	2																																		3		20071001		1005,1033,1013	2007																																
200711	1	1		1	200711	2																																		3		20071101		1005,1033,1013	2007																																
200712	1	1		1	200710	2																																		3	200713,200714,200715,200716	20070909		1033,1013	2007																																
200713	1	1	1	1	200710	2				24	0	0	2007																											3	200714,200715,200716	20070910		1033,1013	2007																																
200714	1	1	1	1	200710	2				24	1	0	2007																											3	200713,200715,200716	20070914		1033,1013	2007																																
200715	1	1	1	1	200710	2				24	2	0	2007																											3	200713,200714,200716	20070924		1033,1013	2007																																
200716	1	1	1	1	200710	2				24	3	1	2007																											3		20070928		1033,1013	2007																																
200717	2	1	1	1	200710	3				1	200702	2																												5		20071701		1033	2007																																
200718	2	1	1	1	200710	3				1	200702	2																												5		20071801		1013	2007																																
200801	1	1		1	200801	2																																		5		20080101		1005	2008																																
200802	1	1		1	200804	2																																		5		20080201		1005	2008																																
200803	1	1		1	200806	2																																		5		20080301		1013	2008																																
200804	2	1		1	200801	2																																		5		20080401		1013	2008																																
200805	2	1	1	1	200801	2				1	200806	3																												5		20080302		3009	2008																																
200901	2	1		1	200902	2																																		5		20090101		12013	2009																																
200902	2	1		1	200903	2																																		5		20090201		1039	2009																																
200903	1	1		1	200905	2																																		5		20090301		1005	2009																																
200904	1	1		1	200906	2																																		5		20090401		12238	2009																																
200905	1	1		1	200908	2																																		5		20090501		1037	2009																																
200906	1	1		1	200901	2																																		5		20090601		1005	2009																																
200907	1	1		1	200909	2																																		5		20090701		12047	2009																																
200908	1	1		1	200910	2																																		5		20090801		12049	2009																																
200909	2	1		1	200913	2																																		5		20090901		1005	2009																																
200910	2	1		1	200914	2																																		5		20091001		12055,12056	2009																																
200911	2	1	1	1	200915	2				19	200915																													5		20091101		12013	2009																																
200912	1	1		1	200916	2																																		5		20091201		12055	2009																																
200913	2	1		1	200917	2																																		5		20091301		12064,12065	2009																																
200914	2	1		1	200919	2																																		5		20091401		12064,12065	2009																																
200915	1	1		1	200920	2																																		5		20091501		12055	2009																																
200932	2	1		1	200908	3																																		5		20093201		1031	2009																																
200933	2	1		1	200908	3																																		5		20093301		1032	2009																																
200934	2	1		1	200908	3																																		5		20093401		1039	2009																																
200935	2	1		1	200904	2																																		5		20093501		12058	2009																																
200936	2	1	1	1	200916	3				1	200917	2																												5		20093601		12055,12056	2009																																
200937	2	1	1	1	200920	3				1	200917	2																												5		20093601		12055,12056	2009																																
200938	1	1		1	200923	2																																		6		20093801		12013	2009																																
200939	2	1		1	200924	2																																		4		20093901		12013	2009																																
200940	1	1		1	200927	2																																		5				12128	2009																																
200941	1	1		1	200929	2																																		5				12129	2009																																
201002	2	1		1	201002	2																																		5		20100201		12013	2010																																
201004	2	1		1	201004	2																																		5		20100401		12013	2010																																
201006	2	1		1	201006	2																																		5		20100601		1037	2010																																
201009	2	1		1	201009	2																																		5		20100901		12070	2010																																
201011	2	1		1	201011	2																																		5		20101101		1037	2010																																
201013	2	1		1	201013	2																																		5		20101301		12146,12147	2010																																
201014	2	1		1	201014	2																																		5		20101401		12098,12061	2010																																
201015	2	1		1	201015	2																																		5		20101501		12098,12061	2010																																
201016	2	1		1	201016	2																																		5		20101601		12098,12061	2010																																
201051	2	1	2	1	201012	2				1	201013	2				1	201007	2				1	201014	2				1	201010	2				1	201008	2				5		20105101		1037	2010																																
201052	2	1	2	1	201012	2				1	201013	2				1	201007	2				1	201014	2				1	201010	2				1	201008	2				5		20105201		12013	2010																																
201053	2	1		1	201007	2																																		5		20105301		12146,12147	2010																																
201101	2	1		1	201101	2																																		5		20110101		2078	2011																																
201103	2	1		1	201103	2																																		5		20110301		1031	2011																																
201107	2	1		1	201107	2																																		5		20110701		1033	2011																																
201201	2	1		1	201201	2																																		5		20120101		3075	2012																																
201202	2	1		1	201202	2																																		5		20120201		3089	2012																																
201203	2	1		1	201203	2																																		5		20120301		3084	2012																																
201204	2	1		1	201204	2																																		5		20120401		12043	2012																																
201205	2	1		1	201205	2																																		5		20120501		1033	2012																																
201206	2	1		1	201206	2																																		5	201210	20120601		12043	2012																																
201209	2	1		1	201209	2																																		5		20120901		12044	2012																																
201210	2	1	1	1	201210	2				19	201201																													5		20121001		12043	2012																																
201211	1	1		1	201211	2																																		5	201216	20120609		12043	2012																																
201212	2	1		1	201212	2																																		5		20121201		12043	2012																																
201213	2	1		1	201213	2																																		5		20121301		12043	2012																																
201214	2	1		1	201214	2																																		5		20121401		12043	2012																																
201215	2	1		1	201215	2																																		5		20121501		1033	2012																																
201216	2	1	1	1	201216	2				19	201202																													5		20121601		12043	2012																																
201217	1	1		1	201217	2																																		5		20120629		12043	2012																																
201291	2	1	2	1	201203	2				1	201204	2																												5		20129101		1033	2012																																
201292	2	1		1	201204	2																																		5		20129201		3084	2012																																
201293	2	1		1	201206	2																																		5		20129301		1033	2012																																
201294	2	1		1	201205	2																																		5		20129401		12043	2012																																
201295	2	1		1	201215	2																																		5		20129501		3083	2012																																
201296	2	1		1	201215	2																																		5		20129601		3084	2012																																
201301	2	1		1	201301	2																																		5		20130101		3069,1005	2013																																
201302	2	1		1	201302	2																																		5		20130201		3085,1005	2013																																
201304	2	1		1	201304	2																																		5		20130401		3016	2013																																
201307	2	1		1	201307	2																																		5		20130701		3086,1005	2013																																
201308	2	1		1	201308	2																																		5		20130801		3086,3016	2013																																
201310	2	1		1	201310	2																																		5		20131001		3086	2013																																
201311	2	1		1	201311	2																																		5		20131101		3093,1005,3085	2013																																
201391	2	1		1	201303	2																																		5		20139101		3085	2013																																
201402	2	1		1	201402	2																																		5		20140501		1005	2014																																
201405	2	1		1	201405	2																																		5		20140501		12071,1005	2014																																
201406	2	1		1	201406	2																																		5		20140601		1037	2014																																
201408	2	1		1	201408	2																																		5		20140801		12072	2014																																
201450	2	1		1	201407	2																																		5		20145001		1037,1039	2014																																
201501	2	1		1	201501	2																																		5		20150101		1037,1039	2015																																
201504	2	1	1	1	201505	2				44	50001	1																												5		20150401		10013	2015																																
201505	2	1	1	1	201505	2				44	50001	0																												5		20150501		10013	2015																																
201552	2	1	2	1	201501	2				1	201502	2																												5		20155201		12072	2015																																
201553	2	1																																						5		20155325		12296	2015																																
201601	2	1		1	201601	2																																		5		20160101		1034	2016																																
201604	2	1		1	201604	2																																		5		20160401		1034	2016																																
201605	2	1		1	201609	2																																		5		20160501		1034	2016																																
201606	2	1		1	201608	2																																		5		20160601		1034	2016																																
201607	2	1		1	201607	2																																		5		20160701		1034	2016																																
201650	2	1		1	201602	2																																		5		20155001		1034	2016																																
201651	2	1		1	201603	2																																		5		20155101		1034	2016																																
201702	2	1		1	201702	2																																		5		20170201		1040,12240	2017																																
201704	2	1		1	201704	2																																		5		20170403		1033	2017																																
201707	2	1		1	201707	2																																		5		20170701		1040	2017																																
201709	2	1		1	201709	2																																		5		20170901		1013	2017																																
201710	2	1		1	201710	2																																		5		20171000		1035	2017																																
201750	2	1	2	1	201710	2				1	201705	2				1	201706	2				1	201707	2				1	201708	2										5		20175001		1033	2017																																
201751	2	1	2	1	201705	2				1	201706	2				1	201707	2																						5		20175101		1035	2017																																
201752	2	1	2	1	201710	2				1	201705	2				1	201706	2				1	201707	2				1	201708	2										5		20175201		1013	2017																																
201753	2	1		1	201711	2																																				20220101		12259,12260,12261,12262,12263,12264,12265,12266,12267	2017																																
201754	2	1		1	201711	2																																				20220201		12259,12260,12261,12262,12263,12264,12265,12266,12267	2017																																
201755	2	1		1	201708	2																																				20170702		1040	2017																																
201756	2	1		1	201708	2																																				20170703		1040	2017																																
201757	2	1		1	201708	2																																				20170706		1040	2017																																
201802	2	1		1	201802	2																																		5		20180201		1038,1034,1005	2018																																
201803	2	1		1	201805	2																																		5		20180301		1038	2018																																
201804	2	1		1	201804	2																																		5		20180403		3053,1038,1005	2018																																
201850	2	1		1	201802	2																																		5		20185001		1033	2018																																
201851	2	1		1	201802	2																																		5		20185101		1013	2018																																
201852	2	1		1	201803	2																																		5		20185201		1034	2018																																
201853	2	1		1	201905	2																																		5		20185301		3053	2019																																
201901	2	1		1	201901	2																																		5		20190101		1017,1005,1036	2019																																
202003	2	1		1	202003	2																																		5		20200301		1036	2020																																
202005	2	1		1	202005	2																																		5		20200501		1034,1036	2020																																
202101	2	1		1	202012	2																																		5		20210101		1005	2020																																
202102	2	1		1	202102	2																																		5	202103	20210201		1034	2021																																
202103		1		1	202102	2																																				20210243		1034	2021																																
202201	1	1		1	202201	2																																		5		20220101		12091,20457,20458,20459,20460	2022																																
202202	1	1		1	202201	2																																		5		20220201		12093,20469,20470,20471	2022																																
202203	1	1		1	202201	2																																		5		20220301		12092,20472,20473,20474	2022																																
202204	1	1		1	202201	2																																		5		20220401		12094	2022																																
202303	1		1	1	202303	2				41	200305	1																												5		20230301		12163	2023																																
202304	1		1	1	202303	2				41	200305	0																												5		20230401		12163	2023																																
202401	2	1		1	202401	2																																				20240101		1034	2024																																
202402	2																																									20240201		20456																																	
300001	2	1		1	300001	2																																		5		30000101		12554	3000																																
300003	2	1		1	300003	2																																		5		30000301		12554	3000																																
300010	2	1		1	300010	2																																		5		30001001		1051	3000																																
300101	2	1		1	300101	2																																		5		30010101		1051	3001																																
300105	2	1		1	300103	2																																		5		30010501		1051	3001																																
300106	2	1	1	1	300105	2				1	300107	3																												5		30010601		1005	3001																																
300107	2	1	1	1	300105	2				41	300107	1																												5		30010701		1005	3001																																
300108	2	1	1	1	300106	2				1	300107	3																												5	300110	30010801		1051	3001																																
300109	2	1	1	1	300106	2				41	300107	1																												5	300110	30010901		1051	3001																																
300110		1		1	300106	2																																		5		30011001		1051	3001																																
300111	2	1		1	300110	2																																		5		30011101		4302	3001																																
300151	2	1	2	1	300104	2				1	300105	2				1	300107	2																						5		30015101		1051	3001																																
300201	2	1		1	300201	2																																		5		30020101		1050	3002																																
300202	2	1		1	300203	2																																		5		30020201		1050	3002																																
300203	2	1		1	300204	2																																		5		30020301		1050	3002																																
300204	2	1		1	300206	2																																		5		30020401		1050	3002																																
300205	2	1		1	300207	2																																		5	300206,300207	30020501		4301	3002																																
300206		1	1	1	300207	2				44	300209	0																												5		30020601		1050	3002																																
300207		1	1	1	300207	2				44	300209	1																												5		30020701		1050	3002																																
300208	2	1	1	1	300208	2				44	300209	0																												5		30020801		1050	3002																																
300209	2	1	1	1	300208	2				44	300209	1																												5		30020901		1050	3002																																
300210	2	1		1	300210	2																																		5		30021001		1050	3002																																
300211	2	1		1	300211	2																																		5		30021101		4301	3002																																
300251	2	1		1	300212	2																																		5		30025101		1050	3002																																
300252	2	1	4	1	300201	3				41	300212	1				1	300212	1				1	300212	2																5		30025201		1051	3002																																
300301	2	1		1	300301	2																																		5		30030101		12554	3003																																
300302	2	1		1	300303	2																																		5		30030201		12554	3003																																
300303	2	1		1	300305	2																																		5		30030301		12560	3003																																
300304	2	1		1	300306	2																																		5	300312,300313	30030401		12554	3003																																
300305	2	1		1	300307	2																																		5		30030501		12587	3003																																
300306	2	1	6	1	300307	2				1	300308	2				19	300308																							5		30030601		12554	3003																																
300307	2	1		1	300309	2																																		5		30030701		12554	3003																																
300308	2	1		1	300310	2																																		5		30030801		1050	3003																																
300309	2	1		1	300311	2																																		5		30030901		1051	3003																																
300310	2	1		1	300304	2																																		5		30031001		1005	3003																																
300311	2	1		1	300313	2																																		5		30031101		12560	3003																																
300312		1	1	1	300306	2				44	300306	1																												5	300314	30031201		12554	3003																																
300313		1	1	1	300306	2				44	300306	0																												5	300314	30031301		12554	3003																																
300314		1		1	300306	2																																		5	300315,300316	30031401		12554	3003																																
300315		1	1	1	300306	2				44	300306	1																												5	300317	30031501		12554	3003																																
300316		1	1	1	300306	2				44	300306	0																												5	300317	30031601		12554	3003																																
300317		1		1	300306	2																																		5		30031701		12554	3003																																
300351	2	1	2	1	300304	2				1	300305	2																												5		30035101		12554	3003																																
300352	2	1		1	300310	2																																		5		30035201		12554	3003																																
300353	2	1		1	300311	2																																		5		30035301		1050	3003																																
300401	2	1		1	300401	2																																		5	300419,300420,300421	30040101		4313	3004																																
300402	2	1		1	300402	2																																		5		30040201		12562	3004																																
300403	2	1		1	300403	2																																		5		30040301		4019	3004																																
300404	2	1		1	300404	2																																		5		30040401		4314	3004																																
300405	2	1		1	300406	2																																		5		30040501		12565	3004																																
300406	2	1		1	300407	2																																		5		30040601		12555	3004																																
300407	2	1		1	300408	2																																		5		30040701		12555	3004																																
300408	2	1		1	300409	2																																		5		30040801		12555	3004																																
300409	2	1		1	300410	2																																		5		30040901		12555	3004																																
300410	2	1		1	300411	2																																		5		30041001		1054	3004																																
300411	2	1		1	300418	2																																		5		30041101		12555,1054	3004																																
300412	2	1		1	300418	2																																		5		30041201		1052	3004																																
300413	2	1		1	300418	2																																		5		30041301		4315	3004																																
300414	2	1		1	300418	2																																		5		30041401		4316	3004																																
300415	2	1		1	300418	2																																		5		30041501		4059	3004																																
300416	2	1		1	300419	2																																		5		30041601		12913	3004																																
300417	2	1		1	300420	2																																		5		30041701		1052	3004																																
300418	2	1		1	300405	2																																		5		30041802		12555	3004																																
300419		1	1	1	300401	2				24	1	0	3004																											5	300420,300421,300422	30041901		4313	3004			8	1	1	3004																										
