鱼群ID,类型,鱼种随机池
10131,2,1:300#1001:100#4:300#1004:100#6:100#1006:100
10132,3,1:300#1001:100#4:300#1004:100#5:100#1005:100
10141,2,1:300#1001:100#4:300#1004:100#6:100#1006:100
10142,3,1:300#1001:100#4:300#1004:100#9:300#1009:100
20011,2,3:300#1003:10#21:200#1021:12#14:300#1014:20#6:100#1006:8
20012,3,3:300#1003:10#21:200#1021:12#8:300#1008:20#5:100#1005:8
20021,2,1:300#1001:10#14:300#1014:20
20022,3,1:300#1001:10#8:300#1008:20
20031,2,1:300#1001:10#3:300#1003:10#6:100#1006:8#17:400#1017:100
20032,3,1:300#1001:10#3:300#1003:10#5:100#1005:8
20041,2,1:300#1001:10#3:300#1003:10#14:300#1014:20#6:100#1006:8
20042,3,1:300#1001:10#3:300#1003:10#8:300#1008:20#5:100#1005:8
20051,2,3:300#1003:10#12:200#1012:12#13:200#1013:12#14:300#1014:20#10:200#1010:15
20052,3,3:300#1003:10#12:200#1012:12#13:200#1013:12#8:300#1008:20
20061,2,1:300#1001:10#6:100#1006:8
20062,3,1:300#1001:10#8:300#1008:20
20071,2,1:300#1001:10#3:300#1003:10#14:300#1014:20
20072,3,1:300#1001:10#3:300#1003:10#5:100#1005:8
20081,2,3:300#1003:10#12:200#1012:12#13:200#1013:12#14:300#1014:20#10:200#1010:15
20082,3,3:300#1003:10#12:200#1012:12#13:200#1013:12#8:300#1008:20
20091,2,3:300#1003:10#12:200#1012:12#13:200#1013:12#14:300#1014:20#10:200#1010:15
20092,3,3:300#1003:10#12:200#1012:12#13:200#1013:12#8:300#1008:20
20101,2,3:300#1003:10#20:200#1020:12#6:100#1006:8
20102,3,3:300#1003:10#20:200#1020:12#8:300#1008:20#5:100#1005:8
20111,2,1:300#1001:10#14:300#1014:20#6:100#1006:8
20112,3,1:300#1001:10#5:100#1005:8
20121,2,1:300#1001:10#21:200#1021:12#14:300#1014:20#10:200#1010:15
20122,3,1:300#1001:10#21:200#1021:12#8:300#1008:20
20131,2,3:300#1003:10#20:200#1020:12#10:200#1010:15#6:100#1006:8
20132,3,3:300#1003:10#20:200#1020:12#5:100#1005:8
30011,2,1:300#1001:10#2:300#1002:10#12:200#1012:12#15:300#1015:20#6:100#1006:8
30012,3,18:400#1018:25
30021,2,2:300#1002:10#15:300#1015:20
30022,3,2:300#1002:10#7:300#1007:20
30031,2,2:300#1002:10#21:200#1021:12#20:200#1020:12#10:200#1010:15
30032,3,2:300#1002:10#21:200#1021:12#20:200#1020:12#7:300#1007:20
30041,2,1:300#1001:10#2:300#1002:10#15:300#1015:20#6:100#1006:8
30042,3,1:300#1001:10#2:300#1002:10#7:300#1007:20#5:100#1005:8
30051,2,2:300#1002:10#12:200#1012:12#13:200#1013:12#15:300#1015:20#10:200#1010:15
30052,3,2:300#1002:10#12:200#1012:12#13:200#1013:12#7:300#1007:20
30061,2,1:300#1001:10#20:200#1020:12#15:300#1015:20#6:100#1006:8
30062,3,1:300#1001:10#20:200#1020:12#5:100#1005:8
30071,2,1:300#1001:10#2:300#1002:10#15:300#1015:20#6:100#1006:8
30072,3,1:300#1001:10#2:300#1002:10#7:300#1007:20#5:100#1005:8
30081,2,1:300#1001:10#21:200#1021:12#15:300#1015:20
30082,3,1:300#1001:10#21:200#1021:12#7:300#1007:20
30091,2,1:300#1001:10#2:300#1002:10#6:100#1006:8
30092,3,1:300#1001:10#2:300#1002:10#5:100#1005:8
30101,2,1:300#1001:10#15:300#1015:20#10:200#1010:15
30102,3,1:300#1001:10#7:300#1007:20
30111,2,22:300#1022:20#23:300#1023:20#15:300#1015:20
30112,3,22:300#1022:20#23:300#1023:20#5:100#1005:8
30121,2,22:300#1022:20#23:300#1023:20#10:200#1010:15
30122,3,22:300#1022:20#23:300#1023:20#5:100#1005:8
30131,2,22:300#1022:20#23:300#1023:20#6:100#1006:8
30132,3,22:300#1022:20#23:300#1023:20#7:300#1007:20
30141,2,1:300#1001:100#2:300#1002:100#21:200#20:200#1020:100#15:300#1015:100#6:100#1006:100
30142,3,1:300#1001:100#2:300#1002:100#21:200#20:200#1020:100#8:300#1008:100#5:100#1005:100
30151,2,1:300#1001:100#2:300#1002:100#21:200#20:200#1020:100#15:300#1015:100
30152,3,1:300#1001:100#2:300#1002:100#21:200#20:200#1020:100#8:300#1008:100#5:100#1005:100
40011,2,28:300#1028:20#29:300#1029:20#25:3200#1025:240
40012,3,28:300#1028:20#29:300#1029:20#27:300#1027:20
40021,2,28:300#1028:20#26:300#1026:20
40022,3,28:300#1028:20#27:300#1027:20#5:100#1005:8
40031,2,29:300#1029:20#24:300#1024:20
40032,3,29:300#1029:20#27:300#1027:20#5:100#1005:8
40041,2,28:300#1028:20#29:300#1029:20#24:300#1024:20#26:300#1026:20#6:100#1006:8
40042,3,28:300#1028:20#29:300#1029:20#27:300#1027:20
40051,2,1:300#1001:10#28:300#1028:20#29:300#1029:20#24:300#1024:20#26:300#1026:20
40052,3,1:300#1001:10#28:300#1028:20#29:300#1029:20#27:300#1027:20
40061,2,28:300#1028:20#29:300#1029:20#24:300#1024:20#26:300#1026:20#10:200#1010:15
40062,3,28:300#1028:20#29:300#1029:20#27:300#1027:20
40071,2,1:300#1001:10#28:300#1028:20#24:300#1024:20#10:200#1010:15
40072,3,1:300#1001:10#28:300#1028:20#27:300#1027:20#5:100#1005:8
40081,2,1:300#1001:10#29:300#1029:20#24:300#1024:20#26:300#1026:20#6:100#1006:8
40082,3,1:300#1001:10#29:300#1029:20#5:100#1005:8
40091,2,1:300#1001:10#28:300#1028:20#29:300#1029:20#24:300#1024:20#26:300#1026:20
40092,3,1:300#1001:10#28:300#1028:20#29:300#1029:20#27:300#1027:20
40101,2,1:300#1001:10#28:300#1028:20#24:300#1024:20#10:200#1010:15
40102,3,1:300#1001:10#28:300#1028:20#5:100#1005:8
40111,2,1:300#1001:10#29:300#1029:20#26:300#1026:20#6:100#1006:8
40112,3,1:300#1001:10#29:300#1029:20#27:300#1027:20
1000011,2,1:100#3:50#13:50#14:300
1000012,3,1:150#3:150#13:50#8:150
1000021,2,1:200#3:200#12:100#6:100
1000022,3,1:200#3:200#12:100#5:100
1000031,2,1:100#4:50#21:50#16:300
1000032,3,1:150#4:150#21:50#9:150
1000041,2,1:200#2:200#20:100#6:100
1000042,3,1:200#2:200#20:100#5:100
1000051,2,15:300#6:100
1000052,3,7:300#5:100#1019:100
1000023,1,3:150
1000043,1,2:150
1000053,3,1019:100
11,1,1:100
21,1,2:100
31,1,3:100
41,1,4:100
51,1,5:100
61,1,6:100
71,1,7:100
81,1,8:100
91,1,9:100
101,1,10:100
111,1,11:100
121,1,12:100
131,1,13:100
141,1,14:100
151,1,15:100
161,1,16:100
171,1,17:100
181,1,18:100
201,1,20:100
211,1,21:100
221,1,22:100
231,1,23:100
241,1,24:100
251,1,25:100
261,1,26:100
271,1,27:100
281,1,28:100
291,1,29:100
13,1,1001:100
23,1,1002:100
33,1,1003:100
43,1,1004:100
53,1,1005:100
63,1,1006:100
73,1,1007:100
83,1,1008:100
93,1,1009:100
103,1,1010:100
113,1,1011:100
123,1,1012:100
133,1,1013:100
143,1,1014:100
153,1,1015:100
163,1,1016:100
173,1,1017:100
183,1,1018:100
193,1,1019:100
203,1,1020:100
213,1,1021:100
223,1,1022:100
233,1,1023:100
243,1,1024:100
253,1,1025:100
263,1,1026:100
273,1,1027:100
283,1,1028:100
293,1,1029:100
