ID	SceneTagName	场景ID	默认是否生效	是否不走loading	条件1类型	条件1参数1	条件1参数2	条件2类型	条件2参数1	条件2参数2
1141	XMSM_YHYD2_02	3								
1142	Combine_Vintage	3								
1143	Titan_before	3	1	1						
1144	Titan_after	3		1						
1145	Combine_TitanO_after	3		1						
1146	VarunaDe_Be	3	1							
1147	BigTree04	20160	1	1						
1148	BigTree04	20161	1	1						
1149	CupGrow_0_2_BaseGrass	3								
1150	BigTree01	46300		1						
1151	BigTree02	46300		1						
1152	BigTree03	46300	1	1						
1153	BigTree04	46300	1	1						
1154	BigTree01	46302		1						
1155	BigTree02	46302		1						
1156	BigTree03	46302	1	1						
1157	BigTree04	46302	1	1						
1158	BigTree01	46303		1						
1159	BigTree02	46303		1						
1160	BigTree03	46303	1	1						
1161	BigTree04	46303	1	1						
1162	TitanO_after	3		1						
1164	XMSM_CWLTop	3		1						
1165	CWL_Trans_01	3	1							
1166	CWL_Trans_02	3								
1167	WorldTree01	20150		1						
1168	Xmsm_AfCs	3	1	1						
1169	XMSM_CWLBlock	3								
1170	XMSM_XST_02	3								
1171	BigTree03	35860	1	1						
1172	BigTree04	35860	1	1						
1173	BigTree03	35861	1	1						
1174	BigTree04	35861	1	1						
1175	BigTree03	35862	1	1						
1176	BigTree04	35862	1	1						
1177	BigTree03	35863	1	1						
1178	BigTree04	35863	1	1						
1179	ScarBoss01	20154	1	1						
1180	ScarBoss02	20154		1						
1181	ScarBoss01	20153	1	1						
1182	ScarBoss02	20153		1						
1183	XMSM_YHYD1_03	3								
1184	XMSM_YHYD2_03	3								
1185	WorldTree01	20164	1	1						
1186	Onion_after	20148		1						
1187	Sprite_Before	3	1							
1188	Sprite_After	3								
1189	Sprite_BaseGrass	3								
1190	XM_RobotA1	3	1	1						
1191	XM_RobotA2	3		1						
1192	XM_RobotAC	3		1						
1193	XM_RobotB1	3		1						
1194	XM_RobotB2	3	1	1						
1195	XM_RobotC1	3		1						
1196	XM_RobotD1	3	1							
1197	XM_RobotD2	3								
1198	XM_RobotD2C	3		1						
1199	XM_LSYJ_01	3	1							
1200	XM_DJLT_01	3		1						
1201	ScarBoss01	20168	1	1						
1202	ScarBoss02	20168		1						
1203	CycleDungeon01	3		1						
1204	DreamClub01	3		1						
1205	Combine_FungusFighter	3								
1206	ScarBoss01	20171	1	1						
1207	ScarBoss02	20171		1						
1208	Combine_BrickBreaker01	3								
1209	JSG_State1	1075	1	1						
1210	JSG_State2	1075		1						
1211	JSG_State3	1075		1						
1212	L_AkashaOpen	20162	1							
1213	L_AkashaOpen	1073	1	1						
1214	L_AkashaClose	1073		1						
1215	BoatTurn	20158		1						
1216	Boat_BaseTerrain	20158	1	1						
1217	Boat_BaseGrass	20158	1	1						
1218	Combine_BoatTurn 	20158	1	1						
1219	XM_RobotB3	3		1						
1220	XM_RobotBake	3								
1221	Combine_DreamClub01	3		1						
1222	XM_LSYJ_-2_5_BaseGrass	3								
1223	SCSK_01	3	1							
1224	SCSK_02	3								
1225	SCSK_SK1_01	3	1							
1226	SCSK_SK1_02	3								
1227	SCSK_SK2_01	3	1							
1228	SCSK_SK2_02	3								
1229	SCSK_SK3_01	3	1							
1230	SCSK_SK3_02	3								
1231	SCSK_SK4_01	3	1							
1232	SCSK_SK4_02	3								
1233	SCSK_SK5_01	3	1							
1234	SCSK_SK5_02	3								
1235	JJZZ_01	3	1							
1236	JJZZ_02	3								
1237	JJZZ_03	3	1							
1238	JJZZ_04	3								
1239	SCCX_01	3	1							
1240	SCCX_02	3								
1241	GLHH_01	3	1							
1242	GLHH_02	3								
1243	SSL_01	3								
1244	JSJS_01	3	1							
1245	JSJS_02	3								
1246	SCSK_BaseTerrain	3	1							
1247	SCSK_BaseGrass	3	1							
1248	Combine_Hdj_Alcor	3								
