ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	[断言条件]1类型	[断言条件]1参数1	[断言条件]1参数2	[断言条件]2类型	[断言条件]2参数1
1118	110	70950095				1						
1119	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1119				1						
1120	111	7005,3,1				1						
1121	111	7006,3,1				1						
1122	111	7007,3,1				1						
1123	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1117				1	1					
1124	111	7008,3,1				1	1					
1125	111	7004,3,1				1						
1126	111	7008,3,1				1						
1127	111	7009,3,1				1						
1128	111	7010,3,1				1						
1129	111	7011,3,1				1						
1130	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1130				1						
1131	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1131				1						
1132	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1132				1						
1133	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1133				1						
1134	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1134				1						
1135	706	72168				1	1					
1136	111	7012,3,1				1						
1137	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1137				1						
1138	700	7104409				1						
1139	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1139				1						
1140	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1140				1						
1141	1	LevelAbility_Combat_Watcher:Watcher_AbyssalPalace_Gadget_1141				1						
1142	111	7013,3,1				1						
1143	111	7014,3,1				1	1					
1144	700	7309802				1						
2009	6	20010901				1						
2015	6	20011501				1						
2016	6	20020101				1						
2019	6	21010301				1						
2027	6	21020101				1						
2032	6	22010101				1						
2033	6	22010201				1						
2034	6	22010301				1						
2035	6	24010101				1						
2036	6	20040101				1						
2039	6	24010201				1						
2042	6	21011201				1						
2043	6	21020301				1						
2044	6	20040201				1						
2045	6	20040301				1						
2046	6	21030401				1						
2047	6	23010101				1						
2048	6	23010201				1						
2049	6	23010301				1						
2050	6	23010401				1						
2051	6	23010501				1						
2052	6	23010601				1						
2053	6	26020101				1						
2054	6	26020201				1						
2055	6	26030101				1						
2056	6	20050101				1						
2057	6	21020601				1						
2058	6	24010301				1						
2059	6	26040101,26040102,26040103,26040104				1						
2060	6	26050101,26050201,26050301,26050401				1						
2061	6	22020101,22020102				1						
2062	6	22030101,22030102				1						
2063	6	20040501				1						
2064	6	23050101				1						
2065	6	20040601				1						
2066	6	24021101				1						
2067	6	20040401				1						
2068	6	20070101				1						
2069	6	20060101				1						
2070	6	20060201				1						
2071	6	20060301				1						
2072	6	22040101				1						
2073	6	22040201				1						
2074	6	22050101				1						
2075	6	22050201				1						
2076	6	22060101				1						
2077	6	20060401				1						
2078	6	20060501				1						
2079	6	20060601				1						
2080	6	26050601,26050901				1						
2081	6	26050701,26051001,26050702				1						
2082	6	26050801,26051101,26050802				1						
2083	6	22030201,22030202				1						
2084	6	22070101,22070102				1						
2085	6	22070201,22070202				1						
2086	6	22070301,22070302				1						
2087	6	24010401				1						
2088	6	22080101				1						
2089	6	20060701				1						
2090	6	26090201,26090301,26090401,26090501,26090601,26090701,26090801,26090901,26091001,26120101,26120201,26120301,26120401				1						
2091	6	26110101				1						
2092	6	24030201				1						
2093	6	24030101				1						
2094	6	25310101				1						
2095	6	25310201				1						
2096	6	25310301				1						
2097	6	26020301				1						
2098	6	24030301				1						
2099	6	24040101,24040201,24040301				1						
2100	6	24050101				1						
2101	6	25410101				1						
2102	6	25410201				1						
2103	6	20040701				1						
3001	102	1				1						
3002	102	2				1						
3003	102	3				1						
3004	102	4				1						
3005	102	5				1						
3006	102	6				1						
3007	102	7				1						
3008	102	8				1						
3009	103	48				1						
3010	9	2				1		1	35311			
3011	202	60				1						
3012	102	5				1						
3101	701	7165403,7165408,7165411				1						
3102	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312				1						
3103	701	7066103				1						
3104	701	7066106,7066109				1						
3105	701	7066108,7066109				1						
4001	8	1028				1						
4002	8	1029				1						
4003	8	1027				1						
4004	8	1026				1						
5001	502	106				1						
5002	202	8				1						
7001	212	220008				1						
7002	212	220005				1						
7003	212	220004				1						
7004	935					1						
7005	212	220021				1						
7006	212	220043				1						
7007	212	223001;223002;223003;223004;223005;223006;223007;223008;223009;223010;223011;223012				1						
7008	212	220048				1						
7009	212	220065				1						
8001	11					1						
9001	701	7300309				1						
9002	701	1200010				1						
9003	701	1200108				1						
9004	701	7307301				1						
9005	701	7306905				1						
9006	701	7307407				1						
9007	701	7307011				1						
9008	701	7301822				1						
9009	701	7306904				1						
9010	701	7307402				1						
9011	701	7307005				1						
9012	701	7306126				1						
9013	126	3	547			1						
9014	126	3	548			1						
9015	126	3	549			1						
9016	126	3	546			1						
9017	126	3	653			1						
9018	126	3	671			1						
9019	126	3	551			1						
9020	126	3	550			1						
9021	126	3	544			1						
9022	126	3	674			1						
9023	126	3	558			1						
9024	126	3	539			1						
9025	126	3	552			1						
9026	126	3	542			1						
9027	701	7305227				1						
9028	701	7305310				1						
9029	701	7305403				1						
9030	701	7305430				1						
9031	701	7305436				1						
9032	701	7308321				1						
9033	701	7308302				1						
9034	701	7308304				1						
9035	701	7308301				1						
9036	701	7308301				1						
9037	701	7308301				1						
9038	701	7308316				1						
9039	111	5010,3,1				1						
9040	111	5011,3,1				1						
9041	111	5012,3,1				1						
9042	111	5013,3,1				1						
9043	111	5014,3,1				1						
9044	111	5015,3,1				1						
9045	111	5016,3,1				1						
9046	111	5017,3,1				1						
9047	111	5018,3,1				1						
9048	111	5019,3,1				1						
9049	111	5020,3,1				1						
9050	111	5021,3,1				1						
9051	111	5022,3,1				1						
9052	111	5023,3,1				1						
9053	111	5024,3,1				1						
9054	111	5025,3,1				1						
9055	111	5026,3,1				1						
9056	111	5027,3,1				1						
9057	111	5028,3,1				1						
9058	111	5029,3,1				1						
10001	111	7018,3,1				1						
10002	701	7307301				1						
10003	701	7306906				1						
10004	701	7307403				1						
10005	701	7307006				1						
10006	701	7301822				1						
10007	111	7019,3,1				1						
10008	701	7302516				1						
10009	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_DendroSeed				1						
10010	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_Manara				1						
10011	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_ManaraDanger				1						
10012	111	7014,3,1				1						
10013	701	7302603				1						
10014	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_GrapplingHook				1						
10015	14	70330229	5			1						
10016	14	70330197	5			1						
10017	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_Invisible				1						
10018	14	70330200	5			1						
10019	14	70290422	10			1						
10020	111	7015,3,1				1						
10021	111	7016,3,1				1						
10022	111	7017,3,1				1						
10023	111	7020,3,1				1						
10024	212	101226;101227				1						
10025	701	7306644				1						
10026	701	7306126				1						
10027	14	70330244	5			1						
10028	14	70330283	10			1						
10029	14	70330282	10			1						
10030	14	70330280	10			1						
10031	111	7021,3,1				1						
10032	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_TransparencyGenerator				1						
10033	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_TransparencyWattle				1						
10034	1	LevelAbility_Combat_Watcher:Watcher_Sumeru_Gadget_Engineer				1						
10035	14	70330288	5			1						
10036	111	7022,3,1				1						
10037	111	7023,3,1				1						
10038	14	70330266	5			1	1					
10039	14	70330265	5			1	1					
10040	111	7024,3,1				1						
10041	14	70330263	10			1						
10042	111	7025,3,1				1						
10043	701	7308416				1						
10044	111	7026,3,1				1						
10045	701	7305227				1						
10046	701	7305415				1						
10049	15	70330266,70330430	5			1						
