CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数	生效一次
2001302	1		1	12	3	4	4111213	13	15					9	2	6	302001004	1	216	3	4113005,4112310,4112401			2	216									
2001303	1		1	12	8	4	4111309	13	15					9	3	11	2	3	4113115,4112701,4112601					12	2									
2001304	1			12	15									14		12	2	4	41111,41112,41113,41114,41120,41122,41123,41124,41126,41127,41130,41131,41135	5	302001001,302001002,302001003,302001041,302001042,302001043,302001006,302001009,302001010,302001011,302001018,302001019,302001144,302001901,302001902,302001903,302001904													
2001400	1					11	1200101							5	302001005																			
2001401	1					11	1200102							5	302001012																			
2001402	1					11	1200103							5	302001013																			
2001403	1					11	1200104							5	302001007																			
2001404	1					11	1200105							5	302001014																			
2001405	1					11	1200106							5	302001015																			
50060101	1		1	12	1	14	20	13	2					3	4112104,4114104,4114204									4	41121,41141,41142									
50060102	1		1	12	2	14	20	13	3					3	4114304,4114404,4114504									4	41143,41144,41145									
50060103	1		1	12	3	14	20	13	4					3	4114604,4114704,4114804									4	41146,41147,41148									
50060104	1		1	12	4	14	20	13	5					3	4114904,4115004,4115104									4	41149,41150,41151									
50060105	1		1	12	5	14	20	13	6					3	4115204,4115304,4115404									4	41152,41153,41154									
50060106	1		1	12	6	14	20	13	7					3	4115504,4115604,4115704									4	41155,41156,41157									
50060107	1		1	12	7	14	20	13	8					3	4115804,4115904,4116004									4	41158,41159,41160									
50070101	1		1	12	1									17	133104761									18	133104761									
50070102	1		1	12	2									17	133103577									18	133103577									
50070103	1		1	12	3									17	133001435									18	133001435									
50070104	1		1	12	4									17	133104029									18	133104029									
50070105	1		1	12	5									17	133107134									18	133107134									
50070106	1		1	12	6									17	133101214									18	133101214									
50070107	1		1	12	7									17	133004365									18	133004365									
50070108	1		1	12	1	14	20							6	305007001	3	4117001							4	41170									
3001001	1		1	12	1			13	15					3	1104001																			
3001002	1		1	12	1	4	1104505	13	15					3	4121001	19	1																	
3001003	1		1	12	4	4	4121008	13	15					3	4121101																			
3001004	1		1	12	7	4	4121112	13	15					3	4121201																			
3001005	1		1	12	10	4	4121215	13	15					3	4121301																			
3001006	1		1	12	15			13	21					3	4121401									4	41214									
3001101	1		1	12	1	4	4121008							15	1																			
3001102	1		1	12	4	4	4121112							15	2																			
3001103	1		1	12	7	4	4121215							15	3																			
3001104	1		1	12	10	4	4121314							15	4																			
3001105	1		1	12	15									16		20	1	4	41210,41211,41212,41213,41215	12	3			16		20	1	4	41210,41211,41212,41213,41215	12	3			
3001201	1		1	12	4	4	4121112																											
3001202	1		1	12	7	4	4121215																											
3001203	1		1	12	10	4	4121314	15	3					11	3									12	3									
3001204	1		1	12	10	4	4121314							10	3																			
50110101	1		1	12	1	14	20	13	11					3	7065201	17	133102911							4	70652									
50110102	1		1	12	11	13	15							17	133102911									18	133102911									
50140101	1		1	12	1	14	20	13	16					1	223,3									2	223,3									
50140102	1		1	12	16									2	223,3																			
50160101	1			4	4140101									25																				
50160102	1			12	8									26										2	238									
50160103	1			14	20	13	8							3	4140101	1	238							4	41401									
50160104	1			14	20									17	133107143									2	238									
2002101	1	1	1	12	1	4	1110311	13	19					6	302002901,302002902	3	4131101,4135714							5	302002901,302002902	4	41311,40000,41357							
2002102	1		1	12	5	4	1110311	13	19							3	4131201									4	41312							
2002103	1		1	12	9	4	1110311	13	19							3	4131301									4	41313							
2002104	1	1	1	4	4131115	13	19																											
2002105	1	1	1	4	4131229	13	19																											
2002106	1	1	1	4	4131312	13	19																											
2002107	1		1	4	4131115	13	19							1	259									2	259									
2002108	1		1	4	4131115	13	19							3	4000001									4	40000									
2002150	1		1	4	4133408	13	19							17	133104136									18	133104136									
2002151	1		1	4	4133409	13	19							17	133104139									18	133104139									
2002152	1		1	4	4134103	13	19							17	133102918									18	133102918									
2002153	1		1	4	7181805	13	19							17	133102920									18	133102920									
2002154	1		1	4	7182011	13	19							17	133104922									18	133104922									
2002155	1		1	4	7182010	13	19							17	133104923									18	133104923									
2002156	0													17	133107153									18	133107153									
2002157	0													17	133107163									18	133107163									
2002158	0													17	133101248,133102091,133102103,133002471									18	133101248,133102091,133102103,133002471									
2002159	0													17	133107164									18	133107164									
2002160	0													17	133103644,133104125,133104128,133104132,133104134,133103643									18	133103644,133104125,133104128,133104132,133104134,133103643									
2002161	0													17	133107165									18	133107165									
2002162	0													17	133106404,133108176,133107162									18	133106404,133108176,133107162									
2002163	1		1	12	1	4	1110311	13	19					17	133107168									18	133107168									
2002164	1	1		17	3																													
2002165	1	1		12	19									22																				
2002166	1	1	1	12	1	13	19																											
2002167	1		1	4	7182203	13	19							17	133107950									18	133107950									
2002168	0													17	133104920									18	133104920									
50170101	1		1	12	1	14	20	13	8					3	7065301									4	70653									
50170102	1		1	12	8	13	11							3	7165101									4	71651									
50170103	1			12	8									31																				
2002201	1	1	1	12	1	4	4131115	13	19					21	1																			
2002202	1	1	1	12	5	4	4131222	16	1000	13	19			21	2																			
2002203	1	1	1	12	9	4	4131312	16	2000	13	19			21	3																			
2002301	1	1	1	17	1	18	1	12	1	13	19			30	1																			
2002302	1	1	1	17	1	18	1	12	2	13	19			30	2																			
2002303	1	1	1	17	1	18	1	12	3	13	19			30	3																			
2002304	1	1	1	17	2	18	1	12	5	13	19			30	4																			
2002305	1	1	1	17	2	18	1	12	7	13	19			30	5																			
2002306	1	1	1	17	3	18	1	12	9	13	19			30	6																			
2002400	1	1	1	12	1	4	4131115	13	19					3	7181910									4	71819									
2002401	1	1	1	12	5	4	4133508,4134209,4135710,4133813,4133216,4133309,4134307,4133609,4134107,4131222	16	1000	13	19			3	7182023									4	71820									
2002402	1	1	1	12	9	4	4135807,7182110,4133710,4134013,7181719,4133422,7181608,7182206,7182413,4131312	16	2000	13	19			3	7181519									4	71815,71825,71826,71827,71828									
2002500	1	1	1	12	1	4	7181909	13	19					3	4133509,4134208,4135715									4	41335,41342,41357									
2002501	1	1	1	12	1	4	7181909	13	19					3	4133814,4133217									4	41338,41332									
2002502	1	1	1	12	1	4	7181909	13	19					3	4133318,4134308									4	41333,41343									
2002503	1	1	1	12	1	4	7181909	13	19					3	4133610,4134108									4	41336,41341									
2002504	1	1	1	12	5	4	7182021	13	19					3	7182112,7182415,4135813									4	71824,71821,41358									
2002505	1	1	1	12	5	4	7182021	13	19					3	4133711,4134014									4	41337,41340									
2002506	1	1	1	12	5	4	7182021	13	19					3	7181720,4133426									4	41334,71817									
2002507	1	1	1	12	5	4	7182021	13	19					3	7181609,7182208									4	71816,71822									
2002508	1	1	1	12	9	4	7181517	13	19					3	4133126,7182311,7181811,7103313,4135913									4	41331,71823,71818,71033,41359,71034									
2002601	1	1	1	12	1	4	4000001	13	19					28	1									29	1									
2003000	1	1		12	1	13	18	4	39604					6	302003001	17	133003791	38	1008	1	268	19	2	5	302003001	4	70654	39	1008	2	268	20	2	
2003001	1	1		12	1	4	39604	13	18					3	4141001											4	41410	18	133003791					
2003002	1	1		12	4	4	4141016	13	18					3	4141115											4	41411							
2003003	1	1		12	7	4	4141113	13	18					3	4141201											4	41412							
2003004	1	1		12	10	4	4141216	13	18					3	4141301									27	133004927,1	4	41413							
2003005	1	1		4	4141016	13	18							17	133004929									18	133004929									
2003101	1	1		12	1	4	4141016	13	18					3	7000301,7000701											4	70003,70007							
2003102	1	1		12	4	4	4141016	13	18					3	7080001,7000801											4	70800,70008							
2003103	1	1		12	7	4	4141016	13	18					3	7000110,7001001											4	70001,70010							
2003104	1	1		12	10	4	4141016	13	18					3	7000901,7000010											4	70009,70000							
2003105	1	1		12	1	4	4141016	13	18					3	7065701											4	70657							
2003106	1	1		12	1	4	4141016	13	18					3	7065401											4	70654							
2003107	1	1		12	1	4	4141016	13	18					3	7065801											4	70658							
2003108	1	1		12	1	4	4141016	13	18					3	7065601											4	70656							
2003201	1	1		12	1	4	7065701	13	18					17	133003795	32	1001							18	133003795									
2003202	1	1		12	4	4	7065701	13	18					17	133003796	32	1002							18	133003796									
2003203	1	1		12	7	4	7065701	13	18					17	133002493	32	1003							18	133002493									
2003204	1	1		12	10	4	7065701	13	18					17	133004475	32	1004							18	133004475									
2003205	1	1		12	1	4	7065401	13	18					17	133001601	32	2001							18	133001601									
2003206	1	1		12	4	4	7065401	13	18					17	133001602	32	2002							18	133001602									
2003207	1	1		12	7	4	7065401	13	18					17	133004477	32	2003							18	133004477									
2003208	1	1		12	10	4	7065401	13	18					17	133004476	32	2004							18	133004476									
2003209	1	1		12	1	4	7065801	13	18							32	3001																	
2003210	1	1		12	4	4	7065801	13	18							32	3002																	
2003211	1	1		12	7	4	7065801	13	18							32	3003																	
2003212	1	1		12	10	4	7065801	13	18							32	3004																	
2003301	1	1		12	1	4	7065601	13	18							34	1																	
2003302	1	1		12	4	4	7065601	13	18							34	2																	
2003303	1	1		12	7	4	7065601	13	18							34	3																	
2003304	1	1		12	10	4	7065601	13	18							34	4																	
2003401	1	1		12	1	4	7065601	13	18					37		1	265							2	265									
2003402	1	1		12	18									33		20	2	2	265					18	133001601,133001602,133004477,133004476,133003795,133003796,133002493,133004475,133003791	39	1008	33		20	2			
6003001	1			12	1									17	133004925									18	133004925									
5019001	1		1	12	1	4	7065503							17	133001575,133001576	1	267							18	133001575,133001576	2	267							
5019002	1		1	12	2	4	7065503							17	133001577									18	133001577									
5019003	1		1	12	3	4	7065503							17	133001582,133001583,133001584									18	133001582,133001583,133001584									
5019004	1		1	12	4	4	7065503							17	133001578									18	133001578									
5019005	1		1	12	5	4	7065503							17	133001579									18	133001579									
5019006	1		1	12	6	4	7065503							17	133001581									18	133001581									
5019007	1		1	12	7	4	7065503							17	133001580									18	133001580									
5019008	1		1	12	1	14	20							3	7065501									4	70655									
5019009	1		1	12	11																													
5020001	1		1	12	1									10	4	3	4142101							4	41421	12	4	36	1001					
5020002	1		1	12	1	4	4142108							35	1001																			
5020003	1		1	12	1	19	1001,10010101							3	4142111																			
5020004	1		1	12	2																													
5020005	1		1	12	3																													
5020006	1		1	12	4																													
5020007	1		1	12	5																													
5020008	1		1	12	5	20	1001	4	4142110					3	4142205									4	41422									
5020009	1		1	12	5	21								3	4142206									4	41422									
5020010	1		1	12	1	4	4142110	15	4					11	4																			
5023001	1		1	12	1									17	133004479	1	273							4	70659	18	133004479	2	273					
5023002	1		1	12	1	4	7065901							51										52										
5023012	1		1	12	1									3	7066001,7066005									4	70660									
5023013	1		1	12	1	4	7066004							51		93	1001011,1001012,1001013,1001009,1001006,1001015,1001019,1001026							52										
5023010	1		1	12	1	13	2							40	5023001																			
5023003	1		1	12	2	13	3							40	5023002																			
5023004	1		1	12	3	13	4							40	5023003																			
5023005	1		1	12	4	13	5							40	5023004																			
5023006	1		1	12	5	13	6							40	5023005																			
5023007	1		1	12	6	13	7							40	5023006																			
5023008	1		1	12	7									40	5023007																			
5023009	1		1	12	7									47	15																			
5022001	1		1	12	1									46	1,2																			
5022002	1		1	12	3									46	3,4																			
5022003	1		1	12	5									46	5,6																			
5022004	1		1	12	7									47	18																			
2005000	1		1	12	1	13	21	4	39604	4	1020204			19	3									20	3	18	144002059,144002060,144003014,144003015,144003016,144003032							
2005001	1		1	12	1	13	21	4	39604	4	1020204			3	4001001									4	40010									
2005002	1		1	12	4	13	21	4	4001025					3	4001112									4	40011									
2005003	1		1	12	7	13	21	4	4001111					3	4001205									4	40012									
2005004	1		1	12	10	13	21	4	4001217					3	4001308									4	40013									
2005005	0													17	144002059									18	144002059									
2005006	0													17	144002060									18	144002060									
2005007	0													17	144003014									18	144003014									
2005008	0													17	144003015									18	144003015									
2005009	1		1	13	21	4	4001309							17	144003016									18	144003016									
2005010	0													17	144003032									18	144003032									
2005011	1		1	12	1	13	21	4	4001025							53	1																	
2005021	1	1	1	12	4	13	21	4	4001111					17	144001108,144001185	53	2							18	144001108,144001185									
2005022	1	1	1	12	5	13	21	4	4001111					17	144004063									18	144004063									
2005023	1	1	1	12	6	13	21	4	4001111					17	144001127									18	144001127									
2005024	1	1	1	12	7	13	21	4	4001111					17	144004065									18	144004065									
2005025	1	1	1	12	8	13	21	4	4001111					17	144001130									18	144001130									
2005026	1	1	1	12	9	13	21	4	4001111					17	144002049									18	144002049									
2005031	1		1	12	7	13	21	4	4001217							53	3																	
2005041	1		1	12	10	13	21	4	4001309					1	27,4	53	4							2	27,4									
2005015	1		1	12	21									54																				
2005051	1		1	12	1	13	21	4	39604	4	1020204			17	144004071,144004072,144004073,144004074,144004075,144004076,144002071,144002072,144002074,144002075,144001132,144001133,144001134,144001135,144001136,144001137,144001138,144003034,144003035,144003036,144003037,144003038,144003039,144003040,144003041,144003042,144003043,144003044,144003045,144003046,144002093,144001042,144003059,144004098,144004070,144004069,144004068,144004067,144003047,144004120,144004121,144004122,144004123,144004124,144004125,144004126,144004127,144004128,144001189,144001139,144001140,144003061,144003062,144003063,144003064,144003065,144003066,144003067,144002073,144002076,144002070,144001126,144003033	3	7900901							18	144004071,144004072,144004073,144004074,144004075,144004076,144002071,144002072,144002074,144002075,144001132,144001133,144001134,144001135,144001136,144001137,144001138,144003034,144003035,144003036,144003037,144003038,144003039,144003040,144003041,144003042,144003043,144003044,144003045,144003046,144002093,144001042,144003059,144004098,144004070,144004069,144004068,144004067,144003047,144004120,144004121,144004122,144004123,144004124,144004125,144004126,144004127,144004128,144001189,144001139,144001140,144003061,144003062,144003063,144003064,144003065,144003066,144003067,144002073,144002076,144002070,144001126,144003033	66		4	79009					
2005052	1		1	12	1	13	21	27	4,8,9,10					18	144004071,144004072,144004073,144004074,144004075,144004076,144002071,144002072,144002074,144002075,144001132,144001133,144001134,144001135,144001136,144001137,144001138,144003034,144003035,144003036,144003037,144003038,144003039,144003040,144003041,144003042,144003043,144003044,144003045,144003046,144002093,144001042,144003059,144004098,144004070,144004069,144004068,144004067,144003047,144004120,144004121,144004122,144004123,144004124,144004125,144004126,144004127,144004128,144001189,144001139,144001140,144003061,144003062,144003063,144003064,144003065,144003066,144003067,144002073,144002076,144002070,144001126,144003033	59	2005051,否	66		4	79009													
2005053	1		1	12	1	13	21	27	4,8					18	144002070																			
2005054	1		1	12	1	13	21	27	4,9					18	144001126																			
2005055	1		1	12	1	13	21	27	4,10					18	144003033																			
2005016	1		1	12	18	13	21							47	25																			
5024001	1		1	12	1	14	20	13	11					3	7002401									4	70024									
5024002	1		1	12	11	13	13							3	7002501									4	70025									
5024003	1			12	11									43		4	70006,70011,70012,70013,70014,70015,70016,70017,70018,70019,70020,70021,70022,70023																	
5024004	1		1	12	1	4	7002404	13	11	22	0			3	7000601																			
5024005	1		1	12	1	4	7000603	13	11	22	0			3	7002001																			
5024006	1		1	12	2	4	7002003	13	11	22	1			3	7001701																			
5024011	1		1	12	2	4	7001704	13	11	22	1			3	7001301																			
5024008	1		1	12	3	4	7001303	13	11	22	2			3	7001101																			
5024009	1		1	12	3	4	7001103	13	11	22	2			3	7001901																			
5024010	1		1	12	4	4	7001903	13	11	22	3			3	7001801																			
5024007	1		1	12	4	4	7001803	13	11	22	3			3	7001501																			
5024012	1		1	12	5	4	7001503	13	11	22	4			3	7001601																			
5024013	1		1	12	5	4	7001603	13	11	22	4			3	7002301																			
5024014	1		1	12	6	4	7002303	13	11	22	5			3	7001201																			
5024015	1		1	12	6	4	7001203	13	11	22	5			3	7002201																			
5024016	1		1	12	7	4	7002203	13	11	22	6			3	7002101																			
5024017	1		1	12	7	4	7002103	13	11	22	6			3	7001401																			
5024018	1		1	12	1	4	7002003	13	11	22	0			17	133001603									18	133001603									
5024019	1		1	12	2	4	7001303	13	11	22	1			17	133107170									18	133107170									
5024020	1		1	12	3	4	7001903	13	11	22	2			17	133003797									18	133003797									
5024021	1		1	12	4	4	7001503	13	11	22	3			17	133102120									18	133102120									
5024022	1		1	12	5	4	7002303	13	11	22	4			17	133103654									18	133103654									
5024023	1		1	12	6	4	7002203	13	11	22	5			17	133001604									18	133001604									
5024024	1		1	12	7	4	7001403	13	11	22	6			17	133104173									18	133104173									
5024025	1		1	12	1	13	11	23	7					17	133002001									18	133002001									
5024026	1		1	12	7	13	11							47	16																			
2004001	1	1	1	12	1	13	18							3	7165201	17	133102121	1	286					4	71652	18	133102121	2	286					
2004002	1		1	12	1	13	18	4	7165201					41	1									42	1									
2004003	1		1	12	4	13	18	4	7165201					41	2									42	2									
2004004	1		1	12	7	13	18	4	7165201					41	3									42	3									
2004005	1	1	1	12	1	13	18	25						48		1	280							49		2	280							
2004006	1		1	12	1	13	18	24	1					50	1	2	278																	
2004007	1		1	12	4	13	18	24	2					50	2	2	274																	
2004008	1		1	12	7	13	18	24	3					50	3	2	276																	
2004009	1		1	12	10	13	18	24	1,2,3					50	4																			
2004010	1		1	12	14	13	18							47	17																			
2004011	1		1	12	1	13	18	4	7165203					1	278									2	278									
2004012	1		1	12	4	13	18	4	7165203					1	274									2	274									
2004013	1		1	12	7	13	18	4	7165203					1	276									2	276									
2004014	1	1	1	12	1																													
5030001	1		1	12	1	13	11							17	144001107									18	144001107									
5030002	1		1	12	2	13	11							17	144002066									18	144002066									
5030003	1		1	12	3	13	11							17	144004004									18	144004004									
5030004	1		1	12	4	13	11							17	144003031									18	144003031									
5030005	1		1	12	5	13	11							17	144002067									18	144002067									
5030006	1		1	12	6	13	11							17	144001064									18	144001064									
5030007	1		1	12	7	13	11							17	144004008									18	144004008									
5030008	1		1	12	7	13	11							47	23																			
50310101	1		1	12	1	14	20	13	15					1	294,3									2	294,3									
50310102	1		1	12	14									2	294,3																			
50310103	1		1	12	11	13	360							47	26																			
5033001	1		1	12	1	13	45							57	4,108									58	4,108									
5033002	0		2	12	21	4	4001103							57	4,109	59	5033001,否							58	4,109									
5033003	1		1	12	1	13	45							17	144001050,144001052,144001094,144001095,144001061									18	144001050,144001052,144001094,144001095,144001061									
5033004	0		2	12	21	4	4001103							17	144001049,144001053,144001055,144001056,144001057,144001059,144001060,144001062,144001063,144001080,144001081,144001082,144001083,144001084,144001089,144001090,144001091,144001092,144001093,144001096,144001097,144001098,144002002									18	144001049,144001053,144001055,144001056,144001057,144001059,144001060,144001062,144001063,144001080,144001081,144001082,144001083,144001084,144001089,144001090,144001091,144001092,144001093,144001096,144001097,144001098,144002002									
5033005	0		2	12	21	4	4001217							17	144001085,144001086,144001087,144001088									18	144001085,144001086,144001087,144001088									
5033006	0		2	12	21	4	4001103							3	7900010									4	79000									
5033007	0		2	12	21	4	4001103							3	7900314	17	144002006,144002007,144002008,144002009,144002011,144002050,144002051,144002105,144002106,144002107							4	79003	18	144002006,144002007,144002008,144002009,144002011,144002050,144002051,144002105,144002106,144002107							
5033008	0		2	12	21	4	4001103							3	7900201									4	79002									
5033009	0		2	12	21	4	4001103							3	7900109									4	79001									
5033010	0		2	12	21	4	4001103							3	7900601									4	79006									
5033011	0		2	12	21	4	4001103							3	7900401									4	79004									
5033012	0		2	12	21	4	4001103							3	7900506									4	79005									
5033013	1		1	12	1	13	45																											
5033014	0		2	12	21	4	4001103							17	144001002,144001011,144001013,144001029,144001030,144001031,144001033,144001034,144001035,144001036,144001037,144001038,144001039,144001040,144001041,144001043,144001044,144001046,144001047,144001048,144001051,144001065,144001066,144001068,144001069,144001070,144001071,144001072,144001075,144001076,144001099,144001101,144001109,144001110,144001120,144001121,144001122,144001123,144001124,144001125,144001128,144001129,144001142,144001144,144001145,144001147,144001148,144001150,144001151,144001158,144001159,144001164,144001165,144001166,144001167,144001168,144001169,144001007,144001006,144001008,144001003,144001001,144001005,144001004,144001014,144001024,144001023,144001022,144001025,144001028,144001027,144001017,144001016,144001015,144001018,144001019,144001020,144001021,144001170,144001171,144001172,144001176,144001179,144001180,144001188,144001190,144001191,144001187,144001183,144001184,144001186,144001177,144001178,144001175,144001111,144004053,144001118,144001182,144001192,144001100,144001116,144001114,144001193,144001113,144001115,144001199,144001191	59	5033013,否							18	144001002,144001011,144001013,144001029,144001030,144001031,144001033,144001034,144001035,144001036,144001037,144001038,144001039,144001040,144001041,144001043,144001044,144001046,144001047,144001048,144001051,144001065,144001066,144001068,144001069,144001070,144001071,144001072,144001075,144001076,144001099,144001101,144001109,144001110,144001120,144001121,144001122,144001123,144001124,144001125,144001128,144001129,144001142,144001144,144001145,144001147,144001148,144001150,144001151,144001158,144001159,144001164,144001165,144001166,144001167,144001168,144001169,144001007,144001006,144001008,144001003,144001001,144001005,144001004,144001014,144001024,144001023,144001022,144001025,144001028,144001027,144001017,144001016,144001015,144001018,144001019,144001020,144001021,144001170,144001171,144001172,144001176,144001179,144001180,144001188,144001190,144001191,144001187,144001183,144001184,144001186,144001177,144001178,144001175,144001111,144004053,144001118,144001182,144001192,144001100,144001116,144001114,144001193,144001113,144001115,144001199,144001191									
5033015	1		1	12	1	13	45																											
5033016	0		2	12	21	4	4001103							17	144004006,144004040,144004041,144004042,144004043,144004054,144004089,144004090,144004091,144004092,144004093,144004094,144004095,144004096,144004097,144004099,144004100,144004101,144004102,144001001,144001003,144001004,144001005,144001006,144001007,144001008,144001014,144001149,144002005,144005001,144004010,144004019,144004021,144004022,144004023,144004024,144004031,144004032,144004033,144004034,144004109,144002061,144004132,144004133,144002101,144002054,144002102,144002103,144002104	59	5033015,否							18	144004006,144004040,144004041,144004042,144004043,144004054,144004089,144004090,144004091,144004092,144004093,144004094,144004095,144004096,144004097,144004099,144004100,144004101,144004102,144001001,144001003,144001004,144001005,144001006,144001007,144001008,144001014,144001149,144002005,144005001,144004010,144004019,144004021,144004022,144004023,144004024,144004031,144004032,144004033,144004034,144004109,144002061,144004132,144004133,144002101,144002054,144002102,144002103,144002104									
5033017	1		1	12	1	13	45																											
5033018	0		2	12	21	4	4001103							17	144003007,144002038,144002046,144005004,144005003,144002014,144004007,144002012,144002015,144001010,144002013,144004012,144004014,144004046,144002001,144002003,144002027,144002030,144002031,144002032,144002033,144004049,144004050,144002053,144002055,144004015,144002069,144002041,144003048,144002079,144002080,144002068,144004079,144004081,144002081,144002078,144003054,144003055,144003056,144003057,144002040,144002085,144002086,144002087,144002088,144004020,144002042,144002089,144004009,144002090,144003053,144004026,144004061,144004062,144004080,144004039,144004045,144002056,144002058,144002043,144004011,144004018,144004047,144002052,144001058,144001157,144002045,144002048,144002057,144002035,144004048,144004064,144003058,144004066,144005002,144004005,144004103,144003002,144003003,144003004,144002016,144002017,144002018,144002019,144002020,144002021,144002022,144002023,144002024,144002025,144002026,144002039,144004104,144002097,144004129,144004131,144004016,144004030,144002034,144004044,144004055,144004056,144002036,144004060,144002063,144002044,144002098,144002099,144003019	59	5033017,否							18	144003007,144002038,144002046,144005004,144005003,144002014,144004007,144002012,144002015,144001010,144002013,144004012,144004014,144004046,144002001,144002003,144002027,144002030,144002031,144002032,144002033,144004049,144004050,144002053,144002055,144004015,144002069,144002041,144003048,144002079,144002080,144002068,144004079,144004081,144002081,144002078,144003054,144003055,144003056,144003057,144002040,144002085,144002086,144002087,144002088,144004020,144002042,144002089,144004009,144002090,144003053,144004026,144004061,144004062,144004080,144004039,144004045,144002056,144002058,144002043,144004011,144004018,144004047,144002052,144001058,144001157,144002045,144002048,144002057,144002035,144004048,144004064,144003058,144004066,144005002,144004005,144004103,144003002,144003003,144003004,144002016,144002017,144002018,144002019,144002020,144002021,144002022,144002023,144002024,144002025,144002026,144002039,144004104,144002097,144004129,144004131,144004016,144004030,144002034,144004044,144004055,144004056,144002036,144004060,144002063,144002044,144002098,144002099,144003019									
5033019	1		1	12	1	13	45							17	144004110,144004111,144004112,144004114,144004113,144004115,144004116,144001181,144002095,144002096,144003060,144004117,144004118,144004119,144004130,144001194,144001195,144001196,144001197									18	144004110,144004111,144004112,144004114,144004113,144004115,144004116,144001181,144002095,144002096,144003060,144004117,144004118,144004119,144004130,144001194,144001195,144001196,144001197									
5033020	0		2	12	21	4	4001103							17	144001173,144001174,144004105,144004106,144001077,144004017,144004027,144004029,144001112,144004057,144004058	59	5033019,否							18	144001173,144001174,144004105,144004106,144001077,144004017,144004027,144004029,144001112,144004057,144004058									
5033021	1		1	12	1	13	45							60	4,14,15,16,17,18,19,20,21,22,23,24									61	4,14,15,16,17,18,19,20,21,22,23,24									
5033022	0		2	12	21	4	4001103							60	4,7,11,12,13	59	5033021,否																	
5033023	1		1	12	1	13	45							17	144004082,144002082,144001156,144003049									18	144004082,144002082,144001156,144003049									
