子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]4类型	[执行]4参数1	[执行]4参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
35100	351	2					1	35104	3										2	4	35100				6	1053																	2		1005					3			1			1																																									
35107	351	3			1		1	35100	3											6	1101																																						19	3	133003429,1																																				
35101	351	4					1	35100	3											6	1100														21								2		1005	QuestArrow				3			2																		14	35100																									
35106	351	5					1	35101	3											23	3	6																					1		Q351Trans					3	2	1																																													
35105	351	6					1	35106	3											6	1016																						2		1005	QuestArrow				3			2			1																																									
35103	351	7			1	1	1	35106	3		2	35105	3		2	35105	3			6	1016																						2		1005	QuestArrow				3			2																																												
35102	351	8				2	1	35103	3		1	35105	3		1	35105	3			6	1017																						1		Q351ClimbEnd					3			1	1		1																																									
36203	362	1			1	1	1	99902	3		2	35200	3		2	35200	3			6	1020																																	1																																											
36301	363	1			1		1	35202	3											2	35328																																	1																																											
35200	352	1					1	35102	3											6	1021																						1		Q352View					3			1			1																																									
35201	352	2					1	35200	3										2	6	1001				6	1095																	1		Q352View					3			1			1																																									
35202	352	3					1	35201	3											2	35216																						2	1	1005					3	2	2				1																																									
35203	352	4					1	35202	3										1	4	35203				6	1172								2	8	35203			21				2	1	1005	QuestArrow				3	2	1	0																		14	35202																									
35204	352	5					1	35203	3											6	1003																						2		1005					3	2	1	2			1																																									
35205	352	6			1		1	35204	3											4	35205																						1		Q353Guide2					3			1	1					2	3	7	3	3	1	6	7																															
35301	353	1					1	35205	3											2	35328																						2		1005					3	2	2				1																								19	3	133003002,1															
35312	353	2			1		1	35205	3											20			1330030024	1											8	35312																																			14	35301																									
35302	353	3					1	35301	3											107	10067														20		1330030022	1					1		Q353Guide1					3	2	1	1			1															14	35302								19	3	133003002,2															
35309	353	4					1	35302	3											20			1330030022	1																			1		Q353Guide1					3	2	1	1																																												
35303	353	5					1	35309	3											107	10006														20		1330030023	1					1		Q353Guide1					3	2	1	1			1															14	35303								15	3	133003448															
35310	353	6					1	35303	3											20			1330030023	1																			1		Q353Guide1					3	2	1	1																																												
35304	353	7					1	35310	3											107	10068														20		1330030024	1					1		Q353Guide1					3	2	1	1			1															14	35304								15	3	133003449	39														
35311	353	8					1	35304	3											20			1330030024	1																			1		Q353Guide1					3	2	1	1	1					16	2	1	16	1	1																																	
36100	361	1			1		1	35311	3											4	36100																																			1																								19	3	133003436,1															
36101	361	2			1		1	36100	3											4	36101																																	1		1																																									
35501	355	1					1	35311	3											4	36101																						1	1	Q301WendyPlay					3			1																																												
35502	355	2				1	1	35501	3		1	36101	3		1	36101	3			6	1022																						1	2	Q355Stone					3			1																																												
35503	355	3					1	35502	3											2	35507																						2		1005					3	2	2				1																																									
35504	355	4					1	35503	3											5	100135																						1		Q355Stone2					3	2	1				1																																									
35505	355	5					1	35504	3											2	35506																						2		1005					3	2	2		1		1																																									
35401	354	1					1	35505	3											6	1018																						1		Q354DummySafe					3			1																																												
35402	354	2					1	35401	3											2	35404																						2		1002					3	2	2				1	1021	1																																							
35404	354	3					1	35402	3											20			133003079	1																			1		Q354Center					3	2	1				1																								15	3	133003439															
35405	354	4			1		1	35404	3											4	35405																																																																												
35403	354	5					1	35404	3											6	1103																						1		Q360qq1					3			1	1		1																																									
36001	360	1					1	35403	3											20			133003435	1																			1		Q360qq1	15				3			1			1			19	3	133003435,2																			19	3	133003435,1															
36003	360	3					1	36001	3											20			133003136	1																			1		Q360qq2					3			1			1																								19	3	133003136,1															
36004	360	4					1	36003	3											2	36001																						2		1002											1			19	3	133003136,2																																				
36005	360	5					1	36004	3											6	1024																						1		Q354Gate					3	4			1		1			9	0																																					
35601	356	1					1	36005	3											2	35601																						2		1002					3	2	2				1																																									
35602	356	2			1		1	35601	3											6	1126																																																																												
35603	356	3					1	35601	3											6	1102																						1		Q356Ambor4					3	4					1																																									
35604	356	4					1	35603	3											2	35604																																						8	1																																					
35605	356	5			1		1	35604	3											4	35605																						2		1002					3	2	1																																													
35606	356	6					1	35605	3											6	1037																						2		1002					3	2	1		1																																											
35901	359	1			1		1	35725	3										2	4	35901				24	359011																												1					22	3	0	22	1	0																22	3	1															
35902	359	2			1		1	35802	3											24	359021																																																																												
35903	359	3			1		1	35802	3											24	359031																																																																												
35904	359	4			1		1	35802	3											24	359041																																																																												
35721	357	1			1		1	35606	3											9	2004	67																																		1																																									
35722	357	2					1	35721	3											20			220020001	1											10	3																				1			10	0											14	35721																									
35725	357	3			1		1	35722	3											10	3																																			1																																									
35723	357	4			1		1	35725	3											2	35723																																			1																																									
35724	357	5					1	35723	3											6	1039																						1		QuestKnighthood					3				1		1																																									
35800	358	1			1		1	35724	3											18	0		0,24																																																																										
35801	358	2					1	35800	3											17	1004																						1		QuestKnighthood					3						1																																									
35802	358	3					1	35801	3											2	35801																						2		1006					1004	2	2		1		1						19	1004	201004902,2																																	
30600	306	1					1	35802	3											6	1040																						1		Q306DungeonDoor					3						1																																									
30601	306	2					1	30600	3											2	30611																						2		1002					3	2	2				1																																									
30602	306	3					1	30601	3											9	1001	20																					1		AmborDungeon					3						1			12	1																																					
30607	306	4			1		1	30602	3											6	1048																																			1																																				1					
30608	306	5			1		1	30602	3											6	1049																																			1																																				1					
30609	306	6			1		1	30602	3											6	1050																																			1																																				1					
30612	306	7			1		1	30602	3											20			220009011	1																																1																																				1					
30611	306	8			1		1	30602	3											19	1001																																																																							1					
30603	306	9					1	30602	3											12	70300014														19	1001																				1															14	30602																				1					
30610	306	10			1		1	30603	3											2	30610														19	1001																				1			20	1											14	30602																				1					
30604	306	11					1	30603	3											10	3																																	1		1			20	1		23	359021	1																																	
30700	307	1					1	35802	3											6	1041																						1		Q307DungeonDoor					3						1																																									
30701	307	2					1	30700	3											2	30711																						2		1004					3	2	2				1																																									
30702	307	3					1	30701	3											9	1	1																					1		KaeyaDungeon					3						1																																									
30710	307	4					1	30702	3										2	2	30712				12	70300015																	2		1004					20008	2	2				1			12	2																																					
30707	307	5			1		1	30702	3											6	1054																																			1																																				2					
30708	307	6			1		1	30702	3											6	1055																																			1																																				2					
30709	307	7			1		1	30702	3											6	1056																																			1																																				2					
30712	307	8			1		1	30702	3											20			220008001	1																																1																																				2					
30711	307	9			1		1	30702	3											19	1																																																																							2					
30703	307	10					1	30702	3											12	70300015														19	1																				1															14	30702																				2					
30715	307	11			1		1	30703	3											2	30715														19	1																				1															14	30702																				2					
30713	307	12			1		1	30715	3											4	30713														19	1																				1			20	2											14	30702																				2					
30704	307	13					1	30713	3											4	30713																																	1		1			20	2		23	359031	1																																	
30800	308	1					1	35802	3											6	1042																						1		Q308DungeonDoor					3						1																																									
30801	308	2					1	30800	3											2	30811																						2		1007					3	2	2				1																																									
30802	308	3					1	30801	3											9	1003	22																					1		LisaDungeon					3						1																																									
30810	308	4					1	30802	3										2	2	30812				12	70300016																	2		1007					20011	2	2				1			12	3																																					
30807	308	5			1		1	30802	3											6	1057																																			1																																				3					
30808	308	6			1		1	30802	3											6	1058																																			1																																				3					
30809	308	7			1		1	30802	3											6	1059																																			1																																				3					
30812	308	8			1		1	30802	3											20			LisaOne	1																																1																																				3					
30811	308	9			1		1	30802	3											19	1003																																																																							3					
30803	308	10					1	30802	3											12	70300016														19	1003																				1			15	3	133001247										14	30802																				3					
30814	308	11			1		1	30803	3										2	2	30814				10	3									19	1003																				1			20	3											14	30802																				3					
30804	308	12					1	30803	3											10	3																																	1		1			20	3		23	359041	1																																	
30901	309	1			1		1	35802	3										1	11	1001				11	1				11	1003																																																																		
30903	309	2			1		1	30901	3											10	3																																																																												
30904	309	3			1		1	30903	3											4	30904																																	1		1			16	7	0	16	8	1	43	10001	1	19	3	133004919,2										23	359011	1															
31101	311	1			1		1	30904	3										2	2	30902				2	30904																	2		1005					3	2	2		1		1																																									
31201	312	1			1		1	30803	3										2	2	30814				10	3																	2		1005					3	2	2		1		1																																									
31001	310	1					1	99902	3											2	41401			10																			2		1435																																																				
31002	310	2			1		1	99902	3											2	31013																																																																												
31003	310	3			1		1	99902	3											2	31014																																																																												
31004	310	4			1		1	99902	3											2	31015																																																																												
31005	310	5			1		1	99902	3											2	31016																																																																												
31006	310	6			1		1	99902	3											2	31017																																																																												
31007	310	7			1		1	99902	3											2	31018																																																																												
31008	310	8			1		1	99902	3											2	31019																																																																												
30302	303	1			1															2	30302																																						2	3	3	3	3	3																																	
30303	303	2			1															2	30303																																						2	3	4	3	3	2																																	
30304	303	3			1															2	30304																																						2	3	29	3	3	4																																	
30305	303	4			1															2	30305																																						2	3	72	3	3	5	23	31801	1																														
30306	303	5			1															2	30306																																						2	3	73	3	3	7	23	31801	1																														
30307	303	6			1															2	30307																																						2	3	74	3	3	6	23	31801	1																														
30308	303	7			1															2	30308																																						2	3	75	3	3	8	23	31801	1																														
30309	303	8			1															2	30309																																						2	3	182	3	3	9	23	31801	1																														
30310	303	9			1															2	30310																																						2	3	204	3	3	10																																	
30311	303	10			1															2	30311																																						2	3	234	3	3	11	3	3	16																														
30312	303	11			1															2	30312																																						2	3	235	3	3	12																																	
30313	303	12			1															2	30313																																						2	3	236	3	3	13																																	
30314	303	13			1															2	30314																																						2	3	293	3	3	14																																	
30315	303	14			1															2	30315																																						2	3	318	3	3	17																																	
30316	303	15			1															2	30316																																						2	3	316	3	3	18																																	
30317	303	16			1															2	30317																																						2	3	442	3	3	19	23	31801	1																														
30318	303	17			1															2	30318																																						2	3	462	3	3	20																																	
30319	303	18			1															2	30319																																						2	3	463	3	3	21																																	
30320	303	19			1															2	30320																																						2	3	464	3	3	29																																	
30321	303	20			1															2	30321																																						2	3	465	3	3	23																																	
30322	303	21			1															2	30322																																						2	3	471	3	3	24																																	
30323	303	22			1															2	30323																																						2	3	472	3	3	25																																	
30324	303	23			1															2	30324																																						2	3	625	3	3	22																																	
30325	303	24			1															2	30325																																						2	3	534	3	3	26																																	
30326	303	25			1															2	30326																																						2	3	535	3	3	27																																	
30327	303	26			1															2	30327																																						2	3	536	3	3	28																																	
31801	318	1			1															24	31801			1																																1																																									
31802	318	2			1		1	31801	3											2	31802																																	1		1																																									
37001	370	1					1	31101	3											4	37001																						1		Q37001Qin					3			1			1																																	1006,1604		1000						
37002	370	2					1	37001	3											2	37002																						2		1006					3	2	2																																					1006,1604		1000						
37004	370	3					1	37002	3											17	1004																						1		QuestKnighthood					3						1																																	1006		1000						
37005	370	4					1	37004	3											2	37005																						1		QuestDoorin					1004				1		1																																	1006,1007		1000						
37003	370	5			1		1	37005	2											6	1067																																			1																																									
37101	371	1					1	37005	3											10	3																						1		Q371PaimonTemp					3						1																																									
37102	371	2					1	37101	3											2	37101																						2		1243					3	2	2				1																																									
37103	371	3					1	37102	3											4	37103																						1		Q371WendyFootPrint1					3																																															
37104	371	4					1	37103	3											2	37109																						2		1243					3	2	2																																													
37105	371	5		1			1	37104	3											4	37105																						1		Q371WendyFootPrint1	30				3																																															
37106	371	6		1			1	37105	3											4	37106																						1		Q371WendyTrigger1	30				3																																															
37107	371	7		1			1	37106	3											4	37107																						1		Q371WendyTrigger2	30				3																																															
37108	371	8		1			1	37107	3											4	37108																						1		Q371WendyTrigger3	30				3																																															
37109	371	9		1			1	37108	3											4	37109																						1		Q371WendyTrigger4	30				3																																															
37110	371	10		1			1	37109	3											4	37110																						1		Q371WendyTrigger5	30				3																																															
37111	371	11		1			1	37110	3											4	37111																						1		Q371WendyTrigger6	30				3																																															
37112	371	12		1			1	37111	3											4	37112																						1		Q371WendyTrigger7	30				3																																															
37113	371	13		1			1	37112	3											4	37113																						1		Q371WendyTrigger8	30				3				1																																											
37114	371	14			1		1	37108	3											6	1094																																																																												
37115	371	15			1	1	1	37114	3		2	37109	3							2	37115																																																																												
37201	372	1		1			1	37113	3											4	37201																						2		1160					3	2	1				1																																	1001		1000						
37202	372	2		1			1	37201	3											4	37202																						2		1160					3	2	2				1																																	1001		1000						
37203	372	3		1			1	37202	3											2	3720301																						2		1160					3	2	2		1		1	100164	1	1	100135	1																												1001		1000						
37301	373	1		1			1	37203	3											4	37301																						2		1001					3	1	1				1																																	1001		1000						
37302	373	2		1			1	37301	3											4	37302																						2		1001					3	2	1				1																																	1001		1000						
37303	373	3					1	37302	3											7	133001305																						1		Q373WindBoss	30				3			1			1																								19	3	133001305,2							1001		1000						
37304	373	4					1	37303	3											2	37304																						2		1001					3	3	1		1		1																																	1001		1000						
37408	374	1			1		1	37304	3											4	37408																																			1																																									
37407	374	2					1	37304	3											2	37407																						2		1001					3	2	1				1																																	1001		1000						
37401	374	3		1			1	37407	3											6	1028																						2		1001					1008	2	2				1																																	1001		1000						
37402	374	4		1			1	37401	3											2	37402																						2		1001					1008	2	2				1																																	1001		1000						
37403	374	5			1		1	37402	3											4	37403																						2		1001					1008	2	2				1																																	1001		1000						
37404	374	6					1	37403	3											2	37403																						2		1001					1008	2	2				1																																	1001		1000						
37405	374	7			1		1	37404	3											4	37405																						2		1161					1008	2	2				1																																	1001		1000						
37406	374	8					1	37405	3											2	37404																						2		1161					1008	2	2		1		1																																	1001		1000						
37501	375	1					1	37406	3											2	37501																						2		1001					1008	2	2				1			2	1008	1																												1001		1000						
37502	375	2					1	37501	3											17	1005																						1		QuestMarkSteal					1008	4	2				1																																									
37503	375	3		1			1	37502	3											6	1044														8	37503							1		Harp					1005	2	1				1																																					QuestAbility_Player_SneakMengde_37503				
37504	375	4			1		1	37503	4											4	37504																						1		QuestChurchMark					3						1			14	37502																																					
37505	375	5		1	1		1	37503	3											4	37505																						1		QuestChurchMark					3						1			17	1008	1																																				
37506	375	6		1	1		1	37505	3											10	3																						1		QuestChurchMark					3						1																																									
37507	375	7		1	1		1	37506	3											4	37506																						1		QuestChurchMark					3				1		1																																									
42101	421	1			1		1	37407	3										2	2	37503				2	37504				2	37505																									1																																									
42102	421	2			1		1	42101	3											4																																							14	42101																																					
42103	421	3			1		1	37506	3											17	1008																																																																												
42104	421	4			1		1	42103	3											4																																		1		1																																									
37601	376	1		1			1	37506	3											6	1031																						1		Q375RunStart					3			1			1			17	3	31	17	3	32																																	
37602	376	2		1			1	37601	3											6	1070													2	8	37602			21				1		QuestBarUI					3			1						2	3	31	2	3	32																																	
37603	376	3			1		1	37602	4											4																																							14	37601																																					
37604	376	4					1	37602	3											17	1009																						1		QuestBarEnter					3			1			1																																									
37605	376	5					1	37604	3											2	37604																						2		1009					1009	2	2				1																																	1001,1009		1000						
37606	376	6		1			1	37605	3											6	1034																						1		Q376Hide					1009	2	1				1																																	1001,1009		1000						
37607	376	7		1	1		1	37606	3											2	37606																						1		Q376Hide					1009						1																																	1001,1009		1000						
37608	376	8		1			1	37607	3											2	37607																						2		1009					1009	2	2		1		1																																	1001,1009		1000						
37701	377	1					1	37608	3											10	3																						1		QuestBarExit					1009						1																																									
37702	377	2			1		1	37701	3											18	0		0,24																																	1																																									
37703	377	3					1	37702	3											18	0		0,6																																	1																																	1001,1009,1006		1000						
37704	377	4		1			1	37703	3											4	37704														18	0	6,23						1		QuestBarUI					3	2	1				1															14	37703																	1001,1009,1006		1000						
37705	377	5		1			1	37704	3											2	37702																						2		1009					1009	2	2				1																																	1001,1009,1006		1000						
37706	377	6					1	37705	3											2	37712																						2		1009					1009	2	2		1		1			2	3	113																												1001,1009,1006		1000						
2010100	20101	1			1		1	37706	3											10	3																																																																												
2010101	20101	1		1			1	37706	3											9	1009	22																					1		Yuren_Enter					3	4	1				1																								1	100175	1	19	3	133002334,2												
2010102	20101	2		1			1	2010101	3											4	2010102														19	1009																				1															14	2010101								12	11											11					
2010103	20101	3		1			1	2010102	3											2	2010103														19	1009																				1			15	20023	220023005										14	2010101																				11					
2010144	20101	4			1		1	2010103	3											18	0		0,24												19	1009																				1															14	2010101																				11					
2010104	20101	5			1		1	2010144	3											4	2010104																																			1																																				11					
2010105	20101	6			1		1	2010144	3											2	2010105																																			1																																				11					
2010106	20101	7			1		1	2010144	3											2	2010106																																			1																																				11					
2010107	20101	8			1		1	2010144	3											2	2010107																																			1																																				11					
2010108	20101	9			1		1	2010144	3											2	2010108																																			1																																				11					
2010109	20101	10			1		1	2010144	3											4	2010109														8	2010109																				1			15	20023	220023016																															11					
2010110	20101	11			1		1	2010144	3											4	2010110														8	2010110																				1																																				11					
2010111	20101	12			1		1	2010110	3											4	2010111																																			1			19	20023	220023016,2																															11					
2010112	20101	13			1		1	2010111	3											20			220023016	1																																1																																				11					
2010113	20101	14			1	2	1	2010112	3		1	2010109	3							18	0		0,24																																	1			23	2010140	1	23	2010141	1																												11					
2010145	20101	15			1		1	2010109	3											4	2010145																																			1	100175	1																																		11					
2010146	20101	16			1		1	2010112	3											4	2010146																																			1	100175	1																																		11					
2010153	20101	17			1		1	2010144	3											2	20101155																																			1																																				11					
2010154	20101	18			1		1	2010144	3											2	20101156																																			1																																				11					
2010155	20101	19			1		1	2010144	3											2	20101157																																			1																																				11					
2010156	20101	20			1		1	2010144	3											2	20101158																																			1																																				11					
2010157	20101	21			1		1	2010144	3											2	20101159																																			1																																				11					
2010114	20101	22			1		1	2010144	3											4	2010114																																			1																																				11					
2010115	20101	23			1		1	2010144	3											2	2010115																																			1																																				11					
2010116	20101	24			1		1	2010144	3											2	2010116																																			1																																				11					
2010117	20101	25			1		1	2010144	3											2	2010117																																			1																																				11					
2010118	20101	26			1		1	2010144	3											2	2010118																																			1																																				11					
2010119	20101	27			1		1	2010144	3											4	2010119														8	2010119																				1			15	20023	220023015																															11					
2010120	20101	28			1		1	2010144	3											4	2010120														8	2010120																				1																																				11					
2010121	20101	29			1		1	2010120	3											4	2010121																																			1			19	20023	220023015,2																															11					
2010122	20101	30			1		1	2010121	3											20			220023015	1																																1																																				11					
2010123	20101	31			1	2	1	2010122	3		1	2010119	3							18	0		0,24																																	1			23	2010140	1	23	2010141	1																												11					
2010147	20101	32			1		1	2010119	3											4	2010147																																			1	100175	1																																		11					
2010148	20101	33			1		1	2010122	3											4	2010148																																			1	100175	1																																		11					
2010158	20101	34			1		1	2010144	3											2	20101255																																			1																																				11					
2010159	20101	35			1		1	2010144	3											2	20101256																																			1																																				11					
2010160	20101	36			1		1	2010144	3											2	20101257																																			1																																				11					
2010124	20101	37			1		1	99902	3											4	2010124																																			1																																				11					
2010125	20101	38			1		1	2010124	3											2	2010125																																			1																																				11					
2010126	20101	39			1		1	2010124	3											2	2010126																																			1																																				11					
2010127	20101	40			1		1	2010124	3											2	2010127																																			1																																				11					
2010128	20101	41			1		1	2010124	3											2	2010128																																			1																																				11					
2010129	20101	42			1		1	2010124	3											4	2010129														8	2010129																				1																																				11					
2010130	20101	43			1		1	2010124	3											4	2010130														8	2010130																				1																																				11					
2010131	20101	44			1		1	2010130	3											4	2010131																																			1			19	20023	220023008,2																															11					
2010132	20101	45			1		1	2010131	3											20			220023008	1																																1																																				11					
2010133	20101	46			1	2	1	2010132	3		1	2010129	3							18	0		0,24																																	1			23	2010140	1	23	2010141	1																												11					
2010149	20101	47			1		1	2010144	3											4	2010149																																			1	100175	1																																		11					
2010150	20101	48			1		1	2010144	3											4	2010150																																			1	100175	1																																		11					
2010134	20101	49			1		1	2010144	3											4	2010134																																			1																																				11					
2010135	20101	50			1		1	2010144	3											20			220023018	1																																1			23	2010140	1	23	2010141	1																												11					
2010136	20101	51			1		1	99902	3											4	2010136																																			1																																				11					
2010137	20101	52			1		1	2010136	3											20			220023019	1																																1			23	2010140	1	23	2010141	1																												11					
2010138	20101	53			1		1	2010144	3											4	2010138																																			1																																				11					
2010139	20101	54			1		1	2010144	3											20			220023017	1																																1			23	2010140	1	23	2010141	1																												11					
2010140	20101	55			1		1	2010144	3											24	2010140			3																																1			15	20023	220023017	15	20023	220023018	15	20023	220023019																									11					
2010141	20101	56		1			1	2010144	3											5	100175														19	1009																				1			15	20023	220023012										14	2010101																				11					
2010142	20101	57		1			1	2010141	3											20			220023012	1											19	1009																				1			1	100175	1										14	2010101																				11					
2010143	20101	58		1			1	2010142	3											20			220023014	1											19	1009																				1															14	2010101																				11					
2010152	20101	59		1			1	2010143	3											25	70700016														19	1009																				1															14	2010101																				11					
2010151	20101	60		1			1	2010152	3											2	2010151														19	1009																		1		1	100161	1	17	3	113	20	11		19	3	133002334,1				14	2010101																				11					
37901	379	1		1			1	2010151	3											17	1009																						1		QuestBarUI					3	2	1				1																																		1001,1009,1006	1000						
37902	379	2		1			1	37901	3											2	37902																						2		1001					1009	2	2				1																																	1001,1009,1006		1000						
37903	379	3		1			1	37902	3											4	37903																						2		1001					1009	2	2					100162	1	1	100161	1	1	100164	1																									1001,1009,1006		1000						
37904	379	4		1			1	37903	3											2	37904																						2		1006					1009	2	2		1		1																																	1001,1009,1006		1000						
38001	380	1					1	37904	3											4	38001																						1		DUMMY_POS 3003390	40				3			1			1			15	3	133003151																																				
38002	380	2		1			1	38001	3											7	133003151																						1		DUMMY_POS 3003390	40				3			1																																												
38003	380	3		1			1	38002	3											5	100158																						1		Quest380					3	2	1				1			15	3	133003151																																				
38004	380	4			1		1	38003	3											2	38004																																	1		1																																									
38101	381	1					1	37904	3											4	38101																						1		Q381DragonTill					3						1			1	100160	1																																				
38102	381	2		1			1	38101	3											9	10	40																					1		Q381DragonTill					3						1																																									
38103	381	3		1			1	38102	3											20			DragonTear	1											19	10							1		DUMMY_POS 1006001					1006						1															14	38101																									
38104	381	4		1			1	38103	3											5	100160														19	10							1		DUMMY_POS 1006002					1006						1															14	38101																									
38105	381	5		1	1		1	38104	3											2	38105														19	10																		1		1															14	38101																									
38201	382	1					1	37904	3										2	6	1065				6	1066																	1		Q382DragonTill					3						1																																									
38202	382	2		1			1	38201	3											5	100159																						1		Q382DragonTillChest					3	2	1				1			19	3	133001249,1																			19	3	133001249,2															
38203	382	3			1		1	38202	3											4	38203																																	1		1																																									
38301	383	1		1		1	1	38004	3		1	38105	3		1	38202	3			6	1035																						1		Q383Mark					3																																								1001,1009,1006	1000						
38302	383	2		1			1	38301	3											2	38302																						2		1006					3	2	2				1																																	1001,1009,1006		1000						
38303	383	3		1			1	38302	3											4																							2		1001					3	2	2					100163	1	1	100162	1	18	100158:1,100159:1,100160:1																										1001,1009,1006		1000						
38304	383	4		1	1		1	38303	3											2	38304																						2		1006					3	2	2		1		1																																	1001,1009,1006		1000						
38401	384	1			1		1	38304	3											18	0		0,24																																	1																																									
38402	384	2		1			1	38401	3											4	38402																						1		Q384Trigger					3	4					1															14	38401																		1609,1610,1639,1001,1009,1006	1000						
