技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	参数18	参数19	参数20	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	生活效果参数5	效果全队生效	生活天赋不可见
23203	Ayaka_SkillUpgrade_2					2.7508	10																			232	3	3	17500	104324	2	112045	3	0	0	0	0			3								
23204	Ayaka_SkillUpgrade_2					2.99	10																			232	4	3	25000	104324	4	112045	4	0	0	0	0			3								
23205	Ayaka_SkillUpgrade_2					3.1694	10																			232	5	3	30000	104324	6	112045	6	0	0	0	0			4								
23206	Ayaka_SkillUpgrade_2					3.3488	10																			232	6	3	37500	104324	9	112045	9	0	0	0	0			4								
23207	Ayaka_SkillUpgrade_2					3.588	10																			232	7	3	120000	104325	4	112046	4	113018	1	0	0			5								
23208	Ayaka_SkillUpgrade_2					3.8272	10																			232	8	3	260000	104325	6	112046	6	113018	1	0	0			5								
23209	Ayaka_SkillUpgrade_2					4.0664	10																			232	9	3	450000	104325	12	112046	9	113018	2	0	0			6								
23210	Ayaka_SkillUpgrade_2					4.3056	10																			232	10	3	700000	104325	16	112046	12	113018	2	104319	1			6								
23211	Ayaka_SkillUpgrade_2					4.5448	10																			232	11	3	0	0	0	0	0	0	0	0	0			6								
23212	Ayaka_SkillUpgrade_2					4.784	10																			232	12	3	0	0	0	0	0	0	0	0	0			6								
23213	Ayaka_SkillUpgrade_2					5.083	10																			232	13	3	0	0	0	0	0	0	0	0	0			6								
23214	Ayaka_SkillUpgrade_2					5.382	10																			232	14	3	0	0	0	0	0	0	0	0	0			6								
23215	Ayaka_SkillUpgrade_2					5.681	10																			232	15	3	0	0	0	0	0	0	0	0	0			6								
23301	Ayaka_SkillMove					10	15	5																		233	1	3	0	0	0	0	0	0	0	0	0			0								
23901	Ayaka_SkillUpgrade_3					1.123	1.6845	5	20	80																239	1	3	0	0	0	0	0	0	0	0	0			0								
23902	Ayaka_SkillUpgrade_3					1.207225	1.810837	5	20	80																239	2	3	12500	104323	3	112044	6	0	0	0	0			2								
23903	Ayaka_SkillUpgrade_3					1.29145	1.937175	5	20	80																239	3	3	17500	104324	2	112045	3	0	0	0	0			3								
23904	Ayaka_SkillUpgrade_3					1.40375	2.105625	5	20	80																239	4	3	25000	104324	4	112045	4	0	0	0	0			3								
23905	Ayaka_SkillUpgrade_3					1.487975	2.231962	5	20	80																239	5	3	30000	104324	6	112045	6	0	0	0	0			4								
23906	Ayaka_SkillUpgrade_3					1.5722	2.3583	5	20	80																239	6	3	37500	104324	9	112045	9	0	0	0	0			4								
23907	Ayaka_SkillUpgrade_3					1.6845	2.52675	5	20	80																239	7	3	120000	104325	4	112046	4	113018	1	0	0			5								
23908	Ayaka_SkillUpgrade_3					1.7968	2.6952	5	20	80																239	8	3	260000	104325	6	112046	6	113018	1	0	0			5								
23909	Ayaka_SkillUpgrade_3					1.9091	2.86365	5	20	80																239	9	3	450000	104325	12	112046	9	113018	2	0	0			6								
23910	Ayaka_SkillUpgrade_3					2.0214	3.0321	5	20	80																239	10	3	700000	104325	16	112046	12	113018	2	104319	1			6								
23911	Ayaka_SkillUpgrade_3					2.1337	3.20055	5	20	80																239	11	3	0	0	0	0	0	0	0	0	0			6								
23912	Ayaka_SkillUpgrade_3					2.246	3.369	5	20	80																239	12	3	0	0	0	0	0	0	0	0	0			6								
23913	Ayaka_SkillUpgrade_3					2.386375	3.579562	5	20	80																239	13	3	0	0	0	0	0	0	0	0	0			6								
23914	Ayaka_SkillUpgrade_3					2.52675	3.790125	5	20	80																239	14	3	0	0	0	0	0	0	0	0	0			6								
23915	Ayaka_SkillUpgrade_3					2.667125	4.000687	5	20	80																239	15	3	0	0	0	0	0	0	0	0	0			6								
32101	Qin_ProudSkill_Private1					0.5	0.15																			321	1	2	0	0	0	0	0	0	0	0	0			1								
32201	Qin_ProudSkill_Private2					16																				322	1	2	0	0	0	0	0	0	0	0	0			4								
32301																										323	1	2	0	0	0	0	0	0	0	0	0			0	104	1200	1	1				
32501																										325	1	2	0	0	0	0	0	0	0	0	0			0	204	1	2000					
33101	Qin_ProudSkill_1					0.48332	0.4558	0.60286	0.65876	0.79206	1.62024	20	0.639324	1.278377	1.596762											331	1	3	0	0	0	0	0	0	0	0	0			0								
33102	Qin_ProudSkill_1					0.52266	0.4929	0.65193	0.71238	0.85653	1.75212	20	0.691362	1.382431	1.726731											331	2	3	12500	104304	3	112005	6	0	0	0	0			2								
33103	Qin_ProudSkill_1					0.562	0.53	0.701	0.766	0.921	1.884	20	0.7434	1.486485	1.8567											331	3	3	17500	104305	2	112006	3	0	0	0	0			3								
33104	Qin_ProudSkill_1					0.6182	0.583	0.7711	0.8426	1.0131	2.0724	20	0.81774	1.635134	2.04237											331	4	3	25000	104305	4	112006	4	0	0	0	0			3								
33105	Qin_ProudSkill_1					0.65754	0.6201	0.82017	0.89622	1.07757	2.20428	20	0.869778	1.739187	2.172339											331	5	3	30000	104305	6	112006	6	0	0	0	0			4								
33106	Qin_ProudSkill_1					0.7025	0.6625	0.87625	0.9575	1.15125	2.355	20	0.92925	1.858106	2.320875											331	6	3	37500	104305	9	112006	9	0	0	0	0			4								
33107	Qin_ProudSkill_1					0.76432	0.7208	0.95336	1.04176	1.25256	2.56224	20	1.011024	2.02162	2.525112											331	7	3	120000	104306	4	112007	4	113003	1	0	0			5								
33108	Qin_ProudSkill_1					0.82614	0.7791	1.03047	1.12602	1.35387	2.76948	20	1.092798	2.185133	2.729349											331	8	3	260000	104306	6	112007	6	113003	1	0	0			5								
33109	Qin_ProudSkill_1					0.88796	0.8374	1.10758	1.21028	1.45518	2.97672	20	1.174572	2.348646	2.933586											331	9	3	450000	104306	12	112007	9	113003	2	0	0			6								
33110	Qin_ProudSkill_1					0.9554	0.901	1.1917	1.3022	1.5657	3.2028	20	1.26378	2.527025	3.15639											331	10	3	700000	104306	16	112007	12	113003	2	104319	1			6								
33111	Qin_ProudSkill_1					1.032675	0.973875	1.288088	1.407525	1.692338	3.46185	20	1.352988	2.705403	3.379194											331	11	3	0	0	0	0	0	0	0	0	0			6								
33112	Qin_ProudSkill_1					1.12355	1.059576	1.401439	1.531387	1.841263	3.766493	20	1.442196	2.883781	3.601998											331	12	3	0	0	0	0	0	0	0	0	0			6								
33113	Qin_ProudSkill_1					1.214426	1.145277	1.514791	1.655249	1.990189	4.071136	20	1.531404	3.062159	3.824802											331	13	3	0	0	0	0	0	0	0	0	0			6								
33114	Qin_ProudSkill_1					1.305301	1.230978	1.628143	1.779112	2.139115	4.375778	20	1.620612	3.240537	4.047606											331	14	3	0	0	0	0	0	0	0	0	0			6								
33115	Qin_ProudSkill_1					1.404438	1.32447	1.751799	1.914234	2.301579	4.708116	20	1.70982	3.418915	4.27041											331	15	3	0	0	0	0	0	0	0	0	0			6								
33201	Qin_ProudSkill_2					2.92	20	5	6																	332	1	3	0	0	0	0	0	0	0	0	0			0								
33202	Qin_ProudSkill_2					3.139	20	5	6																	332	2	3	12500	104304	3	112005	6	0	0	0	0			2								
33203	Qin_ProudSkill_2					3.358	20	5	6																	332	3	3	17500	104305	2	112006	3	0	0	0	0			3								
33204	Qin_ProudSkill_2					3.65	20	5	6																	332	4	3	25000	104305	4	112006	4	0	0	0	0			3								
33205	Qin_ProudSkill_2					3.869	20	5	6																	332	5	3	30000	104305	6	112006	6	0	0	0	0			4								
33206	Qin_ProudSkill_2					4.088	20	5	6																	332	6	3	37500	104305	9	112006	9	0	0	0	0			4								
33207	Qin_ProudSkill_2					4.38	20	5	6																	332	7	3	120000	104306	4	112007	4	113003	1	0	0			5								
33208	Qin_ProudSkill_2					4.672	20	5	6																	332	8	3	260000	104306	6	112007	6	113003	1	0	0			5								
33209	Qin_ProudSkill_2					4.964	20	5	6																	332	9	3	450000	104306	12	112007	9	113003	2	0	0			6								
33210	Qin_ProudSkill_2					5.256	20	5	6																	332	10	3	700000	104306	16	112007	12	113003	2	104319	1			6								
33211	Qin_ProudSkill_2					5.548	20	5	6																	332	11	3	0	0	0	0	0	0	0	0	0			6								
33212	Qin_ProudSkill_2					5.84	20	5	6																	332	12	3	0	0	0	0	0	0	0	0	0			6								
33213	Qin_ProudSkill_2					6.205	20	5	6																	332	13	3	0	0	0	0	0	0	0	0	0			6								
33214	Qin_ProudSkill_2					6.57	20	5	6																	332	14	3	0	0	0	0	0	0	0	0	0			6								
33215	Qin_ProudSkill_2					6.935	20	5	6																	332	15	3	0	0	0	0	0	0	0	0	0			6								
33901	Qin_ProudSkill_3					4.248	0.784	2.512	1540.324842	0.2512	154.032484	20	80													339	1	3	0	0	0	0	0	0	0	0	0			0								
33902	Qin_ProudSkill_3					4.5666	0.8428	2.7004	1694.378737	0.27004	169.437874	20	80													339	2	3	12500	104304	3	112005	6	0	0	0	0			2								
33903	Qin_ProudSkill_3					4.8852	0.9016	2.8888	1861.270456	0.28888	186.127046	20	80													339	3	3	17500	104305	2	112006	3	0	0	0	0			3								
33904	Qin_ProudSkill_3					5.31	0.98	3.14	2041	0.314	204.1	20	80													339	4	3	25000	104305	4	112006	4	0	0	0	0			3								
33905	Qin_ProudSkill_3					5.6286	1.0388	3.3284	2233.567368	0.33284	223.356737	20	80													339	5	3	30000	104305	6	112006	6	0	0	0	0			4								
33906	Qin_ProudSkill_3					5.9472	1.0976	3.5168	2438.972561	0.35168	243.897256	20	80													339	6	3	37500	104305	9	112006	9	0	0	0	0			4								
33907	Qin_ProudSkill_3					6.372	1.176	3.768	2657.215579	0.3768	265.721558	20	80													339	7	3	120000	104306	4	112007	4	113003	1	0	0			5								
33908	Qin_ProudSkill_3					6.7968	1.2544	4.0192	2888.296421	0.40192	288.829642	20	80													339	8	3	260000	104306	6	112007	6	113003	1	0	0			5								
33909	Qin_ProudSkill_3					7.2216	1.3328	4.2704	3132.215088	0.42704	313.221509	20	80													339	9	3	450000	104306	12	112007	9	113003	2	0	0			6								
33910	Qin_ProudSkill_3					7.6464	1.4112	4.5216	3388.971579	0.45216	338.897158	20	80													339	10	3	700000	104306	16	112007	12	113003	2	104319	1			6								
33911	Qin_ProudSkill_3					8.0712	1.4896	4.7728	3658.565894	0.47728	365.856589	20	80													339	11	3	0	0	0	0	0	0	0	0	0			6								
33912	Qin_ProudSkill_3					8.496	1.568	5.024	3940.998035	0.5024	394.099803	20	80													339	12	3	0	0	0	0	0	0	0	0	0			6								
33913	Qin_ProudSkill_3					9.027	1.666	5.338	4236.268	0.5338	423.6268	20	80													339	13	3	0	0	0	0	0	0	0	0	0			6								
33914	Qin_ProudSkill_3					9.558	1.764	5.652	4544.375789	0.5652	454.437579	20	80													339	14	3	0	0	0	0	0	0	0	0	0			6								
33915	Qin_ProudSkill_3					10.089	1.862	5.966	4865.321403	0.5966	486.53214	20	80													339	15	3	0	0	0	0	0	0	0	0	0			6								
42101	Lisa_PermanentSkill_1					0.7																				421	1	2	0	0	0	0	0	0	0	0	0			1								
42201	Lisa_PermanentSkill_2					0.15	10																			422	1	2	0	0	0	0	0	0	0	0	0			4								
42301																										423	1	2	0	0	0	0	0	0	0	0	0			0	1	2000	4	0.5				
43101	Lisa_SkillUpgrade_1					0.396	0.3592	0.428	0.5496	1.7712	50	0.568288	1.136335	1.419344												431	1	3	0	0	0	0	0	0	0	0	0			0								
43102	Lisa_SkillUpgrade_1					0.4257	0.38614	0.4601	0.59082	1.90404	50	0.614544	1.228828	1.534872												431	2	3	12500	104307	3	112002	6	0	0	0	0			2								
43103	Lisa_SkillUpgrade_1					0.4554	0.41308	0.4922	0.63204	2.03688	50	0.6608	1.32132	1.6504												431	3	3	17500	104308	2	112003	3	0	0	0	0			3								
43104	Lisa_SkillUpgrade_1					0.495	0.449	0.535	0.687	2.214	50	0.72688	1.453452	1.81544												431	4	3	25000	104308	4	112003	4	0	0	0	0			3								
43105	Lisa_SkillUpgrade_1					0.5247	0.47594	0.5671	0.72822	2.34684	50	0.773136	1.545944	1.930968												431	5	3	30000	104308	6	112003	6	0	0	0	0			4								
43106	Lisa_SkillUpgrade_1					0.5544	0.50288	0.5992	0.76944	2.47968	50	0.826	1.65165	2.063												431	6	3	37500	104308	9	112003	9	0	0	0	0			4								
43107	Lisa_SkillUpgrade_1					0.594	0.5388	0.642	0.8244	2.6568	50	0.898688	1.796995	2.244544												431	7	3	120000	104309	4	112004	4	113004	1	0	0			5								
43108	Lisa_SkillUpgrade_1					0.6336	0.57472	0.6848	0.87936	2.83392	50	0.971376	1.94234	2.426088												431	8	3	260000	104309	6	112004	6	113004	1	0	0			5								
43109	Lisa_SkillUpgrade_1					0.6732	0.61064	0.7276	0.93432	3.01104	50	1.044064	2.087686	2.607632												431	9	3	450000	104309	12	112004	9	113004	2	0	0			6								
43110	Lisa_SkillUpgrade_1					0.7128	0.64656	0.7704	0.98928	3.18816	50	1.12336	2.246244	2.80568												431	10	3	700000	104309	16	112004	12	113004	2	104319	1			6								
43111	Lisa_SkillUpgrade_1					0.753984	0.683917	0.814912	1.046438	3.372365	50	1.202656	2.404802	3.003728												431	11	3	0	0	0	0	0	0	0	0	0			6								
43112	Lisa_SkillUpgrade_1					0.80784	0.732768	0.87312	1.121184	3.613248	50	1.281952	2.563361	3.201776												431	12	3	0	0	0	0	0	0	0	0	0			6								
43113	Lisa_SkillUpgrade_1					0.861696	0.781619	0.931328	1.19593	3.854131	50	1.361248	2.721919	3.399824												431	13	3	0	0	0	0	0	0	0	0	0			6								
43114	Lisa_SkillUpgrade_1					0.915552	0.83047	0.989536	1.270675	4.095014	50	1.440544	2.880478	3.597872												431	14	3	0	0	0	0	0	0	0	0	0			6								
43115	Lisa_SkillUpgrade_1					0.969408	0.879322	1.047744	1.345421	4.335898	50	1.51984	3.039036	3.79592												431	15	3	0	0	0	0	0	0	0	0	0			6								
43201	Lisa_SkillUpgrade_2					3.2	3.68	4.24	4.872	16	0.8	1														432	1	3	0	0	0	0	0	0	0	0	0			0								
43202	Lisa_SkillUpgrade_2					3.44	3.956	4.558	5.2374	16	0.86	1														432	2	3	12500	104307	3	112002	6	0	0	0	0			2								
43203	Lisa_SkillUpgrade_2					3.68	4.232	4.876	5.6028	16	0.92	1														432	3	3	17500	104308	2	112003	3	0	0	0	0			3								
43204	Lisa_SkillUpgrade_2					4	4.6	5.3	6.09	16	1	1														432	4	3	25000	104308	4	112003	4	0	0	0	0			3								
43205	Lisa_SkillUpgrade_2					4.24	4.876	5.618	6.4554	16	1.06	1														432	5	3	30000	104308	6	112003	6	0	0	0	0			4								
43206	Lisa_SkillUpgrade_2					4.48	5.152	5.936	6.8208	16	1.12	1														432	6	3	37500	104308	9	112003	9	0	0	0	0			4								
43207	Lisa_SkillUpgrade_2					4.8	5.52	6.36	7.308	16	1.2	1														432	7	3	120000	104309	4	112004	4	113004	1	0	0			5								
43208	Lisa_SkillUpgrade_2					5.12	5.888	6.784	7.7952	16	1.28	1														432	8	3	260000	104309	6	112004	6	113004	1	0	0			5								
43209	Lisa_SkillUpgrade_2					5.44	6.256	7.208	8.2824	16	1.36	1														432	9	3	450000	104309	12	112004	9	113004	2	0	0			6								
43210	Lisa_SkillUpgrade_2					5.76	6.624	7.632	8.7696	16	1.44	1														432	10	3	700000	104309	16	112004	12	113004	2	104319	1			6								
43211	Lisa_SkillUpgrade_2					6.08	6.992	8.056	9.2568	16	1.52	1														432	11	3	0	0	0	0	0	0	0	0	0			6								
43212	Lisa_SkillUpgrade_2					6.4	7.36	8.48	9.744	16	1.6	1														432	12	3	0	0	0	0	0	0	0	0	0			6								
43213	Lisa_SkillUpgrade_2					6.8	7.82	9.01	10.353	16	1.7	1														432	13	3	0	0	0	0	0	0	0	0	0			6								
43214	Lisa_SkillUpgrade_2					7.2	8.28	9.54	10.962	16	1.8	1														432	14	3	0	0	0	0	0	0	0	0	0			6								
43215	Lisa_SkillUpgrade_2					7.6	8.74	10.07	11.571	16	1.9	1														432	15	3	0	0	0	0	0	0	0	0	0			6								
43901	Lisa_SkillUpgrade_3					0.3656	15	20	80																	439	1	3	0	0	0	0	0	0	0	0	0			0								
43902	Lisa_SkillUpgrade_3					0.39302	15	20	80																	439	2	3	12500	104307	3	112002	6	0	0	0	0			2								
43903	Lisa_SkillUpgrade_3					0.42044	15	20	80																	439	3	3	17500	104308	2	112003	3	0	0	0	0			3								
43904	Lisa_SkillUpgrade_3					0.457	15	20	80																	439	4	3	25000	104308	4	112003	4	0	0	0	0			3								
43905	Lisa_SkillUpgrade_3					0.48442	15	20	80																	439	5	3	30000	104308	6	112003	6	0	0	0	0			4								
43906	Lisa_SkillUpgrade_3					0.51184	15	20	80																	439	6	3	37500	104308	9	112003	9	0	0	0	0			4								
43907	Lisa_SkillUpgrade_3					0.5484	15	20	80																	439	7	3	120000	104309	4	112004	4	113004	1	0	0			5								
43908	Lisa_SkillUpgrade_3					0.58496	15	20	80																	439	8	3	260000	104309	6	112004	6	113004	1	0	0			5								
43909	Lisa_SkillUpgrade_3					0.62152	15	20	80																	439	9	3	450000	104309	12	112004	9	113004	2	0	0			6								
43910	Lisa_SkillUpgrade_3					0.65808	15	20	80																	439	10	3	700000	104309	16	112004	12	113004	2	104319	1			6								
43911	Lisa_SkillUpgrade_3					0.69464	15	20	80																	439	11	3	0	0	0	0	0	0	0	0	0			6								
43912	Lisa_SkillUpgrade_3					0.7312	15	20	80																	439	12	3	0	0	0	0	0	0	0	0	0			6								
43913	Lisa_SkillUpgrade_3					0.7769	15	20	80																	439	13	3	0	0	0	0	0	0	0	0	0			6								
43914	Lisa_SkillUpgrade_3					0.8226	15	20	80																	439	14	3	0	0	0	0	0	0	0	0	0			6								
43915	Lisa_SkillUpgrade_3					0.8683	15	20	80																	439	15	3	0	0	0	0	0	0	0	0	0			6								
72101	Player_Wind_PermanentSkill_1																									721	1	2	0	0	0	0	0	0	0	0	0			1								
72201	Player_Wind_PermanentSkill_2																									722	1	2	0	0	0	0	0	0	0	0	0			4								
73001	PlayerBoy_Common_SkillUpgrade_1					0.44462	0.4343	0.52976	0.58308	0.70778	0.559	0.60716	20	0.639324	1.278377	1.596762										730	1	3	0	0	0	0	0	0	0	0	0			0								
73002	PlayerBoy_Common_SkillUpgrade_1					0.48081	0.46965	0.57288	0.63054	0.76539	0.6045	0.65658	20	0.691362	1.382431	1.726731										730	2	3	12500	104301	3	112008	6	0	0	0	0			2								
73003	PlayerBoy_Common_SkillUpgrade_1					0.517	0.505	0.616	0.678	0.823	0.65	0.706	20	0.7434	1.486485	1.8567										730	3	3	17500	104305	2	112009	3	0	0	0	0			3								
73004	PlayerBoy_Common_SkillUpgrade_1					0.5687	0.5555	0.6776	0.7458	0.9053	0.715	0.7766	20	0.81774	1.635134	2.04237										730	4	3	25000	104308	4	112009	4	0	0	0	0			3								
73005	PlayerBoy_Common_SkillUpgrade_1					0.60489	0.59085	0.72072	0.79326	0.96291	0.7605	0.82602	20	0.869778	1.739187	2.172339										730	5	3	30000	104302	6	112009	6	0	0	0	0			4								
73006	PlayerBoy_Common_SkillUpgrade_1					0.64625	0.63125	0.77	0.8475	1.02875	0.8125	0.8825	20	0.92925	1.858106	2.320875										730	6	3	37500	104305	9	112009	9	0	0	0	0			4								
73007	PlayerBoy_Common_SkillUpgrade_1					0.70312	0.6868	0.83776	0.92208	1.11928	0.884	0.96016	20	1.011024	2.02162	2.525112										730	7	3	120000	104309	4	112010	4	113005	1	0	0			5								
73008	PlayerBoy_Common_SkillUpgrade_1					0.75999	0.74235	0.90552	0.99666	1.20981	0.9555	1.03782	20	1.092798	2.185133	2.729349										730	8	3	260000	104303	6	112010	6	113005	1	0	0			5								
73009	PlayerBoy_Common_SkillUpgrade_1					0.81686	0.7979	0.97328	1.07124	1.30034	1.027	1.11548	20	1.174572	2.348646	2.933586										730	9	3	450000	104306	12	112010	9	113005	2	0	0			6								
73010	PlayerBoy_Common_SkillUpgrade_1					0.8789	0.8585	1.0472	1.1526	1.3991	1.105	1.2002	20	1.26378	2.527025	3.15639										730	10	3	700000	104309	16	112010	12	113005	2	104319	1			6								
73011	PlayerBoy_Common_SkillUpgrade_1					0.94094	0.9191	1.12112	1.23396	1.49786	1.183	1.28492	20	1.352988	2.705403	3.379194										730	11	3	0	0	0	0	0	0	0	0	0			6								
73012	PlayerBoy_Common_SkillUpgrade_1					1.00298	0.9797	1.19504	1.31532	1.59662	1.261	1.36964	20	1.442196	2.883781	3.601998										730	12	3	0	0	0	0	0	0	0	0	0			6								
73013	PlayerBoy_Common_SkillUpgrade_1					1.06502	1.0403	1.26896	1.39668	1.69538	1.339	1.45436	20	1.531404	3.062159	3.824802										730	13	3	0	0	0	0	0	0	0	0	0			6								
73014	PlayerBoy_Common_SkillUpgrade_1					1.12706	1.1009	1.34288	1.47804	1.79414	1.417	1.53908	20	1.620612	3.240537	4.047606										730	14	3	0	0	0	0	0	0	0	0	0			6								
73015	PlayerBoy_Common_SkillUpgrade_1					1.1891	1.1615	1.4168	1.5594	1.8929	1.495	1.6238	20	1.70982	3.418915	4.27041										730	15	3	0	0	0	0	0	0	0	0	0			6								
73101	PlayerGirl_Common_SkillUpgrade_1					0.44462	0.4343	0.52976	0.58308	0.70778	0.559	0.7224	20	0.639324	1.278377	1.596762										731	1	3	0	0	0	0	0	0	0	0	0			0								
73102	PlayerGirl_Common_SkillUpgrade_1					0.48081	0.46965	0.57288	0.63054	0.76539	0.6045	0.7812	20	0.691362	1.382431	1.726731										731	2	3	12500	104301	3	112008	6	0	0	0	0			2								
73103	PlayerGirl_Common_SkillUpgrade_1					0.517	0.505	0.616	0.678	0.823	0.65	0.84	20	0.7434	1.486485	1.8567										731	3	3	17500	104305	2	112009	3	0	0	0	0			3								
73104	PlayerGirl_Common_SkillUpgrade_1					0.5687	0.5555	0.6776	0.7458	0.9053	0.715	0.924	20	0.81774	1.635134	2.04237										731	4	3	25000	104308	4	112009	4	0	0	0	0			3								
73105	PlayerGirl_Common_SkillUpgrade_1					0.60489	0.59085	0.72072	0.79326	0.96291	0.7605	0.9828	20	0.869778	1.739187	2.172339										731	5	3	30000	104302	6	112009	6	0	0	0	0			4								
73106	PlayerGirl_Common_SkillUpgrade_1					0.64625	0.63125	0.77	0.8475	1.02875	0.8125	1.05	20	0.92925	1.858106	2.320875										731	6	3	37500	104305	9	112009	9	0	0	0	0			4								
73107	PlayerGirl_Common_SkillUpgrade_1					0.70312	0.6868	0.83776	0.92208	1.11928	0.884	1.1424	20	1.011024	2.02162	2.525112										731	7	3	120000	104309	4	112010	4	113005	1	0	0			5								
73108	PlayerGirl_Common_SkillUpgrade_1					0.75999	0.74235	0.90552	0.99666	1.20981	0.9555	1.2348	20	1.092798	2.185133	2.729349										731	8	3	260000	104303	6	112010	6	113005	1	0	0			5								
73109	PlayerGirl_Common_SkillUpgrade_1					0.81686	0.7979	0.97328	1.07124	1.30034	1.027	1.3272	20	1.174572	2.348646	2.933586										731	9	3	450000	104306	12	112010	9	113005	2	0	0			6								
73110	PlayerGirl_Common_SkillUpgrade_1					0.8789	0.8585	1.0472	1.1526	1.3991	1.105	1.428	20	1.26378	2.527025	3.15639										731	10	3	700000	104309	16	112010	12	113005	2	104319	1			6								
73111	PlayerGirl_Common_SkillUpgrade_1					0.94094	0.9191	1.12112	1.23396	1.49786	1.183	1.5288	20	1.352988	2.705403	3.379194										731	11	3	0	0	0	0	0	0	0	0	0			6								
