ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	GadgetID1	GadgetID2	GadgetID3	类型ID1	类型ID2	可配置表面	限制摆放数	特殊家具类型	室内场景ID	舒适度	堆叠上限	Cost	打折Cost	灯光合并	阶数	JSON名称	图文教程	浮空箭头类型ID	屏蔽乐高文本	存档类型
364401	6		700		0			成品家具				1006		10		1		30	9999	0	0		3					
364402	6		700		0			成品家具				1006		10		1		30	9999	0	0		3					
372101	6		1600		0			成品家具	77002001			10001		9				20	9999	50	25		3					
372102	6		1600		0			成品家具	77002002			10001		9				20	9999	50	25		3					
372103	6		1600		0			成品家具	77002003			10001		9				20	9999	50	25		3					
372104	6		1600		0			成品家具	77002004			10001		9				20	9999	50	25		3					
372105	6		1600		0			成品家具	77002005			10001		9				20	9999	50	25		3					
372106	6		1600		0			成品家具	77002006			10001		9				20	9999	50	25		3					
361301	6		3200		0			成品家具	77103001			3003		0				60	9999	169	127		3					
361302	6		3200		0			成品家具	77103002			3003		0				60	9999	254	191		3					
361303	6		3200		0			成品家具	77103003			3003		0				60	9999	254	191		3					
361101	6		4100		0			成品家具	77103004			3005		0				60	9999	85	64		3					
361304	6		3200		0			成品家具	77103005			3003		0				90	9999	558	176		4					
361305	6		3200		0			成品家具	77103006			3003		0				60	9999	558	85		3					
361306	6		3200		0			成品家具	77103007			3003		0				60	9999	169	127		3					
361307	6		3200		0			成品家具	77103008			3003		0				30	9999	85	64		2					
361308	6		3200		0			成品家具	77103009			3003		0				60	9999	85	64		3					
361309	6		3200		0			成品家具	77103010			3003		0				60	9999	85	64		3					
361501	6		4100		0			成品家具	77103011			3005		0				60	9999	101	76		3					
361310	6		3200		0			成品家具	77103012			3003		0				60	9999	85	64		3					
362201	6		2400		0			成品家具	77104001			4002		0				60	9999	727	254		3					
363301	6		4800		0			成品家具	77104002			11002		3				60	9999	85	64		3					
364201	6		2400		0			成品家具	77104003			4002		0				30	9999	85	64		2					
362202	6		2400		0			成品家具	77104004			4002		0				90	9999	85	64		4					
362203	6		2400		0			成品家具	77104005			4002		0				90	9999	254	191		4					
362101	6		3100		0			成品家具	77105001			4001		0				90	9999	169	127		4					
362102	6		3100		0			成品家具	77105002			4001		0				60	9999	85	64		3					
362103	6		3100		0			成品家具	77105003			4001		0				60	9999	169	127		3					
362104	6		3100		0			成品家具	77105004			4001		0				30	9999	85	64		2					
362105	6		3100		0			成品家具	77105005			4001		0				60	9999	85	64		3					
362106	6		3100		0			成品家具	77105006			4001		0				60	9999	85	64		3					
364202	6		5000		0			成品家具	77108003			5005		1				60	9999	169	127	1	3					
363101	6		2500		0			成品家具	77108004			11003		3				60	9999	85	64	1	3					
363102	6		2500		0			成品家具	77108005			11003		3				60	9999	220	199	1	3					
363103	6		2500		0			成品家具	77108006			11003		3				60	9999	220	199	1	3					
361311	6		3200		0			成品家具	77110001			3003		0				60	9999	85	64		3					
361201	6		3900		0			成品家具	77110002			3002		0				90	9999	254	191		4					
361202	6		3900		0			成品家具	77110003			3002		0				90	9999	169	127		4					
361203	6		3900		0			成品家具	77110004			3002		0				90	9999	169	127		4					
361204	6		3900		0			成品家具	77110005			3002		0				90	9999	270	203		4					
361205	6		3900		0			成品家具	77110006			3002		0				90	9999	169	127		4					
361102	6		3300		0			成品家具	77110007			3001		0				60	9999	254	191		3					
361103	6		3300		0			成品家具	77110008			3001		0				60	9999	338	254		3					
361104	6		3300		0			成品家具	77110009			3001		0				60	9999	85	64		3					
361206	6		3900		0			成品家具	77110010			3002		0				60	9999	196	147		3					
361207	6		3900		0			成品家具	77110011			3002		0				60	9999	201	151		3					
361208	6		3900		0			成品家具	77110012			3002		0				60	9999	85	64		3					
362301	6		4500		0			成品家具	77111001			4004		8				60	9999	85	64		3					
362302	6		4500		0			成品家具	77111002			4004		8				60	9999	85	64		3					
362303	6		4500		0			成品家具	77111003			4004		8				60	9999	85	64		3					
362304	6		4500		0			成品家具	77111004			4004		8				60	9999	85	64		3					
364203	6		5000		0			成品家具	77112001			5005		1				30	9999	85	64		2					
364204	6		5000		0			成品家具	77112002			5005		1				30	9999	85	64		2					
364205	6		5000		0			成品家具	77112003			5005		1				30	9999	85	64		2					
364101	6		4900		0			成品家具	77112004			5003		1				90	9999	85	64		4					
364102	6		4900		0			成品家具	77112005			5003		1				90	9999	85	64		4					
364103	6		4900		0			成品家具	77112006			5003		1				90	9999	85	64		4					
364206	6		5000		0			成品家具	77112007			5005		1				60	9999	85	64		3					
364207	6		5000		0			成品家具	77112008			5005		1				60	9999	85	64		3					
364208	6		5000		0			成品家具	77112009			5005		1				90	9999	85	64		4					
364209	6		5000		0			成品家具	77112010			5005		1				30	9999	85	64		2					
364210	6		5000		0			成品家具	77112011			5005		1				30	9999	85	64		2					
364104	6		4900		0			成品家具	77112012			5003		1				90	9999	85	64		4					
364105	6		4900		0			成品家具	77112013			5003		1				90	9999	85	64		4					
364106	6		4900		0			成品家具	77112014			5003		1				90	9999	85	64		4					
363302	6		4800		0			成品家具	77115001			11002		3				60	9999	85	64		3					
363303	6		4800		0			成品家具	77115002			11002		3				60	9999	85	64		3					
363304	6		4800		0			成品家具	77115003			11002		3				60	9999	85	64		3					
363305	6		4800		0			成品家具	77115004			11002		3				60	9999	169	127		3					
363201	6		4700		0			成品家具	77115005			11001		3				60	9999	169	127		3					
363202	6		4700		0			成品家具	77115006			11001		3				60	9999	169	169		3					
363203	6		4700		0			成品家具	77115007			11001		3				60	9999	169	127		3					
363204	6		4700		0			成品家具	77115008			11001		3				60	9999	169	127		3					
363306	6		4800		0			成品家具	77115009			11002		3				60	9999	169	127		3					
363307	6		4800		0			成品家具	77115010			11002		3				60	9999	113	85		3					
363308	6		4800		0			成品家具	77115011			11002		3				60	9999	85	64		3					
363205	6		4700		0			成品家具	77115012			11001		3				60	9999	338	338		3					
363309	6		4800		0			成品家具	77115013			11002		3				60	9999	85	85		3					
361401	6		4200		0			成品家具	77109001			3006		0				60	9999	85	64		3					
361402	6		4200		0			成品家具	77109002			3006		0				60	9999	85	64		3					
361105	6		3300		0			成品家具	77110013			3001		0				60	9999	85	64		3					
362204	6		2400		0			成品家具	77110014			4002		0				60	9999	85	64		3					
362205	6		2400		0			成品家具	77110015			4002		0				60	9999	85	64		3					
361106	6		3300		0			成品家具	77110016			3001		0				60	9999	85	64		3					
364211	6		5000		0			成品家具	77112015			5005		1				90	9999	85	64		4					
362206	6		2400		0			成品家具	77104006			4002		0				90	9999	85	64		4					
362207	6		2400		0			成品家具	77104007			4002		0				90	9999	85	64		4					
363104	6		2500		0			成品家具	77108009			11003		3				60	9999	85	64	1	3					
370301	6		1300		0			成品家具	77200001			6005		0				60	9999	60	43		3					
370302	6		1300		0			成品家具	77200002			6005		0				60	9999	145	106		3					
370303	6		1300		0			成品家具	77200003			6005		0				60	9999	175	129		3					
370304	6		1300		0			成品家具	77200004			6005		0				90	9999	190	141		4					
370305	6		1300		0			成品家具	77200005			6005		0				60	9999	80	60		3					
370201	6		1100		0			成品家具	77200006			13002		0				60	9999	205	103		3					
370202	6		1100		0			成品家具	77200007			13002		0				60	9999	255	126		3					
370203	6		1100		0			成品家具	77200008			13002		0				60	9999	245	121		3					
370204	6		1100		0			成品家具	77200009			13002		0				60	9999	200	100		3					
371101	6		900		0			成品家具	77200010			6003		0				90	9999	160	160		4					
370205	6		1100		0			成品家具	77200011			13002		0				60	9999	300	149		3					
370206	6		1100		0			成品家具	77200012			13002		0				60	9999	195	98		3					
370207	6		1100		0			成品家具	77200013			13002		0				60	9999	160	118		3					
370306	6		1300		0			成品家具	77200014			6005		0				60	9999	85	62		3					
370501	6		1400		0			成品家具	77200015			6006		0				60	9999	125	110		3					
370307	6		1300		0			成品家具	77200016			6005		0				60	9999	110	93		3					
370101	6		1000		0			成品家具	77200017			13001		0				30	9999	125	62		2					
370102	6		1000		0			成品家具	77200018			13001		0				30	9999	110	80		2					
370502	6		1400		0			成品家具	77200019			6006		0				30	9999	35	24		2					
370103	6		1000		0			成品家具	77200020			13001		0				60	9999	210	104		3					
370104	6		1000		0			成品家具	77200021			13001		0				60	9999	205	101		3					
370105	6		1000		0			成品家具	77200022			13001		0				60	9999	185	91		3					
370106	6		1000		0			成品家具	77200023			13001		0				60	9999	85	53		3					
370107	6		1000		0			成品家具	77200024			13001		0				60	9999	85	53		3					
370108	6		1000		0			成品家具	77200025			13001		0				60	9999	85	41		3					
370208	6		1000		0			成品家具	77200026			13001		0				60	9999	85	53		3					
371201	6		800		0			成品家具	77200027			6002		0				90	9999	95	71		4					
370401	6		1200		0			成品家具	77200028			13003		0				60	9999	155	113		3					
371102	6		900		0			成品家具	77200029			6003		0				60	9999	85	63		3					
370402	6		1200		0			成品家具	77200030			13003		0				90	9999	290	144		4					
371103	6		900		0			成品家具	77200031			6003		0				30	9999	95	71		2					
374301	6		1200		0			成品家具	77200032			13003		0				60	9999	95	71		3					
370503	6		1400		0			成品家具	77200033			6006		0				60	9999	110	93		3					
370504	6		1400		0			成品家具	77200034			6006		0				60	9999	65	47		3					
375101	6		100		0			成品家具	77200035			12001		13		6	2201	750	9999	945	945		5					
374302	6		3200		0			成品家具	77203001			7002		0				30	9999	35	24		2					
374303	6		3200		0			成品家具	77203002			7002		0				60	9999	35	24		3					
374304	6		3200		0			成品家具	77203003			7002		0				30	9999	35	24		2					
370308	6		1300		0			成品家具	77203004			6005		0				60	9999	145	121		3					
374305	6		3200		0			成品家具	77203005			7002		0				60	9999	35	24		3					
374306	6		3200		0			成品家具	77203006			7002		0				90	9999	35	24		4					
373301	6		2400		0			成品家具	77204001			7005		0				30	9999	65	47		2					
373302	6		2400		0			成品家具	77204002			7005		0				30	9999	35	24		2					
373303	6		2400		0			成品家具	77204003			7005		0				60	9999	35	24		3					
373101	6		2200		0			成品家具	77204004			7001		0				30	9999	40	28		2					
373102	6		2200		0			成品家具	77204005			7001		0				30	9999	35	24		2					
373304	6		2400		0			成品家具	77204006			7005		0				30	9999	65	47		2					
373103	6		2200		0			成品家具	77204007			7001		0				30	9999	35	24		2					
373305	6		2400		0			成品家具	77204008			7005		0				60	9999	190	141		3					
373104	6		2200		0			成品家具	77204009			7001		0				60	9999	65	47		3					
373201	6		2300		0			成品家具	77204010			7003		0				60	9999	125	125		3					
373105	6		2200		0			成品家具	77204011			7001		0				60	9999	85	61		3					
373106	6		2200		0			成品家具	77204012			7001		0				60	9999	110	93		3					
370309	6		1300		0			成品家具	77204013			6005		0				60	9999	60	43		3					
374401	6		3300		0			成品家具	77204014			7004		0				60	9999	65	47		3					
374402	6		3300		0			成品家具	77204015			7004		0				60	9999	95	71		3					
374307	6		3200		0			成品家具	77204016			7002		0				60	9999	60	43		3					
373306	6		2400		0			成品家具	77204017			7005		0				60	9999	35	24		3					
373107	6		2200		0			成品家具	77204018			7001		0				30	9999	35	24		2					
373307	6		2400		0			成品家具	77204019			7005		0				30	9999	95	71		2					
373308	6		2400		0			成品家具	77204020			7005		0				60	9999	190	141		3					
373309	6		2400		0			成品家具	77204021			7005		0				90	9999	50	37		4					
373310	6		2400		0			成品家具	77204022			7005		0				90	9999	50	37		4					
373108	6		2200		0			成品家具	77204023			7001		0				60	9999	35	24		3					
373109	6		2200		0			成品家具	77204024			7001		0				60	9999	35	24		3					
373110	6		2200		0			成品家具	77204025			7001		0				30	9999	35	24		2					
374101	6		3000		0			成品家具	77204026			7006		0				30	9999	35	24		2					
374102	6		3000		0			成品家具	77204027			7006		0				30	9999	35	24		2					
374103	6		3000		0			成品家具	77204028			7006		0				30	9999	65	47		2					
374104	6		3000		0			成品家具	77204029			7006		0				30	9999	65	47		2					
373111	6		2200		0			成品家具	77204030			7001		0				60	9999	65	47		3					
373112	6		2200		0			成品家具	77204031			7001		0				60	9999	35	24		3					
373113	6		2200		0			成品家具	77204032			7001		0				30	9999	65	47		2					
374201	6		3100		0			成品家具	77205001			7007		0				30	9999	35	24		2					
374202	6		3100		0			成品家具	77205002			7007		0				30	9999	35	24		2					
374308	6		3200		0			成品家具	77206001			7002		0				60	9999	95	71		3					
374309	6		3200		0			成品家具	77206002			7002		0				60	9999	95	71		3					
373202	6		2300		0			成品家具	77207001			7003		0				60	9999	65	47		3					
374105	6		3000		0			成品家具	77207002			7006		0				60	9999	65	65		3					
373401	6		2500		0			成品家具	77208001			7008		0				60	9999	115	97	1	3					
373402	6		2500		0			成品家具	77208002			7008		0				30	9999	85	74	1	2					
373403	6		2500		0			成品家具	77208003			7008		0				60	9999	135	124	1	3					
373404	6		2500		0			成品家具	77208004			7008		0				60	9999	85	74	1	3					
373405	6		2500		0			成品家具	77208005			7008		0				60	9999	115	97	1	3					
372401	6		3300		0			成品家具	77210001			7004	3001	0				20	9999	70	70		3					
372402	6		1900		0			成品家具	77213001			10004		0				20	9999	50	50		3					
372403	6		1900		0			成品家具	77213002			10004		0				20	9999	50	50		3					
372404	6		1900		0			成品家具	77213003			10004		0				20	9999	50	50		3					
372405	6		1900		0			成品家具	77213004			10004		0				20	9999	50	50		3					
372406	6		1900		0			成品家具	77213005			10004		0				20	9999	50	50		3					
372407	6		1900		0			成品家具	77213006			10004		0				20	9999	50	50		3					
372408	6		1900		0			成品家具	77213007			10004		0				20	9999	50	50		3					
372409	6		1900		0			成品家具	77213008			10004		0				20	9999	50	50		3					
372301	6		1800		0			成品家具	77213009			10003		0				20	9999	150	150		3					
372302	6		1800		0			成品家具	77213010			10003		0				20	9999	50	50		3					
372303	6		1800		0			成品家具	77213011			10003		0				20	9999	50	50		3					
372304	6		1800		0			成品家具	77213012			10003		0				20	9999	350	350		3					
372305	6		1800		0			成品家具	77213013			10003		0				20	9999	50	50		3					
372306	6		1800		0			成品家具	77213014			10003		0				20	9999	100	100		3					
372201	6		1700		0			成品家具	77214001			10002		0				20	9999	35	24		3					
372202	6		1700		0			成品家具	77214002			10002		0				20	9999	35	24		3					
372203	6		1700		0			成品家具	77214003			10002		0				20	9999	35	21		3					
373114	6		2200		0			成品家具	77215001			7001		0				60	9999	35	24		3					
371202	6		800		0			成品家具	77200036			6002		0				90	9999	45	33		4					
371203	6		800		0			成品家具	77200037			6002		0				90	9999	35	24		4					
371204	6		800		0			成品家具	77200038			6002		0				90	9999	35	24		4					
377101	6				0				77015008					14		7		0	0	0	0		1					
362208	6		2400		0			成品家具	77104009			4002		0				90	9999	85	64		4					
3750102	6		100		0			成品家具	77200040			12001		13		6	2202	750	9999	1440	1440		5					
370109	6		1000		0			成品家具	77200041			13001		0				90	9999	185	79		4					
370110	6		1000		0			成品家具	77200042			13001		0				90	9999	185	136		4					
371205	6		800		0			成品家具	77200043			6002		0				90	9999	160	118		4					
371206	6		800		0			成品家具	77200044			6002		0				90	9999	95	71		4					
371207	6		800		0			成品家具	77200045			6002		0				90	9999	95	71		4					
371208	6		800		0			成品家具	77200046			6002		0				90	9999	95	61		4					
371209	6		800		0			成品家具	77200047			6002		0				90	9999	95	61		4					
371210	6		800		0			成品家具	77200048			6002		0				90	9999	180	117		4					
371211	6		800		0			成品家具	77200049			6002		0				90	9999	95	71		4					
372307	6		1800		0			成品家具	77213015			10003		0				20	9999	200	200		3					
372308	6		1800		0			成品家具	77213016			10003		0				20	9999	100	100		3					
372309	6		1800		0			成品家具	77213017			10003		0				20	9999	250	250		3					
372310	6		1800		0			成品家具	77213018			10003		0				20	9999	250	250		3					
372311	6		1800		0			成品家具	77213019			10003		0				20	9999	200	200		3					
372312	6		1800		0			成品家具	77213020			10003		0				20	9999	100	100		3					
372313	6		1800		0			成品家具	77213021			10003		0				20	9999	100	100		3					
372314	6		1800		0			成品家具	77213022			10003		0				20	9999	100	100		3					
372315	6		1800		0			成品家具	77213023			10003		0				20	9999	100	100		3					
372316	6		1800		0			成品家具	77213024			10003		0				20	9999	100	100		3					
372317	6		1800		0			成品家具	77213025			10003		0				20	9999	50	50		3					
372318	6		1800		0			成品家具	77213026			10003		0				20	9999	100	100		3					
372319	6		1800		0			成品家具	77213027			10003		0				20	9999	50	50		3					
372410	6		1900		0			成品家具	77213028			10004		0				10	9999	50	50		2					
372411	6		1900		0			成品家具	77213029			10004		0				10	9999	50	50		2					
372412	6		1900		0			成品家具	77213030			10004		0				10	9999	50	50		2					
372413	6		1900		0			成品家具	77213031			10004		0				20	9999	50	50		3					
372414	6		1900		0			成品家具	77213032			10004		0				20	9999	50	50		3					
372415	6		1900		0			成品家具	77213033			10004		0				20	9999	50	50		3					
372416	6		1900		0			成品家具	77213034			10004		0				20	9999	50	50		3					
372417	6		1900		0			成品家具	77213035			10004		0				20	9999	50	50		3					
372418	6		1900		0			成品家具	77213036			10004		0				20	9999	50	50		3					
372419	6		1900		0			成品家具	77213037			10004		0				10	9999	50	50		2					
372420	6		1900		0			成品家具	77213038			10004		0				10	9999	50	50		2					
372421	6		1900		0			成品家具	77213039			10004		0				10	9999	50	50		2					
372422	6		1900		0			成品家具	77213040			10004		0				10	9999	50	50		2					
372423	6		1900		0			成品家具	77213041			10004		0				10	9999	50	50		2					
372424	6		1900		0			成品家具	77213042			10004		0				10	9999	50	50		2					
372425	6		1900		0			成品家具	77213043			10004		0				10	9999	50	50		2					
372426	6		1900		0			成品家具	77213044			10004		0				10	9999	50	50		2					
372427	6		1900		0			成品家具	77213045			10004		0				10	9999	50	50		2					
372428	6		1900		0			成品家具	77213046			10004		0				10	9999	50	50		2					
372429	6		1900		0			成品家具	77213047			10004		0				10	9999	50	50		2					
372430	6		1900		0			成品家具	77213048			10004		0				20	9999	50	50		3					
372431	6		1900		0			成品家具	77213049			10004		0				20	9999	50	50		3					
372432	6		1900		0			成品家具	77213050			10004		0				20	9999	50	50		3					
372204	6		1700		0			成品家具	77214004			10002		0				20	9999	35	24		3					
372205	6		1700		0			成品家具	77214005			10002		0				20	9999	35	24		3					
372206	6		1700		0			成品家具	77214006			10002		0				20	9999	35	24		3					
372207	6		1700		0			成品家具	77214007			10002		0				20	9999	35	24		3					
372208	6		1700		0			成品家具	77214008			10002		0				20	9999	35	24		3					
372209	6		1700		0			成品家具	77214009			10002		0				20	9999	35	24		3					
372210	6		1700		0			成品家具	77214010			10002		0				20	9999	35	24		3					
372211	6		1700		0			成品家具	77214011			10002		0				20	9999	35	24		3					
372212	6		1700		0			成品家具	77214012			10002		0				20	9999	35	24		3					
372213	6		1700		0			成品家具	77214013			10002		0				20	9999	35	24		3					
372214	6		1700		0			成品家具	77214014			10002		0				20	9999	35	24		3					
372215	6		1700		0			成品家具	77214015			10002		0				20	9999	35	24		3					
372216	6		1700		0			成品家具	77214016			10002		0				20	9999	35	24		3					
372217	6		1700		0			成品家具	77214017			10002		0				20	9999	35	24		3					
372218	6		1700		0			成品家具	77214018			10002		0				20	9999	35	24		3					
372219	6		1700		0			成品家具	77214019			10002		0				20	9999	35	24		3					
372220	6		1700		0			成品家具	77214020			10002		0				30	9999	35	24		4					
372221	6		1700		0			成品家具	77214021			10002		0				30	9999	35	24		4					
371104	6		900		0			成品家具	77200039			6003		0				90	9999	185	185		4					
360406	6		2500		0			成品家具	77108011			11003		0				90	9999	305	262	1	4					
362209	6		2400		0			成品家具	77104008			4002		0				90	9999	175	131		4					
373115	6		2200		0			成品家具	77204033			7001		0				30	9999	35	24		2					
373203	6		2300		0			成品家具	77204034			7003		0				30	9999	35	24		2					
374106	6		3000		0			成品家具	77213051			7006		0				60	9999	95	95		3					
374107	6		3000		0			成品家具	77215002			7006		0				30	9999	35	24		2					
374108	6		3000		0			成品家具	77215003			7006		0				30	9999	35	24		2					
373116	6		2200		0			成品家具	77215004			7001		0				30	9999	35	24		2					
371107	6		900		0			成品家具	77215005			6003		0				30	9999	145	121		2					
373117	6		2200		0			成品家具	77215006			7001		0				30	9999	35	24		2					
373118	6		2200		0			成品家具	77215007			7001		0				60	9999	35	24		3					
373311	6		2400		0			成品家具	77215008			7005		0				60	9999	60	43		3					
373312	6		2400		0			成品家具	77215009			7005		0				60	9999	35	24		3					
373119	6		2200		0			成品家具	77215010			7001		0				60	9999	65	47		3					
363310	6		4800		0			成品家具	77215011			11002		3				60	9999	35	35		3					
374310	6		3200		0			成品家具	77203007			7002		0				90	9999	85	64		4					
374311	6		3200		0			成品家具	77203008			7002		0				90	9999	35	24		4					
374403	6		3300		0			成品家具	77204035			7004		0				90	9999	130	95		4					
373120	6		2200		0			成品家具	77204036			7001		0				90	9999	35	24		4					
374404	6		3300		0			成品家具	77204037			7004		0				90	9999	35	24		4					
373313	6		2400		0			成品家具	77204038			7005		0				90	9999	35	24		4					
373121	6		2200		0			成品家具	77204039			7001		0				60	9999	65	47		3					
373122	6		2200		0			成品家具	77204040			7001		0				60	9999	35	24		3					
373123	6		2200		0			成品家具	77204041			7001		0				60	9999	35	24		3					
373124	6		2200		0			成品家具	77204042			7001		0				60	9999	35	24		3					
374203	6		3100		0			成品家具	77205003			7007		0				90	9999	35	24		4					
371109	6		900		0			成品家具	77215012			6003		0				90	9999	400	400		4					
372501	6		2000		0			成品家具	77215014			10005		0	2	2		90	9999	500	500		4					
