ID	AbilityName	[参数信息]1参数名	[参数信息]1参数	[参数信息]2参数名	[参数信息]2参数	[参数信息]3参数名	[参数信息]3参数	[参数信息]4参数名	[参数信息]4参数	[参数信息]5参数名	[参数信息]5参数	参数名列表	参数值列表	是否刷新所有AbilitySpecials
200058	MonsterAffix_Apparatus_Perpetual_HPDown_ForMachinery	HPRatio	-0.7									HPRatio	-0.7	
200059	GeneralSkill_DeathZone_Shield	SubHurtDelta_AllType	0.15	AttackRatio	0.1	TriggerCD	15					SubHurtDelta_AllType,AttackRatio,TriggerCD	0.15,0.1,15	
200060	MonsterAffix_Sovereign_Slave_ValueChangeble	SubHurtRatio	0.1	HealInterval	12	HealRatio	0.05					SubHurtRatio,HealInterval,HealRatio	0.1,12,0.05	
200061	MonsterAffix_FallingAttack_DefenseDown	SubHurtRatio	-0.4	SubHurtDuration	8							SubHurtRatio,SubHurtDuration	-0.4,8	
200062	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage1_NormalEntity	HPRatio	0	AtkRatio	-0.2							HPRatio,AtkRatio	0,-0.2	
200063	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage1_EliteEntity	HPRatio	0.8	AtkRatio	-0.2							HPRatio,AtkRatio	0.8,-0.2	
200064	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage2_NormalEntity	HPRatio	0.4	AtkRatio	-0.2							HPRatio,AtkRatio	0.4,-0.2	
200065	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage2_EliteEntity	HPRatio	1.7	AtkRatio	-0.2							HPRatio,AtkRatio	1.7,-0.2	
200066	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage3_NormalEntity	HPRatio	0	AtkRatio	-0.2							HPRatio,AtkRatio	0,-0.2	
200067	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage3_EliteEntity	HPRatio	0.8	AtkRatio	-0.2							HPRatio,AtkRatio	0.8,-0.2	
200068	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage4_NormalEntity	HPRatio	0	AtkRatio	-0.2							HPRatio,AtkRatio	0,-0.2	
200069	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage4_EliteEntity	HPRatio	0.8	AtkRatio	-0.2							HPRatio,AtkRatio	0.8,-0.2	
200070	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage5_NormalEntity	HPRatio	0.4	AtkRatio	-0.2							HPRatio,AtkRatio	0.4,-0.2	
200071	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage5_EliteEntity	HPRatio	1.3	AtkRatio	-0.2							HPRatio,AtkRatio	1.3,-0.2	
200072	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage6_NormalEntity	HPRatio	0	AtkRatio	-0.2							HPRatio,AtkRatio	0,-0.2	
200073	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage6_EliteEntity	HPRatio	1	AtkRatio	-0.2							HPRatio,AtkRatio	1,-0.2	
200074	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage7_NormalEntity	HPRatio	0	AtkRatio	-0.2							HPRatio,AtkRatio	0,-0.2	
200075	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage7_EliteEntity	HPRatio	0.8	AtkRatio	-0.2							HPRatio,AtkRatio	0.8,-0.2	
200076	MonsterAffix_PropertiesUp_ForInstableSpray_Stage1	HPRatio	0.5									HPRatio	0.5	
200077	MonsterAffix_PropertiesUp_ForInstableSpray_Stage2	HPRatio	0.5									HPRatio	0.5	
200078	MonsterAffix_PropertiesUp_ForInstableSpray_Stage3	HPRatio	0.5									HPRatio	0.5	
200079	MonsterAffix_PropertiesUp_ForInstableSpray_Stage4	HPRatio	0.5									HPRatio	0.5	
200080	MonsterAffix_Activity_Sumov3_Stage1	Stage1HPRatio	0.5	Stage1AtkRatio	0							Stage1HPRatio,Stage1AtkRatio	0.5,0	
200081	MonsterAffix_Activity_Sumov3_Stage2	Stage2HPRatio	0	Stage2AtkRatio	-0.2							Stage2HPRatio,Stage2AtkRatio	0,-0.2	
200082	MonsterAffix_Activity_Sumov3_Stage3	Stage3HPRatio	0	Stage3AtkRatio	-0.1							Stage3HPRatio,Stage3AtkRatio	0,-0.1	
200083	MonsterAffix_Activity_Sumov3_Stage4	Stage4HPRatio	0	Stage4AtkRatio	-0.2							Stage4HPRatio,Stage4AtkRatio	0,-0.2	
200084	MonsterAffix_Activity_Sumov3_Stage5	Stage5HPRatio	0	Stage5AtkRatio	-0.2							Stage5HPRatio,Stage5AtkRatio	0,-0.2	
200085	MonsterAffix_Activity_Sumov3_Stage6	Stage6HPRatio	0.25	Stage6AtkRatio	-0.1							Stage6HPRatio,Stage6AtkRatio	0.25,-0.1	
200086	MonsterAffix_Property_ForCharAmusement_Shield	HPRatio	0	AttackRatio	-0.6	SubHurtDelta_AllType	0					HPRatio,AttackRatio,SubHurtDelta_AllType	0,-0.6,0	
200087	MonsterAffix_Property_ForCharAmusement_Chain	HPRatio	0	AttackRatio	-0.6	SubHurtDelta_AllType	10					HPRatio,AttackRatio,SubHurtDelta_AllType	0,-0.6,10	
200088	MonsterAffix_Property_ForCharAmusement_FastKill	HPRatio	-0.3	AttackRatio	-0.6	SubHurtDelta_AllType	10					HPRatio,AttackRatio,SubHurtDelta_AllType	-0.3,-0.6,10	
200089	MonsterAffix_Effigy_Elite_PropertyLevel1	Elite_HP_Level1	0	Elite_Attack_Level1	0							Elite_HP_Level1,Elite_Attack_Level1	0,0	
200090	MonsterAffix_Effigy_Elite_PropertyLevel2	Elite_HP_Level2	0.5	Elite_Attack_Level2	0							Elite_HP_Level2,Elite_Attack_Level2	0.5,0	
200091	MonsterAffix_Effigy_Elite_PropertyLevel3	Elite_HP_Level3	1	Elite_Attack_Level3	0							Elite_HP_Level3,Elite_Attack_Level3	1,0	
200092	MonsterAffix_Effigy_Elite_PropertyLevel4	Elite_HP_Level4	3	Elite_Attack_Level4	0.2							Elite_HP_Level4,Elite_Attack_Level4	3,0.2	
200093	MonsterAffix_Effigy_Elite_Violent	Elite_Violent_CountDown	120	Elite_Violent_Interval	20	Elite_Violent_Attack	0.4					Elite_Violent_CountDown,Elite_Violent_Interval,Elite_Violent_Attack	120,20,0.4	
200094	Affix_FungusFighter_Burning	burning_damage_ratio	0.69									burning_damage_ratio	0.69	
200095	Affix_FungusFighter_LowImpulse_Ice	damage_ratio	4.76									damage_ratio	4.76	
200096	Affix_FungusFighter_ElectricRing	damage_ratio	0.82									damage_ratio	0.82	
200097	Affix_FungusFighter_FireBleeding	damage_ratio	0.41									damage_ratio	0.41	
200098	Fungus_BVB_MyFavoriteFungus	hp_ratio	2									hp_ratio	2	
200099	Affix_FungusFighter_HPFix_Level_1	hp_ratio	4									hp_ratio	4	
200100	Affix_FungusFighter_HPFix_Level_2	hp_ratio	4.5									hp_ratio	4.5	
200101	Affix_FungusFighter_HPFix_Level_3	hp_ratio	5									hp_ratio	5	
200102	Affix_FungusFighter_HPFix_Level_4	hp_ratio	5.5									hp_ratio	5.5	
200103	Affix_FungusFighter_HPFix_Level_5	hp_ratio	6									hp_ratio	6	
200104	Affix_FungusFighter_HPFix_Level_6	hp_ratio	7									hp_ratio	7	
200105	Affix_FungusFighter_HPFix_PlayerTeam	hp_ratio	6									hp_ratio	6	
