配置ID	执行类型	执行参数1	执行参数2	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	客机能否交互	备注	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	消耗道具5ID	消耗道具5数量	消耗道具6ID	消耗道具6数量	[交互条件]1类型	[交互条件]1参数1	[交互条件]1参数2	[交互条件]2类型	[交互条件]2参数1	[交互条件]2参数2	[交互条件]组合	联机模式下能否交互
52	1	201		1	201						test 开启船的门	101583	1																		1
53	1	201		1	201						test 开启船冢封印	101584	1																		1
54	1	201		1	201						test 开启船内密室	101585	1																		1
55	1	201		1	201						test 奶奶的花	101574	1																		1
56	1	201		1	201						(test)符文核心A	100934	1																		1
57	1	201		1	201						(test)符文核心B	100935	1																		1
58	1	201		1	201						(test)符文核心C	100936	1																		1
59	1	201		1	201						(test)符文核心D	100937	1																		1
60	1	201		1	201						(test)符文核心E	100938	1																		1
61	1	201		1	201						(test)冥想之石	100926	1																		1
62	1	201		1	201						(test)追叙之石	100927	1																		1
63	1	201		1	201						(test)津泽之石	100928	1																		1
64	1	201		1	201						交互切GearStart通用																				1
65	1	201		1	201						狗子 烟花诱饵																				1
66	1	201		1	201						（test）放置符文石	101592	1																		1
67	1	201		1	201						（test）放置符文石	101600	1																		1
68	1	201		1	201						（test）狗喂食盆——托马coop	101602	1																		1
69	1	201		1	201						（test）猫喂食盆——托马coop	101603	1																		1
70	1	201		1	201						(test)月浴渊之钥	100895	1																		1
71	1	201		1	201						(test)神舆之辔	100940	1																		1
72	1	201		1	201						(test)火药库钥匙	101622	1	101623	1																1
73	1	201		1	201						(test)深渊大门钥匙	101626	1																		1
74	1	201		1	201						(test)愚人众门钥匙	101630	1																		1
75	1	201		1	201						(test)休息区门钥匙	101631	1																		1
76	1	201		1	201						(test)百代牢笼钥匙	101649	1																		1
77	1	201		1	201						(test)开启传送门	100929	1	100930	1	100931	1	100932	1	100933	1										1
78	1	201		1	201						(test)开启密室	100941	1	100942	1																1
79	1	201		1	201						(test)激活小宝	101654	1																		1
80	1	201		1	201						(test)苏生之辔	100925	1																		1
81	1	201		1	201						(test)开启回廊	101655	1																		1
82	1	201		1	201						(test)开启大门	100895	1																		1
83	1	201		1	201						千年千岩WQ的任务交付1	101635	1	101636	1	101637	1	101638	1	101639	1	101640	1								1
84	1	201		1	201						千年千岩WQ的任务交付2	101640	1																		1
85	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	2	101701	2									4	4	1					1
86	1	201		1	201						(test)开启第一个岛屿	100943	1																		1
87				4	2600	1	1	201			(test)消耗一格流明石能量													1	220048		3	2600	0		1
88				4	2600	3	1	201			(test)消耗三格流明石能量													1	220048		3	2600	2		1
89				4	2600	5	1	201			(test)消耗五格流明石能量													1	220048		3	2600	4		1
90	1	201		1	201						(test)灵川之水浇灌	100944	1																		1
91	1	201		1	201						(test)2.4 铜雀庙敬香	101657	1																		1
92	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	5	101701	5									4	4	1					1
93	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	5	101701	5									4	4	6					1
94	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	5	101701	5									4	4	6					1
95	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	5	101701	5									4	4	11					1
96	3	201		3	201		1	201			(test)渊下宫活动锚点	101700	5	101701	5									4	4	11					1
97	1	201		1	201						(test)暗夜塔1装置	101700	5											4	4	1					1
98	1	201		1	201						(test)暗夜塔1装置	101701	5											4	4	1					1
99	1	201		1	201						(test)暗夜塔1装置	101702	10											4	4	1					1
100	1	201		1	201						「薄缘满光天目」	101707	1																		1
101	1	201		1	201						(test)莫娜旋转星空 左转																				1
102	1	201		1	201						(test)莫娜旋转星空  右转																				1
103	1	201		1	201						(test)暗夜塔2装置	101700	8											4	4	1					1
104	1	201		1	201						(test)暗夜塔2装置	101701	8											4	4	1					1
105	1	201		1	201						(test)暗夜塔2装置	101702	10											4	4	1					1
106	1	201		1	201						(test)暗夜塔3装置	101700	12											4	4	1					1
107	1	201		1	201						(test)暗夜塔3装置	101701	12											4	4	1					1
108	1	201		1	201						(test)暗夜塔3装置	101702	10											4	4	1					1
109	1	201		1	201						(test)WQ拼图装置	101709	8																		0
110	1	201		1	201						(test)WQ拼图装置	101710	1																		0
111	1	201		1	201						(test)2.6 开启新之丞的笼子	101708	1																		1
112	1	201		1	201						(test)黑蛇房间钥匙	101629	9																		1
113	1	201		1	201						(test)联机模式禁用交互	100001	1																		0
114				4	2600	1	1	201			(test)无特效消耗一格流明石能量													1	220048		3	2600	0		1
115				4	2600	3	1	201			(test)无特效消耗三格流明石能量													1	220048		3	2600	2		1
116				4	2600	5	1	201			(test)无特效消耗五格流明石能量													1	220048		3	2600	4		1
117	1	201		1	201						桓斯弥利底	101796	1																		1
118	1	201		1	201						森林书恒素果交付	101809	1	101810	1	101811	1														1
119	1	201		1	201						(test)海岛主线 辛焱梦境开门	101835	1																		0
120	1	201		1	201						(test)海岛主线 万叶梦境交付	101840	1	101842	1																0
121	1	201		1	201						(test)海岛主线 万叶梦境交付	101841	1	101843	1																0
122	1	201		1	201						(test)海岛主线 辛焱种花	101837	1																		0
123	1	201		1	201						古代神庙-须弥	107018	1																		1
125	1	201		1	201						(test)海岛主线 晶核	101896	1	101897	1	101898	1														0
126	1	201		1	201						(test)辛焱梦境 穿梭门	101902	1																		0
127	1	201		1	201						(test)莫娜岛交付星星	101908	1																		0
128	1	201		1	201						出示邃羽夜巡之契	101910	1																		0
129	1	201		1	201						(test)莫娜岛开门	101917	1																		1
130	1	201		1	201						(test)莫娜岛交付星星	101908	2																		0
131	1	201		1	201						（test）喂食盆	100064	1																		1
132	1	201		1	201						（test）赤王开门石板A	120067	1																		0
133	1	201		1	201						(test)居尔城秘闻	101968	5																		1
134	1	201		1	201						(test)矿洞入口方尖碑对话	101969	2	101971	1	101974	1	101980	1	101982	1										1
135	1	201		1	201						(test)祝祭厅方尖碑对话	101969	1	101975	1	101976	1	101978	1	101981	2										1
136	1	201		1	201						(test)赤王陵前方尖碑对话	101969	1	101971	1	101975	2	101978	1	101985	1										1
137	1	201		1	201						(test)北透明遗迹方尖碑对话	101969	2	101975	2	101970	1	101977	1												1
138	1	201		1	201						(test)地下透明遗迹方尖碑对话	101969	1	101972	1	101973	1	101974	1	101975	1	101979	1								1
139	1	201		1	201						(test)度厄厅入口方尖碑对话	101969	2	101971	1	101975	1	101983	1	101984	1										1
140	1	201		1	201						(test)吞羊岩方尖碑对话	101969	2	101975	1	101979	1	101981	1	101985	1										1
141	1	201		1	201						(test)流沙坑方尖碑对话	101969	2	101970	1	101979	1	101980	1	101982	1										1
142	1	201		1	201						(test)圣显厅方尖碑对话	101969	2	101975	1	101979	1	101981	1	101983	1										1
143	1	201		1	201						(test)赤王陵地下方尖碑对话	101969	2	101980	1	101981	1	101982	1	101983	1										1
144	1	201		1	201						（test）赤王开门石板B	120117	1																		0
145	1	201		1	201						（test）锁住的床头柜	120031	1																		0
147	1	201		1	201						（test)石板探索任务	120063	6																		0
148	1	201		1	201						（test）种植坑	101987	1																		0
168	1	201		1	201						(test)赤王洞方尖碑08			101974	1	101982	1	101979	1	101975	1	101973	1								1
