ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	刷新类型	是否强制刷新	完成增加点数	排期ID
73015	307	103;104;105;106	可联机			1	1	1		675	1100
73004	109	29020101;29020102	可联机			1	1	1		675	1100
73005	307	2020;2021;2022;2023;2024;2025				1	1	1		675	1100
73016	307	103;104;105;106;2020;2021;2022;2023;2024;2025				3	1	1		1350	1100
75401	214					50		2		1500	1400
75402	318					12		2		2250	1400
75403	700	4142204				1		2		1200	1400
75404	945	5019001				1		2		1500	1400
76405	503					5		2		1500	1400
76406	939	1001	2600			1		2		1500	1400
76407	940	2002	3000			1		2		1500	1400
76408	941	9	2200			1		2		1500	1400
76409	630					20		2		2250	1400
73301	214					50		2		1500	1300
73302	318					12		2		2250	1300
73303	324					16		2		1500	1300
73304	938					7		2		1200	1300
73305	937					1		2		1200	1300
73309	435					23		2		1500	1300
73310	608	7				1		2		2250	1300
73311	606					1500		2		1500	1300
73306	937					1	1	2		1500	9998
73307	937					1	1	2		1500	9998
73308	937					1	1	2		2250	9998
75201	214					50		2		1500	1200
75202	502	106				5500		2		2250	1200
75203	318					12		2		2250	1200
75204	934	1	8			1		2		1500	1200
75205	434	5011	5011001	14		1		2		1200	1200
75206	432	3	300			1		2		2250	1200
75207	220	11413	2			1		2		1500	1200
75208	503	8	3			5		2		1200	1200
75209	322					10000		2		1500	1200
74003	214					50		2		1500	1100
74004	502	106				5500		2		2250	1100
75105	317					9		2	1	1200	1100
75106	318					12		2		2250	1100
75107	316	133104761	3			30000		2	1	1200	1100
75108	117	70950021				18		2	1	2250	1100
75109	117	70330041				6		2	1	1500	1100
74001	214					50		2		1500	9998
74002	502	106				5500		2		2250	9998
75101	423					160000		2	1	1200	9998
75102	304	8	3			1		2		2250	9998
75103	503	8	3			5		2	1	1200	9998
75104	421	1				10		2	1	1500	9998
75015	429	720				1		2	1	2250	9998
