ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	武器种类	武器阶数	武器材质	元素类型	金武器	武器初始经验	初始技能词缀1	初始技能词缀2	精炼道具	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线	武器突破ID	精炼摩拉消耗	强化规则	摧毁规则	摧毁返还道具	摧毁返还数量	是否初始锁定
11411	4	1	10	50011411	0			武器	1	4				50000				4	23.245	1101	0	0	2101	11101		0	0	0	0	2
11412	4	1	10	50011412	0			武器	1	4				50000	111412			4	38.7413	1101	6	0.0766	2101	11412		0	0	0	0	2
11413	4	1	10	50011413	0			武器	1	4				50000	111413		200103	4	42.401	1201	23	0.1	2201	11413	1000,2000,4000,8000	1	0	0	0	2
11414	4	1	10	50011414	0			武器	1	4				50000	111414			4	41.0671	1204	6	0.12	2201	11414	1000,2000,4000,8000	0	0	0	0	2
11415	4	1	10	50011415	0			武器	1	4				50000	111415		200108	4	41.0671	1204	9	0.150133	2201	11415	1000,2000,4000,8000	1	0	0	0	2
11416	4	1	10	50011416	0			武器	1	4				50000	111416			4	42.401	1201	6	0.09	2201	11416		1	0	0	0	2
11417	4	1	10	50011417	0			武器	1	4				50000	111417			4	43.7349	1202	23	0.066667	2201	11417	1000,2000,4000,8000	0	0	0	0	2
11418	4	1	10	50011418	0			武器	1	4				50000	111418			4	42.401	1201	28	36	2201	11418	1000,2000,4000,8000	0	0	0	0	2
11419	4	1	10	50011419	0			武器	1	4				50000	111419			4	42.401	1201	6	0.09	2201	11419		1	0	0	0	2
11420	4	1	10	50011420	0			武器	1	4				50000	111420			4	42.401	1201	6	0	2201	11420		1	0	0	0	2
11421	4	1	10	50011421	0			武器	1	4				50000	111421			4	42.401	1201	6	0.045	2201	11421		1	0	0	0	2
11422	4	1	10	50011422	0			武器	1	4				50000	111422		200113	4	42.401	1201	28	36	2201	11422	1000,2000,4000,8000	1	0	0	0	2
11501	4	1	10	50011501	0			武器	1	5				300000	111501			4	47.537	1302	30	0.09	2301	11501	2000,4000,8000,16000	0	0	0	0	1
11502	4	1	10	50011502	0			武器	1	5				300000	111502			4	45.9364	1301	23	0.12	2301	11502	2000,4000,8000,16000	0	0	0	0	1
11503	4	1	10	50011503	0			武器	1	5				300000	111503			4	45.9364	1301	28	43.2	2301	11503	2000,4000,8000,16000	0	0	0	0	1
11504	4	1	10	50011504	0			武器	1	5				300000	111504			4	45.9364	1301	6	0.108	2301	11504	2000,4000,8000,16000	0	0	0	0	1
11505	4	1	10	50011505	0			武器	1	5				300000	111505			4	44.3358	1304	20	0.096	2301	11505	2000,4000,8000,16000	0	0	0	0	1
11506	4	1	10	50011506	0			武器	1	5				300000				4	23.245	1101	0	0	2101	11101		0	0	0	0	1
11507	4	1	10	50011507	0			武器	1	5				300000				4	23.245	1101	0	0	2101	11101		0	0	0	0	1
11508	4	1	10	50011508	0			武器	1	5				300000				4	23.245	1101	0	0	2101	11101		0	0	0	0	1
11509	4	1	10	50011509	0			武器	1	5				300000	111509			4	47.537	1302	22	0.096	2301	11509	2000,4000,8000,16000	0	0	0	0	1
11510	4	1	10	50011510	0			武器	1	5				300000	111510			4	45.9364	1301	20	0.072	2301	11510	2000,4000,8000,16000	0	0	0	0	1
11511	4	1	10	50011511	0			武器	1	5				300000	111511			4	44.3358	1304	3	0.144	2301	11511	2000,4000,8000,16000	0	0	0	0	1
11512	4	1	10	50011512	0			武器	1	5				300000				4	9.9	1101	0	0	2101	11512		0	0	0	0	1
12101	4	1	10	50012101	0			武器	11	1				600				4	23.245	1101	0	0	2101	12101		0	1	104011	1	0
12201	4	1	10	50012201	0			武器	11	2				1200				4	32.93	1101	0	0	2101	12201		0	1	104011	2	0
12301	4	1	10	50012301	0			武器	11	3				1800	112301			4	38.7413	1101	3	0.0766	2101	12301	500,1000,2000,4000	0	1	104011	3	0
12302	4	1	10	50012302	0			武器	11	3				1800	112302			4	37.6075	1104	28	40.8	2101	12302	500,1000,2000,4000	0	1	104011	3	0
12303	4	1	10	50012303	0			武器	11	3				1800	112303			4	38.7413	1101	9	0.0956	2101	12303	500,1000,2000,4000	0	1	104011	3	0
12304	4	1	10	50012304	0			武器	11	3				1800	112304			4	38.7413	1101	28	30.6	2101	12304	500,1000,2000,4000	0	1	104011	3	0
12305	4	1	10	50012305	0			武器	11	3				1800	112305			4	38.7413	1101	6	0.0766	2101	12305	500,1000,2000,4000	0	1	104011	3	0
12306	4	1	10	50012306	0			武器	11	3				1800	112306			4	38.7413	1101	30	0.0956	2101	12306	500,1000,2000,4000	0	1	104011	3	0
12401	4	1	10	50012401	0			武器	11	4				50000	112401			4	41.0671	1204	23	0.133333	2201	12401	1000,2000,4000,8000	0	0	0	0	2
12402	4	1	10	50012402	0			武器	11	4				50000	112402			4	42.401	1201	3	0.09	2201	12402	1000,2000,4000,8000	0	0	0	0	2
12403	4	1	10	50012403	0			武器	11	4				50000	112403			4	43.7349	1202	23	0.066667	2201	12403	1000,2000,4000,8000	0	0	0	0	2
12404	4	1	10	50012404	0			武器	11	4				50000	112404			4	43.7349	1202	6	0.06	2201	12404	1000,2000,4000,8000	0	0	0	0	2
12405	4	1	10	50012405	0			武器	11	4				50000	112405			4	42.401	1201	28	36	2201	12405	1000,2000,4000,8000	0	0	0	0	2
12406	4	1	10	50012406	0			武器	11	4				50000	112406			4	43.7349	1202	6	0.06	2201	12406	1000,2000,4000,8000	0	0	0	0	2
12407	4	1	10	50012407	0			武器	11	4				50000	112407			4	42.401	1201	9	0.1126	2201	12407	1000,2000,4000,8000	0	0	0	0	2
12408	4	1	10	50012408	0			武器	11	4				50000	112408			4	42.401	1201	22	0.12	2201	12408	1000,2000,4000,8000	0	0	0	0	2
12409	4	1	10	50012409	0			武器	11	4				50000	112409			4	42.401	1201	20	0.06	2201	12409	1000,2000,4000,8000	0	0	0	0	2
12410	4	1	10	50012410	0			武器	11	4				50000	112410			4	42.401	1201	6	0.09	2201	12410	1000,2000,4000,8000	0	0	0	0	2
12411	4	1	10	50012411	0			武器	11	4				50000	112411			4	43.7349	1202	30	0.075067	2201	12411	1000,2000,4000,8000	0	0	0	0	2
12412	4	1	10	50012412	0			武器	11	4				50000	112412		200106	4	41.0671	1204	6	0.12	2201	12412	1000,2000,4000,8000	1	0	0	0	2
12414	4	1	10	50012414	0			武器	11	4				50000	112414			4	42.401	1201	23	0.1	2201	12414	1000,2000,4000,8000	0	0	0	0	2
12415	4	1	10	50012415	0			武器	11	4				50000	112415			4	42.401	1201	28	36	2201	12415	1000,2000,4000,8000	0	0	0	0	2
12416	4	1	10	50012416	0			武器	11	4				50000	112416			4	42.401	1201	6	0.09	2201	12416	1000,2000,4000,8000	0	0	0	0	2
12417	4	1	10	50012417	0			武器	11	4				50000	112417			4	43.7349	1202	23	0.066667	2201	12417	1000,2000,4000,8000	0	0	0	0	2
12501	4	1	10	50012501	0			武器	11	5				300000	112501			4	47.537	1302	23	0.08	2301	12501	2000,4000,8000,16000	0	0	0	0	1
12502	4	1	10	50012502	0			武器	11	5				300000	112502			4	45.9364	1301	6	0.108	2301	12502	2000,4000,8000,16000	0	0	0	0	1
12503	4	1	10	50012503	0			武器	11	5				300000	112503			4	49.1377	1303	30	0.045	2301	12503	2000,4000,8000,16000	0	0	0	0	1
12504	4	1	10	50012504	0			武器	11	5				300000	112504			4	45.9364	1301	6	0.108	2301	12504	2000,4000,8000,16000	0	0	0	0	1
12505	4	1	10	50012505	0			武器	11	5				300000				4	47.537	1101	0	0	2101	11101		0	0	0	0	1
12506	4	1	10	50012506	0			武器	11	5				300000				4	47.537	1101	0	0	2101	11101		0	0	0	0	1
12508	4	1	10	50012508	0			武器	11	5				300000				4	47.537	1101	0	0	2101	11101		0	0	0	0	1
12509	4	1	10	50012509	0			武器	11	5				300000				4	9.9	1101	0	0	2101	11101		0	0	0	0	1
12510	4	1	10	50012510	0			武器	11	5				300000	112510			4	44.3358	1304	22	0.192	2301	12510	2000,4000,8000,16000	0	0	0	0	1
12511	4	1	10	50012511	0			武器	11	5				300000				4	9.9	1101	0	0	2101	12511		0	0	0	0	1
13101	4	1	10	50013101	0			武器	13	1				600				4	23.245	1101	0	0	2101	13101		0	1	104011	1	0
13201	4	1	10	50013201	0			武器	13	2				1200				4	32.93	1101	0	0	2101	13201		0	1	104011	2	0
13301	4	1	10	50013301	0			武器	13	3				1800	113301			4	38.7413	1101	20	0.051	2101	13301	500,1000,2000,4000	0	1	104011	3	0
13302	4	1	10	50013302	0			武器	13	3				1800	113302			4	39.8751	1102	6	0.051067	2101	13302	500,1000,2000,4000	0	1	104011	3	0
13303	4	1	10	50013303	0			武器	13	3				1800	113303			4	37.6075	1104	3	0.102133	2101	13303	500,1000,2000,4000	0	1	104011	3	0
13304	4	1	10	50013304	0			武器	13	3				1800	113304			4	9.9	1101	0	0	2101	13304	500,1000,2000,4000	0	1	104011	3	0
13401	4	1	10	50013401	0			武器	13	4				50000	113401			4	41.0671	1204	28	48	2201	13401	1000,2000,4000,8000	0	0	0	0	2
13402	4	1	10	50013402	0			武器	13	4				50000	113402			4	42.401	1201	23	0.1	2201	13402	1000,2000,4000,8000	0	0	0	0	2
13403	4	1	10	50013403	0			武器	13	4				50000	113403			4	43.7349	1202	30	0.075067	2201	13403	1000,2000,4000,8000	0	0	0	0	2
13404	4	1	10	50013404	0			武器	13	4				50000	113404			4	42.401	1201	22	0.12	2201	13404	1000,2000,4000,8000	0	0	0	0	2
13405	4	1	10	50013405	0			武器	13	4				50000	113405			4	41.0671	1204	20	0.08	2201	13405	1000,2000,4000,8000	0	0	0	0	2
13406	4	1	10	50013406	0			武器	13	4				50000	113406			4	43.7349	1202	6	0.06	2201	13406	1000,2000,4000,8000	0	0	0	0	2
13407	4	1	10	50013407	0			武器	13	4				50000	113407			4	43.7349	1202	23	0.066667	2201	13407	1000,2000,4000,8000	0	0	0	0	2
13408	4	1	10	50013408	0			武器	13	4				50000	113408			4	43.7349	1202	6	0.06	2201	13408	1000,2000,4000,8000	0	0	0	0	2
13409	4	1	10	50013409	0			武器	13	4				50000	113409			4	41.0671	1204	30	0.150133	2201	13409	1000,2000,4000,8000	0	0	0	0	2
13414	4	1	10	50013414	0			武器	13	4				50000	113414			4	43.7349	1202	28	24	2201	13414	1000,2000,4000,8000	0	0	0	0	2
13415	4	1	10	50013415	0			武器	13	4				50000	113415		200107	4	42.401	1201	23	0.1	2201	13415	1000,2000,4000,8000	1	0	0	0	2
13416	4	1	10	50013416	0			武器	13	4				50000	113416			4	45.0687	1203	6	0.03	2201	13416	1000,2000,4000,8000	0	0	0	0	2
13417	4	1	10	50013417	0			武器	13	4				50000	113417			4	43.7349	1202	28	24	2201	13417	1000,2000,4000,8000	0	0	0	0	2
13419	4	1	10	50013419	0			武器	13	4				50000	113419		200112	4	42.401	1201	6	0.09	2201	13419	1000,2000,4000,8000	1	0	0	0	2
13501	4	1	10	50013501	0			武器	13	5				300000	113501			4	45.9364	1301	22	0.144	2301	13501	2000,4000,8000,16000	0	0	0	0	1
13502	4	1	10	50013502	0			武器	13	5				300000	113502			4	47.537	1302	23	0.08	2301	13502	2000,4000,8000,16000	0	0	0	0	1
13503	4	1	10	50013503	0			武器	13	5				300000				4	45.9364	1101	0	0	2101	11101		0	0	0	0	1
13504	4	1	10	50013504	0			武器	13	5				300000	113504			4	45.9364	1301	6	0.108	2301	13504	2000,4000,8000,16000	0	0	0	0	1
13505	4	1	10	50013505	0			武器	13	5				300000	113505			4	47.537	1302	20	0.048	2301	13505	2000,4000,8000,16000	0	0	0	0	1
13506	4	1	10	50013506	0			武器	13	5				300000				4	45.9364	1101	0	0	2101	11101		0	0	0	0	1
13507	4	1	10	50013507	0			武器	13	5				300000	113507			4	49.1377	1303	6	0.036	2301	13507	2000,4000,8000,16000	0	0	0	0	1
13509	4	1	10	50013509	0			武器	13	5				300000	113509			4	45.9364	1301	23	0.12	2301	13509	2000,4000,8000,16000	0	0	0	0	1
13511	4	1	10	50013511	0			武器	13	5				300000	113511			4	44.3358	1304	20	0.096	2301	13511	2000,4000,8000,16000	0	0	0	0	1
14101	4	1	10	50014101	0			武器	10	1				600				4	23.245	1101	0	0	2101	14101		0	1	104011	1	0
14201	4	1	10	50014201	0			武器	10	2				1200				4	32.93	1101	0	0	2101	14201		0	1	104011	2	0
14301	4	1	10	50014301	0			武器	10	3				1800	114301			4	37.6075	1104	28	40.8	2101	14301	500,1000,2000,4000	0	1	104011	3	0
14302	4	1	10	50014302	0			武器	10	3				1800	114302			4	38.7413	1101	3	0.0766	2101	14302	500,1000,2000,4000	0	1	104011	3	0
14303	4	1	10	50014303	0			武器	10	3				1800	114303			4	38.7413	1101	23	0.085	2101	14303	500,1000,2000,4000	0	1	104011	3	0
14304	4	1	10	50014304	0			武器	10	3				1800	114304			4	39.8751	1102	28	20.4	2101	14304	500,1000,2000,4000	0	1	104011	3	0
14305	4	1	10	50014305	0			武器	10	3				1800	114305			4	39.8751	1102	20	0.034	2101	14305	500,1000,2000,4000	0	1	104011	3	0
14306	4	1	10	50014306	0			武器	10	3				1800	114306			4	38.7413	1101	28	30.6	2101	14306	500,1000,2000,4000	0	1	104011	3	0
14401	4	1	10	50014401	0			武器	10	4				50000	114401			4	42.401	1201	23	0.1	2201	14401	1000,2000,4000,8000	0	0	0	0	2
14402	4	1	10	50014402	0			武器	10	4				50000	114402			4	42.401	1201	22	0.12	2201	14402	1000,2000,4000,8000	0	0	0	0	2
14403	4	1	10	50014403	0			武器	10	4				50000	114403			4	41.0671	1204	28	48	2201	14403	1000,2000,4000,8000	0	0	0	0	2
14404	4	1	10	50014404	0			武器	10	4				50000	114404			4	43.7349	1202	6	0.06	2201	14404	1000,2000,4000,8000	0	0	0	0	2
14405	4	1	10	50014405	0			武器	10	4				50000	114405			4	42.401	1201	20	0.06	2201	14405	1000,2000,4000,8000	0	0	0	0	2
14406	4	1	10	50014406	0			武器	10	4				50000	114406			4	42.401	1201	3	0.09	2201	14406	1000,2000,4000,8000	0	0	0	0	2
14407	4	1	10	50014407	0			武器	10	4				50000	114407			4	43.7349	1202	28	24	2201	14407	1000,2000,4000,8000	0	0	0	0	2
14408	4	1	10	50014408	0			武器	10	4				50000	114408			4	42.401	1201	22	0.12	2201	14408	1000,2000,4000,8000	0	0	0	0	2
14409	4	1	10	50014409	0			武器	10	4				50000	114409			4	41.0671	1204	6	0.12	2201	14409	1000,2000,4000,8000	0	0	0	0	2
14410	4	1	10	50014410	0			武器	10	4				50000	114410			4	43.7349	1202	23	0.066667	2201	14410	1000,2000,4000,8000	0	0	0	0	2
14411	4	1	10	50014411	0			武器	10	4				50000				4	43.7349	1101	0	0	2101	11101		0	0	0	0	2
14412	4	1	10	50014412	0			武器	10	4				50000	114412			4	42.401	1201	6	0.09	2201	14412	1000,2000,4000,8000	0	0	0	0	2
14413	4	1	10	50014413	0			武器	10	4				50000	114413		200105	4	41.0671	1204	6	0.12	2201	14413	1000,2000,4000,8000	1	0	0	0	2
14414	4	1	10	50014414	0			武器	10	4				50000	114414			4	43.7349	1202	23	0.066667	2201	14414	1000,2000,4000,8000	0	0	0	0	2
14415	4	1	10	50014415	0			武器	10	4				50000	114415		200109	4	43.7349	1202	6	0.06	2201	14415	1000,2000,4000,8000	1	0	0	0	2
14416	4	1	10	50014416	0			武器	10	4				50000	114416			4	42.401	1201	28	36	2201	14416	1000,2000,4000,8000	0	0	0	0	2
14417	4	1	10	50014417	0			武器	10	4				50000	114417			4	42.401	1201	23	0.1	2201	14417	1000,2000,4000,8000	0	0	0	0	2
14501	4	1	10	50014501	0			武器	10	5				300000	114501			4	47.537	1302	6	0.072	2301	14501	2000,4000,8000,16000	0	0	0	0	1
14502	4	1	10	50014502	0			武器	10	5				300000	114502			4	45.9364	1301	20	0.072	2301	14502	2000,4000,8000,16000	0	0	0	0	1
14503	4	1	10	50014503	0			武器	10	5				300000				4	45.9364	1101	0	0	2101	11101		0	0	0	0	1
14504	4	1	10	50014504	0			武器	10	5				300000	114504			4	45.9364	1301	6	0.108	2301	14504	2000,4000,8000,16000	0	0	0	0	1
14505	4	1	10	50014505	0			武器	10	5				300000				4	47.537	1101	0	0	2101	11101		0	0	0	0	1
14506	4	1	10	50014506	0			武器	10	5				300000	114506			4	45.9364	1301	3	0.108	2301	14506	2000,4000,8000,16000	0	0	0	0	1
14508	4	1	10	50014508	0			武器	10	5				300000				4	44.3358	1101	0	0	2101	11101		0	0	0	0	1
14509	4	1	10	50014509	0			武器	10	5				300000	114509			4	45.9364	1301	22	0.144	2301	14509	2000,4000,8000,16000	0	0	0	0	1
14511	4	1	10	50014511	0			武器	10	5				300000	114511			4	44.3358	1304	28	57.6	2301	14511	2000,4000,8000,16000	0	0	0	0	1
14512	4	1	10	50014512	0			武器	10	5				300000	114512			4	47.537	1302	22	0.096	2301	14512	2000,4000,8000,16000	0	0	0	0	1
15101	4	1	10	50015101	0			武器	12	1				600				4	23.245	1101	0	0	2101	15101		0	1	104011	1	0
15201	4	1	10	50015201	0			武器	12	2				1200				4	32.93	1101	0	0	2101	15201		0	1	104011	2	0
15301	4	1	10	50015301	0			武器	12	3				1800	115301			4	39.8751	1102	28	20.4	2101	15301	500,1000,2000,4000	0	1	104011	3	0
15302	4	1	10	50015302	0			武器	12	3				1800	115302			4	38.7413	1101	22	0.102	2101	15302	500,1000,2000,4000	0	1	104011	3	0
15303	4	1	10	50015303	0			武器	12	3				1800	115303			4	37.6075	1104	3	0.102133	2101	15303	500,1000,2000,4000	0	1	104011	3	0
15304	4	1	10	50015304	0			武器	12	3				1800	115304			4	37.6075	1104	20	0.068	2101	15304	500,1000,2000,4000	0	1	104011	3	0
15305	4	1	10	50015305	0			武器	12	3				1800	115305			4	39.8751	1102	22	0.068	2101	15305	500,1000,2000,4000	0	1	104011	3	0
15306	4	1	10	50015306	0			武器	12	3				1800	115306			4	38.7413	1101	6	0.0766	2101	15306	500,1000,2000,4000	0	1	104011	3	0
15401	4	1	10	50015401	0			武器	12	4				50000	115401			4	41.0671	1204	23	0.133333	2201	15401	1000,2000,4000,8000	0	0	0	0	2
15402	4	1	10	50015402	0			武器	12	4				50000	115402			4	42.401	1201	28	36	2201	15402	1000,2000,4000,8000	0	0	0	0	2
15403	4	1	10	50015403	0			武器	12	4				50000	115403			4	43.7349	1202	23	0.066667	2201	15403	1000,2000,4000,8000	0	0	0	0	2
15404	4	1	10	50015404	0			武器	12	4				50000	115404			4	42.401	1201	6	0.09	2201	15404	1000,2000,4000,8000	0	0	0	0	2
15405	4	1	10	50015405	0			武器	12	4				50000	115405			4	42.401	1201	6	0.09	2201	15405	1000,2000,4000,8000	0	0	0	0	2
15406	4	1	10	50015406	0			武器	12	4				50000	115406			4	42.401	1201	6	0.09	2201	15406	1000,2000,4000,8000	0	0	0	0	2
15407	4	1	10	50015407	0			武器	12	4				50000	115407			4	41.0671	1204	30	0.150133	2201	15407	1000,2000,4000,8000	0	0	0	0	2
15408	4	1	10	50015408	0			武器	12	4				50000	115408			4	43.7349	1202	22	0.08	2201	15408	1000,2000,4000,8000	0	0	0	0	2
15409	4	1	10	50015409	0			武器	12	4				50000	115409			4	42.401	1201	20	0.06	2201	15409	1000,2000,4000,8000	0	0	0	0	2
15410	4	1	10	50015410	0			武器	12	4				50000	115410			4	43.7349	1202	6	0.06	2201	15410	1000,2000,4000,8000	0	0	0	0	2
15411	4	1	10	50015411	0			武器	12	4				50000	115411		200110	4	43.7349	1202	23	0.066667	2201	15411	1000,2000,4000,8000	1	0	0	0	2
15412	4	1	10	50015412	0			武器	12	4				50000	115412			4	42.401	1201	30	0.1126	2201	15412	1000,2000,4000,8000	0	0	0	0	2
15413	4	1	10	50015413	0			武器	12	4				50000	115413		200104	4	42.401	1201	28	36	2201	15413	1000,2000,4000,8000	1	0	0	0	2
15414	4	1	10	50015414	0			武器	12	4				50000	115414			4	41.0671	1204	6	0.12	2201	15414	1000,2000,4000,8000	0	0	0	0	2
15415	4	1	10	50015415	0			武器	12	4				50000	115415			4	42.401	1201	6	0.09	2201	15415		1	0	0	0	2
15416	4	1	10	50015416	0			武器	12	4				50000	115416			4	43.7349	1202	6	0.06	2201	15416	1000,2000,4000,8000	0	0	0	0	2
15417	4	1	10	50015417	0			武器	12	4				50000	115417			4	41.0671	1204	6	0.12	2201	15417	1000,2000,4000,8000	0	0	0	0	2
15418	4	1	10	50015418	0			武器	12	4				50000	115418		200111	4	42.401	1201	23	0.1	2201	15418	1000,2000,4000,8000	1	0	0	0	2
15501	4	1	10	50015501	0			武器	12	5				300000	115501			4	47.537	1302	20	0.048	2301	15501	2000,4000,8000,16000	0	0	0	0	1
15502	4	1	10	50015502	0			武器	12	5				300000	115502			4	45.9364	1301	6	0.108	2301	15502	2000,4000,8000,16000	0	0	0	0	1
15503	4	1	10	50015503	0			武器	12	5				300000	115503			4	45.9364	1301	23	0.12	2301	15503	2000,4000,8000,16000	0	0	0	0	1
15504	4	1	10	50015504	0			武器	12	5				300000				4	45.9364	1101	0	0	2101	11101		0	0	0	0	1
15505	4	1	10	50015505	0			武器	12	5				300000				4	45.9364	1101	0	0	2101	11101		0	0	0	0	1
15506	4	1	10	50015506	0			武器	12	5				300000				4	42.7351	1101	0	0	2101	11101		0	0	0	0	1
15507	4	1	10	50015507	0			武器	12	5				300000	115507			4	45.9364	1301	20	0.072	2301	15507	2000,4000,8000,16000	0	0	0	0	1
15508	4	1	10	50015508	0			武器	12	5				300000	115508			4	44.3358	1304	22	0.192	2301	15508	2000,4000,8000,16000	0	0	0	0	1
15509	4	1	10	50015509	0			武器	12	5				300000	115509			4	45.9364	1301	22	0.144	2301	15509	2000,4000,8000,16000	0	0	0	0	1
15511	4	1	10	50015511	0			武器	12	5				300000	115511			4	44.3358	1304	20	0.096	2301	15511	2000,4000,8000,16000	0	0	0	0	1
20001	4	1	10	50020010	0			武器	1	5				300000				4	9.9	1101	0	0	2101	11101		0	0	0	0	1
10002	4	1	10	50010002	0			武器	1	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
10003	4	1	10	50010003	0			武器	11	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
10004	4	1	10	50010004	0			武器	13	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
10005	4	1	10	50010005	0			武器	10	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
10006	4	1	10	50010006	0			武器	10	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
10008	4	1	10	50010008	0			武器	12	1				600				4	9.9	1101	0	0	2101	11101		0	0	0	0	0
