流水id	dungeon_id	cell_id	cell中心点坐标	小地图坐标	相邻cell_id	group_id	权重模板序号	操作台delta_Y	房间门Offset	特殊类型	房间门delta_Y	出生房间
91	3023	6	80,0,160	2,1	3,5	247007007	2	-0.6	20		0.122	
92	3023	10	160,0,240	3,2	5,15	247007011	2	0.05	20		0.122	
93	3023	14	240,0,320	4,3	15,17	247007015	1	0.05	20	7	0.122	
94	3023	15	240,0,240	3,3	10,14,16	247007016	2	0.05	20		0.122	
95	3023	16	320,0,240	3,4	15,17	247007017	1	-0.6	20		0.122	
96	3023	17	320,0,320	4,4	14,16,18	247007018	1	0.05	20		0.122	
97	3023	18	320,0,400	5,4	17,19	247007019	2	0.05	20		0.122	
98	3023	19	320,0,510	6,4	18	247007020	1	0	20	6	0.122	
99	3024	1	0,0,0	0,0	2	247008002	1	-0.3	20	1	0.122	1
100	3024	2	80,0,0	0,1	1,3	247008003	2	0.05	20		0.122	
101	3024	3	80,0,80	1,1	2,9	247008004	1	0.1	20		0.122	
102	3024	8	80,0,240	3,1	9,15	247008009	2	0.05	20		0.122	
103	3024	9	80,0,160	2,1	3,8,10	247008010	1	0.05	20		0.122	
104	3024	10	160,0,160	2,2	9,11	247008011	2	0.05	20		0.122	
105	3024	11	240,0,160	2,3	10,12	247008012	1	0.05	20		0.122	
106	3024	12	240,0,240	3,3	11,13,16,17	247008013	2	0.05	20		0.122	
107	3024	13	160,0,240	3,2	14,12	247008014	1	0.05	20		0.122	
108	3024	14	160,0,320	4,2	13,15	247008015	1	0.05	20		0.122	
109	3024	15	80,0,320	4,1	8,14	247008016	2	0.1	20		0.122	
110	3024	16	320,0,240	3,4	12	247008017	1	0.05	20	7	0.122	
111	3024	17	240,0,320	4,3	12,18	247008018	1	0.05	20		0.122	
112	3024	18	350,0,320	4,4	17	247008019	2	0	20	6	0.122	
113	3025	1	0,0,80	1,1	13,2	247009022	1	0.05	20		0.122	
114	3025	2	0,0,160	2,1	1,3,5	247009023	2	0.05	20		0.122	
115	3025	3	-80,0,160	2,0	2,4	247009024	1	-0.6	20		0.122	
116	3025	4	-80,0,240	3,0	3,5	247009002	2	-0.6	20		0.122	
117	3025	5	0,0,240	3,1	2,4,6	247009026	1	-0.6	20		0.122	
118	3025	6	0,0,320	4,1	5,7	247009029	2	0.05	20		0.122	
119	3025	7	0,0,400	5,1	6,8,10	247009030	1	0.05	20		0.122	
120	3025	8	80,0,400	5,2	7,9	247009031	2	0.05	20		0.122	
121	3025	9	80,0,480	6,2	8	247009003	1	0.05	20		0.122	
122	3025	10	0,0,480	6,1	7,11	247009033	2	-0.6	20		0.122	
123	3025	11	0,0,560	7,1	10,12	247009036	1	-0.6	20		0.122	
124	3025	12	0,0,670	8,1	11	247009017	1	0	20	6	0.122	
125	3025	13	0,0,0	0,1	1	247009021	1	0	25	1	0.122	1
126	3026	1	0,0,0	0,0	3	247010002	1	0	20	1	0.122	1
127	3026	3	80,0,0	0,1	1,4	247010009	2	0.05	20		0.122	
128	3026	4	80,0,80	1,1	3,5,6	247010010	1	-0.7	20		0.122	
129	3026	5	80,0,160	2,1	4,7	247010011	2	0.05	20		0.122	
130	3026	6	160,0,80	1,2	4,7	247010012	1	0.05	20		0.122	
131	3026	7	160,0,160	2,2	5,6,8	247010013	2	0.05	20		0.122	
132	3026	8	160,0,240	3,2	7,10	247010014	2	-0.7	20		0.122	
133	3026	10	240,0,240	3,3	8,11,12	247010016	2	0.05	20		0.122	
134	3026	11	240,0,320	4,3	10,13	247010017	1	0.05	20		0.122	
135	3026	12	320,0,240	3,4	10,13	247010018	2	0.05	20		0.122	
136	3026	13	320,0,320	4,4	11,12,15	247010019	1	-0.7	20		0.122	
137	3026	15	400,0,320	4,5	13,16	247010021	2	0	20		0.122	
138	3026	16	400,0,400	5,5	15,17	247010022	1	0.05	20		0.122	
139	3026	17	400,0,495	6,5	16	247010023	2	0	20	6	0.122	
