提示台词ID	停留显示时长
10530105	3
10530106	3
10530107	3
10530108	2.5
10530109	2.5
10530110	2.5
10530111	2.5
10530112	2.5
10530113	2.5
10520101	2.5
10520102	4
10520103	2.5
10520201	2.5
10520202	2.5
10520301	2.5
10520302	2.5
10520401	2.5
10520402	2.5
10580101	3
10580102	2
10580103	2
10550101	2.5
10550102	2.5
10550201	2.5
10550202	2.5
10550203	2.5
10550301	2.5
10550302	2.5
10550303	2.5
10550304	2.5
10550305	2.5
10550306	2.5
10550307	2.5
10550308	2.5
10550309	2.5
10510101	3
10510102	3
10510103	3
10510104	3
10510105	3
10510201	3
10510202	3
10510203	3
10510204	3
10510205	3
10510301	3
10510302	3
10510303	3
10510304	3
10510401	3
10510402	2
10510403	3
10510404	3
10510501	3
10510502	3
10510503	3
10510601	3
10510602	3
10510603	3
10510701	3
10510702	3
10510703	3
10510801	4
10510802	4
10510901	3
10510902	3
10510903	3
10511001	4
10511002	4
201010101	2.5
201010102	2.5
201010103	2.5
201010201	3
201010202	3
201010203	2.5
201010301	2.5
201010302	3
201010303	2.5
201010304	2
200340101	2
200340102	2.5
200340103	3
10320101	3
10320102	3
10320103	3
10320104	3
201070101	3
201070102	5
201070103	5
201070104	5
201070105	3
201070201	5
201070202	3
201070203	5
201070301	3
201070302	2
201070303	3
201070501	2
201070502	2
201070503	3
201070504	3
201130101	3
201130102	3
201130103	3
201130104	3
201130201	5
201130202	7.5
201130203	5
201130204	7.5
201130205	5
201130206	7.5
201130207	5
201130208	7.5
201120101	7.5
201120102	7.5
201120103	5
201120104	5
201170101	12.5
201120201	5
201120202	5
201120203	5
201520101	5
201520102	5
201520103	3
201520104	5
201520105	5
201520106	5
201520107	5
201520108	5
201520109	5
201520110	5
201520111	5
201520112	5
201520113	5
201520114	5
201520115	5
201520201	10
201520202	7.5
201520203	10
201520204	10
201520205	10
201520206	7.5
201520207	5
201520208	6
201520209	10
201520210	4
10590101	3
10590102	3
10590103	3
10590104	3
10590105	3
10590106	3
10590107	3
10590108	3
10590109	3
10590110	3
10590111	3
10590112	3
10590113	3
10590114	3
10590115	3
10590116	3
10590117	3
10590118	3
10590119	3
10590120	3
10590121	3
10590122	3
10590123	3
10590124	3
10590125	3
10590126	3
10590127	3
10590128	3
201030101	4
201030102	9
201030103	6
400220001	5
400240001	5
201040101	5
201040102	4
201040103	3
201040104	5
201040105	6
201040106	4
201040107	4
201040108	3
201050101	5
201050102	4
201050103	7
201050104	3
201050105	6
201050106	3
201040109	3
201040110	3
200350101	5
200350102	5
200350103	5
200350104	5
200360101	5
200360102	5
200360103	5
200360104	5
358000001	3
358000002	3
358000003	5
358000004	5
358000005	5
358000006	5
358000007	5
358000008	5
358000009	5
358000010	5
358000011	5
358000012	5
358000013	5
358000014	5
358400001	3
358700101	3
358700102	3
358710101	3
358710102	3
358710103	3
358710104	3
358720101	3
358720102	3
358720103	3
358720104	3
200370101	5
200370201	3
43001001	5
43001002	5
43001003	5
43001004	5
43001005	5
43001006	5
43001007	5
43001008	5
43001009	5
43001010	5
43001011	5
43001012	5
47201001	5
47201002	5
47201003	5
47201004	5
47201005	5
47201006	5
400380101	5
201110101	5
201110201	3
201110301	5
201110401	5
201110501	3
337200101	3
337200102	3
337280101	4
400440101	5
400440102	5
400450101	5
201130301	4
201130302	3
201130303	3
201130304	3
201130305	4
201130306	3
201130307	4
201130308	4
201130309	3
201130310	4
460010101	5
460010102	5
460010103	5
358010101	3
358010102	3
358010103	3
358010104	3
358010105	3
358010106	3
201140101	5
201140201	3
201140301	7
201140401	3
201140501	6
201140601	5
201150101	5
201150201	5
201150301	3
201150401	4
201150501	5
201150601	5
10710101	3
10710102	3
10620101	5
10650101	7
201220101	7
201220102	10
201220103	8
201190101	3
201190102	3
201190201	3
201190202	3
201190301	3
201190401	3
201190402	3
201190501	3
201190502	3
201190601	3
201190602	3
201190701	3
201230101	5
201230102	5
201230103	5
201230104	5
201220104	5
201310101	5
201310102	5
201310103	5
201310104	5
201310105	5
201310106	5
201310107	3
201310108	3
201320201	5
201320301	4
201320302	4
201320401	4
201490101	3
201490102	5
201490201	5
201490202	5
201490301	4
201490302	4
201490401	5
201270101	5
201270201	5
201270301	5
201270401	5
201280101	5
201280102	5
201280103	5
201280201	5
201280301	5
201280302	5
201280401	5
201280402	5
201280403	5
201280501	5
201280502	5
201280503	5
201280504	5
201280505	5
201290101	5
201290102	5
201290201	5
201290301	5
201290401	5
201290402	5
201290403	5
201290501	5
201290502	5
201290503	5
201290504	5
201290505	5
201290506	5
201290601	5
201290602	5
201290603	5
201290701	5
201290702	5
201290703	5
201290704	5
201290705	5
201290706	5
201350101	5
201350102	5
201350103	5
201350104	5
201350105	3
201420101	3
201420102	3
201420103	3
201430101	3
201450101	5
201570101	3
201570102	3
201570103	3
201570201	3
201570202	3
201570301	3
201570302	3
201570401	3
201570501	3
201570502	3
201580101	3
201580102	3
201580103	3
201580104	3
201580105	3
201580106	3
201630101	3
201630102	3
201630103	3
201630104	3
201650101	3
201650102	3
201650201	3
201650301	3
201650302	3
201650303	3
201650401	3
201650402	3
201650403	3
201650404	3
201650501	3
201650502	3
201650601	3
201710101	3
470010101	3
470010102	3
470010103	3
470010104	3
470050101	3
470050102	3
470050103	3
470050201	3
470050202	3
470050203	3
470050204	3
470060101	3
470060102	3
470060201	3
470060202	3
470060203	3
470060304	3
470060305	3
470060301	3
470060302	3
470060303	3
470060404	3
470060405	3
470060401	3
470060402	3
470060403	3
470060504	3
470060505	3
470060501	3
470060502	3
470060503	3
470060604	3
470060605	3
470060601	3
470060602	3
470060603	3
470060705	3
470060706	3
470060701	3
470060702	3
470060703	3
470060704	3
470060805	3
470060806	3
470060801	3
470060802	3
470060803	3
470060804	3
470060905	3
470060906	3
470060901	3
470060902	3
470060903	3
470060904	3
470061004	3
470061005	3
470061001	3
470061002	3
470061003	3
470061106	3
470061107	3
470061101	3
470061102	3
470061103	3
470061104	3
470061105	3
470070101	3
470070201	3
470070301	3
470070401	3
470070501	3
470070601	3
470070701	3
470070801	3
470070901	3
470071001	3
470071101	3
470071201	3
470080101	3
470080102	3
470210101	3
470210102	3
470210103	3
470210104	3
470210105	3
470240105	3
470250101	3
470250102	3
470310101	5
470310102	5
470310103	5
470310104	5
470310105	5
470310106	5
470410101	5
470410102	5
470410103	5
470410104	5
470410105	5
470410106	5
470410107	5
470410108	5
470410109	5
470410110	5
470410111	5
470410112	5
470410113	5
470410114	5
470510101	5
470510102	5
500660101	5
500660110	5
500660120	5
500660130	5
500660140	5
500660141	5
500660142	5
500660150	5
500660160	5
500660170	5
500660171	5
500660180	5
500660185	5
500660190	5
500660191	5
500660201	5
500660210	5
500660211	5
500660212	5
500660213	5
500660214	5
500660223	3
500660224	5
500660225	5
500660226	5
500660227	5
500660228	5
500660229	5
500660230	5
500660231	5
500660232	5
500660233	5
500660234	5
500660235	4
500660236	5
500660237	5
500660238	4
500660239	5
500660240	5
500660241	3
500660242	4
500660243	3
500660244	3
500660245	3
500660246	3
500660247	3
500660248	3
500660249	3
500660250	3
500660251	3
500660252	3
500660253	3
500660254	3
500660255	3
500660256	3
500660257	3
500660258	3
500660259	3
500720101	3
358520001	3
500660260	5
500660261	5
500660262	5
500660263	5
500660264	5
500660265	5
500660266	5
