等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值
14	1	2	33.90172	2	2	7.829	12	2	1.14	4	1	0	9	1	0	10	1	0	17	2	7.829	23	2	34.542476	24	2	7.828999
15	1	2	37.58709	2	2	8.5272	12	2	1.15	4	1	0	9	1	0	10	1	0	17	2	8.5272	23	2	38.372718	24	2	8.527203
16	1	2	41.4068	2	2	9.255	12	2	1.16	4	1	0	9	1	0	10	1	0	17	2	9.255	23	2	42.347909	24	2	9.254998
17	1	2	46.00103	2	2	10.24456	12	2	1.17	4	1	0	9	1	0	10	1	0	17	2	10.24456	23	2	47.130227	24	2	10.244559
18	1	2	50.05359	2	2	11.26446	12	2	1.18	4	1	0	9	1	0	10	1	0	17	2	11.26446	23	2	51.37316	24	2	11.264464
19	1	2	54.18154	2	2	12.31476	12	2	1.19	4	1	0	9	1	0	10	1	0	17	2	12.31476	23	2	57.933083	24	2	12.314756
20	1	2	65.1649	2	2	13.31608	12	2	1.2	4	1	0	9	1	0	10	1	0	17	2	13.31608	23	2	62.656434	24	2	13.316083
21	1	2	68.61109	2	2	14.26676	12	2	1.21	4	1	0	9	1	0	10	1	0	17	2	14.26676	23	2	67.499706	24	2	14.266764
22	1	2	72.10564	2	2	15.24058	12	2	1.22	4	1	0	9	1	0	10	1	0	17	2	15.24058	23	2	72.46275	24	2	15.240579
23	1	2	75.35814	2	2	16.20382	12	2	1.23	4	1	0	9	1	0	10	1	0	17	2	16.20382	23	2	77.453622	24	2	16.203822
24	1	2	79.78938	2	2	17.18874	12	2	1.24	4	1	0	9	1	0	10	1	0	17	2	17.18874	23	2	82.533054	24	2	17.188738
25	1	2	84.30028	2	2	18.19528	12	2	1.25	4	1	0	9	1	0	10	1	0	17	2	18.19528	23	2	87.702665	24	2	18.195285
26	1	2	88.9361	2	2	18.885	12	2	1.26	4	1	0	9	1	0	10	1	0	17	2	18.885	23	2	92.404373	24	2	18.884996
27	1	2	93.66512	2	2	19.58528	12	2	1.27	4	1	0	9	1	0	10	1	0	17	2	19.58528	23	2	97.388693	24	2	19.58528
28	1	2	98.48837	2	2	20.29613	12	2	1.28	4	1	0	9	1	0	10	1	0	17	2	20.29613	23	2	102.556758	24	2	20.296134
29	1	2	103.4069	2	2	21.0176	12	2	1.29	4	1	0	9	1	0	10	1	0	17	2	21.0176	23	2	109.563825	24	2	21.017604
30	1	2	108.4217	2	2	21.74973	12	2	1.3	4	1	0	9	1	0	10	1	0	17	2	21.74973	23	2	116.679181	24	2	21.749735
31	1	2	114.4719	2	2	22.61761	12	2	1.31	4	1	0	9	1	0	10	1	0	17	2	22.61761	23	2	123.905551	24	2	22.617613
32	1	2	120.6543	2	2	23.50049	12	2	1.32	4	1	0	9	1	0	10	1	0	17	2	23.50049	23	2	131.393036	24	2	23.500487
33	1	2	125.744	2	2	24.3984	12	2	1.33	4	1	0	9	1	0	10	1	0	17	2	24.3984	23	2	139.203033	24	2	24.398399
34	1	2	148.7045	2	2	25.37062	12	2	1.34	4	1	0	9	1	0	10	1	0	17	2	25.37062	23	2	147.342314	24	2	25.370621
35	1	2	153.7546	2	2	26.19798	12	2	1.35	4	1	0	9	1	0	10	1	0	17	2	26.19798	23	2	156.631994	24	2	26.197983
36	1	2	158.886	2	2	27.03764	12	2	1.36	4	1	0	9	1	0	10	1	0	17	2	27.03764	23	2	166.419906	24	2	27.037642
37	1	2	165.88	2	2	28.30728	12	2	1.37	4	1	0	9	1	0	10	1	0	17	2	28.30728	23	2	176.602768	24	2	28.307281
38	1	2	173.5809	2	2	29.66658	12	2	1.38	4	1	0	9	1	0	10	1	0	17	2	29.66658	23	2	187.12581	24	2	29.666578
39	1	2	181.4102	2	2	31.05228	12	2	1.39	4	1	0	9	1	0	10	1	0	17	2	31.05228	23	2	198.114252	24	2	31.052282
40	1	2	198.3841	2	2	32.51703	12	2	1.4	4	1	0	9	1	0	10	1	0	17	2	32.51703	23	2	209.499926	24	2	32.517029
41	1	2	207.9781	2	2	34.0855	12	2	1.41	4	1	0	9	1	0	10	1	0	17	2	34.0855	23	2	221.358289	24	2	33.693383
42	1	2	217.7367	2	2	35.68458	12	2	1.42	4	1	0	9	1	0	10	1	0	17	2	35.68458	23	2	234.313678	24	2	34.892693
43	1	2	227.0249	2	2	37.24761	12	2	1.43	4	1	0	9	1	0	10	1	0	17	2	37.24761	23	2	248.218566	24	2	36.064966
44	1	2	236.4653	2	2	38.8393	12	2	1.44	4	1	0	9	1	0	10	1	0	17	2	38.8393	23	2	263.037912	24	2	37.258736
45	1	2	264.514	2	2	40.45966	12	2	1.45	4	1	0	9	1	0	10	1	0	17	2	40.45966	23	2	281.447806	24	2	38.474003
46	1	2	273.7571	2	2	41.71497	12	2	1.46	4	1	0	9	1	0	10	1	0	17	2	41.71497	23	2	300.164605	24	2	39.415483
47	1	2	289.6475	2	2	43.60169	12	2	1.47	4	1	0	9	1	0	10	1	0	17	2	43.60169	23	2	319.937058	24	2	40.830525
48	1	2	305.8628	2	2	45.52411	12	2	1.48	4	1	0	9	1	0	10	1	0	17	2	45.52411	23	2	340.796525	24	2	42.272337
49	1	2	322.4075	2	2	47.48235	12	2	1.49	4	1	0	9	1	0	10	1	0	17	2	47.48235	23	2	362.845112	24	2	43.741021
50	1	2	367.8213	2	2	50.14548	12	2	1.5	4	1	0	9	1	0	10	1	0	17	2	50.14548	23	2	386.007951	24	2	45.738367
51	1	2	384.5919	2	2	51.97996	12	2	1.51	4	1	0	9	1	0	10	1	0	17	2	51.97996	23	2	405.819862	24	2	47.114229
52	1	2	401.5548	2	2	53.83439	12	2	1.52	4	1	0	9	1	0	10	1	0	17	2	53.83439	23	2	426.750883	24	2	48.505054
53	1	2	418.7124	2	2	55.7086	12	2	1.53	4	1	0	9	1	0	10	1	0	17	2	55.7086	23	2	448.336057	24	2	49.910706
54	1	2	436.0667	2	2	57.60231	12	2	1.54	4	1	0	9	1	0	10	1	0	17	2	57.60231	23	2	470.60851	24	2	51.330989
55	1	2	452.5111	2	2	59.40968	12	2	1.55	4	1	0	9	1	0	10	1	0	17	2	59.40968	23	2	500.874926	24	2	52.686516
56	1	2	466.241	2	2	60.96815	12	2	1.56	4	1	0	9	1	0	10	1	0	17	2	60.96815	23	2	529.129932	24	2	53.855372
57	1	2	483.8348	2	2	63.18038	12	2	1.57	4	1	0	9	1	0	10	1	0	17	2	63.18038	23	2	558.18566	24	2	55.514541
58	1	2	503.1843	2	2	65.56533	12	2	1.58	4	1	0	9	1	0	10	1	0	17	2	65.56533	23	2	588.083628	24	2	57.303255
59	1	2	522.7799	2	2	67.97952	12	2	1.59	4	1	0	9	1	0	10	1	0	17	2	67.97952	23	2	619.623012	24	2	59.113898
60	1	2	616.9946	2	2	70.615	12	2	1.6	4	1	0	9	1	0	10	1	0	17	2	70.615	23	2	652.160115	24	2	61.09051
61	1	2	637.3271	2	2	72.87743	12	2	1.61	4	1	0	9	1	0	10	1	0	17	2	72.87743	23	2	685.428224	24	2	62.787332
62	1	2	659.6903	2	2	75.3163	12	2	1.62	4	1	0	9	1	0	10	1	0	17	2	75.3163	23	2	725.285998	24	2	64.616485
63	1	2	682.2833	2	2	77.77995	12	2	1.63	4	1	0	9	1	0	10	1	0	17	2	77.77995	23	2	766.455168	24	2	66.464216
64	1	2	711.7287	2	2	80.84824	12	2	1.64	4	1	0	9	1	0	10	1	0	17	2	80.84824	23	2	808.564929	24	2	68.765437
65	1	2	734.9008	2	2	83.39035	12	2	1.65	4	1	0	9	1	0	10	1	0	17	2	83.39035	23	2	857.394435	24	2	70.672019
66	1	2	753.9569	2	2	85.24774	12	2	1.66	4	1	0	9	1	0	10	1	0	17	2	85.24774	23	2	899.702297	24	2	72.065065
67	1	2	829.3079	2	2	89.40919	12	2	1.67	4	1	0	9	1	0	10	1	0	17	2	89.40919	23	2	943.454358	24	2	75.186151
68	1	2	855.3966	2	2	92.12469	12	2	1.68	4	1	0	9	1	0	10	1	0	17	2	92.12469	23	2	987.485571	24	2	77.222775
69	1	2	879.7074	2	2	94.70249	12	2	1.69	4	1	0	9	1	0	10	1	0	17	2	94.70249	23	2	1032.847836	24	2	79.156128
70	1	2	960.8343	2	2	97.48067	12	2	1.7	4	1	0	9	1	0	10	1	0	17	2	97.48067	23	2	1078.628975	24	2	81.23976
71	1	2	987.2563	2	2	100.11726	12	2	1.71	4	1	0	9	1	0	10	1	0	17	2	100.11726	23	2	1125.08591	24	2	84.917177
72	1	2	1016.308	2	2	102.95798	12	2	1.72	4	1	0	9	1	0	10	1	0	17	2	102.95798	23	2	1176.675427	24	2	88.594593
73	1	2	1037.415	2	2	105.19038	12	2	1.73	4	1	0	9	1	0	10	1	0	17	2	105.19038	23	2	1225.49735	24	2	92.27201
74	1	2	1067.75	2	2	108.15596	12	2	1.74	4	1	0	9	1	0	10	1	0	17	2	108.15596	23	2	1276.60159	24	2	95.949426
75	1	2	1098.412	2	2	111.14884	12	2	1.75	4	1	0	9	1	0	10	1	0	17	2	111.14884	23	2	1349.673881	24	2	99.626843
76	1	2	1123.775	2	2	113.33174	12	2	1.76	4	1	0	9	1	0	10	1	0	17	2	113.33174	23	2	1419.612117	24	2	103.30426
77	1	2	1153.119	2	2	116.23478	12	2	1.77	4	1	0	9	1	0	10	1	0	17	2	116.23478	23	2	1492.443537	24	2	106.981676
78	1	2	1182.76	2	2	119.16229	12	2	1.78	4	1	0	9	1	0	10	1	0	17	2	119.16229	23	2	1566.433893	24	2	110.659093
79	1	2	1210.233	2	2	121.92657	12	2	1.79	4	1	0	9	1	0	10	1	0	17	2	121.92657	23	2	1645.94096	24	2	114.336509
80	1	2	1366.735	2	2	125.41919	12	2	1.8	4	1	0	9	1	0	10	1	0	17	2	125.41919	23	2	1740.033716	24	2	118.013926
81	1	2	1394.867	2	2	128.0491	12	2	1.81	4	1	0	9	1	0	10	1	0	17	2	128.0491	23	2	1832.442432	24	2	121.691342
82	1	2	1423.247	2	2	130.69697	12	2	1.82	4	1	0	9	1	0	10	1	0	17	2	130.69697	23	2	1926.506478	24	2	125.368759
83	1	2	1440.909	2	2	132.59346	12	2	1.83	4	1	0	9	1	0	10	1	0	17	2	132.59346	23	2	2018.166593	24	2	129.046175
84	1	2	1485.468	2	2	134.49482	12	2	1.84	4	1	0	9	1	0	10	1	0	17	2	134.49482	23	2	2109.698322	24	2	132.723592
85	1	2	1503.56	2	2	136.40101	12	2	1.85	4	1	0	9	1	0	10	1	0	17	2	136.40101	23	2	2223.0678	24	2	136.401008
86	1	2	1532.91	2	2	138.65791	12	2	1.86	4	1	0	9	1	0	10	1	0	17	2	138.65791	23	2	2317.169022	24	2	138.657909
87	1	2	1563.946	2	2	141.59421	12	2	1.87	4	1	0	9	1	0	10	1	0	17	2	141.59421	23	2	2412.804255	24	2	141.594214
88	1	2	1598.809	2	2	144.79605	12	2	1.88	4	1	0	9	1	0	10	1	0	17	2	144.79605	23	2	2510.077812	24	2	144.796046
89	1	2	1634.08	2	2	148.02296	12	2	1.89	4	1	0	9	1	0	10	1	0	17	2	148.02296	23	2	2613.843345	24	2	148.022956
90	1	2	1792.851	2	2	151.52366	12	2	1.9	4	1	0	9	1	0	10	1	0	17	2	151.52366	23	2	2731.175574	24	2	151.523664
91	1	2	1835.423	2	2	155.44891	12	2	1.91	4	1	0	9	1	0	10	1	0	17	2	155.44891	23	2	2831.961352	24	2	155.448912
92	1	2	1882.428	2	2	159.68016	12	2	1.92	4	1	0	9	1	0	10	1	0	17	2	159.68016	23	2	2934.134496	24	2	159.680157
93	1	2	1930.047	2	2	163.96824	12	2	1.93	4	1	0	9	1	0	10	1	0	17	2	163.96824	23	2	3063.695303	24	2	163.968241
94	1	2	1996.661	2	2	169.54304	12	2	1.94	4	1	0	9	1	0	10	1	0	17	2	169.54304	23	2	3191.604976	24	2	169.543038
95	1	2	2042.759	2	2	173.8133	12	2	1.95	4	1	0	9	1	0	10	1	0	17	2	173.8133	23	2	3344.277164	24	2	173.813296
96	1	2	2055.588	2	2	175.20334	12	2	1.96	4	1	0	9	1	0	10	1	0	17	2	175.20334	23	2	3495.400913	24	2	175.203335
97	1	2	2069.809	2	2	176.75739	12	2	1.97	4	1	0	9	1	0	10	1	0	17	2	176.75739	23	2	3644.670642	24	2	176.757387
98	1	2	2256.937	2	2	189.76929	12	2	1.98	4	1	0	9	1	0	10	1	0	17	2	189.76929	23	2	3791.268551	24	2	189.769285
99	1	2	2272.524	2	2	191.44692	12	2	1.99	4	1	0	9	1	0	10	1	0	17	2	191.44692	23	2	3934.99308	24	2	191.446921
100	1	2	2706.502	2	2	196.03574	12	2	2	4	1	0	9	1	0	10	1	0	17	2	196.03574	23	2	4082.745804	24	2	196.03574
101	1	2	2770.433083	2	2	196.423744	12	2	2.01	4	1	0	9	1	0	10	1	0	17	2	196.423744	23	2	4213.191254	24	2	196.423744
102	1	2	2835.451413	2	2	196.812013	12	2	2.02	4	1	0	9	1	0	10	1	0	17	2	196.812013	23	2	4347.95826	24	2	196.812013
103	1	2	2901.570598	2	2	197.200593	12	2	2.03	4	1	0	9	1	0	10	1	0	17	2	197.200593	23	2	4485.799985	24	2	197.200593
104	1	2	2968.804108	2	2	197.589393	12	2	2.04	4	1	0	9	1	0	10	1	0	17	2	197.589393	23	2	4590.933598	24	2	197.589393
105	1	2	3199.580462	2	2	197.978503	12	2	2.05	4	1	0	9	1	0	10	1	0	17	2	197.978503	23	2	4720.887809	24	2	197.978503
106	1	2	3272.799249	2	2	198.367879	12	2	2.06	4	1	0	9	1	0	10	1	0	17	2	198.367879	23	2	4825.014134	24	2	198.367879
107	1	2	3347.234099	2	2	198.757519	12	2	2.07	4	1	0	9	1	0	10	1	0	17	2	198.757519	23	2	4906.452297	24	2	198.757519
108	1	2	3422.899146	2	2	199.147426	12	2	2.08	4	1	0	9	1	0	10	1	0	17	2	199.147426	23	2	4988.697953	24	2	199.147426
109	1	2	3499.808304	2	2	199.537642	12	2	2.09	4	1	0	9	1	0	10	1	0	17	2	199.537642	23	2	5071.757656	24	2	199.537642
110	1	2	3938.627503	2	2	199.928123	12	2	2.1	4	1	0	9	1	0	10	1	0	17	2	199.928123	23	2	5167.530109	24	2	199.928123
111	1	2	4026.07472	2	2	200.318825	12	2	2.11	4	1	0	9	1	0	10	1	0	17	2	200.318825	23	2	5252.99654	24	2	200.318825
112	1	2	4114.938015	2	2	200.709837	12	2	2.12	4	1	0	9	1	0	10	1	0	17	2	200.709837	23	2	5339.302709	24	2	200.709837
113	1	2	4205.232921	2	2	201.101115	12	2	2.13	4	1	0	9	1	0	10	1	0	17	2	201.101115	23	2	5426.455094	24	2	201.101115
114	1	2	4296.974971	2	2	201.492702	12	2	2.14	4	1	0	9	1	0	10	1	0	17	2	201.492702	23	2	5514.460468	24	2	201.492702
115	1	2	4496.222541	2	2	201.88451	12	2	2.15	4	1	0	9	1	0	10	1	0	17	2	201.88451	23	2	5603.325383	24	2	201.88451
116	1	2	4593.192285	2	2	202.276628	12	2	2.16	4	1	0	9	1	0	10	1	0	17	2	202.276628	23	2	5671.801973	24	2	202.276628
117	1	2	4691.691622	2	2	202.668967	12	2	2.17	4	1	0	9	1	0	10	1	0	17	2	202.668967	23	2	5743.353651	24	2	202.668967
118	1	2	4791.736528	2	2	203.061615	12	2	2.18	4	1	0	9	1	0	10	1	0	17	2	203.061615	23	2	5818.047777	24	2	203.061615
119	1	2	4893.342756	2	2	203.454529	12	2	2.19	4	1	0	9	1	0	10	1	0	17	2	203.454529	23	2	5895.955094	24	2	203.454529
120	1	2	5299.346069	2	2	203.847753	12	2	2.2	4	1	0	9	1	0	10	1	0	17	2	203.847753	23	2	5977.149661	24	2	203.847753
121	1	2	5399.216652	2	2	204.241198	12	2	2.21	4	1	0	9	1	0	10	1	0	17	2	204.241198	23	2	6049.208701	24	2	204.241198
122	1	2	5500.462529	2	2	204.634952	12	2	2.22	4	1	0	9	1	0	10	1	0	17	2	204.634952	23	2	6124.506846	24	2	204.634952
123	1	2	5603.097541	2	2	205.028928	12	2	2.23	4	1	0	9	1	0	10	1	0	17	2	205.028928	23	2	6203.11889	24	2	205.028928
124	1	2	5707.135453	2	2	205.423213	12	2	2.24	4	1	0	9	1	0	10	1	0	17	2	205.423213	23	2	6285.123086	24	2	205.423213
125	1	2	5812.590106	2	2	205.817764	12	2	2.25	4	1	0	9	1	0	10	1	0	17	2	205.817764	23	2	6370.601001	24	2	205.817764
126	1	2	5919.475118	2	2	206.21258	12	2	2.26	4	1	0	9	1	0	10	1	0	17	2	206.21258	23	2	6459.637883	24	2	206.21258
127	1	2	6027.804402	2	2	206.607705	12	2	2.27	4	1	0	9	1	0	10	1	0	17	2	206.607705	23	2	6549.582818	24	2	206.607705
128	1	2	6137.591652	2	2	207.003052	12	2	2.28	4	1	0	9	1	0	10	1	0	17	2	207.003052	23	2	6640.442432	24	2	207.003052
129	1	2	6248.850633	2	2	207.398708	12	2	2.29	4	1	0	9	1	0	10	1	0	17	2	207.398708	23	2	6732.223277	24	2	207.398708
130	1	2	6361.595112	2	2	207.79463	12	2	2.3	4	1	0	9	1	0	10	1	0	17	2	207.79463	23	2	6824.931979	24	2	207.79463
131	1	2	6475.838928	2	2	208.190817	12	2	2.31	4	1	0	9	1	0	10	1	0	17	2	208.190817	23	2	6918.575162	24	2	208.190817
132	1	2	6591.595774	2	2	208.58727	12	2	2.32	4	1	0	9	1	0	10	1	0	17	2	208.58727	23	2	7013.159526	24	2	208.58727
133	1	2	6708.879417	2	2	208.983988	12	2	2.33	4	1	0	9	1	0	10	1	0	17	2	208.983988	23	2	7108.691622	24	2	208.983988
134	1	2	6827.703696	2	2	209.381016	12	2	2.34	4	1	0	9	1	0	10	1	0	17	2	209.381016	23	2	7205.178077	24	2	209.381016
135	1	2	6948.082303	2	2	209.778309	12	2	2.35	4	1	0	9	1	0	10	1	0	17	2	209.778309	23	2	7302.625589	24	2	209.778309
136	1	2	7070.029078	2	2	210.175823	12	2	2.36	4	1	0	9	1	0	10	1	0	17	2	210.175823	23	2	7401.040636	24	2	210.175823
137	1	2	7193.557715	2	2	210.573646	12	2	2.37	4	1	0	9	1	0	10	1	0	17	2	210.573646	23	2	7500.429918	24	2	210.573646
138	1	2	7318.681979	2	2	210.97178	12	2	2.38	4	1	0	9	1	0	10	1	0	17	2	210.97178	23	2	7600.800133	24	2	210.97178
139	1	2	7445.415783	2	2	211.370134	12	2	2.39	4	1	0	9	1	0	10	1	0	17	2	211.370134	23	2	7702.157759	24	2	211.370134
140	1	2	7573.772747	2	2	211.768754	12	2	2.4	4	1	0	9	1	0	10	1	0	17	2	211.768754	23	2	7804.509496	24	2	211.768754
141	1	2	7703.766637	2	2	212.167684	12	2	2.41	4	1	0	9	1	0	10	1	0	17	2	212.167684	23	2	7907.86197	24	2	212.167684
142	1	2	7835.411366	2	2	212.566879	12	2	2.42	4	1	0	9	1	0	10	1	0	17	2	212.566879	23	2	8012.221731	24	2	212.566879
143	1	2	7968.720554	2	2	212.966339	12	2	2.43	4	1	0	9	1	0	10	1	0	17	2	212.966339	23	2	8117.595554	24	2	212.966339
144	1	2	8103.708039	2	2	213.366065	12	2	2.44	4	1	0	9	1	0	10	1	0	17	2	213.366065	23	2	8223.989915	24	2	213.366065
145	1	2	8240.387515	2	2	213.766056	12	2	2.45	4	1	0	9	1	0	10	1	0	17	2	213.766056	23	2	8331.41144	24	2	213.766056
146	1	2	8378.772895	2	2	214.166357	12	2	2.46	4	1	0	9	1	0	10	1	0	17	2	214.166357	23	2	8439.866902	24	2	214.166357
147	1	2	8518.877797	2	2	214.566879	12	2	2.47	4	1	0	9	1	0	10	1	0	17	2	214.566879	23	2	8549.362706	24	2	214.566879
148	1	2	8660.716137	2	2	214.967711	12	2	2.48	4	1	0	9	1	0	10	1	0	17	2	214.967711	23	2	8659.905698	24	2	214.967711
149	1	2	8804.301531	2	2	215.368808	12	2	2.49	4	1	0	9	1	0	10	1	0	17	2	215.368808	23	2	8771.502282	24	2	215.368808
150	1	2	8949.647821	2	2	215.77017	12	2	2.5	4	1	0	9	1	0	10	1	0	17	2	215.77017	23	2	8884.159231	24	2	215.77017
151	1	2	9096.768846	2	2	216.171798	12	2	2.51	4	1	0	9	1	0	10	1	0	17	2	216.171798	23	2	8997.883171	24	2	216.171798
152	1	2	9245.678224	2	2	216.573735	12	2	2.52	4	1	0	9	1	0	10	1	0	17	2	216.573735	23	2	9112.68058	24	2	216.573735
153	1	2	9396.38987	2	2	216.975893	12	2	2.53	4	1	0	9	1	0	10	1	0	17	2	216.975893	23	2	9228.55823	24	2	216.975893
154	1	2	9548.917476	2	2	217.378362	12	2	2.54	4	1	0	9	1	0	10	1	0	17	2	217.378362	23	2	9345.522674	24	2	217.378362
155	1	2	9703.274809	2	2	217.781095	12	2	2.55	4	1	0	9	1	0	10	1	0	17	2	217.781095	23	2	9463.58061	24	2	217.781095
156	1	2	9859.475633	2	2	218.184094	12	2	2.56	4	1	0	9	1	0	10	1	0	17	2	218.184094	23	2	9582.738516	24	2	218.184094
157	1	2	10017.533716	2	2	218.587358	12	2	2.57	4	1	0	9	1	0	10	1	0	17	2	218.587358	23	2	9703.003092	24	2	218.587358
158	1	2	10177.462898	2	2	218.990932	12	2	2.58	4	1	0	9	1	0	10	1	0	17	2	218.990932	23	2	9824.380963	24	2	218.990932
159	1	2	10339.27687	2	2	219.394728	12	2	2.59	4	1	0	9	1	0	10	1	0	17	2	219.394728	23	2	9946.878828	24	2	219.394728
160	1	2	10502.989473	2	2	219.798832	12	2	2.6	4	1	0	9	1	0	10	1	0	17	2	219.798832	23	2	10070.503165	24	2	219.798832
161	1	2	10585.561985	2	2	220.203202	12	2	2.61	4	1	0	9	1	0	10	1	0	17	2	220.203202	23	2	10195.260674	24	2	220.203202
162	1	2	10668.614399	2	2	220.607838	12	2	2.62	4	1	0	9	1	0	10	1	0	17	2	220.607838	23	2	10321.15798	24	2	220.607838
163	1	2	10752.148263	2	2	221.012739	12	2	2.63	4	1	0	9	1	0	10	1	0	17	2	221.012739	23	2	10448.201634	24	2	221.012739
164	1	2	10836.165415	2	2	221.417949	12	2	2.64	4	1	0	9	1	0	10	1	0	17	2	221.417949	23	2	10576.39841	24	2	221.417949
165	1	2	10920.66755	2	2	221.823381	12	2	2.65	4	1	0	9	1	0	10	1	0	17	2	221.823381	23	2	10705.754711	24	2	221.823381
166	1	2	11005.65636	2	2	222.229122	12	2	2.66	4	1	0	9	1	0	10	1	0	17	2	222.229122	23	2	10836.277385	24	2	222.229122
167	1	2	11091.133613	2	2	222.635129	12	2	2.67	4	1	0	9	1	0	10	1	0	17	2	222.635129	23	2	10967.972909	24	2	222.635129
168	1	2	11177.100928	2	2	223.041401	12	2	2.68	4	1	0	9	1	0	10	1	0	17	2	223.041401	23	2	11100.847909	24	2	223.041401
169	1	2	11263.560218	2	2	223.447939	12	2	2.69	4	1	0	9	1	0	10	1	0	17	2	223.447939	23	2	11234.909084	24	2	223.447939
170	1	2	11350.512956	2	2	223.854742	12	2	2.7	4	1	0	9	1	0	10	1	0	17	2	223.854742	23	2	11370.163059	24	2	223.854742
171	1	2	11437.961057	2	2	224.261854	12	2	2.71	4	1	0	9	1	0	10	1	0	17	2	224.261854	23	2	11506.616387	24	2	224.261854
172	1	2	11525.906213	2	2	224.669232	12	2	2.72	4	1	0	9	1	0	10	1	0	17	2	224.669232	23	2	11644.275692	24	2	224.669232
173	1	2	11614.350044	2	2	225.076831	12	2	2.73	4	1	0	9	1	0	10	1	0	17	2	225.076831	23	2	11783.1476	24	2	225.076831
174	1	2	11703.29439	2	2	225.48474	12	2	2.74	4	1	0	9	1	0	10	1	0	17	2	225.48474	23	2	11923.23881	24	2	225.48474
175	1	2	11792.740945	2	2	225.892958	12	2	2.75	4	1	0	9	1	0	10	1	0	17	2	225.892958	23	2	12064.555801	24	2	225.892958
176	1	2	11882.691328	2	2	226.301398	12	2	2.76	4	1	0	9	1	0	10	1	0	17	2	226.301398	23	2	12207.105345	24	2	226.301398
177	1	2	11973.147379	2	2	226.710103	12	2	2.77	4	1	0	9	1	0	10	1	0	17	2	226.710103	23	2	12350.893993	24	2	226.710103
178	1	2	12064.110792	2	2	227.119117	12	2	2.78	4	1	0	9	1	0	10	1	0	17	2	227.119117	23	2	12495.928372	24	2	227.119117
179	1	2	12155.58326	2	2	227.528397	12	2	2.79	4	1	0	9	1	0	10	1	0	17	2	227.528397	23	2	12642.215106	24	2	227.528397
180	1	2	12247.566475	2	2	227.937942	12	2	2.8	4	1	0	9	1	0	10	1	0	17	2	227.937942	23	2	12789.760748	24	2	227.937942
181	1	2	12340.062279	2	2	228.347753	12	2	2.81	4	1	0	9	1	0	10	1	0	17	2	228.347753	23	2	12938.57207	24	2	228.347753
182	1	2	12433.072217	2	2	228.757829	12	2	2.82	4	1	0	9	1	0	10	1	0	17	2	228.757829	23	2	13088.655624	24	2	228.757829
