ID	说明	AbilityName	是否通用	最先加载	图标	group用途
3018	同系伤害抵抗-草-100%	MonsterAffix_ElementResist_Grass_03			Skill_S_Diluc_01_03	
3019	同系伤害抵抗-岩-50%	MonsterAffix_ElementResist_Rock_01			Skill_S_Diluc_01_01	
3020	同系伤害抵抗-岩-70%	MonsterAffix_ElementResist_Rock_02			Skill_S_Diluc_01_02	
3021	同系伤害抵抗-岩-100%	MonsterAffix_ElementResist_Rock_03			Skill_S_Diluc_01_03	
4001	关闭怪物受击、嘲讽、广播入战	MonsterAffix_NeverCombat			Skill_E_Ayaka	
4002	免疫物理伤害	MonsterAffix_PhysicalMuteHurt	1		Skill_E_Ayaka	
4003	免疫法器伤害-需要角色对应	MonsterAffix_CatalystMuteHurt_ForHunting	1		Skill_E_Ayaka	
4004	免疫单手剑伤害-需要角色对应	MonsterAffix_SwordMuteHurt_ForHunting	1		Skill_E_Ayaka	
4005	免疫双手剑伤害-需要角色对应	MonsterAffix_ClaymoreMuteHurt_ForHunting	1		Skill_E_Ayaka	
4006	免疫长柄武器伤害-需要角色对应	MonsterAffix_PoleMuteHurt_ForHunting	1		Skill_E_Ayaka	
4007	免疫弓伤害-需要角色对应	MonsterAffix_BowMuteHurt_ForHunting	1		Skill_E_Ayaka	
4008	免疫火元素伤害	MonsterAffix_FireMuteHurt	1		Skill_E_Ayaka	
4009	免疫水元素伤害	MonsterAffix_WaterMuteHurt	1		Skill_E_Ayaka	
4010	免疫冰元素伤害	MonsterAffix_IceMuteHurt	1		Skill_E_Ayaka	
4011	免疫雷元素伤害	MonsterAffix_ElecMuteHurt	1		Skill_E_Ayaka	
4012	免疫岩元素伤害	MonsterAffix_RockMuteHurt	1		Skill_E_Ayaka	
4013	免疫风元素伤害	MonsterAffix_WindMuteHurt	1		Skill_E_Ayaka	
4014	免疫草元素伤害	MonsterAffix_GrassMuteHurt	1		Skill_E_Ayaka	
4015	免疫重击伤害	MonsterAffix_ExtraAttackMuteHurt_ForHunting	1		Skill_E_Ayaka	
4016	受法器伤害提升50%-需要角色对应	MonsterAffix_CatalystVulnerable_ForHunting	1		Skill_E_Ayaka	
4017	受单手剑伤害提升50%-需要角色对应	MonsterAffix_SwordVulnerable_ForHunting	1		Skill_E_Ayaka	
4018	受双手剑伤害提升50%-需要角色对应	MonsterAffix_ClaymoreVulnerable_ForHunting	1		Skill_E_Ayaka	
4019	受长柄武器伤害提升50%-需要角色对应	MonsterAffix_PoleVulnerable_ForHunting	1		Skill_E_Ayaka	
4020	受弓伤害提升50%-需要角色对应	MonsterAffix_BowVulnerable_ForHunting	1		Skill_E_Ayaka	
4021	被暴击率提升-需要角色对应	MonsterAffix_ExtraCritical_ForHunting	1		Skill_E_Ayaka	
4022	受暴击伤害提升-需要角色对应	MonsterAffix_ExtraCriticalHurt_ForHunting	1		Skill_E_Ayaka	
4023	受重击伤害提升-需要角色对应	MonsterAffix_ExtraAttackVulnerable_ForHunting	1		Skill_E_Ayaka	
4024	受空中攻击伤害提升-需要角色对应	MonsterAffix_FallingAttackVulnerable_ForHunting	1		Skill_E_Ayaka	
4025	火元素抗性减50	MonsterAffix_FireVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4026	水元素抗性减50	MonsterAffix_WaterVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4027	冰元素抗性减50	MonsterAffix_IceVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4028	雷元素抗性减50	MonsterAffix_ElecVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4029	岩元素抗性减50	MonsterAffix_RockVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4030	风元素抗性减50	MonsterAffix_WindVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4031	草元素抗性减50	MonsterAffix_GrassVulnerable_Low_ForHunting	1		Skill_E_Ayaka	
4032	怪物生命提高10%	MonsterAffix_Property_HpUp_01_ForHunting	1		Skill_E_Ayaka	
4033	怪物生命提高50%	MonsterAffix_Property_HpUp_04_ForHunting	1			
4034	怪物生命提高75%	MonsterAffix_Property_HpUp_05_ForHunting	1			
4035	怪物生命提高100%	MonsterAffix_Property_HpUp_06_ForHunting	1			
4036	怪物生命提高125%	MonsterAffix_Property_HpUp_07_ForHunting	1			
4037	怪物生命提高200%	MonsterAffix_Property_HpUp_08_ForHunting	1			
4038	怪物生命提高250%	MonsterAffix_Property_HpUp_09_ForHunting	1			
4039	怪物生命提高300%	MonsterAffix_Property_HpUp_10_ForHunting	1			
4040	怪物攻击提高10%	MonsterAffix_Property_AtkUp_01_ForHunting	1			
4041	怪物攻击提高20%	MonsterAffix_Property_AtkUp_02_ForHunting	1			
4042	怪物攻击提高30%	MonsterAffix_Property_AtkUp_03_ForHunting	1			
4043	狩猎线索特殊特效提示	MonsterAffix_HintEffect_ForHunting	1			
4044	受法器伤害提升100%-需要角色对应	MonsterAffix_CatalystVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4045	受单手剑伤害提升100%-需要角色对应	MonsterAffix_SwordVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4046	受双手剑伤害提升100%-需要角色对应	MonsterAffix_ClaymoreVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4047	受长柄武器伤害提升100%-需要角色对应	MonsterAffix_PoleVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4048	受弓伤害提升100%-需要角色对应	MonsterAffix_BowVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4049	火元素抗性减100	MonsterAffix_FireVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4050	水元素抗性减100	MonsterAffix_WaterVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4051	冰元素抗性减100	MonsterAffix_IceVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4052	雷元素抗性减100	MonsterAffix_ElecVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4053	岩元素抗性减100	MonsterAffix_RockVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4054	风元素抗性减100	MonsterAffix_WindVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4055	草元素抗性减100	MonsterAffix_GrassVulnerable_High_ForHunting	1		Skill_E_Ayaka	
4056	怪物生命提高25%	MonsterAffix_Property_HpUp_03_ForHunting	1			
4057	怪物攻击提高50%	MonsterAffix_Property_AtkUp_04_ForHunting	1			
4058	怪物攻击提高100%	MonsterAffix_Property_AtkUp_05_ForHunting	1			
4059	怪物攻击提高120%	MonsterAffix_Property_AtkUp_06_ForHunting	1			
4060	受重击伤害提升100%-需要角色对应	MonsterAffix_ExtraAttackVulnerable_High_ForHunting	1			
4061	怪物生命提高20%	MonsterAffix_Property_HpUp_02_ForHunting	1			
4062	怪物攻击提高200%	MonsterAffix_Property_AtkUp_07_ForHunting	1			
4063	怪物攻击提高250%	MonsterAffix_Property_AtkUp_08_ForHunting	1			
4064	最终目标提示	MonsterAffix_FinalTarget_ForHunting	1	1		
4065	血量降低25%	MonsterAffix_HpDecrease_01_ForDragonSpine	1	1		
4066	以怪物为中心的小范围内出现3个小型草元素龙卷	MonsterAffix_DendroTornado_ForHunting	1			
4067	全抗提升，每次受到草元素伤害后全抗降低，周期性重置初始抗性	MonsterAffix_DendroDriven_ForHunting	1			
4068	对怪物触发激化反应，引发落雷，造成雷伤，减雷草抗性	MonsterAffix_OverdoseEnhanced_ForHunting	1			
4069	受到蔓生蘑菇爆炸伤害提高，被炸到的怪物草元素抗性降低	MonsterAffix_OvergrowEnhanced_ForHunting	1			
4070	草元素抗性降低	MonsterAffix_DendroVulnerable_ForHunting	1			
4101	怪物生命提高100%	MonsterAffix_Property_HpUp_High_ForAster	1			
4102	怪物生命提高50%	MonsterAffix_Property_HpUp_Mid_ForAster	1			
4103	怪物生命提高25%	MonsterAffix_Property_HpUp_Low_ForAster	1			
4104	怪物攻击提高50%	MonsterAffix_Property_AtkUp_High_ForAster	1			
4105	怪物攻击提高25%	MonsterAffix_Property_AtkUp_Mid_ForAster	1			
4106	怪物攻击提高15%	MonsterAffix_Property_AtkUp_Low_ForAster	1			
4107	受到活动角色伤害提高100%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_High_ForAster	1			
4108	受到活动角色伤害提高60%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_Mid_ForAster	1			
4109	受到活动角色伤害提高30%-需要角色对应	MonsterAffix_AssignedAvatarVulnerable_Low_ForAster	1			
4110	活动中高分目标的特效提示	MonsterAffix_HighScoreTarget_ForAster	1			
4111	血量提升400%	MonsterAffix_Property_HpUp_01_ForTowerDefense	1	1		
4112	血量提升250%	MonsterAffix_Property_HpUp_02_ForTowerDefense	1	1		
4113	提升单体20%防御力	MonsterAffix_Property_DefImprove_01_ForTowerDefense	1			
4114	缩小入战距离且隐藏血条	MonsterAffix_LowAlert_ForMimiTomo	1			
4115	攻击力提升200%	MonsterAffix_Property_AtkUp_01_ForArenaChallenge	1			
4116	血量提升150%	MonsterAffix_Property_HpUp_01_ForChannellerSlab	1	1		
4117	血量提升900%	MonsterAffix_Property_HpUp_01_ForMimiTomo	1	1		
4118	怪物特殊标记特效	MonsterAffix_HighThreatTarget_ForBuoyantCombat	1			
4119	怪物版火元素增幅器	MonsterAffix_AmplifierApplier_Fire	1			
4120	怪物版冰元素增幅器	MonsterAffix_AmplifierApplier_Ice	1			
4121	怪物版雷元素增幅器	MonsterAffix_AmplifierApplier_Electric	1			
4122	怪物移速下限放开，受冰冻时间减少50%	MonsterAffix_MoveSpeedLimit_ForTowerDefense				
4123	怪物嘲讽塔	MonsterAffix_TauntTower_ForTowerDefense	1			
4124	怪物缴械塔	MonsterAffix_DisarmTower_ForTowerDefense	1			
4125	丘丘王非入战强化-塔防	MonsterAffix_Brute_TowerDefence_PowerUp		1		
4126	受到下落攻击叠加降防	MonsterAffix_FallingVulnerable_ForHunting	1			
4127	遗迹怪瘫痪时间翻倍	MonsterAffix_DoubleWeakTime_ForHunting	1			
4128	范围内怪物回血	MonsterAffix_AreaHeal_ForTowerDefense	1			
4129	破坏范围内角色岩创生物	MonsterAffix_BreakRock_ForTowerDefense	1			
4130	高危怪物	MonsterAffix_HighScoreTarget_ForAster	1			
4131	通用技能-君王（扈从）降低数值难度	GeneralSkill_Sovereign_Slave_ForHunting	1			
4132	回光返照降低数值难度	GeneralSkill_WaterEnhance_SelfHeal_ForHunting	1			
4133	史莱姆元素盾重生-塔防	MonsterAffix_SlimeShieldReborn_ForTowerDefense		1		
4134	塔防翻牌叠加血量	MonsterAffix_AdditionalHP_ForTowerDefense				
4135	塔防翻牌叠加防御力	MonsterAffix_AdditionalDefence_ForTowerDefense				
4136	血量降低50%	MonsterAffix_Property_HpDecrease_ForTowerDefense	1	1		
4137	回光返照数值调整	GeneralSkill_WaterEnhance_SelfHeal_ForTowerDefense	1			
4138	跑步移动怪物标记	MonsterAffix_RunMonsterTag_ForTowerDefense	1	1		
4139	君王（扈从）特供版-逐月节活动	GeneralSkill_Sovereign_Slave_ForLunaRite	1			
4140	回光返照特供版-逐月节活动	GeneralSkill_WaterEnhance_SelfHeal_ForLunaRite	1			
4141	长时间未换人惩罚	MonsterAffix_NoSwitch_Punishment_ForSumo	1			
4142	血量提升60%	MonsterAffix_Property_HpUp_01_ForSumo	1	1		
4143	血量提升-详见override表	MonsterAffix_AbilityOverrideTest_HpUp		1		
4144	自我治疗-详见override表	GeneralSkill_AbilityOverrideTest_SelfHeal				
4145	增幅器怪物强化	MonsterAffix_Property_PowerUp_01_ForChannellerSlab	1	1		
4146	飘浮灵强化标签	MonsterAffix_Sylph_EliteTag_01_ForChannellerSlab	1	1		
4147	飘浮灵持续回能	MonsterAffix_Sylph_ChargeUp_01_ForChannellerSlab	1	1		
4148	飘浮灵亡语回能	MonsterAffix_Sylph_DeathrattleCharge_01_ForChannellerSlab	1			
4149	兽境猎犬亡语激活	MonsterAffix_Hound_Activated_01_ForChannellerSlab	1	1		
4150	兽境猎犬亡语加攻	MonsterAffix_Hound_AttackEnhance_01_ForChannellerSlab	1			
4151	兽境猎犬亡语重置突袭	MonsterAffix_Hound_ResetStrike_01_ForChannellerSlab	1			
4152	飘浮灵激活加攻	MonsterAffix_Sylph_AttackEnhance_01_ForChannellerSlab	1	1		
4153	兽境犬突袭高度特判	MonsterAffix_HoundStrikeHeight_ForRogue	1	1		
4154	血量提升	MonsterAffix_Property_HpUp_01_ForMistTrial	1	1		
4155	血量提升	MonsterAffix_Property_HpUp_02_ForMistTrial	1	1		
4156	遗迹系怪物虚弱时间调整	MonsterAffix_WeakTimeModify_ForChannellerSlabV2	1			
4157	起死回生	GeneralSkill_SelfHeal_ForChannellerSlabV2	1			
4158	魔偶剑鬼深渊血量调整	MonsterAffix_Ningyo_HPDown_ForAbyss	1	1		
4159	壳之剑士任务血量下调	MonsterAffix_ForlornVessel_HPDown_ForTwins2	1	1		
4160	流明石挑战怪物buff	MonsterAffix_BlackMudBuff_ForTheChasmChallenge	1			
4161	提升血量	MonsterAffix_PropertyUp_Normal_ForActivityArena	1	1		
4162	提升血量和攻击	MonsterAffix_PropertyUp_Hard_ForActivityArena	1	1		
4163	提升血量	MonsterAffix_AdditionalHP_BonusStage01_ForRogueV2	1	1		
4164	降低血量	MonsterAffix_AdditionalHP_BonusStage02_ForRogueV2	1	1		
4165	哨塔争夺大世界玩法，使装置不能涨进度的怪物标记	Eremite_FatuiMaranaWell_GlobalValue_Mark	1			
4166	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage1_NormalEntity	1	1		
4167	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage1_EliteEntity	1	1		
4168	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage2_NormalEntity	1	1		
4169	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage2_EliteEntity	1	1		
4170	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage3_NormalEntity	1	1		
4171	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage3_EliteEntity	1	1		
4172	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage4_NormalEntity	1	1		
4173	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage4_EliteEntity	1	1		
4174	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage5_NormalEntity	1	1		
4175	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage5_EliteEntity	1	1		
4176	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage6_NormalEntity	1	1		
4177	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage6_EliteEntity	1	1		
4178	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage7_NormalEntity	1	1		
4179	提升血量和攻击	MonsterAffix_PropertiesUp_ForMuqadasPotion_Stage7_EliteEntity	1	1		
4180	关闭怪物接受入站广播	Eremite_MainWorld_ResetThreatBroadcastRange	1			
4181	入战起飞，空中时间增长	MonsterAffix_Gargoyle_Fafnir_Elite_ForAbyss	1	1		
4182	提升攻击、血量及抗性	MonsterAffix_Property_ForCharAmusement_Shield	1	1		
4183	提升攻击、血量及抗性	MonsterAffix_Property_ForCharAmusement_Chain	1	1		
4184	提升攻击、血量及抗性	MonsterAffix_Property_ForCharAmusement_FastKill	1	1		
5001	精英化词缀-详见对应文档	MonsterEliteAffix_Attack_Enhance		1	Skill_E_Ayaka	
5002	精英化词缀-详见对应文档	MonsterEliteAffix_Defence_Enhance		1	Skill_E_Ayaka	
5003	精英化词缀-详见对应文档	MonsterEliteAffix_Agility_Enhance		1	Skill_E_Ayaka	
5004	精英化词缀-详见对应文档	MonsterEliteAffix_Support_Enhance		1	Skill_E_Ayaka	
5005	精英化词缀-详见对应文档	MonsterEliteAffix_AgilityEnhance_Abyss_Plugin		1	Skill_E_Ayaka	
5006	无相挑战标记	MonsterAffix_Effigy_Elite		1	Skill_E_Ayaka	
5007	急冻树雪山活动	MonsterAffix_Regisvine_Ice_Activity		1	Skill_E_Ayaka	
5008	骗骗花雪山活动	MonsterAffix_Mimik_Ice_Activity		1	Skill_E_Ayaka	
5009	用于遗迹系怪物激活	MonsterAffix_AIHitFeeling_LevelTrigger	1	1		
5010	用于1.4活动标记纯水动物	MonsterAffix_Oceanid_Animal_ActivityMask	1	1	Skill_E_Ayaka	
5011	纯水动物HP提升，攻击下降	MonsterAffix_Oceanid_Animal_PropertyFix	1	1		
5012	遗迹守卫弱点改为一次击破	MonsterAffix_Defender_WeaknessNerf_ForBuoyantCombat	1			
5013	傀儡将军强制后撤词缀	MonsterAffix_Samurai_Ningyo_ForceDodgeAffix		1		
5014	傀儡将军挑战生命词缀	MonsterAffix_Samurai_Ningyo_ChallengeAffix_Base_01	1	1		
5015	傀儡将军挑战风分身默认剑气词缀	MonsterAffix_Samurai_Ningyo_02_ChallengeAffix_01_Unique1	1	1		
5016	 发射更多剑气。	MonsterAffix_Samurai_Ningyo_02_ChallengeAffix_01_Unique2	1	1		
5017	剑气技能cd降低，发射更多剑气。	MonsterAffix_Samurai_Ningyo_02_ChallengeAffix_01_Unique3	1	1		
5018	剑气技能cd降低，发射更多剑气，	MonsterAffix_Samurai_Ningyo_02_ChallengeAffix_01_Unique4	1	1		
5019	纯水小动物去除脚底特效词缀	MonsterAffix_Oceanid_Animal_DeleteFootEffect	1	1		
5020	突进技能cd降低	MonsterAffix_Samurai_Ningyo_03_ChallengeAffix_01_Unique1	1	1		
5021	突进技能cd降低，突进技能段数增加	MonsterAffix_Samurai_Ningyo_03_ChallengeAffix_01_Unique2	1	1		
5022	突进技能cd降低，突进技能段数增加附带冰冻光环，持续给范围内角色加冰元素	MonsterAffix_Samurai_Ningyo_03_ChallengeAffix_01_Unique3	1	1		
5023	傀儡将军剧情通知入战	MonsterAffix_Samurai_Ningyo_01_SpecialAlert	1	1		
5024	本身有回血的增强，没回血的新增回血	MonsterAffix_Oceanid_02_AnimalHealUp		1		
5025	电梯数量削减，位置随机	MonsterAffix_Oceanid_02_MustKillElevator		1		
5026	尾巴拍地水柱增加	MonsterAffix_Oceanid_02_SkillUp1		1		
5027	尾巴拍地水柱增加，追钟水球数量增加	MonsterAffix_Oceanid_02_SkillUp2		1		
