图鉴ID	类型	物品ID	序号	名称$text_name_Title	描述$text_name_Desc	图标	已废弃	解锁才显示	名称1$text_name_Title1	描述1$text_name_Desc1	任务1	名称2$text_name_Title2	描述2$text_name_Desc2	任务2
40102006	0	100055	206		在夜间会隐隐散发辉光的野花。与其他食材一同烹饪能提升鲜味。正如野花的芬芳不会吸引脚步笃定的人，即使在夜里，小灯草黯淡的光辉也无法吸引心无旁骛的行者。									
40102007	0	100056	207		生长在水边的花。花瓣经过烹制口感爽脆，清甜微苦。现代医学认为嘟嘟莲具有一定的解毒功效，但生吃的涩味让很多人难以接受。									
40102008	0	100618	208				1	1						
40102009	0	100619	209		汲取了生命之力的龙牙，散发着令人感到不安的微弱暖意。过去，龙陨落在银色的山谷中，将惨白的雪地涂成了不祥的绯红。这种绯红象征着这头龙的力量。\n包裹在这种「绯红」之中的龙牙，或许能成为可怖的凶器…			1						
40103001	0	100026	301											
40103002	0	100027	302		璃月地方特产的辛辣植物。只要闻到它的味道，身体就会变得炽热，渴求水分。虽然名字中有「绝云」二字，但其实并不仅仅生长在绝云间。\n名字似乎来自能将人辣得直奔绝云巅峰，渴求清凉空气的辣度。									
40103003	0	100028	303											
40103004	0	100029	304		在璃月如霓云般盛放的妖红之花，能制成如水般顺滑的织物。璃月的「飞云商会」是制丝、纺织的巨头。坊间传说飞云商会在大陆某处有着隐秘的霓裳花苗圃，仰仗特殊花种的产量与质感，在行业内无人能敌。									
40103005	0	100030	305		极为古老的花卉。据说曾经遍布璃月大地，能将大地的记忆积攒成花期时的芬芳。传说会在无比清澈美丽的歌声中开放，在过去是某人十分青睐的花朵。但如今，野地上已经难以再见到琉璃百合的怒放了。									
40103006	0	100031	306											
40103007	0	100032	307											
40103008	0	100033	308											
40103009	0	100034	309											
40103010	0	100091	310											
40104001	0	101202	401		从鸣神大社的神樱上飘落的花瓣，会在雷元素的力量下轻轻悬浮在空中。\n相传雷樱的根在大地深处隐秘相连，而追溯错综复杂的根系的话，最终都会抵达守望稻妻全地的神樱树下；又有传说认为神樱与雷樱皆是御建鸣神主尊的一部分。她将神体分割，通过这种方式来守护治下的众生。									
40104002	0	101201	402		栖息在雷元素富集区域的奇异甲虫。与甲壳上宛如怒目而视的恶鬼之相相反，鬼兜虫其实非常温顺迟钝。\n在稻妻的民间故事中，说神明在为地上的种种动物分配领地时，厌恶纷争的鬼兜虫最先选择了雷元素富集的土地。在漫长的岁月中，进化出诡谲的图形以恫吓来犯者，进化出能放电的角来摒退掠食者。虽然穿着铠甲、顶着尖角，却是有灵万物中最不爱争斗的。									
40104003	0	101203	403		蕴含着「祟神」力量的晶体。冶炼时加入这种物质的话，能极大地提高钢铁制品的强度与韧性。\n在稻妻，所谓的「祟神」即是神骸本身，也是神骸带来的怪象。传说中，产生晶化骨髓的那位魔神还没有成为祟神时，拥有许多名字，其中之一为远吕羽氏尊。远吕羽氏尊的身躯有如海对面陆地的海岸线一般长，声音如同只有暗之外海才能容纳的巨鲸一般悠扬。但在最后，却被连同八酝岛一齐斩断。									
40104004	0	101206	404		在某些特殊的海域中、岛屿上才会生长的特殊物种。虽然外形看起来像菌类，但其实是由「海灵芝虫」分泌而成的。\n某地的民话中认为这种无口无鼻的微小软体生物是早夭之子死后的灵魂变成的。作为惩罚，他们要在无限的岁月中，日复一日以弱小的身躯汲取海沙中极其稀薄的元素，堆积成「海灵芝」；而每当海灵芝成熟，就会被人收割走。									
40104005	0	101205	405		即使在无风的日子里，亦会随雷鸣之声隐隐振动的植物。看起来像是花瓣的结构其实是叶片的延伸，保护着脆弱的花朵。\n鸣草是在雷元素富集的区域顽强生长的稻妻植物物种。由于天生对雷电有极强的感应能力，经常被当地居民用来预报雷雨。在民间传说中，这种植物乃是狸妖「五百藏」借助妖力，自将军的御苑中盗出，播种在稻妻列岛土壤之中的。五百藏的种种轶事在它受到惩治，销声匿迹后，依然在民间广为流传。									
40104006	0	101204	406		在诗文中也被称为「赤蕊」的鲜艳植物，一度在稻妻列岛绝迹，如今在战场上再度重现。传说在血腥的战场上，它们开得格外妖艳。\n虽然格外稀少昂贵，但由于在稻妻人心中颇为不祥，销路也不大。传言说这种植物以鲜血浇灌而成，愈是血腥惨烈的战场，血斛便开得愈发盛大艳丽。稻妻人认为，战殁的灵魂将踏着血斛之花铺成的曲折道路前往彼世，归于永恒的元素循环；但对「永恒」抱持怀疑而迷惘的魂灵，将会被大地束缚，成为朱色苗圃中的另一朵妖红之花。									
40104007	0	101208	407		生长在清籁岛的天云草结成的果实，贴在耳畔能听见微弱的电流声。\n天云草是在数千年前撕裂清籁岛、让雷的阴霾从此永远笼罩这片土地的厮杀结束后，诞生的。如同不屈于雷暴，天云草会向传来雷声的天空结出果实。\n这种精神也将在未来的许多年中，陪伴着移居清籁岛的人们，直到越石村最终荒废、浅濑神社也不再有神人驻守。									
40104008	0	101207	408		这种珍珠只与海祇的珊瑚相伴而生，在手中会散发出月光般的微微凉意。\n有本地故事传说道，在流淌着海祇之血的人的手中，这种珍珠会变得更为明亮，因为珍珠是大御神为了海祇人流的血；也有传说说，大御神用皓月般的珍珠照亮了渊下宫，将人们引领到了地表之上。也因此，海祇真珠对于一些人而言，有着圣物般的意义。\n海祇珊瑚宫的纹样「真珠海波」的由来，传说就是怀抱海祇的波浪，与照亮海祇的耀眼明珠。									
40104009	0	101209	409		如同夜灯般微微发光的蘑菇，其中蕴含着不可思议的力量。在鹤观的雾海中，幽灯蕈能如夜灯一般指引人前行。									
40105001	0	101213	501		如云海般层层叠叠生长的菌类，大多寄生于雨林深处的乔木之上，因此被须弥人视为树王遗德熏结而出的圣体。\n在须弥，森林中的居民有着向教令院贡奉树王圣体菇的传统，但这些贡品的用途却不为世人所知。据某些逸话中说，教令院每年会在净善宫进行秘密的仪式。在仪式上，贤者们会通过食用树王圣体菇的方式来纪念树王的牺牲。					如云海般层层叠叠生长的菌类，大多寄生于雨林深处的乔木之上，被须弥人视为神明恩泽的象征。\n传说古时曾有冠盖覆盖整个须弥的参天巨树，被人们称为树王，如今散落在雨林各处的菌类便是其圣体所化。在须弥，森林中的居民有着向教令院贡奉树王圣体菇的传统，但这些贡品的用途却不为世人所知。	302819			
40105002	0	101214	502		圣洁而高贵的花卉，对生长环境的要求十分苛刻。花蕊经过加工后可以制成珍贵的香料。\n帕蒂沙兰的名字据说来源于某位古代的神祇。传说中，亘古之时，曾有三位神明交好，而在那时曾有鲜丽之花遍布大地，而人们会将采集来的花蕊制成祭香奉献给神。\n如今当时的花已经绝迹。而帕蒂沙兰乃是某人依赖丰沃之惠重新培育的品种。 									
40105003	0	101215	503		生长于林中湿地，散发着同月亮一般皎洁光芒的花卉。只有在夜晚才会绽放。\n在此地最古老的民话中，月神的高车也曾闪耀着比肩太阳的光芒，那时大地上的万物皆仰其恩泽。然而撕裂天空的利箭终于粉碎了装饰香车的宝珠，世人从此再也无法得见月夜君王的容颜。百花转而侍奉新主，唯有月莲仍旧沐浴在清冷的月光下追忆着旧时的欢歌。									
40105004	0	101217	504		生长在山崖峭壁之上的攀援植物开出的花朵。被称为莲只是因为外形相似，本身和莲花并没有什么关系。\n在须弥，到处是沿着山崖生长的藤蔓，如同时间一般无始无终。传说这些藤蔓是树王最初创生的植物，也是须弥一切植物的先祖。须弥所有巨木的根系，乃至于那棵不朽的圣树，都通过这些藤蔓连结在一起。这种说法虽然早已被生论派的学者所否定，但在民间仍然广为流传。					生长在山崖峭壁之上的攀援植物开出的花朵。被称为莲只是因为外形相似，本身和莲花并没有什么关系。\n在须弥，到处是沿着山崖生长的藤蔓，如同时间一般无始无终。传说这些藤蔓是雨林中最初创生的植物，也是须弥一切植物的先祖。须弥所有巨木的根系，乃至于那棵不朽的圣树，都通过这些藤蔓连结在一起。这种说法虽然早已被生论派的学者所否定，但在民间仍然广为流传。	302819			
40105005	0	101220	505		在恶劣的沙漠环境中也能存活的植物所结的果子，赤红的果实在黄沙映衬下显得格外动人。\n拥有极其鲜艳的色彩，经过简单处理后便可制成染料。在沙漠住民的生活中相当重要，据说镀金旅团烈火般的旗帜也是由其所染就。红色的织物随着旅团的足迹被带往四方，无论身在何地，每当看到这些飘拂的绸缎，便似乎可以感受到故乡炙热的风。									
40105006	0	101225	506		栖息在浩瀚沙海之中的顽强甲虫。甲壳上的金色纹路似乎暗示着它们与遍布沙漠的古老遗迹间存在某种渊源。\n传说在黄沙之王统治大地的年代里，在千柱之城的凯旋式上，善使魔法的司祭会将那些战败者的灵魂封印在这些昆虫之内，以「阿赫玛尔」之名命它们永远守护圣者的神庙与宫殿。后来，神庙崩塌，宫殿倾覆，唯有这些金色的虫类依旧延续着已被遗忘的旧日誓约。									
40109001	0	100052	1801		封闭在坚冰当中的花芯。即使离开了植株，也持续散发着寒气。通俗文学中，曾有人描绘了被冰雾花冻住，无法脱身的狐狸。对于力量较小的生物而言，应该是非常危险的植物吧。									
40109002	0	100053	1802		火辣辣的花芯。熊熊燃烧的炙热花朵，即使被水浇熄了也隐隐地放出热量。据说这类植物会在长久的元素力积累中逐渐发展出智能与特殊的行为模式。									
40109003	0	100054	1803		富含电力的晶石，由逸散在大气与大地中的电气积聚而成。摸起来酥酥麻麻的。如果有对应的设施，或许可以通过这里面蕴含的雷元素做些什么事情吧…？									
40109004	0	100058	1804											
40109005	0	100057	1805		随风而行的细小种子。即使拔去了旅行的羽絮，其中也寄宿着远方的希望吧。蒲公英在某种意义上代表着自由、放浪的无羁精神。在盛产蒲公英的风之国土，人们会用蒲公英制酒。另外有民俗学者认为，在古代，蒲公英酿成的酒有强烈的象征意味…									
40110001	0	100072	1901											
40110002	0	100081	1902											
40110003	0	100082	1903											
40110004	0	100083	1904											
40110005	0	100085	1905											
40110008	0	100090	1908		鳅鳅吐出的闪亮珍珠，有神奇的药用效果。鳅鳅会将摄入的矿物质和元素凝结成带有微弱魔力的珠子，在紧急情况下，会将这些珠子吐出来迷惑狩猎者，以保全性命。									
40200001	1	108010	2001											
40200002	1	108014	2002											
40200003	1	108018	2003											
40200004	1	108040	2004											
40200005	1	108044	2005											
40200006	1	108048	2006											
40200007	1	108058	2007											
40200008	1	108118	2008											
40200009	1	108113	2009											
40200010	1	108115	2010											
40200012	1	108116	2011											
40200013	1	108135	2012											
40200014	1	108136	2013											
40200015	1	108144	2014											
40200016	1	108139	2015											
40200017	1	108134	2016											
40200018	1	108114	2017											
40200019	1	108117	2018											
40200020	1	108140	2019											
40200021	1	108138	2020											
40200022	1	108145	2021											
40200023	1	108146	2022											
40210053	1	108173	2023	文火慢炖腌笃鲜										
40210054	1	108174	2024	摇·滚·鸡！										
40210055	1	108175	2025	极致一钓										
40200024	1	108213	2026											
40200025	1	108214	2027											
40200011	1	108137	2028											
40200026	1	108200	2029											
40200027	1	108234	2030											
40200028	1	108244	2031											
40200029	1	108245	2032											
40200030	1	108300	2033											
40200031	1	108301	2034											
40200032	1	108302	2035											
40200033	1	108303	2036											
40200034	1	108339	2037											
40200035	1	108340	2038											
40200036	1	108341	2039											
40200037	1	108354	2040											
40200038	1	108364	2041											
40200039	1	108365	2042											
40200040	1	108372	2043											
40200041	1	108373	2044											
40200042	1	108380	2045											
40200043	1	108387	2046											
40200044	1	108388	2047											
40200045	1	108389	2048											
40200046	1	108390	2049											
40200047	1	108436	2050											
40200048	1	108437	2051											
40200049	1	108438	2052											
40200050	1	108466	2053											
40200051	1	108467	2054											
40200052	1	108468	2055											
40200053	1	108473	2056											
40200054	1	108474	2057											
40200055	1	108478	2058											
40200056	1	108479	2059											
40210001	1	108003	2501	渔人吐司										
40210002	1	108006	2502	提瓦特煎蛋										
40210003	1	108009	2503	烤肉排										
40210004	1	108013	2504	野菇鸡肉串										
40210005	1	108017	2505	火火肉酱面										
40210006	1	108021	2506	萝卜时蔬汤										
40210007	1	108024	2507	庄园烤松饼										
40210008	1	108027	2508	炸萝卜丸子										
40210009	1	108030	2509	满足沙拉										
40210010	1	108033	2510	甜甜花酿鸡										
40210011	1	108036	2511	北地烟熏鸡										
40210012	1	108039	2512	白汁时蔬烩肉										
40210013	1	108043	2513	烤蘑菇披萨										
40210014	1	108047	2514	蒙德土豆饼										
40210015	1	108051	2515	嘟嘟莲海鲜羹										
40210016	1	108054	2516	黄油松茸										
40210017	1	108057	2517	「堆高高」										
40210018	1	108061	2518	冷肉拼盘										
40210019	1	108064	2519	蜜酱胡萝卜煎肉										
40210020	1	108067	2520	蟹黄火腿焗时蔬										
40210021	1	108070	2521	翡玉什锦袋										
40210022	1	108073	2522	中原杂碎	调味后烤熟的肉料理。虽然原料主要取自动物内脏及边角料，但经过一番调味和加工，完全掩盖了原本的肉腥味。很多人吃了一辈子才知道原来菜名中的杂碎不是在骂某个叫中原的人。									
40210023	1	108076	2523	水煮黑背鲈										
40210024	1	108079	2524	松鼠鱼										
40210025	1	108082	2525	杏仁豆腐										
40210026	1	108085	2526	香嫩椒椒鸡										
40210027	1	108088	2527	珍珠翡翠白玉汤										
40210028	1	108091	2528	松茸酿肉卷										
40210029	1	108094	2529	摩拉肉										
40210030	1	108097	2530	蒙德烤鱼										
40210031	1	108100	2531	爆炒肉片										
40210032	1	108103	2532	黄金蟹										
40210033	1	108106	2533	水晶虾										
40210034	1	108109	2534	烤吃虎鱼	急火烤制的鱼串。将码头打捞上来的鱼略加腌制后迅速烤熟，香味能吸引街边的猫。而新鲜正是美味的秘诀。\n烤吃虎鱼起初专指烤制后的「螭虎鱼」，后来在口口相传当中成了「烤吃虎鱼」，所指的菜肴原料也不再局限于单一鱼种。事实上，真正的螭虎鱼在很多很多年前就随着它伴生的海兽数量锐减，而濒临绝种了。									
40210035	1	108112	2535	风神杂烩菜										
40210036	1	108121	2536	莲子禽蛋羹										
40210037	1	108124	2537	仙跳墙										
40210038	1	108127	2538	金丝虾球										
40210039	1	108130	2539	轻策农家菜										
40210040	1	108133	2540	来来菜										
40210045	1	108151	2541	苹果酿										
40210068	1	108143	2542	山珍热卤面										
40210046	1	108154	2543	腌笃鲜										
40210047	1	108157	2544	扣三丝										
40210048	1	108160	2545	天枢肉										
40210049	1	108163	2546	莲花酥										
40210050	1	108166	2547	月亮派										
40210051	1	108169	2548	冒险家蛋堡										
40210052	1	108172	2549	北地苹果焖肉										
40210056	1	108203	2550	四方和平										
40210057	1	108206	2551	稠汁蔬菜炖肉										
40210058	1	108209	2552	黄油煎鱼										
40210059	1	108212	2553	绝云锅巴										
40210061	1	108181	2554	明月蛋										
40210064	1	108190	2555	素鲍鱼										
40210065	1	108193	2556	岩港三鲜										
40210069	1	108224	2557	鲜虾脆薯盏										
40210070	1	108227	2558	薄荷果冻										
40210071	1	108230	2559	凉拌薄荷										
40210072	1	108233	2560	兽肉薄荷卷										
40210060	1	108178	2561	蟹黄豆腐										
40210062	1	108184	2562	干锅腊肉										
40210063	1	108187	2563	干炒鱼河										
40210066	1	108196	2565	清炒虾仁										
40210067	1	108199	2566	米窝窝										
40210073	1	108248	2564	鸡豆花										
40210074	1	108251	2567	金枪鱼寿司										
40210075	1	108254	2568	三彩团子										
40210076	1	108257	2569	饭团										
40210077	1	108260	2570	刺身拼盘										
40210078	1	108263	2571	兽骨拉面										
40210079	1	108266	2572	鸟蛋烧										
40210080	1	108269	2573	干烧香鱼										
40210081	1	108272	2574	黄油蟹蟹										
40210082	1	108275	2575	串串三味										
40210083	1	108278	2576	味噌汤										
40210084	1	108281	2577	渡来禽肉										
40210085	1	108284	2578	绯樱饼										
40210086	1	108287	2579	绀田煮										
40210087	1	108290	2580	市井杂煮										
40210088	1	108293	2581	什锦炒面										
40210089	1	108296	2582	蟹黄壳壳烧										
40210090	1	108299	2583	绯樱天妇罗										
40210096	1	108320	2584	活力喵饭										
40210097	1	108323	2585	甜虾寿司										
40210098	1	108326	2586	鸟蛋寿司										
40210099	1	108329	2587	蛋包饭										
40210100	1	108332	2588	日落鲷鱼烧										
40210101	1	108335	2589	多多烧										
40210102	1	108338	2590	蒲烧鳗肉										
40210103	1	108344	2591	鲜鱼炖萝卜										
40210104	1	108347	2592	若竹煮										
40210105	1	108350	2593	树莓水馒头										
40210106	1	108353	2594	荞麦面										
40210108	1	108357	2595	鳗肉茶泡饭										
40210109	1	108360	2596	五宝腌菜										
40210110	1	108363	2597	绯樱虾仙贝										
40210111	1	108368	2598	丰年有余										
40210112	1	108371	2599	龙须面										
40210113	1	108376	2600	山家烧										
40210114	1	108379	2601	乌冬面										
40210115	1	108383	2602	炸肉排三明治										
40210116	1	108386	2603	紫苑云霓										
40210117	1	108393	2604	黄油鸡										
40210118	1	108396	2605	烤肉卷										
40210119	1	108399	2606	雨林沙拉										
40210120	1	108402	2607	马萨拉芝士球										
40210121	1	108405	2608	杂菇荟萃										
40210122	1	108408	2609	口袋饼										
40210123	1	108411	2610	绿汁脆球										
40210124	1	108414	2611	薄荷豆汤										
40210125	1	108417	2612	兽米香香										
40210126	1	108420	2613	米圆塔										
40210127	1	108423	2614	兰巴德鱼卷										
40210128	1	108426	2615	咖喱虾										
40210129	1	108429	2616	唐杜尔烤鸡										
40210130	1	108432	2617	土豆船										
40210131	1	108435	2618	奶酱鲜鱼										
40210132	1	108450	2619	椰炭饼										
40210133	1	108453	2620	千层酥酥										
40210134	1	108456	2621	枣椰蜜糖										
40210135	1	108459	2622	帕蒂沙兰布丁										
40210136	1	108462	2623	阿如拌饭										
40210137	1	108465	2624	假日果酿										
40210139	1	108472	2625	蔷薇奶糊										
40210140	1	108477	2626	萨巴桑炸角										
40210092	1	108308	3001	米饭布丁				1						
40210093	1	108311	3002	红烩兽肉				1						
40210094	1	108314	3003	文心豆腐				1						
40210095	1	108317	3004	辣肉窝窝头				1						
40260001	1	108237	3005	大黄金吮指鸡				1						
40260002	1	108240	3006	脆脆鸡腿堡				1						
40260003	1	108243	3007	香浓土豆泥				1						
40260004	1	108441	3008	肉肉烤蘑菇披萨				1						
40260005	1	108444	3009	日落莓莓茶				1						
40260006	1	108447	3010	奶香菌菇脆塔				1						
40210041	1	108147	3101		质地透亮，无色无杂质的一小瓶液体。看起来与清泉水无异的这一瓶，真的值得你寄予厚望吗？也有当地传说认为，清泉镇后山的泉水中寄宿着某种「存在」。若当真如此，这瓶水中或许含有什么奥妙也说不定…？									
40210042	1	108148	3102											
40210043	1	108149	3103											
40210044	1	108150	3104											
40210091	1	108304	3105					1						
40210107	1	108305	3106					1						
40210138	1	108469	3107					1						
40220001	1	100017	3201											
40220002	1	100018	3202											
40220003	1	100075	3203		带有咸味的调味剂。只要在料理中准确把握「适量」的程度，就能让菜品产生质的提升。据说曾经有人在世时，留下过这样的训诫：「子等当如岩中盐」。									
40220004	1	100076	3204											
40220005	1	100077	3205											
40220006	1	100078	3206											
40220007	1	100079	3207											
40220008	1	100080	3208											
40220009	1	100088	3209											
40220010	1	100089	3210											
40220011	1	100092	3211											
40220012	1	100093	3212											
40220013	1	100096	3213											
40230001	1	110001	3301		由小麦磨成的粉末。无论做成怎样的主食，都能给食客的胃带来片刻充实。									
40230002	1	110002	3302		将牛奶快速搅拌后提制的奶制品。是制作美味糕点时必备的材料之一。									
40230003	1	110003	3303		经过熏制的禽肉。紧实的肉质带来别样的味觉体验。									
40230004	1	110004	3304		从牛奶中分离提制的乳脂肪。适当添加，能让哪怕平凡的原料，也散发出甜蜜浓厚的香气。									
40230005	1	110005	3305		经过熏制的腿部兽肉。薄薄的一片就能带来满嘴的芳香。									
40230006	1	110006	3306		提炼自甜甜花的调味剂。它的甜味仿佛有着与人共鸣的力量，能够驱散内心的阴霾。									
40230007	1	110008	3307		由水果和糖熬制而成的凝胶物质。只要少许就能轻易唤醒疲惫的味蕾。									
40230008	1	110009	3308		由牛奶浓缩发酵制成的奶制品。提供热量的同时，赋予了烹饪无限可能性。									
40230009	1	110010	3309		经过熏制的肋条兽肉。层次丰富、肥而不腻正是它广受欢迎的原因。									
40230010	1	110011	3310		灌入肠衣后制成的条状兽肉。便于储存的特性，极大地满足了肉食爱好者的日常需要。									
40230013	1	100074	3313											
40230014	1	110014	3314											
40240001	1	100061	3401		兽类的新鲜肉块。经过适当处理可以制成让人元气满满的美食。\n提瓦特大陆上奔行着各种各样的野兽，其中有些会成为人们的营养来源。据说在遥远的过去，曾经存在能够供养一个城邦一年营养的巨大野兽。									
40240002	1	100064	3402		禽类的新鲜肉块。经过适当处理可以制成让人精神一振的佳肴。\n注定属于天空的禽鸟与大地的走兽不同，它们一生中的多数时间都在翱翔。而长时间的运动让禽肉形成了不同于兽肉的口感。									
40240003	1	100084	3403		鱼类的新鲜肉块。经过适当处理可以制成让人回味无穷的菜式。漫游在河流、湖泊、海洋中的生命精华。									
40240004	1	100073	3404											
40240005	1	100094	3405		稀有的鲜美肉类。据记载在数百年前已经灭绝的走豕品种，因为龙脊雪山的极端天候而被保存了下来。对于提瓦特的老饕们而言，是福音般神圣的极佳食材。									
40240006	1	100095	3406		陆鳗鳗的新鲜肉块。经过适当调理，可以做成极其鲜美的佳肴。									
40250001	1	111006	3501		让人忍耐高热的奇特药剂。原理并不是让人身体变得凉爽，而是让人习惯高温，以此降低置身其中的不适感。									
40250002	1	111007	3502		让人忍耐潮湿环境的药物。这种药剂据信能够防潮，对于保存物件十分实用。内服亦可，对风湿病患者而言是宝物。									
40250003	1	111008	3503		让人忍耐寒冷的奇异药水。喝下去时，舌尖会有种冻僵的感觉。等这种感觉扩散到全身以后，就不再会感到寒冷了。									
40250004	1	111009	3504		让人抵抗强风的神秘药剂。对于时常需要风餐露宿的冒险家来说，是非常实用的药剂。据说能防止风寒。									
40250005	1	111010	3505		可以防止触电的药水。喝下去感觉酥酥麻麻的奇特药物，据说绝缘的原理其实是让人体内充满相反的雷电，以此抵消电击的伤害。									
40250006	1	111011	3506		让人不受沙尘侵扰的药物。喝下去时嘴里会有磁石的奇特味道。对于风尘仆仆的旅人，可以保持浑身清洁。									
40250007	1	111012	3507											
40250008	1	111013	3508		让人更亲和火元素的油膏。以孕育火元素的物质制成，涂抹后能更有效地汇聚火元素。也会让人变得热情。									
40250009	1	111014	3509		让人更亲和水元素的油膏。湿湿滑滑的外用药，能让人更有效地引导水元素。有种微妙的气味。									
40250010	1	111015	3510		让人更亲和冰元素的油膏。涂抹后会感到冰冰凉凉，不容易出汗。提高冰元素魔导能力之余，还能让人浑身凉爽，头脑冷静。									
40250011	1	111016	3511		让人更亲和风元素的油膏。有着清香的气味。据说，如果使用这种药，在原野上旅行时，从来都是顺风而行。									
40250012	1	111017	3512		让人更亲和雷元素的油膏。触碰时感觉酥酥麻麻，涂抹以后会让人更容易导出雷元素。但据说有可能会引起电火花，可能会影响发型。									
40250013	1	111018	3513		让人更亲和岩元素的油膏。其中有着细小颗粒的药，涂抹时能感受到其中含有的岩元素。据说对跌打损伤也有好处。									
40250014	1	111019	3514											
40300001	2	113003	4001		经历了千年之风的龙之羽。追求自由的本心使它几乎唤起轻风，好逃离现今的桎梏；但它的旧主对你的赏识，使它留在了你的掌心里。									
40300002	2	113004	4002		因为过去撕裂了伟大魔龙「杜林」的血肉的缘故，过去蕴含着骇人的猛毒的龙爪。但经过你的净化与治愈，其中躁动的毒性终于平息。									
40300003	2	113005	4003		东风之主的身躯是优美而通透的，信风与龙卷都愿为它效力。只要乘风而行，风就是它的同伴、它的歌声与它的自由。而它的敌人，就是一千种名字各异的风的敌人。									
