ServerBuffID	ServerBuff类型	Ability名称	Modifier名称	组ID	持续时间	自身叠加类型	是否存档	LeaveScene是否下掉Buff
190302	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv3_2	12	300	0	1	
190303	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv3_3	12	300	0	1	
190304	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv3_4	12	300	0	1	
150301	2	Def_Team	SERVER_Shield_Team_Modifier_lv3_1	12	300	0	1	
150302	2	Def_Team	SERVER_Shield_Team_Modifier_lv3_2	12	300	0	1	
150303	2	Def_Team	SERVER_Shield_Team_Modifier_lv3_3	12	300	0	1	
150304	2	Def_Team	SERVER_Shield_Team_Modifier_lv3_4	12	300	0	1	
150401	2	Def_Team	SERVER_Shield_Team_Modifier_lv4_1	12	300	0	1	
150402	2	Def_Team	SERVER_Shield_Team_Modifier_lv4_2	12	300	0	1	
150403	2	Def_Team	SERVER_Shield_Team_Modifier_lv4_3	12	300	0	1	
150404	2	Def_Team	SERVER_Shield_Team_Modifier_lv4_4	12	300	0	1	
140201	2	Critical_Team	SERVER_Critical_Team_Modifier_lv2_1	11	300	0	1	
140202	2	Critical_Team	SERVER_Critical_Team_Modifier_lv2_2	11	300	0	1	
140203	2	Critical_Team	SERVER_Critical_Team_Modifier_lv2_3	11	300	0	1	
140204	2	Critical_Team	SERVER_Critical_Team_Modifier_lv2_4	11	300	0	1	
140301	2	Critical_Team	SERVER_Critical_Team_Modifier_lv3_1	11	300	0	1	
140302	2	Critical_Team	SERVER_Critical_Team_Modifier_lv3_2	11	300	0	1	
140303	2	Critical_Team	SERVER_Critical_Team_Modifier_lv3_3	11	300	0	1	
140304	2	Critical_Team	SERVER_Critical_Team_Modifier_lv3_4	11	300	0	1	
160301	2	Critical_Team	SERVER_Physical_Team_Modifier_lv3_1	11	300	0	1	
160302	2	Critical_Team	SERVER_Physical_Team_Modifier_lv3_2	11	300	0	1	
160303	2	Critical_Team	SERVER_Physical_Team_Modifier_lv3_3	11	300	0	1	
160304	2	Critical_Team	SERVER_Physical_Team_Modifier_lv3_4	11	300	0	1	
160401	2	Critical_Team	SERVER_Physical_Team_Modifier_lv4_1	11	300	0	1	
160402	2	Critical_Team	SERVER_Physical_Team_Modifier_lv4_2	11	300	0	1	
160403	2	Critical_Team	SERVER_Physical_Team_Modifier_lv4_3	11	300	0	1	
160404	2	Critical_Team	SERVER_Physical_Team_Modifier_lv4_4	11	300	0	1	
200101	1	revive_buff	SERVER_revive_buff_Modifier_lv1_1	20	1	0	1	
200102	1	revive_buff	SERVER_revive_buff_Modifier_lv1_2	20	1	0	1	
200103	1	revive_buff	SERVER_revive_buff_Modifier_lv1_3	20	1	0	1	
200104	1	revive_buff	SERVER_revive_buff_Modifier_lv1_4	20	1	0	1	
200201	1	revive_buff	SERVER_revive_buff_Modifier_lv2_1	20	1	0	1	
200202	1	revive_buff	SERVER_revive_buff_Modifier_lv2_2	20	1	0	1	
200203	1	revive_buff	SERVER_revive_buff_Modifier_lv2_3	20	1	0	1	
200204	1	revive_buff	SERVER_revive_buff_Modifier_lv2_4	20	1	0	1	
200301	1	revive_buff	SERVER_revive_buff_Modifier_lv3_1	20	1	0	1	
200302	1	revive_buff	SERVER_revive_buff_Modifier_lv3_2	20	1	0	1	
200303	1	revive_buff	SERVER_revive_buff_Modifier_lv3_3	20	1	0	1	
200304	1	revive_buff	SERVER_revive_buff_Modifier_lv3_4	20	1	0	1	
210201	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv2_1	21	900	0	1	
210202	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv2_2	21	900	0	1	
210203	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv2_3	21	900	0	1	
210204	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv2_4	21	1500	0	1	
210301	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv3_1	21	900	0	1	
210302	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv3_2	21	900	0	1	
210303	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv3_3	21	900	0	1	
210304	2	Stamina_Fly_Team	SERVER_Stamina_Fly_Team_Modifier_lv3_4	21	1500	0	1	
220201	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv2_1	21	900	0	1	
220202	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv2_2	21	900	0	1	
220203	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv2_3	21	900	0	1	
220204	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv2_4	21	1500	0	1	
220301	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv3_1	21	900	0	1	
220302	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv3_2	21	900	0	1	
220303	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv3_3	21	900	0	1	
220304	2	Stamina_Climb_Team	SERVER_Stamina_Climb_Team_Modifier_lv3_4	21	1500	0	1	
230201	2	Stamina_Sprint_Team	SERVER_Stamina_Sprint_Team_Modifier_lv2_1	21	900	0	1	
230202	2	Stamina_Sprint_Team	SERVER_Stamina_Sprint_Team_Modifier_lv2_2	21	900	0	1	
230203	2	Stamina_Sprint_Team	SERVER_Stamina_Sprint_Team_Modifier_lv2_3	21	900	0	1	
230204	2	Stamina_Sprint_Team	SERVER_Stamina_Sprint_Team_Modifier_lv2_4	21	1500	0	1	
240201	2	Stamina_Swim_Team	SERVER_Stamina_Swim_Team_Modifier_lv2_1	21	900	0	1	
240202	2	Stamina_Swim_Team	SERVER_Stamina_Swim_Team_Modifier_lv2_2	21	900	0	1	
240203	2	Stamina_Swim_Team	SERVER_Stamina_Swim_Team_Modifier_lv2_3	21	900	0	1	
240204	2	Stamina_Swim_Team	SERVER_Stamina_Swim_Team_Modifier_lv2_4	21	1500	0	1	
170201	2	MoveSpeed_lv2_1	SERVER_MoveSpeed_Modifier_lv2_1	21	60	0	1	
130101	2	Element_Def_Team	SERVER_Element_Def_Fire	13	300	0	1	
130102	2	Element_Def_Team	SERVER_Element_Def_Water	13	300	0	1	
130103	2	Element_Def_Team	SERVER_Element_Def_Ice	13	300	0	1	
130104	2	Element_Def_Team	SERVER_Element_Def_Wind	13	300	0	1	
130105	2	Element_Def_Team	SERVER_Element_Def_Elec	13	300	0	1	
130106	2	Element_Def_Team	SERVER_Element_Def_Rock	13	300	0	1	
130107	2	Element_Def_Team	SERVER_Element_Def_Grass	13	300	0	1	
135101	2	Element_Atk_Team	SERVER_Element_Atk_Fire	13	300	0	1	
135102	2	Element_Atk_Team	SERVER_Element_Atk_Water	13	300	0	1	
135103	2	Element_Atk_Team	SERVER_Element_Atk_Ice	13	300	0	1	
135104	2	Element_Atk_Team	SERVER_Element_Atk_Wind	13	300	0	1	
135105	2	Element_Atk_Team	SERVER_Element_Atk_Elec	13	300	0	1	
135106	2	Element_Atk_Team	SERVER_Element_Atk_Rock	13	300	0	1	
135107	2	Element_Atk_Team	SERVER_Element_Atk_Grass	13	300	0	1	
135108	2	Element_Atk_Team	SERVER_Element_Atk_Mastery_1	13	300	0	1	
135109	2	Element_Atk_Team	SERVER_Element_Atk_Mastery_2	13	300	0	1	
130121	2	Def_Element_lv2_1	SERVER_Def_Element_Modifier_lv1_1	13	300	0	1	
130122	2	Def_Element_lv2_1	SERVER_Def_Element_Modifier_lv1_2	13	300	0	1	
130123	2	Def_Element_lv2_1	SERVER_Def_Element_Modifier_lv1_3	13	300	0	1	
130124	2	Def_Element_lv2_1	SERVER_Def_Element_Modifier_lv2_1	13	300	0	1	
400101	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv1_99	10	20	0	1	
300001	2	ClimateAbility_Cold	SERVER_ClimateAbility_Cold_Lv1	30	-1	0	1	
300002	2	ClimateAbility_Cold	SERVER_ClimateAbility_Cold_Lv2	31	-1	0	1	
300003	2	ClimateAbility_Cold	SERVER_ClimateAbility_Cold_Area	32	-1	0	1	
300004	2	ClimateAbility_ColdMonster	SERVER_ClimateAbility_ColdMonster_Lv2	31	-1	0	1	
300005	2	ClimateAbility_ColdMonster	SERVER_ClimateAbility_ColdMonster_Area	32	-1	0	1	
300006	2	ClimateAbility_TatariRegion	SERVER_ClimateAbility_TatariRegion_Area	32	-1	0	1	
300007	2	ClimateAbility_TatariRegion	SERVER_ClimateAbility_TatariRegion_Lv2	31	-1	0	1	
300008	2	ClimateAbility_TatariRegion	SERVER_ClimateAbility_TatariRegion_Lv1	30	-1	0	1	
300009	2	ClimateAbility_HotMonster	SERVER_ClimateAbility_HotMonster_Lv1	30	-1	0	1	
300010	2	ClimateAbility_HotMonster	SERVER_ClimateAbility_HotMonster_Lv2	31	-1	0	1	
300011	2	ClimateAbility_HotMonster	SERVER_ClimateAbility_HotMonster_Area	32	-1	0	1	
300012	2	ClimateAbility_SeiraiStorm	SERVER_ClimateAbility_SeiraiStorm_Area	30	-1	0	1	
300013	2	ClimateAbility_SeiraiStorm	SERVER_ClimateAbility_SeiraiStorm_Lv1	31	-1	0	1	
300014	2	ClimateAbility_SeiraiStorm	SERVER_ClimateAbility_SeiraiStorm_Lv2	32	-1	0	1	
300015	2	ClimateAbility_ColdMonster	SERVER_ClimateAbility_ColdMonster_Lv1	30	-1	0	1	
300017	2	ClimateAbility_TsurumiMist	SERVER_ClimateAbility_TsurumiMist_Area	32	-1	0	1	
139901	2	Elec_Team	SERVER_Elec_Team_Modifier_lv2_1	13	300	0	1	
139902	2	Elec_Team	SERVER_Elec_Team_Modifier_lv2_2	13	300	0	1	
139903	2	Elec_Team	SERVER_Elec_Team_Modifier_lv2_3	13	300	0	1	
139904	2	Fire_Team	SERVER_Fire_Team_Modifier_lv2_1	13	300	0	1	
139905	2	Fire_Team	SERVER_Fire_Team_Modifier_lv2_2	13	300	0	1	
139906	2	Fire_Team	SERVER_Fire_Team_Modifier_lv2_3	13	300	0	1	
139907	2	Water_Team	SERVER_Water_Team_Modifier_lv2_1	13	300	0	1	
139908	2	Water_Team	SERVER_Water_Team_Modifier_lv2_2	13	300	0	1	
139909	2	Water_Team	SERVER_Water_Team_Modifier_lv2_3	13	300	0	1	
500101	2	Dulins_Blood_Buff	SERVER_Dulins_Blood_Smash_Ice_Buff	51	25	0	1	
500102	2	Dulins_Blood_Buff	SERVER_Dulins_Blood_Smash_Ice_Buff_Event	51	25	0	1	
500201	2	Anti_Cold_Food_Buff	SERVER_Anti_Cold_Buff_lv2_1	52	900	0	1	
500202	2	Anti_Cold_Food_Buff	SERVER_Anti_Cold_Buff_lv2_2	52	900	0	1	
500203	2	Anti_Cold_Food_Buff	SERVER_Anti_Cold_Buff_lv2_3	52	900	0	1	
500204	2	Anti_Cold_Food_Buff	SERVER_Anti_Cold_Buff_lv2_4	52	1500	0	1	
500301	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv1	53	15.5	0		1
500302	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv2	53	15.5	0		1
500303	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv3	53	20.5	0		1
500304	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv4	53	20.5	0		1
500305	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv5	53	20.5	0		1
500306	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv6	53	20.5	0		1
500307	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv7	53	20.5	0		1
500308	2	Electric_Fairy_Skill_Team_Part_1	SERVER_Electric_Fairy_Skill_Lv8	53	25.5	0		1
500309	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv9	53	25.5	0		1
500310	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv10	53	25.5	0		1
500311	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv11	53	25.5	0		1
500312	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv12	53	25.5	0		1
500313	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv13	53	25.5	0		1
500314	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv14	53	30.5	0		1
500315	2	Electric_Fairy_Skill_Team_Part_2	SERVER_Electric_Fairy_Skill_Lv15	53	30.5	0		1
500316	2	SceneObj_MichiaeMatsuri_SBuff_Energy	SERVER_revive_crystalenergy		1	2		
600101	2	SceneObj_Gear_ElemForce_SuccessBuff	SERVER_SuccessBuff_Attack	61	300	0	1	
600201	2	Vehicle_Skiff_Normal_ServerBuff_Handler	SERVER_Skiff_Normal_AvatarStatue_Handler		-1	0	1	
600202	2	Vehicle_Skiff_Normal_ServerBuff_Handler	SERVER_Skiff_Normal_HealFromItem_Handler		3	0	1	
701001	2	Atk_Dungeon	SERVER_Atk_Dungeon_Ratio		-1	2		
701002	2	Atk_Dungeon	SERVER_Critical_Dungeon		-1	2		
701003	2	Atk_Dungeon	SERVER_PhyAdd_Dungeon_Delta		-1	2		
701004	2	Atk_Dungeon	SERVER_ElemMastery_Dungeon_Delta		-1	2		
701005	2	Atk_Dungeon	SERVER_ChargeEfficiency_Dungeon_Delta		-1	2		
701006	2	Def_Dungeon	SERVER_Def_Dungeon_Ratio		-1	2		
701007	2	Def_Dungeon	SERVER_MaxHP_Dungeon_Ratio		-1	2		
701008	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Fire		-1	2		
701009	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Water		-1	2		
701010	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Ice		-1	2		
701011	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Wind		-1	2		
701012	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Elec		-1	2		
701013	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Rock		-1	2		
701014	2	Def_Dungeon	SERVER_Element_Dungeon_Def_Grass		-1	2		
701015	2	Def_Dungeon	SERVER_Element_Dungeon_Def_All		-1	2		
701016	2	Def_Dungeon	SERVER_PhySub_Dungeon_Delta		-1	2		
701017	2	Stamina_Sprint_Dungeon	SERVER_Stamina_Sprint_Dungeon_1		-1	2		
701018	2	MoveSpeed_Dungeon	SERVER_MoveSpeed_Dungeon_1		-1	2		
701019	2	ReHP_Ins&Con_Dungeon	SERVER_ReHP_Ins&Con_Dungeon_1		-1	2		
701020	2	Atk_Dungeon	SERVER_Element_Art_Dungeon_Ratio		-1	2		
701021	2	Atk_Dungeon	SERVER_NormalAttack_Dungeon_Ratio		-1	2		
701022	2	Support_Dungeon	SERVER_Heal_Dungeon_Ratio		-1	2		
701023	2	Atk_Dungeon	SERVER_Elemental_Burst_Dungeon_Ratio		-1	2		
701024	2	Atk_Dungeon	SERVER_Sprint_Attack_Ratio		-1	2		
701025	2	Atk_Dungeon	SERVER_Atk_HighHP_Dungeon		-1	2		
701026	2	Atk_Dungeon	SERVER_Atk_LowHP_Dungeon		-1	2		
701027	2	Atk_HitHeadBox_Dungeon	SERVER_Atk_HitBox_Dungeon		-1	2		
701028	2	Atk_Dungeon	SERVER_AtkUp_DefDown_Dungeon		-1	2		
701029	2	Def_Dungeon	SERVER_Def_HighHP_Dungeon		-1	2		
701030	2	Def_Dungeon	SERVER_Def_LowHP_Dungeon		-1	2		
701031	2	Support_Dungeon	SERVER_KillHealHp_Dungeon_Ratio		-1	2		
701032	2	Support_Dungeon	SERVER_AttackSpeed_Dungeon		-1	2		
701033	2	Support_Dungeon	SERVER_UltimateSkillHealHp_Dungeon		-1	2		
701034	2	Support_Dungeon	SERVER_ResetCDWhenKill_Dungeon		-1	2		
701035	2	Support_Dungeon	SERVER_Stamina_ExtraAttack_Dungeon		-1	2		
701036	2	Support_Dungeon	SERVER_SkillCD_Dungeon_Ratio		-1	2		
