追加属性ID,追加属性库ID,组别,属性类别,追加属性值,随机权重,升级权重
101241,101,24,28,4.66,100,1000
101242,101,24,28,5.83,100,1000
201241,201,24,28,6.53,100,1000
201242,201,24,28,7.93,100,1000
201243,201,24,28,9.33,100,1000
301241,301,24,28,9.79,100,1000
301242,301,24,28,11.19,100,1000
301243,301,24,28,12.59,100,1000
301244,301,24,28,13.99,100,1000
401241,401,24,28,13.06,100,1000
401242,401,24,28,14.92,100,1000
401243,401,24,28,16.79,100,1000
401244,401,24,28,18.65,100,1000
501241,501,24,28,16.32,100,1000
501242,501,24,28,18.65,100,1000
501243,501,24,28,20.98,100,1000
501244,501,24,28,23.31,100,1000
101201,101,20,20,0.0078,75,1000
101202,101,20,20,0.0097,75,1000
201201,201,20,20,0.0109,75,1000
201202,201,20,20,0.0132,75,1000
201203,201,20,20,0.0155,75,1000
301201,301,20,20,0.0163,75,1000
301202,301,20,20,0.0186,75,1000
301203,301,20,20,0.021,75,1000
301204,301,20,20,0.0233,75,1000
401201,401,20,20,0.0218,75,1000
401202,401,20,20,0.0249,75,1000
401203,401,20,20,0.028,75,1000
401204,401,20,20,0.0311,75,1000
501201,501,20,20,0.0272,75,1000
501202,501,20,20,0.0311,75,1000
501203,501,20,20,0.035,75,1000
501204,501,20,20,0.0389,75,1000
101221,101,22,22,0.0155,75,1000
101222,101,22,22,0.0194,75,1000
201221,201,22,22,0.0218,75,1000
201222,201,22,22,0.0264,75,1000
201223,201,22,22,0.0311,75,1000
301221,301,22,22,0.0326,75,1000
301222,301,22,22,0.0373,75,1000
301223,301,22,22,0.042,75,1000
301224,301,22,22,0.0466,75,1000
401221,401,22,22,0.0435,75,1000
401222,401,22,22,0.0497,75,1000
401223,401,22,22,0.056,75,1000
401224,401,22,22,0.0622,75,1000
501221,501,22,22,0.0544,75,1000
501222,501,22,22,0.0622,75,1000
501223,501,22,22,0.0699,75,1000
501224,501,22,22,0.0777,75,1000
999001,999,22,22,3.5,1000,1000
999002,999,20,20,1,1000,1000
999003,999,5,5,233333,1000,1000
999004,999,8,8,233333,1000,1000
998001,998,3,3,0.1457,1,1000
998002,998,6,6,0.1457,100000,1000
998003,998,9,9,0.1821,1,1000
998004,998,20,20,0.0971,75000,1000
998005,998,23,23,0.1619,1,1000
998006,998,25,28,58.28,1,1000
998007,998,22,22,0.1943,75000,1000
995001,995,3,3,0.1457,100000,1000
995002,995,6,6,0.1457,1,1000
995003,995,9,9,0.1821,100000,1000
995004,995,20,20,0.0971,1,1000
995005,995,23,23,0.1619,100000,1000
995006,995,25,28,58.28,100000,1000
995007,995,22,22,0.1943,1,1000
997001,997,3,3,0.0932,1,1000
997002,997,6,6,0.0932,100000,1000
997003,997,9,9,0.1166,1,1000
997004,997,20,20,0.0622,75000,1000
997005,997,23,23,0.1036,1,1000
997006,997,25,28,37.3,1,1000
997007,997,22,22,0.1243,75000,1000
996001,996,3,3,0.0932,100000,1000
996002,996,6,6,0.0932,1,1000
996003,996,9,9,0.1166,100000,1000
996004,996,20,20,0.0622,1,1000
996005,996,23,23,0.1036,100000,1000
996006,996,25,28,37.3,100000,1000
996007,996,22,22,0.1243,1,1000
994001,994,20,20,0.8,1000,1000
993001,993,22,22,0.8,1000,1000
992001,992,81,81,0.8,1000,1000
991001,991,26,26,0.8,1000,1000
990001,990,27,27,0.8,1000,1000
989001,989,80,80,0.5,1000,1000
988001,988,11,11,0.3,1000,1000
987001,987,40,40,0.8,1000,1000
986001,986,41,41,0.8,1000,1000
985001,985,42,42,0.8,1000,1000
984001,984,43,43,0.8,1000,1000
983001,983,44,44,0.8,1000,1000
982001,982,45,45,0.8,1000,1000
981001,981,46,46,0.8,1000,1000
980001,980,30,30,0.8,1000,1000
979001,979,50,50,0.8,1000,1000
978001,978,51,51,0.8,1000,1000
977001,977,52,52,0.8,1000,1000
976001,976,53,53,0.8,1000,1000
975001,975,54,54,0.8,1000,1000
974001,974,55,55,0.8,1000,1000
973001,973,56,56,0.8,1000,1000
972001,972,29,29,0.8,1000,1000
971001,971,24,24,0.8,1000,1000
970001,970,29,25,0.8,1000,1000
969001,969,8,8,-500,1000,1000
968001,968,25,28,-300,1000,1000
951001,951,3,3,0.1457,100000,1000
951002,951,6,6,0.1457,100000,1000
951003,951,9,9,0.1821,1,1000
951004,951,20,20,0.0971,75000,1000
951005,951,23,23,0.1619,1,1000
951006,951,25,28,58.28,1,1000
951007,951,22,22,0.1943,75000,1000
952001,952,3,3,0.1457,1,1000
952002,952,6,6,0.1457,100000,1000
952003,952,9,9,0.1821,100000,1000
952004,952,20,20,0.0971,75000,1000
952005,952,23,23,0.1619,1,1000
952006,952,25,28,58.28,1,1000
952007,952,22,22,0.1943,75000,1000
953001,953,3,3,0.1457,1,1000
953002,953,6,6,0.1457,100000,1000
953003,953,9,9,0.1821,1,1000
953004,953,20,20,0.0971,75000,1000
953005,953,23,23,0.1619,1,1000
953006,953,25,28,58.28,100000,1000
953007,953,22,22,0.1943,75000,1000
956001,956,3,3,0.1457,100000,1000
956002,956,6,6,0.1457,1,1000
956003,956,9,9,0.1821,100000,1000
956004,956,20,20,0.0971,1,1000
956005,956,23,23,0.1619,100000,1000
956006,956,25,28,58.28,100000,1000
956007,956,22,22,0.1943,1,1000
941001,941,3,3,0.0932,100000,1000
941002,941,6,6,0.0932,100000,1000
941003,941,9,9,0.1166,1,1000
941004,941,20,20,0.0622,75000,1000
941005,941,23,23,0.1036,1,1000
941006,941,25,28,37.3,1,1000
941007,941,22,22,0.1243,75000,1000
942001,942,3,3,0.0932,1,1000
942002,942,6,6,0.0932,100000,1000
942003,942,9,9,0.1166,100000,1000
942004,942,20,20,0.0622,75000,1000
942005,942,23,23,0.1036,1,1000
942006,942,25,28,37.3,1,1000
942007,942,22,22,0.1243,75000,1000
943001,943,3,3,0.0932,1,1000
943002,943,6,6,0.0932,100000,1000
943003,943,9,9,0.1166,1,1000
943004,943,20,20,0.0622,75000,1000
943005,943,23,23,0.1036,1,1000
943006,943,25,28,37.3,100000,1000
943007,943,22,22,0.1243,75000,1000
946001,946,3,3,0.0932,100000,1000
946002,946,6,6,0.0932,1,1000
946003,946,9,9,0.1166,100000,1000
946004,946,20,20,0.0622,1,1000
946005,946,23,23,0.1036,100000,1000
946006,946,25,28,37.3,100000,1000
946007,946,22,22,0.1243,1,1000
961001,961,3,3,0.097138,1000000,1000
961002,961,6,6,0.1457,1000000,1000
961003,961,9,9,0.121406,1000000,1000
961004,961,20,20,0.0971,750000,1000
961005,961,23,23,0.1619,1,1000
961006,961,25,28,38.855276,1,1000
961007,961,22,22,0.1943,1,1000
961008,961,2,2,746.88,2,1000
961009,961,5,5,48.63,2,1000
961010,961,8,8,57.87,2,1000
962001,962,3,3,0.097138,1000000,1000
962002,962,6,6,0.1457,1000000,1000
962003,962,9,9,0.121406,1000000,1000
962004,962,20,20,0.0971,1,1000
962005,962,23,23,0.1619,1,1000
962006,962,25,28,38.855276,1,1000
962007,962,22,22,0.1943,750000,1000
962008,962,2,2,746.88,2,1000
962009,962,5,5,48.63,2,1000
962010,962,8,8,57.87,2,1000
963001,963,3,3,0.097138,1000,1000
963002,963,6,6,0.1457,1,1000
963003,963,9,9,0.121406,1,1000
963004,963,20,20,0.0971,750000,1000
963005,963,23,23,0.1619,1000000,1000
963006,963,25,28,38.855276,1000000,1000
963007,963,22,22,0.1943,750000,1000
963008,963,2,2,746.88,2,1000
963009,963,5,5,48.63,2,1000
963010,963,8,8,57.87,2,1000
964001,964,3,3,0.097138,1,1000
964002,964,6,6,0.1457,1,1000
964003,964,9,9,0.121406,1000,1000
964004,964,20,20,0.0971,750000,1000
964005,964,23,23,0.1619,1000000,1000
964006,964,25,28,38.855276,1000000,1000
964007,964,22,22,0.1943,750000,1000
964008,964,2,2,746.88,2,1000
964009,964,5,5,48.63,2,1000
964010,964,8,8,57.87,2,1000
965001,965,3,3,0.097138,1000000,1000
965002,965,6,6,0.1457,1000,1000
965003,965,9,9,0.121406,1000000,1000
965004,965,20,20,0.0971,1,1000
965005,965,23,23,0.1619,1000000,1000
965006,965,25,28,38.855276,1000000,1000
965007,965,22,22,0.1943,1,1000
965008,965,2,2,746.88,2,1000
965009,965,5,5,48.63,2,1000
965010,965,8,8,57.87,2,1000
