DisplayID	SeriesID	condType	[参数]1类型	[参数]1参数	[参数]2类型	[参数]2参数	[参数]3类型	[参数]3参数	[参数]4类型	[参数]4参数
11301003	11301	1	1	11301104	3	150000				
11301004	11301	1	1	11301104	3	250000				
11301005	11301	1	1	11301102	3	5				
11301006	11301	1	1	11301102	3	5				
11301007	11301	1	1	11301103	3	3				
11301008	11301	1	1	11301103	3	6				
11301009	11301	1	1	11301105	3	1				
11301010	11301	1	1	11301105	3	3				
11301011	11301	1	3	1	3	1				
11301012	11301	1	1	11301106	3	1				
11301013	11301	1	1	11301108	3	5				
11301014	11301	1	1	11301108	3	15				
11301015	11301	1	1	11301107	3	25				
11301016	11301	1	1	11301109	3	180				
11301017	11301	1	1	11301107	3	35				
11301101	11301	1	3	1	1	11301101				
11301102	11301	1	3	2	1	11301101				
11301103	11301	1	1	11301104	3	150000				
11301104	11301	1	1	11301104	3	250000				
11301105	11301	1	1	11301102	3	5				
11301106	11301	1	1	11301102	3	5				
11301107	11301	1	1	11301103	3	3				
11301108	11301	1	1	11301103	3	6				
11301109	11301	1	1	11301105	3	1				
11301110	11301	1	1	11301105	3	3				
11301111	11301	1	3	1	3	1				
11301112	11301	1	1	11301106	3	1				
11301113	11301	1	1	11301108	3	5				
11301114	11301	1	1	11301108	3	15				
11301115	11301	1	1	11301107	3	25				
11301116	11301	1	1	11301109	3	180				
11301117	11301	1	1	11301107	3	35				
11302001	11302	1	1	11302101	3	2				
11302002	11302	1	1	11302101	3	4				
11302003	11302	1	1	11302103	3	150000				
11302004	11302	1	1	11302103	3	250000				
11302005	11302	1	1	11302104	3	1				
11302006	11302	1	1	11302104	3	3				
11302007	11302	1	1	11302102	3	30				
11302008	11302	1	1	11302102	3	50				
11302009	11302	1	3	1	3	1				
11302010	11302	1	1	11302105	3	1				
11302011	11302	1	1	11302106	3	70				
11302012	11302	1	1	11302106	3	85				
11302013	11302	1	1	11302106	3	100				
11302014	11302	1	1	11302107	3	60				
11302101	11302	1	1	11302101	3	2				
11302102	11302	1	1	11302101	3	4				
11302103	11302	1	1	11302103	3	150000				
11302104	11302	1	1	11302103	3	250000				
11302105	11302	1	1	11302104	3	1				
11302106	11302	1	1	11302104	3	3				
11302107	11302	1	1	11302102	3	30				
11302108	11302	1	1	11302102	3	50				
11302109	11302	1	3	1	3	1				
11302110	11302	1	1	11302105	3	1				
11302111	11302	1	1	11302106	3	70				
11302112	11302	1	1	11302106	3	85				
11302113	11302	1	1	11302106	3	100				
11302114	11302	1	1	11302107	3	60				
11303001	11303	1	1	11303101	3	1				
11303002	11303	1	1	11303102	3	3				
11303003	11303	1	1	11303102	3	5				
11303004	11303	1	1	11303103	3	1				
11303005	11303	1	1	11303103	3	1				
11303006	11303	1	1	11303105	3	150000				
11303007	11303	1	1	11303105	3	250000				
11303008	11303	1	1	11303106	3	1				
11303009	11303	1	1	11303106	3	3				
11303010	11303	1	1	11303104	3	10				
11303011	11303	1	1	11303104	3	20				
11303012	11303	1	3	1	3	1				
11303013	11303	1	1	11303107	3	1				
11303014	11303	1	1	11303108	3	30				
11303015	11303	1	1	11303108	3	40				
11303016	11303	1	1	11303108	3	50				
11303017	11303	1	1	11303108	3	60				
11303018	11303	1	1	11303109	3	180				
11303101	11303	1	1	11303101	3	1				
11303102	11303	1	1	11303102	3	3				
11303103	11303	1	1	11303102	3	5				
11303104	11303	1	1	11303103	3	1				
11303105	11303	1	1	11303103	3	1				
11303106	11303	1	1	11303105	3	150000				
11303107	11303	1	1	11303105	3	250000				
11303108	11303	1	1	11303106	3	1				
11303109	11303	1	1	11303106	3	3				
11303110	11303	1	1	11303104	3	10				
11303111	11303	1	1	11303104	3	20				
11303112	11303	1	3	1	3	1				
11303113	11303	1	1	11303107	3	1				
11303114	11303	1	1	11303108	3	30				
11303115	11303	1	1	11303108	3	40				
11303116	11303	1	1	11303108	3	50				
11303117	11303	1	1	11303108	3	60				
11303118	11303	1	1	11303109	3	180				
11401001	11401	1	1	11401104	3	1				
11401002	11401	1	1	11401107	3	1				
11401003	11401	1	1	11401106	3	5				
11401004	11401	1	1	11401105	3	4				
11402001	11402	1	1	11402104	3	1				
11402002	11402	1	1	11402107	3	1				
11402003	11402	1	1	11402105	3	7				
11402004	11402	1	1	11402106	3	3				
11403001	11403	1	1	11403104	3	1				
11403002	11403	1	1	11403108	3	1				
11403003	11403	1	1	11403107	3	5				
11403004	11403	1	1	11403105	3	6				
11403005	11403	1	1	11403106	3	3				
11404001	11404	1	1	11404104	3	1				
11404002	11404	1	1	11404108	3	1				
11404003	11404	1	1	11404105	3	3				
11404004	11404	1	1	11404106	3	2				
11404005	11404	1	1	11404107	3	5				
10102001	10102	1	3	0	3	1				
10102002	10102	1	3	0	3	1				
10102003	10102	2	4	10102024	4	10102019				
10102004	10102	1	1	10102005	3	1				
10102005	10102	1	1	10102006	3	1				
10102006	10102	1	1	10102007	3	1				
10102007	10102	1	1	10102008	3	1				
10102008	10102	1	3	0	3	1				
10102009	10102	2	4	10102029	4	10102019				
10102010	10102	2	4	10102030	4	10102019				
10102011	10102	1	1	10102012	3	1				
10102012	10102	1	1	10102013	3	1				
10102013	10102	2	4	10102025	4	10102019				
10102014	10102	2	4	10102026	4	10102019				
10102015	10102	2	4	10102031	4	10102009	1	10102021		
10102016	10102	2	4	10102032	4	10102009	1	10102022		
10102017	10102	2	4	10102034	4	10102033				
10102018	10102	1	3	1	3	1				
10102019	10102	1	1	10102026	3	1				
10102020	10102	1	1	10102027	3	1				
10102021	10102	1	1	10102028	3	1				
10102022	10102	1	4	10102050	3	1				
10102023	10102	1	1	10102025	3	1				
10102024	10102	1	1	10102004	3	1				
10102025	10102	1	1	10102019	3	1				
10102026	10102	1	1	10102020	3	1				
10102027	10102	1	1	10102008	3	1				
10102028	10102	1	1	10102009	3	1				
10102029	10102	1	1	10102010	3	1				
10102030	10102	1	1	10102011	3	1				
10102031	10102	1	1	10102021	3	3				
10102032	10102	1	1	10102022	3	3				
10102033	10102	1	3	0	1	10102026				
10102034	10102	1	1	10102023	3	1				
10102035	10102	1	1	10102016	3	1				
10102036	10102	2	4	10102007	4	10102021	1	10102010		
10102037	10102	2	4	10102021	1	10102010	4	10102048		
10102038	10102	2	4	10102021	4	10102049	4	10102048		
10102039	10102	1	1	10102029	3	1				
10102040	10102	1	1	10102030	3	1				
10102041	10102	1	1	10102031	3	2				
10102042	10102	2	1	10102032	1	10102010				
10102043	10102	2	1	10102033	1	10102010				
10102044	10102	2	1	10102034	1	10102010				
10102045	10102	1	1	10102035	3	2				
10102046	10102	2	4	10102045	1	10102026				
10102047	10102	1	1	10102017	3	3				
10102048	10102	1	1	10102036	3	2				
10102049	10102	3	1	10102011	4	10102033				
10102050	10102	9	1	10102024	3	30				
10102051	10102	1	1	10102038	3	3				
10102052	10102	1	1	10102039	3	2				
10102053	10102	2	1	10102040	4	10102048	1	10102026		
10102054	10102	1	1	10102041	3	30				
10102055	10102	1	1	10102042	3	1				
10102056	10102	1	1	10102042	3	3				
10102057	10102	1	1	10102043	3	3				
10102058	10102	1	1	10102043	3	7				
11801001	11801	1	1	11801001	3	1				
11801002	11801	1	1	11801002	3	1				
11801003	11801	5	1	11801003	2	11801029				
11801004	11801	5	1	11801004	2	11801029				
11801005	11801	1	1	11801005	3	1				
11801006	11801	1	1	11801006	3	1				
11801007	11801	5	1	11801007	2	11801030				
11801008	11801	5	1	11801008	2	11801030				
11801009	11801	1	1	11801009	3	1				
11801010	11801	1	1	11801010	3	1				
11801011	11801	5	1	11801011	2	11801031				
11801012	11801	5	1	11801012	2	11801031				
11801013	11801	1	1	11801013	3	1				
11801014	11801	1	1	11801014	3	1				
11801015	11801	5	1	11801015	2	11801032				
11801016	11801	5	1	11801016	2	11801032				
11801017	11801	1	1	11801017	3	1				
11801018	11801	1	1	11801018	3	1				
11801019	11801	5	1	11801019	2	11801033				
11801020	11801	5	1	11801020	2	11801033				
11801021	11801	1	1	11801021	3	1				
11801022	11801	1	1	11801022	3	1				
11801023	11801	5	1	11801023	2	11801034				
11801024	11801	5	1	11801024	2	11801034				
11801025	11801	1	1	11801025	3	1				
11801026	11801	1	1	11801026	3	1				
11801027	11801	5	1	11801027	2	11801035				
11801028	11801	5	2	11801028	2	11801035				
