ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	目标组ID	阶段前置成就ID	完成奖励RewardID	完成后清除Watcher
80051	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	2	5,6,7,8,9		400		5	80050	800051	
80052	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	2	5,6,7,8,9		800		5	80051	800052	
80053	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9		10		5		800053	
80054	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9		20		5	80053	800054	
80055	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9		40		5	80054	800055	
80056	105	10				1		16		800056	1
80057	106	1	1	10		11		16		800057	1
80058	111	2013,3,1				5		16		800058	
80059	111	2013,3,1				10		16	80058	800059	
80060	111	2013,3,1				20		16	80059	800060	
80061	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10		40		16		800061	
80062	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10		80		16	80061	800062	
80063	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10		160		16	80062	800063	
80064	934	1	4			1		16		800064	
80065	934	1	8			1		16	80064	800065	
80066	934	1	12			1		16	80065	800066	
80067	700	7014112				1		16		800067	1
80068	700	7010232				1		16		800068	1
80069	112	4				1		22		800069	
80070	114	1				1		22		800070	
80071	114	4				1		22		800071	
80072	114	3				1		22		800072	
80073	114	1009				1		22		800073	
80074	105	11;12;13				1		24		800074	1
80075	106	3	1	11,12,13		26		24		800075	1
80076	104	70900383	3	11,12,13		6		24		800076	1
80077	108	3	10			1		24		800077	1
80078	934	2	50			1		24		800078	1
80079	111	2014,3,1	3	11,12,13		10		24		800079	
80080	111	2014,3,1	3	11,12,13		20		24	80079	800080	
80081	111	2014,3,1	3	11,12,13		40		24	80080	800081	
80082	111	2005,3,1	3	11,12,13		4		24		800082	
80083	111	2005,3,1	3	11,12,13		8		24	80082	800083	
80084	111	2005,3,1	3	11,12,13		16		24	80083	800084	
80085	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	11,12,13		100		24		800085	
80086	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	11,12,13		200		24	80085	800086	
80087	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	11,12,13		300		24	80086	800087	
80088	705	72105				1		24		800088	
80089	705	72122				1		24		800089	
80090	705	72132				1		24		800090	
80091	114	1029				1		0		800091	1
80093	111	3001,3,1;3002,3,1;3003,3,1	3	11,12,13		6		24		800093	
80094	111	3001,3,1;3002,3,1;3003,3,1	3	11,12,13		12		24	80093	800094	
80095	111	3001,3,1;3002,3,1;3003,3,1	3	11,12,13		24		24	80094	800095	
80096	105	14;17				1		26		800096	1
80097	106	3	1	14,17		14		26		800097	1
80098	104	70900383	3	14,17		2		26		800098	1
80099	111	2014,3,1	3	14,17		4		26		800099	
80100	111	2014,3,1	3	14,17		8		26	80099	800100	
80101	111	2014,3,1	3	14,17		16		26	80100	800101	
80102	111	2005,3,1	3	14,17		6		26		800102	
80103	111	2005,3,1	3	14,17		2	1	26	80102	800103	
80104	111	2005,3,1	3	14,17		3	1	26	80103	800104	
80105	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	14,17		40		26		800105	
80106	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	14,17		80		26	80105	800106	
80107	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	3	14,17		160		26	80106	800107	
80110	111	3001,3,1;3002,3,1;3003,3,1	3	14,17		6		26		800110	
80111	111	3001,3,1;3002,3,1;3003,3,1	3	14,17		12		26	80110	800111	
80112	111	3001,3,1;3002,3,1;3003,3,1	3	14,17		24		26	80111	800112	
80108	705	72158				1		26		800108	
80109	705	72149				1		26		800109	
80113	105	18				1		27		800113	1
80114	106	3	1	18		7		27		800114	1
80115	104	70900383	3	18		2		27		800115	1
80116	111	2014,3,1	3	18		6		27		800116	
80117	111	2014,3,1	3	18		8	1	27	80116	800117	
80118	111	2014,3,1	3	18		16	1	27	80117	800118	
80119	111	2005,3,1	3	18		6		27		800119	
80120	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	18		30		27		800120	
80121	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	18		60		27	80120	800121	
80122	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	18		120		27	80121	800122	
80123	111	3001,3,1;3002,3,1;3003,3,1	3	18		4		27		800123	
80124	111	3001,3,1;3002,3,1;3003,3,1	3	18		8		27	80123	800124	
80125	111	3001,3,1;3002,3,1;3003,3,1	3	18		12		27	80124	800125	
80126	705	72173				1		27		800126	
80127	231			1002		1		0		800127	
80128	231			1002		30		0	80127	800128	
80129	231			1002		100		0	80128	800129	
80130	700	7223801				1		28		800130	1
80131	106	3	1	200		24		28		800131	1
80132	111	2005,3,1	3	200		6		28		800132	
80133	111	2005,3,1	3	200		15		28	80132	800133	
80134	111	2005,3,1	3	200		30		28	80133	800134	
80135	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	200		40		28		800135	
80136	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	200		80		28	80135	800136	
80137	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	3	200		160		28	80136	800137	
80138	111	3001,3,1;3002,3,1;3003,3,1	3	200		3		28		800138	
80139	111	3001,3,1;3002,3,1;3003,3,1	3	200		6		28	80138	800139	
80140	111	3001,3,1;3002,3,1;3003,3,1	3	200		12		28	80139	800140	
80141	700	7217749				1		28		800141	
80142	1024					10		0		800142	
80143	1024					30		0	80142	800143	
80144	1024					60		0	80143	800144	
80145	105	19				1		30		800145	1
80146	700	7104507				1		30		800146	1
80147	106	2	1	19,300		21		30		800147	1
80148	111	2005,3,1	2	19,300		6		30		800148	
80149	111	2005,3,1	2	19,300		12		30	80148	800149	
80150	111	2005,3,1	2	19,300		24		30	80149	800150	
80151	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	2	19,300		50		30		800151	
80152	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	2	19,300		100		30	80151	800152	
80153	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	2	19,300		200		30	80152	800153	
80154	111	3001,3,1;3002,3,1;3003,3,1	2	19,300		3		30		800154	
80155	111	3001,3,1;3002,3,1;3003,3,1	2	19,300		6		30	80154	800155	
80156	111	3001,3,1;3002,3,1;3003,3,1	2	19,300		12		30	80155	800156	
80157	934	3	10			1		30		800157	1
80158	700	7104429				1		30		800158	
80159	700	7104520				1		30		800159	
80160	105	20;21;22;23;24;25;29				1		31		800160	1
80161	106	4	1	20,21,22,23,24,25,29		46		31		800161	1
80162	104	70360363	4	20,21,22,23,24,25,29		4		31		800162	1
80163	108	4	10			1		31		800163	1
80164	934	5	50			1		31		800164	1
80165	111	2005,3,1	4	20,21,22,23,24,25,29		10		31		800165	
80166	111	2005,3,1	4	20,21,22,23,24,25,29		20		31	80165	800166	
80167	111	2005,3,1	4	20,21,22,23,24,25,29		40		31	80166	800167	
80168	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	20,21,22,23,24,25,29		100		31		800168	
80169	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	20,21,22,23,24,25,29		200		31	80168	800169	
80170	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	20,21,22,23,24,25,29		400		31	80169	800170	
80171	111	3001,3,1;3002,3,1;3003,3,1	4	20,21,22,23,24,25,29		10		31		800171	
80172	111	3001,3,1;3002,3,1;3003,3,1	4	20,21,22,23,24,25,29		20		31	80171	800172	
80173	111	3001,3,1;3002,3,1;3003,3,1	4	20,21,22,23,24,25,29		40		31	80172	800173	
80174	700	7303803				1		31		800174	
80175	112	3				1		32		800175	
80176	114	1037				1		32		800176	
80177	114	1038				1		32		800177	
80178	114	1039				1		32		800178	
80179	105	26;27;28				1		35		800179	1
80180	106	4	1	26,27,28		26		35		800180	1
80181	104	70360363	4	26,27,28		2		35		800181	1
80182	111	2005,3,1	4	26,27,28		10		35		800182	
80183	111	2005,3,1	4	26,27,28		20		35	80182	800183	
80184	111	2005,3,1	4	26,27,28		40		35	80183	800184	
80185	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	26,27,28		60		35		800185	
80186	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	26,27,28		120		35	80185	800186	
80187	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148;70211150;70211151	4	26,27,28		240		35	80186	800187	
80188	111	3001,3,1;3002,3,1;3003,3,1	4	26,27,28		10		35		800188	
80189	111	3001,3,1;3002,3,1;3003,3,1	4	26,27,28		20		35	80188	800189	
80190	111	3001,3,1;3002,3,1;3003,3,1	4	26,27,28		40		35	80189	800190	
80191	705	73055				1		35		800191	
81000	111	6000,3,1				1		0		801000	1
81001	111	6001,3,1				1		0		801001	1
81002	111	6002,3,1				1		0		801002	1
81003	111	6003,3,1				1		0		801003	1
81004	115	25				1		0		801004	1
81005	903	3	SitPointOnStatue_ForAchievement			1		0		801005	1
81006	700	7101224				1	1	0		801006	
81007	700	2100450				1	1	0		801007	
81008	701	2102115,2102124				1	1	0		801008	
81009	701	7100532,7100534				1	1	0		801009	
81010	701	41803,41806				1		0		801010	1
81011	700	7100701				1	1	0		801011	
81012	700	7100832				1	1	0		801012	
81013	700	2100710				1	1	0		801013	
81014	111	6006,3,1				1		0		801014	1
81015	111	6007,3,1				1		0		801015	1
81016	111	6008,3,1				1		0		801016	1
81017	401	2	1			1		0		801017	
81018	401	2	1			10		0		801018	
81019	806	28020301;28020302				1		0		801019	1
81020	902					500		0		801020	1
81021	901					80000		0		801021	1
81022	900					15000		0		801022	1
81023	704					10000		0		801023	1
81024	930	1	8			1		0		801024	1
81025	930	2	8			1		0		801025	1
80092	930	3	10			1		0		800092	1
81026	932					10		0		801026	
81027	932					20		0	81026	801027	
81028	932					30		0	81027	801028	
81029	931					10		0		801029	
81030	931					20		0	81029	801030	
81031	931					30		0	81030	801031	
81032	933					1		0		801032	1
81033	812	ClimateAbility_Cold				1		0		801033	1
81034	111	6009,3,1				1		0		801034	1
81035	111	6010,3,1				1		0		801035	1
81036	700	7012107				1		0		801036	1
81037	111	6011,3,1				1		0		801037	1
81038	111	6015,3,1				9		0		801038	1
81039	111	6012,3,1				1		0		801039	1
81040	111	6013,3,1				1		0		801040	1
81041	111	6014,3,1				1		0		801041	1
81042	806	28020304				1		0		801042	1
81043	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82072				1		0		801043	1
81044	221	2009				1		0		801044	1
81045	811	SceneObj_Storm_Lightning				1		0		801045	1
81046	700	7014201				1		0		801046	1
81047	936					1		0		801047	1
81048	10					1		0		801048	1
81049	1010					1		18		801049	1
81050	1011	20000				1		18		801050	
81051	1011	20000				2		18	81050	801051	
81052	1011	20000				3		18	81051	801052	
81053	1004	4				1		18		801053	
81054	1004	7				1		18	81053	801054	
81055	1004	10				1		18	81054	801055	
81056	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312;101313;101314;101315;101316;101317				100		18		801056	
81057	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312;101313;101314;101315;101316;101317				600		18	81056	801057	
81058	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312;101313;101314;101315;101316;101317				2000		18	81057	801058	
81059	1005					2000		18		801059	
81060	1005					10000		18	81059	801060	
81061	1005					50000		18	81060	801061	
81062	1003					120		18		801062	
81063	1003					300		18	81062	801063	
81064	1003					600		18	81063	801064	
81065	437	8				50		18		801065	
81066	437	8				200		18	81065	801066	
81067	437	8				600		18	81066	801067	
81068	1002					60		18		801068	
81069	1002					120		18	81068	801069	
81070	1002					180		18	81069	801070	
81071	1009	0				50		18		801071	
81072	1009	0				150		18	81071	801072	
81073	1009	0				300		18	81072	801073	
81074	336	2	1			1		0		801074	
81075	337	2	180			1		0		801075	
81076	338	2	1			1		0		801076	
81077	339	2	1			1		0		801077	
81078	340	2	15			1		0		801078	
81079	1019					1		19		801079	
81080	1017					10		19		801080	
81081	1017					20		19	81080	801081	
81082	1017					30		19	81081	801082	
81083	1016					5		19		801083	
81084	1016					10		19	81083	801084	
81085	1016					20		19	81084	801085	
81086	1021	373501				1		23		801086	
81087	1023	372501				40		23		801087	
81088	1023	372501				200		23	81087	801088	
81089	1023	372501				800		23	81088	801089	
81090	1023	372502				40		23		801090	
81091	1023	372502				200		23	81090	801091	
81092	1023	372502				800		23	81091	801092	
81093	1023	372503				40		23		801093	
81094	1023	372503				200		23	81093	801094	
81095	1023	372503				800		23	81094	801095	
81096	111	6016,3,1				15		0		801096	1
81097	701	7218109,7218609,7218709,7218809,7218909,7219309				1		0		801097	1
81098	111	6018,3,1				1		0		801098	1
81099	701	7211201,7211202,7211203,7211204,7210401,7210402,7210403,7210404,7210301,7210302,7210303,7210304				1		0		801099	1
81100	701	7211234,7210434,7210334				1		0		801100	1
81101	706	72122				1	1	0		801101	1
81102	701	7212201				1	1	0		801102	1
81103	701	7212201				1	1	0		801103	1
81104	701	7219922				1		0		801104	1
81105	701	7211311				1		0		801105	1
81106	706	72110				1		0		801106	1
81107	111	6027,3,1				1	1	0		801107	1
81108	111	6028,3,1				1		0		801108	1
81109	701	7214409				1		0		801109	1
81110	701	99902				1	1	0		801110	1
81111	706	72179				1		0		801111	1
81112	706	72196				1		0		801112	1
81113	706	72141				1		0		801113	1
81114	706	72178				1		0		801114	1
81115	701	7219715				1		0		801115	1
81116	701	7213908				1		0		801116	1
81117	701	7211426				1		0		801117	1
81118	701	7212318				1		0		801118	1
81119	701	7212422				1		0		801119	1
81120	438	133213151	180	180	30	1		0		801120	1
81121	701	7212703				1		0		801121	1
81122	701	7212101				1		0		801122	1
81123	812	ClimateAbility_TatariRegion				1		0		801123	1
81124	111	6047,3,1				1		0		801124	1
81125	111	6048,3,1				1		0		801125	1
81126	111	6049,3,1				1	1	0		801126	1
81127	701	7212201				1	1	0		801127	1
81128	701	7212201				1	1	0		801128	1
81129	111	6052,3,1				1	1	0		801129	1
