对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]1参数3,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]2参数3,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2,[完成执行]1参数3,[完成执行]2类型,[完成执行]2参数1,[完成执行]2参数2,[完成执行]2参数3
34777,,1,,1,1200708,2,,,,,,,,,3,,3477701,,20302,,,,,,,,,,,
34778,,1,,1,1200708,2,,,,,,,,,3,,3477801,,20302,,,,,,,,,,,
34779,,1,,1,1200708,2,,,,,,,,,3,,3477901,,20302,,,,,,,,,,,
34780,,1,,1,1200708,2,,,,,,,,,3,,3478001,,20302,,,,,,,,,,,
34781,2,1,,1,1200710,2,,,,,,,,,3,34782#34783#34784,3477101,,20318,,,,,,,,,,,
34782,,1,,1,1200708,2,,,,,,,,,3,,3477201,,20318,,,,,,,,,,,
34783,,1,,1,1200708,2,,,,,,,,,3,34785#34786#34787,3477301,,20318,,,,,,,,,,,
34784,,1,,1,1200708,2,,,,,,,,,3,,3477401,,20318,,,,,,,,,,,
34785,,1,,1,1200708,2,,,,,,,,,3,,3477501,,20318,,,,,,,,,,,
34786,,1,,1,1200708,2,,,,,,,,,3,34788#34789#34790,3477601,,20318,,,,,,,,,,,
34787,,1,,1,1200708,2,,,,,,,,,3,,3477701,,20318,,,,,,,,,,,
34788,,1,,1,1200708,2,,,,,,,,,3,,3477801,,20318,,,,,,,,,,,
34789,,1,,1,1200708,2,,,,,,,,,3,,3477901,,20318,,,,,,,,,,,
34790,,1,,1,1200708,2,,,,,,,,,3,,3478001,,20318,,,,,,,,,,,
34791,2,1,,1,1200711,2,,,,,,,,,3,34792#34793#34794,3477101,,20319,,,,,,,,,,,
34792,,1,,1,1200708,2,,,,,,,,,3,,3477201,,20319,,,,,,,,,,,
34793,,1,,1,1200708,2,,,,,,,,,3,34795#34796#34797,3477301,,20319,,,,,,,,,,,
34794,,1,,1,1200708,2,,,,,,,,,3,,3477401,,20319,,,,,,,,,,,
34795,,1,,1,1200708,2,,,,,,,,,3,,3477501,,20319,,,,,,,,,,,
34796,,1,,1,1200708,2,,,,,,,,,3,34798#34799#34800,3477601,,20319,,,,,,,,,,,
34797,,1,,1,1200708,2,,,,,,,,,3,,3477701,,20319,,,,,,,,,,,
34798,,1,,1,1200708,2,,,,,,,,,3,,3477801,,20319,,,,,,,,,,,
34799,,1,,1,1200708,2,,,,,,,,,3,,3477901,,20319,,,,,,,,,,,
34800,,1,,1,1200708,2,,,,,,,,,3,,3478001,,20319,,,,,,,,,,,
34801,2,1,,1,34801,2,,,,,,,,,3,,3480101,,1245,,,,,,,,,,,
34802,2,1,,1,34802,2,,,,,,,,,3,,3480201,,1245,,,,,,,,,,,
34803,2,1,,1,34803,2,,,,,,,,,3,,3480301,,1245,,,,,,,,,,,
34804,2,1,,1,34804,2,,,,,,,,,3,,3480401,,1245,,,,,,,,,,,
34805,2,1,,1,34805,2,,,,,,,,,3,,3480501,,1245,,,,,,,,,,,
34806,2,1,,1,34806,2,,,,,,,,,3,,3480601,,1245,,,,,,,,,,,
34807,2,1,,1,34807,2,,,,,,,,,3,,3480701,,1245,,,,,,,,,,,
34808,2,1,,1,34808,2,,,,,,,,,3,,3480801,,1245,,,,,,,,,,,
34809,2,1,,1,34809,2,,,,,,,,,3,,3480901,,1245,,,,,,,,,,,
34810,2,1,,1,34810,2,,,,,,,,,3,,3481001,,1245,,,,,,,,,,,
34811,2,1,,1,34811,2,,,,,,,,,3,,3481101,,1245,,,,,,,,,,,
34812,2,1,,1,34812,2,,,,,,,,,3,,3481201,,1245,,,,,,,,,,,
34813,2,1,,1,34813,2,,,,,,,,,3,,3481301,,1245,,,,,,,,,,,
34814,2,1,,1,34814,2,,,,,,,,,3,,3481401,,1245,,,,,,,,,,,
34815,2,1,,1,34815,2,,,,,,,,,3,,3481501,,1245,,,,,,,,,,,
34816,2,1,,1,34816,2,,,,,,,,,3,,3481601,,1245,,,,,,,,,,,
34817,2,1,,,,,,,,,,,,,3,,3481701,,12133,,,,,,,,,,,
34818,2,1,,,,,,,,,,,,,3,,3481801,,12134,,,,,,,,,,,
34819,2,1,,,,,,,,,,,,,3,,3481901,,20419,,,,,,,,,,,
34820,2,1,,,,,,,,,,,,,3,,3481901,,20420,,,,,,,,,,,
34821,2,1,,,,,,,,,,,,,3,,3481901,,20421,,,,,,,,,,,
34901,2,1,,1,34901,2,,,,,,,,,3,,3490101,,1244,,,,,,,,,,,
34902,2,1,,1,34902,2,,,,,,,,,3,,3490201,,1244,,,,,,,,,,,
34903,2,1,,1,34903,2,,,,,,,,,3,,3490301,,1244,,,,,,,,,,,
34904,2,1,,1,34904,2,,,,,,,,,3,,3490401,,1244,,,,,,,,,,,
34905,2,1,,1,34905,2,,,,,,,,,3,,3490501,,1244,,,,,,,,,,,
34906,2,1,,1,34906,2,,,,,,,,,3,,3490601,,1244,,,,,,,,,,,
34907,2,1,,1,34907,2,,,,,,,,,3,,3490701,,1244,,,,,,,,,,,
34908,2,1,,1,34908,2,,,,,,,,,3,,3490801,,1244,,,,,,,,,,,
34909,2,1,,1,34909,2,,,,,,,,,3,,3490901,,1244,,,,,,,,,,,
34910,2,1,,1,34910,2,,,,,,,,,3,,3491001,,1244,,,,,,,,,,,
34911,2,1,,1,34911,2,,,,,,,,,3,,3491101,,1244,,,,,,,,,,,
34912,2,1,,1,34912,2,,,,,,,,,3,,3491201,,1244,,,,,,,,,,,
35216,2,1,,1,35202,2,,,,,,,,,5,,3521601,,1005,352,,,,,,,,,,
35328,2,1,,1,35301,2,,,,,,,,,5,,3532801,,1005,353,,,,,,,,,,
35506,2,1,,1,35505,2,,,,,,,,,5,,3550601,,1005,355,,,,,,,,,,
35507,2,1,,1,35503,2,,,,,,,,,5,,3550701,,1005,355,,,,,,,,,,
35404,2,1,,1,35402,2,,,,,,,,,5,,3540401,,1002,354,,,,,,,,,,
36001,2,1,,1,36004,2,,,,,,,,,5,,3600101,,1002,360,,,,,,,,,,
35601,1,1,,1,35601,2,,,,,,,,,5,,3560101,,1002,356,,,,,,,,,,
35604,2,1,,1,35604,2,,,,,,,,,1,,3560401,,1002,356,,,,,,,,,,
35723,2,1,,1,35723,2,,,,,,,,,5,,3572301,,1002,357,,,,,,,,,,
35724,2,1,,1,35801,2,,,,,,,,,5,,3572401,,1005,358,,,,,,,,,,
35801,2,1,,1,35802,2,,,,,,,,,5,,3580101,,1006,358,,,,,,,,,,
30603,2,1,,1,30600,2,,,,,,,,,4,,3060301,,1002,,,,,,,,,,,
30611,2,1,,1,30601,2,,,,,,,,,5,,3061101,,1002,306,,,,,,,,,,
30612,2,1,,1,30602,2,,,,,,,,,5,,3061201,,1002,306,,,,,,,,,,
30610,2,1,,1,30610,2,,,,,,,,,1,,3061001,,1002,306,,,,,,,,,,
30703,2,1,,1,30700,2,,,,,,,,,4,,3070301,,1004,,,,,,,,,,,
30711,2,1,,1,30701,2,,,,,,,,,5,,3071101,,1004,307,,,,,,,,,,
30712,1,1,,1,30710,2,,,,,,,,,5,,3071201,,1004,307,,,,,,,,,,
30714,2,1,,1,30702,2,,,,,,,,,5,,3071401,,1004,307,,,,,,,,,,
30715,2,1,,1,30715,2,,,,,,,,,1,,3071501,,1004,307,,,,,,,,,,
30803,2,1,,1,30800,2,,,,,,,,,4,,3080301,,1007,,,,,,,,,,,
30811,2,1,,1,30801,2,,,,,,,,,5,,3081101,,1007,308,,,,,,,,,,
30812,1,1,,1,30810,2,,,,,,,,,5,,3081201,,1007,308,,,,,,,,,,
30813,2,1,,1,30802,2,,,,,,,,,5,,3081301,,1007,308,,,,,,,,,,
30814,2,1,,1,30814,2,,,,,,,,,1,,3081401,,1007,308,,,,,,,,,,
30903,2,1,,1,30901,2,,,,,,,,,4,,3090301,,1006,,,,,,,,,,,
30902,2,1,1,1,31101,2,,1,46904,2,,,,,5,,3090201,,1005,311,,,,,,,,,,
30904,2,1,1,1,31101,2,,1,46904,3,,,,,5,,3090401,,1005,311,,,,,,,,,,
30911,2,1,,1,30901,2,,,,,,,,,5,,3091101,,10001,309,,,,,,,,,,
30912,2,1,,1,30901,2,,,,,,,,,5,,3091201,,10002,309,,,,,,,,,,
30913,2,1,,1,30901,2,,,,,,,,,5,,3091301,,10003,309,,,,,,,,,,
30914,2,1,,1,30901,2,,,,,,,,,5,,3091401,,10004,309,,,,,,,,,,
30915,2,1,,1,30901,2,,,,,,,,,5,,3091501,,10005,309,,,,,,,,,,
30916,2,1,,1,30901,2,,,,,,,,,5,,3091601,,10006,309,,,,,,,,,,
31001,2,,,,,,,,,,,,,,1,,3100101,,1003,,,,,,,,,,,
31002,2,,,,,,,,,,,,,,1,,3100201,,22,,,,,,,,,,,
31003,2,,,,,,,,,,,,,,1,,3100301,,23,,,,,,,,,,,
31004,2,,,,,,,,,,,,,,1,,3100401,,24,,,,,,,,,,,
31005,2,,,,,,,,,,,,,,1,,3100501,,25,,,,,,,,,,,
31006,2,,,,,,,,,,,,,,1,,3100601,,26,,,,,,,,,,,
31008,2,,,,,,,,,,,,,,1,,3100801,,1305,,,,,,,,,,,
31009,,,,1,31001,2,,,,,,,,,5,31010#31011#31012,3100901,,1435,,,,,,,,,,,
31010,,,,,,,,,,,,,,,1,31013#31014#31015#31020,3101001,,1435,,,,,,,,,,,
31011,,,,,,,,,,,,,,,1,31016#31017#31018#31019#31020,3101101,,1435,,,,,,,,,,,
31012,,,,,,,,,,,,,,,1,,3101201,,1435,,,,,,,,,,,
31013,,,,1,31002,2,,,,,,,,,1,,3101301,,1435,,,,,,,,,,,
31014,,,,1,31003,2,,,,,,,,,1,,3101401,,1435,,,,,,,,,,,
31015,,,,1,31004,2,,,,,,,,,1,,3101501,,1435,,,,,,,,,,,
31016,,,,1,31005,2,,,,,,,,,1,,3101601,,1435,,,,,,,,,,,
31017,,,,1,31006,2,,,,,,,,,1,,3101701,,1435,,,,,,,,,,,
31018,,,,1,31007,2,,,,,,,,,1,,3101801,,1435,,,,,,,,,,,
31019,,,,1,31008,2,,,,,,,,,1,,3101901,,1435,,,,,,,,,,,
31020,,,,1,31001,2,,,,,,,,,1,,3102001,,1435,,,,,,,,,,,
31101,2,,,,,,,,,,,,,,1,31104#31107,3110101,,31,,,,,,,,,,,
31102,2,,,,,,,,,,,,,,1,31105#31108,3110201,,32,,,,,,,,,,,
31103,2,,,,,,,,,,,,,,1,31106#31109,3110301,,33,,,,,,,,,,,
31104,,,,,,,,,,,,,,,,,3110401,,31,,,,,,,,,,,
31105,,,,,,,,,,,,,,,,,3110501,,32,,,,,,,,,,,
31106,,,,,,,,,,,,,,,,,3110601,,33,,,,,,,,,,,
31107,,,,,,,,,,,,,,,,,3110701,,31,,,,,,,,,,,
31108,,,,,,,,,,,,,,,,,3110801,,32,,,,,,,,,,,
31109,,,,,,,,,,,,,,,,,3110901,,33,,,,,,,,,,,
31110,2,,,,,,,,,,,,,,1,31111#31112,3111001,,30,,,,,,,,,,,
31111,,,,,,,,,,,,,,,,,3111101,,30,,,,,,,,,,,
31112,,,,,,,,,,,,,,,,,3111201,,30,,,,,,,,,,,
31141,2,,1,1,35205,3,,18,3,1,,,,,,31159#31153#31157#31156,3114101,,1201,,,,,,,,,,,
31142,2,,1,1,30302,3,,18,3,3,,,,,,31158#31153#31157#31156,3114201,,1202,,,,,,,,,,,
31143,2,,1,1,30303,3,,18,3,2,,,,,,31158#31153#31157#31156,3114301,,1203,,,,,,,,,,,
31144,2,,1,1,30304,3,,18,3,4,,,,,,31158#31153#31157#31156,3114401,,1204,,,,,,,,,,,
31145,2,,1,1,30305,3,,18,3,5,,,,,,31158#31161#31157#31156,3114501,,1205,,,,,,,,,,,
31146,2,,1,1,30306,3,,18,3,7,,,,,,31158#31161#31157#31156,3114601,,1206,,,,,,,,,,,
31147,2,,1,1,30307,3,,18,3,6,,,,,,31158#31161#31157#31156,3114701,,1207,,,,,,,,,,,
31148,2,,1,1,30308,3,,18,3,8,,,,,,31158#31161#31157#31156,3114801,,1208,,,,,,,,,,,
31149,2,,,,,,,,,,,,,,,,3114901,,1209,,,,,,,,,,,
31162,2,,1,1,30309,3,,18,3,9,,,,,,31158#31161#31157#31156,3116201,,1268,,,,,,,,,,,
31163,2,,1,1,30310,3,,18,3,10,,,,,,31158#31153#31157#31156,3116301,,1272,,,,,,,,,,,
31164,2,,1,1,30311,3,,18,3,11,,,,,,31158#31167#31157#31156,3116401,,1273,,,,,,,,,,,
31165,2,,1,1,30312,3,,18,3,12,,,,,,31158#31167#31157#31156,3116501,,1274,,,,,,,,,,,
31166,2,,1,1,30313,3,,18,3,13,,,,,,31158#31167#31157#31156,3116601,,1275,,,,,,,,,,,
31168,2,,1,1,30314,3,,18,3,14,,,,,,31158#31167#31157#31156,3116801,,1277,,,,,,,,,,,
31169,2,,1,1,30315,3,,18,3,17,,,,,,31158#31167#31157#31156,3116901,,1278,,,,,,,,,,,
31170,2,,1,1,30316,3,,18,3,18,,,,,,31158#31167#31157#31156,3117001,,1279,,,,,,,,,,,
31171,2,,1,1,30317,3,,18,3,19,,,,,,31158#31161#31157#31156,3117101,,1281,,,,,,,,,,,
31172,2,,1,1,30318,3,,18,3,20,,,,,,31158#31178#31157#31156,3117201,,1282,,,,,,,,,,,
31173,2,,1,1,30319,3,,18,3,21,,,,,,31158#31178#31157#31156,3117301,,1283,,,,,,,,,,,
31174,2,,1,1,30320,3,,18,3,29,,,,,,31158#31178#31157#31156,3117401,,1284,,,,,,,,,,,
31175,2,,1,1,30321,3,,18,3,23,,,,,,31158#31178#31157#31156,3117501,,1285,,,,,,,,,,,
31176,2,,1,1,30322,3,,18,3,24,,,,,,31158#31178#31157#31156,3117601,,1286,,,,,,,,,,,
31177,2,,1,1,30323,3,,18,3,25,,,,,,31158#31178#31157#31156,3117701,,1287,,,,,,,,,,,
31179,2,,1,1,30324,3,,18,3,22,,,,,,31158#31178#31157#31156,3117901,,1288,,,,,,,,,,,
31180,2,,1,1,30325,3,,18,3,26,,,,,,31158#31178#31157#31156,3118001,,4900,,,,,,,,,,,
31181,2,,1,1,30326,3,,18,3,27,,,,,,31158#31178#31157#31156,3118101,,4901,,,,,,,,,,,
31182,2,,1,1,30327,3,,18,3,28,,,,,,31158#31178#31157#31156,3118201,,4902,,,,,,,,,,,
31150,,,1,5,7,,,6,1,,,1,35205,3,1,,3115001,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31151,,,,,,,,,,,,,,,1,,3115101,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31152,,,,,,,,,,,,,,,1,,3115201,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31153,,,1,5,7,,,6,1,,,1,35205,3,1,,3115301,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31154,,,,,,,,,,,,,,,1,,3115401,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31155,,,,,,,,,,,,,,,1,,3115501,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31156,,,,,,,,,,,,,,,1,,3115601,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31157,,,,16,1,,,,,,,,,,1,,3115701,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31158,,,,16,1,,,,,,,,,,1,,3115801,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31159,,,1,1,46902,3,,16,1,,,,,,1,,3115901,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31160,,,,16,1,,,,,,,,,,1,,3116001,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31161,,,1,5,8,,,6,1,,,1,35205,3,1,,3116101,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31167,,,1,5,4,,,6,1,,,1,35205,3,1,,3116701,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
31178,,,1,5,3,,,6,1,,,1,35205,3,1,,3117801,,1201#1202#1203#1204#1205#1206#1207#1208#1209#1268#1272#1273#1274#1275#1277#1278#1279#1281#1282#1283#1284#1285#1286#1287#1288#4900#4901#4902,,,,,,,,,,,
30302,2,1,,2,30302,3,,,,,,,,,,,3030201,,1202,,,,,,,,,,,
30303,2,1,,2,30303,3,,,,,,,,,,,3030301,,1203,,,,,,,,,,,
30304,2,1,,2,30304,3,,,,,,,,,,,3030401,,1204,,,,,,,,,,,
30305,2,1,,2,30305,3,,,,,,,,,,,3030501,,1205,,,,,,,,,,,
30306,2,1,,2,30306,3,,,,,,,,,,,3030601,,1206,,,,,,,,,,,
30307,2,1,,2,30307,3,,,,,,,,,,,3030701,,1207,,,,,,,,,,,
30308,2,1,,2,30308,3,,,,,,,,,,,3030801,,1208,,,,,,,,,,,
30309,2,1,,2,30309,3,,,,,,,,,,,3030901,,1268,,,,,,,,,,,
30310,2,1,,2,30310,3,,,,,,,,,,,3031001,,1272,,,,,,,,,,,
30311,2,1,,2,30311,3,,,,,,,,,,,3031101,,1273,,,,,,,,,,,
30312,2,1,,2,30312,3,,,,,,,,,,,3031201,,1274,,,,,,,,,,,
30313,2,1,,2,30313,3,,,,,,,,,,,3031301,,1275,,,,,,,,,,,
30314,2,1,,2,30314,3,,,,,,,,,,,3031401,,1277,,,,,,,,,,,
30315,2,1,,2,30315,3,,,,,,,,,,,3031501,,1278,,,,,,,,,,,
30316,2,1,,2,30316,3,,,,,,,,,,,3031601,,1279,,,,,,,,,,,
30317,2,1,,2,30317,3,,,,,,,,,,,3031701,,1281,,,,,,,,,,,
30318,2,1,,2,30318,3,,,,,,,,,,,3031801,,1282,,,,,,,,,,,
30319,2,1,,2,30319,3,,,,,,,,,,,3031901,,1283,,,,,,,,,,,
30320,2,1,,2,30320,3,,,,,,,,,,,3032001,,1284,,,,,,,,,,,
30321,2,1,,2,30321,3,,,,,,,,,,,3032101,,1285,,,,,,,,,,,
30322,2,1,,2,30322,3,,,,,,,,,,,3032201,,1286,,,,,,,,,,,
30323,2,1,,2,30323,3,,,,,,,,,,,3032301,,1287,,,,,,,,,,,
30324,2,1,,2,30324,3,,,,,,,,,,,3032401,,1288,,,,,,,,,,,
30325,2,1,,2,30325,3,,,,,,,,,,,3032501,,4900,,,,,,,,,,,
30326,2,1,,2,30326,3,,,,,,,,,,,3032601,,4901,,,,,,,,,,,
30327,2,1,,2,30327,3,,,,,,,,,,,3032701,,4902,,,,,,,,,,,
31802,1,1,,1,31802,2,,,,,,,,,,,3180201,,10092,318,,,,,,,,,,
31201,2,,,,,,,,,,,,,,1,,3120101,,34,,,,,,,,,,,
