ID	stageID	开始时间	结束时间	minLevel	maxLevel	前置openstate	前置父任务	前置子任务	失效子任务	特定关卡ID	权重
1028											7
1029	5										10
1030	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1031	1,2,12										10
1032	1,2,3,4,12,15,16,17,18,19,20,24,25,29,30,31,32,33,35,37,38,39						463				10
1033						OPEN_STATE_GACHA					10
1034	2,4,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39			5							10
1035	2,4,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39			5							10
1036	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,37,38,39			5							10
1037	6,12,21,25										10
1038	2,4,6,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39					OPEN_STATE_GUIDE_BLOSSOM					10
1039	6										10
1040	6,12,21,25										10
1041	2,4,6,7,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39					OPEN_STATE_GUIDE_BLOSSOM					10
1042	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39					OPEN_STATE_GUIDE_BLOSSOM					10
1043											10
1044	1,2,3,4,8,12,15,16,17,18,19,20,21,22,29,30,31,32,33,34,35,36,37,38,39										10
1045											10
1046	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			5							10
1047											10
1048	2,4,5,6,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,36,37,38,39			5							10
1049	2,4,5,6,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,36,37,38,39			5							10
1050	2,4			5							10
1051	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1052	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1053	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1054	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1055	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39			5							10
1056	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39										10
1057	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,36,37,38,39										10
1058	2			3							10
1059	11										10
1060	11										10
1061	6										10
1062	6										10
1063	6										10
1064	6										10
1065	6										10
1066	6										10
1067	1,2,3,4,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			9							10
1068											10
1069											10
1070											10
1071				5							10
1072				5							10
1073				5							10
1074				5							10
1075				5							10
1076				5							10
1077				5							10
1078				5							10
1079				5							10
1080				5							10
1081				5							10
1082				5							10
1083				5							10
1084				5							10
1085				5							10
1086				5							10
1087				10							10
1088				15							10
1089				3							10
1090				3							10
1091				5							10
1092				7							10
1093				7							10
1094				7							10
1095				7							10
1096				7							10
1097											10
1098											10
1099	7										10
1100	7										10
1101	7										10
1102	7										10
1103	7										10
1104	7										10
1105	7										10
1106	7										10
1107	7										10
1108	7										10
1109	3,4,24,25			12							10
1110	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,36,37,38,39			5							10
1111	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			8							10
1113	1,2,3,4,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			10							10
1114				15							10
1115	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			5							10
1116	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			5							10
1117	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			15							10
1118	1,2,3,4,5,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			4							10
1119				7							10
1120	2,4			7							10
1121	4			15							10
1122	6			15							10
1123	1,2,3,4,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			10							10
1124	1,2,3,4,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			16							10
1125	1,2,3,4,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			16							10
1126	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			16							10
1127	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			3							10
1128	1,2,3,4,6,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						20031				10
1129	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			3							10
1130	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1131	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						357				10
1132	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1133	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1134	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1135	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			10							10
1136	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			10							10
1137	1,2			10			70650				10
1138	1,2						70650				10
1139	1,2						70650				10
1140	1,2						70650				10
1141	1,2,3,4,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			8							10
1142	3,4			23			71650				10
1143	3,4						71650				10
1144	3,4						71650				10
1145	3,4						71650				10
1146	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			8							10
1147	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						20030				10
1148	1,2						454				10
1149	1,2						454				10
1150	1,2						398				10
1151	1,2,3,4,12,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,36,37,38,39						371				10
1152	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						485				10
1153	3,4						1003				10
1154	1,2,3,4,12,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,36,37,38,39						1010				10
1155	3,4						1015				10
1156	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						10113				10
1157	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,36,37,38,39						11005				10
1158	3,4						1018				10
1159	3,4						1016				10
1160	3,4						1016				10
1161											10
1162	1,2,3,4,12,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,36,37,38,39						379				10
1163	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,35,37,38,39						397				10
1164	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						397				10
1165	3,4						1003				10
1166	1,2						10113				10
1167	1,2,3,4,12,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,37,38,39						396				10
1168	1,2,3,4,12,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,37,38,39						11012				10
1169	3,4						1021				10
1170	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,36,37,38,39						1022				10
1171	12						70141				10
1172				6							10
1173	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39						70123				10
1174	12										10
1175	12										10
1176	12										10
1177	12										10
1178	12						70102				10
1179	12										10
1180	12										10
1181	12						70104				10
1182	12						70101				10
1183	12										10
1184	12										10
1185	12										10
1186	12						70141				10
1187	12										10
1188	12										10
1189	12										10
1190	12										10
1191	12						70106				10
1192	12						70121				10
1193	12						70141				10
1194	12						70142				10
1195	12						70124				10
1196				12							10
1197				16							10
1198	12										10
1199	12						70141				10
1200	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,35,36,37,38,39						11045				10
1201											10
1202	3,4						71022				10
1203	3,4						71022				10
1204	3						11113				10
1205	4						11103				10
1206	4						11103				10
1207	1,2,3,4,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,35,37,38,39						18000				10
1208				7							10
1209											10
1210	1,2,3,4,6,7,8,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39										10
1211											10
1212	1,2,3,4,6,7,12,15,16,17,18,19,20,21,22,24,25,29,30,31,32,33,35,37,38,39			60							10
1213	13										30
1214	13										30
1215	13										30
1216	13										30
1217	13,3,4						11008				30
1218	3,4						11123				10
1219	14						79010				30
1220	14						40010				30
1222	14										30
1223	14						79011				30
1224	14										30
1225	14						79001				30
1226	13										30
1227	13										30
1228	14						40010				30
1229	14						40010				30
1230	14						40011				30
1231	14						40010				30
1236	1,2,3,4,15,16,17,18,19,20,21						2002				10
1237	1,2,3,4,15,16,17,18,19,20,21						2002		1204209		10
1238	1,2,3,4,15,16,17,18,19,20,21						2002		1204209		10
1239	15										10
1240	15										10
1241	15,16,17,18,19,20,21										10
1242	15,16,17,18,19,20,21										10
1243	15,16,17,18,19,20,21						72171				10
1244	15,16,17,18,19,20,21						72171				10
1245	15,16,17,18,19,20						72171				10
1246	15,16,17,18,19,20,21						72657				10
1247	15,16,17,18,19,20,21						72657				10
1248	15,16,17,18,19,20,21						72657				10
1249	15,16,17,18,19,20,21						72657				10
1250	15,16,17,18,19,20										10
1251	15,16,17,18,19,20										10
1252	16						72108				10
1253	16						72105				10
1254	16						72107				10
1255	16,17,18,19,20						72154				10
1256	16,17,18,19,20						72176				10
1257	17						72114				10
1258	17						72114				10
1259	17						72114				10
1260	15,16,17,18,19,20						72132				10
1262	15,16,17,18,19,20						72112				10
1263	15,16,17,18,19,20						72112				10
1264	15,16,17,18,19,20						72112				10
1265	15,16						2012				10
1266	15,16,17,18,19,20,21						2003				10
1267	1,2,3,4,15,16,17,18,19,20,21,24,25,29,30,31,32,33,35,37,38,39						2003				10
1268	15,16,17,18,19,20						2007		1204209		10
1269	15,16,17,18,19,20						2007				10
1271	15						12013				10
1272	16,17,18,19,20,21										10
1273	17						72114				10
1274	16						72107				10
1275	16,17,18,19,20,21										10
1276	19						72151				10
1277	20						72158				10
1278	15,16,17,18,19,20						2016				10
1279	18						2014				10
1280	15,16,17,18,19,20						2017				10
1281	1,2,3,4,15,16,17,18,19,20,24,25,29,30,31,32,33,35,37,38,39						2015				10
1282	20						72163				10
1283	20						72216				10
1284	20						72216				10
1285	20						72216				10
1286	20						72158				10
1287	19						72143				10
1288	15,16,17,18,19,20						12018				10
1289	19						12024				10
1291	19						72143				10
1292	1,2,3,4,12,15,16,17,18,19,20,21,22,29,30,31,32,33,35,37,38,39						70661				10
1293	1,2,3,4,12,15,16,17,18,19,20,21,22,29,30,31,32,33,35,37,38,39						70661				10
1294	1,2						70661				10
1295	3,4						70661				10
1296	15,16,17,18,19,20						70661				10
1297	21						72167				10
1298	21						72167				10
1299	21						72167				10
1300	21						72167				10
1301	21						72166				10
1302	20,21						72166				10
1303	21						72166				10
1304	21						72166				10
1305	21						72172				10
1306	20,21						72173				10
1307	21						72173				10
1308	21						72175				10
1309	1,2,3,4,15,16,17,18,19,20						12026				10
1310	2,4,12,13,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39						72672				10
1311	2,4,12,13,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39						72672				10
1312	2,4,12,13,16,17,18,19,20,21,22,24,25,29,30,31,32,33,37,38,39						72672				10
1313											20
1314	22										10
1315	22						72177				10
1316	22										10
1317	22										10
1318	22						72177				10
1319	22										10
1320	22					OPEN_STATE_LOADINGTIPS_ENKANOMIYA					10
1321	22					OPEN_STATE_LOADINGTIPS_ENKANOMIYA					10
1322	22					OPEN_STATE_LOADINGTIPS_ENKANOMIYA					10
1323	22					OPEN_STATE_LOADINGTIPS_ENKANOMIYA					10
1324	23										100
1325	23										100
1326	23										100
1327	23										100
1328	23										100
1329											10
1330	23										100
1331	23										100
1332	23										100
1333	23										100
1334	24,25										100
1335	25										100
1336	24,25										100
1337	25										100
1338	25										100
1339	25										100
1340	3,4,24,25										100
1341	24,25						71044				100
1342	25						71055				100
1343	25						71062				100
1344	24,25										100
1345	25						71043				100
1346	25						71045				100
1347	25						71061				100
1348	25						71061				100
1349	25						71039				100
1350	25										100
1351	25										100
1352	25										100
1353	25										100
1354	24,25										100
1355	25										100
1356	24,25										100
1357	25										100
1358	25										100
1359	24										100
1360	24										100
1361	25										100
1362	24						71044				100
1363	24						71044				100
1364	24						71044				100
1365	24										100
1366	4,24,25						71066				100
1367	28							4006805			200
1368	28							4006504			100
1369	28							4006504			100
1370	28							4007409			100
1371	28							4007115			100
1372	28							4007104			100
1373	28							4007115			100
1374	28							4007009			100
1375	28							4006807			100
1376	28							4006713			100
1377	28							4006517			100
1378	28							4006517			100
1379	28							4006517			100
1380	28							4006408			200
1381	28							4006407			100
1382	28							4007613			200
1383											10
1384											10
1385											10
1386											10
1387											10
1388											10
1389											10
1390											10
1391	29,30,31,32,33,36,37,38,39										10
1392	29,30,31,32,33,36,37,38,39										10
1393	29,30,31,32,33,36,37,38,39										10
1394	29,30,31,32,33,36,37,38,39										10
1395	29,30,31,32,33,36,37,38,39										10
1396	29,30,31,32,33,36,37,38,39								302819		10
1397	29,30,31,32,33,36,37,38,39								302819		10
1398	29,30,31,32,33,36,37,38,39										10
1399	29,30,31,32,33,36,37,38,39										10
1400	29,30,31,32,33,36,37,38,39										10
1401	29,30,31,32,33,36,37,38,39										10
1402	29,30,31,32,33,34,36							7303511	302819		10
1403	32							7301822	302819		10
1404	29,30,31,32,33,36							7302714			10
1405	30							7302714			10
1406	30							7302714			10
1407	29,30,31,32,33,36							7309905	7310015		10
1408	29,30,31,32,33,36							7302515			10
1409	29,30,31,32,33,36							7309802			10
1410	29,30,31,32,33,36							7301822			10
1411	32							7301822			10
1412	30							7302714			10
1413	29,30,31,32,33,34,36							7301822			10
1414	29,30,31,32,33,36							7306805			10
1415	29,30,31,32,33,36							7306805			10
1416	29,30,31,32,33,34,36							7300115	7300309		10
1417	29,30,31,32,33,34,36							7300309			10
1418	29,30,31,32,33,36							7302515			10
1419	29,30,31,32,33,35,36							7300301			10
1420	29,30,31,32,33,35,36							7300301			10
1421	29,30,31,32,33,34,36							7302515			10
1422	29,30,31,32,33,35							7300301			10
1423	29,30,31,32,33,34,36							7300301			10
1424	29,30,31,32,33,34,36							7300301	7300309		10
1425	29,30,31,32,33,34,36							7300309			10
1426	34,36							7300309	7303803		10
1427	36							7302515			10
1428	34,36							7302515			10
1429	29,30,31,32,33,34,36							7302515			10
1430	34,36							7302515			10
1431	29,30,31,32,33,34,36							7302515	7303208		10
1432	29,30,31,32,33,34,36							7303208			10
1433	29,30,31,32,33,36							7302515	7303301		10
1434	29,30,31,32,33,36							7303301	7303208		10
1435	29,30,31,32,33,34,36							7303208			10
1436	29,30,31,32,33,34,36							7306631	7303208		10
1437	29,30,31,32,33,34,36							7303208			10
1438	34,36							7303208			10
1439	34,36							7301303			10
1440	34,36							7301303			10
1441	34,36							7303803			10
1442	34							7303633			10
1443	34							7303634			10
1444	34							7303635			10
1445	34,36							7303637			10
1446	2,4,12,16,17,18,19,20,21,22,24,25,29,30,31,32,33,34,37,38,39							7303633			10
1447	34							7303803			10
1448	34							7303803			10
1449	34							7303803			10
1450	29,30,31,32,33,34,36							7303803			10
1451	29,30,31,32,33,34,36							7303803			10
1452	29,30,31,32,33,34,36							7300309	302819		10
1453	29,30,31,32,33,36							7305804			10
1454	29,30,31,32,33,36							7306631			10
1455	29							7306631			10
1456	29							7306631			10
1457	29							7304301			10
1458	29,30,31,32,33,35,37,38,39										10
1459	29,30,31,32,33							301301			10
1460	29,30,31,32,33										10
1461	29,30,31,32,33,35,37,38,39										10
1462	29,30,31,32,33,35,37,38,39							300612			10
1463	35							301301			10
1464	35							301301	302819		10
1465	29,30,31,32,33,35,37,38,39							301301			10
1466	29,30,31,32,33,35							301301			10
1467	29,30,31,32,33,35							301301			10
1468	29,30,31,32,33,35							300612	302819		10
1469	29,30,31,32,33,35							300612	302812		10
1470	29,30,31,32,33,35							301301	302812		10
1471	29,30,31,32,33,35							301301	302812		10
1472	29,30,31,32,33,35							301301			10
1473	29,30,31,32,33,35							301301			10
1474	29,30,31,32,33,35							301301			10
1475	29,30,31,32,33,35							301301			10
1476	29,30,31,32,33,35							301301			10
1477	29,30,31,32,33,35,37,38,39							301301	302819		10
1478	35										10
1479	35										10
1480											10
1481											10
1482	7										20
1483	37										10
1484	37,38,39										10
1485	37,38,39										10
1486	37,38,39										10
1487	37,38,39								7305204		10
1488	37,38,39							7305204			10
1489	38,39								7305407		10
1490	38,39							7305407	7308310		10
1491	38,39								7308310		10
1492	37,38,39								7305551		10
1493	37,38,39							7305551	7305545		10
1494	37,38,39							7305545			10
1495	37,38,39										10
1496	37,38,39										10
1497	37,38,39										10
1498	37,38,39							7305431			10
1499	37,38,39										10
1500	37,38,39								7305551		10
1501	37,38,39							7305551	7305545		10
1502	37,38,39							7305545			10
1503	37,38,39							7305225	7305308		10
1504	37,38,39							7305308			10
1505	37,38,39							7305431			10
1506	37,38,39										10
1507	37,38,39										10
1508	37,38,39										10
1509	37,38,39										10
1510	37,38,39										10
1511	37,38,39										10
1512	37,38,39										10
1513	37,38,39							7305225			10
1514	37,38,39								7305229		10
1515	37,38,39							7305229			10
1516	37,38,39										10
1517	39										10
1518	37							7320408	7320703		10
1519	37							7320703			10
1520	37,38,39										10
1521	29,30,31,32,33,36,37,38,39							302819			10
1522	29,30,31,32,33,36,37,38,39							302819			10
1523	29,30,31,32,33,34,36							302819			10
1524	32							302819			10
1525	29,30,31,32,33,34,36							302819			10
1526	35							302819			10
