等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
33	22	2	3.642	32	2	3.642	21	2	3.704	31	2	3.704
34	22	2	3.725	32	2	3.725	21	2	3.789	31	2	3.789
35	22	2	3.807	32	2	3.807	21	2	3.875	31	2	3.875
36	22	2	3.89	32	2	3.89	21	2	3.962	31	2	3.962
37	22	2	3.972	32	2	3.972	21	2	4.048	31	2	4.048
38	22	2	4.055	32	2	4.055	21	2	4.134	31	2	4.134
39	22	2	4.138	32	2	4.138	21	2	4.22	31	2	4.22
40	22	2	4.22	32	2	4.22	21	2	4.307	31	2	4.307
41	22	2	4.303	32	2	4.303	21	2	4.393	31	2	4.393
42	22	2	4.385	32	2	4.385	21	2	4.48	31	2	4.48
43	22	2	4.468	32	2	4.468	21	2	4.567	31	2	4.567
44	22	2	4.55	32	2	4.55	21	2	4.653	31	2	4.653
45	22	2	4.633	32	2	4.633	21	2	4.74	31	2	4.74
46	22	2	4.716	32	2	4.716	21	2	4.827	31	2	4.827
47	22	2	4.798	32	2	4.798	21	2	4.914	31	2	4.914
48	22	2	4.881	32	2	4.881	21	2	5.001	31	2	5.001
49	22	2	4.963	32	2	4.963	21	2	5.089	31	2	5.089
50	22	2	5.046	32	2	5.046	21	2	5.176	31	2	5.176
51	22	2	5.128	32	2	5.128	21	2	5.263	31	2	5.263
52	22	2	5.211	32	2	5.211	21	2	5.351	31	2	5.351
53	22	2	5.294	32	2	5.294	21	2	5.438	31	2	5.438
54	22	2	5.376	32	2	5.376	21	2	5.526	31	2	5.526
55	22	2	5.459	32	2	5.459	21	2	5.614	31	2	5.614
56	22	2	5.541	32	2	5.541	21	2	5.702	31	2	5.702
57	22	2	5.624	32	2	5.624	21	2	5.79	31	2	5.79
58	22	2	5.706	32	2	5.706	21	2	5.878	31	2	5.878
59	22	2	5.789	32	2	5.789	21	2	5.966	31	2	5.966
60	22	2	5.872	32	2	5.872	21	2	6.054	31	2	6.054
61	22	2	5.954	32	2	5.954	21	2	6.142	31	2	6.142
62	22	2	6.037	32	2	6.037	21	2	6.23	31	2	6.23
63	22	2	6.119	32	2	6.119	21	2	6.319	31	2	6.319
64	22	2	6.202	32	2	6.202	21	2	6.407	31	2	6.407
65	22	2	6.284	32	2	6.284	21	2	6.496	31	2	6.496
66	22	2	6.367	32	2	6.367	21	2	6.585	31	2	6.585
67	22	2	6.45	32	2	6.45	21	2	6.673	31	2	6.673
68	22	2	6.532	32	2	6.532	21	2	6.762	31	2	6.762
69	22	2	6.615	32	2	6.615	21	2	6.851	31	2	6.851
70	22	2	6.697	32	2	6.697	21	2	6.94	31	2	6.94
71	22	2	6.78	32	2	6.78	21	2	7.029	31	2	7.029
72	22	2	6.862	32	2	6.862	21	2	7.119	31	2	7.119
73	22	2	6.945	32	2	6.945	21	2	7.208	31	2	7.208
74	22	2	7.028	32	2	7.028	21	2	7.297	31	2	7.297
75	22	2	7.11	32	2	7.11	21	2	7.387	31	2	7.387
76	22	2	7.193	32	2	7.193	21	2	7.476	31	2	7.476
77	22	2	7.275	32	2	7.275	21	2	7.566	31	2	7.566
78	22	2	7.358	32	2	7.358	21	2	7.656	31	2	7.656
79	22	2	7.44	32	2	7.44	21	2	7.746	31	2	7.746
80	22	2	7.523	32	2	7.523	21	2	7.836	31	2	7.836
81	22	2	7.606	32	2	7.606	21	2	7.926	31	2	7.926
82	22	2	7.688	32	2	7.688	21	2	8.016	31	2	8.016
83	22	2	7.771	32	2	7.771	21	2	8.106	31	2	8.106
84	22	2	7.853	32	2	7.853	21	2	8.196	31	2	8.196
85	22	2	7.936	32	2	7.936	21	2	8.286	31	2	8.286
86	22	2	8.018	32	2	8.018	21	2	8.377	31	2	8.377
87	22	2	8.101	32	2	8.101	21	2	8.467	31	2	8.467
88	22	2	8.183	32	2	8.183	21	2	8.558	31	2	8.558
89	22	2	8.266	32	2	8.266	21	2	8.649	31	2	8.649
90	22	2	8.349	32	2	8.349	21	2	8.739	31	2	8.739
91	22	2	8.431	32	2	8.431	21	2	8.83	31	2	8.83
92	22	2	8.514	32	2	8.514	21	2	8.921	31	2	8.921
93	22	2	8.596	32	2	8.596	21	2	9.012	31	2	9.012
94	22	2	8.679	32	2	8.679	21	2	9.103	31	2	9.103
95	22	2	8.761	32	2	8.761	21	2	9.195	31	2	9.195
96	22	2	8.844	32	2	8.844	21	2	9.286	31	2	9.286
97	22	2	8.927	32	2	8.927	21	2	9.377	31	2	9.377
98	22	2	9.009	32	2	9.009	21	2	9.469	31	2	9.469
99	22	2	9.092	32	2	9.092	21	2	9.56	31	2	9.56
100	22	2	9.174	32	2	9.174	21	2	9.652	31	2	9.652
