子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
2100402	21004	2			1		1	99902	3											2	2100402																																																																										
2100480	21004	3			1															20			whitout_quest	1										2	2100401																			1																																									
2100481	21004	4			1		1	2100480	3											2	2100481													2	2100401																						14	2100480			15	3	133104053															15	3	133104053															
2100403	21004	5			1		1	2100401	3											24	210040301			4																														1			23	2100414	1																			15	3	133104053															
2100410	21004	10	1		0		1	2100401	3											20			133104053_progress1	1																														1	100444	1	23	210040301	1																																				
2100411	21004	11	1		0		1	2100401	3											20			133104053_progress2	1																														1	100445	1	23	210040301	1																																				
2100412	21004	12	1		0		1	2100401	3											20			133104053_progress3	1																				1		Q21004_ClueWind	40	3						1	100442	1	23	210040301	1																																				
2100413	21004	13	1		0		1	2100401	3											20			133104053_progress4	1																														1	100443	1	23	210040301	1																																				
2100414	21004	14			1		1	2100401	3											24	2100414			1																														1																								15	3	133104053															
2100420	21004	20			0		1	2100403	3										2	2	2100420				24	210042001		1																2		2211		3	4	2				1			15	3	133104053																			15	3	133104053								2211							
2100421	21004	21			1		1	2100403	3											20			find_secret	1																														1			23	210042001	1																																				
2100422	21004	22			0	1	1	2100420	3		1	2100421	2							20			find_secret	1																														1																																									
2100430	21004	30			0	2	1	2100421	3		1	2100422	3						2	20			active_gurdian	1	20		any_gurdian_die	1																										1																								15	3	133104053															
2100431	21004	31			0		1	2100430	3											20			defeat_gurdian	1																				1		Q21004_GurdianArea	60	3						1																																									
2100432	21004	32			0		1	2100431	3											20			unlock_dungeon	1																				1		Q21004_Center		3						1																								15	3	133104053															
2100440	21004	40			0		1	2100432	3										2	20			get_reward	1																				1		Q21004_TreasureBox	30	3						1																																									
2100450	21004	50			0		1	2100440	3											2	2100450																							2		2211		3	3	2		1		1			15	3	133104053		29	100442,100443,100444,100445																										2211							
2100501	21005	1			1															2	2100508																																	1																																									
2100509	21005	2			1		1	2100501	3											4	2100509																																																																										
2100502	21005	3			1		1	2100509	3											20			1331041380101	1										20			1331041380102	1																															14	2100501								15	3	133104138															
2100503	21005	4			1		1	2100502	3											2	2100509																																	1																																									
2100510	21005	5			1		1	2100503	3											4	2100510																																																																										
2100504	21005	6			1		1	2100510	3											20			1331041380201	1										20			1331041380202	1																															14	2100503								15	3	133104138															
2100505	21005	7			1		1	2100504	3											2	2100510																																	1																																									
2100511	21005	8			1		1	2100505	3											4	2100511																																																																										
2100506	21005	9			1		1	2100511	3											20			1331041380301	1										20			1331041380302	1																															14	2100505								15	3	133104138															
2100507	21005	10			1		1	2100506	3											2	2100511																																	1																																									
2100512	21005	11			1		1	2100507	3											4	2100512																																																																										
2100508	21005	12			1		1	2100512	3											20			1331041380401	1										20			1331041380402	1																			14	2100507											14	2100507								15	3	133104138															
2100716	21007	17			1		38	2100707												2	2100707																																																																		20069		1100						
2100701	21007	2					1	2100716	3											2	2100701																							1		Q2100708_Target	100	3		2							15	3	133105272		15	3	133105273		15	3	133105274																												
2100702	21007	3			1		1	2100701	3											24	210070201			4																														1			15	3	133105169		23	2100709	1															19	3	133105167,2															
2100703	21007	4	1				1	2100701	3											20			133105167_progress1	1																				1		Q2100703_Target	40	3		2							23	210070201	1																																				
2100704	21007	5	1				1	2100701	3											20			133105167_progress2	1																				1		Q2100704_Target	40	3		2							23	210070201	1																																				
2100705	21007	6	1				1	2100701	3											20			133105167_progress3	1																				1		Q2100705_Target	40	3		2							23	210070201	1																																				
2100706	21007	7	1				1	2100701	3											20			133105167_progress4	1																				1		Q2100706_Target	40	3		2							23	210070201	1																																				
2100711	21007	8			1		1	2100703	3											2	2100703																																																																										
2100712	21007	9			1		1	2100704	3											2	2100702																																																																										
2100713	21007	10			1		1	2100705	3											2	2100704																																																																										
2100714	21007	11			1		1	2100706	3											2	2100705																																																																										
2100709	21007	12			1		1	2100701	3											24	2100709			1																														1																																									
2100707	21007	13					1	2100702	3											20			133105169_progress1	1																				1		Q2100707_Target	40	3		2				1			15	3	133105167																			19	3	133105169,2	19	3	133105047,2												
2100708	21007	14					1	2100707	3											7	133105168			1										21																				1			15	3	133105170										14	2100707								19	3	133105168,2															
2100720	21007	17					1	2100708	3											20			133105170_progress1	1																				1		Q21007_Finish		3	3	2				1																																									
2100710	21007	15					1	2100720	3											2	2100706																															1																																											
2100800	21008	1			1		1	99902	3											2	2100800																																																																										
2100801	21008	2			1		1	2100800	3											2	2100802																																																																										
2100802	21008	3			1		1	2100801	3											24	210080201			3																														1			23	2100806	1																			19	3	133104217,1															
2100803	21008	4	1		0		1	2100801	3											20			133104217_progress1	1																				1		Q21008Touch01		3						1			23	210080201	1																																				
2100804	21008	5	1		0		1	2100801	3											20			133104217_progress2	1																				1		Q21008Touch02		3						1			23	210080201	1																																				
2100805	21008	6	1		0		1	2100801	3											20			133104217_progress3	1																				1		Q21008Touch03		3						1			23	210080201	1																																				
2100806	21008	7			1		1	2100801	3											24	2100806			1																														1																																									
2100810	21008	10			0		1	2100802	3											2	2100810																							2		2428		3	3	2		1		1			15	3	133104217																																				
2100900	21009	1			1		38	2100901												2	2100901																																																																			2430							
2100910	21009	2			1		1	99902	3											2	2100901																																	1																																									
2100920	21009	3			0		1	2100900	3											27	7																							2		2430		3	3	2				1																								28	7								2430								
2100930	21009	4			0		1	2100920	3											2	2100930																							2		2430		3	3	2		1		1			15	3	133104241																												2430								
2101001	21010	1			1		17	1												20			2101001	1																												1		1			22	2006	0		22	2009	1															19	3	133105180,2															
2101101	21011	1			1		17	1																																																																																							
2101102	21011	2			1		1	2101101	3											2	2101101																																	1																																									
2101103	21011	3			1		1	2101101	3											24	210110301			6																														1																																									
2101110	21011	4	1		1		1	2101102	3											27	2101110																																	1	100001	5	23	210110301	1																			28	2101110																
2101105	21011	5	1		1		1	2101110	3											27	2101105																																	1	100001	5	23	210110301	1																			28	2101105																
2101106	21011	6	1		1		1	2101105	3											27	2101106																																	1	100001	5	23	210110301	1																			28	2101106																
2101107	21011	7	1		1		1	2101106	3											27	2101107																																	1	100001	5	23	210110301	1																			28	2101107																
2101108	21011	8	1		1		1	2101107	3											27	2101108																																	1	100001	5	23	210110301	1																			28	2101108																
2101109	21011	9	1		1		1	2101108	3											27	2101109																																	1	100001	5	23	210110301	1																			28	2101109																
2101104	21011	10			1		1	2101103	3											2	2101103																															1		1																																									
2101201	21012	1			1		1	99902	3											2	2101000			1																																																																							
2101202	21012	2					1	2101201	3											24	133104279			6																														1			23	2101210	1																			19	3	133104279,2	15	3	133104279												
2101203	21012	3	1				1	2101201	3											20			133104279_1	1																				1		Q21012_Pile_01		3						1			23	133104279	1																																				
2101204	21012	4	1				1	2101201	3											20			133104279_2	1																				1		Q21012_Pile_02		3						1			23	133104279	1																																				
2101205	21012	5	1				1	2101201	3											20			133104279_3	1																				1		Q21012_Pile_03		3						1			23	133104279	1																																				
2101206	21012	6	1				1	2101201	3											20			133104279_4	1																				1		Q21012_Pile_04		3						1			23	133104279	1																																				
2101207	21012	7	1				1	2101201	3											20			133104279_5	1																				1		Q21012_Pile_05		3						1			23	133104279	1																																				
2101208	21012	8	1				1	2101201	3											20			133104279_6	1																				1		Q21012_Pile_06		3						1			23	133104279	1																																				
2101210	21012	9			1		1	2101201	3											24	2101210			1																														1																																									
2101209	21012	10					1	2101202	3											2	2101002																							1		Q21012		3				1		1			15	3	133104279																																				
2101501	21015	1			1		38	2101206												2	2101206			1																																																																							
2101502	21015	2			1		1	2101501	3											24	133102357			2																														1			15	3	133102357		23	2101506	1															19	3	133102356,2															
2101503	21015	3	1				1	2101501	3											25	70710021																							1		Q21015hua01	30	3		2				1			23	133102357	1		15	3	133102357																																
2101504	21015	4	1				1	2101501	3											25	70710022																							1		Q21015hua02	30	3		2				1			23	133102357	1		15	3	133102357																																
2101506	21015	5			1		1	2101501	3											24	2101506			1																														1																																									
2101505	21015	6					1	2101502	3											25	70710023																							1		Q21015hua03		3	4	2		1		1			15	3	133102357		35	28100	4															19	3	133102356,3	19	3	133102004,2												
2101901	21019	1			1		1	99902	3											20			133102008_1	1																																																																							
2101902	21019	2					1	99902	3											2	2100602			1										24	2101907	1								1		Q21019biji		3	4	2																			19	3	133102249,1																								
2101903	21019	3			1		1	99902	3											24	133102008			3										24	2101907	1																		1			15	3	133102503		23	2101908	1		15	3	133102699		19	3	133102249,1							19	3	133102249,2	15	3	133102699												
2101904	21019	4	1				1	99902	3											20			133102008_3	1										24	2101907	1								1		Q21019_fang	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																								
2101905	21019	5	1				1	99902	3											20			133102008_4	1										24	2101907	1								1		Q21019_sanjiao	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																								
2101906	21019	6	1				1	99902	3											20			133102008_5	1										24	2101907	1								1		Q21019_yuan	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																								
2101908	21019	7			1		1	99902	3											24	2101908			1										24	2101907	1																		1															19	3	133102249,1																								
2101907	21019	8					1	99902	3											20			133102008_2	1																				1		Q21019_finish		3	4	2		1		1			23	2101907	1																																				
2102000	21020	1			1															2	2102000																																				15	3	133104491																																				
2102010	21020	2			0		1	2102000	3											20			133104492_1	1																				1		Q21020TargetPoint		3	4	2				1			15	3	133104492																			19	3	133104492,2															
2102020	21020	3			0		1	2102010	3											20			133104593_1	1																				1		Q2102020TargetPoint		3	4	2				1			15	3	133104594																			19	3	133104593,2															
2102021	21020	4			0		1	2102020	3											2	2102020																							1		Q2102021TargetPoint		3	4	2				1																								19	3	133104594,2															
2102022	21020	5			0		1	2102021	3											20			133104551	1																												1		1			19	3	133104594,1																			19	3	133104551,2															
2000001	20000	1			1															2	2000008																																	1																																									
2000009	20000	2			1		1	2000001	3											4	2000009																																																																										
2000002	20000	3			1		1	2000009	3											20			2500040440101	1										20			2500040440102	1																															14	2000001								15	3	133102002															
2000003	20000	4			1		1	2000002	3											2	2000009																																	1																																									
2000010	20000	5			1		1	2000003	3											4	2000010																																																																										
2000004	20000	6			1		1	2000010	3											20			2500040440201	1										20			2500040440202	1																															14	2000003								15	3	133102002															
2000005	20000	7			1		1	2000004	3											2	2000010																																	1																																									
2000011	20000	8			1		1	2000005	3											4	2000011																																																																										
2000006	20000	9			1		1	2000011	3											20			2500040440301	1										20			2500040440302	1																															14	2000005								15	3	133102002															
2000007	20000	10			1		1	2000006	3											2	2000011																																	1																																									
2000012	20000	11			1		1	2000007	3											4	2000012																																																																										
2000008	20000	12			1		1	2000012	3											20			2500040440401	1										20			2500040440402	1																			14	2000007											14	2000007								15	3	133102002															
2101301	21013	1			1		1	99902	3																																																																																						
2101311	21013	11			0		1	99902	3																																																																																						
2101399	21013	99			0		1	99902	3																																																																																						
2101400	21014	1			1		1	99902	3											4	2101400																															1		1																																									
2101601	21016	1			1															2	2101608																																	1																																									
2101609	21016	2			1		1	2101601	3											4	2101609																																																																										
2101602	21016	3			1		1	2101609	3											20			1331010620101	1										20			1331010620102	1																															14	2101601								15	3	133101062															
2101603	21016	4			1		1	2101602	3											2	2101609																																	1																																									
2101610	21016	5			1		1	2101603	3											4	2101610																																																																										
2101604	21016	6			1		1	2101610	3											20			1331010620201	1										20			1331010620202	1																															14	2101603								15	3	133101062															
2101605	21016	7			1		1	2101604	3											2	2101610																																	1																																									
2101611	21016	8			1		1	2101605	3											4	2101611																																																																										
2101606	21016	9			1		1	2101611	3											20			1331010620301	1										20			1331010620302	1																															14	2101605								15	3	133101062															
2101607	21016	10			1		1	2101606	3											2	2101611																																	1																																									
2101612	21016	11			1		1	2101607	3											4	2101612																																																																										
2101608	21016	12			1		1	2101612	3											20			1331010620401	1										20			1331010620402	1																			14	2101607											14	2101607								15	3	133101062															
2101701	21017	1			1															2	2101708																																	1																																									
2101709	21017	2			1		1	2101701	3											4	2101709																																																																										
2101702	21017	3			1		1	2101709	3											20			1331052200101	1										20			1331052200102	1																															14	2101701								15	3	133105220															
2101703	21017	4			1		1	2101702	3											2	2101709																																	1																																									
2101710	21017	5			1		1	2101703	3											4	2101710																																																																										
2101704	21017	6			1		1	2101710	3											20			1331052200201	1										20			1331052200202	1																															14	2101703								15	3	133105220															
2101705	21017	7			1		1	2101704	3											2	2101710																																	1																																									
2101711	21017	8			1		1	2101705	3											4	2101711																																																																										
2101706	21017	9			1		1	2101711	3											20			1331052200301	1										20			1331052200302	1																															14	2101705								15	3	133105220															
2101707	21017	10			1		1	2101706	3											2	2101711																																	1																																									
2101712	21017	11			1		1	2101707	3											4	2101712																																																																										
2101708	21017	12			1		1	2101712	3											20			1331052200401	1										20			1331052200402	1																			14	2101707											14	2101707								15	3	133105220															
2101801	21018	1			1		1	99902	3											2	2101802			1																														1																																		2309	1100						
2101803	21018	3	1				1	2101801	3											2	2101806			1																				1		Q21018NPCA_Clue	30	3									23	210181101	1																												2309,230901,2304,230401,2303,230301,2308,230801		1100						
2101805	21018	5	1				1	2101801	3											2	2101809			1																				1		Q21018NPCB_Clue	30	3									23	210181101	1																																				
2101807	21018	7	1				1	2101801	3											2	2101811			1																				1		Q21018NPCC_Clue	30	3									23	210181101	1																																				
2101809	21018	9	1				1	2101801	3											2	2101813			1																				1		Q21018NPCD_Clue	30	3									23	210181101	1																																				
2101811	21018	11			1		1	2101801	3											24	210181101			4																																																																							
2101812	21018	12					1	2101811	3											2	2101808			1																				1		Q21018NPCA_Return		3				1		1																																									
2200001	22000	1					9	26100												2	2200001																							2		203101		3	1	2				1																																	2074,2030,2031								
2200002	22000	2				1	9	26100			1	2200001	3							2	2200002																							2		203101		3	2	2				1																																	2074,2030,2031								
2200003	22000	3	1			1	9	26100			1	2200002	3							20			133107005	4																				1		Q22000Dirt	30	3	2	2							19	3	133107005,1		23	2200005	1															27	3	133107005,2,3,4							2074,2030,2031								
2200005	22000	4			1	1	9	26100			1	2200002	3							24	2200005			1																														1																																									
2200004	22000	5				1	9	26100			1	2200003	3							2	2200003																							2		203101		3	3	2		1		1			24	26100																													2074,2030,2031								
2200101	22001	1					9	26200												2	2200101																							2		203001		3	1	2				1																																	2074,2030,2031								
2200102	22001	2				1	9	26200			1	2200101	3							2	2200106																							2		203001		3	2	2																																					2074,2030,2031								
2200103	22001	3				1	9	26200			1	2200102	3							4	2200103													8	2200103									2		203001		3	2	2				1															14	2200101																	2074,2030,2031								
2200106	22001	4				1	9	26200			1	2200103	3							2	2200103																							2		203101		3	2	2				1																																	2074,2030,2031								
2200104	22001	5	1			1	9	26200			1	2200106	3							5	100026			2																														1																																	2074,2030,2031								
2200105	22001	6				1	9	26200			1	2200104	3							2	2200104													111	100026	2								2		203001		3	3	2		1		1			24	26200			1	100026	2						14	2200104																	2074,2030,2031								
2200201	22002	1					9	26300												2	2200201																							2		203101		3	1	2				1																																	2074,2030,2031								
2200202	22002	2				1	9	26300			1	2200201	3							2	2200202																							2		207401		3	2	2				1																																	2074,2030,2031								
2200203	22002	3	1			1	9	26300			1	2200202	3							5	100026			2																														1																																	2074,2030,2031								
2200204	22002	4				1	9	26300			1	2200203	3							2	2200203													111	100026	2								2		207401		3	3	2		1		1			24	26300			1	100026	2						14	2200203																	2074,2030,2031								
2200301	22003	1					9	26400												2	2200301																							2		220401		3	1	2				1																																	220401,220101,2204,2201								
2200302	22003	2				1	9	26400			1	2200301	3							27	2200302																							2		220401		3	2	2				1																								28	2200302								220401,220101,2204,2201								
2200303	22003	3				1	9	26400			1	2200302	3							2	2200303																							2		220401		3	2	2				1	100376	1																															220401,220101,2204,2201								
2200304	22003	4				1	9	26400			1	2200303	3		3	100376	1			2	2200305																							2		220101		3	2	2				1			29	100376																													220401,220101,2204,2201								
2200305	22003	5				1	9	26400			1	2200304	3							2	2200306																							2		220401		3	3	2		1		1			24	26400																													220401,220101,2204,2201								
2200401	22004	1					9	26500												2	2200401																							2		220101		3	1	2				1			19	3	133104901,2																												220101,2201								
2200402	22004	2				1	9	26500			1	2200401	3							20			1331049011	1																				1		Q22004Target	30	3	4	2				1			19	3	133104901,3																												220101,2201								
2200403	22004	3				1	9	26500			1	2200402	3							20			1331049012	1																				1		Q22004Target	30	3	4	2				1			19	3	133104901,4																												220101,2201								
2200404	22004	4				1	9	26500			1	2200403	3							4	2200404																							1		Q22004Target	30	3	4	2				1			15	3	133104901																												220101,2201								
2200405	22004	5				1	9	26500			1	2200404	3							2	2200403																							2		220101		3	3	2		1		1			24	26500																													220101,2201								
2200501	22005	1					9	26800												2	2200501																							2		2421		3	1	2				1			19	3	133104486,2																												2421		1100						
2200502	22005	2				1	9	26800			1	2200501	3							5	100429																							1		Q22005Find_Item	30	3	4	2				1			19	3	133104486,1																												2421		1100						
2200503	22005	3				1	9	26800			1	2200502	3		3	100429				2	2200503																							2		2421		3	3	2		1		1			29	100429			24	26800																									2421		1100						
2200601	22006	1					9	26801												2	2200601																							2		2421		3	1	2				1			19	3	133104502,2																												2421,2211		1100						
2200602	22006	2				1	9	26801			1	2200601	3							20			1331045021	1																				1		Q22006Find_Item	30	3	4	2				1																																	2421,2211		1100						
2200603	22006	3				1	9	26801			1	2200602	3							20			1331045022	1																				1		Q22006SoRaYaInitPos	30	3	4	2				1																																	2421,2211		1100						
2200604	22006	4				1	9	26801			1	2200603	3							2	2200603																							2		2211		3	4	2				1	100500	1																															2421,2211		1100						
2200605	22006	5				1	9	26801			1	2200604	3		24	1	2			2	2200605																							2		2421		3	3	2		1		1			24	26801			29	100500																									2421,2211		1100						
2200606	22006	6				1	9	26801			1	2200604	3		24	1	1			2	2200606																							2		2421		3	3	2		1		1			24	26801			29	100500																									2421,2211		1100						
2200701	22007	1					9	26802												2	2200701																							2		2421		3	1	2				1	100493	1	19	3	133104515,2																												2421		1100						
2200702	22007	2	1			1	9	26802			1	2200701	3							20			1331045151	1																				1		Q22007Find_Item	30	3	2	2							23	2200707	1																												2421		1100						
2200703	22007	3				1	9	26802			1	2200702	3		1	2200706	3			2	2200703																							1		Q22007Find_Item	30	3	4	2				1			19	3	133104515,3																												2421		1100						
2200704	22007	4				1	9	26802			1	2200703	3							20			1331045152	1																				1		Q22007Find_Item	30	3	2	2				1	100494	1	29	100493																													2421		1100						
2200705	22007	5				1	9	26802			1	2200704	3		3	100494				2	2200704																							2		2421		3	3	2		1		1			29	100494			24	26802																									2421		1100						
2200706	22007	2	1			1	9	26802			1	2200701	3							20			1331045153	1																				1		Q22007Find_Item	30	3	2	2							23	2200707	1																												2421		1100						
2200707	22007	6			1	1	9	26802			1	2200701	3							24	2200707			2																																	23	2200708	1																												2421		1100						
2200708	22007	7			1	1	9	26802			1	2200701	3							24	2200708			1																														1																																	2421		1100						
2200801	22008	1					9	27000												2	2200801																							2		2027		3	1	2				1																																	2027,2028								
2200802	22008	2				1	9	27000			1	2200801	3							27	2200802																							2		2027		3	2	2				1																								28	2200802								2027,2028								
2200803	22008	3				1	9	27000			1	2200802	3							2	2200804																							2		2027		3	3	2		1		1			24	27000																													2027,2028								
2211501	22115	1					9	28100												2	2211501																							2		2306		3	1	1				1			19	3	133102904,2																			19	3	133102239,2	19	3	133102505,2				1624,2306								
2211502	22115	2				1	9	28100			1	2211501	3							6	1174																							1		Q22115NPCBorn	40	3	2	2				1																																	1624,2306								
2211503	22115	3				1	9	28100			1	2211502	3							20			1331029041	1																				1		Q22115NPCBorn	30	3	2	2				1																								15	3	133102904							1624,2306								
2211504	22115	4				1	9	28100			1	2211503	3							2	2211502																							2		1624		3	2	2				1			19	3	133102904,3																												1624,2306								
2211505	22115	5				1	9	28100			1	2211504	3							2	2211503																							2		1005		3	2	2				1																																	1624,2306								
2211506	22115	6	1			1	9	28100			1	2211505	3							24	2211506			3																				1		Q22115NPCBorn	35	3	2	2				1			19	3	133102904,1																												1624,2306								
2211509	22115	7			1	1	9	28100			1	2211505	3							5	100513			1																				1		Q22115NPCBorn	30	3	2	2							23	2211506	1																																				
2211510	22115	8			1	1	9	28100			1	2211505	3							5	100514			1																				1		Q22115NPCBorn	30	3	2	2							23	2211506	1																																				
2211511	22115	9			1	1	9	28100			1	2211505	3							5	100495			1																				1		Q22115NPCBorn	30	3	2	2							23	2211506	1																																				
2211507	22115	10				1	9	28100			1	2211506	3							2	2211505																							2		1624		3	2	2				1			29	100495,100513,100514																													1624,2306								
2211508	22115	11				1	9	28100			1	2211507	3							2	2211506																							2		2306		3	3	2		1		1			24	28100			19	3	133102239,2		19	3	133102505,2																				1624,2306								
2211601	22116	1					9	28200											2	2	2211603				2	2211606			2	2211614														2		1624		3	1	1				1																																	1624,162401								
2211602	22116	1			1	1	9	28200												2	2211603																							2		1624		3	2	2																																					1624,162401								
2211603	22116	1			1	1	9	28200												2	2211606																							2		1624		3	2	2																																					1624,162401								
2211604	22116	1			1	1	9	28200												2	2211614																							2		1624		3	2	2																																					1624,162401								
2211605	22116	1			1	1	9	28200												2	2211602																							2		1624		3	2	2																																					1624,162401								
2211606	22116	2				1	9	28200			1	2211602	3							6	1175																							1		Q22116Battle	30	3	2	2				1			19	3	133104913,2																			19	3	133104075,2							1624,162401								
2211607	22116	3				1	9	28200			1	2211606	3							20			1331049131	1																				1		Q22116Battle	30	3	2	2				1																																	1624,162401								
2211608	22116	4				1	9	28200			1	2211607	3							2	2211605																							2		162401		3	2	2		1		1			24	28200			19	3	133104075,1		19	3	133104913,1																				1624,162401								
2211609	22116	2				1	9	28200			1	2211603	3		24	1	1		2	2	2211610				2	2211621																		2		2001		3	2	2				1	100503	1																															1624,2001,2015								
