ID,类型,子类型,是否忽略navmesh,开启空间寻路,NavmeshMode,LevelEntityConfig,entity排序,指定角色列表,指定角色上限,是否检查关卡产出配置,保底拉回ScenePoint,联机模式,是否支持自定义地图标记,是否删除自定义地图标记,地城场景入口点,工具用地城类型,是否废弃blockbin,是否废弃SceneBin,关联场景ID
2204,5,,,,,,,,,1,,,,,,,,,
1,1,,,,,Level_BigWorld,,,,0,,,,,,,,,
2,1,,,,,Level_BigWorld,,,,0,,,,,,,,,
3,1,,,1,,Level_BigWorld,,,,1,15,,1,,,,,,
4,1,,,,,Level_BigWorld,,,,1,1,,1,1,,,1,,
5,1,,,,,Level_BigWorld,,,,1,1,,1,,,,,,
6,1,,,,,Level_BigWorld,,,,1,1,,1,,,,,,
7,1,,,,,Level_BigWorld,,,,1,2,,1,1,,,1,,
9,1,,,,1,Level_BigWorld,,,,1,33,,1,1,,,1,,
20000,2,,,,,,,,,0,,,,,,,,,
20005,2,,,,,,,,,1,,,,,,,,,
20006,2,,,,,,,,,0,,,,,,,,,
20007,2,,,,,,,,,0,,,,,,,,,
20008,2,,,,,,,,,1,,,,,,,,,
20009,2,,,,,,,,,1,,,,,,,,,
20010,2,,,,,,,,,1,,,,,,,,,
20011,2,,,,,,,,,1,,,,,,,,,
20012,2,,,,,,,,,0,,,,,,,,,
20013,2,,,,,,,,,0,,,,,,,,,
20014,2,,,,,,,,,0,,,,,,,,,
20015,2,,,,,,,,,0,,,,,,,,,
20016,2,,,,,,,,,1,,,,,,,,,
20017,2,,,,,Level_Dvalin_S01,1,10000005#10000007,1,1,,,,,,,,,
20018,2,,,,,Level_Dvalin_S04,1,,,1,,,,,,,,,
20019,2,,,,,,,,,1,,,,,,,,,
20020,2,,,,,Level_Dvalin_S00,1,10000005#10000007,1,1,,,,,,,,,
20022,2,,,,,,,,,1,,,,,,,,,
20023,2,,,,,,,,,1,,,,,,,,,
20024,2,,,,,,,,,1,,,,,,,,,
20025,2,,,,,Level_Dvalin_S04_Recycle,1,,,1,,,,,,,,,
20026,2,,,,,,,,,1,,,,,,,,,
20027,2,,,,,,,,,1,,,,,,,,,
20028,2,,,,,,,,,1,,,,,,,,,
20031,2,,,,,,,,,1,,,,,,,,,
20032,2,,,,,,,,,1,,,,,,,,,
20034,2,,,,,Level_Tartaglia,,,,1,,,,,,,,,
20035,2,,,,,,,,,1,,,,,,,,,
20036,2,,,,,,,,,1,,,,,,,,,
20037,2,,,,,,,,,1,,,,,,,,,
20101,2,,,,,Level_Tartaglia,,,,1,,,,,,,,,
20102,2,,,,,,,,,1,,,,,,,,,
20103,2,,,,,,,,,1,,,,,,,,,
20104,2,,,,,,,,,1,,,,,,,,,
20105,2,,,,,,,,,1,,,,,,,,,
20106,2,,,,,Level_Dahaka_CameraSetting,,,,1,,,,,,,,,
20107,2,,,,,Level_Dahaka_CameraSetting,,,,1,,,,,,,,,
20108,2,,,,,Level_Dahaka_CameraSetting,,,,1,,,,,,,,,
20109,2,,,,,Level_Dahaka_CameraSetting,,,,1,,,,,,,,,
20110,2,,,,,Level_Dahaka_CameraSetting,,,,1,,,,,,,,,
20111,2,,,,,,,,,1,,,,,,,,,
20112,2,,,,,Level_Monster_Shougun_Setting,,,,1,,,,,,,,,
20113,2,,,,,,,,,1,,,,,,,,,
20114,2,,,,,,,,,1,,,,,,,,,
20115,2,,,,,,,,,1,,,,,,,,,
20116,2,,,,,,,,,1,,,,,,,,,
20117,2,,,,,Level_Monster_Shougun_Tachi_Revive,,,,1,,,,,,,,,
20118,2,,,,,,,,,1,,,,,,,,,
20119,2,,,,,,,,,1,,,,,,,,,
20120,2,,,,,,,,,1,,,,,,,,,
20121,2,,,,,,,,,1,,,,,,,,,
20122,2,,,,,Level_Monster_Shougun_Mitakenarukami_AvatarRevive,,,,1,,,,,,,,,
20123,2,,,,,,,,,1,,,,,,,,,
20124,2,,,,,,,,,1,,,,,,,,,
20125,2,,,,,,,,,1,,,,,,,,,
20126,2,,,,,,,,,1,,,,,,,,,
20127,2,,,,,,,,,1,,,,,,,,,
20128,2,,,,,LevelEntity_Activity_V2_7_CYRogue_20128,,,,1,,,,,,,,,
20129,2,,,,,,,,,1,,,,,,,,,
20130,3,,,,,,,,,,,,,,,,,,
20131,2,,,,,,,,,1,,,,,,,,,
20132,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20133,2,1,,,,,,,,1,,,,,9#27,,1,1,
20134,2,1,,,,Level_DreamDungeon_Mona,,,,1,,,,,9#29,,1,1,
20135,2,1,,,,,,,,1,,,,,9#11,,1,1,
20136,2,1,,,,Level_DreamDungeon_Mona,,,,1,,,,,,,1,1,
20137,2,1,,,,,,,,,,,,,9#15,,1,1,
20138,2,1,,,,,,,,,,,,,9#17,,1,1,
20139,2,1,,,,,,,,,,,,,9#19,,1,1,
20140,2,1,,,,,,,,1,,,,,9#13,,1,1,
20141,2,1,,,,,,,,1,,,,,,,1,1,
20142,2,1,,,,,,,,1,,,,,9#9,,1,1,
20143,2,1,,,,,,,,,,,,,,,1,1,
20144,2,1,,,,,,,,,,,,,,,1,1,
20145,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20146,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20147,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20148,2,,,,,,,,,1,,,,,,,,,
20149,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20150,2,,,,,,,,,1,,,,,,,,,
20151,2,,,,,,,,,1,,,,,,,,,
20152,2,,,,,Level_Monster_Nada_Setting,,,,0,,,,,,,,,
20153,2,,,,,Level_Monster_Nada_Setting,,,,1,,,,,,,,,
20154,2,,,,,Level_Monster_Nada_Setting,,,,1,,,,,,,,,
20155,2,,,,,Level_Monster_Nada_Setting,,,,1,,,,,,,,,
20156,2,,,,,Level_Monster_Nada_Setting,,,,1,,,,,,,,,
20157,2,,,,,,,,,1,,,,,,,,,
20158,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20159,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20160,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20161,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20162,2,,,,,,,,,1,,,,,,,,,
20163,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20164,2,,,,,,,,,1,,,,,,,,,
20165,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
20168,2,,,,,Level_Monster_Nada_Setting,,,,1,,,,,,,,,
30001,2,,,,,,,,,0,,,,,,,,,
30100,2,,,,,,,,,1,,,,,,,,,
30101,2,,,,,,,,,1,,,,,,,,,
30102,2,,,,,,,,,1,,,,,,,,,
30103,2,,,,,,,,,1,,,,,,,,,
30104,2,,,,,,,,,1,,,,,,,,,
30200,2,,,,,,,,,1,,,,,,,,,
30201,2,,,,,,,,,1,,,,,,,,,
30202,2,,,,,,,,,1,,,,,,,,,
30203,2,,,,,,,,,1,,,,,,,,,
30204,2,,,,,,,,,1,,,,,,,,,
30300,2,,,,,,,,,1,,,,,,,,,
30301,2,,,,,,,,,1,,,,,,,,,
30302,2,,,,,,,,,1,,,,,,,,,
30303,2,,,,,,,,,1,,,,,,,,,
30304,2,,,,,,,,,1,,,,,,,,,
30400,2,,,,,,,,,1,,,,,,,,,
30401,2,,,,,,,,,1,,,,,,,,,
30402,2,,,,,,,,,1,,,,,,,,,
30403,2,,,,,,,,,1,,,,,,,,,
30404,2,,,,,,,,,1,,,,,,,,,
30500,2,,,,,,,,,1,,,,,,,,,
30501,2,,,,,,,,,1,,,,,,,,,
30502,2,,,,,,,,,1,,,,,,,,,
30503,2,,,,,,,,,1,,,,,,,,,
30504,2,,,,,,,,,1,,,,,,,,,
30600,2,,,,,,,,,1,,,,,,,,,
30601,2,,,,,,,,,1,,,,,,,,,
30602,2,,,,,,,,,1,,,,,,,,,
30603,2,,,,,,,,,1,,,,,,,,,
30604,2,,,,,,,,,1,,,,,,,,,
30700,2,,,,,,,,,1,,,,,,,,,
30701,2,,,,,,,,,1,,,,,,,,,
30702,2,,,,,,,,,1,,,,,,,,,
30703,2,,,,,,,,,1,,,,,,,,,
30704,2,,,,,,,,,1,,,,,,,,,
30800,2,,,,,,,,,1,,,,,,,,,
30801,2,,,,,,,,,1,,,,,,,,,
30802,2,,,,,,,,,1,,,,,,,,,
30803,2,,,,,,,,,1,,,,,,,,,
30804,2,,,,,,,,,1,,,,,,,,,
30900,2,,,,,,,,,1,,,,,,,,,
30901,2,,,,,,,,,1,,,,,,,,,
30902,2,,,,,,,,,1,,,,,,,,,
30903,2,,,,,,,,,1,,,,,,,,,
30904,2,,,,,,,,,1,,,,,,,,,
31000,2,,,,,,,,,1,,,,,,,,,
31001,2,,,,,,,,,1,,,,,,,,,
31002,2,,,,,,,,,1,,,,,,,,,
31003,2,,,,,,,,,1,,,,,,,,,
31004,2,,,,,,,,,1,,,,,,,,,
31100,2,,,,,,,,,1,,,,,,,,,
31101,2,,,,,,,,,1,,,,,,,,,
31102,2,,,,,,,,,1,,,,,,,,,
31103,2,,,,,,,,,1,,,,,,,,,
31104,2,,,,,,,,,1,,,,,,,,,
31200,2,,,,,,,,,1,,,,,,,,,
31201,2,,,,,,,,,1,,,,,,,,,
31202,2,,,,,,,,,1,,,,,,,,,
31203,2,,,,,,,,,1,,,,,,,,,
31204,2,,,,,,,,,1,,,,,,,,,
31300,2,,,,,,,,,1,,,,,,,,,
31301,2,,,,,,,,,1,,,,,,,,,
31302,2,,,,,,,,,1,,,,,,,,,
31303,2,,,,,,,,,1,,,,,,,,,
31304,2,,,,,,,,,1,,,,,,,,,
31400,2,,,,,,,,,1,,,,,,,,,
31401,2,,,,,,,,,1,,,,,,,,,
31402,2,,,,,,,,,1,,,,,,,,,
31403,2,,,,,,,,,1,,,,,,,,,
31404,2,,,,,,,,,1,,,,,,,,,
31500,2,,,,,,,,,1,,,,,,,,,
31501,2,,,,,,,,,1,,,,,,,,,
31502,2,,,,,,,,,1,,,,,,,,,
31503,2,,,,,,,,,1,,,,,,,,,
31504,2,,,,,,,,,1,,,,,,,,,
31600,2,,,,,,,,,1,,,,,,,,,
31601,2,,,,,,,,,1,,,,,,,,,
31602,2,,,,,,,,,1,,,,,,,,,
31603,2,,,,,,,,,1,,,,,,,,,
31604,2,,,,,,,,,1,,,,,,,,,
31700,2,,,,,,,,,1,,,,,,,,,
31701,2,,,,,,,,,1,,,,,,,,,
31702,2,,,,,,,,,1,,,,,,,,,
31703,2,,,,,,,,,1,,,,,,,,,
31704,2,,,,,,,,,1,,,,,,,,,
31800,2,,,,,,,,,1,,,,,,,,,
31801,2,,,,,,,,,1,,,,,,,,,
31802,2,,,,,,,,,1,,,,,,,,,
31803,2,,,,,,,,,1,,,,,,,,,
31804,2,,,,,,,,,1,,,,,,,,,
31900,2,,,,,,,,,1,,,,,,,,,
31901,2,,,,,,,,,1,,,,,,,,,
31902,2,,,,,,,,,1,,,,,,,,,
31903,2,,,,,,,,,1,,,,,,,,,
31904,2,,,,,,,,,1,,,,,,,,,
32000,2,,,,,,,,,1,,,,,,,,,
32001,2,,,,,,,,,1,,,,,,,,,
32002,2,,,,,,,,,1,,,,,,,,,
32003,2,,,,,,,,,1,,,,,,,,,
32004,2,,,,,,,,,1,,,,,,,,,
32100,2,,,,,,,,,1,,,,,,,,,
32101,2,,,,,,,,,1,,,,,,,,,
32102,2,,,,,,,,,1,,,,,,,,,
32103,2,,,,,,,,,1,,,,,,,,,
32104,2,,,,,,,,,1,,,,,,,,,
32200,2,,,,,,,,,1,,,,,,,,,
32201,2,,,,,,,,,1,,,,,,,,,
32202,2,,,,,,,,,1,,,,,,,,,
32203,2,,,,,,,,,1,,,,,,,,,
32204,2,,,,,,,,,1,,,,,,,,,
33100,2,,,,,,,,,1,,,,,,,,,
33101,2,,,,,,,,,1,,,,,,,,,
33102,2,,,,,,,,,1,,,,,,,,,
33103,2,,,,,,,,,1,,,,,,,,,
34100,2,,,,,,,,,1,,,,,,,,,
34101,2,,,,,,,,,1,,,,,,,,,
34102,2,,,,,,,,,1,,,,,,,,,
34103,2,,,,,,,,,1,,,,,,,,,
35100,2,,,,,,,,,1,,,,,,,,,
35101,2,,,,,,,,,1,,,,,,,,,
35102,2,,,,,,,,,1,,,,,,,,,
35103,2,,,,,,,,,1,,,,,,,,,
33401,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33402,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33403,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33404,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34401,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34402,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34403,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34404,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35401,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35402,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35403,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35404,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33700,2,,,,,,,,,1,,,,,,,,,
33701,2,,,,,,,,,1,,,,,,,,,
33702,2,,,,,,,,,1,,,,,,,,,
33703,2,,,,,,,,,1,,,,,,,,,
33704,2,,,,,,,,,1,,,,,,,,,
33705,2,,,,,,,,,1,,,,,,,,,
33706,2,,,,,,,,,1,,,,,,,,,
33707,2,,,,,,,,,1,,,,,,,,,
33708,2,,,,,,,,,1,,,,,,,,,
33709,2,,,,,,,,,1,,,,,,,,,
33710,2,,,,,,,,,1,,,,,,,,,
33711,2,,,,,,,,,1,,,,,,,,,
33712,2,,,,,,,,,1,,,,,,,,,
33713,2,,,,,,,,,1,,,,,,,,,
33714,2,,,,,,,,,1,,,,,,,,,
33715,2,,,,,,,,,1,,,,,,,,,
33716,2,,,,,,,,,1,,,,,,,,,
33717,2,,,,,,,,,1,,,,,,,,,
33718,2,,,,,,,,,1,,,,,,,,,
33719,2,,,,,,,,,1,,,,,,,,,
33720,2,,,,,,,,,1,,,,,,,,,
33721,2,,,,,,,,,1,,,,,,,,,
33722,2,,,,,,,,,1,,,,,,,,,
33723,2,,,,,,,,,1,,,,,,,,,
33724,2,,,,,,,,,1,,,,,,,,,
33725,2,,,,,,,,,1,,,,,,,,,
33726,2,,,,,,,,,1,,,,,,,,,
33727,2,,,,,,,,,1,,,,,,,,,
33728,2,,,,,,,,,1,,,,,,,,,
33729,2,,,,,,,,,1,,,,,,,,,
33730,2,,,,,,,,,1,,,,,,,,,
33731,2,,,,,,,,,1,,,,,,,,,
33732,2,,,,,,,,,1,,,,,,,,,
33733,2,,,,,,,,,1,,,,,,,,,
33734,2,,,,,,,,,1,,,,,,,,,
33735,2,,,,,,,,,1,,,,,,,,,
33736,2,,,,,,,,,1,,,,,,,,,
33737,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33738,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33739,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33740,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33741,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33742,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33743,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
33744,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34700,2,,,,,,,,,1,,,,,,,,,
34701,2,,,,,,,,,1,,,,,,,,,
34702,2,,,,,,,,,1,,,,,,,,,
34703,2,,,,,,,,,1,,,,,,,,,
34704,2,,,,,,,,,1,,,,,,,,,
34705,2,,,,,,,,,1,,,,,,,,,
34706,2,,,,,,,,,1,,,,,,,,,
34707,2,,,,,,,,,1,,,,,,,,,
34708,2,,,,,,,,,1,,,,,,,,,
34709,2,,,,,,,,,1,,,,,,,,,
34710,2,,,,,,,,,1,,,,,,,,,
34711,2,,,,,,,,,1,,,,,,,,,
34712,2,,,,,,,,,1,,,,,,,,,
34713,2,,,,,,,,,1,,,,,,,,,
34714,2,,,,,,,,,1,,,,,,,,,
34715,2,,,,,,,,,1,,,,,,,,,
34716,2,,,,,,,,,1,,,,,,,,,
34717,2,,,,,,,,,1,,,,,,,,,
34718,2,,,,,,,,,1,,,,,,,,,
34719,2,,,,,,,,,1,,,,,,,,,
34720,2,,,,,,,,,1,,,,,,,,,
34721,2,,,,,,,,,1,,,,,,,,,
34722,2,,,,,,,,,1,,,,,,,,,
34723,2,,,,,,,,,1,,,,,,,,,
34724,2,,,,,,,,,1,,,,,,,,,
34725,2,,,,,,,,,1,,,,,,,,,
34726,2,,,,,,,,,1,,,,,,,,,
34727,2,,,,,,,,,1,,,,,,,,,
34728,2,,,,,,,,,1,,,,,,,,,
34729,2,,,,,,,,,1,,,,,,,,,
34730,2,,,,,,,,,1,,,,,,,,,
34731,2,,,,,,,,,1,,,,,,,,,
34732,2,,,,,,,,,1,,,,,,,,,
34733,2,,,,,,,,,1,,,,,,,,,
34734,2,,,,,,,,,1,,,,,,,,,
34735,2,,,,,,,,,1,,,,,,,,,
34736,2,,,,,,,,,1,,,,,,,,,
34737,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34738,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34739,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34740,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34741,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34742,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34743,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
34744,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35700,2,,,,,,,,,1,,,,,,,,,
35701,2,,,,,,,,,1,,,,,,,,,
35702,2,,,,,,,,,1,,,,,,,,,
35703,2,,,,,,,,,1,,,,,,,,,
35704,2,,,,,,,,,1,,,,,,,,,
35705,2,,,,,,,,,1,,,,,,,,,
35706,2,,,,,,,,,1,,,,,,,,,
35707,2,,,,,,,,,1,,,,,,,,,
35708,2,,,,,,,,,1,,,,,,,,,
35709,2,,,,,,,,,1,,,,,,,,,
35710,2,,,,,,,,,1,,,,,,,,,
35711,2,,,,,,,,,1,,,,,,,,,
35712,2,,,,,,,,,1,,,,,,,,,
35713,2,,,,,,,,,1,,,,,,,,,
35714,2,,,,,,,,,1,,,,,,,,,
35715,2,,,,,,,,,1,,,,,,,,,
35716,2,,,,,,,,,1,,,,,,,,,
35717,2,,,,,,,,,1,,,,,,,,,
35718,2,,,,,,,,,1,,,,,,,,,
35719,2,,,,,,,,,1,,,,,,,,,
35720,2,,,,,,,,,1,,,,,,,,,
35721,2,,,,,,,,,1,,,,,,,,,
35722,2,,,,,,,,,1,,,,,,,,,
35723,2,,,,,,,,,1,,,,,,,,,
35724,2,,,,,,,,,1,,,,,,,,,
35725,2,,,,,,,,,1,,,,,,,,,
35726,2,,,,,,,,,1,,,,,,,,,
35727,2,,,,,,,,,1,,,,,,,,,
35728,2,,,,,,,,,1,,,,,,,,,
35729,2,,,,,,,,,1,,,,,,,,,
35730,2,,,,,,,,,1,,,,,,,,,
35731,2,,,,,,,,,1,,,,,,,,,
35732,2,,,,,,,,,1,,,,,,,,,
35733,2,,,,,,,,,1,,,,,,,,,
35734,2,,,,,,,,,1,,,,,,,,,
35735,2,,,,,,,,,1,,,,,,,,,
35736,2,,,,,,,,,1,,,,,,,,,
35737,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35738,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35739,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35740,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35741,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35742,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35743,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35744,2,,,,,LevelEntity_ClearLocalGadgets,,,,1,,,,,,,,,
35800,2,,,,,Level_WindFlora_Dungeon,,,,1,,,,,,,,,
35801,2,,,,,,,,,1,,,,,,,,,
35802,2,,,,,,,,,1,,,,,,,,,
35803,2,,,,,,,,,1,,,,,,,,,
35804,2,,,,,,,,,1,,,,,,,,,
35805,2,,,,,,,,,1,,,,,,,,,
35806,2,,,,,,,,,1,,,,,,,,,
35807,2,,,,,,,,,1,,,,,,,,,
35808,2,,,,,,,,,1,,,,,,,,,
35809,2,,,,,,,,,1,,,,,,,,,
35810,2,,,,,,,,,1,,,,,,,,,
35811,2,,,,,,,,,1,,,,,,,,,
35812,2,,,,,,,,,1,,,,,,,,,
35813,2,,,,,,,,,1,,,,,,,,,
35814,2,,,,,,,,,1,,,,,,,,,
35815,2,,,,,,,,,1,,,,,,,,,
35816,2,,,,,,,,,1,,,,,,,,,
35817,2,,,,,,,,,1,,,,,,,,,
35818,2,,,,,,,,,1,,,,,,,,,
35820,2,,,,,,,,,,,,,,,,,,
35821,2,,,,,,,,,,,,,,,,,,
35822,2,,,,,,,,,,,,,,,,,,
35823,2,,,,,,,,,,,,,,,,,,
35824,2,,,,,,,,,,,,,,,,,,
35825,2,,,,,,,,,,,,,,,,,,
35826,2,,,,,,,,,,,,,,,,,,
35827,2,,,,,,,,,,,,,,,,,,
35828,2,,,,,,,,,,,,,,,,,,
35829,2,,,,,,,,,,,,,,,,,,
35830,2,,,,,,,,,,,,,,,,,,
35831,2,,,,,,,,,,,,,,,,,,
35840,2,,,,,,,,,,,,,,,,,,
35841,2,,,,,,,,,,,,,,,,,,
35842,2,,,,,,,,,,,,,,,,,,
35843,2,,,,,,,,,,,,,,,,,,
35844,2,,,,,,,,,,,,,,,,,,
35845,2,,,,,,,,,,,,,,,,,,
35846,2,,,,,,,,,1,,,,,,,,,
35847,2,,,,,,,,,1,,,,,,,,,
35848,2,,,,,,,,,1,,,,,,,,,
35849,2,,,,,,,,,1,,,,,,,,,
35850,2,,,,,,,,,1,,,,,,,,,
35851,2,,,,,,,,,1,,,,,,,,,
35852,2,,,,,Level_DreamDungeon_Mona,,,,1,,,,,,,,,
35853,2,,,,,Level_DreamDungeon_Mona,,,,1,,,,,,,,,
35860,2,,,,,,,,,1,,,,,,,,,
35861,2,,,,,,,,,1,,,,,,,,,
35862,2,,,,,,,,,1,,,,,,,,,
35863,2,,,,,,,,,1,,,,,,,,,
40001,2,,,,,,,,,0,,,,,,,,,
40002,2,,,,,,,,,0,,,,,,,,,
40003,2,,,,,,,,,0,,,,,,,,,
40004,2,,,,,,,,,1,,,,,,,,,
40005,2,,,,,,,,,0,,,,,,,,,
40006,2,,,,,,,,,0,,,,,,,,,
40007,2,,,,,,,,,0,,,,,,,,,
40008,2,,,,,,,,,0,,,,,,,,,
40009,2,,,,,,,,,0,,,,,,,,,
40010,2,,,,,,,,,1,,,,,,,,,
40012,2,,,,,,,,,1,,,,,,,,,
40013,2,,,,,,,,,1,,,,,,,,,
40014,2,,,,,,,,,1,,,,,,,,,
40015,2,,,,,,,,,1,,,,,,,,,
40016,2,,,,,,,,,1,,,,,,,,,
40017,2,,,,,,,,,0,,,,,,,,,
40018,2,,,,,,,,,0,,,,,,,,,
40019,2,,,,,,,,,1,,,,,,,,,
40020,2,,,,,,,,,1,,,,,,,,,
40021,2,,,,,,,,,0,,,,,,,,,
40022,2,,,,,,,,,1,,,,,,,,,
40023,2,,,,,,,,,1,,,,,,,,,
40024,2,,,,,,,,,1,,,,,,,,,
40025,2,,,,,,,,,1,,,,,,,,,
40026,2,,,,,,,,,1,,,,,,,,,
40027,2,,,,,,,,,1,,,,,,,,,
40028,2,,,,,,,,,1,,,,,,,,,
40029,2,,,,,,,,,1,,,,,,,,,
40030,2,,,,,,,,,1,,,,,,,,,
40031,2,,,,,,,,,1,,,,,,,,,
40032,2,,,,,,,,,1,,,,,,,,,
40033,2,,,,,,,,,1,,,,,,,,,
