挂节点类型	ID	区域ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互	存档类型	禁止联机模式下交互	是否为多态采集物	能否被草神扫描
2047	3003138	004	70540035	101214		0	10	10	999921	3003	20			4			1
2048	3003139	004	70540043	101215		0	10	10	999921	3003	20			4			1
2049	3003140	999	70540036	101216		0	10	10	999900	3003	20			1			1
2050	3003141	004	70540038	101217		0	10	10	999921	3003	20			4			1
2051	3003142	999	70540040	101218		0	10	10	999900	3003	20			1			1
2052	3003143	999	70540042	101219		0	10	10	999900	3003	20			1			1
2053	3003144	004	70540046	101220		0	10	10	999921	3003	20			4			1
2054	3003145	999	70540047	101221		0	10	10	999900	3003	20			1			1
2055	3003146	004	70540049	101222		0	10	10	999921	3003	20			4			1
2056	3003147	004	70540014	101223		0	10	10	999921	3003	20			4			1
2057	3003148	004	70540045	101228		0	10	10	999932	3003	20	1		3			
2058	3003149	004	70290499	100012		0	10	10	999900	3003	60	1		1			1
4001001	3003026		70590004	107001		0	1	10	0	3003	100		1	0			
4002	3003026		70590021	107003		0	1	10	0	3003	100		1	0			
4001003	3003028		70600064	100151		1	10	10	0	3003	1			0			
4003	3003029		70590031	107010		0	1	10	0	3003	100		1	0			
4004	3003032		70590034	107011		0	1	10	0	3003	100			0			
4005	3003026		70590041	107014		0	1	10	0	3003	100		1	0			
4006	3003030		70590042	107015		0	1	10	0	3003	100		1	0			
4007	3003031		70590049	100934		0	1	10	0	3003	100		1	0			
4008	3003032		70590050	100935		0	1	10	0	3003	100		1	0			
4009	3003033		70590051	100936		0	1	10	0	3003	100		1	0			
4010	3003034		70590052	100937		0	1	10	0	3003	100		1	0			
4011	3003035		70590053	100938		0	1	10	0	3003	100		1	0			
4012	3003036		70590057	107016	101713	0	1	10	0	3003	100		1	0			
4013	3003037		70590057	107016	101713	0	1	10	0	3003	100		1	0			
4014	3003038		70590063	107017		0	1	10	0	3003	100		1	0			
7034	3003039		70560005	100084		0	10	10	0	3003	20		1	0			
9001	1004001		71700002	100178		1	1	10	0	1004	1		1	0			
9002	1004002		71700003	100179		1	1	10	0	1004	1		1	0			
9003	1004003		71700004	100180		1	1	10	0	1004	1		1	0			
9004	1004004		71700005	100181		1	1	10	0	1004	1		1	0			
9005	1004005		71700006	100182		1	1	10	0	1004	1		1	0			
9006	1004006		71700007	100183		1	1	10	0	1004	1		1	0			
9007	1004007		71700009	100188		1	1	10	0	1004	1		1	0			
9008	1004008		71700010	100189		1	1	10	0	1004	1		1	0			
9009	1004009		71700011	100190		1	1	10	0	1004	1		1	0			
9010	1004010		71700012	100191		1	1	10	0	1004	1		1	0			
9011	1004011		71700013	100192		1	1	10	0	1004	1		1	0			
9012	1004012		71700014	100193		1	1	10	0	1004	1		1	0			
9013	1004013		71700015	100194		1	1	10	0	1004	1		1	0			
9014	1004014		71700016	100195		1	1	10	0	1004	1		1	0			
9015	1004015		71700017	100196		1	1	10	0	1004	1		1	0			
9016	1004016		71700018	100197		1	1	10	0	1004	1		1	0			
9017	1004017		71700019	100198		1	1	10	0	1004	1		1	0			
9018	1004018		71700020	100199		1	1	10	0	1004	1		1	0			
9019	1004019		71700021	100200		1	1	10	0	1004	1		1	0			
9020	1004020		71700023	100202		1	1	10	0	1004	1		1	0			
9021	1004021		71700024	100203		1	1	10	0	1004	1		1	0			
9022	1004022		71700025	100204		1	1	10	0	1004	1		1	0			
9023	1004023		71700026	100205		1	1	10	0	1004	1		1	0			
9024	1004024		71700027	100206		1	1	10	0	1004	1		1	0			
9025	1004025		71700028	100207		1	1	10	0	1004	1		1	0			
9026	1004026		71700029	100208		1	1	10	0	1004	1		1	0			
9027	1004027		71700022	100201		1	1	10	0	1004	1		1	0			
9028	1004028		71700039	100223		1	1	10	0	1004	1		1	0			
9029	1004029		71700042	100226		1	1	10	0	1004	1		1	0			
9030	1004030		71700043	100227		1	1	10	0	1004	1		1	0			
9031	1004031		71700044	100228		1	1	10	0	1004	1		1	0			
9032	1004032		71700048	100229		1	1	10	0	1004	1		1	0			
9033	1004033		71700049	100230		1	1	10	0	1004	1		1	0			
9034	1004034		71700050	100239		1	1	10	0	1004	1		1	0			
9035	1004035		71700051	100240		1	1	10	0	1004	1		1	0			
9036	1004036		71700052	100241		1	1	10	0	1004	1		1	0			
9037	1004037		71700054	100388		1	1	10	0	1004	1		1	0			
9038	1004038		71700055	100389		1	1	10	0	1004	1		1	0			
9039	1004039		71700056	100390		1	1	10	0	1004	1		1	0			
9040	1004040		71700057	100391		1	1	10	0	1004	1		1	0			
9041	1004041		71700058	100399		1	1	10	0	1004	1		1	0			
9042	1004042		71700059	100400		1	1	10	0	1004	1		1	0			
9043	1004043		71700060	100401		1	1	10	0	1004	1		1	0			
9044	1004044		71700061	100402		1	1	10	0	1004	1		1	0			
9045	1004045		71700062	100403		1	1	10	0	1004	1		1	0			
9046	1004046		71700063	100404		1	1	10	0	1004	1		1	0			
9047	1004047		71700064	100405		1	1	10	0	1004	1		1	0			
9048	1004048		71700065	100406		1	1	10	0	1004	1		1	0			
9049	1004049		71700066	100407		1	1	10	0	1004	1		1	0			
9050	1004050		71700067	100408		1	1	10	0	1004	1		1	0			
9051	1004051		71700068	100409		1	1	10	0	1004	1		1	0			
9052	1004052		71700069	100410		1	1	10	0	1004	1		1	0			
9053	1004053		71700070	100411		1	1	10	0	1004	1		1	0			
9054	1004054		71700071	100412		1	1	10	0	1004	1		1	0			
9055	1004055		71700072	100413		1	1	10	0	1004	1		1	0			
9056	1004056		71700074	100426		1	1	10	0	1004	1		1	0			
9057	1004057		71700078	100432		1	1	10	0	1004	1		1	0			
9058	1004058		71700079	100433		1	1	10	0	1004	1		1	0			
9059	1004059		71700080	100434		1	1	10	0	1004	1		1	0			
9060	1004060		71700081	100435		1	1	10	0	1004	1		1	0			
9061	1004061		71700082	100436		1	1	10	0	1004	1		1	0			
9062	1004062		71700084	100437		1	1	10	0	1004	1		1	0			
9063	1004063		71700085	100438		1	1	10	0	1004	1		1	0			
9064	1004064		71700086	100439		1	1	10	0	1004	1		1	0			
9065	1004065		71700087	100440		1	1	10	0	1004	1		1	0			
9066	1004066		71700088	100441		1	1	10	0	1004	1		1	0			
9067	1004067		71700089	100442		1	1	10	0	1004	1		1	0			
9068	1004068		71700090	100443		1	1	10	0	1004	1		1	0			
9069	1004069		71700091	100444		1	1	10	0	1004	1		1	0			
9070	1004070		71700092	100445		1	1	10	0	1004	1		1	0			
9071	1004071		71700110	100480		1	1	10	0	1004	1		1	0			
9072	1004072		71700111	100481		1	1	10	0	1004	1		1	0			
9073	1004073		71700112	100482		1	1	10	0	1004	1		1	0			
9074	1004074		71700113	100483		1	1	10	0	1004	1		1	0			
9075	1004075		71700114	100484		1	1	10	0	1004	1		1	0			
9076	1004076		71700115	100507		1	1	10	0	1004	1		1	0			
9077	1004077		71700116	100508		1	1	10	0	1004	1		1	0			
9078	1004078		71700117	100509		1	1	10	0	1004	1		1	0			
9079	1004079		71700124	100564		1	1	10	0	1004	1		1	0			
9080	1004080		71700125	100565		1	1	10	0	1004	1		1	0			
9081	1004081		71700126	100566		1	1	10	0	1004	1		1	0			
9082	1004082		71700127	100567		1	1	10	0	1004	1		1	0			
9083	1004083		71700128	100568		1	1	10	0	1004	1		1	0			
9084	1004084		71700129	100569		1	1	10	0	1004	1		1	0			
9085	1004085		71700130	100570		1	1	10	0	1004	1		1	0			
9086	1004086		71700131	100571		1	1	10	0	1004	1		1	0			
9087	1004087		71700132	100572		1	1	10	0	1004	1		1	0			
9088	1004088		71700133	100573		1	1	10	0	1004	1		1	0			
9089	1004089		71700134	100574		1	1	10	0	1004	1		1	0			
9090	1004090		71700135	100575		1	1	10	0	1004	1		1	0			
9091	1004091		71700136	100576		1	1	10	0	1004	1		1	0			
9092	1004092		71700137	100577		1	1	10	0	1004	1		1	0			
9093	1004093		71700138	100578		1	1	10	0	1004	1		1	0			
9094	1004094		71700139	100579		1	1	10	0	1004	1		1	0			
9095	1004095		71700140	100580		1	1	10	0	1004	1		1	0			
9096	1004096		70710170	100583		1	1	10	0	1004	1		1	0			
9097	1004097		71700141	100586		1	1	10	0	1004	1		1	0			
9098	1004098		71700142	100587		1	1	10	0	1004	1		1	0			
9099	1004099		71700143	100588		1	1	10	0	1004	1		1	0			
9200	1004100		71700144	100589		1	1	10	0	1004	1		1	0			
9201	1004101		71700145	100590		1	1	10	0	1004	1		1	0			
9202	1004102		71700146	100591		1	1	10	0	1004	1		1	0			
9203	1004103		71700147	100592		1	1	10	0	1004	1		1	0			
9204	1004104		71700148	100593		1	1	10	0	1004	1		1	0			
9205	1004105		71700155	100607		1	1	10	0	1004	1		1	0			
9206	1004106		71700156	100608		1	1	10	0	1004	1		1	0			
9207	1004107		71700157	100609		1	1	10	0	1004	1		1	0			
9208	1004108		71700158	100610		1	1	10	0	1004	1		1	0			
9209	1004109		71700159	100611		1	1	10	0	1004	1		1	0			
9210	1004110		71700160	100612		1	1	10	0	1004	1		1	0			
9211	1004111		71700161	100613		1	1	10	0	1004	1		1	0			
9212	1004112		71700162	100614		1	1	10	0	1004	1		1	0			
9213	1004113		71700163	100615		1	1	10	0	1004	1		1	0			
9214	1004114		71700164	100616		1	1	10	0	1004	1		1	0			
9215	1004115		71700165	100245		1	1	10	0	1004	1		1	0			
9216	1004116		71700166	100624		1	1	10	0	1004	1		1	0			
9217	1004117		71700167	100637		1	1	10	0	1004	1		1	0			
9218	1004118		71700168	100638		1	1	10	0	1004	1		1	0			
9219	1004119		71700169	100639		1	1	10	0	1004	1		1	0			
9220	1004120		71700170	100640		1	1	10	0	1004	1		1	0			
9221	1004121		71700171	100641		1	1	10	0	1004	1		1	0			
9222	1004122		71700172	100642		1	1	10	0	1004	1		1	0			
9223	1004123		71700173	100643		1	1	10	0	1004	1		1	0			
9224	1004124		71700174	100644		1	1	10	0	1004	1		1	0			
9225	1004125		71700175	100645		1	1	10	0	1004	1		1	0			
9226	1004126		71700178	100703		1	1	10	0	1004	1		1	0			
9227	1004127		71700180	100706		1	1	10	0	1004	1		1	0			
9228	1004128		71700181	100711		1	1	10	0	1004	1		1	0			
9229	1004129		71700182	100712		1	1	10	0	1004	1		1	0			
9230	1004130		71700185	100730		1	1	10	0	1004	1		1	0			
9231	1004131		71700186	100731		1	1	10	0	1004	1		1	0			
9232	1004132		71700187	100732		1	1	10	0	1004	1		1	0			
9233	1004133		71700188	100733		1	1	10	0	1004	1		1	0			
9234	1004134		71700189	100734		1	1	10	0	1004	1		1	0			
9235	1004135		71700190	100735		1	1	10	0	1004	1		1	0			
9236	1004136		71700191	100736		1	1	10	0	1004	1		1	0			
9237	1004137		71700203	100783		1	1	10	0	1004	1		1	0			
9238	1004138		71700204	100784		1	1	10	0	1004	1		1	0			
9239	1004139		71700205	100785		1	1	10	0	1004	1		1	0			
9240	1004140		71700206	100786		1	1	10	0	1004	1		1	0			
9241	1004141		71700207	100787		1	1	10	0	1004	1		1	0			
9242	1004142		71700208	100788		1	1	10	0	1004	1		1	0			
9243	1004143		71700229	100905		1	1	10	0	1004	1		1	0			
9244	1004144		71700264	101523		1	1	10	0	1004	1		1	0			
9245	1004145		71700265	101524		1	1	10	0	1004	1		1	0			
9246	1004146		71700266	101525		1	1	10	0	1004	1		1	0			
9247	1004147		71700267	101526		1	1	10	0	1004	1		1	0			
9248	1004148		71700268	101527		1	1	10	0	1004	1		1	0			
9249	1004149		71700269	101528		1	1	10	0	1004	1		1	0			
9250	1004150		71700270	101529		1	1	10	0	1004	1		1	0			
9251	1004151		71700271	101530		1	1	10	0	1004	1		1	0			
9252	1004152		71700272	101531		1	1	10	0	1004	1		1	0			
9253	1004153		71700273	101532		1	1	10	0	1004	1		1	0			
9254	1004154		71700274	101533		1	1	10	0	1004	1		1	0			
9255	1004155		71700275	101534		1	1	10	0	1004	1		1	0			
9256	1004156		71700276	101535		1	1	10	0	1004	1		1	0			
9257	1004157		71700277	101536		1	1	10	0	1004	1		1	0			
9258	1004158		71700278	101537		1	1	10	0	1004	1		1	0			
9259	1004159		71700281	101541		1	1	10	0	1004	1		1	0			
9260	1004160		71700282	101540		1	1	10	0	1004	1		1	0			
9261	1004161		71700301	101548		1	1	10	0	1004	1		1	0			
9262	1004162		71700302	101549		1	1	10	0	1004	1		1	0			
9263	1004163		71700303	101550		1	1	10	0	1004	1		1	0			
9264	1004164		71700304	101551		1	1	10	0	1004	1		1	0			
9265	1004165		71700305	101552		1	1	10	0	1004	1		1	0			
9266	1004166		71700306	101553		1	1	10	0	1004	1		1	0			
9267	1004167		71700307	101554		1	1	10	0	1004	1		1	0			
9268	1004168		71700308	101555		1	1	10	0	1004	1		1	0			
9269	1004169		71700309	101556		1	1	10	0	1004	1		1	0			
9270	1004170		71700310	101557		1	1	10	0	1004	1		1	0			
9271	1004171		71700311	101558		1	1	10	0	1004	1		1	0			
9272	1004172		71700312	101559		1	1	10	0	1004	1		1	0			
9273	1004173		71700313	101560		1	1	10	0	1004	1		1	0			
9274	1004174		71700314	100950		1	1	10	0	1004	1		1	0			
9275	1004175		71700324	101596		1	1	10	0	1004	1		1	0			
9276	1004176		71700325	101597		1	1	10	0	1004	1		1	0			
9277	1004177		71700326	101598		1	1	10	0	1004	1		1	0			
9278	1004178		71700327	101599		1	1	10	0	1004	1		1	0			
9279	1004179		71700328	101601		1	1	10	0	1004	1		1	0			
9280	1004180		71700350	101680		1	1	10		1004	1		1				
9281	1004181		71700351	101681		1	1	10		1004	1		1				
9282	1004182		71700352	101682		1	1	10		1004	1		1				
9283	1004183		71700353	101683		1	1	10		1004	1		1				
9284	1004184		71700354	101684		1	1	10		1004	1		1				
9101	3003029		70710008	100306		1	10	10	0	3003	10		1	0			
9102	3003030		70710008	100307		1	10	10	0	3003	10		1	0			
9103	3003031		70710008	100308		1	10	10	0	3003	10		1	0			
9104	3003040		70520017	100064		0	10	10	0	3003	20		1	0			
9105	3003041		70710008	100352		0	10	10	0	3003	20		1	0			
9107	3003042		70710063	100450		0	10	10	0	3003	20		1	0			
9108	3003043		70710064	100451		0	10	10	0	3003	20		1	0			
9109	3003044		70710068	100456		0	1	10	0	3003	1		1	0			
9106	20007009		70710020	100349		0	5	20	0	20007	6		1	0			
9110	3003045		71700098	100468		0	1	10	0	3003	1		1	0			
9111	3003046		70210102	100467		0	1	10	0	3003	1		1	0			
9112	3003047		70710008	100495		0	1	10	0	3003	5		1	0			
9113	3003048		70710008	100512		0	1	10	0	3003	5		1	0			
9114	3003049		70710008	100513		0	1	10	0	3003	5		1	0			
9115	3003050		70710008	100514		0	1	10	0	3003	5		1	0			
9116	3003051		70710008	100524		1	10	10	0	3004	10		1	0			
9117	3003052		70710112	100525		0	10	10	0	3003	10		1	0			
9118	3003053		71700150	100541		0	10	10	0	3103	10		1	0			
9119	3003054		71700151	100549		0	10	10	0	3003	60		1	0			
9120	3003055		71700152	100552		0	10	10	0	3003	80		1	0			
9121	3003056		71700153	100550		0	10	10	0	3003	20		1	0			
9122	3003057		71700154	100551		0	10	10	0	3003	20		1	0			
9123	3003058		71700123	100562		0	1	10	0	3006	1		1	0			
9124	3003059		71700149	100601		0	1	10	0	3006	1		1	0			
9125	3003060		70710196	100623		0	10	10	0	3003	60		1	0			
9126	3003061		70590030	100618		0	10	10	0	3003	60		1	0			
9127	3003062		70950016	109		0	10	10	0	3003	25		1	0			
9128	3003063		70710152	100556		1	1	10	0	3103	1		1	0			
9129	3003064		70520020	100012		0	10	10	0	3003	1		1	0			
9130	3003065		70520023	100016		0	10	10	0	3003	1		1	0			
9131	3003066		70520022	100011		0	10	10	0	3003	1		1	0			
9132	3003067		70520021	100020		0	10	10	0	3003	1		1	0			
9133	3003068		70710297	100744		0	10	10	0	3004	10		1	0			
9134	3003069		70710298	100745		0	10	10	0	3002	10		1	0			
9135	3003070		71700209	100779		0	10	10	0	3004	10	1	1	0			
9136	3003071		71700210	100780		0	10	10	0	3002	10		1	0			
9137	3003072		71700211	100830		0	1	10	0	3220	1		1	0			
9138	3003073		71700212	100774		0	1	10	0	3220	1		1	0			
9139	3003074		71700213	100768		0	1	10	0	3220	1		1	0			
9140	3003075		71700214	100769		0	1	10	0	3220	1		1	0			
9141	3003076		71700215	100770		0	1	10	0	3220	1		1	0			
9142	3003077		71700216	100771		0	1	10	0	3220	1		1	0			
9143	3003078		71700217	100772		0	1	10	0	3220	1		1	0			
9144	3003079		71700218	100775		0	1	10	0	3220	1		1	0			
9145	3003080		71700219	100776		0	1	10	0	3220	1		1	0			
9146	3003081		71700220	100777		0	1	10	0	3220	1		1	0			
9147	3003082		71700221	100778		0	1	10	0	3220	1		1	0			
9148	3003083		71700222	100832		0	1	10	0	3220	1		1	0			
9149	3003084		71700223	100833		0	1	10	0	3220	1		1	0			
9150	3003085		71700224	101649		0	1	10	0	3220	1		1	0			
9151	3003086		70710243	100861		0	1	10	0	3220	1		1				
9152	3003087		70710243	100862		0	1	10	0	3220	1		1				
9153	3003088		70710243	100863		0	1	10	0	3220	1		1				
9154	3003089		71700227	100880		0	1	10	0	3220	1		1	0			
9155	3003090		71700228	100881		0	1	10	0	3220	1		1	0			
9156	3003091		70710390	100883		0	1	10	0	3220	1		1	0			
9157	3003092		70710391	100884		0	1	10	0	3220	1		1	0			
9158	3003093		71700263	101520		0	1	10	0	3220	1		1	0			
9159	3003094		71700261	101521		0	1	10	0	3220	1		1	0			
9160	3003095		71700262	101522		0	1	10	0	3220	1		1	0			
9161	3003096		71700286	101538		0	1	10	0	3220	1		1	0			
9162	3003097		71700279	101517		0	1	10	0	3220	1		1	0			
9163	3003098		71700280	101519		0	1	10	0	3220	1		1	0			
9164	3003099		71700289	100864		0	1	10	0	3220	1		1				
9165	3003100		70290123	100958		0	1	10	0	3212	1		1				
9166	3003101		70290124	100959		0	1	10	0	3212	1		1				
9167	3003102		70290129	100960		0	1	10	0	3212	1		1				
9168	3003103		70290130	100961		0	1	10	0	3212	1		1				
9169	3003104		70290131	100962		0	1	10	0	3212	1		1				
9170	3003105		70290132	100963		0	1	10	0	3212	1		1				
9171	3003106		70290133	100964		0	1	10	0	3212	1		1				
9172	3003107		70290134	100965		0	1	10	0	3212	1		1				
9173	3003108		71700284	100969		0	1	10	0	3213	1		1	0			
9174	3003109		71700285	100970		0	1	10	0	3213	1		1	0			
9175	3003110		71700289	100864		0	1	10	0	3213	1		1	0			
9176	3003111		71700290	100971		0	1	10	0	3212	1		1	0			
9177	3003112		71700291	100972		0	1	10	0	3212	1		1	0			
9178	3003113		71700292	100973		0	1	10	0	3212	1		1	0			
9179	3003114		71700293	100974		0	1	10	0	3212	1		1	0			
9180	3003115		71700294	100975		0	1	10	0	3212	1		1	0			
9181	3003116		71700295	100986		0	1	10	0	3212	1		1	0			
9182	3003117		71700296	100987		0	1	10	0	3212	1		1	0			
9184	3003119		70710600	101650		0	1	10	0	3002	3		1	0			
9185	3003120		70710601	101651		0	1	10	0	3002	3		1	0			
9186	3003121		70710602	101652		0	1	10	0	3003	3		1	0			
9187	3003122		70710614	101656		0	10	10	0	3212	10		1	0			
9188	3003123		70330143	101701		0	1	10	0	7005	1	1	1	0			
9189	3003124		70290306	101618		0	1	10	0	7005	1		1	0			
9190	3003125		70510015	101642		0	1	10	0	7005	1	1	1	0			
9191	3003126		70710152	101643		0	1	10	0	7005	1		1	0			
9192	3003127		70540033	101635		0	1	10	0	7005	1		1	0			
9193	3003128		71700340	101674		1	1	10	0	1004	1		1				
9194	3003129		71700341	101660		1	1	10	0	1004	1		1				
9195	3003130		71700342	101672		1	1	10	0	1004	1		1				
9196	3003131		71700343	101664		1	1	10	0	1004	1		1				
9197	3003132		71700349	101679		1	1	10		1004	1		1				
9198	3003133		70330142	101700		0	1	10		7005	1	1	1				
9199	3003133		71700357	101707		0	1	10		5007	1		1				
9285	3003134		70710641	101610		0	1	10	0	3107	10		1	0			
9183	3004001		70710579	101609		0	1	10	0	3107	10		1	0			
9286	3003135		71700361	101620		0	1	10	0	3107	10		1	0			
9287	3003136		70330195	101709		0	1	10		7005	1		1				
9288	3003137		70330129	101710		0	1	10		7005	1		1				
9289	3003138		71700372	101724		0	1	10		7005	1		1				
9290	3003139		70330203	101709		0	1	10		7005	1		1				
9291	3003140		70330204	101709		0	1	10		7005	1		1				
9292	3003141		70330205	101709		0	1	10		7005	1		1				
9293	3003142		70330206	101709		0	1	10		7005	1		1				
9294	3003143		70330207	101709		0	1	10		7005	1		1				
9295	3003144		70330208	101709		0	1	10		7005	1		1				
9296	3003145		70330209	101709		0	1	10		7005	1		1				
9297	3003146		70590061	101640		0	1	10	0	7005	1		1	0			
9298	3003147		70590062	101639		0	1	10	0	7005	1		1	0			
9299	3003148		70310255	101774		0	1	10	0	3302	1	1	1				
9300	3003149		70310254	101775		0	1	10	0	3302	1	1	1				
9301	3003150		70310253	101776		0	1	10	0	3302	1	1	1				
9302	3003151		70290305	101644		0	1	10	0	3302	1		1				
9303	3003152		70520038	101212	101713	0	10	10	0	3003	20		1				
9304	3003153		71700396	101941		0	1	10	0	3304	3		1				
9305	3003154		71700395	101942		0	1	10	0	3304	3		1				
9306	3003155		70590070	101908		0	1	10	0	9003	1		1				
9307	3003156		70710809	101951		0	10	10	0	3302	10		1				
9308	3003157		71700391	101919		0	1	10	0	3304	3		1				
9309	3003158		71700286	101955		0	1	10	0	3302	10		1				
9310	3003159		71700416	101915		0	1	10	0	3302	3		1				
9311	3003160		71700419	101952		0	1	10		3315	3		1				
9312	3003161		71700438	101993		0	1	10		9002	1		1				
9313	3003162		71700452	101956		0	10	10		3302	14		1				
9314	3003163		71700453	101956		0	10	10		3302	14		1				
9315	3003164		71700458	120018		1	1	10		3302	1		1				
9316	3003165		71700459	120019		1	1	10		3302	1		1				
9317	3003166		71700460	120020		1	1	10		3302	1		1				
9318	3003167		71700461	120021		1	1	10		3302	1		1				
9319	3003168		71700462	120022		1	1	10		3302	1		1				
9320	3003169		71700463	120023		1	1	10		3302	1		1				
9321	3003170		71700464	120024		1	1	10		3302	1		1				
9322	3003171		71700465	120025		1	1	10		3302	1		1				
9323	3003172		71700466	120026		1	1	10		3302	1		1				
9324	3003173		71700467	120027		1	1	10		3302	1		1				
9325	3003174		71700468	120028		1	1	10		3302	1		1				
9326	3003175		71700517	120058		0	1	10	0	3302	5		1				
9327	3003176		70290629	101001		1	1	10		3302	1		1				
9328	3003177		70290633	101001		0	1	10	0	3302	5		1				
9329	3003178		70290634	101001		0	1	10	0	3302	5		1				
9330	3003179		71700536	120124		0	1	10		3302	1		1				
9331	3003180		70710892	120142		0	1	10		3307	1		1				
9332	3003181		70710893	120143		0	1	10		3307	1		1				
9333	3003182		70710894	120144		0	1	10		3307	1		1				
9334	3003183		71700555	120145		0	1	10		3307	1		1				
9335	3003184		71700556	120146		0	1	10		3307	1		1				
9336	3003185		71700557	120147		0	1	10		3307	1		1				
9337	3003186		71700558	120148		0	1	10		3307	1		1				
9338	3003187		71700559	120149		0	1	10		3307	1		1				
9339	3003188		71700560	120150		0	1	10		3307	1		1				
7001	77304001		77304001	100029		0	1	10	0	1004	1		1				
7002	77304002		77304002	100012		0	1	10	0	1004	1		1				
7003	77304003		77304003	100023		0	1	10		1004	1		1				
