最小等级,总索引,掉落ID,掉落次数
5,驮兽丘丘人,317000100,1
10,驮兽丘丘人,317000200,1
15,驮兽丘丘人,317000300,1
20,驮兽丘丘人,317000400,1
25,驮兽丘丘人,317000500,1
30,驮兽丘丘人,317000600,1
35,驮兽丘丘人,317000700,1
40,驮兽丘丘人,317000800,1
45,驮兽丘丘人,317000900,1
50,驮兽丘丘人,317001000,1
55,驮兽丘丘人,317001100,1
60,驮兽丘丘人,317001200,1
65,驮兽丘丘人,317001300,1
70,驮兽丘丘人,317001400,1
75,驮兽丘丘人,317001500,1
80,驮兽丘丘人,317001600,1
85,驮兽丘丘人,317001700,1
90,驮兽丘丘人,317001800,1
93,驮兽丘丘人,317001900,1
100,驮兽丘丘人,317002000,1
105,驮兽丘丘人,317002100,1
110,驮兽丘丘人,317002200,1
115,驮兽丘丘人,317002300,1
120,驮兽丘丘人,317002400,1
1,驮兽盗宝团,318000000,1
5,驮兽盗宝团,318000100,1
10,驮兽盗宝团,318000200,1
15,驮兽盗宝团,318000300,1
20,驮兽盗宝团,318000400,1
25,驮兽盗宝团,318000500,1
30,驮兽盗宝团,318000600,1
35,驮兽盗宝团,318000700,1
40,驮兽盗宝团,318000800,1
45,驮兽盗宝团,318000900,1
50,驮兽盗宝团,318001000,1
55,驮兽盗宝团,318001100,1
60,驮兽盗宝团,318001200,1
65,驮兽盗宝团,318001300,1
70,驮兽盗宝团,318001400,1
75,驮兽盗宝团,318001500,1
80,驮兽盗宝团,318001600,1
85,驮兽盗宝团,318001700,1
90,驮兽盗宝团,318001800,1
93,驮兽盗宝团,318001900,1
100,驮兽盗宝团,318002000,1
105,驮兽盗宝团,318002100,1
110,驮兽盗宝团,318002200,1
115,驮兽盗宝团,318002300,1
120,驮兽盗宝团,318002400,1
1,驮兽镀金旅团,319000000,1
5,驮兽镀金旅团,319000100,1
10,驮兽镀金旅团,319000200,1
15,驮兽镀金旅团,319000300,1
20,驮兽镀金旅团,319000400,1
25,驮兽镀金旅团,319000500,1
30,驮兽镀金旅团,319000600,1
35,驮兽镀金旅团,319000700,1
40,驮兽镀金旅团,319000800,1
45,驮兽镀金旅团,319000900,1
50,驮兽镀金旅团,319001000,1
55,驮兽镀金旅团,319001100,1
60,驮兽镀金旅团,319001200,1
65,驮兽镀金旅团,319001300,1
70,驮兽镀金旅团,319001400,1
75,驮兽镀金旅团,319001500,1
80,驮兽镀金旅团,319001600,1
85,驮兽镀金旅团,319001700,1
90,驮兽镀金旅团,319001800,1
93,驮兽镀金旅团,319001900,1
100,驮兽镀金旅团,319002000,1
105,驮兽镀金旅团,319002100,1
110,驮兽镀金旅团,319002200,1
115,驮兽镀金旅团,319002300,1
120,驮兽镀金旅团,319002400,1
1,驮兽先遣队,320000000,1
5,驮兽先遣队,320000100,1
10,驮兽先遣队,320000200,1
15,驮兽先遣队,320000300,1
20,驮兽先遣队,320000400,1
25,驮兽先遣队,320000500,1
30,驮兽先遣队,320000600,1
35,驮兽先遣队,320000700,1
40,驮兽先遣队,320000800,1
45,驮兽先遣队,320000900,1
50,驮兽先遣队,320001000,1
55,驮兽先遣队,320001100,1
60,驮兽先遣队,320001200,1
65,驮兽先遣队,320001300,1
70,驮兽先遣队,320001400,1
75,驮兽先遣队,320001500,1
80,驮兽先遣队,320001600,1
85,驮兽先遣队,320001700,1
90,驮兽先遣队,320001800,1
93,驮兽先遣队,320001900,1
100,驮兽先遣队,320002000,1
105,驮兽先遣队,320002100,1
110,驮兽先遣队,320002200,1
115,驮兽先遣队,320002300,1
120,驮兽先遣队,320002400,1
1,丘丘岩盔王,330000000,1
5,丘丘岩盔王,330000100,1
10,丘丘岩盔王,330000200,1
15,丘丘岩盔王,330000300,1
20,丘丘岩盔王,330000400,1
25,丘丘岩盔王,330000500,1
30,丘丘岩盔王,330000600,1
35,丘丘岩盔王,330000700,1
40,丘丘岩盔王,330000800,1
45,丘丘岩盔王,330000900,1
50,丘丘岩盔王,330001000,1
55,丘丘岩盔王,330001100,1
60,丘丘岩盔王,330001200,1
65,丘丘岩盔王,330001300,1
70,丘丘岩盔王,330001400,1
75,丘丘岩盔王,330001500,1
80,丘丘岩盔王,330001600,1
85,丘丘岩盔王,330001700,1
90,丘丘岩盔王,330001800,1
93,丘丘岩盔王,330001900,1
100,丘丘岩盔王,330002000,1
105,丘丘岩盔王,330002100,1
110,丘丘岩盔王,330002200,1
115,丘丘岩盔王,330002300,1
120,丘丘岩盔王,330002400,1
1,丘丘暴徒,331000000,1
5,丘丘暴徒,331000100,1
10,丘丘暴徒,331000200,1
15,丘丘暴徒,331000300,1
20,丘丘暴徒,331000400,1
25,丘丘暴徒,331000500,1
30,丘丘暴徒,331000600,1
35,丘丘暴徒,331000700,1
40,丘丘暴徒,331000800,1
45,丘丘暴徒,331000900,1
50,丘丘暴徒,331001000,1
55,丘丘暴徒,331001100,1
60,丘丘暴徒,331001200,1
65,丘丘暴徒,331001300,1
70,丘丘暴徒,331001400,1
75,丘丘暴徒,331001500,1
80,丘丘暴徒,331001600,1
85,丘丘暴徒,331001700,1
90,丘丘暴徒,331001800,1
93,丘丘暴徒,331001900,1
100,丘丘暴徒,331002000,1
105,丘丘暴徒,331002100,1
110,丘丘暴徒,331002200,1
115,丘丘暴徒,331002300,1
120,丘丘暴徒,331002400,1
1,元素之核,332000000,1
5,元素之核,332000100,1
10,元素之核,332000200,1
15,元素之核,332000300,1
20,元素之核,332000400,1
25,元素之核,332000500,1
30,元素之核,332000600,1
35,元素之核,332000700,1
40,元素之核,332000800,1
45,元素之核,332000900,1
50,元素之核,332001000,1
55,元素之核,332001100,1
60,元素之核,332001200,1
65,元素之核,332001300,1
70,元素之核,332001400,1
75,元素之核,332001500,1
80,元素之核,332001600,1
85,元素之核,332001700,1
90,元素之核,332001800,1
93,元素之核,332001900,1
100,元素之核,332002000,1
105,元素之核,332002100,1
110,元素之核,332002200,1
115,元素之核,332002300,1
120,元素之核,332002400,1
1,深渊法师,333000000,1
5,深渊法师,333000100,1
10,深渊法师,333000200,1
15,深渊法师,333000300,1
20,深渊法师,333000400,1
25,深渊法师,333000500,1
30,深渊法师,333000600,1
35,深渊法师,333000700,1
40,深渊法师,333000800,1
45,深渊法师,333000900,1
50,深渊法师,333001000,1
55,深渊法师,333001100,1
60,深渊法师,333001200,1
65,深渊法师,333001300,1
70,深渊法师,333001400,1
75,深渊法师,333001500,1
80,深渊法师,333001600,1
85,深渊法师,333001700,1
90,深渊法师,333001800,1
93,深渊法师,333001900,1
100,深渊法师,333002000,1
105,深渊法师,333002100,1
110,深渊法师,333002200,1
115,深渊法师,333002300,1
120,深渊法师,333002400,1
1,黑蛇剑士,334000000,1
5,黑蛇剑士,334000100,1
10,黑蛇剑士,334000200,1
15,黑蛇剑士,334000300,1
20,黑蛇剑士,334000400,1
25,黑蛇剑士,334000500,1
30,黑蛇剑士,334000600,1
35,黑蛇剑士,334000700,1
40,黑蛇剑士,334000800,1
45,黑蛇剑士,334000900,1
50,黑蛇剑士,334001000,1
55,黑蛇剑士,334001100,1
60,黑蛇剑士,334001200,1
65,黑蛇剑士,334001300,1
70,黑蛇剑士,334001400,1
75,黑蛇剑士,334001500,1
80,黑蛇剑士,334001600,1
85,黑蛇剑士,334001700,1
90,黑蛇剑士,334001800,1
93,黑蛇剑士,334001900,1
100,黑蛇剑士,334002000,1
105,黑蛇剑士,334002100,1
110,黑蛇剑士,334002200,1
115,黑蛇剑士,334002300,1
120,黑蛇剑士,334002400,1
1,债务处理人,335000000,1
5,债务处理人,335000100,1
10,债务处理人,335000200,1
15,债务处理人,335000300,1
20,债务处理人,335000400,1
25,债务处理人,335000500,1
30,债务处理人,335000600,1
35,债务处理人,335000700,1
40,债务处理人,335000800,1
45,债务处理人,335000900,1
50,债务处理人,335001000,1
55,债务处理人,335001100,1
60,债务处理人,335001200,1
65,债务处理人,335001300,1
70,债务处理人,335001400,1
75,债务处理人,335001500,1
80,债务处理人,335001600,1
85,债务处理人,335001700,1
90,债务处理人,335001800,1
93,债务处理人,335001900,1
100,债务处理人,335002000,1
105,债务处理人,335002100,1
110,债务处理人,335002200,1
115,债务处理人,335002300,1
120,债务处理人,335002400,1
1,召唤师,336000000,1
5,召唤师,336000100,1
10,召唤师,336000200,1
15,召唤师,336000300,1
20,召唤师,336000400,1
25,召唤师,336000500,1
30,召唤师,336000600,1
35,召唤师,336000700,1
40,召唤师,336000800,1
45,召唤师,336000900,1
50,召唤师,336001000,1
55,召唤师,336001100,1
60,召唤师,336001200,1
65,召唤师,336001300,1
70,召唤师,336001400,1
75,召唤师,336001500,1
80,召唤师,336001600,1
85,召唤师,336001700,1
90,召唤师,336001800,1
93,召唤师,336001900,1
100,召唤师,336002000,1
105,召唤师,336002100,1
110,召唤师,336002200,1
115,召唤师,336002300,1
120,召唤师,336002400,1
1,遗迹守卫,337000000,1
5,遗迹守卫,337000100,1
10,遗迹守卫,337000200,1
15,遗迹守卫,337000300,1
20,遗迹守卫,337000400,1
25,遗迹守卫,337000500,1
30,遗迹守卫,337000600,1
35,遗迹守卫,337000700,1
40,遗迹守卫,337000800,1
45,遗迹守卫,337000900,1
50,遗迹守卫,337001000,1
55,遗迹守卫,337001100,1
60,遗迹守卫,337001200,1
65,遗迹守卫,337001300,1
70,遗迹守卫,337001400,1
75,遗迹守卫,337001500,1
80,遗迹守卫,337001600,1
85,遗迹守卫,337001700,1
90,遗迹守卫,337001800,1
93,遗迹守卫,337001900,1
100,遗迹守卫,337002000,1
105,遗迹守卫,337002100,1
110,遗迹守卫,337002200,1
115,遗迹守卫,337002300,1
120,遗迹守卫,337002400,1
1,幼岩龙蜥,338000000,1
5,幼岩龙蜥,338000100,1
10,幼岩龙蜥,338000200,1
15,幼岩龙蜥,338000300,1
20,幼岩龙蜥,338000400,1
25,幼岩龙蜥,338000500,1
30,幼岩龙蜥,338000600,1
35,幼岩龙蜥,338000700,1
40,幼岩龙蜥,338000800,1
45,幼岩龙蜥,338000900,1
50,幼岩龙蜥,338001000,1
55,幼岩龙蜥,338001100,1
60,幼岩龙蜥,338001200,1
65,幼岩龙蜥,338001300,1
70,幼岩龙蜥,338001400,1
75,幼岩龙蜥,338001500,1
80,幼岩龙蜥,338001600,1
85,幼岩龙蜥,338001700,1
90,幼岩龙蜥,338001800,1
93,幼岩龙蜥,338001900,1
100,幼岩龙蜥,338002000,1
105,幼岩龙蜥,338002100,1
110,幼岩龙蜥,338002200,1
115,幼岩龙蜥,338002300,1
120,幼岩龙蜥,338002400,1
1,遗迹重机,339000000,1
5,遗迹重机,339000100,1
10,遗迹重机,339000200,1
15,遗迹重机,339000300,1
20,遗迹重机,339000400,1
25,遗迹重机,339000500,1
30,遗迹重机,339000600,1
35,遗迹重机,339000700,1
40,遗迹重机,339000800,1
45,遗迹重机,339000900,1
50,遗迹重机,339001000,1
55,遗迹重机,339001100,1
60,遗迹重机,339001200,1
65,遗迹重机,339001300,1
70,遗迹重机,339001400,1
75,遗迹重机,339001500,1
80,遗迹重机,339001600,1
85,遗迹重机,339001700,1
90,遗迹重机,339001800,1
93,遗迹重机,339001900,1
100,遗迹重机,339002000,1
105,遗迹重机,339002100,1
110,遗迹重机,339002200,1
115,遗迹重机,339002300,1
120,遗迹重机,339002400,1
1,岩龙蜥,340000000,1
5,岩龙蜥,340000100,1
10,岩龙蜥,340000200,1
15,岩龙蜥,340000300,1
20,岩龙蜥,340000400,1
25,岩龙蜥,340000500,1
30,岩龙蜥,340000600,1
35,岩龙蜥,340000700,1
40,岩龙蜥,340000800,1
45,岩龙蜥,340000900,1
50,岩龙蜥,340001000,1
55,岩龙蜥,340001100,1
60,岩龙蜥,340001200,1
65,岩龙蜥,340001300,1
70,岩龙蜥,340001400,1
75,岩龙蜥,340001500,1
80,岩龙蜥,340001600,1
85,岩龙蜥,340001700,1
90,岩龙蜥,340001800,1
93,岩龙蜥,340001900,1
100,岩龙蜥,340002000,1
105,岩龙蜥,340002100,1
110,岩龙蜥,340002200,1
115,岩龙蜥,340002300,1
120,岩龙蜥,340002400,1
1,拟生机关,341000000,1
5,拟生机关,341000100,1
10,拟生机关,341000200,1
15,拟生机关,341000300,1
20,拟生机关,341000400,1
25,拟生机关,341000500,1
30,拟生机关,341000600,1
35,拟生机关,341000700,1
40,拟生机关,341000800,1
45,拟生机关,341000900,1
50,拟生机关,341001000,1
55,拟生机关,341001100,1
60,拟生机关,341001200,1
65,拟生机关,341001300,1
70,拟生机关,341001400,1
75,拟生机关,341001500,1
80,拟生机关,341001600,1
85,拟生机关,341001700,1
90,拟生机关,341001800,1
93,拟生机关,341001900,1
100,拟生机关,341002000,1
105,拟生机关,341002100,1
110,拟生机关,341002200,1
115,拟生机关,341002300,1
120,拟生机关,341002400,1
1,藏镜侍女,342000000,1
5,藏镜侍女,342000100,1
10,藏镜侍女,342000200,1
15,藏镜侍女,342000300,1
20,藏镜侍女,342000400,1
25,藏镜侍女,342000500,1
30,藏镜侍女,342000600,1
35,藏镜侍女,342000700,1
40,藏镜侍女,342000800,1
45,藏镜侍女,342000900,1
50,藏镜侍女,342001000,1
55,藏镜侍女,342001100,1
60,藏镜侍女,342001200,1
65,藏镜侍女,342001300,1
70,藏镜侍女,342001400,1
75,藏镜侍女,342001500,1
80,藏镜侍女,342001600,1
85,藏镜侍女,342001700,1
90,藏镜侍女,342001800,1
93,藏镜侍女,342001900,1
100,藏镜侍女,342002000,1
105,藏镜侍女,342002100,1
110,藏镜侍女,342002200,1
115,藏镜侍女,342002300,1
120,藏镜侍女,342002400,1
1,兽境幼兽,343000000,1
5,兽境幼兽,343000100,1
10,兽境幼兽,343000200,1
15,兽境幼兽,343000300,1
20,兽境幼兽,343000400,1
25,兽境幼兽,343000500,1
30,兽境幼兽,343000600,1
35,兽境幼兽,343000700,1
40,兽境幼兽,343000800,1
45,兽境幼兽,343000900,1
50,兽境幼兽,343001000,1
55,兽境幼兽,343001100,1
60,兽境幼兽,343001200,1
65,兽境幼兽,343001300,1
70,兽境幼兽,343001400,1
75,兽境幼兽,343001500,1
80,兽境幼兽,343001600,1
85,兽境幼兽,343001700,1
90,兽境幼兽,343001800,1
93,兽境幼兽,343001900,1
100,兽境幼兽,343002000,1
105,兽境幼兽,343002100,1
110,兽境幼兽,343002200,1
115,兽境幼兽,343002300,1
120,兽境幼兽,343002400,1
1,兽境猎犬,344000000,1
5,兽境猎犬,344000100,1
10,兽境猎犬,344000200,1
15,兽境猎犬,344000300,1
20,兽境猎犬,344000400,1
25,兽境猎犬,344000500,1
30,兽境猎犬,344000600,1
35,兽境猎犬,344000700,1
40,兽境猎犬,344000800,1
45,兽境猎犬,344000900,1
50,兽境猎犬,344001000,1
55,兽境猎犬,344001100,1
60,兽境猎犬,344001200,1
65,兽境猎犬,344001300,1
70,兽境猎犬,344001400,1
75,兽境猎犬,344001500,1
80,兽境猎犬,344001600,1
85,兽境猎犬,344001700,1
90,兽境猎犬,344001800,1
93,兽境猎犬,344001900,1
100,兽境猎犬,344002000,1
105,兽境猎犬,344002100,1
110,兽境猎犬,344002200,1
115,兽境猎犬,344002300,1
120,兽境猎犬,344002400,1
1,深渊使徒,345000000,1
5,深渊使徒,345000100,1
10,深渊使徒,345000200,1
15,深渊使徒,345000300,1
20,深渊使徒,345000400,1
