对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
1200013	2	1		1	1200101	2								3		610045201		10045	12001					
1200015	2	1		1	1200103	2								3		610045201		10045	12001					
1200018	2	1		1	1200106	2								3		610045201		10045	12001					
1200019	2	1		1	1200107	2								3		610045201		10045	12001					
1200023	2	1		1	1200201	2								3		610045301		10045	12002					
1200025	2	1		1	1200203	2								3		610045301		10045	12002					
1200026	2	1		1	1200204	2								3		610045301		10045	12002					
1200027	2	1		1	1200205	2								3		610045301		10045	12002					
1200028	2	1		1	1200206	2								3		610045301		10045	12002					
1200029	2	1		1	1200207	2								3		610045301		10045	12002					
1200030	2	1		1	1200208	2								3		610045301		10045	12002					
1200031	2	1		1	1200209	2								3		610045301		10045	12002					
1200032	2	1		1	1200210	2								3		610045301		10045	12002					
1200033	2	1		1	1200212	2								3		610045301		10045	12002					
1200034	2	1		1	1200213	2								3		610045301		10045	12002					
1200035	2	1		1	1200214	2								3		610045301		10045	12002					
1200036	2	1		1	1200215	2								3		610045301		10045	12002					
1200037	2	1		1	1200216	2								3		610045301		10045	12002					
1200038	2	1		1	1200217	2								3		610045301		10045	12002					
1200039	2	1		1	1200218	2								3		610045301		10045	12002					
1200040	2	1		1	1200219	2								3		610045301		10045	12002					
1200041	2	1		1	1200220	2								3		610045301		10045	12002					
1200209	2	1		1	1200209	2								5		120020901		1263	12002					
1200212	2	1		1	1200212	2								5		120021201		1264	12002					
1200213	2	1		1	1200213	2								5		120021301		1265	12002					
1200219	2	1		1	1200219	2								5		120021901		1266	12002					
1200220	2	1		1	1200220	2								5		120022001		1267	12002					
1200043	2	1		1	1200106	2								5		120004301		2073	12001					
1200044	2	1		1	1200214	2								5		120004401		1628	12002					
1200045	2	1		1	1200303	2								5		120004501		1624	12003					
1200204	2	1		1	1200204	2								1		120020401		2013	12002					
1200205	2	1		1	1200205	2								1		120020501		2090	12002					
1200206	2	1		1	1200206	2								1		120020601		2072	12002					
1200230	2	1		1	1200206	2								5	1200206,6207202,6207203,6207204	620720102		2072	12002					
1200231	2	1		1	1200205	2								5	1200205,6209007,6209004,6209003,6209006,6209005	620900102		2090	12002					
1200232	2	1		1	1200204	2								5	7100507,7100503,1200204,6201303,6201304	620130102		2013	12002					
