ID,章节ID,解锁节点ID,类型,解锁条件1类型,解锁条件1参数1,解锁条件1参数2,解锁条件2类型,解锁条件2参数1,解锁条件2参数2
10270105,102701,10270195,2,3,10270195,,,,
10270111,102701,10270191,1,3,10270191,,,,
10270112,102701,10270192,1,3,10270192,,,,
10270113,102701,10270193,1,3,10270193,,,,
10270114,102701,10270194,1,3,10270194,,,,
10270115,102701,10270195,1,3,10270195,,,,
10640101,106401,10640191,2,3,10640191,,,,
10640102,106401,10640192,2,3,10640192,,,,
10640103,106401,10640193,2,3,10640193,,,,
10640104,106401,10640194,2,3,10640194,,,,
10640105,106401,10640195,2,3,10640195,,,,
10640111,106401,10640191,1,3,10640191,,,,
10640112,106401,10640192,1,3,10640192,,,,
10640113,106401,10640193,1,3,10640193,,,,
10640114,106401,10640194,1,3,10640194,,,,
10640115,106401,10640195,1,3,10640195,,,,
10650101,106501,10650191,2,3,10650191,,,,
10650102,106501,10650192,2,3,10650192,,,,
10650103,106501,10650193,2,3,10650193,,,,
10650104,106501,10650194,2,3,10650194,,,,
10650105,106501,10650195,2,3,10650195,,,,
10650111,106501,10650191,1,3,10650191,,,,
10650112,106501,10650192,1,3,10650192,,,,
10650113,106501,10650193,1,3,10650193,,,,
10650114,106501,10650194,1,3,10650194,,,,
10650115,106501,10650195,1,3,10650195,,,,
10590101,105901,10590191,2,3,10590191,,,,
10590102,105901,10590192,2,3,10590192,,,,
10590103,105901,10590193,2,3,10590193,,,,
10590104,105901,10590194,2,3,10590194,,,,
10590105,105901,10590195,2,3,10590195,,,,
10590111,105901,10590191,1,3,10590191,,,,
10590112,105901,10590192,1,3,10590192,,,,
10590113,105901,10590193,1,3,10590193,,,,
10590114,105901,10590194,1,3,10590194,,,,
10590115,105901,10590195,1,3,10590195,,,,
