ID	城市ID	事件组id	事件tag1值	事件tag2值	事件权重	事件类型	事件稀有度	事件接取任务	事件对应旧group	事件对应新group	组合关系	[满足条件]1类型	[满足条件]1参数1	[满足条件]1参数2	[满足条件]1参数3	[满足条件]2类型	[满足条件]2参数1	[满足条件]2参数2	[满足条件]2参数3	[满足条件]3类型	[满足条件]3参数1	[满足条件]3参数2	[满足条件]3参数3	完成条件类型	完成条件参数1	完成条件参数2	完成进度	[完成执行]1条件类型	[完成执行]1条件参数1	[完成执行]1条件参数2	[完成执行]1条件参数3	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]2条件类型	[完成执行]2条件参数1	[完成执行]2条件参数2	[完成执行]2条件参数3	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]3条件类型	[完成执行]3条件参数1	[完成执行]3条件参数2	[完成执行]3条件参数3	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	事件奖励索引	任务型周期刷新次数	关联tag值
15204	2	1104	0	0	20	1			133102525,133102641	133102567		7	3	74										5			9																									2		
15205	2	1104	0	0	20	1			133104266	133104402		8	30											5			9																									2		
15206	2	1104	0	0	20	1			133104202,133104346	133104404		7	3	73										5			9																									2		
15207	2	1104	0	0	20	1				133101104		7	3	74										5			8																									2		
15208	2	1104	0	0	20	1			133105112	133105264														5			8																									2		
15300	2	1103	3006	0	20	1	2		133103030,133103334	133103266		7	3	74										5			8																									2		
15302	2	1103	0	0	20	1	2		133104188,133104005	133104406														5			9																									2		
15303	2	1103	0	0	20	1	2		133101167	133101105		7	3	74										5			8																									2		
15304	2	1103	0	0	20	1	2		133105010,133105144,133105215	133105262		7	3	165										5			9																									2		
15400	2	1103	0	0	30	1	2		133101091	133101094		7	3	153										5			6																									2		
15401	2	1103	0	0	30	1	2			133103310		7	3	74										5			6																									2		
15403	2	1103	0	0	30	1	2		133105245,133105267	133102566		7	3	116										5			5																									2		
15404	2	1103	3003	0	30	1	2			133104407														5			5																									2		
15405	2	1103	0	0	30	1	2		133104334,133104435	133104410														5			5																									2		
15501	2	1103	3004	0	30	1			133102193,133102020	133102550														2	70300101		2																									2		
15502	2	1103	3009	0	30	1				133101098		7	3	74										2	70300101		2																									2		
15503	2	1103	0	0	30	1			133102146	133102562														2	70300101		2																									2		
15504	2	1103	0	0	30	1			133104129	133104408		7	3	73										2	70300101		2																									2		
15505	2	1103	3003	0	30	1			133104183	133104409														2	70300101		2																									2		
15600	2	1104	0	0	30	1			133102469,133102470,133102379	133102555		7	3	76										5			9																									2		
15601	2	1104	0	0	30	1			133103029	133103292		7	3	74										5			11																									2		
15602	2	1104	3006	0	30	1			133104040	133104405		7	3	79										5			10																									2		
15603	2	1104	0	0	30	1			133105045	133105261		7	3	92										5			11																									2		
15604	2	1104	3007	0	30	1			133108035,133108034,133108037	133108091	1	8	40			7	3	91						5			10																									2		
15701	2	1103	3006	0	30	1			133103127	133103296	1	8	40			7	3	74						5			1																									2		
15702	2	1103	0	0	30	1			133108040,133108088,133108039	133108092	1	8	40			7	3	91						5			1																									2		
15703	2	1103	0	0	30	1			133104351	133104411		8	40											5			1																									2		
15704	2	1103	0	0	30	1			133104037	133104416	1	8	40			7	3	73						5			1																									2		
15800	2	1104	3006	0	50	1			133103288	133103298		7	3	74										5			8																									2		
15801	2	1104	0	0	50	1			133103291	133103299		7	3	74										5			8																									2		
15802	2	1104	3009	0	50	1			133101072,133101136	133101102		7	3	74										5			8																									2		
15803	2	1104	0	0	50	1			133101074	133101103		7	3	74										5			8																									2		
15804	2	1104	0	0	50	1			133105042,133105195	133105265		7	3	72										5			9																									2		
15900	2	1101	0	0	30	1				133103269	1	1	100205			7	3	74						8	14	133103269	1																									2		
15901	2	1101	3004	0	30	1			133102192,133102007	133102547														8	14	133102547	1																									2		
15902	2	1101	3001	0	30	1			133101066	133101095	1	7	3	74		8	30							8	14	133101095	1																									2		
15903	2	1101	0	0	30	1			133103147,133103145,133103144,133103146	133103311		7	3	74										8	14	133103311	1																									2		
15904	2	1101	0	0	30	1			133105135,133105132,133105130,133105134	133102564		7	3	72										8	14	133102564	1																									2		
15905	2	1101	3005	0	30	1			133104191,133104347	133104418		7	3	73										8	14	133104418	1																									2		
16000	2	1101	0	0	30	1			133103161	133103271		7	3	74										8	13	133103271	1																									2		
16001	2	1101	0	0	30	1			133102368	133102548		1	2100399											8	13	133102548	1																									2		
16003	2	1101	0	0	30	1			133101166,133101114	133101106	1	7	3	74		8	30							8	13	133101106	1																									2		
16004	2	1101	3001	0	30	1			133101066	133101107	1	7	3	74		8	30							8	13	133101107	1																									2		
16006	2	1101	0	0	30	1				133108095		2	24											8	13	133108095	1																									2		
16007	2	1101	3002	0	30	1			133104313,133104133	133104423		7	3	73										8	13	133104423	1																									2		
16401	2	1102	3006	0	0	1			133103192,133103029,133103036,133103033	133103460		8	30											8	207	133103460	1																									2		
16402	2	1102	0	0	0	1			133106194,133106192,133106214,133106121,133106122,133106129	133107081		8	30											8	207	133107081	1																									2		
16403	2	1102	0	0	30	1			133108090,133108080,133108021,133108106,133108087,133108075	133108112		8	30											8	207	133108112	1																									2		
16501	2	1102	3008	0	30	1			133105115,133105110,133105045	133105275	1	1	48803			8	35							8	15	133105275	1																									2		
16502	2	1102	0	0	30	1			133102325,133102277	133002362	1	1	48803			8	35							8	15	133002362	1																									2		
16503	2	1102	3009	0	30	1			133101137	133101183	1	1	48803			8	35							8	15	133101183	1																									2		
16504	2	1102	0	0	30	1			133103290,133103132,133103040,133103212	133103466	1	1	48803			8	35							8	15	133103466	1																									2		
16600	2	1102	0	0	0	1			133103144,133103159,133103156,133103272,133103297,133103273	133103455	1	7	3	87		8	30							8	203	133103455	1																									2		
16601	2	1102	3007	0	30	1			133108033,133108037,133108042,133108041,133108044,133108035	133108110	1	7	3	91		8	30							8	203	133108110	1																									2		
16602	2	1102	0	0	30	1			133106119,133106118,133106226,133106058,133106111	133106258	1	7	3	105		8	30							8	203	133106258	1																									2		
16603	2	1102	3004	0	30	1			133102607,133102497,133102499,133102007,133102466,133102498	133102724		8	30											8	203	133102724	1																									2		
16604	2	1102	0	0	30	1			133103166,133103174,133103169	133103482	1	7	3	95		8	30							8	203	133103482	1																									2		
25300	2	2101	0	0	30	0	1	2210001																								2	25300	0																		2	1	
25301	2	2101	0	0	30	0	1	2210101																								2	25300	0																		2	1	
25302	2	2101	0	0	30	0	1	2210201																								2	25300	0																		2	1	
25400	2	2101	0	0	30	0	1	2210301																								2	25300	0																		2	1	
25401	2	2101	0	0	30	0	1	2210401																								2	25300	0																		2	1	
25402	2	2101	0	0	30	0	1	2210501																								2	25300	0																		2	1	
25500	2	2101	0	0	30	0	1	2230001				1	101801																																							1	4	
25600	2	2101	0	0	30	0	1	2230101				1	7181107																																							1	4	
25700	2	2101	0	0	30	0	1	2230201				1	1200309																			2	25700	2																		1	3	
25800	2	2101	0	0	30	0	1	2230301				8	30																																							1	1	
25900	2	2101	0	0	0	0	1	2230401																																												2	1	
25901	2	2101	0	0	0	0	1	2230601																																												2	1	
25902	2	2101	0	0	0	0	1	2230701																																												2	1	
26000	2	2101	0	0	30	0	1	2230501																																												1	1	
26100	2	2101	0	0	30	0	1	2200001				4	29300	0	2																	2	26100	1																		1	1	
26200	2	2101	0	0	30	0	1	2200101			1	4	29300	0	2	8	25															2	26100	1																		1	1	
26300	2	2101	0	0	30	0	1	2200201			1	4	29300	0	2	8	25															2	26100	1																		1	1	
26400	2	2101	0	0	30	0	1	2200301				8	25																																							1	1	
26500	2	2101	0	0	30	0	1	2200401																																												2	1	
25100	2	2101	0	0	30	0	1	2210601				6	25100	2	50													1	25100	0	1	4	28000			1	25100	0	1	1	25100	2	100									1	1	
25200	2	2101	0	0	30	0	1	2210701																																												1	3	
25000	2	2101	0	0	30	0	1	2210801																								2	25000	1		1	25000	1	1	5	25001	4										2	1	
25001	2	2101	3005	0	30	0	1	2210901				5	25000	1	0																	2	25001	1		1	25001	1	1	5	25002	4										2	1	
25002	2	2101	3002	0	30	0	1	2211001			1	2	24			5	25001	1	0													2	25002	1		1	25002	1	1													2	1	
26600	2	2101	4001	0	1000	0	1	2211201				5	26600	1	50																	1	26600	1	0					1	26700	1	100									1	1	
26700	2	2101	4001	0	1000	0	1	2211301				5	26700	1	50																	1	26700	1	0																	2	1	
26800	2	2101	3003	0	30	0	1	2200501																								2	26800	2		1	26800	2	3	5	26801	3										2	1	
26801	2	2101	3003	0	30	0	1	2200601			1	5	26800	2	2	4	26801	1	2													1	26801	1	2																	2	1	
26802	2	2101	3003	0	30	0	1	2200701																								2	26800	2		1	26800	2	3	5	26801	3										2	1	
26900	2	2101	0	0	30	0	1	2200901				3	26801	1	2																																					2	1	
27000	2	2101	0	0	30	0	1	2200801				8	35																																							2	1	
28000	2	2101	0	0	30	0	1	2211401				3	25100	0	1																	1	25100	2	1					1	25100	0	2									1	1	
28100	2	2101	0	0	500	0	1	2211501			1	4	28100	2	1	5	28100	4	2	5	25700	2	2									1	28100	2	1					5	28200	3										1	1	
28200	2	2101	0	0	30	0	1	2211601				3	28100	2	1																																					1	1	
28300	2	2101	0	0	30	0	1	2211701				1	101603																																							1	1	
27500	2	2101	0	0	30	0	1	2220001																																												1	1	
28400	2	2101	0	0	30	0	1	2250001			1	5	26100	1	1	1	101209			4	29300	0	2				1					1	29300	0	1																	1	1	
28500	2	2101	0	0	30	0	1	2270101				8	25																			1	28500	0	1																	1	1	
28700	2	2101			100	0	1	2250101				10	2001			1	4111114			6	28700	1	3									2	28700	1																		1	1	
29300	2	2101			30	0	1	2100001			1	15	84508			3	29300	0	1													1	29300	0	2					1	29600	0	1									1	1	
29600	2	2101			30	0	1	2102601				3	29600	0	1																	1	29600	0	2					1	29700	0	1									1	1	
29700	2	2101			30	0	1	2102701				3	29700	0	1																	1	29700	0	2																	1	1	
29800	2	2101			10	0	1	2102801				3	29700	0	2																																					1	1	
29801	2	2101			10	0	1	2102901				3	29700	0	2																																					1	1	
29802	2	2101			10	0	1	2103001				3	29700	0	2																																					1	1	
40060	2	2101			30	0	1	2103101			1	5	25300	0	5	3	40060	0	0																																	1	1	
25003	2	2101			0	0	1	2103301				5	25002	1	0																	2	25003	1		1	25003	1	1	5	25004	4										1	1	
25004	2	2101			0	0	1	2103401				5	25003	1	0																	2	25004	1		1	25004	1	1													1	1	
41360	2	2101			0	0	1	2103501				3	28500	0	1																	1	41360	0	1																	1	1	
41361	2	2101			0	0	1	2103601			1	3	41364	0	1	6	41361	4	4													2	41361	3																		1	3	
41362	2	2101			0	0	1	2103701				5	41361	4	3																	1	41362	0	1																	1	1	
41363	2	2101			0	0	1	2103801				3	41362	0	1																																					1	1	
41364	2	2101			0	0	1	2103201				3	41360	0	1																	1	41364	0	1																	1	1	
31010	3	3101	3101		30	1	2			133220070	1													5			7																									2		
31020	3	3101	0		30	1	2			133220141	1													5			6																									2		
31030	3	3101	0		30	1	2			133220143	1													5			12																									2		
31040	3	3101	0		30	1	2			133220145	1													5			4																									2		
31090	3	3101	0		30	1	2			133220117	1	8	40											5			2																									2		
31091	3	3101	0		30	1	2			133213155	1	7	3	235		8	40							5			2																									2		
31092	3	3101	0		30	1	2			133212165	1	7	3	236		8	40							5			1																									2		
31093	3	3101	0		30	1	2			133210288	1	7	3	318		8	40							5			2																									2		
31094	3	3101	0		30	1	2			133210289	1	7	3	318		8	40							5			2																									2		
31095	3	3101	0		30	1	2			133222058	1	7	3	293		8	40			1	7215805			5			2																									2		
31110	3	3101	0		30	1	2			133213152	1	7	3	235										5			4																									2		
31111	3	3101	0		30	1	2			133213153	1	7	3	235										5			5																									2		
31112	3	3101	0		30	1	2			133213154	1	7	3	235										5			4																									2		
31113	3	3101	0		30	1	2			133212162	1	7	3	236										5			6																									2		
31114	3	3101	0		30	1	2			133212164	1	7	3	236										5			5																									2		
31170	3	3101			30	1	2			133210099	1	7	3	318										5			6																									2		
31171	3	3101			30	1	2			133210287	1	7	3	318										5			6																									2		
31172	3	3101			30	1	2			133217036	1	7	3	293		1	7215805							5			6																									2		
31220	3	3101			30	1	2			133223277	1	7	3	316		1	7217320							5			6																									2		
31221	3	3101			30	1	2			133223298	1	7	3	316		1	7217320							5			6																									2		
31222	3	3101			30	1	2			133223363	1	7	3	316		1	7217320							5			6																									2		
31230	3	3101			30	1	2			133223299	1	7	3	316		1	7217320							5			3																									2		
31231	3	3101			30	1	2			133223300	1	7	3	316		1	7217320							5			3																									2		
31240	3	3101			30	1	2			133223309	1	7	3	316		1	7217320							5			12																									2		
31241	3	3101			30	1	2			133223322	1	7	3	316		1	7217320							5			8																									2		
31060	3	3102	3101		30	1	2			133220156	1	1	7219922											8	64	133220156	1																									2		
31061	3	3102	3101		30	1	2			133220157	1	1	7219922											8	64	133220157	1																									2		
31062	3	3102	0		30	1	2			133220213	1	1	7210506											8	64	133220213	1																									2		
31063	3	3102	0		30	1	2			133220214	1	1	7210506											8	64	133220214	1																									2		
31064	3	3102	3102		30	1	2			133213158	1	7	3	235		1	7212319							8	64	133213158	1																									2		
31065	3	3102	3102		30	1	2			133213160	1	7	3	235		1	7212319							8	64	133213160	1																									2		
31066	3	3102	0		30	1	2			133212175	1	7	3	236										8	64	133212175	1																									2		
31067	3	3102	0		30	1	2			133212176	1	7	3	236										8	64	133212176	1																									2		
31068	3	3102	3103		30	1	2			133212177	1	7	3	236		1	7219611							8	64	133212177	1																									2		
31069	3	3102	3103		30	1	2			133212178	1	7	3	236		1	7219611							8	64	133212178	1																									2		
31210	3	3102	0		30	1	2			133217039	1	7	3	293		1	7215805							8	64	133217039	1																									2		
31211	3	3102	0		30	1	2			133222062	1	7	3	293		1	7215805							8	64	133222062	1																									2		
31080	3	3102	0	0	30	1	2			133220013	1													2	70300101		2																									2		
31081	3	3102	0	0	30	1	2			133213166	1	7	3	235										2	70300101		2																									2		
31082	3	3102	0	0	30	1	2			133212181	1	7	3	236										2	70300101		2																									2		
31180	3	3102	0	0	30	1	2			133210055	1	7	3	318		8	40							8	78	133210055	1																									2		
31181	3	3102	0	0	30	1	2			133210313	1	7	3	318										8	78	133210313	1																									2		
31182	3	3102	0	0	30	1	2			133222059	1	7	3	293		1	7215805							8	78	133222059	1																									2		
31190	3	3102	0	0	30	1	2			133210316	1	7	3	318										8	79	133210316	1																									2		
