合成ID,解锁等级,默认显示,解锁方式,解锁参数1,解锁参数2,合成类型,合成产物,产物数量,摩拉消耗,随机产物1ID,随机产物1数量,随机产物1权重,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,配方类型,特殊产物ID
13022,40,1,,,,3,104334,1,550,,1,0,104333,3,,,,,1,104330#104336
13023,30,1,,,,3,104336,1,175,,1,0,104335,3,,,,,1,104329#104332
13024,40,1,,,,3,104337,1,550,,1,0,104336,3,,,,,1,104330#104333
14001,5,1,,,,4,111006,1,100,,,,100072,1,100053,1,,,1,
14002,5,1,,,,4,111007,1,100,,,,100072,1,100026,1,,,1,
14003,5,1,,,,4,111008,1,100,,,,100085,1,100052,1,,,1,
14004,5,1,,,,4,111009,1,100,,,,100085,1,100057,1,,,1,
14005,5,1,,,,4,111010,1,100,,,,100072,1,100054,1,,,1,
14006,5,1,,,,4,111011,1,100,,,,100072,1,100058,1,,,1,
14007,5,1,,,,4,111012,1,100,,,,100085,1,101219,1,,,1,
14008,5,1,,,,4,111013,1,100,,,,100081,1,100053,1,,,1,
14009,5,1,,,,4,111014,1,100,,,,100081,1,100026,1,,,1,
14010,5,1,,,,4,111015,1,100,,,,100083,1,100052,1,,,1,
14011,5,1,,,,4,111016,1,100,,,,100083,1,100057,1,,,1,
14012,5,1,,,,4,111017,1,100,,,,100081,1,100054,1,,,1,
14013,5,1,,,,4,111018,1,100,,,,100081,1,100058,1,,,1,
14014,5,1,,,,4,111019,1,100,,,,100083,1,101219,1,,,1,
15001,25,1,,,,5,104112,1,300,,,,104111,3,,,,,1,
15002,35,1,,,,5,104113,1,900,,,,104112,3,,,,,1,
15003,45,1,,,,5,104114,1,2700,,,,104113,3,,,,,1,
15004,25,1,,,,5,104122,1,300,,,,104121,3,,,,,1,
15005,35,1,,,,5,104123,1,900,,,,104122,3,,,,,1,
15006,45,1,,,,5,104124,1,2700,,,,104123,3,,,,,1,
15007,25,1,,,,5,104132,1,300,,,,104131,3,,,,,1,
15008,35,1,,,,5,104133,1,900,,,,104132,3,,,,,1,
15009,45,1,,,,5,104134,1,2700,,,,104133,3,,,,,1,
15010,25,1,,,,5,104142,1,300,,,,104141,3,,,,,1,
15011,35,1,,,,5,104143,1,900,,,,104142,3,,,,,1,
15012,45,1,,,,5,104144,1,2700,,,,104143,3,,,,,1,
15013,25,1,,,,5,104152,1,300,,,,104151,3,,,,,1,
15014,35,1,,,,5,104153,1,900,,,,104152,3,,,,,1,
15015,45,1,,,,5,104154,1,2700,,,,104153,3,,,,,1,
15016,25,1,,,,5,104162,1,300,,,,104161,3,,,,,1,
15017,35,1,,,,5,104163,1,900,,,,104162,3,,,,,1,
15018,45,1,,,,5,104164,1,2700,,,,104163,3,,,,,1,
15019,25,1,,,,5,104172,1,300,,,,104171,3,,,,,1,
15020,35,1,,,,5,104173,1,900,,,,104172,3,,,,,1,
15021,45,1,,,,5,104174,1,2700,,,,104173,3,,,,,1,
200004,23,0,3,4131112,,99,200004,1,50,,,,200001,1,200002,1,200003,1,1,
220029,21,0,4,2005,2005041,99,220029,20,0,,,,100053,1,100081,1,,,1,
220030,21,0,4,2005,2005041,99,220030,20,0,,,,100053,1,100082,1,,,1,
220031,21,0,4,2005,2005041,99,220031,20,0,,,,100053,1,100083,1,,,1,
16003,1,0,1,101210,101215,99,100490,1,0,,,,100487,1,,,,,1,
16004,1,0,1,101210,101215,99,100491,1,0,,,,100488,1,,,,,1,
16005,1,0,1,101210,101215,99,100492,1,0,,,,100489,1,,,,,1,
16006,1,0,1,2250006,2250006,99,100546,1,0,,,,100016,3,,,,,1,
16007,1,0,1,7104207,7104207,99,101625,1,0,,,,100058,2,100081,2,,,1,
22007,10,0,2,,,6,220007,1,100,,,,100085,1,106,40,,,1,
22005,10,0,2,,,6,220005,1,500,,,,112021,1,100082,2,101003,5,1,
22001,10,0,2,,,6,220001,1,500,,,,100057,5,100023,5,101003,1,1,
22002,10,0,2,,,6,220002,1,500,,,,100058,5,100030,5,101003,1,1,
22032,10,0,2,,,6,220032,1,500,,,,101205,5,101202,5,101008,1,1,
22057,10,0,2,,,6,220057,1,500,,,,101215,5,101213,5,101003,1,1,
22033,28,0,2,,,10,111023,10,0,,,,100002,1,100017,1,,,1,
22034,28,0,2,,,10,111024,10,0,,,,101204,1,100064,1,,,1,
22035,28,0,2,,,10,111025,10,0,,,,112002,1,100051,1,,,1,
22036,28,0,2,,,10,111026,10,0,,,,101202,1,100032,1,,,1,
22037,28,0,2,,,10,111028,10,0,,,,101216,1,101219,1,,,1,
