ID	树木配置名称	树木类型
45	Tree_Area_Dq_Common_Pt_05_01_Fin	3
46	Tree_Area_Dq_Common_Sak_01_01_Fin	9
47	Tree_Area_Dq_Common_Sak_06_01_Fin	9
48	Tree_Area_Dq_HZD_Ty_02_01_Fin	7
49	Tree_Area_Dq_Common_Sak_07_01_Fin	9
50	Tree_Area_Dq_Tree_Common_Pt_04_Lod0	3
51	Tree_Area_Dq_Tree_HG_Ty_01_Lod0	11
52	Tree_Area_Cyjy_Tree_UP_E_01_Lod0	4
53	Tree_Area_Cyjy_Tree_UP_E_02_Lod0	4
54	Tree_Area_Cyjy_Tree_UP_Hys_01_Lod0	4
55	Tree_Area_Cyjy_Tree_UP_Hys_04_Lod0	4
56	Tree_Area_Cyjy_Tree_UP_Hys_05_Lod0	4
57	Tree_Area_Cyjy_Tree_UP_Hys_06_Lod0	4
58	Tree_Area_Cyjy_Tree_UP_Hys_07_Lod0	4
59	Tree_Area_Cyjy_Tree_UP_Hys_08_Lod0	4
60	Tree_Area_Cyjy_Tree_UP_Hys_09_Lod0	4
61	Tree_Area_Cyjy_Tree_UP_Hys_13_Lod0	4
62	Tree_Area_Cyjy_Tree_UP_Hys_14_Lod0	4
63	Tree_Area_Cyjy_Tree_UP_Hys_15_Lod0	4
64	Tree_Area_Xm_Tree_ARC_PingShu_08_Bark_Lod0	13
65	Tree_Area_Xm_Tree_ARC_PingShu_09_Bark_Lod0	13
66	Tree_Area_Xm_Tree_Common_Cys_01_Lod0	14
67	Tree_Area_Xm_Tree_Common_Cys_02_Lod0	14
68	Tree_Area_Xm_Tree_Common_Hds_04_Lod0	15
69	Tree_Area_Xm_Tree_Common_Hyds_01_Lod0	15
70	Tree_Area_Xm_Tree_Common_Palm_01_Lod0	14
71	Tree_Area_Xm_Tree_Common_Palm_03_Lod0	14
72	Tree_Area_Xm_Tree_Common_Palm_04_Lod0	14
73	Tree_Area_Xm_Tree_Common_Qgs_01_Lod0	15
74	Tree_Area_Xm_Tree_Common_Sxs_02_Lod0	15
75	Tree_Area_Xm_Tree_Common_Sxs_04_Lod0	15
76	Tree_Area_Xm_Tree_Common_Tieshu_01_Lod0	15
77	Tree_Area_Xm_Tree_Common_Tieshu_02_Lod0	15
78	Tree_Area_Xm_Tree_Common_Tys_07_Lod0	13
79	Tree_Area_Xm_Tree_Common_Tys_08_Lod0	13
80	Tree_Area_Xm_Tree_Common_Zhs_02_Lod0	15
81	Tree_Area_Xm_Tree_Common_Zhs_03_Lod0	15
82	Tree_Area_Xm_Tree_CWSM_Blb_01_Fin	17
83	Tree_Area_Xm_Tree_CWSM_Blb_04_Fin	17
84	Tree_Area_Xm_Tree_CWSM_Blb_05_Fin	17
85	Tree_Area_Xm_Tree_CWSM_Blb_06_Fin	17
86	Tree_Area_Xm_Tree_CWSM_Bls_02_Fin	17
87	Tree_Area_Xm_Tree_CWSM_Bls_03_Fin	17
88	Tree_Area_Xm_Tree_CWSM_Cjs_01_Fin	17
89	Tree_Area_Xm_Tree_CWSM_Ds_02_Fin	16
93	Tree_Area_Xm_Tree_CWSM_Mbs_02_Lod0	17
94	Tree_Area_Xm_Tree_CWSM_Xrzs_01_Fin	17
95	Tree_Area_Xm_Tree_CWSM_Xrzs_02_Fin	17
96	Tree_Area_Xm_Tree_CWSM_Xrzs_04_Fin	17
97	Tree_Area_Xm_Tree_CWSM_Yzs_01_Lod0	16
98	Tree_Area_Xm_Tree_CWSM_Yzs_02_Lod0	16
99	Tree_Area_Xm_Tree_CWSM_Yzs_04_Lod0	16
100	Tree_Area_Xm_Tree_CWSM_Yzs_05_Lod0	16
101	Tree_Area_Xm_Tree_HYZS_Hyds_02_Fin	15
102	Tree_Area_Xm_Tree_ARC_PingShu_01_Lod0	13
103	Tree_Area_Xm_Tree_ARC_PingShu_04_Lod0	13
104	Tree_Area_Xm_Tree_Common_Hds_01_Lod0	15
105	Tree_Area_Xm_Tree_Common_Hds_02_Lod0	15
106	Tree_Area_Xm_Tree_Common_Hds_03_Lod0	15
107	Tree_Area_Xm_Tree_Common_Hds_05_Lod0	15
108	Tree_Area_Xm_Tree_Common_Palm_02_Lod0	14
109	Tree_Area_Xm_Tree_Common_Sxs_01_Lod0	15
110	Tree_Area_Xm_Tree_Common_Sxs_03_Lod0	15
111	Tree_Area_Xm_Tree_Common_Tieshu_03_Lod0	15
112	Tree_Area_Xm_Tree_CWSM_Ds_01_Lod0	16
114	Tree_Area_Xm_Tree_CWSM_Yzs_03_Lod0	16
