武器突破ID,突破等级,[消耗物品]1ID,[消耗物品]1数量,[消耗物品]2ID,[消耗物品]2数量,[消耗物品]3ID,[消耗物品]3数量,突破消耗金币,[增加属性]1类型,[增加属性]1值,[增加属性]2类型,[增加属性]2值,[增加属性]3类型,[增加属性]3值,[增加属性]4类型,[增加属性]4值,[增加属性]5类型,[增加属性]5值,突破后解锁等级上限,冒险等级要求
11412,2,114006,3,112020,12,112035,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11412,3,114006,6,112021,6,112036,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11412,4,114007,3,112021,12,112036,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11412,5,114007,6,112022,9,112037,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11412,6,114008,4,112022,18,112037,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11413,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11413,1,114009,3,112014,3,112032,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11413,2,114010,3,112014,12,112032,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11413,3,114010,6,112015,6,112033,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11413,4,114011,3,112015,12,112033,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11413,5,114011,6,112016,9,112034,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11413,6,114012,4,112016,18,112034,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11414,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11414,1,114025,3,112047,3,112044,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11414,2,114026,3,112047,12,112044,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11414,3,114026,6,112048,6,112045,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11414,4,114027,3,112048,12,112045,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11414,5,114027,6,112049,9,112046,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11414,6,114028,4,112049,18,112046,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11415,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11415,1,114001,3,112023,3,112005,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11415,2,114002,3,112023,12,112005,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11415,3,114002,6,112024,6,112006,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11415,4,114003,3,112024,12,112006,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11415,5,114003,6,112025,9,112007,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11415,6,114004,4,112025,18,112007,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11416,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11416,1,114033,3,112017,3,112053,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11416,2,114034,3,112017,12,112053,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11416,3,114034,6,112018,6,112054,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11416,4,114035,3,112018,12,112054,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11416,5,114035,6,112019,9,112055,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11416,6,114036,4,112019,18,112055,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11417,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11417,1,114037,3,112068,3,112065,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11417,2,114038,3,112068,12,112065,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11417,3,114038,6,112069,6,112066,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11417,4,114039,3,112069,12,112066,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11417,5,114039,6,112070,9,112067,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11417,6,114040,4,112070,18,112067,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11418,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11418,1,114037,3,112071,3,112065,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11418,2,114038,3,112071,12,112065,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11418,3,114038,6,112072,6,112066,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11418,4,114039,3,112072,12,112066,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11418,5,114039,6,112073,9,112067,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11418,6,114040,4,112073,18,112067,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11419,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11419,1,0,3,0,3,0,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11419,2,0,3,0,12,0,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11419,3,0,6,0,6,0,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11419,4,0,3,0,12,0,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11419,5,0,6,0,9,0,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11419,6,0,4,0,18,0,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11420,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11420,1,0,3,0,3,0,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11420,2,0,3,0,12,0,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11420,3,0,6,0,6,0,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11420,4,0,3,0,12,0,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11420,5,0,6,0,9,0,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11420,6,0,4,0,18,0,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11421,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11421,1,0,3,0,3,0,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11421,2,0,3,0,12,0,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11421,3,0,6,0,6,0,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11421,4,0,3,0,12,0,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11421,5,0,6,0,9,0,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11421,6,0,4,0,18,0,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11501,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11501,1,114001,5,112014,5,112011,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11501,2,114002,5,112014,18,112011,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11501,3,114002,9,112015,9,112012,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11501,4,114003,5,112015,18,112012,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11501,5,114003,9,112016,14,112013,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11501,6,114004,6,112016,27,112013,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11502,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11502,1,114005,5,112020,5,112002,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11502,2,114006,5,112020,18,112002,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11502,3,114006,9,112021,9,112003,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11502,4,114007,5,112021,18,112003,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11502,5,114007,9,112022,14,112004,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11502,6,114008,6,112022,27,112004,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11503,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11503,1,114009,5,112023,5,112008,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11503,2,114010,5,112023,18,112008,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11503,3,114010,9,112024,9,112009,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11503,4,114011,5,112024,18,112009,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11503,5,114011,9,112025,14,112010,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11503,6,114012,6,112025,27,112010,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11504,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11504,1,114013,5,112029,5,112005,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11504,2,114014,5,112029,18,112005,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11504,3,114014,9,112030,9,112006,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11504,4,114015,5,112030,18,112006,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11504,5,114015,9,112031,14,112007,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11504,6,114016,6,112031,27,112007,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11505,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11505,1,114017,5,112026,5,112035,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11505,2,114018,5,112026,18,112035,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11505,3,114018,9,112027,9,112036,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11505,4,114019,5,112027,18,112036,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11505,5,114019,9,112028,14,112037,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11505,6,114020,6,112028,27,112037,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11509,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11509,1,114025,5,112047,5,112044,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11509,2,114026,5,112047,18,112044,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11509,3,114026,9,112048,9,112045,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11509,4,114027,5,112048,18,112045,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11509,5,114027,9,112049,14,112046,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11509,6,114028,6,112049,27,112046,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11510,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11510,1,114029,5,112017,5,112044,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11510,2,114030,5,112017,18,112044,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11510,3,114030,9,112018,9,112045,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11510,4,114031,5,112018,18,112045,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11510,5,114031,9,112019,14,112046,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11510,6,114032,6,112019,27,112046,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
11511,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11511,1,114037,5,112071,5,112065,3,10000,4,31.1,20,0,22,0,23,0,28,0,40,15
11511,2,114038,5,112071,18,112065,12,20000,4,62.2,20,0,22,0,23,0,28,0,50,25
11511,3,114038,9,112072,9,112066,9,30000,4,93.4,20,0,22,0,23,0,28,0,60,30
11511,4,114039,5,112072,18,112066,14,45000,4,124.5,20,0,22,0,23,0,28,0,70,35
11511,5,114039,9,112073,14,112067,9,55000,4,155.6,20,0,22,0,23,0,28,0,80,40
11511,6,114040,6,112073,27,112067,18,65000,4,186.7,20,0,22,0,23,0,28,0,90,50
12101,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12101,1,114005,1,112020,1,112002,1,0,4,11.7,20,0,22,0,23,0,28,0,40,15
12101,2,114006,1,112020,4,112002,2,5000,4,23.3,20,0,22,0,23,0,28,0,50,25
12101,3,114006,2,112021,2,112003,2,5000,4,35,20,0,22,0,23,0,28,0,60,30
12101,4,114007,1,112021,4,112003,3,10000,4,46.7,20,0,22,0,23,0,28,0,70,35
12201,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12201,1,114005,1,112020,1,112002,1,5000,4,11.7,20,0,22,0,23,0,28,0,40,15
12201,2,114006,1,112020,5,112002,4,5000,4,23.3,20,0,22,0,23,0,28,0,50,25
12201,3,114006,3,112021,3,112003,3,10000,4,35,20,0,22,0,23,0,28,0,60,30
12201,4,114007,1,112021,5,112003,4,15000,4,46.7,20,0,22,0,23,0,28,0,70,35
12301,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12301,1,114001,2,112014,2,112038,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
12301,2,114002,2,112014,8,112038,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
12301,3,114002,4,112015,4,112039,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
12301,4,114003,2,112015,8,112039,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
12301,5,114003,4,112016,6,112040,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
12301,6,114004,3,112016,12,112040,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
12302,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12302,1,114005,2,112020,2,112011,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
12302,2,114006,2,112020,8,112011,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
12302,3,114006,4,112021,4,112012,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
12302,4,114007,2,112021,8,112012,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
12302,5,114007,4,112022,6,112013,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
12302,6,114008,3,112022,12,112013,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
12303,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12303,1,114009,2,112023,2,112002,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
12303,2,114010,2,112023,8,112002,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
12303,3,114010,4,112024,4,112003,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
12303,4,114011,2,112024,8,112003,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
12303,5,114011,4,112025,6,112004,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
12303,6,114012,3,112025,12,112004,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
12304,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
12304,1,114013,2,112029,2,112008,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
12304,2,114014,2,112029,8,112008,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
12304,3,114014,4,112030,4,112009,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
12304,4,114015,2,112030,8,112009,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
