AffixID,开启天赋配置,[增加属性]1类型,[增加属性]1值,[增加属性]2类型,[增加属性]2值,[增加属性]3类型,[增加属性]3值,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,ID,词缀等级
1114053,Weapon_Sword_DamageUpToWindEnemy,,,,,,,0.32,,,,,,,,111405,3
1114054,Weapon_Sword_DamageUpToWindEnemy,,,,,,,0.36,,,,,,,,111405,4
1114060,Weapon_Sword_AttackGainAKTDEFBuff,,,,,,,0.04,,,,,,,,111406,0
1114061,Weapon_Sword_AttackGainAKTDEFBuff,,,,,,,0.05,,,,,,,,111406,1
1114062,Weapon_Sword_AttackGainAKTDEFBuff,,,,,,,0.06,,,,,,,,111406,2
1114063,Weapon_Sword_AttackGainAKTDEFBuff,,,,,,,0.07,,,,,,,,111406,3
1114064,Weapon_Sword_AttackGainAKTDEFBuff,,,,,,,0.08,,,,,,,,111406,4
1114070,Weapon_Sword_AttackGainFullDamgeUpBuff,,,,,,,0.06,1,6,,,,,,111407,0
1114071,Weapon_Sword_AttackGainFullDamgeUpBuff,,,,,,,0.075,1,6,,,,,,111407,1
1114072,Weapon_Sword_AttackGainFullDamgeUpBuff,,,,,,,0.09,1,6,,,,,,111407,2
1114073,Weapon_Sword_AttackGainFullDamgeUpBuff,,,,,,,0.105,1,6,,,,,,111407,3
1114074,Weapon_Sword_AttackGainFullDamgeUpBuff,,,,,,,0.12,1,6,,,,,,111407,4
1114080,Weapon_Sword_Blackrock,,,,,,,0.12,30,,,,,,,111408,0
1114081,Weapon_Sword_Blackrock,,,,,,,0.15,30,,,,,,,111408,1
1114082,Weapon_Sword_Blackrock,,,,,,,0.18,30,,,,,,,111408,2
1114083,Weapon_Sword_Blackrock,,,,,,,0.21,30,,,,,,,111408,3
1114084,Weapon_Sword_Blackrock,,,,,,,0.24,30,,,,,,,111408,4
1114090,Weapon_Sword_Bloodstained,,,,,,,0.2,0.6,5,1,,,,,111409,0
1114091,Weapon_Sword_Bloodstained,,,,,,,0.25,0.7,5,1,,,,,111409,1
1114092,Weapon_Sword_Bloodstained,,,,,,,0.3,0.8,5,1,,,,,111409,2
1114093,Weapon_Sword_Bloodstained,,,,,,,0.35,0.9,5,1,,,,,111409,3
1114094,Weapon_Sword_Bloodstained,,,,,,,0.4,1,5,1,,,,,111409,4
1114100,Weapon_Sword_Outlaw,,,,,,,0.12,5,,,,,,,111410,0
1114101,Weapon_Sword_Outlaw,,,,,,,0.15,5,,,,,,,111410,1
1114102,Weapon_Sword_Outlaw,,,,,,,0.18,5,,,,,,,111410,2
1114103,Weapon_Sword_Outlaw,,,,,,,0.21,5,,,,,,,111410,3
1114104,Weapon_Sword_Outlaw,,,,,,,0.24,5,,,,,,,111410,4
1114110,Weapon_Sword_ElmDmgEnhanceEleResistAtk,,,,,,,0.2,0.32,5,,,,,,111411,0
1114111,Weapon_Sword_ElmDmgEnhanceEleResistAtk,,,,,,,0.25,0.4,5,,,,,,111411,1
1114112,Weapon_Sword_ElmDmgEnhanceEleResistAtk,,,,,,,0.3,0.48,5,,,,,,111411,2
1114113,Weapon_Sword_ElmDmgEnhanceEleResistAtk,,,,,,,0.35,0.56,5,,,,,,111411,3
1114114,Weapon_Sword_ElmDmgEnhanceEleResistAtk,,,,,,,0.4,0.64,5,,,,,,111411,4
1114120,Weapon_Sword_Psalmus,,,,,,,0.5,2,10,66,,,,,111412,0
1114130,Weapon_Sword_Magnum,,,,,,,0.16,0.06,,,,,,,111413,0
1114131,Weapon_Sword_Magnum,,,,,,,0.2,0.075,,,,,,,111413,1
1114132,Weapon_Sword_Magnum,,,,,,,0.24,0.09,,,,,,,111413,2
1114133,Weapon_Sword_Magnum,,,,,,,0.28,0.105,,,,,,,111413,3
1114134,Weapon_Sword_Magnum,,,,,,,0.32,0.12,,,,,,,111413,4
1114140,Weapon_Sword_Bakufu,,,,,,,30,3,5,6,,,,,111414,0
1114141,Weapon_Sword_Bakufu,,,,,,,30,3,5,7.5,,,,,111414,1
1114142,Weapon_Sword_Bakufu,,,,,,,30,3,5,9,,,,,111414,2
1114143,Weapon_Sword_Bakufu,,,,,,,30,3,5,10.5,,,,,111414,3
1114144,Weapon_Sword_Bakufu,,,,,,,30,3,5,12,,,,,111414,4
1114150,Weapon_Sword_Opus,,,,,,,0.4,4000,1.5,0.1,,,,,111415,0
1114151,Weapon_Sword_Opus,,,,,,,0.5,5000,1.5,0.1,,,,,111415,1
1114152,Weapon_Sword_Opus,,,,,,,0.6,6000,1.5,0.1,,,,,111415,2
1114153,Weapon_Sword_Opus,,,,,,,0.7,7000,1.5,0.1,,,,,111415,3
1114154,Weapon_Sword_Opus,,,,,,,0.8,8000,1.5,0.1,,,,,111415,4
1114160,Weapon_Sword_Youtou,,,,,,,1.8,0.15,8,8,,,,,111416,0
1114190,Weapon_Sword_YoutouEnchanted,,,,,,,1.8,1,8,-0.5,,,,,111419,0
1114200,Weapon_Sword_YoutouShattered,,,,,,,1.8,8,-0.5,,,,,,111420,0
1114210,Weapon_Sword_YoutouEnchanted02,,,,,,,1.8,1,8,-0.5,,,,,111421,0
1114170,Weapon_Sword_Arakalari,,,,,,,60,12,20,10,,,,,111417,0
1114171,Weapon_Sword_Arakalari,,,,,,,75,12,20,10,,,,,111417,1
1114172,Weapon_Sword_Arakalari,,,,,,,90,12,20,10,,,,,111417,2
1114173,Weapon_Sword_Arakalari,,,,,,,105,12,20,10,,,,,111417,3
1114174,Weapon_Sword_Arakalari,,,,,,,120,12,20,10,,,,,111417,4
1114180,Weapon_Sword_Pleroma,,,,,,,10,0.036,12,0.3,,,,,111418,0
1114181,Weapon_Sword_Pleroma,,,,,,,10,0.045,12,0.3,,,,,111418,1
1114182,Weapon_Sword_Pleroma,,,,,,,10,0.054,12,0.3,,,,,111418,2
1114183,Weapon_Sword_Pleroma,,,,,,,10,0.063,12,0.3,,,,,111418,3
1114184,Weapon_Sword_Pleroma,,,,,,,10,0.072,12,0.3,,,,,111418,4
1115010,Weapon_Sword_Legend_Falcon,6,0.2,,,,,0.2,1,2,15,,,,,111501,0
1115011,Weapon_Sword_Legend_Falcon,6,0.25,,,,,0.25,1.15,2.3,15,,,,,111501,1
1115012,Weapon_Sword_Legend_Falcon,6,0.3,,,,,0.3,1.3,2.6,15,,,,,111501,2
1115013,Weapon_Sword_Legend_Falcon,6,0.35,,,,,0.35,1.45,2.9,15,,,,,111501,3
1115014,Weapon_Sword_Legend_Falcon,6,0.4,,,,,0.4,1.6,3.2,15,,,,,111501,4
1115020,Weapon_Sword_Legend_Dvalin,20,0.04,,,,,0.04,0.1,0.1,0.2,12,,,,111502,0
1115021,Weapon_Sword_Legend_Dvalin,20,0.05,,,,,0.05,0.1,0.1,0.25,12,,,,111502,1
1115022,Weapon_Sword_Legend_Dvalin,20,0.06,,,,,0.06,0.1,0.1,0.3,12,,,,111502,2
1115023,Weapon_Sword_Legend_Dvalin,20,0.07,,,,,0.07,0.1,0.1,0.35,12,,,,111502,3
1115024,Weapon_Sword_Legend_Dvalin,20,0.08,,,,,0.08,0.1,0.1,0.4,12,,,,111502,4
1115030,Weapon_Sword_Widsith,24,0.1,,,,,0.1,0.5,12,0.16,0.2,20,,,111503,0
1115031,Weapon_Sword_Widsith,24,0.125,,,,,0.125,0.5,12,0.2,0.25,20,,,111503,1
1115032,Weapon_Sword_Widsith,24,0.15,,,,,0.15,0.5,12,0.24,0.3,20,,,111503,2
1115033,Weapon_Sword_Widsith,24,0.175,,,,,0.175,0.5,12,0.28,0.35,20,,,111503,3
1115034,Weapon_Sword_Widsith,24,0.2,,,,,0.2,0.5,12,0.32,0.4,20,,,111503,4
1115040,Weapon_Sword_Kunwu_DamageUpWithShield,81,0.2,,,,,0.2,0.04,8,,,,,,111504,0
1115041,Weapon_Sword_Kunwu_DamageUpWithShield,81,0.25,,,,,0.25,0.05,8,,,,,,111504,1
1115042,Weapon_Sword_Kunwu_DamageUpWithShield,81,0.3,,,,,0.3,0.06,8,,,,,,111504,2
1115043,Weapon_Sword_Kunwu_DamageUpWithShield,81,0.35,,,,,0.35,0.07,8,,,,,,111504,3
1115044,Weapon_Sword_Kunwu_DamageUpWithShield,81,0.4,,,,,0.4,0.08,8,,,,,,111504,4
1115050,Weapon_Sword_Morax_HpToAtk,3,0.2,,,,,0.2,0.012,,,,,,,111505,0
1115051,Weapon_Sword_Morax_HpToAtk,3,0.25,,,,,0.25,0.015,,,,,,,111505,1
1115052,Weapon_Sword_Morax_HpToAtk,3,0.3,,,,,0.3,0.018,,,,,,,111505,2
1115053,Weapon_Sword_Morax_HpToAtk,3,0.35,,,,,0.35,0.021,,,,,,,111505,3
1115054,Weapon_Sword_Morax_HpToAtk,3,0.4,,,,,0.4,0.024,,,,,,,111505,4
1115090,Weapon_Sword_Narukami,,,,,,,0.12,0.08,0.16,0.28,5,10,,,111509,0
1115091,Weapon_Sword_Narukami,,,,,,,0.15,0.1,0.2,0.35,5,10,,,111509,1
1115092,Weapon_Sword_Narukami,,,,,,,0.18,0.12,0.24,0.42,5,10,,,111509,2
1115093,Weapon_Sword_Narukami,,,,,,,0.21,0.14,0.28,0.49,5,10,,,111509,3
1115094,Weapon_Sword_Narukami,,,,,,,0.24,0.16,0.32,0.56,5,10,,,111509,4
1115100,Weapon_Sword_Amenoma,,,,,,,0.12,2,0.3,0.2,8,,,,111510,0
1115101,Weapon_Sword_Amenoma,,,,,,,0.15,2,0.3,0.25,8,,,,111510,1
1115102,Weapon_Sword_Amenoma,,,,,,,0.18,2,0.3,0.3,8,,,,111510,2
1115103,Weapon_Sword_Amenoma,,,,,,,0.21,2,0.3,0.35,8,,,,111510,3
1115104,Weapon_Sword_Amenoma,,,,,,,0.24,2,0.3,0.4,8,,,,111510,4
1115110,Weapon_Sword_Deshret,3,0.2,,,,,0.2,0.0012,20,0.3,0.002,20,,,111511,0
1115111,Weapon_Sword_Deshret,3,0.25,,,,,0.25,0.0015,20,0.3,0.0025,20,,,111511,1
1115112,Weapon_Sword_Deshret,3,0.3,,,,,0.3,0.0018,20,0.3,0.003,20,,,111511,2
1115113,Weapon_Sword_Deshret,3,0.35,,,,,0.35,0.0021,20,0.3,0.0035,20,,,111511,3
1115114,Weapon_Sword_Deshret,3,0.4,,,,,0.4,0.0024,20,0.3,0.004,20,,,111511,4
1123010,Weapon_Claymore_LowHPAddExtraAttackEndura,,,,,,,0.7,0.3,,,,,,,112301,0
1123011,Weapon_Claymore_LowHPAddExtraAttackEndura,,,,,,,0.75,0.35,,,,,,,112301,1
1123012,Weapon_Claymore_LowHPAddExtraAttackEndura,,,,,,,0.8,0.4,,,,,,,112301,2
1123013,Weapon_Claymore_LowHPAddExtraAttackEndura,,,,,,,0.85,0.45,,,,,,,112301,3
1123014,Weapon_Claymore_LowHPAddExtraAttackEndura,,,,,,,0.9,0.5,,,,,,,112301,4
1123020,Weapon_Claymore_DamageUpToEnemy,,,,,,,0.12,,,,,,,,112302,0
1123021,Weapon_Claymore_DamageUpToEnemy,,,,,,,0.15,,,,,,,,112302,1
1123022,Weapon_Claymore_DamageUpToEnemy,,,,,,,0.18,,,,,,,,112302,2
1123023,Weapon_Claymore_DamageUpToEnemy,,,,,,,0.21,,,,,,,,112302,3
1123024,Weapon_Claymore_DamageUpToEnemy,,,,,,,0.24,,,,,,,,112302,4
1123030,Weapon_Claymore_HealAmountHPonEnemyKilled,,,,,,,0.08,,,,,,,,112303,0
1123031,Weapon_Claymore_HealAmountHPonEnemyKilled,,,,,,,0.1,,,,,,,,112303,1
1123032,Weapon_Claymore_HealAmountHPonEnemyKilled,,,,,,,0.12,,,,,,,,112303,2
1123033,Weapon_Claymore_HealAmountHPonEnemyKilled,,,,,,,0.14,,,,,,,,112303,3
1123034,Weapon_Claymore_HealAmountHPonEnemyKilled,,,,,,,0.16,,,,,,,,112303,4
1123040,Weapon_Claymore_AttacktUpAfterReaction,,,,,,,0.2,,,,,,,,112304,0
1123041,Weapon_Claymore_AttacktUpAfterReaction,,,,,,,0.25,,,,,,,,112304,1
1123042,Weapon_Claymore_AttacktUpAfterReaction,,,,,,,0.3,,,,,,,,112304,2
1123043,Weapon_Claymore_AttacktUpAfterReaction,,,,,,,0.35,,,,,,,,112304,3
1123044,Weapon_Claymore_AttacktUpAfterReaction,,,,,,,0.4,,,,,,,,112304,4
1123050,Weapon_Claymore_NormalAttackExtraDamageAfterSkill,,,,,,,0.6,15,3,,,,,,112305,0
1123051,Weapon_Claymore_NormalAttackExtraDamageAfterSkill,,,,,,,0.75,15,3,,,,,,112305,1
1123052,Weapon_Claymore_NormalAttackExtraDamageAfterSkill,,,,,,,0.9,15,3,,,,,,112305,2
1123053,Weapon_Claymore_NormalAttackExtraDamageAfterSkill,,,,,,,1.05,15,3,,,,,,112305,3
1123054,Weapon_Claymore_NormalAttackExtraDamageAfterSkill,,,,,,,1.2,15,3,,,,,,112305,4
1123060,Weapon_Claymore_AttackUpBuff,,,,,,,0.06,,,,,,,,112306,0
1123061,Weapon_Claymore_AttackUpBuff,,,,,,,0.07,,,,,,,,112306,1
1123062,Weapon_Claymore_AttackUpBuff,,,,,,,0.08,,,,,,,,112306,2
1123063,Weapon_Claymore_AttackUpBuff,,,,,,,0.09,,,,,,,,112306,3
1123064,Weapon_Claymore_AttackUpBuff,,,,,,,0.1,,,,,,,,112306,4
1124010,Weapon_Claymore_GenerateBallWhenCritic,,,,,,,0.6,12,,,,,,,112401,0
1124011,Weapon_Claymore_GenerateBallWhenCritic,,,,,,,0.7,10.5,,,,,,,112401,1
1124012,Weapon_Claymore_GenerateBallWhenCritic,,,,,,,0.8,9,,,,,,,112401,2
1124013,Weapon_Claymore_GenerateBallWhenCritic,,,,,,,0.9,7.5,,,,,,,112401,3
1124014,Weapon_Claymore_GenerateBallWhenCritic,,,,,,,1,6,,,,,,,112401,4
1124020,Weapon_Claymore_GetShieldBeingHit,,,,,,,0.2,45,0.12,,,,,,112402,0
1124021,Weapon_Claymore_GetShieldBeingHit,,,,,,,0.23,45,0.15,,,,,,112402,1
1124022,Weapon_Claymore_GetShieldBeingHit,,,,,,,0.26,45,0.18,,,,,,112402,2
1124023,Weapon_Claymore_GetShieldBeingHit,,,,,,,0.29,45,0.21,,,,,,112402,3
1124024,Weapon_Claymore_GetShieldBeingHit,,,,,,,0.32,45,0.24,,,,,,112402,4
1124030,Weapon_Claymore_ResetCDWhenSkillHit,,,,,,,0.4,30,,,,,,,112403,0
1124031,Weapon_Claymore_ResetCDWhenSkillHit,,,,,,,0.5,26,,,,,,,112403,1
1124032,Weapon_Claymore_ResetCDWhenSkillHit,,,,,,,0.6,22,,,,,,,112403,2
1124033,Weapon_Claymore_ResetCDWhenSkillHit,,,,,,,0.7,19,,,,,,,112403,3
1124034,Weapon_Claymore_ResetCDWhenSkillHit,,,,,,,0.8,16,,,,,,,112403,4
1124040,Weapon_Claymore_CritUpWhenHitNoCrit,,,,,,,0.08,,,,,,,,112404,0
1124041,Weapon_Claymore_CritUpWhenHitNoCrit,,,,,,,0.1,,,,,,,,112404,1
1124042,Weapon_Claymore_CritUpWhenHitNoCrit,,,,,,,0.12,,,,,,,,112404,2
1124043,Weapon_Claymore_CritUpWhenHitNoCrit,,,,,,,0.14,,,,,,,,112404,3
1124044,Weapon_Claymore_CritUpWhenHitNoCrit,,,,,,,0.16,,,,,,,,112404,4
1124050,Weapon_Claymore_DamageUpToElectricEnemy,,,,,,,0.2,,,,,,,,112405,0
1124051,Weapon_Claymore_DamageUpToElectricEnemy,,,,,,,0.24,,,,,,,,112405,1
1124052,Weapon_Claymore_DamageUpToElectricEnemy,,,,,,,0.28,,,,,,,,112405,2
1124053,Weapon_Claymore_DamageUpToElectricEnemy,,,,,,,0.32,,,,,,,,112405,3
1124054,Weapon_Claymore_DamageUpToElectricEnemy,,,,,,,0.36,,,,,,,,112405,4
1124060,Weapon_Claymore_AOEDamage,,,,,,,0.5,2.4,,,,,,,112406,0
1124061,Weapon_Claymore_AOEDamage,,,,,,,0.5,3,,,,,,,112406,1
1124062,Weapon_Claymore_AOEDamage,,,,,,,0.5,3.6,,,,,,,112406,2
1124063,Weapon_Claymore_AOEDamage,,,,,,,0.5,4.2,,,,,,,112406,3
1124064,Weapon_Claymore_AOEDamage,,,,,,,0.5,4.8,,,,,,,112406,4
1124070,Weapon_Claymore_AttackGainAKTDEFBuff,,,,,,,0.06,,,,,,,,112407,0
1124071,Weapon_Claymore_AttackGainAKTDEFBuff,,,,,,,0.075,,,,,,,,112407,1
1124072,Weapon_Claymore_AttackGainAKTDEFBuff,,,,,,,0.09,,,,,,,,112407,2
1124073,Weapon_Claymore_AttackGainAKTDEFBuff,,,,,,,0.105,,,,,,,,112407,3
1124074,Weapon_Claymore_AttackGainAKTDEFBuff,,,,,,,0.12,,,,,,,,112407,4
1124080,Weapon_Claymore_Blackrock,,,,,,,0.12,30,,,,,,,112408,0
1124081,Weapon_Claymore_Blackrock,,,,,,,0.15,30,,,,,,,112408,1
1124082,Weapon_Claymore_Blackrock,,,,,,,0.18,30,,,,,,,112408,2
1124083,Weapon_Claymore_Blackrock,,,,,,,0.21,30,,,,,,,112408,3
1124084,Weapon_Claymore_Blackrock,,,,,,,0.24,30,,,,,,,112408,4
1124090,Weapon_Claymore_Berserker,,,,,,,4,0.06,0.03,,,,,,112409,0
1124091,Weapon_Claymore_Berserker,,,,,,,4,0.07,0.027,,,,,,112409,1
1124092,Weapon_Claymore_Berserker,,,,,,,4,0.08,0.024,,,,,,112409,2
1124093,Weapon_Claymore_Berserker,,,,,,,4,0.09,0.022,,,,,,112409,3
1124094,Weapon_Claymore_Berserker,,,,,,,4,0.1,0.02,,,,,,112409,4
1124100,Weapon_Claymore_Liyue,,,,,,,0.07,0.03,4,,,,,,112410,0
1124101,Weapon_Claymore_Liyue,,,,,,,0.08,0.04,4,,,,,,112410,1
1124102,Weapon_Claymore_Liyue,,,,,,,0.09,0.05,4,,,,,,112410,2
1124103,Weapon_Claymore_Liyue,,,,,,,0.1,0.06,4,,,,,,112410,3
1124104,Weapon_Claymore_Liyue,,,,,,,0.11,0.07,4,,,,,,112410,4
1124110,Weapon_Claymore_Dragonfell,,,,,,,0.6,0.8,2,10,,,,,112411,0
1124111,Weapon_Claymore_Dragonfell,,,,,,,0.7,0.95,2.4,10,,,,,112411,1
1124112,Weapon_Claymore_Dragonfell,,,,,,,0.8,1.1,2.8,10,,,,,112411,2
1124113,Weapon_Claymore_Dragonfell,,,,,,,0.9,1.25,3.2,10,,,,,112411,3
1124114,Weapon_Claymore_Dragonfell,,,,,,,1,1.4,3.6,10,,,,,112411,4
1124120,Weapon_Claymore_MillenniaTuna,,,,,,,0.12,1,1,15,,,,,112412,0
1124121,Weapon_Claymore_MillenniaTuna,,,,,,,0.15,1,1.25,15,,,,,112412,1
1124122,Weapon_Claymore_MillenniaTuna,,,,,,,0.18,1,1.5,15,,,,,112412,2
1124123,Weapon_Claymore_MillenniaTuna,,,,,,,0.21,1,1.75,15,,,,,112412,3
1124124,Weapon_Claymore_MillenniaTuna,,,,,,,0.24,1,2,15,,,,,112412,4
1124140,Weapon_Claymore_Bakufu,,,,,,,0.06,3,3,6,10,,,,112414,0
1124141,Weapon_Claymore_Bakufu,,,,,,,0.075,3,3.5,6,10,,,,112414,1
1124142,Weapon_Claymore_Bakufu,,,,,,,0.09,3,4,6,10,,,,112414,2
1124143,Weapon_Claymore_Bakufu,,,,,,,0.105,3,4.5,6,10,,,,112414,3
1124144,Weapon_Claymore_Bakufu,,,,,,,0.12,3,5,6,10,,,,112414,4
1124150,Weapon_Claymore_Pleroma,,,,,,,10,0.24,12,0.3,,,,,112415,0
1124151,Weapon_Claymore_Pleroma,,,,,,,10,0.3,12,0.3,,,,,112415,1
1124152,Weapon_Claymore_Pleroma,,,,,,,10,0.36,12,0.3,,,,,112415,2
1124153,Weapon_Claymore_Pleroma,,,,,,,10,0.42,12,0.3,,,,,112415,3
1124154,Weapon_Claymore_Pleroma,,,,,,,10,0.48,12,0.3,,,,,112415,4
1124160,Weapon_Claymore_Maria,,,,,,,0.12,0.4,,,,,,,112416,0
1124161,Weapon_Claymore_Maria,,,,,,,0.15,0.5,,,,,,,112416,1
1124162,Weapon_Claymore_Maria,,,,,,,0.18,0.6,,,,,,,112416,2
1124163,Weapon_Claymore_Maria,,,,,,,0.21,0.7,,,,,,,112416,3
1124164,Weapon_Claymore_Maria,,,,,,,0.24,0.8,,,,,,,112416,4
1124170,Weapon_Claymore_Arakalari,,,,,,,60,12,20,10,,,,,112417,0
1124171,Weapon_Claymore_Arakalari,,,,,,,75,12,20,10,,,,,112417,1
1124172,Weapon_Claymore_Arakalari,,,,,,,90,12,20,10,,,,,112417,2
1124173,Weapon_Claymore_Arakalari,,,,,,,105,12,20,10,,,,,112417,3
1124174,Weapon_Claymore_Arakalari,,,,,,,120,12,20,10,,,,,112417,4
1125010,Weapon_Claymore_Legend_Dvalin,24,0.08,,,,,0.08,0.8,20,8,,,,,112501,0
1125011,Weapon_Claymore_Legend_Dvalin,24,0.1,,,,,0.1,1,20,8,,,,,112501,1
1125012,Weapon_Claymore_Legend_Dvalin,24,0.12,,,,,0.12,1.2,20,8,,,,,112501,2
1125013,Weapon_Claymore_Legend_Dvalin,24,0.14,,,,,0.14,1.4,20,8,,,,,112501,3
1125014,Weapon_Claymore_Legend_Dvalin,24,0.16,,,,,0.16,1.6,20,8,,,,,112501,4
1125020,Weapon_Claymore_Legend_Wolfmound,6,0.2,,,,,0.2,0.4,,,,,,,112502,0
1125021,Weapon_Claymore_Legend_Wolfmound,6,0.25,,,,,0.25,0.5,,,,,,,112502,1
1125022,Weapon_Claymore_Legend_Wolfmound,6,0.3,,,,,0.3,0.6,,,,,,,112502,2
1125023,Weapon_Claymore_Legend_Wolfmound,6,0.35,,,,,0.35,0.7,,,,,,,112502,3
1125024,Weapon_Claymore_Legend_Wolfmound,6,0.4,,,,,0.4,0.8,,,,,,,112502,4
1125030,Weapon_Claymore_Widsith,6,0.16,,,,,0.16,0.3,12,0.12,0.2,20,,,112503,0
1125031,Weapon_Claymore_Widsith,6,0.2,,,,,0.2,0.3,12,0.15,0.25,20,,,112503,1
1125032,Weapon_Claymore_Widsith,6,0.24,,,,,0.24,0.3,12,0.18,0.3,20,,,112503,2
1125033,Weapon_Claymore_Widsith,6,0.28,,,,,0.28,0.3,12,0.21,0.35,20,,,112503,3
